Position,name,points,challenge
1,World Wide Flags,7060,"{'challenge_name': ['My Vault', 'Mini X', 'Manifesto', 'small eq’s', 'Capawchino Cafe', 'ILLOwl', 'Prime Suspects', 'Sentir', 'Chessato', 'Power-SCAndal', 'Squinty', 'Tempus', '18 Karat Gold', 'Wanna Play a Game?', 'Russian Roulette', 'Batman - The Dark Knight', 'Vault', 'Recover Your Vision', 'The Joker 2', 'Maroon', 'Yet Another Format String Bug', 'Private Curve', ""Batman - Gotham's Secret"", 'GhostBot'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'Crypto', 'Crypto', 'Reverse', 'Misc', 'Reverse', 'Reverse', 'Hardware', 'Hardware', 'Hardware', 'Crypto', 'Pwn', 'Mobile', 'DFIR', 'Reverse', 'Pwn', 'Reverse', 'OSINT', 'Pwn', 'Crypto', 'DFIR', 'OSINT'], 'challenge_points': ['100', '100', '100', '430', '320', '400', '310', '220', '100', '480', '430', '400', '100', '100', '450', '260', '430', '320', '420', '100', '240', '470', '420', '360'], 'solve_time': ['2024-12-27 17:54', '2024-12-27 18:23', '2024-12-27 20:15', '2024-12-27 20:55', '2024-12-27 22:18', '2024-12-27 22:20', '2024-12-27 23:05', '2024-12-27 23:25', '2024-12-28 00:38', '2024-12-28 01:07', '2024-12-28 03:23', '2024-12-28 04:04', '2024-12-28 04:24', '2024-12-28 04:29', '2024-12-28 05:59', '2024-12-28 06:04', '2024-12-28 08:54', '2024-12-28 09:08', '2024-12-28 10:04', '2024-12-28 10:14', '2024-12-28 11:04', '2024-12-28 15:35', '2024-12-28 16:52', '2024-12-28 17:24']}"
2,noreply,5250,"{'challenge_name': ['My Vault', 'Sentir', 'Mini X', 'Capawchino Cafe', 'Chessato', 'Batman - The Dark Knight', 'Manifesto', 'Prime Suspects', 'Maroon', '18 Karat Gold', 'Wanna Play a Game?', ""Batman - Gotham's Secret"", 'Yet Another Format String Bug', 'Squinty', 'Recover Your Vision', 'Tempus', 'Russian Roulette', 'GhostBot', 'The Joker 2', 'ILLOwl'], 'challenge_category': ['Crypto', 'Reverse', 'OSINT', 'Crypto', 'Reverse', 'DFIR', 'Web', 'Misc', 'OSINT', 'Crypto', 'Pwn', 'DFIR', 'Pwn', 'Hardware', 'Pwn', 'Hardware', 'Mobile', 'OSINT', 'Reverse', 'Reverse'], 'challenge_points': ['100', '220', '100', '320', '100', '260', '100', '310', '100', '100', '100', '420', '240', '430', '320', '400', '450', '360', '420', '400'], 'solve_time': ['2024-12-27 19:26', '2024-12-27 19:50', '2024-12-27 19:53', '2024-12-27 21:25', '2024-12-27 21:28', '2024-12-27 22:53', '2024-12-28 00:31', '2024-12-28 01:19', '2024-12-28 01:49', '2024-12-28 01:53', '2024-12-28 02:29', '2024-12-28 02:34', '2024-12-28 02:51', '2024-12-28 02:58', '2024-12-28 03:45', '2024-12-28 03:46', '2024-12-28 04:03', '2024-12-28 04:51', '2024-12-28 04:57', '2024-12-28 15:58']}"
3,BKISC,4470,"{'challenge_name': ['My Vault', 'Batman - The Dark Knight', 'Capawchino Cafe', 'Manifesto', 'Sentir', 'Russian Roulette', 'small eq’s', 'Prime Suspects', 'Mini X', 'Yet Another Format String Bug', 'Wanna Play a Game?', '18 Karat Gold', 'Chessato', 'ILLOwl', 'The Joker 2', ""Batman - Gotham's Secret"", 'Tempus'], 'challenge_category': ['Crypto', 'DFIR', 'Crypto', 'Web', 'Reverse', 'Mobile', 'Crypto', 'Misc', 'OSINT', 'Pwn', 'Pwn', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'DFIR', 'Hardware'], 'challenge_points': ['100', '260', '320', '100', '220', '450', '430', '310', '100', '240', '100', '100', '100', '400', '420', '420', '400'], 'solve_time': ['2024-12-27 18:31', '2024-12-27 18:48', '2024-12-27 19:06', '2024-12-27 19:40', '2024-12-27 19:45', '2024-12-27 20:05', '2024-12-27 20:56', '2024-12-27 21:57', '2024-12-27 23:40', '2024-12-28 05:49', '2024-12-28 06:26', '2024-12-28 07:59', '2024-12-28 11:33', '2024-12-28 11:57', '2024-12-28 13:47', '2024-12-28 15:17', '2024-12-28 17:03']}"
4,thefwncrew,3200,"{'challenge_name': ['Sentir', 'Manifesto', 'My Vault', 'ILLOwl', 'Batman - The Dark Knight', 'Prime Suspects', 'The Joker 2', '18 Karat Gold', 'Vault', 'Yet Another Format String Bug', 'Wanna Play a Game?', 'Recover Your Vision', 'Mini X', 'Maroon'], 'challenge_category': ['Reverse', 'Web', 'Crypto', 'Reverse', 'DFIR', 'Misc', 'Reverse', 'Crypto', 'Reverse', 'Pwn', 'Pwn', 'Pwn', 'OSINT', 'OSINT'], 'challenge_points': ['220', '100', '100', '400', '260', '310', '420', '100', '430', '240', '100', '320', '100', '100'], 'solve_time': ['2024-12-27 18:49', '2024-12-27 19:38', '2024-12-27 19:53', '2024-12-27 21:47', '2024-12-27 22:20', '2024-12-27 23:40', '2024-12-28 05:01', '2024-12-28 09:59', '2024-12-28 11:26', '2024-12-28 14:17', '2024-12-28 14:35', '2024-12-28 15:12', '2024-12-28 17:27', '2024-12-28 17:27']}"
5,valgrind,3190,"{'challenge_name': ['ILLOwl', 'Manifesto', 'Mini X', 'Sentir', 'My Vault', 'Russian Roulette', 'Vault', 'Yet Another Format String Bug', 'Prime Suspects', 'Wanna Play a Game?', 'Recover Your Vision', '18 Karat Gold', 'Capawchino Cafe'], 'challenge_category': ['Reverse', 'Web', 'OSINT', 'Reverse', 'Crypto', 'Mobile', 'Reverse', 'Pwn', 'Misc', 'Pwn', 'Pwn', 'Crypto', 'Crypto'], 'challenge_points': ['400', '100', '100', '220', '100', '450', '430', '240', '310', '100', '320', '100', '320'], 'solve_time': ['2024-12-27 20:05', '2024-12-27 20:56', '2024-12-27 21:15', '2024-12-27 22:19', '2024-12-28 00:40', '2024-12-28 02:18', '2024-12-28 06:29', '2024-12-28 07:39', '2024-12-28 08:09', '2024-12-28 08:26', '2024-12-28 13:15', '2024-12-28 14:24', '2024-12-28 14:51']}"
6,__LOLZZ__,2800,"{'challenge_name': ['Chessato', 'My Vault', 'Sentir', '18 Karat Gold', 'Wanna Play a Game?', 'Vault', 'The Joker 2', 'Yet Another Format String Bug', 'Russian Roulette', 'Capawchino Cafe', 'Recover Your Vision'], 'challenge_category': ['Reverse', 'Crypto', 'Reverse', 'Crypto', 'Pwn', 'Reverse', 'Reverse', 'Pwn', 'Mobile', 'Crypto', 'Pwn'], 'challenge_points': ['100', '100', '220', '100', '100', '430', '420', '240', '450', '320', '320'], 'solve_time': ['2024-12-27 18:02', '2024-12-27 19:21', '2024-12-27 19:41', '2024-12-28 07:20', '2024-12-28 09:56', '2024-12-28 11:42', '2024-12-28 12:37', '2024-12-28 13:09', '2024-12-28 14:42', '2024-12-28 15:20', '2024-12-28 17:15']}"
7,n00b_c0rps,2600,"{'challenge_name': ['My Vault', 'Tempus', 'Squinty', 'Manifesto', 'Chessato', 'small eq’s', '18 Karat Gold', 'Mini X', 'Maroon', 'Prime Suspects', 'Vault'], 'challenge_category': ['Crypto', 'Hardware', 'Hardware', 'Web', 'Reverse', 'Crypto', 'Crypto', 'OSINT', 'OSINT', 'Misc', 'Reverse'], 'challenge_points': ['100', '400', '430', '100', '100', '430', '100', '100', '100', '310', '430'], 'solve_time': ['2024-12-27 19:05', '2024-12-29 15:51', '2024-12-29 15:52', '2024-12-29 16:11', '2024-12-29 16:18', '2024-12-29 16:41', '2024-12-29 16:54', '2024-12-29 17:07', '2024-12-29 17:22', '2024-12-29 17:43', '2024-12-29 18:29']}"
8,Znagra Remote Work,2290,"{'challenge_name': ['Mini X', 'Manifesto', 'Maroon', 'My Vault', 'small eq’s', 'Prime Suspects', '18 Karat Gold', 'Capawchino Cafe', 'Private Curve', 'Batman - The Dark Knight'], 'challenge_category': ['OSINT', 'Web', 'OSINT', 'Crypto', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'DFIR'], 'challenge_points': ['100', '100', '100', '100', '430', '310', '100', '320', '470', '260'], 'solve_time': ['2024-12-27 18:35', '2024-12-27 19:21', '2024-12-27 19:52', '2024-12-27 20:35', '2024-12-27 21:53', '2024-12-27 23:30', '2024-12-28 01:45', '2024-12-28 01:57', '2024-12-28 15:37', '2024-12-28 23:00']}"
9,0xNS,2040,"{'challenge_name': ['Chessato', 'Mini X', 'Maroon', 'GhostBot', 'The Joker 2', '18 Karat Gold', 'Vault', 'Squinty'], 'challenge_category': ['Reverse', 'OSINT', 'OSINT', 'OSINT', 'Reverse', 'Crypto', 'Reverse', 'Hardware'], 'challenge_points': ['100', '100', '100', '360', '420', '100', '430', '430'], 'solve_time': ['2024-12-28 21:15', '2024-12-28 21:29', '2024-12-28 21:30', '2024-12-28 21:30', '2024-12-28 21:32', '2024-12-28 21:32', '2024-12-28 21:33', '2024-12-28 21:35']}"
10,902,1940,"{'challenge_name': ['Mini X', 'Maroon', 'GhostBot', 'small eq’s', 'The Joker 2', 'Vault', 'Manifesto'], 'challenge_category': ['OSINT', 'OSINT', 'OSINT', 'Crypto', 'Reverse', 'Reverse', 'Web'], 'challenge_points': ['100', '100', '360', '430', '420', '430', '100'], 'solve_time': ['2024-12-28 20:53', '2024-12-28 20:53', '2024-12-28 20:54', '2024-12-28 21:02', '2024-12-28 21:11', '2024-12-28 21:12', '2024-12-28 21:18']}"
11,Pixel Perfect,1920,"{'challenge_name': ['My Vault', 'Prime Suspects', '18 Karat Gold', 'Manifesto', 'Tempus', 'Squinty', 'Power-SCAndal'], 'challenge_category': ['Crypto', 'Misc', 'Crypto', 'Web', 'Hardware', 'Hardware', 'Hardware'], 'challenge_points': ['100', '310', '100', '100', '400', '430', '480'], 'solve_time': ['2024-12-27 18:02', '2024-12-27 21:26', '2024-12-28 02:17', '2024-12-28 02:49', '2024-12-28 04:41', '2024-12-28 05:34', '2024-12-28 06:28']}"
12,skuzz,1910,"{'challenge_name': ['Sentir', 'Chessato', 'ILLOwl', 'Vault', 'The Joker 2', 'Yet Another Format String Bug', 'Wanna Play a Game?'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Pwn', 'Pwn'], 'challenge_points': ['220', '100', '400', '430', '420', '240', '100'], 'solve_time': ['2024-12-27 19:56', '2024-12-27 20:36', '2024-12-28 03:28', '2024-12-28 06:52', '2024-12-28 07:14', '2024-12-28 11:26', '2024-12-28 12:13']}"
