name,points,challenge
Friendly Maltese ...,4579,"{'challenge_name': ['Welcome!', 'Lozib', 'Klara', 'Hofar', 'Prequel', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'No visible signs', 'fetch-box', 'gitmails', 'Good Old Days ...', 'leakbin']}"
Thehackerscrew,4515,"{'challenge_name': ['Welcome!', 'Lozib', 'Klara', 'Hofar', 'Prequel', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Torando', 'Friday', 'No visible signs', 'fetch-box', 'Universal Acco...', 'Good Old Days ...']}"
BunkyoWesterns,3829,"{'challenge_name': ['Welcome!', 'Lozib', 'Hofar', 'Prequel', 'Strength', 'Redocumentation', 'Sassed', 'Shellerev', 'Friday', 'fetch-box', 'Universal Acco...', 'Good Old Days ...', 'Wish Party']}"
no rev/pwn no life,3088,"{'challenge_name': ['Welcome!', 'Lozib', 'Hofar', 'Prequel', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'fetch-box', 'Universal Acco...', 'Good Old Days ...']}"
Maple Bacon,3088,"{'challenge_name': ['Welcome!', 'Lozib', 'Hofar', 'Prequel', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'fetch-box', 'Universal Acco...', 'Good Old Days ...']}"
ierae,2929,"{'challenge_name': ['Welcome!', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'No visible signs', 'fetch-box', 'gitmails', 'Universal Acco...', 'Good Old Days ...']}"
TRX,2897,"{'challenge_name': ['Welcome!', 'Hofar', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'fetch-box', 'fire-leak', 'Universal Acco...', 'Good Old Days ...']}"
pwnlentoni,1625,"{'challenge_name': ['Welcome!', 'Lozib', 'Hofar', 'Strength', 'Redocumentation', 'Friday', 'fetch-box']}"
full_weak_engineer,1530,"{'challenge_name': ['Welcome!', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'fetch-box', 'Good Old Days ...']}"
Cryptonite,1511,"{'challenge_name': ['Welcome!', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday', 'Friday', 'fetch-box']}"
ADA INDONESIA COY,1212,"{'challenge_name': ['Welcome!', 'fetch-box', 'gitmails', 'Universal Acco...', 'Good Old Days ...']}"
thefwncrew,1203,"{'challenge_name': ['Welcome!', 'Strength', 'Redocumentation', 'Shellerev', 'fetch-box', 'Good Old Days ...']}"
BITSkrieg,1120,"{'challenge_name': ['Welcome!', 'Hofar', 'Strength', 'Thuesday', 'Friday']}"
fearless,1025,"{'challenge_name': ['Welcome!', 'Strength', 'Redocumentation', 'Shellerev', 'Thuesday']}"
TPC,892,"{'challenge_name': ['Welcome!', 'Lozib', 'Hofar', 'Strength']}"
MindCrafters,835,"{'challenge_name': ['Welcome!', 'Lozib', 'Strength', 'Thuesday']}"
SiestaFiestaPwnea...,812,"{'challenge_name': ['Welcome!', 'Lozib', 'Strength', 'Good Old Days ...']}"
WTN,766,"{'challenge_name': ['Welcome!', 'Strength', 'Redocumentation', 'Shellerev']}"
${cystick},642,"{'challenge_name': ['Welcome!', 'fetch-box', 'gitmails']}"
ouuan,642,"{'challenge_name': ['Welcome!', 'fetch-box', 'gitmails']}"
tofu,613,"{'challenge_name': ['Welcome!', 'Universal Acco...', 'Good Old Days ...']}"
BKISC,549,"{'challenge_name': ['Welcome!', 'Redocumentation', 'Shellerev']}"
Disqualified,503,"{'challenge_name': ['Welcome!', 'Thuesday', 'fetch-box']}"
FR13NDS TEAM,480,"{'challenge_name': ['Welcome!', 'fetch-box', 'Good Old Days ...']}"
N30Z30N,418,"{'challenge_name': ['Welcome!', 'Prequel']}"
i vecchi,302,"{'challenge_name': ['Welcome!', 'Thuesday']}"
中国,279,"{'challenge_name': ['Welcome!', 'Good Old Days ...']}"
m1t0,279,"{'challenge_name': ['Welcome!', 'Good Old Days ...']}"
tomato#1,244,"{'challenge_name': ['Welcome!', 'fetch-box']}"
TeamC8,217,{'challenge_name': ['Strength']}
itsnotagame,201,{'challenge_name': ['fetch-box']}
sudi%00,201,{'challenge_name': ['fetch-box']}
Stellalone Hunters,43,{'challenge_name': ['Welcome!']}
PunchClub,43,{'challenge_name': ['Welcome!']}
Paolo,43,{'challenge_name': ['Welcome!']}
ctfrrteam,43,{'challenge_name': ['Welcome!']}
TechNOS,43,{'challenge_name': ['Welcome!']}
Luxi,43,{'challenge_name': ['Welcome!']}
Team Optimus,43,{'challenge_name': ['Welcome!']}
init 1,43,{'challenge_name': ['Welcome!']}
hell_no,43,{'challenge_name': ['Welcome!']}
Hash Dogs,43,{'challenge_name': ['Welcome!']}
Cyber Dark Inferno,43,{'challenge_name': ['Welcome!']}
sknb,43,{'challenge_name': ['Welcome!']}
Crypt0_Kn1ght5,43,{'challenge_name': ['Welcome!']}
BlahLand,43,{'challenge_name': ['Welcome!']}
YMD,43,{'challenge_name': ['Welcome!']}
RB26,43,{'challenge_name': ['Welcome!']}
H4ck_t0_G3t_th3_B4g,43,{'challenge_name': ['Welcome!']}
#MogamiShizuka,43,{'challenge_name': ['Welcome!']}
justforfun,43,{'challenge_name': ['Welcome!']}
Zzzz,43,{'challenge_name': ['Welcome!']}
66D60334,43,{'challenge_name': ['Welcome!']}
SIGAN,43,{'challenge_name': ['Welcome!']}
falaheen,43,{'challenge_name': ['Welcome!']}
sebsrt,43,{'challenge_name': ['Welcome!']}
excelr8,43,{'challenge_name': ['Welcome!']}
udnap,43,{'challenge_name': ['Welcome!']}
PingWins Pirates,43,{'challenge_name': ['Welcome!']}
I_WAS_THE_BEEEST,43,{'challenge_name': ['Welcome!']}
