name,points,challenges
N0wayBack,10501.28,"{'challenge_name': ['deeptx', 'ezFPGA', 'master of movie', 'yolov?-cls', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'OhMyTetration', 'tinyCKKS', 'AAALLL', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['833', '487', '384', '1000', '476', '56', '400', '645', '740', '952', '740', '606', '606', '526', '240', '408', '645', '408', '144']}"
N1STAR,7732,"{'challenge_name': ['ezFPGA', 'master of movie', 'signin', 'QQQRcode', 'easy_log', 'OhMyTetration', 'tinyCKKS', 'AAALLL', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '56', '400', '645', '740', '952', '740', '606', '606', '526', '240', '645', '408', '144']}"
Spirit+,7557.83,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'OhMyTetration', 'AAALLL', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '400', '645', '740', '740', '606', '606', '526', '240', '408', '645', '408', '144']}"
V&N,6581.63,"{'challenge_name': ['unstoppable', 'ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'OhMyTetration', 'AFL sandbox', 'arandom', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['909', '487', '384', '476', '56', '400', '740', '606', '606', '240', '408', '645', '408', '144']}"
Nepnep,6411.9,"{'challenge_name': ['clé secrète', 'ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['952', '487', '384', '476', '56', '400', '645', '606', '606', '526', '240', '408', '408', '144']}"
XMCVE-Polaris,6219,"{'challenge_name': ['deeptx', 'ezFPGA', 'master of movie', 'Hard guess', 'signin', 'QQQRcode', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['833', '487', '384', '476', '56', '400', '606', '606', '526', '240', '408', '645', '408', '144']}"
0RAYS,5980.67,"{'challenge_name': ['ezFPGA', 'Hard guess', 'signin', 'QQQRcode', 'easy_log', 'OhMyTetration', 'AAALLL', 'only read', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '476', '56', '400', '645', '740', '740', '526', '240', '408', '645', '408', '144']}"
Ph0t1n1a,5419.58,"{'challenge_name': ['unstoppable', 'deeptx', 'clé secrète', 'ezFPGA', 'Hard guess', 'signin', 'QQQRcode', 'not so web 1', 'not so web 2', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['909', '833', '952', '487', '476', '56', '400', '240', '408', '408', '144']}"
0psu3,5009.8,"{'challenge_name': ['ezFPGA', 'master of movie', 'Hard guess', 'signin', 'AFL sandbox', 'arandom', 'only read', 'not so web 1', 'not so web 2', 'eznote', 'Excellent-Site', 'ACTF upload'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['487', '384', '476', '56', '606', '606', '526', '240', '408', '645', '408', '144']}"
USTC-NEBULA,4943.4,"{'challenge_name': ['deeptx', 'ezFPGA', 'master of movie', 'signin', 'easy_log', 'OhMyTetration', 'AAALLL', 'arandom', 'not so web 1', 'ACTF upload'], 'challenge_category': ['Reverse', 'Reverse', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Web', 'Web'], 'challenge_points': ['833', '487', '384', '56', '645', '740', '740', '606', '240', '144']}"
