name,points,challenge
HammondFanClubTime,24961,"{'challenge_name': ['bug-me', 'cert-tool', 'tarnation', 'extra-effed-system', 'nearest-neighbor', 'cipher-block-corruption', 'magic', 'extinction', 'pathing', 'hoard', 'block-cipher', 'hangman-two', 'NextPM', 'hangman-three', 'arrow-of-time', 'flag-search', 'go-back', 'goto-zero', 'pascals-homomorphism-1', 'qr-decomp', 'dragon-spell', 'dating', 'web-tutorial-2', 'detector-2', 'oh-say-can-you-see', 'taxonomy', 'ruthless-dot-flag-2', 'cardx', 'ruthless-dot-flag', 'sighting', 'boxy', 'locky', 'crossworthy', 'obscuratron', 'dragon-name', 'subprime', 'evidence', 'web-tutorial-1', 'hidden-reports', 'acaan', 'oh-the-places-youll-go-2', 'soothsayer', 'moa-station', 'oh-the-places-youll-go-1', 'go-git-it', 'detector', 'hangman-one', 'meow', 'your-browser-hates-you', 'toothless'], 'challenge_category': [], 'challenge_points': ['995', '1000', '874', '874', '973', '797', '100', '620', '100', '100', '991', '964', '932', '752', '995', '980', '991', '991', '527', '100', '388', '100', '905', '100', '980', '100', '995', '973', '703', '100', '50', '100', '100', '100', '100', '100', '100', '100', '100', '890', '955', '728', '838', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T22:52:47.972480Z', '2025-04-27T21:33:52.681951Z', '2025-04-27T18:03:05.661355Z', '2025-04-27T17:59:18.795642Z', '2025-04-27T17:48:30.481513Z', '2025-04-27T17:21:34.964309Z', '2025-04-27T17:09:20.175331Z', '2025-04-27T17:08:12.233409Z', '2025-04-27T17:04:29.713764Z', '2025-04-27T17:03:17.879349Z', '2025-04-27T16:59:25.281354Z', '2025-04-27T06:17:08.263960Z', '2025-04-27T05:16:56.018078Z', '2025-04-27T05:15:19.453288Z', '2025-04-27T04:51:51.083437Z', '2025-04-27T04:48:27.840695Z', '2025-04-27T00:31:33.257952Z', '2025-04-27T00:13:50.765648Z', '2025-04-26T23:25:58.820335Z', '2025-04-26T23:24:33.112645Z', '2025-04-26T23:23:28.600010Z', '2025-04-26T23:14:47.644298Z', '2025-04-26T22:20:57.207464Z', '2025-04-26T21:50:17.256763Z', '2025-04-26T21:35:46.343291Z', '2025-04-26T21:34:12.027391Z', '2025-04-26T21:25:01.836481Z', '2025-04-26T21:24:24.746150Z', '2025-04-26T21:01:45.898705Z', '2025-04-26T20:46:51.186187Z', '2025-04-26T20:43:34.276745Z', '2025-04-26T20:14:27.448112Z', '2025-04-26T18:37:11.601650Z', '2025-04-26T17:33:40.112891Z', '2025-04-26T17:17:23.287032Z', '2025-04-26T17:11:38.851814Z', '2025-04-26T17:08:34.706649Z', '2025-04-26T17:03:55.100745Z', '2025-04-26T17:00:00.657675Z', '2025-04-26T08:14:49.202066Z', '2025-04-26T06:58:13.320257Z', '2025-04-26T05:01:05.875261Z', '2025-04-26T04:05:00.585756Z', '2025-04-26T02:52:06.821103Z', '2025-04-26T02:05:50.767299Z', '2025-04-26T00:08:22.969035Z', '2025-04-26T00:03:02.111386Z', '2025-04-25T23:57:49.901696Z', '2025-04-25T23:36:45.966262Z', '2025-04-25T23:21:58.561667Z']}"
meow,20995,"{'challenge_name': ['arrow-of-time', 'oh-the-places-youll-go-2', 'nearest-neighbor', 'magic', 'cipher-block-corruption', 'tarnation', 'hoard', 'extra-effed-system', 'pathing', 'extinction', 'block-cipher', 'qr-decomp', 'dating', 'locky', 'cardx', 'pascals-homomorphism-1', 'hangman-two', 'dragon-spell', 'oh-say-can-you-see', 'boxy', 'go-back', 'detector-2', 'hangman-three', 'sighting', 'ruthless-dot-flag-2', 'NextPM', 'taxonomy', 'ruthless-dot-flag', 'web-tutorial-2', 'obscuratron', 'subprime', 'dragon-name', 'acaan', 'evidence', 'hidden-reports', 'web-tutorial-1', 'crossworthy', 'oh-the-places-youll-go-1', 'soothsayer', 'moa-station', 'go-git-it', 'your-browser-hates-you', 'toothless', 'hangman-one', 'meow', 'detector'], 'challenge_category': [], 'challenge_points': ['995', '955', '973', '100', '797', '874', '100', '874', '100', '620', '991', '100', '100', '100', '973', '527', '964', '388', '980', '50', '991', '100', '752', '100', '995', '932', '100', '703', '905', '100', '100', '100', '890', '100', '100', '100', '100', '100', '728', '838', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T20:32:48.217563Z', '2025-04-27T20:10:27.717272Z', '2025-04-27T17:53:04.092647Z', '2025-04-27T17:44:32.398758Z', '2025-04-27T17:09:39.020939Z', '2025-04-27T16:49:51.828050Z', '2025-04-27T16:37:27.169769Z', '2025-04-27T16:28:53.447619Z', '2025-04-27T16:24:19.332348Z', '2025-04-27T16:14:29.597283Z', '2025-04-27T07:43:39.231338Z', '2025-04-27T01:44:38.086542Z', '2025-04-27T00:12:39.976626Z', '2025-04-27T00:04:06.084250Z', '2025-04-26T23:59:44.418608Z', '2025-04-26T23:53:38.336093Z', '2025-04-26T23:35:14.453551Z', '2025-04-26T22:55:49.721573Z', '2025-04-26T22:53:03.463910Z', '2025-04-26T22:20:12.102701Z', '2025-04-26T22:10:42.210048Z', '2025-04-26T22:09:05.642040Z', '2025-04-26T22:05:00.161798Z', '2025-04-26T21:44:37.259916Z', '2025-04-26T21:32:07.112538Z', '2025-04-26T21:31:17.136215Z', '2025-04-26T21:28:18.711797Z', '2025-04-26T20:23:10.198457Z', '2025-04-26T19:33:26.148072Z', '2025-04-26T18:13:03.046325Z', '2025-04-26T17:40:29.065331Z', '2025-04-26T17:39:24.495664Z', '2025-04-26T17:36:03.921052Z', '2025-04-26T17:14:29.078731Z', '2025-04-26T17:11:25.760574Z', '2025-04-26T16:46:31.248069Z', '2025-04-26T16:39:49.972420Z', '2025-04-26T06:42:14.082571Z', '2025-04-26T05:32:42.805615Z', '2025-04-26T04:42:32.106168Z', '2025-04-26T04:16:32.918886Z', '2025-04-26T04:08:22.013676Z', '2025-04-26T04:07:45.512869Z', '2025-04-26T04:06:39.745969Z', '2025-04-26T03:57:31.237314Z', '2025-04-26T03:57:06.648270Z']}"
Stanford Applied Cyber,19989,"{'challenge_name': ['extra-effed-system', 'locky', 'tarnation', 'extinction', 'cert-tool', 'boxy', 'magic', 'cipher-block-corruption', 'pathing', 'hoard', 'oh-say-can-you-see', 'dragon-spell', 'dating', 'web-tutorial-2', 'NextPM', 'soothsayer', 'hangman-two', 'goto-zero', 'pascals-homomorphism-2', 'pascals-homomorphism-1', 'hangman-three', 'moa-station', 'go-back', 'detector-2', 'taxonomy', 'bug-me', 'sighting', 'ruthless-dot-flag', 'dragon-name', 'crossworthy', 'evidence', 'obscuratron', 'web-tutorial-1', 'hidden-reports', 'subprime', 'arrow-of-time', 'oh-the-places-youll-go-1', 'toothless', 'hangman-one', 'acaan', 'your-browser-hates-you', 'detector', 'meow', 'go-git-it'], 'challenge_category': [], 'challenge_points': ['874', '100', '874', '620', '1000', '50', '100', '797', '100', '100', '980', '388', '100', '905', '932', '728', '964', '991', '995', '527', '752', '838', '991', '100', '100', '995', '100', '703', '100', '100', '100', '100', '100', '100', '100', '995', '100', '100', '100', '890', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T22:05:38.442986Z', '2025-04-27T20:15:49.910466Z', '2025-04-27T19:47:01.938332Z', '2025-04-27T18:50:53.545880Z', '2025-04-27T18:47:16.567974Z', '2025-04-27T18:33:52.615134Z', '2025-04-27T16:15:59.140396Z', '2025-04-27T16:14:49.626830Z', '2025-04-27T16:12:43.030548Z', '2025-04-27T16:12:01.386236Z', '2025-04-27T09:23:21.400468Z', '2025-04-27T08:59:53.518184Z', '2025-04-27T07:03:06.868010Z', '2025-04-27T06:57:13.077079Z', '2025-04-27T05:21:53.809667Z', '2025-04-27T04:27:32.484276Z', '2025-04-27T01:46:56.159548Z', '2025-04-27T01:20:45.952689Z', '2025-04-26T23:53:28.899891Z', '2025-04-26T23:27:26.604695Z', '2025-04-26T23:07:10.438805Z', '2025-04-26T22:56:43.582929Z', '2025-04-26T22:15:07.659407Z', '2025-04-26T21:59:00.906071Z', '2025-04-26T21:56:06.060936Z', '2025-04-26T21:02:05.327054Z', '2025-04-26T20:27:35.121204Z', '2025-04-26T20:26:39.206153Z', '2025-04-26T20:06:20.879063Z', '2025-04-26T20:02:31.755208Z', '2025-04-26T16:27:21.105740Z', '2025-04-26T16:25:44.497684Z', '2025-04-26T16:16:38.628140Z', '2025-04-26T16:11:54.921912Z', '2025-04-26T16:11:18.414395Z', '2025-04-26T06:48:08.481026Z', '2025-04-26T01:03:08.379213Z', '2025-04-26T00:26:07.086021Z', '2025-04-26T00:24:17.676458Z', '2025-04-25T23:32:23.393939Z', '2025-04-25T23:25:36.908289Z', '2025-04-25T23:25:14.653747Z', '2025-04-25T23:23:07.258070Z', '2025-04-25T23:18:09.466122Z']}"
Nahomies,16923,"{'challenge_name': ['acaan', 'nearest-neighbor', 'tarnation', 'extra-effed-system', 'cipher-block-corruption', 'magic', 'extinction', 'hoard', 'pathing', 'oh-say-can-you-see', 'locky', 'boxy', 'pascals-homomorphism-1', 'dating', 'dragon-spell', 'web-tutorial-2', 'taxonomy', 'NextPM', 'detector-2', 'hangman-three', 'hangman-two', 'sighting', 'ruthless-dot-flag', 'cardx', 'obscuratron', 'oh-the-places-youll-go-2', 'crossworthy', 'dragon-name', 'subprime', 'evidence', 'web-tutorial-1', 'hidden-reports', 'moa-station', 'soothsayer', 'oh-the-places-youll-go-1', 'hangman-one', 'your-browser-hates-you', 'toothless', 'detector', 'go-git-it', 'meow'], 'challenge_category': [], 'challenge_points': ['890', '973', '874', '874', '797', '100', '620', '100', '100', '980', '100', '50', '527', '100', '388', '905', '100', '932', '100', '752', '964', '100', '703', '973', '100', '955', '100', '100', '100', '100', '100', '100', '838', '728', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T18:37:07.051336Z', '2025-04-27T17:59:57.447277Z', '2025-04-27T17:04:38.828815Z', '2025-04-27T16:56:46.230490Z', '2025-04-27T16:24:53.078013Z', '2025-04-27T16:18:59.064845Z', '2025-04-27T16:13:44.070067Z', '2025-04-27T16:12:01.730718Z', '2025-04-27T16:05:46.111448Z', '2025-04-27T05:33:17.417159Z', '2025-04-26T23:30:54.256188Z', '2025-04-26T23:26:13.513296Z', '2025-04-26T23:17:18.317587Z', '2025-04-26T23:10:44.040895Z', '2025-04-26T22:37:15.926787Z', '2025-04-26T21:52:27.126980Z', '2025-04-26T21:42:49.648109Z', '2025-04-26T21:37:14.936406Z', '2025-04-26T21:35:16.504904Z', '2025-04-26T20:23:36.769072Z', '2025-04-26T19:54:40.282507Z', '2025-04-26T19:30:14.178736Z', '2025-04-26T18:36:50.470705Z', '2025-04-26T17:17:08.743023Z', '2025-04-26T16:46:12.831170Z', '2025-04-26T16:33:49.812537Z', '2025-04-26T16:33:22.744016Z', '2025-04-26T16:25:00.262921Z', '2025-04-26T16:21:43.693806Z', '2025-04-26T16:19:10.311532Z', '2025-04-26T16:14:41.933631Z', '2025-04-26T16:14:04.626726Z', '2025-04-26T14:59:43.918302Z', '2025-04-26T14:13:51.180280Z', '2025-04-26T00:31:04.392491Z', '2025-04-25T23:35:22.151319Z', '2025-04-25T23:32:18.334617Z', '2025-04-25T23:25:15.082950Z', '2025-04-25T23:20:15.252065Z', '2025-04-25T23:10:55.380702Z', '2025-04-25T23:03:53.071940Z']}"
IncludeSec,12532,"{'challenge_name': ['cardx', 'nearest-neighbor', 'extra-effed-system', 'ruthless-dot-flag', 'tarnation', 'extinction', 'magic', 'cipher-block-corruption', 'hoard', 'pathing', 'dating', 'NextPM', 'hangman-two', 'pascals-homomorphism-1', 'hangman-three', 'taxonomy', 'detector-2', 'web-tutorial-2', 'sighting', 'moa-station', 'dragon-name', 'subprime', 'your-browser-hates-you', 'web-tutorial-1', 'toothless', 'evidence', 'detector', 'hangman-one', 'hidden-reports', 'meow', 'go-git-it'], 'challenge_category': [], 'challenge_points': ['973', '973', '874', '703', '874', '620', '100', '797', '100', '100', '100', '932', '964', '527', '752', '100', '100', '905', '100', '838', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T22:49:31.325350Z', '2025-04-27T21:23:59.077814Z', '2025-04-27T21:10:46.257232Z', '2025-04-27T20:53:50.730357Z', '2025-04-27T19:31:20.032108Z', '2025-04-27T17:59:21.648798Z', '2025-04-27T17:08:31.631356Z', '2025-04-27T17:02:33.636049Z', '2025-04-27T16:50:23.934145Z', '2025-04-27T16:45:20.222321Z', '2025-04-27T09:24:08.953255Z', '2025-04-27T08:12:11.437759Z', '2025-04-27T07:29:22.607044Z', '2025-04-27T06:08:43.878729Z', '2025-04-27T05:28:28.657982Z', '2025-04-27T00:37:13.773552Z', '2025-04-27T00:36:45.346075Z', '2025-04-27T00:28:45.420264Z', '2025-04-27T00:21:00.083747Z', '2025-04-26T22:51:39.881341Z', '2025-04-26T19:13:41.499794Z', '2025-04-26T19:05:32.652679Z', '2025-04-26T19:00:17.598584Z', '2025-04-26T18:59:40.668972Z', '2025-04-26T18:37:19.752710Z', '2025-04-26T18:36:27.311522Z', '2025-04-26T18:34:29.578064Z', '2025-04-26T18:29:07.008144Z', '2025-04-26T18:25:25.499307Z', '2025-04-26T18:24:56.349627Z', '2025-04-26T18:24:28.574102Z']}"
aespaw,12427,"{'challenge_name': ['NextPM', 'goto-zero', 'hangman-three', 'bug-me', 'web-tutorial-2', 'ruthless-dot-flag', 'pascals-homomorphism-1', 'dragon-spell', 'dating', 'detector-2', 'taxonomy', 'sighting', 'crossworthy', 'dragon-name', 'subprime', 'hidden-reports', 'evidence', 'obscuratron', 'web-tutorial-1', 'matryoshkafs', 'moa-station', 'flag-search', 'oh-the-places-youll-go-1', 'acaan', 'soothsayer', 'go-git-it', 'detector', 'toothless', 'hangman-one', 'your-browser-hates-you', 'meow'], 'challenge_category': [], 'challenge_points': ['932', '991', '752', '995', '905', '703', '527', '388', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '998', '838', '980', '100', '890', '728', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T14:02:52.863253Z', '2025-04-27T13:22:58.072831Z', '2025-04-27T06:52:27.313273Z', '2025-04-27T05:06:09.778362Z', '2025-04-27T03:27:36.907890Z', '2025-04-27T02:37:36.095736Z', '2025-04-27T02:07:31.849646Z', '2025-04-27T02:03:36.811107Z', '2025-04-27T01:37:46.359417Z', '2025-04-27T01:18:37.877277Z', '2025-04-27T01:11:49.105960Z', '2025-04-27T01:09:09.696306Z', '2025-04-26T16:22:36.084868Z', '2025-04-26T16:14:17.968961Z', '2025-04-26T16:11:09.069317Z', '2025-04-26T16:09:16.223530Z', '2025-04-26T16:07:56.217457Z', '2025-04-26T16:06:41.226796Z', '2025-04-26T16:04:46.865101Z', '2025-04-26T12:08:58.202191Z', '2025-04-26T09:32:11.707582Z', '2025-04-26T08:28:20.108881Z', '2025-04-26T08:26:50.124436Z', '2025-04-26T02:30:38.025706Z', '2025-04-26T02:17:32.065694Z', '2025-04-26T01:31:55.513512Z', '2025-04-26T01:23:46.659064Z', '2025-04-26T01:18:46.327414Z', '2025-04-26T01:17:33.387275Z', '2025-04-26T00:53:36.255024Z', '2025-04-26T00:40:31.085046Z']}"
T1g3r5,12330,"{'challenge_name': ['nearest-neighbor', 'cardx', 'tarnation', 'ruthless-dot-flag', 'acaan', 'pascals-homomorphism-1', 'dragon-spell', 'toothless', 'subprime', 'oh-the-places-youll-go-2', 'oh-the-places-youll-go-1', 'obscuratron', 'meow', 'magic', 'dragon-name', 'crossworthy', 'web-tutorial-2', 'web-tutorial-1', 'NextPM', 'moa-station', 'hangman-three', 'evidence', 'detector-2', 'detector', 'dating', 'your-browser-hates-you', 'hoard', 'taxonomy', 'pathing', 'go-git-it', 'hidden-reports', 'hangman-one', 'extinction'], 'challenge_category': [], 'challenge_points': ['973', '973', '874', '703', '890', '527', '388', '100', '100', '955', '100', '100', '100', '100', '100', '100', '905', '100', '932', '838', '752', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '620'], 'solve_time': ['2025-04-27T22:12:01.176760Z', '2025-04-27T22:11:51.042569Z', '2025-04-27T22:11:04.823983Z', '2025-04-27T22:10:56.258069Z', '2025-04-27T22:10:02.488704Z', '2025-04-27T22:09:09.691619Z', '2025-04-27T22:09:01.110700Z', '2025-04-27T22:08:53.027736Z', '2025-04-27T22:08:45.054842Z', '2025-04-27T22:08:34.130676Z', '2025-04-27T22:08:25.105645Z', '2025-04-27T22:08:14.056262Z', '2025-04-27T22:08:06.607679Z', '2025-04-27T22:07:57.562196Z', '2025-04-27T22:07:49.264336Z', '2025-04-27T22:07:38.005972Z', '2025-04-27T22:06:30.521152Z', '2025-04-27T22:06:22.884549Z', '2025-04-27T22:06:07.392808Z', '2025-04-27T22:06:00.230401Z', '2025-04-27T22:05:53.688416Z', '2025-04-27T22:05:40.839608Z', '2025-04-27T22:05:11.076954Z', '2025-04-27T22:05:00.966815Z', '2025-04-27T22:04:52.052819Z', '2025-04-27T22:04:41.823953Z', '2025-04-27T22:04:31.743048Z', '2025-04-27T22:04:23.712374Z', '2025-04-27T22:03:57.712435Z', '2025-04-27T22:03:49.531973Z', '2025-04-27T22:03:37.861736Z', '2025-04-27T22:03:30.016230Z', '2025-04-27T22:03:13.478184Z']}"
CYberMouflons,11562,"{'challenge_name': ['magic', 'pathing', 'oh-say-can-you-see', 'pascals-homomorphism-1', 'NextPM', 'oh-the-places-youll-go-2', 'dating', 'detector-2', 'hangman-three', 'taxonomy', 'dragon-spell', 'web-tutorial-2', 'ruthless-dot-flag', 'hangman-two', 'sighting', 'moa-station', 'soothsayer', 'crossworthy', 'dragon-name', 'subprime', 'obscuratron', 'evidence', 'hidden-reports', 'web-tutorial-1', 'acaan', 'oh-the-places-youll-go-1', 'go-git-it', 'detector', 'toothless', 'your-browser-hates-you', 'hangman-one', 'meow'], 'challenge_category': [], 'challenge_points': ['100', '100', '980', '527', '932', '955', '100', '100', '752', '100', '388', '905', '703', '964', '100', '838', '728', '100', '100', '100', '100', '100', '100', '100', '890', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T17:11:08.008749Z', '2025-04-27T17:01:13.821639Z', '2025-04-27T09:37:21.101928Z', '2025-04-27T07:57:08.222651Z', '2025-04-27T07:21:32.401608Z', '2025-04-27T07:07:49.772306Z', '2025-04-27T03:29:07.433099Z', '2025-04-26T22:02:57.773946Z', '2025-04-26T21:57:11.805502Z', '2025-04-26T21:46:19.310440Z', '2025-04-26T21:14:57.224140Z', '2025-04-26T21:10:20.913834Z', '2025-04-26T20:30:53.106013Z', '2025-04-26T19:59:38.224651Z', '2025-04-26T19:52:10.817380Z', '2025-04-26T19:37:46.373485Z', '2025-04-26T17:52:39.144120Z', '2025-04-26T17:38:37.035560Z', '2025-04-26T17:16:19.461642Z', '2025-04-26T17:08:01.595412Z', '2025-04-26T16:54:16.954841Z', '2025-04-26T16:27:16.846736Z', '2025-04-26T16:23:17.349061Z', '2025-04-26T16:22:03.877517Z', '2025-04-26T14:25:09.413544Z', '2025-04-26T12:00:20.173284Z', '2025-04-26T09:50:46.814726Z', '2025-04-26T07:55:30.446878Z', '2025-04-26T07:47:27.223365Z', '2025-04-26T07:42:55.489404Z', '2025-04-26T07:16:16.169982Z', '2025-04-26T00:20:54.504188Z']}"
SlugSec,9574,"{'challenge_name': ['obscuratron', 'go-back', 'pascals-homomorphism-2', 'pascals-homomorphism-1', 'cardx', 'crossworthy', 'taxonomy', 'NextPM', 'oh-the-places-youll-go-1', 'ruthless-dot-flag-2', 'ruthless-dot-flag', 'dragon-name', 'sighting', 'boxy', 'web-tutorial-1', 'subprime', 'locky', 'hidden-reports', 'evidence', 'detector', 'go-git-it', 'flag-search', 'soothsayer', 'hangman-one', 'toothless', 'your-browser-hates-you', 'meow'], 'challenge_category': [], 'challenge_points': ['100', '991', '995', '527', '973', '100', '100', '932', '100', '995', '703', '100', '100', '50', '100', '100', '100', '100', '100', '100', '100', '980', '728', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T08:30:46.194862Z', '2025-04-27T07:17:24.459676Z', '2025-04-27T01:02:47.231933Z', '2025-04-27T00:25:42.350992Z', '2025-04-26T23:39:39.560781Z', '2025-04-26T22:38:33.812067Z', '2025-04-26T22:33:48.351663Z', '2025-04-26T22:28:34.939318Z', '2025-04-26T22:26:30.743145Z', '2025-04-26T21:06:47.760938Z', '2025-04-26T20:35:10.456774Z', '2025-04-26T20:21:55.621659Z', '2025-04-26T19:45:02.903486Z', '2025-04-26T19:28:58.740236Z', '2025-04-26T19:23:50.656462Z', '2025-04-26T19:17:27.195012Z', '2025-04-26T19:12:46.837979Z', '2025-04-26T19:09:18.445663Z', '2025-04-26T19:04:46.680126Z', '2025-04-26T06:06:07.475883Z', '2025-04-26T06:05:18.678418Z', '2025-04-26T05:58:47.205628Z', '2025-04-26T05:46:10.391692Z', '2025-04-26T01:16:08.700898Z', '2025-04-26T01:03:54.618570Z', '2025-04-26T00:56:11.061265Z', '2025-04-26T00:53:47.232318Z']}"
RSC,8680,"{'challenge_name': ['oh-the-places-youll-go-2', 'cipher-block-corruption', 'tarnation', 'extinction', 'hoard', 'magic', 'pathing', 'ruthless-dot-flag', 'pascals-homomorphism-1', 'hangman-two', 'dating', 'hangman-three', 'detector-2', 'dragon-spell', 'sighting', 'taxonomy', 'crossworthy', 'evidence', 'dragon-name', 'obscuratron', 'web-tutorial-1', 'subprime', 'hidden-reports', 'oh-the-places-youll-go-1', 'detector', 'your-browser-hates-you', 'go-git-it', 'hangman-one', 'toothless', 'meow'], 'challenge_category': [], 'challenge_points': ['955', '797', '874', '620', '100', '100', '100', '703', '527', '964', '100', '752', '100', '388', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-27T20:31:43.401626Z', '2025-04-27T18:04:08.791769Z', '2025-04-27T17:55:03.961543Z', '2025-04-27T17:33:19.583604Z', '2025-04-27T17:27:50.437684Z', '2025-04-27T17:17:02.515829Z', '2025-04-27T17:13:36.232286Z', '2025-04-27T16:53:48.707585Z', '2025-04-27T15:50:07.031389Z', '2025-04-27T10:23:20.475115Z', '2025-04-27T03:06:58.230192Z', '2025-04-26T23:23:23.614541Z', '2025-04-26T23:10:46.846325Z', '2025-04-26T22:16:17.154673Z', '2025-04-26T22:14:59.257879Z', '2025-04-26T22:12:32.210517Z', '2025-04-26T22:09:33.859643Z', '2025-04-26T20:02:39.910246Z', '2025-04-26T19:48:56.066391Z', '2025-04-26T19:14:57.041390Z', '2025-04-26T17:29:03.680593Z', '2025-04-26T17:10:13.026084Z', '2025-04-26T16:59:35.385368Z', '2025-04-26T06:17:39.518480Z', '2025-04-26T01:56:46.509870Z', '2025-04-26T01:05:23.658015Z', '2025-04-26T00:22:25.590948Z', '2025-04-26T00:05:46.752954Z', '2025-04-25T23:52:01.333976Z', '2025-04-25T23:38:43.859393Z']}"
