name,points,challenge
SNI,7290,"{'challenge_name': ['Feedback', 'Framework Follies', 'Mr Bean', 'NFT', 'Taaffeite Encryption', 'Big Stuff', 'MagicVault', 'Snak-ASM', 'Mining Mania', 'Catering The Food', 'On the Clock', 'Pyshell', 'Snaeky', 'Onions Make Me Cry :(', 'Peek a QL', 'Vaultability', 'FSWn3d', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Sanity', 'Web', 'Misc', 'Rev', 'Crypto', 'Crypto', 'Pwn', 'Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Rev', 'Misc', 'Web', 'Pwn', 'Pwn', 'Rev', 'Sanity'], 'challenge_points': ['50', '486', '492', '500', '482', '498', '496', '496', '267', '498', '292', '436', '500', '489', '254', '460', '494', '50', '50'], 'solve_time': ['2025-04-05T22:02:02.125732Z', '2025-04-05T21:22:19.464173Z', '2025-04-05T17:44:20.759657Z', '2025-04-05T14:41:23.150393Z', '2025-04-05T13:24:18.044187Z', '2025-04-05T12:41:28.872015Z', '2025-04-05T08:59:27.316259Z', '2025-04-05T08:27:48.583780Z', '2025-04-05T07:19:38.660010Z', '2025-04-05T06:54:04.731665Z', '2025-04-05T06:39:29.172144Z', '2025-04-05T05:27:11.644199Z', '2025-04-05T05:13:24.040953Z', '2025-04-05T05:05:27.188074Z', '2025-04-05T04:59:11.776180Z', '2025-04-05T04:40:00.771554Z', '2025-04-05T04:22:44.828746Z', '2025-04-05T02:47:58.480509Z', '2025-04-05T02:30:38.632563Z']}"
InfoSecIITR,6290,"{'challenge_name': ['Feedback', 'Taaffeite Encryption', 'Mr Bean', 'Snak-ASM', 'Big Stuff', 'On the Clock', 'Catering The Food', 'Pyshell', 'Framework Follies', 'MagicVault', 'Onions Make Me Cry :(', 'Peek a QL', 'Mining Mania', 'Vaultability', 'FSWn3d', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Sanity', 'Crypto', 'Misc', 'Web', 'Crypto', 'Misc', 'Misc', 'Misc', 'Web', 'Pwn', 'Misc', 'Web', 'Misc', 'Pwn', 'Pwn', 'Rev', 'Sanity'], 'challenge_points': ['50', '482', '492', '496', '498', '292', '498', '436', '486', '496', '489', '254', '267', '460', '494', '50', '50'], 'solve_time': ['2025-04-05T22:57:30.937334Z', '2025-04-05T13:59:17.375024Z', '2025-04-05T12:30:56.395109Z', '2025-04-05T12:28:01.228400Z', '2025-04-05T11:54:29.486729Z', '2025-04-05T11:28:44.428945Z', '2025-04-05T10:52:56.173115Z', '2025-04-05T10:45:45.938940Z', '2025-04-05T10:23:53.598955Z', '2025-04-05T10:19:04.970903Z', '2025-04-05T09:52:36.820429Z', '2025-04-05T09:06:09.147825Z', '2025-04-05T08:56:40.914729Z', '2025-04-05T08:20:34.921909Z', '2025-04-05T08:01:01.241711Z', '2025-04-05T04:39:41.229977Z', '2025-04-05T04:22:14.774570Z']}"
QnQSec,5313,"{'challenge_name': ['On the Clock', 'Feedback', 'Framework Follies', 'Snak-ASM', 'Pyshell', 'Mining Mania', 'NFT', 'MagicVault', 'FSWn3d', 'Snaeky', 'Taaffeite Encryption', 'Vaultability', 'Peek a QL', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Misc', 'Sanity', 'Web', 'Web', 'Misc', 'Misc', 'Rev', 'Pwn', 'Pwn', 'Rev', 'Crypto', 'Pwn', 'Web', 'Rev', 'Sanity'], 'challenge_points': ['292', '50', '486', '496', '436', '267', '500', '496', '494', '500', '482', '460', '254', '50', '50'], 'solve_time': ['2025-04-06T01:56:25.207784Z', '2025-04-06T00:13:32.621772Z', '2025-04-05T19:40:23.326104Z', '2025-04-05T15:44:42.002936Z', '2025-04-05T15:07:36.553076Z', '2025-04-05T14:33:38.585085Z', '2025-04-05T13:39:10.948959Z', '2025-04-05T12:27:42.190170Z', '2025-04-05T09:39:47.317734Z', '2025-04-05T09:31:36.692853Z', '2025-04-05T07:43:22.535757Z', '2025-04-05T05:36:37.831229Z', '2025-04-05T04:35:48.102110Z', '2025-04-05T03:07:15.904797Z', '2025-04-05T02:30:05.404683Z']}"
0xHUST,3393,"{'challenge_name': ['Feedback', 'Big Stuff', 'MagicVault', 'FSWn3d', 'Mining Mania', 'Vaultability', 'On the Clock', 'Taaffeite Encryption', 'Fraction Fun', 'Sanity Check', 'Peek a QL'], 'challenge_category': ['Sanity', 'Crypto', 'Pwn', 'Pwn', 'Misc', 'Pwn', 'Misc', 'Crypto', 'Rev', 'Sanity', 'Web'], 'challenge_points': ['50', '498', '496', '494', '267', '460', '292', '482', '50', '50', '254'], 'solve_time': ['2025-04-06T02:04:37.259858Z', '2025-04-05T18:24:26.107479Z', '2025-04-05T16:54:31.471978Z', '2025-04-05T16:10:03.949135Z', '2025-04-05T11:22:47.387265Z', '2025-04-05T10:16:35.504281Z', '2025-04-05T10:04:09.485932Z', '2025-04-05T09:11:43.668176Z', '2025-04-05T05:32:44.334834Z', '2025-04-05T03:48:56.899265Z', '2025-04-05T02:50:37.516689Z']}"
RubiyaLab,3266,"{'challenge_name': ['Taaffeite Encryption', 'Onions Make Me Cry :(', 'Mining Mania', 'Pyshell', 'On the Clock', 'Fraction Fun', 'Framework Follies', 'Vaultability', 'Peek a QL', 'Sanity Check'], 'challenge_category': ['Crypto', 'Misc', 'Misc', 'Misc', 'Misc', 'Rev', 'Web', 'Pwn', 'Web', 'Sanity'], 'challenge_points': ['482', '489', '267', '436', '292', '50', '486', '460', '254', '50'], 'solve_time': ['2025-04-05T16:54:31.595807Z', '2025-04-05T13:59:16.560622Z', '2025-04-05T13:12:03.098785Z', '2025-04-05T13:04:55.381211Z', '2025-04-05T05:43:14.108097Z', '2025-04-05T04:41:11.039829Z', '2025-04-05T04:24:55.129174Z', '2025-04-05T03:59:47.889207Z', '2025-04-05T03:43:44.141345Z', '2025-04-05T02:31:14.659835Z']}"
HgbSec,2784,"{'challenge_name': ['Vaultability', 'Onions Make Me Cry :(', 'Framework Follies', 'Mining Mania', 'Pyshell', 'On the Clock', 'Peek a QL', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Pwn', 'Misc', 'Web', 'Misc', 'Misc', 'Misc', 'Web', 'Rev', 'Sanity'], 'challenge_points': ['460', '489', '486', '267', '436', '292', '254', '50', '50'], 'solve_time': ['2025-04-06T01:05:00.225235Z', '2025-04-05T19:16:18.807560Z', '2025-04-05T14:44:44.835030Z', '2025-04-05T13:49:20.542331Z', '2025-04-05T13:30:00.111054Z', '2025-04-05T10:56:10.404496Z', '2025-04-05T09:45:28.193808Z', '2025-04-05T09:30:00.466137Z', '2025-04-05T08:36:58.476043Z']}"
0utciph3rs,2434,"{'challenge_name': ['Feedback', 'Onions Make Me Cry :(', 'On the Clock', 'Mining Mania', 'Snak-ASM', 'Framework Follies', 'Peek a QL', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Sanity', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Rev', 'Sanity'], 'challenge_points': ['50', '489', '292', '267', '496', '486', '254', '50', '50'], 'solve_time': ['2025-04-05T22:01:12.705429Z', '2025-04-05T19:13:52.872506Z', '2025-04-05T17:31:13.659238Z', '2025-04-05T16:55:25.130392Z', '2025-04-05T14:23:36.585128Z', '2025-04-05T12:36:35.796031Z', '2025-04-05T10:58:49.558445Z', '2025-04-05T10:49:13.429952Z', '2025-04-05T07:09:23.236652Z']}"
:(){ :|:& };:,2374,"{'challenge_name': ['Pyshell', 'On the Clock', 'Feedback', 'Fraction Fun', 'Onions Make Me Cry :(', 'Mining Mania', 'Framework Follies', 'Peek a QL', 'Sanity Check'], 'challenge_category': ['Misc', 'Misc', 'Sanity', 'Rev', 'Misc', 'Misc', 'Web', 'Web', 'Sanity'], 'challenge_points': ['436', '292', '50', '50', '489', '267', '486', '254', '50'], 'solve_time': ['2025-04-06T02:27:08.653158Z', '2025-04-06T00:42:44.066892Z', '2025-04-06T00:19:01.404505Z', '2025-04-05T18:10:17.098100Z', '2025-04-05T17:12:22.453457Z', '2025-04-05T15:46:12.402012Z', '2025-04-05T14:59:53.360057Z', '2025-04-05T14:39:03.975826Z', '2025-04-05T05:52:00.793246Z']}"
TCP1P,2367,"{'challenge_name': ['Feedback', 'Taaffeite Encryption', 'Framework Follies', 'Mining Mania', 'On the Clock', 'Pyshell', 'Peek a QL', 'Fraction Fun', 'Sanity Check'], 'challenge_category': ['Sanity', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc', 'Web', 'Rev', 'Sanity'], 'challenge_points': ['50', '482', '486', '267', '292', '436', '254', '50', '50'], 'solve_time': ['2025-04-06T01:33:49.293169Z', '2025-04-05T15:57:09.498023Z', '2025-04-05T11:58:44.388255Z', '2025-04-05T11:34:30.288748Z', '2025-04-05T10:10:00.871803Z', '2025-04-05T09:58:02.494669Z', '2025-04-05T03:26:49.584914Z', '2025-04-05T02:51:04.030694Z', '2025-04-05T02:31:41.665281Z']}"
Bashers,2353,"{'challenge_name': ['Pyshell', 'Feedback', 'Mining Mania', 'On the Clock', 'FSWn3d', 'Sanity Check', 'Vaultability', 'Fraction Fun', 'Peek a QL'], 'challenge_category': ['Misc', 'Sanity', 'Misc', 'Misc', 'Pwn', 'Sanity', 'Pwn', 'Rev', 'Web'], 'challenge_points': ['436', '50', '267', '292', '494', '50', '460', '50', '254'], 'solve_time': ['2025-04-06T00:22:19.803677Z', '2025-04-05T23:43:30.691434Z', '2025-04-05T11:57:48.925050Z', '2025-04-05T11:27:46.434702Z', '2025-04-05T10:55:02.971004Z', '2025-04-05T08:30:08.415236Z', '2025-04-05T08:25:04.244498Z', '2025-04-05T07:28:54.533075Z', '2025-04-05T07:13:25.959903Z']}"
