name,points,challenge
justCatTheFish,5126,"{'challenge_name': ['oboe', 'debugapwner', 'safestnote', 'bcu-transcription', 'bad-chess-challenge', 'survey', 'nil-circ', 'diceon', 'convenience-store', 'golden-bridge', 'dicetok', 'r2uwu2s-resort', 'old-site-b-side', 'oño', 'glail', 'nonograms', 'debugalyzer', 'nobin', 'dicepass', 'winxy-pistol', 'satisfied', 'vorpal-sword', 'dicecap', 'pyramid', 'bcu-binding', 'cookie-recipes-v3', 'welcome'], 'challenge_category': ['pwn', 'pwn', 'web', 'rev', 'web', 'misc', 'crypto', 'misc', 'misc', 'misc', 'rev', 'pwn', 'web', 'rev', 'misc', 'rev', 'rev', 'web', 'web', 'crypto', 'crypto', 'crypto', 'misc', 'web', 'misc', 'web', 'misc'], 'challenge_points': ['214', '177', '443', '271', '200', '1', '318', '233', '300', '271', '175', '155', '285', '151', '209', '155', '125', '165', '400', '148', '146', '122', '112', '138', '106', '105', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
bingus,4570,"{'challenge_name': ['old-site-b-side', 'nobin', 'dicepass', 'bcu-translation', 'bcu-transcription', 'diceon', 'survey', 'oboe', 'nil-circ', 'dicetok', 'debugapwner', 'dicecap', 'nonograms', 'debugalyzer', 'r2uwu2s-resort', 'pyramid', 'fairy-ring', 'oño', 'bad-chess-challenge', 'satisfied', 'bcu-binding', 'winxy-pistol', 'vorpal-sword', 'cookie-recipes-v3', 'welcome'], 'challenge_category': ['web', 'web', 'web', 'rev', 'rev', 'misc', 'misc', 'pwn', 'crypto', 'rev', 'pwn', 'misc', 'rev', 'rev', 'pwn', 'web', 'crypto', 'rev', 'web', 'crypto', 'misc', 'crypto', 'crypto', 'web', 'misc'], 'challenge_points': ['285', '165', '400', '367', '271', '233', '1', '214', '318', '175', '177', '112', '155', '125', '155', '138', '300', '151', '200', '146', '106', '148', '122', '105', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Zer0RocketWrecks,4484,"{'challenge_name': ['convenience-store', 'survey', 'glail', 'nonograms', 'fairy-ring', 'old-site-b-side', 'bad-chess-challenge', 'diceon', 'nobin', 'debugapwner', 'r2uwu2s-resort', 'safestnote', 'nil-circ', 'oño', 'oboe', 'debugalyzer', 'pyramid', 'dicecap', 'dicetok', 'welcome', 'bcu-binding', 'winxy-pistol', 'vorpal-sword', 'satisfied', 'cookie-recipes-v3'], 'challenge_category': ['misc', 'misc', 'misc', 'rev', 'crypto', 'web', 'web', 'misc', 'web', 'pwn', 'pwn', 'web', 'crypto', 'rev', 'pwn', 'rev', 'web', 'misc', 'rev', 'misc', 'misc', 'crypto', 'crypto', 'crypto', 'web'], 'challenge_points': ['300', '1', '209', '155', '300', '285', '200', '233', '165', '177', '155', '443', '318', '151', '214', '125', '138', '112', '175', '1', '106', '148', '122', '146', '105'], 'solve_time': ['1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
P1G SEKAI,4455,"{'challenge_name': ['old-site-b-side', 'nil-circ', 'convenience-store', 'locked-room', 'bad-chess-challenge', 'debugapwner', 'survey', 'diceon', 'nobin', 'pyramid', 'golden-bridge', 'r2uwu2s-resort', 'nonograms', 'oboe', 'satisfied', 'dicetok', 'vorpal-sword', 'oño', 'debugalyzer', 'glail', 'winxy-pistol', 'dicecap', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['web', 'crypto', 'misc', 'pwn', 'web', 'pwn', 'misc', 'misc', 'web', 'web', 'misc', 'pwn', 'rev', 'pwn', 'crypto', 'rev', 'crypto', 'rev', 'rev', 'misc', 'crypto', 'misc', 'web', 'misc', 'misc'], 'challenge_points': ['285', '318', '300', '443', '200', '177', '1', '233', '165', '138', '271', '155', '155', '214', '146', '175', '122', '151', '125', '209', '148', '112', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Blue Water,4276,"{'challenge_name': ['convenience-store', 'survey', 'bcu-translation', 'debugapwner', 'bad-chess-challenge', 'winxy-pistol', 'bcu-transcription', 'nobin', 'r2uwu2s-resort', 'satisfied', 'pyramid', 'cppickle', 'golden-bridge', 'nonograms', 'dicetok', 'oño', 'diceon', 'debugalyzer', 'cookie-recipes-v3', 'vorpal-sword', 'glail', 'dicecap', 'welcome', 'bcu-binding'], 'challenge_category': ['misc', 'misc', 'rev', 'pwn', 'web', 'crypto', 'rev', 'web', 'pwn', 'crypto', 'web', 'misc', 'misc', 'rev', 'rev', 'rev', 'misc', 'rev', 'web', 'crypto', 'misc', 'misc', 'misc', 'misc'], 'challenge_points': ['300', '1', '367', '177', '200', '148', '271', '165', '155', '146', '138', '443', '271', '155', '175', '151', '233', '125', '105', '122', '209', '112', '1', '106'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Maple Bacon,4223,"{'challenge_name': ['golden-bridge', 'diceon', 'convenience-store', 'cppickle', 'debugapwner', 'survey', 'fairy-ring', 'old-site-b-side', 'glail', 'dicetok', 'r2uwu2s-resort', 'nobin', 'nonograms', 'oño', 'bad-chess-challenge', 'debugalyzer', 'pyramid', 'satisfied', 'winxy-pistol', 'dicecap', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'misc', 'misc', 'misc', 'pwn', 'misc', 'crypto', 'web', 'misc', 'rev', 'pwn', 'web', 'rev', 'rev', 'web', 'rev', 'web', 'crypto', 'crypto', 'misc', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['271', '233', '300', '443', '177', '1', '300', '285', '209', '175', '155', '165', '155', '151', '200', '125', '138', '146', '148', '112', '122', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
0rganizers,3769,"{'challenge_name': ['golden-bridge', 'survey', 'old-site-b-side', 'glail', 'bad-chess-challenge', 'nil-circ', 'r2uwu2s-resort', 'bcu-transcription', 'diceon', 'debugapwner', 'nobin', 'nonograms', 'dicetok', 'oño', 'debugalyzer', 'pyramid', 'winxy-pistol', 'vorpal-sword', 'satisfied', 'dicecap', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'misc', 'web', 'misc', 'web', 'crypto', 'pwn', 'rev', 'misc', 'pwn', 'web', 'rev', 'rev', 'rev', 'rev', 'web', 'crypto', 'crypto', 'crypto', 'misc', 'web', 'misc', 'misc'], 'challenge_points': ['271', '1', '285', '209', '200', '318', '155', '271', '233', '177', '165', '155', '175', '151', '125', '138', '148', '122', '146', '112', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
thehackerscrew,3533,"{'challenge_name': ['bad-chess-challenge', 'bcu-translation', 'bcu-transcription', 'diceon', 'golden-bridge', 'survey', 'debugapwner', 'dicetok', 'glail', 'r2uwu2s-resort', 'nonograms', 'oño', 'debugalyzer', 'nobin', 'winxy-pistol', 'pyramid', 'satisfied', 'dicecap', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['web', 'rev', 'rev', 'misc', 'misc', 'misc', 'pwn', 'rev', 'misc', 'pwn', 'rev', 'rev', 'rev', 'web', 'crypto', 'web', 'crypto', 'misc', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['200', '367', '271', '233', '271', '1', '177', '175', '209', '155', '155', '151', '125', '165', '148', '138', '146', '112', '122', '105', '106', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Infobahn,3161,"{'challenge_name': ['survey', 'bcu-transcription', 'winxy-pistol', 'oboe', 'debugapwner', 'satisfied', 'glail', 'bad-chess-challenge', 'r2uwu2s-resort', 'nonograms', 'nobin', 'dicetok', 'debugalyzer', 'old-site-b-side', 'oño', 'pyramid', 'dicecap', 'vorpal-sword', 'cookie-recipes-v3', 'bcu-binding', 'welcome'], 'challenge_category': ['misc', 'rev', 'crypto', 'pwn', 'pwn', 'crypto', 'misc', 'web', 'pwn', 'rev', 'web', 'rev', 'rev', 'web', 'rev', 'web', 'misc', 'crypto', 'web', 'misc', 'misc'], 'challenge_points': ['1', '271', '148', '214', '177', '146', '209', '200', '155', '155', '165', '175', '125', '285', '151', '138', '112', '122', '105', '106', '1'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Kalmarunionen,2796,"{'challenge_name': ['oño', 'dicetok', 'nonograms', 'survey', 'convenience-store', 'oboe', 'fairy-ring', 'winxy-pistol', 'pyramid', 'satisfied', 'debugapwner', 'nobin', 'vorpal-sword', 'debugalyzer', 'bcu-binding', 'dicecap', 'r2uwu2s-resort', 'cookie-recipes-v3', 'welcome'], 'challenge_category': ['rev', 'rev', 'rev', 'misc', 'misc', 'pwn', 'crypto', 'crypto', 'web', 'crypto', 'pwn', 'web', 'crypto', 'rev', 'misc', 'misc', 'pwn', 'web', 'misc'], 'challenge_points': ['151', '175', '155', '1', '300', '214', '300', '148', '138', '146', '177', '165', '122', '125', '106', '112', '155', '105', '1'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
