name,points,challenge
SSM,1210,"{'challenge_name': ['Cipher Maze', 'Crypt0n1um Vault', 'Gates of Iron', 'Operation Matrix Guardian', 'Silent Whispers', 'Navigate', 'Sanity Check', 'CryptoMix Madness', 'Madate Vanter', 'Bitmap Mystery', 'Lost Transmission', 'Silent Override'], 'challenge_category': ['Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Cryptography', 'General', 'Web Exploitation', 'Discord', 'General', 'PWN', 'Reverse Engineering', 'General', 'Web Exploitation'], 'challenge_points': ['90', '78', '100', '184', '185', '75', '10', '40', '150', '165', '73', '60'], 'solve_time': ['2025-03-22T14:39:57.326281Z', '2025-03-22T14:33:41.865706Z', '2025-03-22T13:20:45.645322Z', '2025-03-22T13:11:48.374448Z', '2025-03-22T08:29:22.307946Z', '2025-03-22T07:52:32.812797Z', '2025-03-22T07:51:40.686696Z', '2025-03-22T07:51:18.073326Z', '2025-03-22T07:25:45.921174Z', '2025-03-22T07:18:20.195573Z', '2025-03-22T06:45:48.597877Z', '2025-03-22T06:44:36.875459Z']}"
0xfun,1210,"{'challenge_name': ['Gates of Iron', 'Operation Matrix Guardian', 'Crypt0n1um Vault', 'Navigate', 'Cipher Maze', 'Bitmap Mystery', 'Madate Vanter', 'Silent Override', 'Silent Whispers', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check'], 'challenge_category': ['Reverse Engineering', 'Cryptography', 'Cryptography', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'PWN', 'Web Exploitation', 'General', 'General', 'General', 'Discord'], 'challenge_points': ['100', '184', '78', '75', '90', '165', '150', '60', '185', '73', '40', '10'], 'solve_time': ['2025-03-22T18:38:19.834437Z', '2025-03-22T16:57:50.581224Z', '2025-03-22T16:55:50.376021Z', '2025-03-22T16:53:08.270669Z', '2025-03-22T16:51:12.431830Z', '2025-03-22T16:42:51.978232Z', '2025-03-22T16:42:09.648519Z', '2025-03-22T16:40:24.070669Z', '2025-03-22T16:40:08.253006Z', '2025-03-22T16:39:46.188659Z', '2025-03-22T16:35:34.481226Z', '2025-03-22T16:33:14.756539Z']}"
Cryptonite,1135,"{'challenge_name': ['Madate Vanter', 'Crypt0n1um Vault', 'Cipher Maze', 'Gates of Iron', 'Silent Whispers', 'Operation Matrix Guardian', 'Lost Transmission', 'CryptoMix Madness', 'Bitmap Mystery', 'Silent Override', 'Sanity Check'], 'challenge_category': ['PWN', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'General', 'Cryptography', 'General', 'General', 'Reverse Engineering', 'Web Exploitation', 'Discord'], 'challenge_points': ['150', '78', '90', '100', '185', '184', '73', '40', '165', '60', '10'], 'solve_time': ['2025-03-22T18:52:25.710833Z', '2025-03-22T12:00:55.210804Z', '2025-03-22T11:55:11.246186Z', '2025-03-22T11:47:27.446485Z', '2025-03-22T11:07:31.981911Z', '2025-03-22T10:53:57.341911Z', '2025-03-22T10:49:49.875036Z', '2025-03-22T09:27:04.041045Z', '2025-03-22T09:07:00.138341Z', '2025-03-22T09:05:12.757650Z', '2025-03-22T07:46:33.670254Z']}"
리제로부터시작하는이세계생활,1110,"{'challenge_name': ['Navigate', 'Crypt0n1um Vault', 'Silent Whispers', 'Operation Matrix Guardian', 'Bitmap Mystery', 'Cipher Maze', 'Madate Vanter', 'Silent Override', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check'], 'challenge_category': ['Web Exploitation', 'Cryptography', 'General', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'PWN', 'Web Exploitation', 'General', 'General', 'Discord'], 'challenge_points': ['75', '78', '185', '184', '165', '90', '150', '60', '73', '40', '10'], 'solve_time': ['2025-03-22T16:34:40.341688Z', '2025-03-22T15:55:53.641371Z', '2025-03-22T15:29:23.787735Z', '2025-03-22T14:54:51.784260Z', '2025-03-22T13:01:58.865231Z', '2025-03-22T12:48:20.129738Z', '2025-03-22T12:42:09.382640Z', '2025-03-22T11:45:41.629023Z', '2025-03-22T10:57:22.091015Z', '2025-03-22T10:47:47.028018Z', '2025-03-22T10:44:11.849528Z']}"
sessantanove,1060,"{'challenge_name': ['Crypt0n1um Vault', 'Operation Matrix Guardian', 'Bitmap Mystery', 'Gates of Iron', 'Cipher Maze', 'Navigate', 'Silent Override', 'Silent Whispers', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check'], 'challenge_category': ['Cryptography', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Web Exploitation', 'Web Exploitation', 'General', 'General', 'General', 'Discord'], 'challenge_points': ['78', '184', '165', '100', '90', '75', '60', '185', '73', '40', '10'], 'solve_time': ['2025-03-22T17:28:01.633954Z', '2025-03-22T17:17:21.504494Z', '2025-03-22T16:37:48.170244Z', '2025-03-22T16:25:44.715225Z', '2025-03-22T15:11:49.385986Z', '2025-03-22T15:04:44.673457Z', '2025-03-22T14:44:32.680722Z', '2025-03-22T14:15:05.975000Z', '2025-03-22T13:33:55.584023Z', '2025-03-22T13:28:26.578821Z', '2025-03-22T13:08:19.969178Z']}"
magul,1060,"{'challenge_name': ['Navigate', 'Silent Whispers', 'Silent Override', 'Gates of Iron', 'Cipher Maze', 'Operation Matrix Guardian', 'Crypt0n1um Vault', 'Bitmap Mystery', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check'], 'challenge_category': ['Web Exploitation', 'General', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'General', 'General', 'Discord'], 'challenge_points': ['75', '185', '60', '100', '90', '184', '78', '165', '73', '40', '10'], 'solve_time': ['2025-03-23T02:06:33.016237Z', '2025-03-22T17:01:54.829682Z', '2025-03-22T16:39:26.954044Z', '2025-03-22T16:34:26.339274Z', '2025-03-22T16:19:50.130723Z', '2025-03-22T15:59:43.798153Z', '2025-03-22T14:57:45.900261Z', '2025-03-22T14:51:21.798988Z', '2025-03-22T14:23:54.688464Z', '2025-03-22T14:13:48.504677Z', '2025-03-22T14:09:13.858305Z']}"
PixelPioneers25,1035,"{'challenge_name': ['Madate Vanter', 'Cipher Maze', 'Silent Whispers', 'Bitmap Mystery', 'Silent Override', 'Operation Matrix Guardian', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check', 'Crypt0n1um Vault'], 'challenge_category': ['PWN', 'Reverse Engineering', 'General', 'Reverse Engineering', 'Web Exploitation', 'Cryptography', 'General', 'General', 'Discord', 'Cryptography'], 'challenge_points': ['150', '90', '185', '165', '60', '184', '73', '40', '10', '78'], 'solve_time': ['2025-03-23T00:17:49.930963Z', '2025-03-22T21:16:20.284215Z', '2025-03-22T17:03:25.088241Z', '2025-03-22T14:11:24.561958Z', '2025-03-22T14:04:39.606132Z', '2025-03-22T13:53:57.212654Z', '2025-03-22T12:28:20.534782Z', '2025-03-22T12:15:22.814827Z', '2025-03-22T12:08:58.271781Z', '2025-03-22T12:08:36.675425Z']}"
0xFAILURES,985,"{'challenge_name': ['Cipher Maze', 'Gates of Iron', 'Operation Matrix Guardian', 'Crypt0n1um Vault', 'Bitmap Mystery', 'Silent Whispers', 'Lost Transmission', 'CryptoMix Madness', 'Silent Override', 'Sanity Check'], 'challenge_category': ['Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'General', 'General', 'General', 'Web Exploitation', 'Discord'], 'challenge_points': ['90', '100', '184', '78', '165', '185', '73', '40', '60', '10'], 'solve_time': ['2025-03-23T05:59:58.309063Z', '2025-03-23T00:31:04.350451Z', '2025-03-22T23:41:34.034147Z', '2025-03-22T23:08:03.763876Z', '2025-03-22T22:11:24.880727Z', '2025-03-22T21:50:53.871493Z', '2025-03-22T20:09:42.100242Z', '2025-03-22T20:04:45.375132Z', '2025-03-22T19:59:28.582545Z', '2025-03-22T19:37:48.086995Z']}"
1c3Gh3tt0,885,"{'challenge_name': ['Silent Whispers', 'Bitmap Mystery', 'Operation Matrix Guardian', 'Cipher Maze', 'Crypt0n1um Vault', 'Silent Override', 'Lost Transmission', 'CryptoMix Madness', 'Sanity Check'], 'challenge_category': ['General', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Cryptography', 'Web Exploitation', 'General', 'General', 'Discord'], 'challenge_points': ['185', '165', '184', '90', '78', '60', '73', '40', '10'], 'solve_time': ['2025-03-22T18:52:05.459170Z', '2025-03-22T15:29:40.344573Z', '2025-03-22T15:25:46.152325Z', '2025-03-22T15:20:10.864128Z', '2025-03-22T15:07:40.248002Z', '2025-03-22T15:04:04.486215Z', '2025-03-22T14:55:45.836732Z', '2025-03-22T14:53:06.692705Z', '2025-03-22T14:48:33.939274Z']}"
deathwing,807,"{'challenge_name': ['Silent Whispers', 'Silent Override', 'CryptoMix Madness', 'Lost Transmission', 'Bitmap Mystery', 'Operation Matrix Guardian', 'Cipher Maze', 'Sanity Check'], 'challenge_category': ['General', 'Web Exploitation', 'General', 'General', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Discord'], 'challenge_points': ['185', '60', '40', '73', '165', '184', '90', '10'], 'solve_time': ['2025-03-22T17:02:16.783253Z', '2025-03-22T14:59:42.218276Z', '2025-03-22T14:13:18.597086Z', '2025-03-22T13:30:06.867142Z', '2025-03-22T12:52:22.239230Z', '2025-03-22T12:41:29.585234Z', '2025-03-22T12:29:02.455784Z', '2025-03-22T12:17:47.033912Z']}"
