name,points,challenge
Platypwnies,4180.0,"{'challenge_name': ['intro-web-1', 'sanity-check', 'intro-web-2', 'check-this-out', 'intro-web-3', 'intro-web-4', 'mini-dsp', 'jail', 'restricted-oracle', 'intro-web-5', 'nasa', 'hinting', 'free-parking-network', 'the-old-way', 'real-christmas', 'honeypot', 'probably-secure', 'broccoli', 'no-nc', 'git-gud', 'image-contest', 'free-flagging', 'free-parking-network-v2', 'yavascript-blog', 'yavascript-blog-csp', 'painting-dice', 'note-editor', 'real-christmas-v2'], 'challenge_category': ['web', 'misc', 'web', 'misc', 'web', 'web', 'rev', 'misc', 'crypto', 'web', 'pwn', 'crypto', 'web', 'rev', 'web', 'rev', 'crypto', 'misc', 'pwn', 'misc', 'web', 'web', 'web', 'web', 'web', 'web', 'pwn', 'web'], 'challenge_points': [12.0, 62.0, 76.0, 194.0, 209.0, 225.0, 283.0, 459.0, 608.0, 626.0, 747.0, 820.0, 893.0, 958.0, 1102.0, 1346.0, 1846.0, 1971.0, 2123.0, 2506.0, 2678.0, 2750.0, 2935.0, 3155.0, 3655.0, 3850.0, 3945.0, 4180.0], 'solve_time': [1750418458977, 1750419309475, 1750421705838, 1750425184875, 1750425390101, 1750427812751, 1750427972652, 1750428519272, 1750434920911, 1750436469383, 1750438230822, 1750443997319, 1750444657530, 1750445834473, 1750454266702, 1750456264519, 1750457375809, 1750459181082, 1750499259848, 1750503369080, 1750507476635, 1750508197294, 1750512585642, 1750521229997, 1750535274038, 1750537022890, 1750538356543, 1750541092283]}"
RubiyaLab,4016.0,"{'challenge_name': ['sanity-check', 'intro-web-1', 'intro-web-2', 'the-old-way', 'mini-dsp', 'free-parking-network', 'intro-web-3', 'intro-web-4', 'intro-web-5', 'nasa', 'check-this-out', 'image-contest', 'note-editor', 'real-christmas', 'honeypot', 'yavascript-blog', 'hinting', 'broccoli', 'restricted-oracle', 'no-nc', 'free-flagging', 'painting-dice', 'free-parking-network-v2', 'git-gud', 'jail', 'real-christmas-v2', 'paranoid', 'tes'], 'challenge_category': ['misc', 'web', 'web', 'rev', 'rev', 'web', 'web', 'web', 'web', 'pwn', 'misc', 'web', 'pwn', 'web', 'rev', 'web', 'crypto', 'misc', 'crypto', 'pwn', 'web', 'web', 'web', 'misc', 'misc', 'web', 'crypto', 'crypto'], 'challenge_points': [50.0, 62.0, 76.0, 141.0, 199.0, 272.0, 287.0, 303.0, 321.0, 442.0, 560.0, 732.0, 827.0, 971.0, 1215.0, 1435.0, 1508.0, 1633.0, 1782.0, 1934.0, 2006.0, 2201.0, 2386.0, 2769.0, 2945.0, 3180.0, 3563.0, 4016.0], 'solve_time': [1750414108965, 1750415510255, 1750417330947, 1750419655895, 1750420334861, 1750421134931, 1750421915847, 1750422698778, 1750423894186, 1750425026225, 1750428102024, 1750429413570, 1750432977310, 1750434199940, 1750438923269, 1750441462403, 1750444931624, 1750446053101, 1750452804086, 1750465186960, 1750466868769, 1750477233417, 1750479345143, 1750494289987, 1750496218666, 1750503748482, 1750522706219, 1750524876936]}"
valgrind,4016.0,"{'challenge_name': ['sanity-check', 'mini-dsp', 'the-old-way', 'note-editor', 'jail', 'intro-web-1', 'hinting', 'restricted-oracle', 'check-this-out', 'free-parking-network', 'real-christmas', 'intro-web-2', 'intro-web-3', 'nasa', 'intro-web-4', 'broccoli', 'intro-web-5', 'yavascript-blog', 'no-nc', 'free-flagging', 'real-christmas-v2', 'free-parking-network-v2', 'image-contest', 'painting-dice', 'git-gud', 'browser-pwn', 'paranoid', 'honeypot'], 'challenge_category': ['misc', 'rev', 'rev', 'pwn', 'misc', 'web', 'crypto', 'crypto', 'misc', 'web', 'web', 'web', 'web', 'pwn', 'web', 'misc', 'web', 'web', 'pwn', 'web', 'web', 'web', 'web', 'web', 'misc', 'misc', 'crypto', 'rev'], 'challenge_points': [50.0, 108.0, 173.0, 268.0, 444.0, 456.0, 529.0, 678.0, 796.0, 869.0, 1013.0, 1027.0, 1042.0, 1163.0, 1179.0, 1304.0, 1322.0, 1542.0, 1694.0, 1766.0, 2001.0, 2186.0, 2358.0, 2553.0, 2936.0, 3389.0, 3772.0, 4016.0], 'solve_time': [1750414113970, 1750419585267, 1750421915126, 1750423347458, 1750426385382, 1750426468604, 1750427160040, 1750429113017, 1750429575698, 1750431645225, 1750431755614, 1750433627513, 1750435627277, 1750436462786, 1750437970908, 1750441368408, 1750442065260, 1750463794677, 1750472800357, 1750495054495, 1750501075238, 1750514848335, 1750520652172, 1750522420032, 1750524226950, 1750531287120, 1750532241960, 1750540643827]}"
Pwn-La-Chapelle,3877.0,"{'challenge_name': ['sanity-check', 'free-parking-network', 'image-contest', 'honeypot', 'restricted-oracle', 'hinting', 'real-christmas', 'mini-dsp', 'the-old-way', 'broccoli', 'note-editor', 'intro-web-1', 'intro-web-2', 'jail', 'intro-web-3', 'free-flagging', 'yavascript-blog', 'browser-pwn', 'real-christmas-v2', 'no-nc', 'check-this-out', 'git-gud', 'painting-dice', 'paranoid', 'free-parking-network-v2', 'intro-web-4'], 'challenge_category': ['misc', 'web', 'web', 'rev', 'crypto', 'crypto', 'web', 'rev', 'rev', 'misc', 'pwn', 'web', 'web', 'misc', 'web', 'web', 'web', 'misc', 'web', 'pwn', 'misc', 'misc', 'web', 'crypto', 'web', 'web'], 'challenge_points': [50.0, 123.0, 295.0, 539.0, 688.0, 761.0, 905.0, 963.0, 1028.0, 1153.0, 1248.0, 1260.0, 1274.0, 1450.0, 1465.0, 1537.0, 1757.0, 2210.0, 2445.0, 2597.0, 2715.0, 3098.0, 3293.0, 3676.0, 3861.0, 3877.0], 'solve_time': [1750414127402, 1750415517478, 1750422919868, 1750426190885, 1750427175279, 1750427350037, 1750428799142, 1750428830721, 1750430683555, 1750433548388, 1750451082631, 1750451592452, 1750452998666, 1750454651099, 1750455994853, 1750460343950, 1750461417752, 1750469516027, 1750490392643, 1750496965545, 1750516140309, 1750518676268, 1750523076789, 1750523485039, 1750539970085, 1750540500744]}"
m0unt41n,3658.0,"{'challenge_name': ['sanity-check', 'intro-web-1', 'honeypot', 'note-editor', 'the-old-way', 'variants', 'mini-dsp', 'broccoli', 'hinting', 'free-parking-network', 'jail', 'restricted-oracle', 'check-this-out', 'intro-web-2', 'real-christmas', 'no-nc', 'free-parking-network-v2', 'free-flagging', 'yavascript-blog', 'intro-web-3', 'intro-web-4', 'intro-web-5', 'painting-dice', 'nasa', 'git-gud', 'real-christmas-v2', 'image-contest'], 'challenge_category': ['misc', 'web', 'rev', 'pwn', 'rev', 'rev', 'rev', 'misc', 'crypto', 'web', 'misc', 'crypto', 'misc', 'web', 'web', 'pwn', 'web', 'web', 'web', 'web', 'web', 'web', 'web', 'pwn', 'misc', 'web', 'web'], 'challenge_points': [50.0, 62.0, 306.0, 401.0, 466.0, 944.0, 1002.0, 1127.0, 1200.0, 1273.0, 1449.0, 1598.0, 1716.0, 1730.0, 1874.0, 2026.0, 2211.0, 2283.0, 2503.0, 2518.0, 2534.0, 2552.0, 2747.0, 2868.0, 3251.0, 3486.0, 3658.0], 'solve_time': [1750414496675, 1750415565171, 1750417692611, 1750423063335, 1750425419061, 1750428329581, 1750428708394, 1750429447676, 1750429864520, 1750435767326, 1750439746072, 1750447695420, 1750448836231, 1750452780709, 1750452879692, 1750480975338, 1750484229202, 1750484859225, 1750487387951, 1750490145245, 1750499875005, 1750501642248, 1750502399914, 1750502886915, 1750508028570, 1750508488308, 1750514647874]}"
EPT,3633.0,"{'challenge_name': ['sanity-check', 'check-this-out', 'free-parking-network', 'intro-web-1', 'intro-web-2', 'mini-dsp', 'the-old-way', 'honeypot', 'intro-web-3', 'hinting', 'intro-web-4', 'broccoli', 'intro-web-5', 'jail', 'real-christmas', 'real-christmas-v2', 'free-flagging', 'free-parking-network-v2', 'painting-dice', 'note-editor', 'yavascript-blog', 'nasa', 'no-nc', 'browser-pwn', 'git-gud', 'restricted-oracle', 'image-contest'], 'challenge_category': ['misc', 'misc', 'web', 'web', 'web', 'rev', 'rev', 'rev', 'web', 'crypto', 'web', 'misc', 'web', 'misc', 'web', 'web', 'web', 'web', 'web', 'pwn', 'web', 'pwn', 'pwn', 'misc', 'misc', 'crypto', 'web'], 'challenge_points': [50.0, 168.0, 241.0, 253.0, 267.0, 325.0, 390.0, 634.0, 649.0, 722.0, 738.0, 863.0, 881.0, 1057.0, 1201.0, 1436.0, 1508.0, 1693.0, 1888.0, 1983.0, 2203.0, 2324.0, 2476.0, 2929.0, 3312.0, 3461.0, 3633.0], 'solve_time': [1750417204942, 1750417386993, 1750420584761, 1750420787964, 1750427548001, 1750431904888, 1750432853757, 1750432957337, 1750434242437, 1750447030011, 1750447255563, 1750448920252, 1750449965674, 1750456793658, 1750457249199, 1750462512808, 1750482759619, 1750499897973, 1750502428098, 1750505736937, 1750506574849, 1750508167954, 1750511302399, 1750514784050, 1750525032672, 1750531619823, 1750531888569]}"
BKISC,2651.0,"{'challenge_name': ['sanity-check', 'the-old-way', 'intro-web-1', 'intro-web-2', 'mini-dsp', 'intro-web-3', 'intro-web-4', 'intro-web-5', 'free-parking-network', 'honeypot', 'free-flagging', 'hinting', 'jail', 'nasa', 'image-contest', 'real-christmas', 'paranoid', 'no-nc', 'yavascript-blog', 'broccoli', 'real-christmas-v2', 'check-this-out', 'note-editor'], 'challenge_category': ['misc', 'rev', 'web', 'web', 'rev', 'web', 'web', 'web', 'web', 'rev', 'web', 'crypto', 'misc', 'pwn', 'web', 'web', 'crypto', 'pwn', 'web', 'misc', 'web', 'misc', 'pwn'], 'challenge_points': [50.0, 115.0, 127.0, 141.0, 199.0, 214.0, 230.0, 248.0, 321.0, 565.0, 637.0, 710.0, 886.0, 1007.0, 1179.0, 1323.0, 1706.0, 1858.0, 2078.0, 2203.0, 2438.0, 2556.0, 2651.0], 'solve_time': [1750414143857, 1750414585475, 1750415745064, 1750421266572, 1750423293636, 1750425893955, 1750426231553, 1750427108779, 1750427484520, 1750433455840, 1750471244353, 1750476981767, 1750478614885, 1750482664351, 1750487141475, 1750491184619, 1750497343471, 1750499567537, 1750510953571, 1750514427418, 1750515506372, 1750518252490, 1750522842449]}"
Nc{Cat},2553.0,"{'challenge_name': ['sanity-check', 'the-old-way', 'intro-web-1', 'intro-web-2', 'intro-web-3', 'intro-web-4', 'mini-dsp', 'intro-web-5', 'free-parking-network', 'jail', 'check-this-out', 'broccoli', 'real-christmas', 'note-editor', 'image-contest', 'hinting', 'restricted-oracle', 'yavascript-blog', 'real-christmas-v2', 'free-flagging', 'painting-dice', 'no-nc', 'nasa', 'free-parking-network-v2'], 'challenge_category': ['misc', 'rev', 'web', 'web', 'web', 'web', 'rev', 'web', 'web', 'misc', 'misc', 'misc', 'web', 'pwn', 'web', 'crypto', 'crypto', 'web', 'web', 'web', 'web', 'pwn', 'pwn', 'web'], 'challenge_points': [50.0, 115.0, 127.0, 141.0, 156.0, 172.0, 230.0, 248.0, 321.0, 497.0, 615.0, 740.0, 884.0, 979.0, 1151.0, 1224.0, 1373.0, 1593.0, 1828.0, 1900.0, 2095.0, 2247.0, 2368.0, 2553.0], 'solve_time': [1750414153423, 1750414586378, 1750415449933, 1750416311787, 1750417013526, 1750417716431, 1750420215154, 1750420436588, 1750420956567, 1750428886147, 1750434629431, 1750437432582, 1750440545789, 1750442030936, 1750443754495, 1750444767402, 1750448721269, 1750456963627, 1750463237733, 1750463359859, 1750466653146, 1750502841936, 1750518178332, 1750518822039]}"
PwnSec,2553.0,"{'challenge_name': ['sanity-check', 'intro-web-1', 'intro-web-2', 'free-parking-network', 'intro-web-3', 'intro-web-4', 'the-old-way', 'mini-dsp', 'broccoli', 'intro-web-5', 'hinting', 'check-this-out', 'restricted-oracle', 'note-editor', 'yavascript-blog', 'free-flagging', 'nasa', 'no-nc', 'real-christmas', 'real-christmas-v2', 'jail', 'free-parking-network-v2', 'painting-dice', 'image-contest'], 'challenge_category': ['misc', 'web', 'web', 'web', 'web', 'web', 'rev', 'rev', 'misc', 'web', 'crypto', 'misc', 'crypto', 'pwn', 'web', 'web', 'pwn', 'pwn', 'web', 'web', 'misc', 'web', 'web', 'web'], 'challenge_points': [50.0, 62.0, 76.0, 149.0, 164.0, 180.0, 245.0, 303.0, 428.0, 446.0, 519.0, 637.0, 786.0, 881.0, 1101.0, 1173.0, 1294.0, 1446.0, 1590.0, 1825.0, 2001.0, 2186.0, 2381.0, 2553.0], 'solve_time': [1750416257394, 1750416970930, 1750417552088, 1750418568891, 1750419370622, 1750420283631, 1750420724398, 1750421371903, 1750422736450, 1750423365230, 1750424316484, 1750425718002, 1750433057623, 1750437632495, 1750438548606, 1750463030508, 1750469724959, 1750475386575, 1750494051560, 1750495392408, 1750496771193, 1750500915631, 1750503845079, 1750539965854]}"
SNI,2276.0,"{'challenge_name': ['sanity-check', 'the-old-way', 'mini-dsp', 'intro-web-1', 'intro-web-2', 'intro-web-3', 'nasa', 'intro-web-4', 'free-parking-network', 'intro-web-5', 'note-editor', 'real-christmas', 'restricted-oracle', 'jail', 'hinting', 'image-contest', 'check-this-out', 'yavascript-blog', 'free-flagging', 'free-parking-network-v2', 'painting-dice', 'real-christmas-v2'], 'challenge_category': ['misc', 'rev', 'rev', 'web', 'web', 'web', 'pwn', 'web', 'web', 'web', 'pwn', 'web', 'crypto', 'misc', 'crypto', 'web', 'misc', 'web', 'web', 'web', 'web', 'web'], 'challenge_points': [50.0, 115.0, 173.0, 185.0, 199.0, 214.0, 335.0, 351.0, 424.0, 442.0, 537.0, 681.0, 830.0, 1006.0, 1079.0, 1251.0, 1369.0, 1589.0, 1661.0, 1846.0, 2041.0, 2276.0], 'solve_time': [1750423249433, 1750423723497, 1750423944373, 1750424535103, 1750425062100, 1750425177053, 1750425372596, 1750426036250, 1750426399461, 1750426518622, 1750429030272, 1750438383036, 1750441069504, 1750442203470, 1750444692171, 1750445446955, 1750450711926, 1750462556607, 1750463059216, 1750512525381, 1750517899854, 1750518352432]}"
