,Team,Challenges
0,Jane Street Amateurs,"{'challenge_name': ['Scratch ERCode', 'ChatGGT (1)', 'Sanity check', 'Baby Cracker', 'Crack the Pack (Ⅰ): Head and Shoulders', 'New Free Lunch', 'Custom Web Server (1)', 'Custom Web Server (2)', 'Pigeon Post (2)', '⚡', 'mAEStro (2): Shuffle', 'Black C2', 'Feedback', 'Jane Streak Amateurs', 'Cook book', 'RSA LCG (2)', 'ISH (3)', 'Crack the Pack (Ⅱ): Knees and Toes', 'Hearing Check', ""Mystiz's Mini CTF (2)"", ""Mystiz's Mini CTF (1)"", 'Webpage to PDF (2)', 'Webpage to PDF (1)', 'Almost DSA', 'Pigeon Post (1)', 'RSA LCG (0)', 'RSA LCG (1)', 'RSA LCG (3)', 'mAEStro (1): Sample', 'One Way Room', ""Where's the APT Attack (1)"", 'Void', 'Yet another crackme', 'Cyp.ress', 'Flag Checker', 'ISA 101', 'Morph', 'Get Flag Yourself', 'B6ACP', 'My Lovely Cats', 'Flag hasher', 'Shellcode Runner 3 Revenge', 'ISH (1)', 'Postfix expression calculator', 'ChatGGT (2)', 'Flipper Hero', 'Shellcode Runner 3', 'JSPyaml', 'Chimera', 'MBTI Radar', 'ISH (2)', 'Python Calculator 2'], 'challenge_points': ['200', '100', '10', '100', '200', '100', '150', '300', '250', '450', '350', '400', '10', '150', '250', '400', '500', '375', '100', '100', '200', '150', '150', '100', '100', '100', '300', '200', '250', '150', '150', '100', '100', '200', '200', '200', '300', '50', '100', '200', '100', '150', '200', '220', '230', '250', '300', '400', '500', '500', '350', '400'], 'challenge_score': '11395'}"
1,Tower of Hanoi,"{'challenge_name': [""Where's the APT Attack (1)"", 'Postfix expression calculator', 'Mask-mask-RSA', 'MBTI Radar', 'Sanity check', 'ISH (1)', 'New Free Lunch', 'Custom Web Server (1)', 'Morph', 'Get Flag Yourself', 'RSA LCG (0)', 'ISA 101', 'Custom Web Server (2)', 'Cyp.ress', 'Baby Cracker', 'ISH (2)', 'ChatGGT (1)', 'Almost DSA', 'RSA LCG (1)', 'Black C2', 'RSA LCG (3)', 'Scratch ERCode', 'One Way Room', 'B6ACP', 'Void', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'Flipper Hero', 'ISH (3)', 'RSA LCG (2)', 'Pigeon Post (1)', 'Flag hasher', 'My Lovely Cats', 'Cook book', 'Hearing Check', 'ChatGGT (2)', 'Pigeon Post (2)', 'Black Magic', 'mAEStro (1): Sample', 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Flag Checker', 'Bashed!', 'Yet another crackme', ""Mystiz's Mini CTF (1)"", 'mAEStro (2): Shuffle', 'Crack the Pack (Ⅱ): Knees and Toes', 'Jane Streak Amateurs'], 'challenge_points': ['150', '220', '500', '500', '10', '200', '100', '150', '300', '50', '100', '200', '300', '200', '100', '350', '100', '100', '300', '400', '200', '200', '150', '100', '100', '300', '150', '250', '500', '400', '100', '100', '200', '250', '100', '230', '250', '400', '250', '150', '100', '10', '200', '200', '500', '100', '200', '350', '375', '150'], 'challenge_score': '10895'}"
2,The Few Chosen,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'ISH (1)', 'Morph', 'Scratch ERCode', 'Get Flag Yourself', 'Cyp.ress', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'ChatGGT (1)', 'Almost DSA', 'Baby Cracker', 'Custom Web Server (1)', 'ISA 101', 'One Way Room', 'Custom Web Server (2)', 'Black C2', 'Postfix expression calculator', 'MBTI Radar', 'RSA LCG (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'ISH (2)', 'B6ACP', 'My Lovely Cats', 'Void', 'Yet another crackme', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Jane Streak Amateurs', 'Flag hasher', ""Mystiz's Mini CTF (2)"", 'Shellcode Runner 3 Revenge', 'Shellcode Runner 3', 'Webpage to PDF (2)', 'Feedback', 'Cook book', ""Mystiz's Mini CTF (1)"", 'Hearing Check', 'ChatGGT (2)', 'Flipper Hero', 'Pigeon Post (2)', 'JSPyaml', 'ISH (3)', 'Flag Checker', 'mAEStro (1): Sample', 'mAEStro (2): Shuffle', 'Crack the Pack (Ⅱ): Knees and Toes', 'Python Calculator 2', 'Chimera', 'Tuning Keyboard 5'], 'challenge_points': ['10', '100', '200', '300', '200', '50', '200', '150', '100', '100', '100', '100', '150', '200', '150', '300', '400', '220', '500', '300', '200', '350', '100', '200', '100', '100', '100', '150', '150', '100', '100', '150', '300', '150', '10', '250', '200', '100', '230', '250', '250', '400', '500', '200', '250', '350', '375', '400', '500', '255'], 'challenge_score': '10600'}"
3,thehackerscrew,"{'challenge_name': ['New Free Lunch', 'Morph', 'Bashed!', 'Postfix expression calculator', 'RSA LCG (1)', 'Custom Web Server (2)', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Almost DSA', 'Sanity check', 'Baby Cracker', 'Custom Web Server (1)', 'ISA 101', 'RSA LCG (0)', 'RSA LCG (3)', 'Get Flag Yourself', 'Crack the Pack (Ⅰ): Head and Shoulders', 'RSA LCG (2)', 'Scratch ERCode', 'Crack the Pack (Ⅱ): Knees and Toes', 'ISH (1)', 'ISH (2)', '⚡', 'Flag hasher', 'Shellcode Runner 3', 'Flipper Hero', 'Yet another crackme', 'B6ACP', 'Feedback', 'Webpage to PDF (1)', 'Shellcode Runner 3 Revenge', 'ChatGGT (2)', 'Pigeon Post (1)', ""Mystiz's Mini CTF (1)"", 'Void', 'My Lovely Cats', 'Pigeon Post (2)', ""Mystiz's Mini CTF (2)"", 'MBTI Radar', 'Webpage to PDF (2)', 'One Way Room', 'Cook book', 'Cyp.ress', 'Flag Checker', 'Hearing Check', 'Jane Streak Amateurs', 'JSPyaml', 'mAEStro (1): Sample', 'mAEStro (2): Shuffle', 'Black Magic'], 'challenge_points': ['100', '300', '500', '220', '300', '300', '150', '100', '100', '10', '100', '150', '200', '100', '200', '50', '200', '400', '200', '375', '200', '350', '450', '100', '300', '250', '100', '100', '10', '150', '150', '230', '100', '200', '100', '200', '250', '100', '500', '150', '150', '250', '200', '200', '100', '150', '400', '250', '350', '400'], 'challenge_score': '10495'}"
4,BunkyoWesterns,"{'challenge_name': ['RSA LCG (1)', 'ISH (2)', 'ISH (1)', 'Sanity check', 'ChatGGT (1)', 'Almost DSA', 'RSA LCG (3)', 'RSA LCG (0)', 'Get Flag Yourself', 'ISA 101', 'Cyp.ress', 'Morph', ""Where's the APT Attack (1)"", 'One Way Room', 'Baby Cracker', 'Scratch ERCode', 'New Free Lunch', 'Custom Web Server (1)', 'RSA LCG (2)', 'Postfix expression calculator', 'Webpage to PDF (1)', 'Flipper Hero', 'Flag hasher', 'JSPyaml', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'mAEStro (1): Sample', 'Void', 'Tuning Keyboard 5', 'Pigeon Post (1)', 'ChatGGT (2)', 'Pigeon Post (2)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Tuning Keyboard 5.5', 'My Lovely Cats', 'Feedback', 'B6ACP', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'Yet another crackme', 'Flag Checker', 'mAEStro (2): Shuffle', 'Black C2', 'Cook book', 'Jane Streak Amateurs', 'Hearing Check', 'Crack the Pack (Ⅱ): Knees and Toes', 'Custom Web Server (2)', 'MBTI Radar', 'Python Calculator 2'], 'challenge_points': ['300', '350', '200', '10', '100', '100', '200', '100', '50', '200', '200', '300', '150', '150', '100', '200', '100', '150', '400', '220', '150', '250', '100', '400', '200', '100', '250', '100', '255', '100', '230', '250', '200', '444', '200', '10', '100', '300', '150', '100', '200', '350', '400', '250', '150', '100', '375', '300', '500', '400'], 'challenge_score': '10494'}"
5,about:blankets,"{'challenge_name': ['Custom Web Server (1)', 'Morph', 'RSA LCG (3)', 'RSA LCG (0)', 'Postfix expression calculator', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'ISA 101', 'Baby Cracker', 'Sanity check', 'New Free Lunch', 'ISH (1)', 'Almost DSA', 'Get Flag Yourself', 'Cyp.ress', 'RSA LCG (1)', 'Scratch ERCode', 'Black C2', 'One Way Room', 'ISH (2)', 'ISH (3)', 'Flag hasher', 'Pigeon Post (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Flipper Hero', 'Shellcode Runner 3', 'Pigeon Post (2)', 'Webpage to PDF (1)', 'mAEStro (1): Sample', ""Mystiz's Mini CTF (2)"", 'B6ACP', 'mAEStro (2): Shuffle', 'Shellcode Runner 3 Revenge', 'My Lovely Cats', 'Feedback', ""Mystiz's Mini CTF (1)"", 'Yet another crackme', 'Void', 'Hearing Check', 'Cook book', 'ChatGGT (2)', 'JSPyaml', 'Webpage to PDF (2)', 'Flag Checker', 'Custom Web Server (2)', 'Crack the Pack (Ⅱ): Knees and Toes', 'Jane Streak Amateurs', 'MBTI Radar', 'RSA LCG (2)'], 'challenge_points': ['150', '300', '200', '100', '220', '100', '150', '200', '100', '10', '100', '200', '100', '50', '200', '300', '200', '400', '150', '350', '500', '100', '100', '200', '250', '300', '250', '150', '250', '100', '100', '350', '150', '200', '10', '200', '100', '100', '100', '250', '230', '400', '150', '200', '300', '375', '150', '500', '400'], 'challenge_score': '10045'}"
6,r4kapig,"{'challenge_name': ['Sanity check', 'Scratch ERCode', 'Cyp.ress', 'Postfix expression calculator', 'ISH (1)', 'ChatGGT (1)', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'Baby Cracker', 'Almost DSA', 'RSA LCG (0)', 'One Way Room', 'Morph', 'RSA LCG (1)', 'ISA 101', 'Custom Web Server (1)', 'Mask-mask-RSA', 'Black C2', 'Void', 'Pigeon Post (1)', 'RSA LCG (2)', 'Yet another crackme', 'Flag hasher', 'Shellcode Runner 3', 'Webpage to PDF (1)', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Flipper Hero', 'My Lovely Cats', 'Crack the Pack (Ⅱ): Knees and Toes', 'Flag Checker', 'RSA LCG (3)', 'ChatGGT (2)', 'mAEStro (1): Sample', ""Mystiz's Mini CTF (1)"", 'B6ACP', 'Pigeon Post (2)', 'Feedback', 'Cook book', 'Shellcode Runner 3 Revenge', 'Hearing Check', 'Jane Streak Amateurs', 'Bashed!', 'Python Calculator 2', 'JSPyaml', 'mAEStro (2): Shuffle', ""Mystiz's Mini CTF (2)""], 'challenge_points': ['10', '200', '200', '220', '200', '100', '100', '150', '50', '100', '100', '100', '150', '300', '300', '200', '150', '500', '400', '100', '100', '400', '100', '100', '300', '150', '200', '250', '200', '375', '200', '200', '230', '250', '200', '100', '250', '10', '250', '150', '100', '150', '500', '400', '400', '350', '100'], 'challenge_score': '9645'}"
7,T0052 - Firecat,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'Postfix expression calculator', 'RSA LCG (1)', 'Get Flag Yourself', 'Morph', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'ChatGGT (1)', 'Almost DSA', 'New Free Lunch', 'ISH (1)', 'Baby Cracker', 'ISA 101', 'Cyp.ress', 'ISH (2)', 'ISH (3)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Void', 'Yet another crackme', ""Mystiz's Mini CTF (2)"", 'Black C2', 'My Lovely Cats', 'Jane Streak Amateurs', 'Flag hasher', 'Cook book', 'ChatGGT (2)', 'Feedback', 'Flipper Hero', 'RSA LCG (3)', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'mAEStro (1): Sample', 'mAEStro (2): Shuffle', 'B6ACP', 'Tuning Keyboard 5', 'One Way Room', 'Flag Checker', 'MBTI Radar', 'Tuning Keyboard 5.5', 'Pigeon Post (2)', 'Bashed!', 'Scratch ERCode', 'Hearing Check'], 'challenge_points': ['10', '100', '220', '300', '50', '300', '150', '150', '100', '100', '100', '200', '100', '200', '200', '350', '500', '150', '100', '100', '100', '100', '400', '200', '150', '100', '250', '230', '10', '250', '200', '300', '150', '250', '350', '100', '255', '150', '200', '500', '444', '250', '500', '200', '100'], 'challenge_score': '9219'}"
8,O0101 - Black Bacon,"{'challenge_name': ['Sanity check', 'RSA LCG (3)', 'Custom Web Server (1)', 'RSA LCG (1)', 'ISA 101', 'One Way Room', 'Baby Cracker', 'New Free Lunch', 'RSA LCG (0)', 'ChatGGT (1)', 'Almost DSA', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Cyp.ress', 'Scratch ERCode', 'Morph', 'RSA LCG (2)', 'Void', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Flag hasher', 'B6ACP', 'My Lovely Cats', 'Python Calculator 2', 'Jane Streak Amateurs', 'Feedback', ""Mystiz's Mini CTF (2)"", 'Hearing Check', 'MBTI Radar', 'mAEStro (1): Sample', ""Mystiz's Mini CTF (1)"", 'Pigeon Post (2)', 'Bashed!', 'Yet another crackme', 'Flag Checker', 'Shellcode Runner 3 Revenge', 'Shellcode Runner 3', 'ISH (1)', 'mAEStro (2): Shuffle', 'Cook book', 'Crack the Pack (Ⅰ): Head and Shoulders', 'Postfix expression calculator'], 'challenge_points': ['10', '200', '150', '300', '200', '150', '100', '100', '100', '100', '100', '50', '150', '200', '200', '300', '400', '100', '100', '150', '100', '100', '200', '400', '150', '10', '100', '100', '500', '250', '200', '250', '500', '100', '200', '150', '300', '200', '350', '250', '200', '220'], 'challenge_score': '7990'}"
9,FlagMotori,"{'challenge_name': ['Cyp.ress', 'ISH (2)', 'ISH (3)', ""Where's the APT Attack (1)"", 'New Free Lunch', 'ChatGGT (1)', 'Get Flag Yourself', 'Sanity check', 'ISA 101', 'ISH (1)', 'Baby Cracker', 'Custom Web Server (1)', 'One Way Room', 'RSA LCG (0)', 'Chimera', 'Void', 'ChatGGT (2)', 'Shellcode Runner 3', 'Postfix expression calculator', 'Pigeon Post (1)', 'Yet another crackme', 'Feedback', 'B6ACP', 'My Lovely Cats', 'Cook book', 'Almost DSA', 'Black C2', 'Jane Streak Amateurs', 'Shellcode Runner 3 Revenge', 'Webpage to PDF (1)', 'Flag hasher', ""Mystiz's Mini CTF (1)"", 'Custom Web Server (2)', ""Mystiz's Mini CTF (2)"", 'Python Calculator 2', 'JSPyaml', 'Scratch ERCode'], 'challenge_points': ['200', '350', '500', '150', '100', '100', '50', '10', '200', '200', '100', '150', '150', '100', '500', '100', '230', '300', '220', '100', '100', '10', '100', '200', '250', '100', '400', '150', '150', '150', '100', '200', '300', '100', '400', '400', '200'], 'challenge_score': '7120'}"
