name,points,challenge
TPC,4762,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Skip Skip Skip 2', 'Cipher Brothers', 'Gotcha-Go', 'Copy & Paste 2', 'canvasbox', 'Secure Bike', 'Secure Bike Revenge', 'vibexec', 'Fault Tolerance'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'pwn', 'pwn', 'web', 'crypto', 'crypto', 'pwn', 'misc'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '378', '244', '240', '446', '279', '347', '477', '397', '361']}"
bingus,3851,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'OIDC転生おじさん', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox', 'Secure Bike', 'Secure Bike Revenge', 'vibexec'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'web', 'crypto', 'pwn', 'web', 'crypto', 'crypto', 'pwn'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '500', '244', '240', '279', '347', '477', '397']}"
./Vespiary,3560,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'Slide Sandbox', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox', 'vibexec', 'Fault Tolerance'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'pwn', 'web', 'pwn', 'misc'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '446', '165', '182', '148', '203', '226', '244', '240', '279', '397', '361']}"
Project Sekai,3302,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Cipher Brothers', 'Gotcha-Go', 'Copy & Paste 2', 'canvasbox', 'CokePHP'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'pwn', 'pwn', 'web', 'web'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '244', '240', '446', '279', '500']}"
sknb,3180,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Skip Skip Skip 2', 'Cipher Brothers', 'Gotcha-Go', 'Copy & Paste 2', 'canvasbox'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'pwn', 'pwn', 'web'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '378', '244', '240', '446', '279']}"
ponponpain,3064,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox', 'Secure Bike', 'Fault Tolerance'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'pwn', 'web', 'crypto', 'misc'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '244', '240', '279', '347', '361']}"
infobahn,2753,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox', 'vibexec'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'pwn', 'web', 'pwn'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '244', '240', '279', '397']}"
no rev/pwn no life,2734,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Skip Skip Skip 2', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'pwn', 'web'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '378', '244', '240', '279']}"
Blue Water,2734,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Skip Skip Skip 2', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'pwn', 'web'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '378', '244', '240', '279']}"
Viettel Cyber Security,2703,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Cipher Brothers', 'Gotcha-Go', 'canvasbox', 'Secure Bike'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'pwn', 'web', 'crypto'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '244', '240', '279', '347']}"
Fashi Fan Syndicate,2455,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Skip Skip Skip 1', 'Skip Skip Skip 2', 'Cipher Brothers', 'Gotcha-Go'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'rev', 'crypto', 'pwn'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '226', '378', '244', '240']}"
MN7,2319,"{'challenge_name': ['Welcome', 'DiNo.1', 'Baby MSD', 'Length Calculator', 'rev rev rev', 'Warmdown', 'rot rot rot', 'Stdio Studio', 'MSD', 'trunc', 'Cipher Brothers', 'Secure Bike', 'Fault Tolerance'], 'challenge_category': ['sanity check', 'misc', 'crypto', 'pwn', 'warmup', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'crypto', 'crypto', 'misc'], 'challenge_points': ['94', '96', '133', '106', '102', '138', '165', '182', '148', '203', '244', '347', '361']}"
