name,points,challenge
valgrind,1150,"{'challenge_name': ['Not a Plain Photo', 'BrainR0T', 'Locationhunter', 'TraceMeIfUCan', 'Sneaky_Sneaker', 'Weird Disk Image', 'BlackBox', 'Dynamic Mayhem', 'The Spectral Image b6414', 'The Fragmented Truth', '4 Fold Cipher', 'X Marks The Spot'], 'challenge_category': ['Cryptography and OSINT', 'Web Exploitation and Cryptography', 'OSINT', 'OSINT', 'Digital Forensics', 'Digital Forensics', 'Cryptography', 'Binary Exploitation', 'Digital Forensics', 'Digital Forensics', 'Cryptography', 'Binary Exploitation'], 'challenge_points': ['100', '50', '150', '100', '100', '150', '100', '100', '100', '100', '50', '50'], 'solve_time': ['2025-04-28T19:11:28.588285Z', '2025-04-28T18:27:53.263546Z', '2025-04-28T17:14:41.325489Z', '2025-04-28T17:08:01.149229Z', '2025-04-28T02:57:56.336609Z', '2025-04-28T02:52:07.568585Z', '2025-04-28T02:32:26.848009Z', '2025-04-28T01:35:17.042350Z', '2025-04-28T00:53:12.130226Z', '2025-04-28T00:44:42.032295Z', '2025-04-28T00:18:48.922466Z', '2025-04-28T00:08:04.246269Z']}"
0xfun,1150,"{'challenge_name': ['BrainR0T', 'Locationhunter', 'BlackBox', 'TraceMeIfUCan', 'Weird Disk Image', 'Dynamic Mayhem', 'Not a Plain Photo', 'Sneaky_Sneaker', '4 Fold Cipher', 'The Spectral Image b6414', 'X Marks The Spot', 'The Fragmented Truth'], 'challenge_category': ['Web Exploitation and Cryptography', 'OSINT', 'Cryptography', 'OSINT', 'Digital Forensics', 'Binary Exploitation', 'Cryptography and OSINT', 'Digital Forensics', 'Cryptography', 'Digital Forensics', 'Binary Exploitation', 'Digital Forensics'], 'challenge_points': ['50', '150', '100', '100', '150', '100', '100', '100', '50', '100', '50', '100'], 'solve_time': ['2025-04-28T23:44:48.616583Z', '2025-04-28T22:39:59.923289Z', '2025-04-28T20:28:18.458541Z', '2025-04-28T19:47:35.813333Z', '2025-04-28T19:10:14.502004Z', '2025-04-28T18:43:01.356031Z', '2025-04-28T17:36:35.333314Z', '2025-04-28T16:44:15.987516Z', '2025-04-28T15:43:05.638986Z', '2025-04-28T14:46:00.332574Z', '2025-04-28T12:41:24.387174Z', '2025-04-28T11:19:37.165354Z']}"
S™,1150,"{'challenge_name': ['Locationhunter', 'BrainR0T', 'Not a Plain Photo', 'TraceMeIfUCan', 'Sneaky_Sneaker', 'Weird Disk Image', 'BlackBox', 'The Spectral Image b6414', '4 Fold Cipher', 'The Fragmented Truth', 'Dynamic Mayhem', 'X Marks The Spot'], 'challenge_category': ['OSINT', 'Web Exploitation and Cryptography', 'Cryptography and OSINT', 'OSINT', 'Digital Forensics', 'Digital Forensics', 'Cryptography', 'Digital Forensics', 'Cryptography', 'Digital Forensics', 'Binary Exploitation', 'Binary Exploitation'], 'challenge_points': ['150', '50', '100', '100', '100', '150', '100', '100', '50', '100', '100', '50'], 'solve_time': ['2025-04-28T23:48:07.978597Z', '2025-04-28T20:26:27.809150Z', '2025-04-28T19:38:35.849847Z', '2025-04-28T17:40:22.657309Z', '2025-04-28T13:16:43.956510Z', '2025-04-28T12:24:46.594560Z', '2025-04-28T09:05:34.676187Z', '2025-04-28T08:21:53.874865Z', '2025-04-28T07:55:44.258751Z', '2025-04-28T01:05:34.312725Z', '2025-04-28T00:09:50.481254Z', '2025-04-28T00:02:00.207856Z']}"
FPTU Ethical Hackers Club,1100,"{'challenge_name': ['Locationhunter', 'BlackBox', '4 Fold Cipher', 'TraceMeIfUCan', 'Weird Disk Image', 'Sneaky_Sneaker', 'Not a Plain Photo', 'The Spectral Image b6414', 'X Marks The Spot', 'Dynamic Mayhem', 'The Fragmented Truth'], 'challenge_category': ['OSINT', 'Cryptography', 'Cryptography', 'OSINT', 'Digital Forensics', 'Digital Forensics', 'Cryptography and OSINT', 'Digital Forensics', 'Binary Exploitation', 'Binary Exploitation', 'Digital Forensics'], 'challenge_points': ['150', '100', '50', '100', '150', '100', '100', '100', '50', '100', '100'], 'solve_time': ['2025-04-28T22:23:58.585900Z', '2025-04-28T20:08:20.060500Z', '2025-04-28T16:53:42.756763Z', '2025-04-28T16:25:59.376336Z', '2025-04-28T15:43:44.894108Z', '2025-04-28T15:03:16.844131Z', '2025-04-28T14:57:29.135439Z', '2025-04-28T13:50:19.664365Z', '2025-04-28T10:33:28.234352Z', '2025-04-28T10:33:14.846867Z', '2025-04-28T10:26:00.440575Z']}"
TheLast_Call1982,1000,"{'challenge_name': ['Locationhunter', 'Not a Plain Photo', 'BlackBox', 'Weird Disk Image', 'Sneaky_Sneaker', 'The Spectral Image b6414', 'The Fragmented Truth', '4 Fold Cipher', 'Dynamic Mayhem', 'X Marks The Spot'], 'challenge_category': ['OSINT', 'Cryptography and OSINT', 'Cryptography', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Cryptography', 'Binary Exploitation', 'Binary Exploitation'], 'challenge_points': ['150', '100', '100', '150', '100', '100', '100', '50', '100', '50'], 'solve_time': ['2025-04-28T17:21:30.951465Z', '2025-04-28T10:53:08.605710Z', '2025-04-28T07:05:47.533957Z', '2025-04-28T01:47:33.488369Z', '2025-04-28T01:34:10.571796Z', '2025-04-28T01:20:26.138682Z', '2025-04-28T01:17:16.155909Z', '2025-04-28T00:16:23.324454Z', '2025-04-28T00:11:36.750550Z', '2025-04-28T00:10:56.779075Z']}"
Bing Chilling Academies,1000,"{'challenge_name': ['BrainR0T', 'Dynamic Mayhem', 'BlackBox', '4 Fold Cipher', 'Not a Plain Photo', 'TraceMeIfUCan', 'Sneaky_Sneaker', 'The Spectral Image b6414', 'Weird Disk Image', 'The Fragmented Truth', 'X Marks The Spot'], 'challenge_category': ['Web Exploitation and Cryptography', 'Binary Exploitation', 'Cryptography', 'Cryptography', 'Cryptography and OSINT', 'OSINT', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Binary Exploitation'], 'challenge_points': ['50', '100', '100', '50', '100', '100', '100', '100', '150', '100', '50'], 'solve_time': ['2025-04-28T23:26:43.159230Z', '2025-04-28T20:47:34.179112Z', '2025-04-28T20:09:31.062522Z', '2025-04-28T20:03:02.178573Z', '2025-04-28T19:55:26.902914Z', '2025-04-28T19:22:38.484139Z', '2025-04-28T19:15:25.409684Z', '2025-04-28T19:11:22.942238Z', '2025-04-28T18:48:22.166587Z', '2025-04-28T00:22:45.276460Z', '2025-04-28T00:20:47.354767Z']}"
H7Tex,950,"{'challenge_name': ['Not a Plain Photo', 'TraceMeIfUCan', '4 Fold Cipher', 'BlackBox', 'Weird Disk Image', 'Dynamic Mayhem', 'Sneaky_Sneaker', 'The Spectral Image b6414', 'The Fragmented Truth', 'X Marks The Spot'], 'challenge_category': ['Cryptography and OSINT', 'OSINT', 'Cryptography', 'Cryptography', 'Digital Forensics', 'Binary Exploitation', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Binary Exploitation'], 'challenge_points': ['100', '100', '50', '100', '150', '100', '100', '100', '100', '50'], 'solve_time': ['2025-04-28T20:45:51.002215Z', '2025-04-28T16:48:21.580014Z', '2025-04-28T15:18:20.452007Z', '2025-04-28T09:04:30.521288Z', '2025-04-28T08:41:39.812065Z', '2025-04-28T08:12:47.551733Z', '2025-04-28T03:10:00.367716Z', '2025-04-28T01:25:47.047848Z', '2025-04-28T01:18:54.007414Z', '2025-04-28T00:46:41.876873Z']}"
Cyb3rPr1s0n,950,"{'challenge_name': ['TraceMeIfUCan', 'BlackBox', '4 Fold Cipher', 'Not a Plain Photo', 'Weird Disk Image', 'The Spectral Image b6414', 'Sneaky_Sneaker', 'Dynamic Mayhem', 'X Marks The Spot', 'The Fragmented Truth'], 'challenge_category': ['OSINT', 'Cryptography', 'Cryptography', 'Cryptography and OSINT', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Binary Exploitation', 'Binary Exploitation', 'Digital Forensics'], 'challenge_points': ['100', '100', '50', '100', '150', '100', '100', '100', '50', '100'], 'solve_time': ['2025-04-28T22:40:36.433236Z', '2025-04-28T20:16:55.978916Z', '2025-04-28T17:11:45.062506Z', '2025-04-28T16:27:26.771811Z', '2025-04-28T14:31:51.043915Z', '2025-04-28T06:39:10.217610Z', '2025-04-28T06:07:45.097620Z', '2025-04-28T05:17:11.919202Z', '2025-04-28T05:12:06.654557Z', '2025-04-28T04:51:18.088626Z']}"
Kheshig,850,"{'challenge_name': ['Dynamic Mayhem', 'TraceMeIfUCan', 'BlackBox', '4 Fold Cipher', 'The Spectral Image b6414', 'The Fragmented Truth', 'Sneaky_Sneaker', 'Weird Disk Image', 'X Marks The Spot'], 'challenge_category': ['Binary Exploitation', 'OSINT', 'Cryptography', 'Cryptography', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Binary Exploitation'], 'challenge_points': ['100', '100', '100', '50', '100', '100', '100', '150', '50'], 'solve_time': ['2025-04-28T18:01:56.651615Z', '2025-04-28T17:35:33.039140Z', '2025-04-28T15:18:37.879511Z', '2025-04-28T08:46:57.583915Z', '2025-04-28T08:34:44.818121Z', '2025-04-28T04:55:54.895638Z', '2025-04-28T03:32:02.030097Z', '2025-04-28T02:18:51.754950Z', '2025-04-28T01:22:38.409136Z']}"
ICC UH,850,"{'challenge_name': ['Not a Plain Photo', 'BlackBox', 'Dynamic Mayhem', 'BrainR0T', '4 Fold Cipher', 'TraceMeIfUCan', 'Sneaky_Sneaker', 'The Fragmented Truth', 'The Spectral Image b6414', 'X Marks The Spot'], 'challenge_category': ['Cryptography and OSINT', 'Cryptography', 'Binary Exploitation', 'Web Exploitation and Cryptography', 'Cryptography', 'OSINT', 'Digital Forensics', 'Digital Forensics', 'Digital Forensics', 'Binary Exploitation'], 'challenge_points': ['100', '100', '100', '50', '50', '100', '100', '100', '100', '50'], 'solve_time': ['2025-04-28T18:57:16.226034Z', '2025-04-28T17:13:36.832759Z', '2025-04-28T16:02:25.680972Z', '2025-04-28T15:40:24.353870Z', '2025-04-28T15:21:43.308960Z', '2025-04-28T15:07:02.740499Z', '2025-04-28T14:14:58.328115Z', '2025-04-28T13:53:51.936815Z', '2025-04-28T13:46:29.185532Z', '2025-04-28T12:41:19.907444Z']}"
