,points,name,challenge
0,5685,Project Sekai,"{'challenge_name': ['2much', 'somesomesome', 'hihi', 'Home sweet home', 'Initial', 'animal', 'CPUsage', 'no_name', 'thats so random', 'FlagCpp', 'swatted', 'niceray', 'Game of Luck', 'S1mple', 'Sign', 'Sparks', 're02', 'ShareMixer2', 'unexpected', 'Another one', 'The Chamber of Flag', 'Corrupted Hard Drive', 'shellcode 2', 'shellcode 1', 'ShareMixer1', 're01', 'X Éc Éc', 'Welcome'], 'challenge_category': ['Reverse Engineering', 'Cryptography', 'Web', 'Osint', 'Forensics', 'Reverse Engineering', 'Forensics', 'PWN', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Web', 'PWN', 'Web', 'Cryptography', 'Osint', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Web', 'Reverse Engineering', 'Forensics', 'PWN', 'PWN', 'Cryptography', 'Reverse Engineering', 'Web', 'Misc'], 'challenge_points': ['463', '486', '287', '100', '453', '100', '100', '100', '463', '486', '385', '349', '100', '100', '214', '100', '100', '100', '349', '100', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T07:15:30.701034Z', '2024-10-27T05:16:44.785383Z', '2024-10-27T04:58:31.657562Z', '2024-10-27T03:39:18.230503Z', '2024-10-27T03:33:18.196742Z', '2024-10-27T02:31:44.702553Z', '2024-10-26T23:30:10.321547Z', '2024-10-26T20:21:27.108780Z', '2024-10-26T19:57:40.042848Z', '2024-10-26T19:13:58.070117Z', '2024-10-26T18:25:42.029810Z', '2024-10-26T18:19:40.999778Z', '2024-10-26T16:38:53.864451Z', '2024-10-26T14:02:22.714170Z', '2024-10-26T14:00:24.374592Z', '2024-10-26T11:36:21.720669Z', '2024-10-26T11:17:52.510549Z', '2024-10-26T10:36:11.468117Z', '2024-10-26T10:03:31.456913Z', '2024-10-26T08:00:32.133369Z', '2024-10-26T07:24:08.533499Z', '2024-10-26T06:32:53.298893Z', '2024-10-26T04:23:14.864830Z', '2024-10-26T03:34:27.966077Z', '2024-10-26T03:31:56.186298Z', '2024-10-26T02:48:40.546180Z', '2024-10-26T02:46:43.119498Z', '2024-10-26T02:05:31.631193Z']}"
1,4736,BKISC,"{'challenge_name': ['Initial', '2much', 'FlagCpp', 'hihi', 'CPUsage', 'no_name', 'Home sweet home', 'swatted', 'animal', 'unexpected', 're02', 'Game of Luck', 'S1mple', 'The Chamber of Flag', 'Sparks', 'ShareMixer2', 'Sign', 'niceray', 'Another one', 'shellcode 1', 'shellcode 2', 'Corrupted Hard Drive', 'ShareMixer1', 'X Éc Éc', 're01', 'Welcome'], 'challenge_category': ['Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Web', 'Forensics', 'PWN', 'Osint', 'Forensics', 'Reverse Engineering', 'Forensics', 'Reverse Engineering', 'PWN', 'Web', 'Reverse Engineering', 'Osint', 'Cryptography', 'Cryptography', 'Web', 'Web', 'PWN', 'PWN', 'Forensics', 'Cryptography', 'Web', 'Reverse Engineering', 'Misc'], 'challenge_points': ['453', '463', '486', '287', '100', '100', '100', '385', '100', '349', '100', '100', '100', '100', '100', '100', '214', '349', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T08:48:44.350023Z', '2024-10-27T08:46:44.344082Z', '2024-10-27T08:05:47.448332Z', '2024-10-27T06:07:14.375633Z', '2024-10-27T05:47:17.162115Z', '2024-10-27T05:30:37.216834Z', '2024-10-27T05:10:17.009886Z', '2024-10-27T03:46:04.897156Z', '2024-10-27T03:44:52.420587Z', '2024-10-26T17:45:39.347174Z', '2024-10-26T17:31:58.239427Z', '2024-10-26T15:26:25.790730Z', '2024-10-26T12:32:20.424372Z', '2024-10-26T11:56:00.623418Z', '2024-10-26T11:53:04.274852Z', '2024-10-26T11:29:46.311099Z', '2024-10-26T10:52:25.829863Z', '2024-10-26T10:36:17.914154Z', '2024-10-26T07:29:37.559941Z', '2024-10-26T06:39:42.193180Z', '2024-10-26T06:23:43.007173Z', '2024-10-26T06:13:41.669787Z', '2024-10-26T04:24:36.282788Z', '2024-10-26T02:37:43.054828Z', '2024-10-26T02:13:05.331539Z', '2024-10-26T02:09:01.839323Z']}"
2,4397,VNUK_r3dbu11,"{'challenge_name': ['thats so random', 'somesomesome', '2much', 'hihi', 'swatted', 'Sign', 'animal', 'Home sweet home', 'no_name', 'The Chamber of Flag', 'Sparks', 'CPUsage', 'Corrupted Hard Drive', 'Another one', 'S1mple', 'Game of Luck', 'unexpected', 're02', 're01', 'X Éc Éc', 'ShareMixer2', 'shellcode 2', 'ShareMixer1', 'shellcode 1', 'Welcome'], 'challenge_category': ['Cryptography', 'Cryptography', 'Reverse Engineering', 'Web', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Osint', 'PWN', 'Reverse Engineering', 'Osint', 'Forensics', 'Forensics', 'Web', 'Web', 'PWN', 'Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Web', 'Cryptography', 'PWN', 'Cryptography', 'PWN', 'Misc'], 'challenge_points': ['463', '486', '463', '287', '385', '214', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '349', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:59:55.349762Z', '2024-10-27T09:57:22.462185Z', '2024-10-27T09:51:57.352439Z', '2024-10-27T09:34:36.878026Z', '2024-10-27T09:03:20.391666Z', '2024-10-27T08:11:00.396458Z', '2024-10-27T07:48:28.606211Z', '2024-10-27T07:27:35.015447Z', '2024-10-27T04:07:56.418699Z', '2024-10-27T03:56:55.458389Z', '2024-10-27T02:40:02.824118Z', '2024-10-27T01:34:08.347598Z', '2024-10-26T23:10:43.291519Z', '2024-10-26T18:45:51.295581Z', '2024-10-26T18:45:31.862951Z', '2024-10-26T18:39:00.839710Z', '2024-10-26T16:35:49.916151Z', '2024-10-26T16:13:03.938414Z', '2024-10-26T15:38:31.206234Z', '2024-10-26T15:37:17.868532Z', '2024-10-26T12:54:06.005393Z', '2024-10-26T12:04:54.497225Z', '2024-10-26T11:56:12.255124Z', '2024-10-26T08:33:22.522860Z', '2024-10-26T07:53:27.014435Z']}"
3,4283,epic merger,"{'challenge_name': ['swatted', '2much', 'CPUsage', 'hihi', 'Home sweet home', 'unexpected', 'animal', 'ShareMixer2', 'no_name', 'Sign', 'S1mple', 'FlagCpp', 're02', 'Game of Luck', 'Sparks', 'The Chamber of Flag', 'niceray', 'Another one', 'shellcode 2', 'Corrupted Hard Drive', 'ShareMixer1', 'X Éc Éc', 'shellcode 1', 're01', 'Welcome'], 'challenge_category': ['Forensics', 'Reverse Engineering', 'Forensics', 'Web', 'Osint', 'Forensics', 'Reverse Engineering', 'Cryptography', 'PWN', 'Cryptography', 'Web', 'Reverse Engineering', 'Reverse Engineering', 'PWN', 'Osint', 'Reverse Engineering', 'Web', 'Web', 'PWN', 'Forensics', 'Cryptography', 'Web', 'PWN', 'Reverse Engineering', 'Misc'], 'challenge_points': ['385', '463', '100', '287', '100', '349', '100', '100', '100', '214', '100', '486', '100', '100', '100', '100', '349', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:54:36.620523Z', '2024-10-27T07:52:39.337140Z', '2024-10-27T05:26:18.863963Z', '2024-10-27T05:14:51.652908Z', '2024-10-27T05:12:06.025910Z', '2024-10-27T04:04:02.257223Z', '2024-10-27T02:34:15.651712Z', '2024-10-26T17:56:59.564663Z', '2024-10-26T16:31:04.584506Z', '2024-10-26T16:16:32.609059Z', '2024-10-26T16:08:06.909692Z', '2024-10-26T15:57:58.392541Z', '2024-10-26T15:11:24.178903Z', '2024-10-26T15:04:52.855715Z', '2024-10-26T11:03:16.918691Z', '2024-10-26T09:26:42.599913Z', '2024-10-26T08:36:03.820238Z', '2024-10-26T07:33:25.846978Z', '2024-10-26T06:01:44.307959Z', '2024-10-26T05:52:21.846960Z', '2024-10-26T04:22:22.439877Z', '2024-10-26T02:34:42.223278Z', '2024-10-26T02:33:36.300622Z', '2024-10-26T02:23:34.888429Z', '2024-10-26T02:06:03.385866Z']}"
4,4250,blackpinker,"{'challenge_name': ['Initial', '2much', 'unexpected', 're02', 'swatted', 'hihi', 'CPUsage', 'Home sweet home', 'animal', 'no_name', 'S1mple', 'Game of Luck', 'ShareMixer2', 'Sparks', 'Sign', 'ShareMixer1', 'niceray', 'Another one', 'Corrupted Hard Drive', 'shellcode 2', 'The Chamber of Flag', 'shellcode 1', 're01', 'X Éc Éc', 'Welcome'], 'challenge_category': ['Forensics', 'Reverse Engineering', 'Forensics', 'Reverse Engineering', 'Forensics', 'Web', 'Forensics', 'Osint', 'Reverse Engineering', 'PWN', 'Web', 'PWN', 'Cryptography', 'Osint', 'Cryptography', 'Cryptography', 'Web', 'Web', 'Forensics', 'PWN', 'Reverse Engineering', 'PWN', 'Reverse Engineering', 'Web', 'Misc'], 'challenge_points': ['453', '463', '349', '100', '385', '287', '100', '100', '100', '100', '100', '100', '100', '100', '214', '100', '349', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:59:16.357769Z', '2024-10-27T09:49:06.305443Z', '2024-10-27T08:25:19.886604Z', '2024-10-27T06:47:56.315072Z', '2024-10-27T06:38:35.651135Z', '2024-10-27T06:00:20.936126Z', '2024-10-27T05:11:43.633436Z', '2024-10-27T04:52:47.298995Z', '2024-10-27T04:26:06.487961Z', '2024-10-26T18:09:11.535091Z', '2024-10-26T16:18:47.526602Z', '2024-10-26T15:23:38.465302Z', '2024-10-26T13:03:23.681583Z', '2024-10-26T12:40:02.270538Z', '2024-10-26T12:01:04.305799Z', '2024-10-26T09:02:09.155742Z', '2024-10-26T08:39:57.203536Z', '2024-10-26T07:11:39.393730Z', '2024-10-26T06:18:34.049418Z', '2024-10-26T05:04:09.916230Z', '2024-10-26T04:46:50.733304Z', '2024-10-26T03:34:27.982301Z', '2024-10-26T03:24:26.927197Z', '2024-10-26T02:36:52.955629Z', '2024-10-26T02:26:09.682527Z']}"
5,3964,A.k.a.t.s.u.k.i,"{'challenge_name': ['Initial', 'unexpected', 'Home sweet home', 'animal', 'hihi', 'Hero', 'CPUsage', 'swatted', 'ShareMixer1', 'no_name', 'Game of Luck', 'S1mple', 're02', 'Sparks', 'The Chamber of Flag', 'Another one', 'niceray', 'Corrupted Hard Drive', 'shellcode 2', 'shellcode 1', 'X Éc Éc', 're01', 'Welcome'], 'challenge_category': ['Forensics', 'Forensics', 'Osint', 'Reverse Engineering', 'Web', 'Web', 'Forensics', 'Forensics', 'Cryptography', 'PWN', 'PWN', 'Web', 'Reverse Engineering', 'Osint', 'Reverse Engineering', 'Web', 'Web', 'Forensics', 'PWN', 'PWN', 'Web', 'Reverse Engineering', 'Misc'], 'challenge_points': ['453', '349', '100', '100', '287', '491', '100', '385', '100', '100', '100', '100', '100', '100', '100', '100', '349', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:54:09.911111Z', '2024-10-27T03:35:18.045608Z', '2024-10-27T03:34:58.979361Z', '2024-10-27T03:09:04.259140Z', '2024-10-27T02:31:02.857400Z', '2024-10-27T01:41:45.366370Z', '2024-10-26T22:11:17.277998Z', '2024-10-26T21:50:36.348642Z', '2024-10-26T17:20:24.713789Z', '2024-10-26T16:41:14.722052Z', '2024-10-26T16:05:24.727386Z', '2024-10-26T12:46:45.265905Z', '2024-10-26T12:19:01.321121Z', '2024-10-26T11:04:55.924225Z', '2024-10-26T07:32:57.533569Z', '2024-10-26T07:32:13.253961Z', '2024-10-26T07:26:06.375863Z', '2024-10-26T07:07:23.398339Z', '2024-10-26T03:43:52.452516Z', '2024-10-26T02:36:18.838161Z', '2024-10-26T02:16:19.040503Z', '2024-10-26T02:11:11.218719Z', '2024-10-26T02:06:44.161551Z']}"
6,3964,Ripe Rice 🌾,"{'challenge_name': ['Hero', 'Initial', 'ShareMixer1', 'CPUsage', 'Home sweet home', 'animal', 'hihi', 'swatted', 'no_name', 'S1mple', 'Game of Luck', 'Sparks', 're02', 'niceray', 'unexpected', 'Another one', 'Corrupted Hard Drive', 'The Chamber of Flag', 'shellcode 2', 're01', 'shellcode 1', 'X Éc Éc', 'Welcome'], 'challenge_category': ['Web', 'Forensics', 'Cryptography', 'Forensics', 'Osint', 'Reverse Engineering', 'Web', 'Forensics', 'PWN', 'Web', 'PWN', 'Osint', 'Reverse Engineering', 'Web', 'Forensics', 'Web', 'Forensics', 'Reverse Engineering', 'PWN', 'Reverse Engineering', 'PWN', 'Web', 'Misc'], 'challenge_points': ['491', '453', '100', '100', '100', '100', '287', '385', '100', '100', '100', '100', '100', '349', '349', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:55:53.425555Z', '2024-10-27T09:26:56.978094Z', '2024-10-27T05:27:49.549031Z', '2024-10-27T04:20:47.123175Z', '2024-10-27T03:10:26.355336Z', '2024-10-27T03:04:11.412040Z', '2024-10-27T02:47:00.132736Z', '2024-10-26T18:48:18.657000Z', '2024-10-26T18:32:07.244058Z', '2024-10-26T17:20:28.941631Z', '2024-10-26T14:52:00.891703Z', '2024-10-26T13:59:12.932668Z', '2024-10-26T13:52:57.053443Z', '2024-10-26T09:02:11.374145Z', '2024-10-26T08:47:26.557904Z', '2024-10-26T07:10:10.010372Z', '2024-10-26T07:03:56.431993Z', '2024-10-26T06:14:12.675502Z', '2024-10-26T04:04:51.597799Z', '2024-10-26T03:29:03.500411Z', '2024-10-26T03:26:32.476628Z', '2024-10-26T02:33:54.351331Z', '2024-10-26T02:05:56.348152Z']}"
7,3934,D4Ck3n,"{'challenge_name': ['hihi', 'somesomesome', 'Sign', 'no_name', 'animal', 'swatted', 'Home sweet home', 'Game of Luck', 'S1mple', 're02', 'CPUsage', 'thats so random', 'X Éc Éc', 'ShareMixer2', 'unexpected', 'shellcode 2', 'Corrupted Hard Drive', 'Sparks', 'The Chamber of Flag', 're01', 'ShareMixer1', 'Another one', 'shellcode 1', 'Welcome'], 'challenge_category': ['Web', 'Cryptography', 'Cryptography', 'PWN', 'Reverse Engineering', 'Forensics', 'Osint', 'PWN', 'Web', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Web', 'Cryptography', 'Forensics', 'PWN', 'Forensics', 'Osint', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Web', 'PWN', 'Misc'], 'challenge_points': ['287', '486', '214', '100', '100', '385', '100', '100', '100', '100', '100', '463', '100', '100', '349', '100', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:56:18.082441Z', '2024-10-27T09:31:27.525057Z', '2024-10-27T09:09:16.531180Z', '2024-10-27T07:17:52.815001Z', '2024-10-27T06:33:08.762656Z', '2024-10-27T05:26:48.574585Z', '2024-10-27T05:00:40.083744Z', '2024-10-27T04:28:38.966959Z', '2024-10-27T04:19:20.502638Z', '2024-10-27T03:45:25.479271Z', '2024-10-27T02:51:27.679347Z', '2024-10-27T01:33:53.635241Z', '2024-10-27T00:49:12.445105Z', '2024-10-27T00:48:27.657087Z', '2024-10-26T17:32:02.687184Z', '2024-10-26T16:15:50.403178Z', '2024-10-26T15:33:36.019473Z', '2024-10-26T15:32:57.932799Z', '2024-10-26T14:57:00.427122Z', '2024-10-26T14:23:16.006371Z', '2024-10-26T13:32:42.907585Z', '2024-10-26T13:20:07.777369Z', '2024-10-26T13:02:29.600732Z', '2024-10-26T11:01:59.392720Z']}"
8,3934,Akali_QAZ_2024,"{'challenge_name': ['Sign', 'hihi', 'somesomesome', 'swatted', 'S1mple', 'thats so random', 'unexpected', 'Corrupted Hard Drive', 'CPUsage', 'Home sweet home', 'Game of Luck', 'no_name', 'animal', 're02', 'The Chamber of Flag', 'ShareMixer2', 'shellcode 2', 'X Éc Éc', 'ShareMixer1', 'shellcode 1', 'Another one', 're01', 'Sparks', 'Welcome'], 'challenge_category': ['Cryptography', 'Web', 'Cryptography', 'Forensics', 'Web', 'Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Osint', 'PWN', 'PWN', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'PWN', 'Web', 'Cryptography', 'PWN', 'Web', 'Reverse Engineering', 'Osint', 'Misc'], 'challenge_points': ['214', '287', '486', '385', '100', '463', '349', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T09:59:22.544208Z', '2024-10-27T09:58:06.098316Z', '2024-10-27T09:55:45.179454Z', '2024-10-27T09:53:03.240459Z', '2024-10-27T09:50:00.840467Z', '2024-10-27T09:47:40.886993Z', '2024-10-27T09:44:22.999327Z', '2024-10-27T09:39:31.622914Z', '2024-10-27T09:36:27.316738Z', '2024-10-27T09:32:40.402950Z', '2024-10-27T09:31:35.155567Z', '2024-10-27T08:26:05.542584Z', '2024-10-27T07:58:01.115507Z', '2024-10-27T07:56:29.917724Z', '2024-10-27T03:10:20.433573Z', '2024-10-27T03:04:42.269334Z', '2024-10-27T00:53:36.622461Z', '2024-10-27T00:46:21.062012Z', '2024-10-27T00:40:39.264916Z', '2024-10-27T00:36:48.456946Z', '2024-10-27T00:34:37.411524Z', '2024-10-27T00:33:09.234186Z', '2024-10-27T00:32:00.823864Z', '2024-10-26T09:17:36.479084Z']}"
9,3898,r3kapig,"{'challenge_name': ['2much', 'hihi', 'niceray', 'Home sweet home', 'animal', 'CPUsage', 'somesomesome', 'no_name', 're02', 'unexpected', 'Game of Luck', 'Sign', 'S1mple', 'ShareMixer2', 'Sparks', 'Another one', 'The Chamber of Flag', 'Corrupted Hard Drive', 'X Éc Éc', 'shellcode 2', 'ShareMixer1', 'shellcode 1', 're01', 'Welcome'], 'challenge_category': ['Reverse Engineering', 'Web', 'Web', 'Osint', 'Reverse Engineering', 'Forensics', 'Cryptography', 'PWN', 'Reverse Engineering', 'Forensics', 'PWN', 'Cryptography', 'Web', 'Cryptography', 'Osint', 'Web', 'Reverse Engineering', 'Forensics', 'Web', 'PWN', 'Cryptography', 'PWN', 'Reverse Engineering', 'Misc'], 'challenge_points': ['463', '287', '349', '100', '100', '100', '486', '100', '100', '349', '100', '214', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '50'], 'solve_time': ['2024-10-27T06:52:36.811868Z', '2024-10-27T06:07:34.146723Z', '2024-10-27T04:28:36.166273Z', '2024-10-27T03:29:40.938864Z', '2024-10-27T02:25:28.421167Z', '2024-10-27T02:08:38.716129Z', '2024-10-27T02:05:01.451966Z', '2024-10-26T20:03:32.201770Z', '2024-10-26T16:50:47.342598Z', '2024-10-26T15:46:58.521607Z', '2024-10-26T15:07:15.902375Z', '2024-10-26T13:00:44.046795Z', '2024-10-26T12:45:32.914202Z', '2024-10-26T12:34:23.930130Z', '2024-10-26T10:59:01.366841Z', '2024-10-26T08:19:45.018803Z', '2024-10-26T07:55:23.403555Z', '2024-10-26T06:44:38.973377Z', '2024-10-26T05:32:38.475852Z', '2024-10-26T05:12:42.161771Z', '2024-10-26T05:02:29.439112Z', '2024-10-26T04:21:20.914569Z', '2024-10-26T03:06:07.921665Z', '2024-10-26T02:08:22.975655Z']}"
