name,points,challenge
idek,17285,"{'challenge_name': ['eepy', 'insecure submission', 'sneckos-lair', 'old-site', 'messenger', 'feedback', 'I am GitHub', 'unsafe', 'library', 'mikumikubeam', 'Danger Searching', 'gigachessbased', 'whack-a-mole', 'tokens-please', 'farquaad', 'prologue', 'arclbroth', 'crypt-of-the-necropuzzler', 'p-vs-np', 'too-loud-to-yap', 'bigram-times', 'cloud-computing', '1000xREV', 'shuffle-revenge', 'elfisyou', 'crypto-civilization', 'antisocial-media', 'whats-my-number', 'quickprime', 'good-hash', 'Extremely Convenient Breaker', 'big e', 'McFlagChecker', 'minceraft', 'plinko', 'broken ships', 'cache it to win it!', 'gamedev', 'state-change', 'chessbased', 'purell', 'nine-solves', 'RSAaaS', '2password', 'discord', 'rules', 'mavs-fan', 'the-eye', 'I spy...', 'patricks-paraflag', 'javascryption', 'lucky-flag', 'extended'], 'challenge_category': ['pwn', 'misc', 'misc', 'web', 'pwn', 'welcome', 'misc', 'pwn', 'pwn', 'misc', 'misc', 'web', 'web', 'misc', 'misc', 'rev', 'web', 'rev', 'crypto', 'crypto', 'crypto', 'pwn', 'rev', 'crypto', 'rev', 'crypto', 'web', 'web', 'crypto', 'crypto', 'crypto', 'crypto', 'rev', 'pwn', 'web', 'misc', 'web', 'pwn', 'pwn', 'web', 'web', 'rev', 'crypto', 'pwn', 'welcome', 'welcome', 'web', 'rev', 'web', 'rev', 'rev', 'web', 'misc'], 'challenge_points': ['487', '467', '491', '479', '463', '20', '444', '471', '406', '370', '286', '495', '463', '495', '341', '463', '369', '333', '455', '294', '275', '463', '370', '430', '448', '314', '483', '426', '354', '380', '212', '161', '377', '346', '336', '284', '293', '331', '311', '265', '316', '244', '234', '228', '15', '10', '239', '304', '140', '184', '138', '114', '168'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
infobahn,14440,"{'challenge_name': ['old-site', 'eepy', 'library', 'insecure submission', 'p-vs-np', 'feedback', 'prologue', 'I am GitHub', 'antisocial-media', 'messenger', 'mikumikubeam', 'elfisyou', 'whats-my-number', 'whack-a-mole', '1000xREV', 'minceraft', 'broken ships', 'McFlagChecker', 'crypt-of-the-necropuzzler', 'the-eye', 'arclbroth', 'good-hash', 'plinko', 'too-loud-to-yap', 'gamedev', 'cache it to win it!', 'purell', 'state-change', 'Danger Searching', 'chessbased', 'quickprime', 'crypto-civilization', 'nine-solves', 'bigram-times', 'mavs-fan', 'farquaad', 'patricks-paraflag', '2password', 'I spy...', 'javascryption', 'RSAaaS', 'extended', 'big e', 'Extremely Convenient Breaker', 'lucky-flag', 'discord', 'rules'], 'challenge_category': ['web', 'pwn', 'pwn', 'misc', 'crypto', 'welcome', 'rev', 'misc', 'web', 'pwn', 'misc', 'rev', 'web', 'web', 'rev', 'pwn', 'misc', 'rev', 'rev', 'rev', 'web', 'crypto', 'web', 'crypto', 'pwn', 'web', 'web', 'pwn', 'misc', 'web', 'crypto', 'crypto', 'rev', 'crypto', 'web', 'misc', 'rev', 'pwn', 'web', 'rev', 'crypto', 'misc', 'crypto', 'crypto', 'web', 'welcome', 'welcome'], 'challenge_points': ['479', '487', '406', '467', '455', '20', '463', '444', '483', '463', '370', '448', '426', '463', '370', '346', '284', '377', '333', '304', '369', '380', '336', '294', '331', '293', '316', '311', '286', '265', '354', '314', '244', '275', '239', '341', '184', '228', '140', '138', '234', '168', '161', '212', '114', '15', '10'], 'solve_time': ['1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
no rev/pwn no life,14411,"{'challenge_name': ['mmapro', 'unsafe', 'whats-my-number', 'insecure submission', 'cloud-computing', 'feedback', 'I am GitHub', 'elfisyou', 'arclbroth', 'McFlagChecker', 'p-vs-np', 'library', 'plinko', 'shuffle-revenge', 'farquaad', 'good-hash', 'purell', 'chessbased', 'tokens-please', '1000xREV', 'crypto-civilization', 'bigram-times', 'cache it to win it!', 'too-loud-to-yap', 'crypt-of-the-necropuzzler', 'the-eye', 'broken ships', 'minceraft', 'messenger', 'mikumikubeam', 'Danger Searching', 'gamedev', 'nine-solves', 'quickprime', 'state-change', 'mavs-fan', 'patricks-paraflag', 'big e', 'I spy...', 'Extremely Convenient Breaker', '2password', 'javascryption', 'RSAaaS', 'discord', 'lucky-flag', 'extended', 'rules'], 'challenge_category': ['pwn', 'pwn', 'web', 'misc', 'pwn', 'welcome', 'misc', 'rev', 'web', 'rev', 'crypto', 'pwn', 'web', 'crypto', 'misc', 'crypto', 'web', 'web', 'misc', 'rev', 'crypto', 'crypto', 'web', 'crypto', 'rev', 'rev', 'misc', 'pwn', 'pwn', 'misc', 'misc', 'pwn', 'rev', 'crypto', 'pwn', 'web', 'rev', 'crypto', 'web', 'crypto', 'pwn', 'rev', 'crypto', 'welcome', 'web', 'misc', 'welcome'], 'challenge_points': ['487', '471', '426', '467', '463', '20', '444', '448', '369', '377', '455', '406', '336', '430', '341', '380', '316', '265', '495', '370', '314', '275', '293', '294', '333', '304', '284', '346', '463', '370', '286', '331', '244', '354', '311', '239', '184', '161', '140', '212', '228', '138', '234', '15', '114', '168', '10'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
S1uM4i,14355,"{'challenge_name': ['whack-a-mole', 'whats-my-number', 'unsafe', 'cloud-computing', 'feedback', 'insecure submission', 'prologue', 'arclbroth', 'plinko', 'p-vs-np', 'mikumikubeam', 'library', 'McFlagChecker', 'elfisyou', 'purell', 'Danger Searching', 'I am GitHub', 'farquaad', 'good-hash', '1000xREV', 'minceraft', 'shuffle-revenge', 'cache it to win it!', 'messenger', 'crypto-civilization', 'quickprime', 'chessbased', 'too-loud-to-yap', 'crypt-of-the-necropuzzler', 'broken ships', 'bigram-times', 'the-eye', 'gamedev', 'nine-solves', 'patricks-paraflag', 'mavs-fan', 'state-change', 'discord', 'javascryption', 'I spy...', 'Extremely Convenient Breaker', 'extended', 'RSAaaS', 'rules', 'big e', '2password', 'lucky-flag'], 'challenge_category': ['web', 'web', 'pwn', 'pwn', 'welcome', 'misc', 'rev', 'web', 'web', 'crypto', 'misc', 'pwn', 'rev', 'rev', 'web', 'misc', 'misc', 'misc', 'crypto', 'rev', 'pwn', 'crypto', 'web', 'pwn', 'crypto', 'crypto', 'web', 'crypto', 'rev', 'misc', 'crypto', 'rev', 'pwn', 'rev', 'rev', 'web', 'pwn', 'welcome', 'rev', 'web', 'crypto', 'misc', 'crypto', 'welcome', 'crypto', 'pwn', 'web'], 'challenge_points': ['463', '426', '471', '463', '20', '467', '463', '369', '336', '455', '370', '406', '377', '448', '316', '286', '444', '341', '380', '370', '346', '430', '293', '463', '314', '354', '265', '294', '333', '284', '275', '304', '331', '244', '184', '239', '311', '15', '138', '140', '212', '168', '234', '10', '161', '228', '114'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
L3ak,12552,"{'challenge_name': ['I am GitHub', 'whack-a-mole', 'old-site', 'prologue', 'elfisyou', 'whats-my-number', 'McFlagChecker', 'library', 'feedback', 'minceraft', 'insecure submission', 'arclbroth', '1000xREV', 'state-change', 'plinko', 'good-hash', 'mikumikubeam', 'gamedev', 'purell', 'crypt-of-the-necropuzzler', 'too-loud-to-yap', 'bigram-times', '2password', 'cache it to win it!', 'broken ships', 'crypto-civilization', 'the-eye', 'Danger Searching', 'chessbased', 'quickprime', 'farquaad', 'Extremely Convenient Breaker', 'mavs-fan', 'RSAaaS', 'nine-solves', 'big e', 'I spy...', 'extended', 'lucky-flag', 'patricks-paraflag', 'javascryption', 'discord', 'rules'], 'challenge_category': ['misc', 'web', 'web', 'rev', 'rev', 'web', 'rev', 'pwn', 'welcome', 'pwn', 'misc', 'web', 'rev', 'pwn', 'web', 'crypto', 'misc', 'pwn', 'web', 'rev', 'crypto', 'crypto', 'pwn', 'web', 'misc', 'crypto', 'rev', 'misc', 'web', 'crypto', 'misc', 'crypto', 'web', 'crypto', 'rev', 'crypto', 'web', 'misc', 'web', 'rev', 'rev', 'welcome', 'welcome'], 'challenge_points': ['444', '463', '479', '463', '448', '426', '377', '406', '20', '346', '467', '369', '370', '311', '336', '380', '370', '331', '316', '333', '294', '275', '228', '293', '284', '314', '304', '286', '265', '354', '341', '212', '239', '234', '244', '161', '140', '168', '114', '184', '138', '15', '10'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Project osu!lazer,12158,"{'challenge_name': ['shuffle-revenge', 'messenger', 'I am GitHub', 'cloud-computing', 'arclbroth', 'feedback', 'prologue', 'whats-my-number', 'eepy', 'mikumikubeam', '1000xREV', 'library', 'McFlagChecker', 'crypt-of-the-necropuzzler', 'too-loud-to-yap', 'crypto-civilization', 'plinko', 'bigram-times', 'purell', 'farquaad', 'minceraft', 'Danger Searching', 'broken ships', 'the-eye', 'gamedev', 'cache it to win it!', 'state-change', 'quickprime', 'nine-solves', 'patricks-paraflag', 'big e', 'chessbased', 'javascryption', 'Extremely Convenient Breaker', 'discord', 'mavs-fan', '2password', 'RSAaaS', 'rules', 'I spy...', 'extended', 'lucky-flag'], 'challenge_category': ['crypto', 'pwn', 'misc', 'pwn', 'web', 'welcome', 'rev', 'web', 'pwn', 'misc', 'rev', 'pwn', 'rev', 'rev', 'crypto', 'crypto', 'web', 'crypto', 'web', 'misc', 'pwn', 'misc', 'misc', 'rev', 'pwn', 'web', 'pwn', 'crypto', 'rev', 'rev', 'crypto', 'web', 'rev', 'crypto', 'welcome', 'web', 'pwn', 'crypto', 'welcome', 'web', 'misc', 'web'], 'challenge_points': ['430', '463', '444', '463', '369', '20', '463', '426', '487', '370', '370', '406', '377', '333', '294', '314', '336', '275', '316', '341', '346', '286', '284', '304', '331', '293', '311', '354', '244', '184', '161', '265', '138', '212', '15', '239', '228', '234', '10', '140', '168', '114'], 'solve_time': ['1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
KITCTF,11322,"{'challenge_name': ['quickprime', 'eepy', 'unsafe', 'good-hash', 'feedback', 'whats-my-number', '1000xREV', 'gamedev', 'state-change', 'crypto-civilization', 'plinko', 'minceraft', 'insecure submission', 'I am GitHub', 'mikumikubeam', 'crypt-of-the-necropuzzler', 'bigram-times', 'arclbroth', 'elfisyou', 'too-loud-to-yap', 'Danger Searching', 'purell', 'patricks-paraflag', 'Extremely Convenient Breaker', 'RSAaaS', 'the-eye', 'farquaad', 'cache it to win it!', '2password', 'mavs-fan', 'chessbased', 'broken ships', 'nine-solves', 'big e', 'extended', 'javascryption', 'I spy...', 'lucky-flag', 'rules', 'discord'], 'challenge_category': ['crypto', 'pwn', 'pwn', 'crypto', 'welcome', 'web', 'rev', 'pwn', 'pwn', 'crypto', 'web', 'pwn', 'misc', 'misc', 'misc', 'rev', 'crypto', 'web', 'rev', 'crypto', 'misc', 'web', 'rev', 'crypto', 'crypto', 'rev', 'misc', 'web', 'pwn', 'web', 'web', 'misc', 'rev', 'crypto', 'misc', 'rev', 'web', 'web', 'welcome', 'welcome'], 'challenge_points': ['354', '487', '471', '380', '20', '426', '370', '331', '311', '314', '336', '346', '467', '444', '370', '333', '275', '369', '448', '294', '286', '316', '184', '212', '234', '304', '341', '293', '228', '239', '265', '284', '244', '161', '168', '138', '140', '114', '10', '15'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
The Flat Network Society,10900,"{'challenge_name': ['1000xREV', 'whack-a-mole', 'McFlagChecker', 'antisocial-media', 'mikumikubeam', 'feedback', 'plinko', 'library', 'quickprime', 'elfisyou', 'good-hash', 'broken ships', 'too-loud-to-yap', 'arclbroth', 'purell', 'cache it to win it!', 'minceraft', 'crypto-civilization', 'crypt-of-the-necropuzzler', 'discord', 'gamedev', 'chessbased', 'mavs-fan', 'I spy...', 'big e', 'shuffle-revenge', 'RSAaaS', 'state-change', 'bigram-times', 'the-eye', 'rules', 'farquaad', 'nine-solves', 'Extremely Convenient Breaker', 'patricks-paraflag', '2password', 'extended', 'javascryption', 'lucky-flag'], 'challenge_category': ['rev', 'web', 'rev', 'web', 'misc', 'welcome', 'web', 'pwn', 'crypto', 'rev', 'crypto', 'misc', 'crypto', 'web', 'web', 'web', 'pwn', 'crypto', 'rev', 'welcome', 'pwn', 'web', 'web', 'web', 'crypto', 'crypto', 'crypto', 'pwn', 'crypto', 'rev', 'welcome', 'misc', 'rev', 'crypto', 'rev', 'pwn', 'misc', 'rev', 'web'], 'challenge_points': ['370', '463', '377', '483', '370', '20', '336', '406', '354', '448', '380', '284', '294', '369', '316', '293', '346', '314', '333', '15', '331', '265', '239', '140', '161', '430', '234', '311', '275', '304', '10', '341', '244', '212', '184', '228', '168', '138', '114'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Maple Bacon,10816,"{'challenge_name': ['sneckos-lair', 'elfisyou', 'minceraft', '1000xREV', 'McFlagChecker', 'whats-my-number', 'gamedev', 'state-change', 'arclbroth', 'plinko', 'the-eye', 'purell', 'farquaad', 'p-vs-np', 'shuffle-revenge', 'chessbased', 'crypt-of-the-necropuzzler', 'good-hash', 'cache it to win it!', 'crypto-civilization', '2password', 'nine-solves', 'quickprime', 'Danger Searching', 'patricks-paraflag', 'extended', 'bigram-times', 'too-loud-to-yap', 'javascryption', 'broken ships', 'mavs-fan', 'Extremely Convenient Breaker', 'big e', 'RSAaaS', 'I spy...', 'lucky-flag', 'discord', 'rules'], 'challenge_category': ['misc', 'rev', 'pwn', 'rev', 'rev', 'web', 'pwn', 'pwn', 'web', 'web', 'rev', 'web', 'misc', 'crypto', 'crypto', 'web', 'rev', 'crypto', 'web', 'crypto', 'pwn', 'rev', 'crypto', 'misc', 'rev', 'misc', 'crypto', 'crypto', 'rev', 'misc', 'web', 'crypto', 'crypto', 'crypto', 'web', 'web', 'welcome', 'welcome'], 'challenge_points': ['491', '448', '346', '370', '377', '426', '331', '311', '369', '336', '304', '316', '341', '455', '430', '265', '333', '380', '293', '314', '228', '244', '354', '286', '184', '168', '275', '294', '138', '284', '239', '212', '161', '234', '140', '114', '15', '10'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
b01lers,10756,"{'challenge_name': ['elfisyou', 'mikumikubeam', '1000xREV', 'arclbroth', 'whack-a-mole', 'quickprime', 'feedback', 'whats-my-number', 'gamedev', 'McFlagChecker', 'prologue', 'the-eye', 'minceraft', 'chessbased', 'good-hash', 'plinko', 'too-loud-to-yap', '2password', 'cache it to win it!', 'state-change', 'nine-solves', 'bigram-times', 'purell', 'crypt-of-the-necropuzzler', 'crypto-civilization', 'Danger Searching', 'broken ships', 'mavs-fan', 'farquaad', 'big e', 'Extremely Convenient Breaker', 'RSAaaS', 'I spy...', 'extended', 'patricks-paraflag', 'javascryption', 'lucky-flag', 'discord', 'rules'], 'challenge_category': ['rev', 'misc', 'rev', 'web', 'web', 'crypto', 'welcome', 'web', 'pwn', 'rev', 'rev', 'rev', 'pwn', 'web', 'crypto', 'web', 'crypto', 'pwn', 'web', 'pwn', 'rev', 'crypto', 'web', 'rev', 'crypto', 'misc', 'misc', 'web', 'misc', 'crypto', 'crypto', 'crypto', 'web', 'misc', 'rev', 'rev', 'web', 'welcome', 'welcome'], 'challenge_points': ['448', '370', '370', '369', '463', '354', '20', '426', '331', '377', '463', '304', '346', '265', '380', '336', '294', '228', '293', '311', '244', '275', '316', '333', '314', '286', '284', '239', '341', '161', '212', '234', '140', '168', '184', '138', '114', '15', '10'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
