name,points,challenge
More Smoked Leet Chicken,5551,"{'challenge_name': ['secure-dwarf', 'true random', 'mvms', 'ultimate-extensible-firmware-interface', 'too loud', 'Painting', 'Amped Up!', 'not-baby-crackme', 'Write Flag Where', 'wintertime', 'fancy text generator', 'matryoshka', 'Hotdog or Not', 'AdBlocker', 'spirvect', 'Enterprise Template as a Service', 'login', '2log', 'grammar nazi', 'FMC Starboard', 'check'], 'challenge_category': ['pwn', 'crypto', 'rev', 'pwn', 'misc', 'rev', 'web', 'rev', 'pwn', 'crypto', 'web', 'rev', 'misc', 'web', 'rev', 'web', 'pwn', 'crypto', 'crypto', 'web', 'sanity'], 'challenge_points': ['370', '237', '420', '316', '478', '355', '478', '316', '272', '402', '204', '230', '204', '210', '101', '316', '129', '109', '204', '100', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Feminised Maltese Counterrevolutionaries,4225,"{'challenge_name': ['Totally Normal Hash', 'ultimate-extensible-firmware-interface', 'Painting', 'mvms', 'Enterprise Template as a Service', 'true random', 'not-baby-crackme', 'login', 'Hotdog or Not', 'matryoshka', 'Write Flag Where', 'grammar nazi', 'spirvect', 'fancy text generator', 'FMC Starboard', 'AdBlocker', '2log', 'check'], 'challenge_category': ['misc', 'pwn', 'rev', 'rev', 'web', 'crypto', 'rev', 'pwn', 'misc', 'rev', 'pwn', 'crypto', 'rev', 'web', 'web', 'web', 'crypto', 'sanity'], 'challenge_points': ['402', '316', '355', '420', '316', '237', '316', '129', '204', '230', '272', '204', '101', '204', '100', '210', '109', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
DiceGang,3945,"{'challenge_name': ['Painting', 'Enterprise Template as a Service', 'true random', 'Totally Normal Hash', 'ultimate-extensible-firmware-interface', 'not-baby-crackme', 'Hotdog or Not', 'secure-dwarf', 'grammar nazi', 'AdBlocker', 'spirvect', 'FMC Starboard', 'fancy text generator', '2log', 'Write Flag Where', 'login', 'check'], 'challenge_category': ['rev', 'web', 'crypto', 'misc', 'pwn', 'rev', 'misc', 'pwn', 'crypto', 'web', 'rev', 'web', 'web', 'crypto', 'pwn', 'pwn', 'sanity'], 'challenge_points': ['355', '316', '237', '402', '316', '316', '204', '370', '204', '210', '101', '100', '204', '109', '272', '129', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
MNGA,3906,"{'challenge_name': ['AdBlocker', 'secure-dwarf', 'wintertime', 'not-baby-crackme', 'Write Flag Where', 'matryoshka', 'fancy text generator', 'Totally Normal Hash', 'Hotdog or Not', 'true random', 'ultimate-extensible-firmware-interface', 'grammar nazi', 'spirvect', 'FMC Starboard', '2log', 'login', 'check'], 'challenge_category': ['web', 'pwn', 'crypto', 'rev', 'pwn', 'rev', 'web', 'misc', 'misc', 'crypto', 'pwn', 'crypto', 'rev', 'web', 'crypto', 'pwn', 'sanity'], 'challenge_points': ['210', '370', '402', '316', '272', '230', '204', '402', '204', '237', '316', '204', '101', '100', '109', '129', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
thehackerscrew,3891,"{'challenge_name': ['Painting', 'AdBlocker', 'Totally Normal Hash', 'Write Flag Where', 'fancy text generator', 'Hotdog or Not', 'ultimate-extensible-firmware-interface', 'wintertime', 'not-baby-crackme', 'true random', 'login', '2log', 'matryoshka', 'grammar nazi', 'FMC Starboard', 'spirvect', 'check'], 'challenge_category': ['rev', 'web', 'misc', 'pwn', 'web', 'misc', 'pwn', 'crypto', 'rev', 'crypto', 'pwn', 'crypto', 'rev', 'crypto', 'web', 'rev', 'sanity'], 'challenge_points': ['355', '210', '402', '272', '204', '204', '316', '402', '316', '237', '129', '109', '230', '204', '100', '101', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
S4D Drovosec,3881,"{'challenge_name': ['ultimate-extensible-firmware-interface', 'true random', 'not-baby-crackme', 'Write Flag Where', 'AdBlocker', 'grammar nazi', 'matryoshka', 'Painting', 'Enterprise Template as a Service', 'too loud', 'fancy text generator', '2log', 'login', 'FMC Starboard', 'Hotdog or Not', 'spirvect', 'check'], 'challenge_category': ['pwn', 'crypto', 'rev', 'pwn', 'web', 'crypto', 'rev', 'rev', 'web', 'misc', 'web', 'crypto', 'pwn', 'web', 'misc', 'rev', 'sanity'], 'challenge_points': ['316', '237', '316', '272', '210', '204', '230', '355', '316', '478', '204', '109', '129', '100', '204', '101', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Superflat,3799,"{'challenge_name': ['Hotdog or Not', 'not-baby-crackme', 'secure-dwarf', 'wintertime', 'matryoshka', 'mvms', 'Enterprise Template as a Service', 'ultimate-extensible-firmware-interface', 'FMC Starboard', 'Write Flag Where', 'login', 'AdBlocker', 'spirvect', 'check', '2log', 'fancy text generator'], 'challenge_category': ['misc', 'rev', 'pwn', 'crypto', 'rev', 'rev', 'web', 'pwn', 'web', 'pwn', 'pwn', 'web', 'rev', 'sanity', 'crypto', 'web'], 'challenge_points': ['204', '316', '370', '402', '230', '420', '316', '316', '100', '272', '129', '210', '101', '100', '109', '204'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
Kalmarunionen,3191,"{'challenge_name': ['Write Flag Where', 'Painting', 'mvms', 'AdBlocker', 'true random', 'grammar nazi', 'login', '2log', 'fancy text generator', 'matryoshka', 'not-baby-crackme', 'FMC Starboard', 'Hotdog or Not', 'spirvect', 'check'], 'challenge_category': ['pwn', 'rev', 'rev', 'web', 'crypto', 'crypto', 'pwn', 'crypto', 'web', 'rev', 'rev', 'web', 'misc', 'rev', 'sanity'], 'challenge_points': ['272', '355', '420', '210', '237', '204', '129', '109', '204', '230', '316', '100', '204', '101', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
*0xA,3161,"{'challenge_name': ['fancy text generator', 'not-baby-crackme', 'Painting', 'Totally Normal Hash', 'matryoshka', 'Write Flag Where', 'true random', 'wintertime', '2log', 'login', 'spirvect', 'FMC Starboard', 'grammar nazi', 'check'], 'challenge_category': ['web', 'rev', 'rev', 'misc', 'rev', 'pwn', 'crypto', 'crypto', 'crypto', 'pwn', 'rev', 'web', 'crypto', 'sanity'], 'challenge_points': ['204', '316', '355', '402', '230', '272', '237', '402', '109', '129', '101', '100', '204', '100'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
SNHT,3134,"{'challenge_name': ['ultimate-extensible-firmware-interface', 'Hotdog or Not', 'Enterprise Template as a Service', 'Write Flag Where', 'matryoshka', 'wintertime', 'fancy text generator', 'spirvect', 'AdBlocker', 'true random', '2log', 'FMC Starboard', 'login', 'check', 'grammar nazi'], 'challenge_category': ['pwn', 'misc', 'web', 'pwn', 'rev', 'crypto', 'web', 'rev', 'web', 'crypto', 'crypto', 'web', 'pwn', 'sanity', 'crypto'], 'challenge_points': ['316', '204', '316', '272', '230', '402', '204', '101', '210', '237', '109', '100', '129', '100', '204'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago']}"
