name,points,challenge
The Flat Network Society,12163,"{'challenge_name': ['FR4M4', 'Signal from beyond', 'DoubleTrouble', 'I Believe I Can Fly', 'Blackdoor 2/2', 'TraumaC', 'Blackdoor 1/2', 'MidnightCraft 1/2', 'APT 1337', 'Night City - Ripperdoc', 'Zandan-X', 'Neopasswd2', 'T34S3R', 'Neopasswd3', 'NeuraCall', 'Bby Neopasswd', 'NeonPulse', 'NeuraTek', 'HALL OF FLAGS 1/2', 'Post Playground - Revenge', 'Hello', 'Sublocku', 'Tonalizer', 'Alderaan', 'Welcome', 'Disparity', 'BlindTest', 'BeatIt', 'Futur Upload', 'Highway To Hill', ""NeuraTek's Secrets"", 'Count on Me', 'Post Playground', 'Samurai', 'A²+B²=C'], 'challenge_category': ['Misc', 'Steganography', 'Web3', 'Osint', 'Forensic', 'Pwn', 'Forensic', 'Misc', 'Forensic', 'Osint', 'Misc', 'Android', 'Misc', 'Android', 'Reverse', 'Android', 'Pwn', 'Reverse', 'Misc', 'Web', 'Forensic', 'Web3', 'Steganography', 'Web3', 'Misc', 'Web', 'Pwn', 'Web', 'Web', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Reverse', 'Crypto'], 'challenge_points': ['10', '489', '498', '212', '499', '500', '498', '484', '479', '50', '500', '405', '50', '500', '499', '50', '498', '500', '220', '489', '50', '445', '369', '183', '50', '274', '479', '50', '497', '500', '50', '451', '397', '354', '484'], 'solve_time': ['2025-04-13T16:19:02.835819Z', '2025-04-13T15:43:18.221837Z', '2025-04-13T12:48:36.258304Z', '2025-04-13T12:46:51.464406Z', '2025-04-13T02:07:06.857167Z', '2025-04-13T00:41:12.969081Z', '2025-04-13T00:36:21.858409Z', '2025-04-12T22:52:23.536335Z', '2025-04-12T22:31:48.323821Z', '2025-04-12T21:56:52.708415Z', '2025-04-12T21:37:57.697986Z', '2025-04-12T21:09:14.179123Z', '2025-04-12T20:12:15.811716Z', '2025-04-12T19:59:47.871503Z', '2025-04-12T18:49:41.456202Z', '2025-04-12T18:28:29.410504Z', '2025-04-12T18:07:18.483747Z', '2025-04-12T18:05:47.451082Z', '2025-04-12T17:47:17.497221Z', '2025-04-12T17:04:54.601841Z', '2025-04-12T16:24:07.234161Z', '2025-04-12T15:55:07.007177Z', '2025-04-12T15:31:54.748954Z', '2025-04-12T15:09:12.135185Z', '2025-04-12T14:53:57.685565Z', '2025-04-12T14:48:11.524292Z', '2025-04-12T14:40:14.747176Z', '2025-04-12T14:24:35.034734Z', '2025-04-12T14:11:19.454430Z', '2025-04-12T13:58:49.128236Z', '2025-04-12T13:42:45.792743Z', '2025-04-12T13:37:08.108524Z', '2025-04-12T13:14:07.726270Z', '2025-04-12T13:01:14.897192Z', '2025-04-12T12:55:31.761625Z']}"
fibonhack,9889,"{'challenge_name': ['FR4M4', 'Zandan-X', 'APT 1337', 'NeuraCall', 'DoubleTrouble', 'Futur Upload', 'Post Playground - Revenge', 'Empire sous Frozen', 'Samurai', 'Night City - Cyberpsycho', 'Night City - Ripperdoc', 'MidnightCraft 1/2', 'A²+B²=C', 'Highway To Hill', 'Neopasswd3', 'NeonPulse', 'Post Playground', 'Neopasswd2', ""NeuraTek's Secrets"", 'Count on Me', 'BlindTest', 'Tonalizer', 'HALL OF FLAGS 1/2', 'Hello', 'Alderaan', 'Sublocku', 'T34S3R', 'Disparity', 'BeatIt', 'Bby Neopasswd', 'Welcome'], 'challenge_category': ['Misc', 'Misc', 'Forensic', 'Reverse', 'Web3', 'Web', 'Web', 'Forensic', 'Reverse', 'Osint', 'Osint', 'Misc', 'Crypto', 'Crypto', 'Android', 'Pwn', 'Web', 'Android', 'Crypto', 'Crypto', 'Pwn', 'Steganography', 'Misc', 'Forensic', 'Web3', 'Web3', 'Misc', 'Web', 'Web', 'Android', 'Misc'], 'challenge_points': ['10', '500', '479', '499', '498', '497', '489', '304', '354', '220', '50', '484', '484', '500', '500', '498', '397', '405', '50', '451', '479', '369', '220', '50', '183', '445', '50', '274', '50', '50', '50'], 'solve_time': ['2025-04-13T17:59:29.897733Z', '2025-04-13T17:34:49.630247Z', '2025-04-13T16:31:12.606895Z', '2025-04-13T15:56:13.627459Z', '2025-04-13T14:42:12.547028Z', '2025-04-13T14:04:04.332909Z', '2025-04-12T23:52:45.899278Z', '2025-04-12T22:33:57.971243Z', '2025-04-12T18:15:08.420333Z', '2025-04-12T17:55:16.255770Z', '2025-04-12T16:19:45.457961Z', '2025-04-12T16:13:34.956886Z', '2025-04-12T16:03:30.242332Z', '2025-04-12T16:01:00.436158Z', '2025-04-12T15:57:50.735413Z', '2025-04-12T15:31:24.349557Z', '2025-04-12T15:16:57.460787Z', '2025-04-12T15:09:41.071311Z', '2025-04-12T14:56:16.375615Z', '2025-04-12T14:46:10.581428Z', '2025-04-12T14:26:10.046334Z', '2025-04-12T14:24:24.647549Z', '2025-04-12T13:40:34.237969Z', '2025-04-12T13:37:18.058744Z', '2025-04-12T13:10:10.863890Z', '2025-04-12T13:07:04.768701Z', '2025-04-12T12:24:25.245688Z', '2025-04-12T12:16:50.631725Z', '2025-04-12T12:15:12.592658Z', '2025-04-12T12:14:03.524239Z', '2025-04-12T12:00:05.428374Z']}"
BunkyoWesterns,8414,"{'challenge_name': ['Disparity', 'Highway To Hill', 'FR4M4', 'Empire sous Frozen', 'DoubleTrouble', 'Sec Mem', 'MidnightCraft 1/2', 'Night City - Cyberpsycho', 'Neopasswd2', 'HALL OF FLAGS 1/2', 'Sublocku', 'Alderaan', 'Post Playground - Revenge', 'TraumaC', 'Post Playground', 'Samurai', 'Night City - Ripperdoc', 'NeonPulse', 'Hello', 'Bby Neopasswd', 'BlindTest', 'Tonalizer', 'Count on Me', ""NeuraTek's Secrets"", 'T34S3R', 'Welcome', 'A²+B²=C', 'BeatIt'], 'challenge_category': ['Web', 'Crypto', 'Misc', 'Forensic', 'Web3', 'Pwn', 'Misc', 'Osint', 'Android', 'Misc', 'Web3', 'Web3', 'Web', 'Pwn', 'Web', 'Reverse', 'Osint', 'Pwn', 'Forensic', 'Android', 'Pwn', 'Steganography', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Crypto', 'Web'], 'challenge_points': ['274', '500', '10', '304', '498', '500', '484', '220', '405', '220', '445', '183', '489', '500', '397', '354', '50', '498', '50', '50', '479', '369', '451', '50', '50', '50', '484', '50'], 'solve_time': ['2025-04-13T17:52:32.345266Z', '2025-04-13T16:51:15.406050Z', '2025-04-13T16:07:12.631303Z', '2025-04-13T15:59:04.462357Z', '2025-04-13T12:31:44.770444Z', '2025-04-13T08:20:28.904815Z', '2025-04-13T04:39:23.828243Z', '2025-04-13T02:47:34.377768Z', '2025-04-13T02:28:27.978766Z', '2025-04-13T01:54:03.420140Z', '2025-04-12T18:52:30.717681Z', '2025-04-12T17:33:44.854672Z', '2025-04-12T17:07:46.396973Z', '2025-04-12T17:06:50.055935Z', '2025-04-12T17:00:55.441441Z', '2025-04-12T16:18:03.941479Z', '2025-04-12T15:39:52.297655Z', '2025-04-12T15:01:28.861414Z', '2025-04-12T14:02:50.474713Z', '2025-04-12T13:48:57.887531Z', '2025-04-12T13:42:38.030321Z', '2025-04-12T13:22:11.575082Z', '2025-04-12T13:19:00.687678Z', '2025-04-12T12:55:43.170304Z', '2025-04-12T12:53:55.498403Z', '2025-04-12T12:23:12.326549Z', '2025-04-12T12:22:57.638139Z', '2025-04-12T12:13:44.113606Z']}"
Télécom Imp'hackt,8104,"{'challenge_name': ['Sublocku', 'FR4M4', 'BlindTest', 'APT 1337', 'MidnightCraft 2/2', 'Signal from beyond', 'Neopasswd2', 'Night City - Cyberpsycho', 'A²+B²=C', 'HALL OF FLAGS 2/2', 'HALL OF FLAGS 1/2', 'Post Playground - Revenge', 'MidnightCraft 1/2', 'Tonalizer', 'Samurai', 'Highway To Hill', 'Bby Neopasswd', 'Disparity', ""NeuraTek's Secrets"", 'Post Playground', 'Empire sous Frozen', 'Night City - Ripperdoc', 'Hello', 'Alderaan', 'I Believe I Can Fly', 'BeatIt', 'T34S3R', 'Welcome'], 'challenge_category': ['Web3', 'Misc', 'Pwn', 'Forensic', 'Misc', 'Steganography', 'Android', 'Osint', 'Crypto', 'Osint', 'Misc', 'Web', 'Misc', 'Steganography', 'Reverse', 'Crypto', 'Android', 'Web', 'Crypto', 'Web', 'Forensic', 'Osint', 'Forensic', 'Web3', 'Osint', 'Web', 'Misc', 'Misc'], 'challenge_points': ['445', '10', '479', '479', '500', '489', '405', '220', '484', '457', '220', '489', '484', '369', '354', '500', '50', '274', '50', '397', '304', '50', '50', '183', '212', '50', '50', '50'], 'solve_time': ['2025-04-13T17:37:02.158402Z', '2025-04-13T17:05:00.324869Z', '2025-04-13T17:00:09.956841Z', '2025-04-13T16:57:45.124327Z', '2025-04-13T13:47:40.575526Z', '2025-04-13T02:26:28.377199Z', '2025-04-13T01:41:31.053479Z', '2025-04-13T01:15:16.237544Z', '2025-04-12T23:58:26.436933Z', '2025-04-12T23:50:31.265769Z', '2025-04-12T23:10:55.906916Z', '2025-04-12T22:24:19.444750Z', '2025-04-12T21:20:17.988935Z', '2025-04-12T21:02:38.135048Z', '2025-04-12T20:13:22.806953Z', '2025-04-12T20:02:06.034810Z', '2025-04-12T18:29:52.883824Z', '2025-04-12T16:20:28.137777Z', '2025-04-12T16:05:50.664626Z', '2025-04-12T15:54:39.294145Z', '2025-04-12T15:30:32.960482Z', '2025-04-12T14:28:27.204273Z', '2025-04-12T14:13:03.561750Z', '2025-04-12T12:56:59.177252Z', '2025-04-12T12:45:29.069155Z', '2025-04-12T12:34:58.192634Z', '2025-04-12T12:25:07.399483Z', '2025-04-12T12:14:44.300767Z']}"
PsychoBash,7462,"{'challenge_name': ['Signal from beyond', 'FR4M4', 'Blackdoor 2/2', 'Highway To Hill', 'MidnightCraft 2/2', 'Blackdoor 1/2', 'Count on Me', 'APT 1337', 'MidnightCraft 1/2', 'A²+B²=C', 'Samurai', 'Neopasswd2', 'Empire sous Frozen', 'Post Playground', 'Night City - Ripperdoc', 'I Believe I Can Fly', 'Alderaan', 'Disparity', 'Tonalizer', 'HALL OF FLAGS 1/2', ""NeuraTek's Secrets"", 'Bby Neopasswd', 'Hello', 'BeatIt', 'T34S3R', 'Welcome'], 'challenge_category': ['Steganography', 'Misc', 'Forensic', 'Crypto', 'Misc', 'Forensic', 'Crypto', 'Forensic', 'Misc', 'Crypto', 'Reverse', 'Android', 'Forensic', 'Web', 'Osint', 'Osint', 'Web3', 'Web', 'Steganography', 'Misc', 'Crypto', 'Android', 'Forensic', 'Web', 'Misc', 'Misc'], 'challenge_points': ['489', '10', '499', '500', '500', '498', '451', '479', '484', '484', '354', '405', '304', '397', '50', '212', '183', '274', '369', '220', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-04-13T16:21:48.859135Z', '2025-04-13T16:09:34.165978Z', '2025-04-13T13:45:28.116420Z', '2025-04-13T12:51:20.369614Z', '2025-04-13T10:44:46.318782Z', '2025-04-13T09:47:11.438329Z', '2025-04-13T09:22:12.949395Z', '2025-04-13T02:16:41.779132Z', '2025-04-12T23:38:33.635897Z', '2025-04-12T22:28:56.409635Z', '2025-04-12T20:07:40.643843Z', '2025-04-12T20:00:24.712225Z', '2025-04-12T18:25:18.425568Z', '2025-04-12T17:58:16.883233Z', '2025-04-12T17:47:31.219313Z', '2025-04-12T17:31:51.879633Z', '2025-04-12T16:09:47.302148Z', '2025-04-12T15:54:09.885078Z', '2025-04-12T14:49:50.618932Z', '2025-04-12T13:24:46.061481Z', '2025-04-12T13:16:43.273960Z', '2025-04-12T13:03:12.536026Z', '2025-04-12T12:47:51.709811Z', '2025-04-12T12:11:02.920171Z', '2025-04-12T12:08:40.941418Z', '2025-04-12T12:00:24.486837Z']}"
Hack@Sec,6823,"{'challenge_name': ['FR4M4', 'NeuraCall', 'Post Playground', 'A²+B²=C', 'Samurai', 'Disparity', 'Signal from beyond', 'Tonalizer', 'Sublocku', 'Count on Me', 'BlindTest', 'NeonPulse', 'MidnightCraft 1/2', 'T34S3R', 'BeatIt', 'Neopasswd2', 'Alderaan', 'Bby Neopasswd', 'Night City - Cyberpsycho', ""NeuraTek's Secrets"", 'Night City - Ripperdoc', 'Hello', 'I Believe I Can Fly', 'HALL OF FLAGS 1/2', 'Welcome'], 'challenge_category': ['Misc', 'Reverse', 'Web', 'Crypto', 'Reverse', 'Web', 'Steganography', 'Steganography', 'Web3', 'Crypto', 'Pwn', 'Pwn', 'Misc', 'Misc', 'Web', 'Android', 'Web3', 'Android', 'Osint', 'Crypto', 'Osint', 'Forensic', 'Osint', 'Misc', 'Misc'], 'challenge_points': ['10', '499', '397', '484', '354', '274', '489', '369', '445', '451', '479', '498', '484', '50', '50', '405', '183', '50', '220', '50', '50', '50', '212', '220', '50'], 'solve_time': ['2025-04-13T16:11:31.436167Z', '2025-04-13T15:12:50.295882Z', '2025-04-13T14:46:11.022866Z', '2025-04-13T10:07:19.064290Z', '2025-04-13T09:43:13.335125Z', '2025-04-13T06:42:31.659514Z', '2025-04-13T06:30:59.390889Z', '2025-04-13T06:02:45.331291Z', '2025-04-13T05:51:36.765223Z', '2025-04-12T23:32:27.562349Z', '2025-04-12T21:11:00.654612Z', '2025-04-12T20:20:11.141413Z', '2025-04-12T18:28:12.750396Z', '2025-04-12T17:35:46.419805Z', '2025-04-12T17:21:03.521046Z', '2025-04-12T16:55:11.846020Z', '2025-04-12T15:33:25.043193Z', '2025-04-12T15:31:23.001583Z', '2025-04-12T15:12:50.761135Z', '2025-04-12T15:01:37.487227Z', '2025-04-12T14:45:25.091585Z', '2025-04-12T14:37:24.137844Z', '2025-04-12T13:47:09.865265Z', '2025-04-12T13:34:45.629431Z', '2025-04-12T12:02:19.729598Z']}"
Touran5Places,6457,"{'challenge_name': ['Blackdoor 2/2', 'Blackdoor 1/2', 'Count on Me', 'Tonalizer', ""NeuraTek's Secrets"", 'BlindTest', 'HALL OF FLAGS 2/2', 'Night City - Ripperdoc', 'APT 1337', 'Post Playground', 'Disparity', 'Signal from beyond', 'HALL OF FLAGS 1/2', 'Night City - Cyberpsycho', 'Samurai', 'Neopasswd2', 'Empire sous Frozen', 'Hello', 'Bby Neopasswd', 'I Believe I Can Fly', 'BeatIt', 'T34S3R', 'Welcome'], 'challenge_category': ['Forensic', 'Forensic', 'Crypto', 'Steganography', 'Crypto', 'Pwn', 'Osint', 'Osint', 'Forensic', 'Web', 'Web', 'Steganography', 'Misc', 'Osint', 'Reverse', 'Android', 'Forensic', 'Forensic', 'Android', 'Osint', 'Web', 'Misc', 'Misc'], 'challenge_points': ['499', '498', '451', '369', '50', '479', '457', '50', '479', '397', '274', '489', '220', '220', '354', '405', '304', '50', '50', '212', '50', '50', '50'], 'solve_time': ['2025-04-13T14:45:51.308888Z', '2025-04-13T14:24:53.814077Z', '2025-04-13T13:49:03.994990Z', '2025-04-13T13:03:14.747524Z', '2025-04-13T13:01:51.349005Z', '2025-04-13T12:13:24.015363Z', '2025-04-13T11:51:35.042030Z', '2025-04-13T11:47:27.086106Z', '2025-04-13T01:41:29.359494Z', '2025-04-13T00:09:15.102774Z', '2025-04-12T22:20:19.122072Z', '2025-04-12T21:10:41.677696Z', '2025-04-12T20:37:16.232238Z', '2025-04-12T19:13:41.475632Z', '2025-04-12T18:29:19.247414Z', '2025-04-12T15:09:20.041986Z', '2025-04-12T14:25:50.841070Z', '2025-04-12T13:58:32.330453Z', '2025-04-12T13:56:15.812128Z', '2025-04-12T13:39:22.869711Z', '2025-04-12T12:30:38.719449Z', '2025-04-12T12:19:37.432097Z', '2025-04-12T12:01:16.557546Z']}"
Inglorious Flagsterds,6165,"{'challenge_name': ['HALL OF FLAGS 2/2', 'Neopasswd3', 'FR4M4', 'Sublocku', 'Futur Upload', 'Alderaan', 'HALL OF FLAGS 1/2', ""NeuraTek's Secrets"", 'Post Playground - Revenge', 'Post Playground', 'Empire sous Frozen', 'Tonalizer', 'Hello', 'Night City - Cyberpsycho', 'Neopasswd2', 'I Believe I Can Fly', 'Bby Neopasswd', 'Samurai', 'Night City - Ripperdoc', 'Disparity', 'BlindTest', 'BeatIt', 'T34S3R', 'Welcome'], 'challenge_category': ['Osint', 'Android', 'Misc', 'Web3', 'Web', 'Web3', 'Misc', 'Crypto', 'Web', 'Web', 'Forensic', 'Steganography', 'Forensic', 'Osint', 'Android', 'Osint', 'Android', 'Reverse', 'Osint', 'Web', 'Pwn', 'Web', 'Misc', 'Misc'], 'challenge_points': ['457', '500', '10', '445', '497', '183', '220', '50', '489', '397', '304', '369', '50', '220', '405', '212', '50', '354', '50', '274', '479', '50', '50', '50'], 'solve_time': ['2025-04-13T16:14:41.817126Z', '2025-04-13T16:10:45.830496Z', '2025-04-13T16:04:53.784730Z', '2025-04-13T15:21:18.362358Z', '2025-04-13T14:07:27.853042Z', '2025-04-13T09:11:47.814921Z', '2025-04-13T01:54:18.057502Z', '2025-04-13T00:52:29.361780Z', '2025-04-13T00:31:22.969390Z', '2025-04-13T00:20:03.554423Z', '2025-04-12T22:44:29.277545Z', '2025-04-12T20:43:45.225827Z', '2025-04-12T19:59:28.816179Z', '2025-04-12T19:13:38.663231Z', '2025-04-12T18:22:24.100361Z', '2025-04-12T17:33:54.884046Z', '2025-04-12T17:26:12.746606Z', '2025-04-12T17:16:30.858966Z', '2025-04-12T17:11:28.846726Z', '2025-04-12T15:55:45.152963Z', '2025-04-12T14:47:20.378955Z', '2025-04-12T14:33:15.493117Z', '2025-04-12T12:47:40.892516Z', '2025-04-12T12:03:53.075704Z']}"
Tung Tung Tung Sahur,6163,"{'challenge_name': ['NeuraCall', 'FR4M4', 'MidnightCraft 1/2', 'Neopasswd2', 'Sublocku', 'Count on Me', 'Post Playground - Revenge', 'Alderaan', ""NeuraTek's Secrets"", 'Tonalizer', 'I Believe I Can Fly', 'Night City - Cyberpsycho', 'Disparity', 'Night City - Ripperdoc', 'Empire sous Frozen', 'Futur Upload', 'BeatIt', 'Hello', 'Bby Neopasswd', 'Samurai', 'Post Playground', 'HALL OF FLAGS 1/2', 'T34S3R', 'Welcome'], 'challenge_category': ['Reverse', 'Misc', 'Misc', 'Android', 'Web3', 'Crypto', 'Web', 'Web3', 'Crypto', 'Steganography', 'Osint', 'Osint', 'Web', 'Osint', 'Forensic', 'Web', 'Web', 'Forensic', 'Android', 'Reverse', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['499', '10', '484', '405', '445', '451', '489', '183', '50', '369', '212', '220', '274', '50', '304', '497', '50', '50', '50', '354', '397', '220', '50', '50'], 'solve_time': ['2025-04-13T16:49:19.123117Z', '2025-04-13T16:08:23.781048Z', '2025-04-13T15:58:45.172851Z', '2025-04-13T13:08:35.868265Z', '2025-04-13T09:30:19.390958Z', '2025-04-13T02:51:33.837943Z', '2025-04-13T01:22:41.971228Z', '2025-04-13T00:58:17.954042Z', '2025-04-13T00:50:03.222228Z', '2025-04-13T00:26:12.652587Z', '2025-04-12T23:59:45.785813Z', '2025-04-12T22:54:46.856622Z', '2025-04-12T22:13:43.337914Z', '2025-04-12T21:47:58.261067Z', '2025-04-12T21:36:00.010905Z', '2025-04-12T21:26:07.582985Z', '2025-04-12T21:05:21.759843Z', '2025-04-12T20:38:53.493546Z', '2025-04-12T20:24:25.953358Z', '2025-04-12T17:27:43.202027Z', '2025-04-12T16:00:47.439374Z', '2025-04-12T12:49:47.372978Z', '2025-04-12T12:19:04.465187Z', '2025-04-12T12:15:20.977108Z']}"
SleepyHollow,6152,"{'challenge_name': ['NeuraTek', 'HALL OF FLAGS 2/2', 'FR4M4', 'Signal from beyond', 'Sublocku', 'Post Playground', 'MidnightCraft 1/2', 'APT 1337', 'Tonalizer', 'Disparity', 'Night City - Cyberpsycho', 'Empire sous Frozen', 'Samurai', 'BeatIt', ""NeuraTek's Secrets"", 'Night City - Ripperdoc', 'HALL OF FLAGS 1/2', 'Neopasswd2', 'Hello', 'Alderaan', 'I Believe I Can Fly', 'Bby Neopasswd', 'T34S3R', 'Welcome'], 'challenge_category': ['Reverse', 'Osint', 'Misc', 'Steganography', 'Web3', 'Web', 'Misc', 'Forensic', 'Steganography', 'Web', 'Osint', 'Forensic', 'Reverse', 'Web', 'Crypto', 'Osint', 'Misc', 'Android', 'Forensic', 'Web3', 'Osint', 'Android', 'Misc', 'Misc'], 'challenge_points': ['500', '457', '10', '489', '445', '397', '484', '479', '369', '274', '220', '304', '354', '50', '50', '50', '220', '405', '50', '183', '212', '50', '50', '50'], 'solve_time': ['2025-04-13T17:28:03.029627Z', '2025-04-13T16:22:04.672693Z', '2025-04-13T16:06:09.657688Z', '2025-04-13T13:20:06.299031Z', '2025-04-13T12:40:47.298809Z', '2025-04-13T11:57:06.791417Z', '2025-04-13T11:44:22.513919Z', '2025-04-13T11:18:02.428907Z', '2025-04-13T11:00:39.523103Z', '2025-04-12T19:59:56.381266Z', '2025-04-12T18:03:23.959668Z', '2025-04-12T16:35:42.965488Z', '2025-04-12T15:37:55.020491Z', '2025-04-12T14:24:34.034033Z', '2025-04-12T14:13:21.146107Z', '2025-04-12T14:06:51.476819Z', '2025-04-12T13:27:16.363369Z', '2025-04-12T13:24:05.945531Z', '2025-04-12T12:46:37.781522Z', '2025-04-12T12:45:14.483843Z', '2025-04-12T12:33:40.011211Z', '2025-04-12T12:29:27.300913Z', '2025-04-12T12:29:00.926608Z', '2025-04-12T12:02:25.094537Z']}"
