name,points,challenge
Thread in the Needle,16043,"{'challenge_name': ['Somewhere Near The Bay Part1', 'Black Mirror', 'Traffic signs', 'reject_this', 'KaB', 'The Hotel', 'ecal', 'Eidi Diary', '7seen', 'Anon Skiddie Part2', 'Anon Skiddie Part1', 'SHIPCOIN Imposter', 'Somewhere Near The Bay Part2', 'Im hungry', 'flag_vaporizer', 'Seen Shop', 'Github', 'circular maze', 'VLESS', 'UDP Upload', 'Samuel Dummper', 'superguesser v2', 'Arnou Leroy', 'slutter_revange', 'Slutter', '🌱', 'suffron', 'Shahname', 'olleH', 'A Revengefu Accident', 'Seen Guessing', 'welcome', 'Robin’s Mystery', 'Bincrawl', 'superguesser', 'seal-the-deal', 'Brutal RSA', 'EZ RSA', 'EZ XOR'], 'challenge_category': ['OSINT', 'Web', 'misc', 'Forensics', 'Forensics', 'OSINT', 'misc', 'Pwn', 'Web', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Reverse', 'Pwn', 'misc', 'crypto', 'Forensics', 'Forensics', 'Forensics', 'crypto', 'misc', 'Reverse', 'Reverse', 'Web', 'Reverse', 'Web', 'Reverse', 'OSINT', 'Pwn', 'welcome', 'crypto', 'Forensics', 'crypto', 'crypto', 'crypto', 'crypto', 'crypto'], 'challenge_points': ['471', '480', '491', '492', '484', '477', '471', '494', '407', '471', '451', '486', '459', '386', '480', '375', '410', '427', '473', '459', '415', '479', '397', '494', '475', '489', '407', '378', '320', '236', '399', '100', '425', '294', '465', '343', '432', '172', '179'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
HCS,14579,"{'challenge_name': ['slutter_revange', 'flag_vaporizer', 'Brutal RSA', 'Robin’s Mystery', 'The Hotel', 'SHIPCOIN Imposter', 'KaB', 'superguesser', 'circular maze', 'VLESS', 'Somewhere Near The Bay Part1', '🌱', 'UDP Upload', 'Black Mirror', '7seen', 'reject_this', 'Samuel Dummper', 'Somewhere Near The Bay Part2', 'Im hungry', 'Bincrawl', 'Seen Shop', 'ecal', 'Shahname', 'Anon Skiddie Part2', 'Anon Skiddie Part1', 'suffron', 'Seen Guessing', 'Slutter', 'Arnou Leroy', 'Github', 'A Revengefu Accident', 'olleH', 'seal-the-deal', 'EZ RSA', 'EZ XOR', 'welcome'], 'challenge_category': ['Reverse', 'Reverse', 'crypto', 'crypto', 'OSINT', 'OSINT', 'Forensics', 'crypto', 'crypto', 'Forensics', 'OSINT', 'Web', 'Forensics', 'Web', 'Web', 'Forensics', 'Forensics', 'OSINT', 'OSINT', 'Forensics', 'Pwn', 'misc', 'Web', 'OSINT', 'OSINT', 'Reverse', 'Pwn', 'Reverse', 'misc', 'misc', 'OSINT', 'Reverse', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['494', '480', '432', '425', '477', '486', '484', '465', '427', '473', '471', '489', '459', '480', '407', '492', '415', '459', '386', '294', '375', '471', '378', '471', '451', '407', '399', '475', '397', '410', '236', '320', '343', '172', '179', '100'], 'solve_time': ['21 hours ago', '21 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
C4C,14566,"{'challenge_name': ['Slutter', 'KaB', 'VLESS', 'Anon Skiddie Part2', 'The Hotel', 'Somewhere Near The Bay Part1', 'SHIPCOIN Imposter', 'Somewhere Near The Bay Part2', 'Samuel Dummper', 'superguesser v2', 'flag_vaporizer', 'suffron', 'Eidi Diary', 'Im hungry', 'ecal', 'Seen Shop', 'circular maze', 'Black Mirror', '🌱', 'UDP Upload', 'Anon Skiddie Part1', 'Bincrawl', 'Github', 'superguesser', '7seen', 'seal-the-deal', 'welcome', 'Seen Guessing', 'Arnou Leroy', 'Robin’s Mystery', 'Shahname', 'Brutal RSA', 'EZ RSA', 'EZ XOR', 'olleH', 'A Revengefu Accident'], 'challenge_category': ['Reverse', 'Forensics', 'Forensics', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'crypto', 'Reverse', 'Reverse', 'Pwn', 'OSINT', 'misc', 'Pwn', 'crypto', 'Web', 'Web', 'Forensics', 'OSINT', 'Forensics', 'misc', 'crypto', 'Web', 'crypto', 'welcome', 'Pwn', 'misc', 'crypto', 'Web', 'crypto', 'crypto', 'crypto', 'Reverse', 'OSINT'], 'challenge_points': ['475', '484', '473', '471', '477', '471', '486', '459', '415', '479', '480', '407', '494', '386', '471', '375', '427', '480', '489', '459', '451', '294', '410', '465', '407', '343', '100', '399', '397', '425', '378', '432', '172', '179', '320', '236'], 'solve_time': ['22 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
BITSkrieg,13608,"{'challenge_name': ['superguesser v2', 'SHIPCOIN Imposter', 'Arnou Leroy', 'The Hotel', 'Somewhere Near The Bay Part2', 'Somewhere Near The Bay Part1', 'flag_vaporizer', 'superguesser', 'KaB', 'UDP Upload', '7seen', '🌱', 'ecal', 'circular maze', 'Seen Shop', 'Im hungry', 'Seen Guessing', 'Shahname', 'Traffic signs', 'Robin’s Mystery', 'Brutal RSA', 'seal-the-deal', 'EZ RSA', 'Anon Skiddie Part2', 'Anon Skiddie Part1', 'Github', 'suffron', 'A Revengefu Accident', 'EZ XOR', 'olleH', 'VLESS', 'Bincrawl', 'Samuel Dummper', 'welcome'], 'challenge_category': ['crypto', 'OSINT', 'misc', 'OSINT', 'OSINT', 'OSINT', 'Reverse', 'crypto', 'Forensics', 'Forensics', 'Web', 'Web', 'misc', 'crypto', 'Pwn', 'OSINT', 'Pwn', 'Web', 'misc', 'crypto', 'crypto', 'crypto', 'crypto', 'OSINT', 'OSINT', 'misc', 'Reverse', 'OSINT', 'crypto', 'Reverse', 'Forensics', 'Forensics', 'Forensics', 'welcome'], 'challenge_points': ['479', '486', '397', '477', '459', '471', '480', '465', '484', '459', '407', '489', '471', '427', '375', '386', '399', '378', '491', '425', '432', '343', '172', '471', '451', '410', '407', '236', '179', '320', '473', '294', '415', '100'], 'solve_time': ['22 hours ago', '22 hours ago', '23 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
H7Tex,13607,"{'challenge_name': ['flag_vaporizer', 'The Hotel', 'SHIPCOIN Imposter', 'Seen Shop', 'Seen Guessing', 'VLESS', 'reject_this', 'Somewhere Near The Bay Part2', 'KaB', 'circular maze', 'ecal', 'superguesser', 'Somewhere Near The Bay Part1', 'Im hungry', 'Slutter', 'Brutal RSA', 'Robin’s Mystery', 'Arnou Leroy', 'seal-the-deal', 'Anon Skiddie Part2', 'Anon Skiddie Part1', 'Bincrawl', 'suffron', '7seen', 'Github', 'Shahname', 'Traffic signs', 'olleH', 'A Revengefu Accident', 'Samuel Dummper', 'EZ XOR', 'welcome', 'EZ RSA', 'UDP Upload'], 'challenge_category': ['Reverse', 'OSINT', 'OSINT', 'Pwn', 'Pwn', 'Forensics', 'Forensics', 'OSINT', 'Forensics', 'crypto', 'misc', 'crypto', 'OSINT', 'OSINT', 'Reverse', 'crypto', 'crypto', 'misc', 'crypto', 'OSINT', 'OSINT', 'Forensics', 'Reverse', 'Web', 'misc', 'Web', 'misc', 'Reverse', 'OSINT', 'Forensics', 'crypto', 'welcome', 'crypto', 'Forensics'], 'challenge_points': ['480', '477', '486', '375', '399', '473', '492', '459', '484', '427', '471', '465', '471', '386', '475', '432', '425', '397', '343', '471', '451', '294', '407', '407', '410', '378', '491', '320', '236', '415', '179', '100', '172', '459'], 'solve_time': ['21 hours ago', '22 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
bi0s,12685,"{'challenge_name': ['flag_vaporizer', 'Eidi Diary', 'The Hotel', 'Somewhere Near The Bay Part2', 'Slutter', 'KaB', 'Traffic signs', 'ecal', 'superguesser', 'Somewhere Near The Bay Part1', 'Seen Shop', 'Im hungry', 'circular maze', 'Bincrawl', '7seen', 'Brutal RSA', 'Github', 'slutter_revange', 'Robin’s Mystery', 'suffron', 'Anon Skiddie Part1', 'seal-the-deal', 'olleH', 'EZ RSA', 'Shahname', 'Arnou Leroy', 'Anon Skiddie Part2', 'EZ XOR', 'A Revengefu Accident', 'Seen Guessing', 'Samuel Dummper', 'welcome'], 'challenge_category': ['Reverse', 'Pwn', 'OSINT', 'OSINT', 'Reverse', 'Forensics', 'misc', 'misc', 'crypto', 'OSINT', 'Pwn', 'OSINT', 'crypto', 'Forensics', 'Web', 'crypto', 'misc', 'Reverse', 'crypto', 'Reverse', 'OSINT', 'crypto', 'Reverse', 'crypto', 'Web', 'misc', 'OSINT', 'crypto', 'OSINT', 'Pwn', 'Forensics', 'welcome'], 'challenge_points': ['480', '494', '477', '459', '475', '484', '491', '471', '465', '471', '375', '386', '427', '294', '407', '432', '410', '494', '425', '407', '451', '343', '320', '172', '378', '397', '471', '179', '236', '399', '415', '100'], 'solve_time': ['21 hours ago', '22 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
Cryptonite,12649,"{'challenge_name': ['Slutter', 'Github', 'Traffic signs', 'VLESS', 'superguesser v2', 'superguesser', 'flag_vaporizer', 'KaB', 'The Hotel', '7seen', 'Shahname', 'Brutal RSA', 'Seen Shop', 'Seen Guessing', 'Somewhere Near The Bay Part1', 'Somewhere Near The Bay Part2', 'circular maze', 'ecal', 'Robin’s Mystery', 'seal-the-deal', 'Arnou Leroy', 'Im hungry', 'Anon Skiddie Part2', 'Anon Skiddie Part1', 'A Revengefu Accident', 'suffron', 'Samuel Dummper', 'olleH', 'Bincrawl', 'EZ RSA', 'EZ XOR', 'welcome'], 'challenge_category': ['Reverse', 'misc', 'misc', 'Forensics', 'crypto', 'crypto', 'Reverse', 'Forensics', 'OSINT', 'Web', 'Web', 'crypto', 'Pwn', 'Pwn', 'OSINT', 'OSINT', 'crypto', 'misc', 'crypto', 'crypto', 'misc', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Reverse', 'Forensics', 'Reverse', 'Forensics', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['475', '410', '491', '473', '479', '465', '480', '484', '477', '407', '378', '432', '375', '399', '471', '459', '427', '471', '425', '343', '397', '386', '471', '451', '236', '407', '415', '320', '294', '172', '179', '100'], 'solve_time': ['21 hours ago', '22 hours ago', '22 hours ago', '22 hours ago', '22 hours ago', '23 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
1nf1n1ty,12146,"{'challenge_name': ['KaB', 'SHIPCOIN Imposter', 'Anon Skiddie Part2', 'Slutter', 'Seen Guessing', 'Somewhere Near The Bay Part1', 'Brutal RSA', 'ecal', 'Somewhere Near The Bay Part2', 'Samuel Dummper', 'circular maze', 'Im hungry', 'Seen Shop', 'suffron', 'UDP Upload', '7seen', 'VLESS', 'Github', 'Anon Skiddie Part1', 'superguesser v2', 'Shahname', 'Robin’s Mystery', 'superguesser', 'Bincrawl', 'Arnou Leroy', 'seal-the-deal', 'EZ RSA', 'olleH', 'EZ XOR', 'welcome', 'A Revengefu Accident'], 'challenge_category': ['Forensics', 'OSINT', 'OSINT', 'Reverse', 'Pwn', 'OSINT', 'crypto', 'misc', 'OSINT', 'Forensics', 'crypto', 'OSINT', 'Pwn', 'Reverse', 'Forensics', 'Web', 'Forensics', 'misc', 'OSINT', 'crypto', 'Web', 'crypto', 'crypto', 'Forensics', 'misc', 'crypto', 'crypto', 'Reverse', 'crypto', 'welcome', 'OSINT'], 'challenge_points': ['484', '486', '471', '475', '399', '471', '432', '471', '459', '415', '427', '386', '375', '407', '459', '407', '473', '410', '451', '479', '378', '425', '465', '294', '397', '343', '172', '320', '179', '100', '236'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
FPTU Ethical Hackers Club,11671,"{'challenge_name': ['superguesser v2', 'The Hotel', 'KaB', 'Somewhere Near The Bay Part1', 'Somewhere Near The Bay Part2', 'Black Mirror', 'Im hungry', 'Seen Shop', 'Robin’s Mystery', 'circular maze', 'superguesser', 'VLESS', 'Anon Skiddie Part2', 'Github', 'Anon Skiddie Part1', 'Brutal RSA', 'UDP Upload', 'suffron', '7seen', 'Seen Guessing', 'Shahname', 'Bincrawl', 'Samuel Dummper', 'Arnou Leroy', 'seal-the-deal', 'A Revengefu Accident', 'EZ RSA', 'welcome', 'olleH', 'EZ XOR'], 'challenge_category': ['crypto', 'OSINT', 'Forensics', 'OSINT', 'OSINT', 'Web', 'OSINT', 'Pwn', 'crypto', 'crypto', 'crypto', 'Forensics', 'OSINT', 'misc', 'OSINT', 'crypto', 'Forensics', 'Reverse', 'Web', 'Pwn', 'Web', 'Forensics', 'Forensics', 'misc', 'crypto', 'OSINT', 'crypto', 'welcome', 'Reverse', 'crypto'], 'challenge_points': ['479', '477', '484', '471', '459', '480', '386', '375', '425', '427', '465', '473', '471', '410', '451', '432', '459', '407', '407', '399', '378', '294', '415', '397', '343', '236', '172', '100', '320', '179'], 'solve_time': ['21 hours ago', '22 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
RE:UN10N,11208,"{'challenge_name': ['superguesser', 'Somewhere Near The Bay Part1', 'Samuel Dummper', 'Somewhere Near The Bay Part2', '7seen', 'The Hotel', 'Anon Skiddie Part2', 'Black Mirror', 'Anon Skiddie Part1', 'Github', 'SHIPCOIN Imposter', 'circular maze', 'Im hungry', 'ecal', 'Robin’s Mystery', 'Brutal RSA', 'Seen Shop', 'Arnou Leroy', 'Shahname', 'suffron', 'seal-the-deal', 'Bincrawl', 'welcome', 'Seen Guessing', 'A Revengefu Accident', 'EZ RSA', 'Slutter', 'EZ XOR', 'olleH'], 'challenge_category': ['crypto', 'OSINT', 'Forensics', 'OSINT', 'Web', 'OSINT', 'OSINT', 'Web', 'OSINT', 'misc', 'OSINT', 'crypto', 'OSINT', 'misc', 'crypto', 'crypto', 'Pwn', 'misc', 'Web', 'Reverse', 'crypto', 'Forensics', 'welcome', 'Pwn', 'OSINT', 'crypto', 'Reverse', 'crypto', 'Reverse'], 'challenge_points': ['465', '471', '415', '459', '407', '477', '471', '480', '451', '410', '486', '427', '386', '471', '425', '432', '375', '397', '378', '407', '343', '294', '100', '399', '236', '172', '475', '179', '320'], 'solve_time': ['21 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago']}"
