name,points,challenges
💦Interstellar Badass Console Cowboys,4334,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'TaLeS from the Crypt', 'ChatPPP', 'Plaid Apple!!', 'ocalc', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Trading Post', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'crypto', 'web', 'misc', 'pwn', 'rev', 'crypto', 'pwn', 'crypto', 'web', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '400', '300', '175', '420', '156', '300', '300', '325', '500', '350']}"
less smiles 🤠,3634,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'Plaid Apple!!', 'ocalc', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Trading Post', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'misc', 'pwn', 'rev', 'crypto', 'pwn', 'crypto', 'web', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '175', '420', '156', '300', '300', '325', '500', '350']}"
OMG,3633,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'TaLeS from the Crypt', 'ChatPPP', 'Plaid Apple!!', 'ocalc', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'crypto', 'web', 'misc', 'pwn', 'rev', 'crypto', 'pwn', 'crypto', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '400', '300', '175', '420', '156', '99', '300', '325', '350']}"
Kalmaroos,3289,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'TaLeS from the Crypt', 'Plaid Apple!!', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Trading Post', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'crypto', 'misc', 'rev', 'crypto', 'pwn', 'web', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '400', '175', '156', '300', '300', '500', '350']}"
Malicious Maltese Mob,3214,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'Plaid Apple!!', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Trading Post', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'misc', 'rev', 'crypto', 'pwn', 'crypto', 'web', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '175', '156', '300', '300', '325', '500', '350']}"
Never Stop Exploiting,3134,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'Plaid Apple!!', 'ocalc', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'misc', 'pwn', 'rev', 'crypto', 'pwn', 'crypto', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '175', '420', '156', '300', '300', '325', '350']}"
SundownDesperadoCompany,2813,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Bounty Board', 'ChatPPP', 'Plaid Apple!!', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'pwn', 'web', 'misc', 'rev', 'crypto', 'pwn', 'crypto', 'web'], 'challenge_points': ['100', '1', '307', '350', '350', '300', '175', '156', '99', '300', '325', '350']}"
Sauerklaut,2663,"{'challenge_name': ['The Sundown Vault', 'Sanity Check', 'innov8', ""Prospectin'"", 'Plaid Apple!!', 'Sheriff Says', 'hangman', 'Tumbleweed Inc.', 'Many Mellons', 'Trading Post', 'Viehaw!'], 'challenge_category': ['web', 'misc', 'crypto', 'rev', 'misc', 'rev', 'crypto', 'pwn', 'crypto', 'web', 'web'], 'challenge_points': ['100', '1', '307', '350', '175', '156', '99', '300', '325', '500', '350']}"
Wanted: Cat the Fish,2638,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
Ye Sum' Sum',2358,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': []}"
