,name,points,challenges
0,ChainLight,8853,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Joe's Lending Mirage"", 'Not a very LUCKY TOKEN', 'OFAC Executive Order 13337', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'World of Memecraft', 'Tokemak', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity, DeFi', 'Solidity', 'ZK/Crypto, EVM', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'Solidity, Wintermute', 'Solidity, Tokemak, DeFi', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
1,A-Team,8353,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Joe's Lending Mirage"", 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'World of Memecraft', 'Tokemak', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity, DeFi', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'Solidity, Wintermute', 'Solidity, Tokemak, DeFi', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
2,KimchiPremium,7853,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', ""Joe's Lending Mirage"", 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'World of Memecraft', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity, DeFi', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'Solidity, Wintermute', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
3,Oracle of seasons,6467,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'World of Memecraft', 'risc4', ""Maybe it's unnecessary?"", 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'Solidity, Wintermute', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
4,Wut is soldana,6414,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Restricted Proxy', 'Proof-of-Thought', 'World of Memecraft', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Solidity, Wintermute', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider']}"
5,Neplox,6405,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'OFAC Executive Order 13337', 'Opaze Whisperer', ""Rich Man's Bet"", 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'ZK/Crypto, EVM', 'Solidity, Reversing', 'Solidity', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
6,DeFiHackLabs,6395,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Peer-to-peer-to-me', 'Proof-of-Thought', 'World of Memecraft', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, DeFi', 'AI, Blockchain', 'Solidity, Wintermute', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
7,offside7,5899,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Unstable Pool', 'Restricted Proxy', 'Proof-of-Thought', 'World of Memecraft', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Solidity, Wintermute', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
8,给小蒋王博士买奶粉钱,5641,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Frozen Voting', 'Not a very LUCKY TOKEN', 'Opaze Whisperer', ""Rich Man's Bet"", 'Restricted Proxy', 'Proof-of-Thought', 'Copy/Paste/Deploy', 'risc4', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner', 'HealthCheck as a Service'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity, Governance', 'Solidity', 'Solidity, Reversing', 'Solidity', 'Solidity, EVM', 'AI, Blockchain', 'Web', 'ZK/Crypto, Reversing', 'Glider', 'Glider', 'Glider', 'Glider', 'WEB, NOSTALGIA']}"
9,Zkittens (Zksync & Audittens),5007,"{'challenge_name': ['Welcome Discord Challenge', 'Diamond Heist', 'Lockdown', 'Casino Avengers', 'Frozen Voting', 'Not a very LUCKY TOKEN', ""Rich Man's Bet"", 'Unstable Pool', 'Restricted Proxy', 'Proof-of-Thought', 'World of Memecraft', 'Et tu, Permit2?', ""Maybe it's unnecessary?"", 'R vs Q', '""memorable"" onlyOwner'], 'challenge_category': ['Welcome', 'Solidity', 'Solidity, DeFi', 'Solidity', 'Solidity, Governance', 'Solidity', 'Solidity', 'Solidity, DeFi', 'Solidity, EVM', 'AI, Blockchain', 'Solidity, Wintermute', 'Glider', 'Glider', 'Glider', 'Glider']}"
