,team,challenges,score,eligible
0,DiceGang,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'pp4', 'Paragraph', 'dual_summon', '1linepyjail', 'Trillion Bank', 'BabyQEMU', 'JavaScrypto', 'double-parser', 'Tanuki Udon', 'Tidal wave', 'packed', 'Jump', 'Make ROP Great Again', 'seqr', 'Trillion Ether', 'xiyi', 'OSAKA', 'TOY/2', 'free-free free', 'self-ssrf'], 'challenge_category': ['welcome', 'crypto', 'jail', 'pwnable', 'crypto', 'jail', 'web', 'pwnable', 'web', 'web', 'web', 'crypto', 'reversing', 'reversing', 'pwnable', 'crypto', 'blockchain', 'crypto', 'blockchain', 'pwnable', 'pwnable', 'web'], 'challenge_rank': ['30', '8', '2', '2', '12', '2', '19', '8', '2', '11', '25', '12', '98', '50', '24', '2', '30', '3', '2', '11', '23', '23'], 'solve_time': ['2024-11-23T05:00:50.109Z', '2024-11-23T05:22:52.543Z', '2024-11-23T06:15:40.751Z', '2024-11-23T06:18:46.509Z', '2024-11-23T07:30:59.964Z', '2024-11-23T07:47:45.731Z', '2024-11-23T08:07:41.717Z', '2024-11-23T09:44:25.812Z', '2024-11-23T12:15:25.303Z', '2024-11-23T15:53:53.684Z', '2024-11-23T16:35:09.947Z', '2024-11-23T17:01:18.92Z', '2024-11-23T18:42:26.331Z', '2024-11-23T20:32:46.34Z', '2024-11-23T21:00:22.093Z', '2024-11-23T21:04:48.966Z', '2024-11-23T23:14:06.871Z', '2024-11-24T00:21:38.732Z', '2024-11-24T01:11:29.892Z', '2024-11-24T01:37:13.795Z', '2024-11-24T03:03:48.703Z', '2024-11-24T04:03:42.892Z']}",4239,International
1,ierae,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Jump', 'Paragraph', 'Make ROP Great Again', 'self-ssrf', 'Trillion Bank', 'Tanuki Udon', 'F is for Flag', 'dual_summon', 'double-parser', 'BabyQEMU', 'pp4', 'Reaction', 'qrackv', '1linepyjail', 'Go to Jail', 'Tidal wave', 'JavaScrypto', 'Trillion Ether', 'free-free free', 'TOY/2'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'reversing', 'pwnable', 'pwnable', 'web', 'web', 'web', 'reversing', 'crypto', 'web', 'pwnable', 'jail', 'reversing', 'reversing', 'jail', 'jail', 'crypto', 'web', 'blockchain', 'pwnable', 'pwnable'], 'challenge_rank': ['243', '3', '33', '4', '5', '2', '3', '20', '2', '1', '30', '6', '13', '19', '3', '3', '5', '3', '14', '12', '26', '21', '12'], 'solve_time': ['2024-11-23T05:13:02.899Z', '2024-11-23T05:18:45.593Z', '2024-11-23T06:17:16.78Z', '2024-11-23T07:04:12.172Z', '2024-11-23T07:11:10.876Z', '2024-11-23T07:45:34.487Z', '2024-11-23T07:56:58.108Z', '2024-11-23T08:14:45.325Z', '2024-11-23T08:22:16.773Z', '2024-11-23T09:41:52.326Z', '2024-11-23T09:49:41.537Z', '2024-11-23T11:45:21.611Z', '2024-11-23T12:34:15.065Z', '2024-11-23T14:00:13.467Z', '2024-11-23T14:39:34.918Z', '2024-11-23T15:20:35.549Z', '2024-11-23T16:41:02.521Z', '2024-11-23T18:46:21.668Z', '2024-11-23T19:32:50.35Z', '2024-11-23T21:25:34.434Z', '2024-11-23T21:30:31.633Z', '2024-11-23T22:18:35.073Z', '2024-11-24T01:48:57.299Z']}",4060,InternationalDomestic
2,justCatTheFish,"{'challenge_name': ['Welcome', 'packed', 'self-ssrf', 'JavaScrypto', 'Trillion Bank', 'Jump', 'Tanuki Udon', 'pp4', 'Paragraph', 'BabyQEMU', 'reiwa_rot13', 'voidbox', 'Reaction', 'double-parser', 'F is for Flag', 'Go to Jail', 'Trillion Ether', 'dual_summon', '1linepyjail', 'Make ROP Great Again', 'qrackv'], 'challenge_category': ['welcome', 'reversing', 'web', 'web', 'web', 'reversing', 'web', 'jail', 'pwnable', 'pwnable', 'crypto', 'jail', 'reversing', 'web', 'reversing', 'jail', 'blockchain', 'crypto', 'jail', 'pwnable', 'reversing'], 'challenge_rank': ['107', '28', '5', '1', '41', '21', '14', '18', '38', '21', '93', '2', '6', '13', '10', '5', '25', '56', '15', '28', '11'], 'solve_time': ['2024-11-23T05:01:42.024Z', '2024-11-23T06:53:35.641Z', '2024-11-23T09:04:29.325Z', '2024-11-23T10:08:20.975Z', '2024-11-23T11:36:32.644Z', '2024-11-23T11:47:32.136Z', '2024-11-23T12:31:04.127Z', '2024-11-23T13:27:14.176Z', '2024-11-23T14:45:29.475Z', '2024-11-23T15:23:47.026Z', '2024-11-23T15:52:13.504Z', '2024-11-23T16:24:20.938Z', '2024-11-23T17:07:22.512Z', '2024-11-23T20:22:36.781Z', '2024-11-23T20:33:23.877Z', '2024-11-23T21:12:25.589Z', '2024-11-23T21:23:39.093Z', '2024-11-23T21:47:29.013Z', '2024-11-23T22:36:14.175Z', '2024-11-23T23:28:10.266Z', '2024-11-24T02:44:18.396Z']}",3852,International
3,P1G SEKAI,"{'challenge_name': ['Welcome', 'packed', 'Trillion Bank', 'reiwa_rot13', 'dual_summon', 'Jump', 'BabyQEMU', 'double-parser', 'Tanuki Udon', 'Make ROP Great Again', 'Trillion Ether', 'Paragraph', 'self-ssrf', 'pp4', 'qrackv', 'Tidal wave', 'free-free free', 'Reaction', 'JavaScrypto', 'F is for Flag', 'Go to Jail', 'TOY/2'], 'challenge_category': ['welcome', 'reversing', 'web', 'crypto', 'crypto', 'reversing', 'pwnable', 'web', 'web', 'pwnable', 'blockchain', 'pwnable', 'web', 'jail', 'reversing', 'crypto', 'pwnable', 'reversing', 'web', 'reversing', 'jail', 'pwnable'], 'challenge_rank': ['105', '5', '2', '22', '5', '1', '2', '1', '1', '5', '7', '16', '7', '10', '1', '5', '7', '1', '3', '5', '2', '7'], 'solve_time': ['2024-11-23T05:01:40.418Z', '2024-11-23T05:21:24.364Z', '2024-11-23T05:42:49.532Z', '2024-11-23T05:58:36.233Z', '2024-11-23T06:31:35.714Z', '2024-11-23T06:41:10.462Z', '2024-11-23T06:42:06.586Z', '2024-11-23T07:02:42.624Z', '2024-11-23T07:30:04.612Z', '2024-11-23T09:07:42.12Z', '2024-11-23T09:13:48.27Z', '2024-11-23T09:20:51.441Z', '2024-11-23T09:24:56.791Z', '2024-11-23T09:52:43.359Z', '2024-11-23T09:58:03.002Z', '2024-11-23T10:08:04.964Z', '2024-11-23T11:50:48.472Z', '2024-11-23T12:14:14.258Z', '2024-11-23T12:20:46.19Z', '2024-11-23T13:52:02.44Z', '2024-11-23T15:33:01.057Z', '2024-11-23T19:34:02.532Z']}",3827,International
4,ADA INDONESIA COY,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Make ROP Great Again', 'Trillion Ether', 'Paragraph', 'Jump', 'dual_summon', 'free-free free', 'double-parser', 'Tanuki Udon', 'Trillion Bank', 'BabyQEMU', 'pp4', 'TOY/2', 'self-ssrf', 'JavaScrypto', 'Reaction', 'Tidal wave', '1linepyjail', 'F is for Flag'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'pwnable', 'blockchain', 'pwnable', 'reversing', 'crypto', 'pwnable', 'web', 'web', 'web', 'pwnable', 'jail', 'pwnable', 'web', 'web', 'reversing', 'crypto', 'jail', 'reversing'], 'challenge_rank': ['98', '2', '18', '1', '1', '4', '5', '11', '1', '2', '6', '40', '11', '20', '2', '15', '7', '4', '13', '14', '13'], 'solve_time': ['2024-11-23T05:01:37.282Z', '2024-11-23T05:12:55.606Z', '2024-11-23T05:53:54.145Z', '2024-11-23T06:07:11.636Z', '2024-11-23T06:50:34.748Z', '2024-11-23T06:59:32.225Z', '2024-11-23T07:04:57.483Z', '2024-11-23T07:26:44.505Z', '2024-11-23T08:44:38.502Z', '2024-11-23T09:35:31.86Z', '2024-11-23T10:38:21.815Z', '2024-11-23T11:32:22.204Z', '2024-11-23T11:54:48.426Z', '2024-11-23T14:02:27.37Z', '2024-11-23T14:35:05.832Z', '2024-11-23T14:44:02.116Z', '2024-11-23T15:41:50.922Z', '2024-11-23T16:37:20.51Z', '2024-11-23T17:28:47.115Z', '2024-11-23T21:42:22.388Z', '2024-11-23T22:29:59.749Z']}",3471,International
5,Super Guesser,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'Trillion Bank', 'dual_summon', 'Jump', 'self-ssrf', 'Tidal wave', 'double-parser', 'JavaScrypto', 'Paragraph', 'TOY/2', 'pp4', 'Trillion Ether', 'BabyQEMU', 'Reaction', '1linepyjail', 'Tanuki Udon', 'Go to Jail'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'web', 'crypto', 'reversing', 'web', 'crypto', 'web', 'web', 'pwnable', 'pwnable', 'jail', 'blockchain', 'pwnable', 'reversing', 'jail', 'web', 'jail'], 'challenge_rank': ['264', '10', '14', '6', '7', '8', '2', '3', '4', '5', '34', '3', '21', '18', '23', '10', '12', '35', '6'], 'solve_time': ['2024-11-23T05:24:47.771Z', '2024-11-23T05:27:28.709Z', '2024-11-23T05:50:50.669Z', '2024-11-23T06:40:16.634Z', '2024-11-23T06:47:06.529Z', '2024-11-23T07:21:32.141Z', '2024-11-23T07:54:29.549Z', '2024-11-23T08:12:34.631Z', '2024-11-23T10:50:08.451Z', '2024-11-23T13:19:57.893Z', '2024-11-23T13:50:31.141Z', '2024-11-23T14:46:34.106Z', '2024-11-23T15:54:20.102Z', '2024-11-23T17:51:32.217Z', '2024-11-23T17:56:45.335Z', '2024-11-23T19:13:45.705Z', '2024-11-23T20:38:48.436Z', '2024-11-24T00:18:50.702Z', '2024-11-24T00:25:17.866Z']}",3243,International
6,Never Stop Exploiting,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'BabyQEMU', 'Paragraph', 'Trillion Ether', 'Make ROP Great Again', 'Jump', 'free-free free', 'Tidal wave', 'Trillion Bank', 'F is for Flag', 'Reaction', 'TOY/2', 'qrackv', 'Tanuki Udon', 'seqr'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'pwnable', 'pwnable', 'blockchain', 'pwnable', 'reversing', 'pwnable', 'crypto', 'web', 'reversing', 'reversing', 'pwnable', 'reversing', 'web', 'crypto'], 'challenge_rank': ['111', '7', '9', '6', '5', '17', '9', '8', '23', '8', '8', '56', '6', '8', '6', '5', '39', '5'], 'solve_time': ['2024-11-23T05:01:45.225Z', '2024-11-23T05:22:21.519Z', '2024-11-23T05:35:23.32Z', '2024-11-23T06:36:29.846Z', '2024-11-23T08:05:48.655Z', '2024-11-23T09:32:48.842Z', '2024-11-23T09:42:23.969Z', '2024-11-23T10:24:37.197Z', '2024-11-23T12:12:06.249Z', '2024-11-23T12:47:31.205Z', '2024-11-23T13:22:41.572Z', '2024-11-23T14:32:51.593Z', '2024-11-23T15:55:56.278Z', '2024-11-23T17:31:48.312Z', '2024-11-23T19:31:45.941Z', '2024-11-23T22:07:05.919Z', '2024-11-24T02:21:25.806Z', '2024-11-24T04:12:43.941Z']}",3040,International
7,Maple Mallard Magistrates,"{'challenge_name': ['Welcome', 'Trillion Bank', 'Jump', 'reiwa_rot13', 'packed', '1linepyjail', 'dual_summon', 'pp4', 'F is for Flag', 'JavaScrypto', 'double-parser', 'Tanuki Udon', 'Paragraph', 'qrackv', 'self-ssrf', 'TOY/2', 'Make ROP Great Again', 'Reaction'], 'challenge_category': ['welcome', 'web', 'reversing', 'crypto', 'reversing', 'jail', 'crypto', 'jail', 'reversing', 'web', 'web', 'web', 'pwnable', 'reversing', 'web', 'pwnable', 'pwnable', 'reversing'], 'challenge_rank': ['8', '1', '3', '49', '32', '1', '22', '8', '2', '4', '9', '22', '49', '8', '22', '14', '35', '14'], 'solve_time': ['2024-11-23T05:00:10.453Z', '2024-11-23T05:29:49.568Z', '2024-11-23T06:57:06.86Z', '2024-11-23T07:07:04.479Z', '2024-11-23T07:07:54.44Z', '2024-11-23T07:39:31.807Z', '2024-11-23T08:39:54.92Z', '2024-11-23T09:16:37.955Z', '2024-11-23T09:42:20.586Z', '2024-11-23T13:10:32.067Z', '2024-11-23T14:31:32.688Z', '2024-11-23T15:39:53.84Z', '2024-11-23T20:59:19.855Z', '2024-11-23T22:36:04.025Z', '2024-11-24T02:37:03.477Z', '2024-11-24T04:15:11.019Z', '2024-11-24T04:16:22.366Z', '2024-11-24T04:18:53.388Z']}",3005,International
8,Kalmarunionen,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'pp4', 'Jump', 'Trillion Bank', 'dual_summon', 'Tanuki Udon', 'BabyQEMU', 'qrackv', 'Make ROP Great Again', 'Reaction', '1linepyjail', 'Paragraph', 'JavaScrypto', 'Trillion Ether', 'self-ssrf', 'seqr'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'jail', 'reversing', 'web', 'crypto', 'web', 'pwnable', 'reversing', 'pwnable', 'reversing', 'jail', 'pwnable', 'web', 'blockchain', 'web', 'crypto'], 'challenge_rank': ['216', '11', '13', '1', '6', '24', '24', '13', '15', '2', '15', '7', '7', '44', '8', '23', '20', '3'], 'solve_time': ['2024-11-23T05:06:28.299Z', '2024-11-23T05:31:42.962Z', '2024-11-23T05:47:45.582Z', '2024-11-23T06:08:50.055Z', '2024-11-23T07:18:05.871Z', '2024-11-23T08:34:52.015Z', '2024-11-23T08:58:12.727Z', '2024-11-23T12:22:56.573Z', '2024-11-23T13:33:09.816Z', '2024-11-23T15:12:29.296Z', '2024-11-23T15:18:36.041Z', '2024-11-23T17:28:25.103Z', '2024-11-23T17:58:36.705Z', '2024-11-23T18:35:39.627Z', '2024-11-23T18:38:10.648Z', '2024-11-23T20:04:53.451Z', '2024-11-23T20:52:17.121Z', '2024-11-23T22:24:17.568Z']}",3000,International
9,*0xA,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'BabyQEMU', 'packed', 'dual_summon', 'Trillion Ether', 'self-ssrf', 'free-free free', 'Paragraph', 'pp4', 'Jump', 'Trillion Bank', 'Tanuki Udon', 'TOY/2', 'Make ROP Great Again', '1linepyjail', 'Tidal wave', 'Reaction'], 'challenge_category': ['welcome', 'crypto', 'pwnable', 'reversing', 'crypto', 'blockchain', 'web', 'pwnable', 'pwnable', 'jail', 'reversing', 'web', 'web', 'pwnable', 'pwnable', 'jail', 'crypto', 'reversing'], 'challenge_rank': ['21', '27', '1', '35', '15', '8', '9', '5', '24', '13', '27', '59', '27', '5', '21', '9', '19', '15'], 'solve_time': ['2024-11-23T05:00:22.79Z', '2024-11-23T06:09:46.196Z', '2024-11-23T06:21:21.945Z', '2024-11-23T07:32:32.909Z', '2024-11-23T07:34:53.131Z', '2024-11-23T09:24:55.472Z', '2024-11-23T09:58:08.104Z', '2024-11-23T10:46:09.073Z', '2024-11-23T11:08:32.768Z', '2024-11-23T11:57:31.399Z', '2024-11-23T14:15:08.875Z', '2024-11-23T15:19:24.225Z', '2024-11-23T18:26:22.458Z', '2024-11-23T18:29:19.743Z', '2024-11-23T19:05:28.089Z', '2024-11-23T19:51:37.813Z', '2024-11-24T03:11:00.2Z', '2024-11-24T04:56:52.978Z']}",2775,International
