name,points,challenge
DeathByCoconut,9116,"{'challenge_name': ['Cardium', 'One Click (4/4)', 'One Click (3/4)', 'Roses Crypto Game', 'Vacation hideout', 'Is this secure?', 'A strange man…', 'One Click (2/4)', 'One Click (1/4)', 'Operation Shadow Leak pt. 1', '10^{-9} mites', 'Black Market (2/2)', ""Gunnar's Vacation - Picture 6"", 'PAC-diversifier-zero', 'Intrusion at THCity Hospital !', 'Silent Transmission', 'Constructi0nzone (2/2)', 'Constructi0nzone (1/2)', ""Gunnar's Vacation - Picture 5"", ""ZigZAuth'g"", 'Foreign Interference ? : Are they hidding something ?', ""Gunnar's Vacation - Picture 4"", 'XSStorage (2/3)', 'XSStorage (1/3)', ""Mammoth's Personnal Slot Machine"", 'Black Market (1/2)', 'OTPas_ouf', 'GoPwn', 'NeoPrivesc', ""Gunnar's Vacation - Picture 3"", 'Points for hints', ""Gunnar's Vacation - Picture 2"", 'The Tortoise and the SUID', ""Gunnar's Vacation - Picture 1""], 'challenge_category': ['Web', 'Forensic', 'Forensic', 'Misc', 'OSINT', 'OSINT', 'OSINT', 'Forensic', 'Forensic', 'Forensic', 'Reverse', 'Pwn', 'OSINT', 'Pwn', 'OSINT', 'Steganography', 'Web', 'Web', 'OSINT', 'Reverse', 'Steganography', 'OSINT', 'Pwn', 'Pwn', 'Cryptography', 'Pwn', 'Cryptography', 'Pwn', 'Misc', 'OSINT', 'Welcome', 'OSINT', 'Misc', 'OSINT'], 'challenge_points': ['492', '494', '494', '494', '489', '460', '436', '50', '50', '379', '499', '479', '136', '500', '241', '494', '379', '50', '86', '482', '183', '50', '436', '359', '50', '465', '50', '68', '50', '50', '100', '50', '50', '50'], 'solve_time': ['2025-04-13T07:22:04.352174Z', '2025-04-13T02:32:04.497016Z', '2025-04-13T02:23:33.620768Z', '2025-04-12T23:39:21.210120Z', '2025-04-12T23:10:19.670234Z', '2025-04-12T23:01:19.743671Z', '2025-04-12T22:08:06.912778Z', '2025-04-12T21:44:16.131556Z', '2025-04-12T21:37:12.215769Z', '2025-04-12T19:02:43.310470Z', '2025-04-12T17:33:40.145525Z', '2025-04-12T17:00:11.701815Z', '2025-04-12T15:59:21.530576Z', '2025-04-12T15:12:26.162400Z', '2025-04-12T14:41:09.536914Z', '2025-04-12T13:43:56.958189Z', '2025-04-12T13:39:01.465353Z', '2025-04-12T12:37:00.383031Z', '2025-04-12T12:01:37.652287Z', '2025-04-12T11:33:26.786657Z', '2025-04-12T11:09:10.711859Z', '2025-04-12T10:35:21.061475Z', '2025-04-12T10:30:13.312685Z', '2025-04-12T10:28:32.853383Z', '2025-04-12T10:24:34.548845Z', '2025-04-12T09:04:53.816391Z', '2025-04-12T08:57:24.956266Z', '2025-04-12T08:27:40.942379Z', '2025-04-12T08:27:39.936592Z', '2025-04-12T08:20:00.952360Z', '2025-04-12T08:14:03.311196Z', '2025-04-12T08:11:30.562011Z', '2025-04-12T08:08:38.804757Z', '2025-04-12T08:07:26.105657Z']}"
v1r4lv0rt3x,8631,"{'challenge_name': ['Sound engineer', 'Vacation hideout', 'Constructi0nzone (2/2)', 'One Click (4/4)', 'One Click (3/4)', 'Black Market (2/2)', 'Black Market (1/2)', 'GoPwn', 'Is this secure?', 'XSStorage (2/3)', 'Is that guy really just *walking*?', 'XSStorage (1/3)', 'A strange man…', 'Intrusion at THCity Hospital !', ""Gunnar's Vacation - Picture 6"", 'Constructi0nzone (1/2)', ""Gunnar's Vacation - Picture 5"", 'One Click (2/4)', 'One Click (1/4)', 'Operation Shadow Leak pt. 1', 'Scattered socials', ""ZigZAuth'g"", 'The Tortoise and the SUID', 'NeoPrivesc', ""Gunnar's Vacation - Picture 4"", ""Foreign Interference ? : XSS's real origin"", 'Foreign Interference ? : Are they hidding something ?', ""Foreign Interference ? : The quality's so bad I can't hear anything"", ""Gunnar's Vacation - Picture 3"", ""Gunnar's Vacation - Picture 2"", ""Gunnar's Vacation - Picture 1"", ""Mammoth's Personnal Slot Machine"", 'OTPas_ouf', 'Points for hints'], 'challenge_category': ['OSINT', 'OSINT', 'Web', 'Forensic', 'Forensic', 'Pwn', 'Pwn', 'Pwn', 'OSINT', 'Pwn', 'OSINT', 'Pwn', 'OSINT', 'OSINT', 'OSINT', 'Web', 'OSINT', 'Forensic', 'Forensic', 'Forensic', 'Steganography', 'Reverse', 'Misc', 'Misc', 'OSINT', 'Steganography', 'Steganography', 'Steganography', 'OSINT', 'OSINT', 'OSINT', 'Cryptography', 'Cryptography', 'Welcome'], 'challenge_points': ['450', '489', '379', '494', '494', '479', '465', '68', '460', '436', '500', '359', '436', '241', '136', '50', '86', '50', '50', '379', '496', '482', '50', '50', '50', '185', '183', '428', '50', '50', '50', '50', '50', '100'], 'solve_time': ['2025-04-12T22:57:23.189280Z', '2025-04-12T22:31:22.600289Z', '2025-04-12T22:16:06.598496Z', '2025-04-12T20:45:32.919016Z', '2025-04-12T20:43:00.364210Z', '2025-04-12T19:59:52.604888Z', '2025-04-12T18:39:00.060115Z', '2025-04-12T17:00:52.093997Z', '2025-04-12T17:00:44.212731Z', '2025-04-12T15:40:13.274412Z', '2025-04-12T15:38:32.202386Z', '2025-04-12T15:20:50.917748Z', '2025-04-12T15:02:38.673779Z', '2025-04-12T14:49:25.532284Z', '2025-04-12T13:13:29.536864Z', '2025-04-12T12:40:21.090696Z', '2025-04-12T12:35:15.855096Z', '2025-04-12T12:05:11.534456Z', '2025-04-12T11:45:40.449478Z', '2025-04-12T11:37:49.972384Z', '2025-04-12T11:09:47.254888Z', '2025-04-12T11:03:50.181773Z', '2025-04-12T10:59:06.031969Z', '2025-04-12T10:56:06.531677Z', '2025-04-12T10:43:35.892422Z', '2025-04-12T10:31:16.884284Z', '2025-04-12T10:27:36.843985Z', '2025-04-12T10:04:17.226912Z', '2025-04-12T09:39:12.276285Z', '2025-04-12T09:33:07.576797Z', '2025-04-12T09:27:16.380704Z', '2025-04-12T08:30:39.745262Z', '2025-04-12T08:14:44.585571Z', '2025-04-12T08:05:53.425224Z']}"
Caliphal Hounds,8364,"{'challenge_name': ['XSStorage (1/3)', 'GoPwn', 'Vacation hideout', 'Roses Crypto Game', 'Silent Transmission', 'Cardium', 'Is this secure?', 'A strange man…', 'Scattered socials', 'One Click (4/4)', 'One Click (3/4)', 'Cicadya - Nice pic bro', ""Foreign Interference ? : XSS's real origin"", ""Cicadya - Who's the Boss ?"", ""Gunnar's Vacation - Picture 5"", ""Gunnar's Vacation - Picture 6"", 'Constructi0nzone (2/2)', 'Operation Shadow Leak pt. 1', 'Constructi0nzone (1/2)', 'Intrusion at THCity Hospital !', ""Gunnar's Vacation - Picture 4"", ""Gunnar's Vacation - Picture 3"", ""Foreign Interference ? : The quality's so bad I can't hear anything"", 'Foreign Interference ? : Are they hidding something ?', 'NeoPrivesc', 'The Tortoise and the SUID', ""Gunnar's Vacation - Picture 2"", 'One Click (2/4)', ""Mammoth's Personnal Slot Machine"", ""Gunnar's Vacation - Picture 1"", 'One Click (1/4)', 'OTPas_ouf', 'Points for hints'], 'challenge_category': ['Pwn', 'Pwn', 'OSINT', 'Misc', 'Steganography', 'Web', 'OSINT', 'OSINT', 'Steganography', 'Forensic', 'Forensic', 'Web', 'Steganography', 'Web', 'OSINT', 'OSINT', 'Web', 'Forensic', 'Web', 'OSINT', 'OSINT', 'OSINT', 'Steganography', 'Steganography', 'Misc', 'Misc', 'OSINT', 'Forensic', 'Cryptography', 'OSINT', 'Forensic', 'Cryptography', 'Welcome'], 'challenge_points': ['359', '68', '489', '494', '494', '492', '460', '436', '496', '494', '494', '492', '185', '479', '86', '136', '379', '379', '50', '241', '50', '50', '428', '183', '50', '50', '50', '50', '50', '50', '50', '50', '100'], 'solve_time': ['2025-04-13T01:58:29.838501Z', '2025-04-13T01:43:09.705910Z', '2025-04-13T01:28:09.360896Z', '2025-04-13T01:15:58.645328Z', '2025-04-13T00:37:58.129649Z', '2025-04-12T23:06:30.807294Z', '2025-04-12T22:06:42.911855Z', '2025-04-12T21:25:54.829333Z', '2025-04-12T20:16:16.076406Z', '2025-04-12T18:06:16.955746Z', '2025-04-12T18:06:09.285394Z', '2025-04-12T15:26:14.389842Z', '2025-04-12T15:02:30.463554Z', '2025-04-12T14:48:27.452040Z', '2025-04-12T14:13:05.766946Z', '2025-04-12T13:45:25.253559Z', '2025-04-12T13:23:35.248021Z', '2025-04-12T12:45:25.582989Z', '2025-04-12T12:33:37.300178Z', '2025-04-12T11:18:43.481565Z', '2025-04-12T10:51:04.198765Z', '2025-04-12T10:42:22.569884Z', '2025-04-12T10:05:55.178373Z', '2025-04-12T09:29:34.799701Z', '2025-04-12T09:12:00.323270Z', '2025-04-12T08:49:12.033127Z', '2025-04-12T08:42:53.817179Z', '2025-04-12T08:30:50.707593Z', '2025-04-12T08:27:55.701511Z', '2025-04-12T08:27:18.794022Z', '2025-04-12T08:27:11.750407Z', '2025-04-12T08:17:20.696412Z', '2025-04-12T08:10:51.170934Z']}"
HCS,7680,"{'challenge_name': ['Foreign Interference ? : Are they hidding something ?', 'Black Market (2/2)', 'Black Market (1/2)', 'Cardium', 'Constructi0nzone (2/2)', 'XSStorage (2/3)', 'Cicadya - Nice pic bro', ""Cicadya - Who's the Boss ?"", 'XSStorage (1/3)', 'Operation Shadow Leak pt. 3', 'Operation Shadow Leak pt. 2', 'GoPwn', 'One Click (4/4)', 'One Click (3/4)', '10^{-9} mites', 'Operation Shadow Leak pt. 1', 'Constructi0nzone (1/2)', ""ZigZAuth'g"", ""Gunnar's Vacation - Picture 1"", ""Mammoth's Personnal Slot Machine"", 'One Click (2/4)', 'OTPas_ouf', 'One Click (1/4)', 'NeoPrivesc', 'Points for hints', 'The Tortoise and the SUID'], 'challenge_category': ['Steganography', 'Pwn', 'Pwn', 'Web', 'Web', 'Pwn', 'Web', 'Web', 'Pwn', 'Forensic', 'Forensic', 'Pwn', 'Forensic', 'Forensic', 'Reverse', 'Forensic', 'Web', 'Reverse', 'OSINT', 'Cryptography', 'Forensic', 'Cryptography', 'Forensic', 'Misc', 'Welcome', 'Misc'], 'challenge_points': ['183', '479', '465', '492', '379', '436', '492', '479', '359', '500', '500', '68', '494', '494', '499', '379', '50', '482', '50', '50', '50', '50', '50', '50', '100', '50'], 'solve_time': ['2025-04-13T07:41:47.028614Z', '2025-04-13T07:33:33.951523Z', '2025-04-13T07:27:56.188318Z', '2025-04-13T06:47:40.221770Z', '2025-04-13T06:17:24.609619Z', '2025-04-13T06:12:27.677703Z', '2025-04-13T05:35:13.933100Z', '2025-04-13T05:28:06.883207Z', '2025-04-13T04:26:16.455222Z', '2025-04-13T03:44:34.702625Z', '2025-04-13T03:28:39.171954Z', '2025-04-13T02:12:00.013279Z', '2025-04-12T17:01:46.179877Z', '2025-04-12T17:01:18.643156Z', '2025-04-12T15:17:37.592277Z', '2025-04-12T12:47:47.457281Z', '2025-04-12T12:28:42.871933Z', '2025-04-12T11:29:14.390618Z', '2025-04-12T10:42:09.135387Z', '2025-04-12T10:04:15.697874Z', '2025-04-12T09:43:55.152378Z', '2025-04-12T09:02:52.376611Z', '2025-04-12T08:36:44.770175Z', '2025-04-12T08:28:01.665289Z', '2025-04-12T08:28:00.972232Z', '2025-04-12T08:13:08.468715Z']}"
InfoSecIITR,7143,"{'challenge_name': ['Roses Crypto Game', 'Cardium', 'Scattered socials', ""Gunnar's Vacation - Picture 4"", ""ZigZAuth'g"", ""Foreign Interference ? : XSS's real origin"", ""Foreign Interference ? : The quality's so bad I can't hear anything"", ""Gunnar's Vacation - Picture 5"", 'Operation Shadow Leak pt. 1', ""Gunnar's Vacation - Picture 6"", 'Cicadya - Nice pic bro', ""Cicadya - Who's the Boss ?"", ""Gunnar's Vacation - Picture 3"", 'NeoPrivesc', 'Black Market (2/2)', 'The Tortoise and the SUID', 'Black Market (1/2)', 'OTPas_ouf', 'XSStorage (2/3)', 'GoPwn', 'XSStorage (1/3)', 'Constructi0nzone (2/2)', ""Mammoth's Personnal Slot Machine"", 'One Click (2/4)', 'One Click (1/4)', 'Foreign Interference ? : Are they hidding something ?', 'Constructi0nzone (1/2)', ""Gunnar's Vacation - Picture 2"", ""Gunnar's Vacation - Picture 1"", 'Points for hints'], 'challenge_category': ['Misc', 'Web', 'Steganography', 'OSINT', 'Reverse', 'Steganography', 'Steganography', 'OSINT', 'Forensic', 'OSINT', 'Web', 'Web', 'OSINT', 'Misc', 'Pwn', 'Misc', 'Pwn', 'Cryptography', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Cryptography', 'Forensic', 'Forensic', 'Steganography', 'Web', 'OSINT', 'OSINT', 'Welcome'], 'challenge_points': ['494', '492', '496', '50', '482', '185', '428', '86', '379', '136', '492', '479', '50', '50', '479', '50', '465', '50', '436', '68', '359', '379', '50', '50', '50', '183', '50', '50', '50', '100'], 'solve_time': ['2025-04-13T07:50:21.307191Z', '2025-04-13T00:46:32.193560Z', '2025-04-12T22:57:27.390661Z', '2025-04-12T22:09:12.197541Z', '2025-04-12T22:05:38.305660Z', '2025-04-12T21:28:59.127933Z', '2025-04-12T21:26:19.282819Z', '2025-04-12T21:20:36.207000Z', '2025-04-12T20:39:57.542014Z', '2025-04-12T20:32:06.668709Z', '2025-04-12T18:38:29.590400Z', '2025-04-12T18:05:31.494323Z', '2025-04-12T17:30:54.777900Z', '2025-04-12T17:29:54.628405Z', '2025-04-12T17:24:06.638271Z', '2025-04-12T17:23:31.607623Z', '2025-04-12T17:23:27.210282Z', '2025-04-12T15:45:22.777233Z', '2025-04-12T14:59:58.751452Z', '2025-04-12T14:40:44.493529Z', '2025-04-12T14:18:34.633035Z', '2025-04-12T14:03:27.163470Z', '2025-04-12T13:30:00.741129Z', '2025-04-12T13:28:49.675326Z', '2025-04-12T13:15:33.867126Z', '2025-04-12T13:10:13.805170Z', '2025-04-12T12:58:21.632553Z', '2025-04-12T12:55:06.059651Z', '2025-04-12T12:36:17.376208Z', '2025-04-12T12:33:33.901165Z']}"
ret2louse,6462,"{'challenge_name': ['ShadowCast', 'Silent Transmission', 'Black Market (1/2)', 'GoPwn', 'Scattered socials', 'Intrusion at THCity Hospital !', 'XSStorage (2/3)', 'XSStorage (1/3)', 'One Click (4/4)', 'One Click (3/4)', ""Gunnar's Vacation - Picture 5"", 'Foreign Interference ? : Are they hidding something ?', ""Gunnar's Vacation - Picture 6"", 'Operation Shadow Leak pt. 1', 'Constructi0nzone (1/2)', ""ZigZAuth'g"", ""Mammoth's Personnal Slot Machine"", ""Gunnar's Vacation - Picture 4"", 'The Tortoise and the SUID', 'NeoPrivesc', '10^{-9} mites', 'One Click (2/4)', 'OTPas_ouf', ""Gunnar's Vacation - Picture 3"", 'One Click (1/4)', ""Gunnar's Vacation - Picture 2"", ""Gunnar's Vacation - Picture 1"", 'Points for hints'], 'challenge_category': ['Cryptography', 'Steganography', 'Pwn', 'Pwn', 'Steganography', 'OSINT', 'Pwn', 'Pwn', 'Forensic', 'Forensic', 'OSINT', 'Steganography', 'OSINT', 'Forensic', 'Web', 'Reverse', 'Cryptography', 'OSINT', 'Misc', 'Misc', 'Reverse', 'Forensic', 'Cryptography', 'OSINT', 'Forensic', 'OSINT', 'OSINT', 'Welcome'], 'challenge_points': ['500', '494', '465', '68', '496', '241', '436', '359', '494', '494', '86', '183', '136', '379', '50', '482', '50', '50', '50', '50', '499', '50', '50', '50', '50', '50', '50', '100'], 'solve_time': ['2025-04-13T07:34:25.543468Z', '2025-04-12T22:33:45.492346Z', '2025-04-12T17:56:39.847328Z', '2025-04-12T17:45:52.379479Z', '2025-04-12T17:12:28.767712Z', '2025-04-12T15:47:25.442813Z', '2025-04-12T15:05:54.807530Z', '2025-04-12T14:32:58.796794Z', '2025-04-12T13:54:58.571124Z', '2025-04-12T13:53:11.260961Z', '2025-04-12T13:42:42.969944Z', '2025-04-12T13:26:48.590428Z', '2025-04-12T13:21:29.108540Z', '2025-04-12T13:09:22.945109Z', '2025-04-12T13:08:14.264793Z', '2025-04-12T12:49:52.362437Z', '2025-04-12T11:25:49.963627Z', '2025-04-12T11:03:46.804845Z', '2025-04-12T10:45:20.659301Z', '2025-04-12T10:38:56.499891Z', '2025-04-12T09:57:31.503938Z', '2025-04-12T09:53:06.665381Z', '2025-04-12T09:24:20.143921Z', '2025-04-12T09:05:36.927389Z', '2025-04-12T09:04:10.960799Z', '2025-04-12T08:49:34.668230Z', '2025-04-12T08:29:55.605718Z', '2025-04-12T08:26:23.691528Z']}"
Thread in the Needle,6324,"{'challenge_name': ['Is this secure?', 'A strange man…', 'Intrusion at THCity Hospital !', ""Gunnar's Vacation - Picture 6"", ""Foreign Interference ? : XSS's real origin"", ""Foreign Interference ? : The quality's so bad I can't hear anything"", 'GoPwn', 'XSStorage (2/3)', 'XSStorage (1/3)', 'Operation Shadow Leak pt. 1', 'Silent Transmission', 'Points for hints', 'Foreign Interference ? : Are they hidding something ?', ""Gunnar's Vacation - Picture 2"", 'One Click (4/4)', 'One Click (3/4)', ""Gunnar's Vacation - Picture 1"", ""Mammoth's Personnal Slot Machine"", 'One Click (2/4)', 'One Click (1/4)', 'OTPas_ouf', '10^{-9} mites', 'Constructi0nzone (1/2)', ""ZigZAuth'g"", 'NeoPrivesc', 'The Tortoise and the SUID'], 'challenge_category': ['OSINT', 'OSINT', 'OSINT', 'OSINT', 'Steganography', 'Steganography', 'Pwn', 'Pwn', 'Pwn', 'Forensic', 'Steganography', 'Welcome', 'Steganography', 'OSINT', 'Forensic', 'Forensic', 'OSINT', 'Cryptography', 'Forensic', 'Forensic', 'Cryptography', 'Reverse', 'Web', 'Reverse', 'Misc', 'Misc'], 'challenge_points': ['460', '436', '241', '136', '185', '428', '68', '436', '359', '379', '494', '100', '183', '50', '494', '494', '50', '50', '50', '50', '50', '499', '50', '482', '50', '50'], 'solve_time': ['2025-04-12T21:58:12.195398Z', '2025-04-12T21:46:51.535612Z', '2025-04-12T21:04:33.967757Z', '2025-04-12T20:59:54.662221Z', '2025-04-12T20:45:28.337023Z', '2025-04-12T20:41:58.331997Z', '2025-04-12T19:44:17.454133Z', '2025-04-12T19:32:34.841370Z', '2025-04-12T19:19:39.817985Z', '2025-04-12T17:01:12.263168Z', '2025-04-12T15:30:45.899018Z', '2025-04-12T14:47:10.690416Z', '2025-04-12T14:43:53.402106Z', '2025-04-12T14:40:44.972152Z', '2025-04-12T14:26:07.808064Z', '2025-04-12T14:24:40.849856Z', '2025-04-12T14:21:45.606345Z', '2025-04-12T14:12:13.141823Z', '2025-04-12T14:10:09.113467Z', '2025-04-12T14:01:49.230777Z', '2025-04-12T13:54:43.836965Z', '2025-04-12T13:35:08.268787Z', '2025-04-12T12:56:41.945944Z', '2025-04-12T11:46:25.299052Z', '2025-04-12T11:23:08.209164Z', '2025-04-12T11:21:18.676384Z']}"
f13ldf0lks,6322,"{'challenge_name': ['Cicadya - Nice pic bro', ""Cicadya - Who's the Boss ?"", 'Sound engineer', 'Operation Shadow Leak pt. 1', 'Vacation hideout', ""Foreign Interference ? : XSS's real origin"", 'GoPwn', ""Foreign Interference ? : The quality's so bad I can't hear anything"", 'Is this secure?', 'XSStorage (1/3)', 'Constructi0nzone (2/2)', 'Foreign Interference ? : Are they hidding something ?', 'Spill the Dragonblood', ""Gunnar's Vacation - Picture 6"", 'Constructi0nzone (1/2)', ""Gunnar's Vacation - Picture 5"", ""Gunnar's Vacation - Picture 4"", 'The Tortoise and the SUID', 'NeoPrivesc', 'A strange man…', 'QR-Roll', 'Intrusion at THCity Hospital !', ""Mammoth's Personnal Slot Machine"", 'One Click (2/4)', 'One Click (1/4)', ""Gunnar's Vacation - Picture 3"", 'OTPas_ouf', ""Gunnar's Vacation - Picture 2"", ""Gunnar's Vacation - Picture 1"", 'Points for hints'], 'challenge_category': ['Web', 'Web', 'OSINT', 'Forensic', 'OSINT', 'Steganography', 'Pwn', 'Steganography', 'OSINT', 'Pwn', 'Web', 'Steganography', 'Network', 'OSINT', 'Web', 'OSINT', 'OSINT', 'Misc', 'Misc', 'OSINT', 'Misc', 'OSINT', 'Cryptography', 'Forensic', 'Forensic', 'OSINT', 'Cryptography', 'OSINT', 'OSINT', 'Welcome'], 'challenge_points': ['492', '479', '450', '379', '489', '185', '68', '428', '460', '359', '379', '183', '490', '136', '50', '86', '50', '50', '50', '436', '67', '241', '50', '50', '50', '50', '50', '50', '50', '100'], 'solve_time': ['2025-04-13T00:27:07.559067Z', '2025-04-12T21:53:42.164307Z', '2025-04-12T20:11:35.928974Z', '2025-04-12T19:43:59.854536Z', '2025-04-12T18:58:28.957259Z', '2025-04-12T18:41:49.774792Z', '2025-04-12T18:33:12.525662Z', '2025-04-12T17:51:54.930396Z', '2025-04-12T14:09:55.075818Z', '2025-04-12T14:02:30.688896Z', '2025-04-12T13:42:02.793791Z', '2025-04-12T13:40:06.287201Z', '2025-04-12T13:08:31.281345Z', '2025-04-12T13:01:25.110090Z', '2025-04-12T12:37:38.217225Z', '2025-04-12T11:58:58.439650Z', '2025-04-12T10:52:07.061596Z', '2025-04-12T10:34:54.433572Z', '2025-04-12T10:31:10.694327Z', '2025-04-12T10:13:12.156382Z', '2025-04-12T10:07:16.554458Z', '2025-04-12T09:55:23.790274Z', '2025-04-12T09:24:07.150213Z', '2025-04-12T08:47:01.365620Z', '2025-04-12T08:46:17.604125Z', '2025-04-12T08:30:58.515991Z', '2025-04-12T08:25:57.349444Z', '2025-04-12T08:20:22.750364Z', '2025-04-12T08:16:03.689470Z', '2025-04-12T08:08:52.123149Z']}"
YCC,4624,"{'challenge_name': [""Gunnar's Vacation - Picture 5"", ""Cicadya - Who's the Boss ?"", 'Operation Shadow Leak pt. 1', 'PAC-diversifier-zero', ""Foreign Interference ? : XSS's real origin"", ""Foreign Interference ? : The quality's so bad I can't hear anything"", ""Mammoth's Personnal Slot Machine"", ""Gunnar's Vacation - Picture 4"", 'Foreign Interference ? : Are they hidding something ?', ""Gunnar's Vacation - Picture 2"", 'Constructi0nzone (1/2)', 'One Click (2/4)', 'The Tortoise and the SUID', 'NeoPrivesc', 'Black Market (2/2)', 'QR-Roll', 'GoPwn', 'Black Market (1/2)', 'Points for hints', 'One Click (1/4)', 'OTPas_ouf', 'XSStorage (2/3)', 'XSStorage (1/3)', ""Gunnar's Vacation - Picture 1""], 'challenge_category': ['OSINT', 'Web', 'Forensic', 'Pwn', 'Steganography', 'Steganography', 'Cryptography', 'OSINT', 'Steganography', 'OSINT', 'Web', 'Forensic', 'Misc', 'Misc', 'Pwn', 'Misc', 'Pwn', 'Pwn', 'Welcome', 'Forensic', 'Cryptography', 'Pwn', 'Pwn', 'OSINT'], 'challenge_points': ['86', '479', '379', '500', '185', '428', '50', '50', '183', '50', '50', '50', '50', '50', '479', '67', '68', '465', '100', '50', '50', '436', '359', '50'], 'solve_time': ['2025-04-12T15:56:46.189108Z', '2025-04-12T15:46:51.737056Z', '2025-04-12T15:46:46.503525Z', '2025-04-12T15:23:20.052032Z', '2025-04-12T14:52:14.493549Z', '2025-04-12T14:51:52.588107Z', '2025-04-12T14:01:58.901379Z', '2025-04-12T13:42:50.636025Z', '2025-04-12T13:20:19.346968Z', '2025-04-12T12:57:56.002037Z', '2025-04-12T12:29:00.424228Z', '2025-04-12T12:18:51.023139Z', '2025-04-12T10:48:10.996353Z', '2025-04-12T10:43:47.259826Z', '2025-04-12T10:42:45.441988Z', '2025-04-12T10:41:18.590395Z', '2025-04-12T10:31:27.006943Z', '2025-04-12T09:56:22.017889Z', '2025-04-12T09:38:56.251422Z', '2025-04-12T09:19:11.983314Z', '2025-04-12T09:03:39.729774Z', '2025-04-12T08:55:55.094596Z', '2025-04-12T08:45:36.740096Z', '2025-04-12T08:12:54.942661Z']}"
CPT,4120,"{'challenge_name': [""Foreign Interference ? : XSS's real origin"", ""Foreign Interference ? : The quality's so bad I can't hear anything"", 'Constructi0nzone (2/2)', 'Operation Shadow Leak pt. 1', 'Vacation hideout', 'One Click (2/4)', 'One Click (1/4)', 'Is this secure?', 'GoPwn', 'A strange man…', ""Gunnar's Vacation - Picture 6"", ""Gunnar's Vacation - Picture 5"", 'Foreign Interference ? : Are they hidding something ?', 'The Tortoise and the SUID', 'Constructi0nzone (1/2)', 'NeoPrivesc', 'Intrusion at THCity Hospital !', ""Mammoth's Personnal Slot Machine"", 'OTPas_ouf', ""Gunnar's Vacation - Picture 2"", ""Gunnar's Vacation - Picture 3"", 'Points for hints', ""Gunnar's Vacation - Picture 1"", ""Gunnar's Vacation - Picture 4""], 'challenge_category': ['Steganography', 'Steganography', 'Web', 'Forensic', 'OSINT', 'Forensic', 'Forensic', 'OSINT', 'Pwn', 'OSINT', 'OSINT', 'OSINT', 'Steganography', 'Misc', 'Web', 'Misc', 'OSINT', 'Cryptography', 'Cryptography', 'OSINT', 'OSINT', 'Welcome', 'OSINT', 'OSINT'], 'challenge_points': ['185', '428', '379', '379', '489', '50', '50', '460', '68', '436', '136', '86', '183', '50', '50', '50', '241', '50', '50', '50', '50', '100', '50', '50'], 'solve_time': ['2025-04-13T03:51:58.489740Z', '2025-04-13T03:44:36.097569Z', '2025-04-13T03:32:56.248539Z', '2025-04-13T00:54:46.574295Z', '2025-04-13T00:36:58.744123Z', '2025-04-13T00:33:59.515212Z', '2025-04-13T00:31:24.431012Z', '2025-04-12T23:21:08.778624Z', '2025-04-12T23:08:21.737468Z', '2025-04-12T22:51:41.454285Z', '2025-04-12T22:41:26.440717Z', '2025-04-12T22:10:42.923605Z', '2025-04-12T21:03:58.191514Z', '2025-04-12T20:05:58.590681Z', '2025-04-12T19:16:00.502520Z', '2025-04-12T18:53:43.952758Z', '2025-04-12T18:31:11.877969Z', '2025-04-12T17:33:35.784922Z', '2025-04-12T17:16:13.125455Z', '2025-04-12T17:04:02.551379Z', '2025-04-12T17:03:50.977137Z', '2025-04-12T17:03:40.568959Z', '2025-04-12T17:03:37.788233Z', '2025-04-12T17:03:36.715958Z']}"
