name,points,challenge
～(∠・ω< )=U=,9270,"{'challenge_name': ['lIne', 'Hidden in memory...', 'Feedback', 'iCloud☁️', 'Discord Challenge', 'Setsuna Message', ""Where's My Partner?"", 'Little Parrot', 'Insecure Shell', 'Once', 'Bank Clerk', 'Demon Summoning', 'Memory-Catcher🧠', 'i18n', 'Seems like someone’s breaking down😂', 'Painter', 'Money Overflow', 'Lime Ranger', 'beep boop beep boop', 'Pyjail02', 'Pyjail01', 'Welcome', 'Noo dle', 'Flag Shopping', 'Flag Checker', 'Empty', 'network noise', ""Yoshino's Secret"", 'Speeded Block Cipher', 'Frequency Freakout', 'Twins', 'Proactive Planning', 'SNAKE', 'APPL3 STOR3🍎', 'Headless', 'Nothing here 👀', 'DAES', '西', 'time_GEM', 'Python Hunter 🐍'], 'challenge_category': ['Insane', 'Misc', 'Feedback', 'Insane', 'WarmUp', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Reverse', 'Web', 'Web', 'Misc', 'Pwn', 'Pwn', 'Web', 'WarmUp', 'Misc', 'Misc', 'WarmUp', 'Reverse', 'Pwn', 'Reverse', 'Reverse', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Crypto', 'Reverse', 'Reverse', 'Reverse'], 'challenge_points': ['480', '300', '50', '440', '50', '230', '430', '420', '140', '320', '460', '390', '470', '460', '100', '480', '100', '100', '50', '350', '390', '50', '290', '100', '200', '380', '100', '210', '260', '100', '100', '470', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-20T11:49:25.559316Z', '2025-04-20T08:35:22.895895Z', '2025-04-20T06:48:11.987079Z', '2025-04-19T22:42:28.005199Z', '2025-04-19T14:51:20.501935Z', '2025-04-19T14:46:06.904777Z', '2025-04-19T14:44:50.534786Z', '2025-04-19T14:39:51.462724Z', '2025-04-19T14:27:26.078528Z', '2025-04-19T14:18:25.146558Z', '2025-04-19T13:58:36.961629Z', '2025-04-19T11:46:26.552389Z', '2025-04-19T10:44:15.671742Z', '2025-04-19T09:04:26.487160Z', '2025-04-19T08:07:26.915129Z', '2025-04-19T07:46:02.823561Z', '2025-04-19T05:25:29.149012Z', '2025-04-19T03:15:00.193501Z', '2025-04-19T03:06:19.540731Z', '2025-04-19T03:01:21.348861Z', '2025-04-19T02:58:42.168646Z', '2025-04-19T02:56:08.762893Z', '2025-04-19T02:52:12.702088Z', '2025-04-19T02:47:21.762936Z', '2025-04-19T02:32:28.608652Z', '2025-04-19T02:28:15.897825Z', '2025-04-19T01:59:13.700058Z', '2025-04-19T01:56:47.042034Z', '2025-04-19T01:55:40.128791Z', '2025-04-19T01:52:15.549690Z', '2025-04-19T01:50:22.457653Z', '2025-04-19T01:47:47.376882Z', '2025-04-19T01:46:07.065892Z', '2025-04-19T01:40:54.836950Z', '2025-04-19T01:38:50.842674Z', '2025-04-19T01:36:09.486493Z', '2025-04-19T01:31:26.021001Z', '2025-04-19T01:29:54.241211Z', '2025-04-19T01:28:52.875850Z', '2025-04-19T00:27:37.938648Z']}"
THJCC_Xtrimi,7760,"{'challenge_name': ['There Is Nothing! 🏞️', 'iCloud☁️', 'Feedback', 'Discord Challenge', 'Bank Clerk', 'Empty', 'Little Parrot', 'Setsuna Message', 'Hidden in memory...', 'Pyjail01', 'proxy | under_development', 'i18n', 'Speeded Block Cipher', 'Demon Summoning', 'Insecure Shell', ""Yoshino's Secret"", 'Noo dle', 'Pyjail02', 'DAES', 'Once', 'network noise', 'time_GEM', 'Seems like someone’s breaking down😂', 'Python Hunter 🐍', 'Flag Checker', 'SNAKE', 'Frequency Freakout', 'Money Overflow', 'Flag Shopping', 'Twins', '西', 'Lime Ranger', 'beep boop beep boop', 'Welcome', 'APPL3 STOR3🍎', 'Nothing here 👀', 'Headless'], 'challenge_category': ['Misc', 'Insane', 'Feedback', 'WarmUp', 'Pwn', 'Reverse', 'Pwn', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Crypto', 'Reverse', 'Pwn', 'Crypto', 'Reverse', 'Misc', 'Crypto', 'Pwn', 'Misc', 'Reverse', 'Misc', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Crypto', 'Reverse', 'Web', 'WarmUp', 'WarmUp', 'Web', 'Web', 'Web'], 'challenge_points': ['410', '440', '50', '50', '460', '380', '420', '230', '300', '390', '410', '460', '260', '390', '140', '210', '290', '350', '100', '320', '100', '100', '100', '100', '200', '100', '100', '100', '100', '100', '100', '100', '50', '50', '100', '100', '100'], 'solve_time': ['2025-04-20T09:55:51.764139Z', '2025-04-20T09:49:35.780288Z', '2025-04-20T07:46:14.193861Z', '2025-04-20T07:41:33.281734Z', '2025-04-20T03:53:43.752180Z', '2025-04-20T01:35:36.699653Z', '2025-04-19T15:43:21.456936Z', '2025-04-19T14:09:22.898956Z', '2025-04-19T14:00:37.567756Z', '2025-04-19T13:03:07.154124Z', '2025-04-19T12:38:46.514421Z', '2025-04-19T09:17:30.326732Z', '2025-04-19T07:59:10.053697Z', '2025-04-19T07:12:48.496285Z', '2025-04-19T06:46:16.740947Z', '2025-04-19T06:10:23.346322Z', '2025-04-19T05:04:29.758299Z', '2025-04-19T04:25:06.746063Z', '2025-04-19T03:11:01.738362Z', '2025-04-19T02:22:55.447964Z', '2025-04-19T01:43:34.113373Z', '2025-04-19T01:41:13.460928Z', '2025-04-19T01:40:02.122382Z', '2025-04-19T01:30:31.624675Z', '2025-04-19T01:28:53.497777Z', '2025-04-19T01:13:51.782997Z', '2025-04-19T01:09:09.026186Z', '2025-04-19T01:08:42.069708Z', '2025-04-19T01:04:58.717356Z', '2025-04-19T01:02:26.158258Z', '2025-04-19T01:00:50.396126Z', '2025-04-19T00:14:20.129760Z', '2025-04-19T00:10:41.964724Z', '2025-04-19T00:10:04.786864Z', '2025-04-19T00:08:19.347487Z', '2025-04-19T00:05:59.897132Z', '2025-04-19T00:05:27.731454Z']}"
THJCC_umeow0716,7110,"{'challenge_name': ['Insecure Shell', 'Feedback', 'Empty', 'There Is Nothing! 🏞️', 'i18n', 'Noo dle', 'Demon Summoning', 'iCloud☁️', 'Pyjail02', 'Pyjail01', 'Bank Clerk', 'Speeded Block Cipher', 'proxy | under_development', 'Hidden in memory...', 'Once', 'Seems like someone’s breaking down😂', 'network noise', 'Money Overflow', 'Flag Checker', 'Flag Shopping', 'time_GEM', 'Python Hunter 🐍', '西', ""Yoshino's Secret"", 'DAES', 'SNAKE', 'Twins', 'Frequency Freakout', 'Lime Ranger', 'Discord Challenge', 'APPL3 STOR3🍎', 'Headless', 'Nothing here 👀', 'beep boop beep boop', 'Welcome'], 'challenge_category': ['Pwn', 'Feedback', 'Reverse', 'Misc', 'Web', 'Reverse', 'Reverse', 'Insane', 'Misc', 'Misc', 'Pwn', 'Crypto', 'Web', 'Misc', 'Pwn', 'Misc', 'Misc', 'Pwn', 'Reverse', 'Pwn', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Web', 'WarmUp', 'Web', 'Web', 'Web', 'WarmUp', 'WarmUp'], 'challenge_points': ['140', '50', '380', '410', '460', '290', '390', '440', '350', '390', '460', '260', '410', '300', '320', '100', '100', '100', '200', '100', '100', '100', '100', '210', '100', '100', '100', '100', '100', '50', '100', '100', '100', '50', '50'], 'solve_time': ['2025-04-20T10:10:49.103213Z', '2025-04-20T09:03:35.046978Z', '2025-04-20T09:01:08.544893Z', '2025-04-19T22:18:48.180343Z', '2025-04-19T21:59:40.177435Z', '2025-04-19T20:42:24.257081Z', '2025-04-19T20:32:44.376834Z', '2025-04-19T19:38:45.381722Z', '2025-04-19T16:56:54.333831Z', '2025-04-19T16:49:51.740979Z', '2025-04-19T13:24:58.252600Z', '2025-04-19T12:02:15.785346Z', '2025-04-19T11:27:30.541446Z', '2025-04-19T10:35:35.021516Z', '2025-04-19T10:22:55.948968Z', '2025-04-19T09:11:34.467703Z', '2025-04-19T09:07:05.739373Z', '2025-04-19T08:47:50.494650Z', '2025-04-19T08:35:10.986513Z', '2025-04-19T08:18:19.616113Z', '2025-04-19T08:12:18.941162Z', '2025-04-19T08:10:08.078090Z', '2025-04-19T08:08:40.979771Z', '2025-04-19T08:06:38.765460Z', '2025-04-19T07:33:07.982674Z', '2025-04-19T04:02:35.095529Z', '2025-04-19T03:57:40.107264Z', '2025-04-19T03:48:45.063155Z', '2025-04-19T02:17:19.755476Z', '2025-04-19T02:09:12.722005Z', '2025-04-19T02:02:25.324938Z', '2025-04-19T01:54:48.073169Z', '2025-04-19T01:37:34.242055Z', '2025-04-19T01:36:35.654816Z', '2025-04-19T01:35:37.415896Z']}"
THJCC{SCINT_SCAICT_SCIST},7010,"{'challenge_name': ['lIne', 'F&S Farm', 'Feedback', 'Setsuna Message', 'Empty', 'Demon Summoning', 'Proactive Planning', 'proxy | under_development', 'Hidden in memory...', 'Speeded Block Cipher', ""Yoshino's Secret"", 'DAES', 'SNAKE', 'Twins', 'Frequency Freakout', 'Pyjail02', 'Pyjail01', 'Seems like someone’s breaking down😂', 'network noise', 'Insecure Shell', 'Once', 'Money Overflow', 'Flag Shopping', 'Noo dle', 'Flag Checker', 'time_GEM', 'Python Hunter 🐍', '西', 'Discord Challenge', 'beep boop beep boop', 'Welcome', 'Lime Ranger', 'APPL3 STOR3🍎', 'Headless', 'Nothing here 👀'], 'challenge_category': ['Insane', 'Insane', 'Feedback', 'Misc', 'Reverse', 'Reverse', 'Crypto', 'Web', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'WarmUp', 'WarmUp', 'WarmUp', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['480', '490', '50', '230', '380', '390', '470', '410', '300', '260', '210', '100', '100', '100', '100', '350', '390', '100', '100', '140', '320', '100', '100', '290', '200', '100', '100', '100', '50', '50', '50', '100', '100', '100', '100'], 'solve_time': ['2025-04-20T11:44:40.528019Z', '2025-04-20T09:12:28.088185Z', '2025-04-20T08:05:40.169428Z', '2025-04-19T23:27:28.742380Z', '2025-04-19T23:12:51.744523Z', '2025-04-19T22:39:01.056898Z', '2025-04-19T22:14:06.300070Z', '2025-04-19T19:21:15.258757Z', '2025-04-19T13:26:08.236723Z', '2025-04-19T09:13:01.518482Z', '2025-04-19T09:05:43.246786Z', '2025-04-19T08:47:36.942314Z', '2025-04-19T08:36:15.001697Z', '2025-04-19T08:29:25.232744Z', '2025-04-19T08:27:13.581679Z', '2025-04-19T08:21:58.140270Z', '2025-04-19T07:57:58.674211Z', '2025-04-19T07:43:16.308368Z', '2025-04-19T07:35:52.948195Z', '2025-04-19T07:25:30.659398Z', '2025-04-19T07:20:00.175177Z', '2025-04-19T06:57:22.992254Z', '2025-04-19T06:51:08.207854Z', '2025-04-19T06:47:45.413729Z', '2025-04-19T04:19:51.369181Z', '2025-04-19T03:32:27.316932Z', '2025-04-19T03:07:59.049228Z', '2025-04-19T03:00:56.485207Z', '2025-04-19T02:58:37.817311Z', '2025-04-19T02:43:19.507229Z', '2025-04-19T02:41:35.670689Z', '2025-04-19T02:38:00.011840Z', '2025-04-19T02:32:58.010498Z', '2025-04-19T02:13:45.447817Z', '2025-04-19T02:07:55.678114Z']}"
THJCC_wangwww,5580,"{'challenge_name': ['Feedback', 'Little Parrot', 'Empty', 'Hidden in memory...', 'Insecure Shell', 'Pyjail02', 'Setsuna Message', 'Pyjail01', 'Seems like someone’s breaking down😂', 'Speeded Block Cipher', ""Yoshino's Secret"", 'DAES', 'SNAKE', 'Twins', 'Frequency Freakout', 'Demon Summoning', 'Once', 'Money Overflow', 'Noo dle', 'Flag Checker', 'Lime Ranger', 'network noise', 'Discord Challenge', 'APPL3 STOR3🍎', 'Flag Shopping', 'time_GEM', 'Python Hunter 🐍', 'Headless', '西', 'Nothing here 👀', 'beep boop beep boop', 'Welcome'], 'challenge_category': ['Feedback', 'Pwn', 'Reverse', 'Misc', 'Pwn', 'Misc', 'Misc', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Pwn', 'Pwn', 'Reverse', 'Reverse', 'Web', 'Misc', 'WarmUp', 'Web', 'Pwn', 'Reverse', 'Reverse', 'Web', 'Reverse', 'Web', 'WarmUp', 'WarmUp'], 'challenge_points': ['50', '420', '380', '300', '140', '350', '230', '390', '100', '260', '210', '100', '100', '100', '100', '390', '320', '100', '290', '200', '100', '100', '50', '100', '100', '100', '100', '100', '100', '100', '50', '50'], 'solve_time': ['2025-04-20T11:58:59.682946Z', '2025-04-20T03:28:46.029822Z', '2025-04-20T01:22:52.805725Z', '2025-04-19T17:57:58.488690Z', '2025-04-19T17:27:02.417151Z', '2025-04-19T17:14:05.055506Z', '2025-04-19T15:25:49.952274Z', '2025-04-19T14:04:54.865142Z', '2025-04-19T11:54:58.622823Z', '2025-04-19T11:31:35.285696Z', '2025-04-19T10:31:53.148003Z', '2025-04-19T09:57:58.479785Z', '2025-04-19T09:23:08.883944Z', '2025-04-19T09:07:30.889578Z', '2025-04-19T08:45:35.161357Z', '2025-04-19T08:20:47.121441Z', '2025-04-19T07:12:16.067590Z', '2025-04-19T06:17:12.914522Z', '2025-04-19T04:12:48.665512Z', '2025-04-19T02:44:42.343859Z', '2025-04-19T01:58:55.787485Z', '2025-04-19T01:14:53.822709Z', '2025-04-19T01:11:44.915578Z', '2025-04-19T01:08:16.876436Z', '2025-04-19T01:05:47.778980Z', '2025-04-19T00:58:32.288374Z', '2025-04-19T00:43:18.762857Z', '2025-04-19T00:33:14.769833Z', '2025-04-19T00:17:42.499807Z', '2025-04-19T00:10:07.737678Z', '2025-04-19T00:01:40.109303Z', '2025-04-19T00:00:41.127331Z']}"
THJCC_not_Ro8in,5360,"{'challenge_name': ['proxy | under_development', 'Feedback', 'Hidden in memory...', 'Setsuna Message', ""Where's My Partner?"", 'Discord Challenge', 'There Is Nothing! 🏞️', 'Demon Summoning', 'DAES', 'Insecure Shell', 'Speeded Block Cipher', ""Yoshino's Secret"", 'Lime Ranger', 'Pyjail01', 'Seems like someone’s breaking down😂', 'network noise', 'APPL3 STOR3🍎', 'Noo dle', 'time_GEM', 'SNAKE', 'Frequency Freakout', 'Twins', 'Python Hunter 🐍', 'Money Overflow', 'Flag Shopping', 'Headless', 'Nothing here 👀', 'beep boop beep boop', 'Welcome', 'Flag Checker', '西'], 'challenge_category': ['Web', 'Feedback', 'Misc', 'Misc', 'Misc', 'WarmUp', 'Misc', 'Reverse', 'Crypto', 'Pwn', 'Crypto', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc', 'Web', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Pwn', 'Pwn', 'Web', 'Web', 'WarmUp', 'WarmUp', 'Reverse', 'Reverse'], 'challenge_points': ['410', '50', '300', '230', '430', '50', '410', '390', '100', '140', '260', '210', '100', '390', '100', '100', '100', '290', '100', '100', '100', '100', '100', '100', '100', '100', '100', '50', '50', '200', '100'], 'solve_time': ['2025-04-20T11:24:55.284196Z', '2025-04-20T06:50:25.821212Z', '2025-04-19T15:55:26.768625Z', '2025-04-19T14:51:27.856816Z', '2025-04-19T12:44:58.648445Z', '2025-04-19T10:04:17.396891Z', '2025-04-19T09:32:54.061171Z', '2025-04-19T08:57:56.212707Z', '2025-04-19T08:16:28.172788Z', '2025-04-19T07:43:11.288812Z', '2025-04-19T06:13:24.777487Z', '2025-04-19T06:00:55.315885Z', '2025-04-19T04:03:21.205160Z', '2025-04-19T02:39:45.600162Z', '2025-04-19T02:33:02.898854Z', '2025-04-19T02:24:44.544284Z', '2025-04-19T02:13:54.816794Z', '2025-04-19T02:09:42.510488Z', '2025-04-19T02:03:03.856295Z', '2025-04-19T01:42:12.029947Z', '2025-04-19T01:39:35.503579Z', '2025-04-19T01:29:55.160762Z', '2025-04-19T01:01:48.472124Z', '2025-04-19T00:47:27.407303Z', '2025-04-19T00:36:22.458424Z', '2025-04-19T00:24:16.913447Z', '2025-04-19T00:17:04.287899Z', '2025-04-19T00:14:15.443334Z', '2025-04-19T00:13:44.032429Z', '2025-04-19T00:10:42.000141Z', '2025-04-19T00:04:10.342369Z']}"
THJCC_wills1,5160,"{'challenge_name': ['Setsuna Message', 'Feedback', 'Empty', 'Flag Checker', 'Noo dle', 'Hidden in memory...', 'Demon Summoning', 'Insecure Shell', 'DAES', 'Pyjail02', 'Pyjail01', 'Speeded Block Cipher', ""Yoshino's Secret"", 'Lime Ranger', 'Headless', 'Once', 'Seems like someone’s breaking down😂', 'SNAKE', 'time_GEM', 'network noise', 'Discord Challenge', 'Frequency Freakout', 'Python Hunter 🐍', 'Money Overflow', 'beep boop beep boop', 'Welcome', 'APPL3 STOR3🍎', 'Nothing here 👀', 'Twins', '西', 'Flag Shopping'], 'challenge_category': ['Misc', 'Feedback', 'Reverse', 'Reverse', 'Reverse', 'Misc', 'Reverse', 'Pwn', 'Crypto', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Web', 'Web', 'Pwn', 'Misc', 'Crypto', 'Reverse', 'Misc', 'WarmUp', 'Crypto', 'Reverse', 'Pwn', 'WarmUp', 'WarmUp', 'Web', 'Web', 'Crypto', 'Reverse', 'Pwn'], 'challenge_points': ['230', '50', '380', '200', '290', '300', '390', '140', '100', '350', '390', '260', '210', '100', '100', '320', '100', '100', '100', '100', '50', '100', '100', '100', '50', '50', '100', '100', '100', '100', '100'], 'solve_time': ['2025-04-20T08:04:20.719141Z', '2025-04-20T08:02:09.983936Z', '2025-04-20T05:35:55.548125Z', '2025-04-20T03:41:40.313300Z', '2025-04-20T03:15:36.531744Z', '2025-04-20T02:14:15.515195Z', '2025-04-19T20:56:39.686585Z', '2025-04-19T18:51:08.616563Z', '2025-04-19T17:33:19.721846Z', '2025-04-19T13:54:17.910699Z', '2025-04-19T12:24:15.424361Z', '2025-04-19T06:00:04.402890Z', '2025-04-19T05:25:24.800111Z', '2025-04-19T04:35:48.594644Z', '2025-04-19T04:31:02.091418Z', '2025-04-19T03:37:38.448745Z', '2025-04-19T02:56:22.911280Z', '2025-04-19T02:28:01.926591Z', '2025-04-19T02:21:30.274624Z', '2025-04-19T02:06:02.113228Z', '2025-04-19T02:03:31.697419Z', '2025-04-19T01:19:17.101443Z', '2025-04-19T01:08:38.045838Z', '2025-04-19T01:05:30.137595Z', '2025-04-19T00:56:45.879300Z', '2025-04-19T00:55:07.224343Z', '2025-04-19T00:50:08.920305Z', '2025-04-19T00:42:12.185444Z', '2025-04-19T00:12:13.050094Z', '2025-04-19T00:10:03.985509Z', '2025-04-19T00:02:19.560138Z']}"
albert5888,5100,"{'challenge_name': ['Pyjail02', 'Noo dle', 'i18n', 'Feedback', 'Memory-Catcher🧠', 'proxy | under_development', 'Setsuna Message', 'Discord Challenge', 'SNAKE', 'Frequency Freakout', 'Twins', 'time_GEM', 'Python Hunter 🐍', '西', 'Insecure Shell', 'Money Overflow', 'Flag Shopping', 'iCloud☁️', 'Hidden in memory...', 'There Is Nothing! 🏞️', 'Seems like someone’s breaking down😂', 'network noise', 'Lime Ranger', 'APPL3 STOR3🍎', 'Headless', 'Nothing here 👀', 'beep boop beep boop', 'Welcome'], 'challenge_category': ['Misc', 'Reverse', 'Web', 'Feedback', 'Web', 'Web', 'Misc', 'WarmUp', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Pwn', 'Pwn', 'Pwn', 'Insane', 'Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'WarmUp', 'WarmUp'], 'challenge_points': ['350', '290', '460', '50', '470', '410', '230', '50', '100', '100', '100', '100', '100', '100', '140', '100', '100', '440', '300', '410', '100', '100', '100', '100', '100', '100', '50', '50'], 'solve_time': ['2025-04-20T10:35:31.856707Z', '2025-04-20T09:11:12.215566Z', '2025-04-20T09:02:49.213783Z', '2025-04-20T09:02:11.762588Z', '2025-04-20T09:02:00.084134Z', '2025-04-20T09:01:55.207886Z', '2025-04-20T09:01:45.723250Z', '2025-04-20T09:00:35.185572Z', '2025-04-20T09:00:14.492610Z', '2025-04-20T08:59:51.209369Z', '2025-04-20T08:59:40.870549Z', '2025-04-20T08:59:27.461244Z', '2025-04-20T08:59:23.060603Z', '2025-04-20T08:58:47.213244Z', '2025-04-20T08:58:30.677774Z', '2025-04-20T08:58:23.182957Z', '2025-04-20T08:58:13.612446Z', '2025-04-20T08:55:34.284919Z', '2025-04-20T08:55:16.804807Z', '2025-04-20T08:54:50.395245Z', '2025-04-20T08:54:42.881899Z', '2025-04-20T08:54:35.773480Z', '2025-04-20T08:54:26.832357Z', '2025-04-20T08:54:19.562956Z', '2025-04-20T08:53:55.435799Z', '2025-04-20T08:51:36.342862Z', '2025-04-20T08:51:20.281959Z', '2025-04-20T08:51:15.976353Z']}"
THJCC_zKltch,4930,"{'challenge_name': ['Flag Checker', 'Pyjail02', 'Feedback', 'SNAKE', 'Painter', ""Yoshino's Secret"", 'Twins', 'DAES', 'Speeded Block Cipher', 'network noise', 'Seems like someone’s breaking down😂', 'Pyjail01', 'Frequency Freakout', 'Python Hunter 🐍', 'Lime Ranger', 'Discord Challenge', 'time_GEM', 'Insecure Shell', 'APPL3 STOR3🍎', 'Bank Clerk', 'Headless', 'Nothing here 👀', 'Little Parrot', 'Once', '西', 'Money Overflow', 'beep boop beep boop', 'Welcome', 'Flag Shopping'], 'challenge_category': ['Reverse', 'Misc', 'Feedback', 'Crypto', 'Pwn', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Misc', 'Crypto', 'Reverse', 'Web', 'WarmUp', 'Reverse', 'Pwn', 'Web', 'Pwn', 'Web', 'Web', 'Pwn', 'Pwn', 'Reverse', 'Pwn', 'WarmUp', 'WarmUp', 'Pwn'], 'challenge_points': ['200', '350', '50', '100', '480', '210', '100', '100', '260', '100', '100', '390', '100', '100', '100', '50', '100', '140', '100', '460', '100', '100', '420', '320', '100', '100', '50', '50', '100'], 'solve_time': ['2025-04-20T09:15:11.255817Z', '2025-04-20T09:03:14.680333Z', '2025-04-20T06:49:19.633284Z', '2025-04-20T05:43:56.892782Z', '2025-04-20T03:16:19.143628Z', '2025-04-19T15:31:01.244643Z', '2025-04-19T15:16:47.475742Z', '2025-04-19T14:56:06.943785Z', '2025-04-19T14:48:49.901633Z', '2025-04-19T14:07:31.841415Z', '2025-04-19T13:57:58.673570Z', '2025-04-19T06:58:15.832757Z', '2025-04-19T05:27:27.570759Z', '2025-04-19T04:50:38.430860Z', '2025-04-19T04:46:20.824386Z', '2025-04-19T04:35:53.625532Z', '2025-04-19T03:41:20.076394Z', '2025-04-19T03:29:31.054525Z', '2025-04-19T03:04:19.318078Z', '2025-04-19T02:56:47.183338Z', '2025-04-19T01:25:23.706080Z', '2025-04-19T01:17:54.275660Z', '2025-04-19T01:08:24.539601Z', '2025-04-19T00:40:44.193482Z', '2025-04-19T00:25:37.455406Z', '2025-04-19T00:17:50.911355Z', '2025-04-19T00:06:56.447346Z', '2025-04-19T00:06:23.735230Z', '2025-04-19T00:05:38.130784Z']}"
THJCC_LemonTea,4830,"{'challenge_name': ['There Is Nothing! 🏞️', 'proxy | under_development', 'Feedback', 'Pyjail01', 'Hidden in memory...', 'Speeded Block Cipher', ""Yoshino's Secret"", 'Noo dle', ""Where's My Partner?"", 'Flag Checker', 'Setsuna Message', 'time_GEM', 'Seems like someone’s breaking down😂', 'Money Overflow', 'DAES', 'network noise', 'SNAKE', 'Frequency Freakout', 'Python Hunter 🐍', 'Discord Challenge', 'Lime Ranger', 'Flag Shopping', '西', 'Twins', 'APPL3 STOR3🍎', 'Headless', 'Nothing here 👀', 'beep boop beep boop', 'Welcome'], 'challenge_category': ['Misc', 'Web', 'Feedback', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Reverse', 'Misc', 'Reverse', 'Misc', 'Reverse', 'Misc', 'Pwn', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Reverse', 'WarmUp', 'Web', 'Pwn', 'Reverse', 'Crypto', 'Web', 'Web', 'Web', 'WarmUp', 'WarmUp'], 'challenge_points': ['410', '410', '50', '390', '300', '260', '210', '290', '430', '200', '230', '100', '100', '100', '100', '100', '100', '100', '100', '50', '100', '100', '100', '100', '100', '100', '100', '50', '50'], 'solve_time': ['2025-04-20T11:45:43.057149Z', '2025-04-20T07:59:30.086514Z', '2025-04-20T06:53:13.631235Z', '2025-04-20T03:26:20.220564Z', '2025-04-19T16:57:32.197707Z', '2025-04-19T16:02:07.049760Z', '2025-04-19T15:57:47.088158Z', '2025-04-19T14:56:49.479234Z', '2025-04-19T14:44:37.707189Z', '2025-04-19T14:21:01.412162Z', '2025-04-19T14:14:07.281855Z', '2025-04-19T13:50:48.721962Z', '2025-04-19T08:06:58.322266Z', '2025-04-19T03:43:10.558498Z', '2025-04-19T02:05:43.040035Z', '2025-04-19T01:57:08.552787Z', '2025-04-19T01:53:49.012058Z', '2025-04-19T01:49:44.754089Z', '2025-04-19T01:19:44.724282Z', '2025-04-19T01:13:19.885489Z', '2025-04-19T01:09:31.196700Z', '2025-04-19T00:44:49.509107Z', '2025-04-19T00:40:32.895280Z', '2025-04-19T00:33:54.553580Z', '2025-04-19T00:31:07.021125Z', '2025-04-19T00:27:21.224166Z', '2025-04-19T00:22:58.981909Z', '2025-04-19T00:21:28.538592Z', '2025-04-19T00:20:36.990575Z']}"
