name,points,challenge
les amateurs (play smileyctf),13219,"{'challenge_name': ['survey', 'discord', 'config', 'golf-hardester', 'linkedout-recon', 'double-trouble', 'airport', 'markdown-renderer', 'front-door', 'hidden-canvas', 'pseudo-secure', 'dotdotdotv2', 'masked', 'packet-palette', 'vr-keylog', 'guess-again', 'quant', 'make-groups', 'thats-pietty-cool', 'album-cover', 'double-nested', 'artifact', 'garfield-lasagna-monday', 'deep-layers', 'footprint', 'hidden-message', 'close-secrets', 'seeds', 'theartofwar', 'guess-my-number', 'alchemist-recipe', 'TeXploit', 'loopy', 'bacon-bits', 'wrong-warp', 'mouse-trail', 'linked', 'rubix-cube', 'city-planning', 'i-love-birds', 'extra-credit', 'neural-inversion', 'buggy', 'serpent'], 'challenge_category': ['misc', 'misc', 'rev', 'misc', 'misc', 'crypto', 'misc', 'web', 'web', 'web', 'crypto', 'crypto', 'misc', 'forensics', 'forensics', 'rev', 'forensics', 'misc', 'forensics', 'forensics', 'web', 'rev', 'rev', 'forensics', 'forensics', 'forensics', 'crypto', 'crypto', 'crypto', 'misc', 'crypto', 'web', 'web', 'crypto', 'pwn', 'misc', 'pwn', 'rev', 'pwn', 'pwn', 'pwn', 'rev', 'pwn', 'rev'], 'challenge_points': ['1', '1', '424', '499', '470', '388', '395', '484', '326', '357', '459', '418', '453', '335', '484', '126', '457', '199', '465', '195', '477', '410', '271', '112', '161', '109', '289', '259', '205', '100', '180', '176', '116', '180', '381', '142', '446', '321', '345', '267', '327', '420', '427', '162'], 'solve_time': ['2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
UofTCTF,13199,"{'challenge_name': ['survey', 'linkedout-recon', 'config', 'double-trouble', 'markdown-renderer', 'chill-site', 'vr-keylog', 'double-nested', 'masked', 'pseudo-secure', 'linked', 'buggy', 'wrong-warp', 'airport', 'quant', 'thats-pietty-cool', 'city-planning', 'extra-credit', 'front-door', 'i-love-birds', 'garfield-lasagna-monday', 'seeds', 'theartofwar', 'make-groups', 'alchemist-recipe', 'TeXploit', 'hidden-canvas', 'loopy', 'footprint', 'guess-again', 'album-cover', 'serpent', 'bacon-bits', 'artifact', 'neural-inversion', 'rubix-cube', 'dotdotdotv2', 'deep-layers', 'packet-palette', 'hidden-message', 'guess-my-number', 'discord', 'close-secrets', 'mouse-trail'], 'challenge_category': ['misc', 'misc', 'rev', 'crypto', 'web', 'web', 'forensics', 'web', 'misc', 'crypto', 'pwn', 'pwn', 'pwn', 'misc', 'forensics', 'forensics', 'pwn', 'pwn', 'web', 'pwn', 'rev', 'crypto', 'crypto', 'misc', 'crypto', 'web', 'web', 'web', 'forensics', 'rev', 'forensics', 'rev', 'crypto', 'rev', 'rev', 'rev', 'crypto', 'forensics', 'forensics', 'forensics', 'misc', 'misc', 'crypto', 'misc'], 'challenge_points': ['1', '470', '424', '388', '484', '479', '484', '477', '453', '459', '446', '427', '381', '395', '457', '465', '345', '327', '326', '267', '271', '259', '205', '199', '180', '176', '357', '116', '161', '126', '195', '162', '180', '410', '420', '321', '418', '112', '335', '109', '100', '1', '289', '142'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
World Wide Flags,13199,"{'challenge_name': ['survey', 'markdown-renderer', 'linkedout-recon', 'config', 'double-trouble', 'vr-keylog', 'chill-site', 'double-nested', 'thats-pietty-cool', 'quant', 'masked', 'pseudo-secure', 'dotdotdotv2', 'buggy', 'airport', 'linked', 'garfield-lasagna-monday', 'wrong-warp', 'neural-inversion', 'city-planning', 'packet-palette', 'front-door', 'close-secrets', 'TeXploit', 'i-love-birds', 'seeds', 'hidden-canvas', 'alchemist-recipe', 'extra-credit', 'make-groups', 'mouse-trail', 'deep-layers', 'album-cover', 'artifact', 'footprint', 'theartofwar', 'serpent', 'guess-again', 'loopy', 'discord', 'rubix-cube', 'bacon-bits', 'guess-my-number', 'hidden-message'], 'challenge_category': ['misc', 'web', 'misc', 'rev', 'crypto', 'forensics', 'web', 'web', 'forensics', 'forensics', 'misc', 'crypto', 'crypto', 'pwn', 'misc', 'pwn', 'rev', 'pwn', 'rev', 'pwn', 'forensics', 'web', 'crypto', 'web', 'pwn', 'crypto', 'web', 'crypto', 'pwn', 'misc', 'misc', 'forensics', 'forensics', 'rev', 'forensics', 'crypto', 'rev', 'rev', 'web', 'misc', 'rev', 'crypto', 'misc', 'forensics'], 'challenge_points': ['1', '484', '470', '424', '388', '484', '479', '477', '465', '457', '453', '459', '418', '427', '395', '446', '271', '381', '420', '345', '335', '326', '289', '176', '267', '259', '357', '180', '327', '199', '142', '112', '195', '410', '161', '205', '162', '126', '116', '1', '321', '180', '100', '109'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
Lil L3ak,13199,"{'challenge_name': ['survey', 'markdown-renderer', 'linkedout-recon', 'config', 'double-trouble', 'vr-keylog', 'thats-pietty-cool', 'chill-site', 'double-nested', 'pseudo-secure', 'masked', 'linked', 'wrong-warp', 'city-planning', 'buggy', 'garfield-lasagna-monday', 'front-door', 'airport', 'hidden-canvas', 'quant', 'TeXploit', 'i-love-birds', 'artifact', 'theartofwar', 'packet-palette', 'extra-credit', 'loopy', 'dotdotdotv2', 'mouse-trail', 'close-secrets', 'seeds', 'alchemist-recipe', 'album-cover', 'deep-layers', 'make-groups', 'rubix-cube', 'footprint', 'guess-again', 'serpent', 'guess-my-number', 'neural-inversion', 'bacon-bits', 'hidden-message', 'discord'], 'challenge_category': ['misc', 'web', 'misc', 'rev', 'crypto', 'forensics', 'forensics', 'web', 'web', 'crypto', 'misc', 'pwn', 'pwn', 'pwn', 'pwn', 'rev', 'web', 'misc', 'web', 'forensics', 'web', 'pwn', 'rev', 'crypto', 'forensics', 'pwn', 'web', 'crypto', 'misc', 'crypto', 'crypto', 'crypto', 'forensics', 'forensics', 'misc', 'rev', 'forensics', 'rev', 'rev', 'misc', 'rev', 'crypto', 'forensics', 'misc'], 'challenge_points': ['1', '484', '470', '424', '388', '484', '465', '479', '477', '459', '453', '446', '381', '345', '427', '271', '326', '395', '357', '457', '176', '267', '410', '205', '335', '327', '116', '418', '142', '289', '259', '180', '195', '112', '199', '321', '161', '126', '162', '100', '420', '180', '109', '1'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
SHIKANOKO NOKONOKO KOSHlTANTAN (play smileyctf),13199,"{'challenge_name': ['survey', 'linkedout-recon', 'markdown-renderer', 'config', 'double-trouble', 'chill-site', 'double-nested', 'pseudo-secure', 'vr-keylog', 'quant', 'dotdotdotv2', 'masked', 'airport', 'artifact', 'packet-palette', 'city-planning', 'extra-credit', 'close-secrets', 'linked', 'thats-pietty-cool', 'neural-inversion', 'rubix-cube', 'front-door', 'garfield-lasagna-monday', 'hidden-canvas', 'theartofwar', 'TeXploit', 'seeds', 'loopy', 'make-groups', 'serpent', 'mouse-trail', 'album-cover', 'i-love-birds', 'deep-layers', 'wrong-warp', 'footprint', 'alchemist-recipe', 'bacon-bits', 'buggy', 'hidden-message', 'guess-again', 'discord', 'guess-my-number'], 'challenge_category': ['misc', 'misc', 'web', 'rev', 'crypto', 'web', 'web', 'crypto', 'forensics', 'forensics', 'crypto', 'misc', 'misc', 'rev', 'forensics', 'pwn', 'pwn', 'crypto', 'pwn', 'forensics', 'rev', 'rev', 'web', 'rev', 'web', 'crypto', 'web', 'crypto', 'web', 'misc', 'rev', 'misc', 'forensics', 'pwn', 'forensics', 'pwn', 'forensics', 'crypto', 'crypto', 'pwn', 'forensics', 'rev', 'misc', 'misc'], 'challenge_points': ['1', '470', '484', '424', '388', '479', '477', '459', '484', '457', '418', '453', '395', '410', '335', '345', '327', '289', '446', '465', '420', '321', '326', '271', '357', '205', '176', '259', '116', '199', '162', '142', '195', '267', '112', '381', '161', '180', '180', '427', '109', '126', '1', '100'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
Nc{Cat},13199,"{'challenge_name': ['survey', 'linkedout-recon', 'markdown-renderer', 'config', 'double-trouble', 'vr-keylog', 'pseudo-secure', 'linked', 'buggy', 'chill-site', 'thats-pietty-cool', 'masked', 'dotdotdotv2', 'double-nested', 'wrong-warp', 'airport', 'front-door', 'quant', 'artifact', 'city-planning', 'neural-inversion', 'garfield-lasagna-monday', 'rubix-cube', 'TeXploit', 'extra-credit', 'packet-palette', 'hidden-canvas', 'make-groups', 'guess-my-number', 'footprint', 'theartofwar', 'close-secrets', 'alchemist-recipe', 'album-cover', 'loopy', 'mouse-trail', 'i-love-birds', 'serpent', 'deep-layers', 'guess-again', 'hidden-message', 'seeds', 'bacon-bits', 'discord'], 'challenge_category': ['misc', 'misc', 'web', 'rev', 'crypto', 'forensics', 'crypto', 'pwn', 'pwn', 'web', 'forensics', 'misc', 'crypto', 'web', 'pwn', 'misc', 'web', 'forensics', 'rev', 'pwn', 'rev', 'rev', 'rev', 'web', 'pwn', 'forensics', 'web', 'misc', 'misc', 'forensics', 'crypto', 'crypto', 'crypto', 'forensics', 'web', 'misc', 'pwn', 'rev', 'forensics', 'rev', 'forensics', 'crypto', 'crypto', 'misc'], 'challenge_points': ['1', '470', '484', '424', '388', '484', '459', '446', '427', '479', '465', '453', '418', '477', '381', '395', '326', '457', '410', '345', '420', '271', '321', '176', '327', '335', '357', '199', '100', '161', '205', '289', '180', '195', '116', '142', '267', '162', '112', '126', '109', '259', '180', '1'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
OctalO,13199,"{'challenge_name': ['thats-pietty-cool', 'markdown-renderer', 'chill-site', 'linkedout-recon', 'survey', 'config', 'vr-keylog', 'double-trouble', 'double-nested', 'pseudo-secure', 'hidden-canvas', 'quant', 'wrong-warp', 'city-planning', 'packet-palette', 'masked', 'linked', 'buggy', 'album-cover', 'footprint', 'airport', 'make-groups', 'dotdotdotv2', 'artifact', 'garfield-lasagna-monday', 'front-door', 'neural-inversion', 'rubix-cube', 'TeXploit', 'close-secrets', 'serpent', 'guess-again', 'i-love-birds', 'seeds', 'extra-credit', 'alchemist-recipe', 'theartofwar', 'loopy', 'mouse-trail', 'guess-my-number', 'discord', 'bacon-bits', 'deep-layers', 'hidden-message'], 'challenge_category': ['forensics', 'web', 'web', 'misc', 'misc', 'rev', 'forensics', 'crypto', 'web', 'crypto', 'web', 'forensics', 'pwn', 'pwn', 'forensics', 'misc', 'pwn', 'pwn', 'forensics', 'forensics', 'misc', 'misc', 'crypto', 'rev', 'rev', 'web', 'rev', 'rev', 'web', 'crypto', 'rev', 'rev', 'pwn', 'crypto', 'pwn', 'crypto', 'crypto', 'web', 'misc', 'misc', 'misc', 'crypto', 'forensics', 'forensics'], 'challenge_points': ['465', '484', '479', '470', '1', '424', '484', '388', '477', '459', '357', '457', '381', '345', '335', '453', '446', '427', '195', '161', '395', '199', '418', '410', '271', '326', '420', '321', '176', '289', '162', '126', '267', '259', '327', '180', '205', '116', '142', '100', '1', '180', '112', '109'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
PETIRsec,13199,"{'challenge_name': ['quant', 'linkedout-recon', 'vr-keylog', 'thats-pietty-cool', 'masked', 'airport', 'survey', 'packet-palette', 'double-trouble', 'artifact', 'config', 'chill-site', 'markdown-renderer', 'neural-inversion', 'garfield-lasagna-monday', 'pseudo-secure', 'mouse-trail', 'serpent', 'make-groups', 'dotdotdotv2', 'double-nested', 'hidden-canvas', 'rubix-cube', 'guess-again', 'wrong-warp', 'buggy', 'linked', 'footprint', 'front-door', 'city-planning', 'album-cover', 'deep-layers', 'TeXploit', 'bacon-bits', 'theartofwar', 'seeds', 'loopy', 'close-secrets', 'i-love-birds', 'hidden-message', 'discord', 'alchemist-recipe', 'extra-credit', 'guess-my-number'], 'challenge_category': ['forensics', 'misc', 'forensics', 'forensics', 'misc', 'misc', 'misc', 'forensics', 'crypto', 'rev', 'rev', 'web', 'web', 'rev', 'rev', 'crypto', 'misc', 'rev', 'misc', 'crypto', 'web', 'web', 'rev', 'rev', 'pwn', 'pwn', 'pwn', 'forensics', 'web', 'pwn', 'forensics', 'forensics', 'web', 'crypto', 'crypto', 'crypto', 'web', 'crypto', 'pwn', 'forensics', 'misc', 'crypto', 'pwn', 'misc'], 'challenge_points': ['457', '470', '484', '465', '453', '395', '1', '335', '388', '410', '424', '479', '484', '420', '271', '459', '142', '162', '199', '418', '477', '357', '321', '126', '381', '427', '446', '161', '326', '345', '195', '112', '176', '180', '205', '259', '116', '289', '267', '109', '1', '180', '327', '100'], 'solve_time': ['2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
L.A.R.P.,12720,"{'challenge_name': ['double-nested', 'linkedout-recon', 'survey', 'markdown-renderer', 'config', 'double-trouble', 'linked', 'thats-pietty-cool', 'pseudo-secure', 'city-planning', 'buggy', 'hidden-canvas', 'TeXploit', 'front-door', 'garfield-lasagna-monday', 'vr-keylog', 'wrong-warp', 'i-love-birds', 'quant', 'dotdotdotv2', 'theartofwar', 'airport', 'guess-again', 'extra-credit', 'packet-palette', 'close-secrets', 'seeds', 'masked', 'artifact', 'alchemist-recipe', 'deep-layers', 'footprint', 'serpent', 'make-groups', 'neural-inversion', 'mouse-trail', 'album-cover', 'bacon-bits', 'rubix-cube', 'loopy', 'guess-my-number', 'hidden-message', 'discord'], 'challenge_category': ['web', 'misc', 'misc', 'web', 'rev', 'crypto', 'pwn', 'forensics', 'crypto', 'pwn', 'pwn', 'web', 'web', 'web', 'rev', 'forensics', 'pwn', 'pwn', 'forensics', 'crypto', 'crypto', 'misc', 'rev', 'pwn', 'forensics', 'crypto', 'crypto', 'misc', 'rev', 'crypto', 'forensics', 'forensics', 'rev', 'misc', 'rev', 'misc', 'forensics', 'crypto', 'rev', 'web', 'misc', 'forensics', 'misc'], 'challenge_points': ['477', '470', '1', '484', '424', '388', '446', '465', '459', '345', '427', '357', '176', '326', '271', '484', '381', '267', '457', '418', '205', '395', '126', '327', '335', '289', '259', '453', '410', '180', '112', '161', '162', '199', '420', '142', '195', '180', '321', '116', '100', '109', '1'], 'solve_time': ['3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
bedwars,12257,"{'challenge_name': ['pseudo-secure', 'linked', 'config', 'quant', 'buggy', 'survey', 'markdown-renderer', 'linkedout-recon', 'double-trouble', 'vr-keylog', 'chill-site', 'wrong-warp', 'dotdotdotv2', 'front-door', 'extra-credit', 'airport', 'masked', 'i-love-birds', 'garfield-lasagna-monday', 'neural-inversion', 'hidden-canvas', 'TeXploit', 'packet-palette', 'close-secrets', 'album-cover', 'mouse-trail', 'deep-layers', 'guess-again', 'city-planning', 'seeds', 'loopy', 'guess-my-number', 'artifact', 'footprint', 'theartofwar', 'rubix-cube', 'serpent', 'discord', 'alchemist-recipe', 'make-groups', 'hidden-message', 'bacon-bits'], 'challenge_category': ['crypto', 'pwn', 'rev', 'forensics', 'pwn', 'misc', 'web', 'misc', 'crypto', 'forensics', 'web', 'pwn', 'crypto', 'web', 'pwn', 'misc', 'misc', 'pwn', 'rev', 'rev', 'web', 'web', 'forensics', 'crypto', 'forensics', 'misc', 'forensics', 'rev', 'pwn', 'crypto', 'web', 'misc', 'rev', 'forensics', 'crypto', 'rev', 'rev', 'misc', 'crypto', 'misc', 'forensics', 'crypto'], 'challenge_points': ['459', '446', '424', '457', '427', '1', '484', '470', '388', '484', '479', '381', '418', '326', '327', '395', '453', '267', '271', '420', '357', '176', '335', '289', '195', '142', '112', '126', '345', '259', '116', '100', '410', '161', '205', '321', '162', '1', '180', '199', '109', '180'], 'solve_time': ['2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '3 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago', '4 days ago']}"
