name,points,challenges
0ops,10638.49,"{'challenge_name': ['superbooru', 'portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'jsc', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['1000', '357', '303', '714', '327', '571', '327', '588', '416', '200', '289', '357', '645', '769', '416', '246', '869', '526', '59', '285', '689', '588']}"
Project Sekai,10146.19,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'raenil', 'jsc', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '200', '289', '357', '645', '769', '416', '246', '869', '526', '59', '285', '689', '588']}"
USTC-NEBULA,9389,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'Are you incognito?', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'jsc', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '909', '200', '289', '416', '246', '869', '526', '59', '285', '689', '588']}"
TheSomethingSomething,8067.83,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'thumbor 2', 'safe layout revenge', 'jsc', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '416', '571', '200', '289', '357', '645', '769', '416', '869', '59', '285', '689', '588']}"
Nepnep,7507.47,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '200', '289', '357', '645', '246', '526', '59', '285', '689']}"
N0wayBack,7201.16,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '200', '289', '357', '645', '416', '246', '526', '59', '285']}"
Lilac,7167.06,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '588', '416', '571', '200', '289', '357', '416', '246', '526', '59', '285', '689', '588']}"
Spirit+,6596.63,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'smart door lock', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '588', '416', '571', '200', '289', '357', '416', '246', '526', '59', '285', '689', '588']}"
_0xFFF_,6555.49,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'magicfile', 'stone-game', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'thumbor 1', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB', 'where is my rop'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['357', '303', '327', '571', '327', '416', '571', '200', '289', '357', '645', '416', '246', '526', '59', '285', '588']}"
V&N,6332.78,"{'challenge_name': ['portable', 'chase', 'linuxpdf', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'supersqli', 'safe layout revenge', 'raenil', 'verified toolbox', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '327', '327', '588', '416', '571', '200', '289', '357', '416', '246', '1000', '526', '59', '285']}"
N1STAR,6265.6,"{'challenge_name': ['portable', 'chase', 'obfuscator', 'linuxpdf', 'magicfile', 'stone-game', 'encrypted chat', 'randomized random', 'nanonymous msg', 'baby layout', 'safe layout', 'safe layout revenge', 'raenil', 'nanonymous spam', 'welcome', 'EzDB'], 'challenge_category': ['Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Crypto', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Pwn'], 'challenge_points': ['357', '303', '714', '327', '571', '327', '588', '416', '571', '200', '289', '416', '246', '526', '59', '285']}"
