Place,Name,Points,Challenges
1,blue-lotus,4913,"{'challenge_name': ['prime shellcode', 'SQLite of Hand', 'H*', 'Survey', 'Cipher Preset Button', 'piercing_misty_mountain', 'Cached File Viewer 2', 'vuln-img', 'serverless', 'TSGDBinary', 'Who is the Outlier?', 'Easy?? ECDLP', 'Scattered in the fog', 'I Have Been Pwned', 'CONPASS', 'Feistel Barrier', 'Cached File Viewer', 'Warmup SQLite', 'simple calc', 'Easy? ECDLP', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'pwn', 'misc', 'cooldown', 'web', 'pwn', 'misc', 'pwn', 'reversing', 'reversing', 'crypto', 'crypto', 'misc', 'web', 'crypto', 'crypto', 'misc', 'reversing', 'misc', 'crypto', 'pwn', 'crypto', 'reversing', 'web', 'Warmup'], 'challenge_points': ['210', '393', '393', '1', '210', '179', '206', '166', '221', '205', '227', '393', '278', '189', '290', '150', '113', '189', '156', '197', '108', '125', '114', '100', '100'], 'solve_time': ['2024-12-15T00:38:13.128Z', '2024-12-14T22:00:55.234Z', '2024-12-14T20:17:36.306Z', '2024-12-14T20:02:45.728Z', '2024-12-14T19:06:18.201Z', '2024-12-14T18:21:36.739Z', '2024-12-14T17:53:25.374Z', '2024-12-14T15:55:16.732Z', '2024-12-14T15:10:03.383Z', '2024-12-14T14:18:16.729Z', '2024-12-14T13:38:39.431Z', '2024-12-14T13:13:03.808Z', '2024-12-14T13:03:24.675Z', '2024-12-14T12:41:54.445Z', '2024-12-14T12:26:08.058Z', '2024-12-14T11:28:57.657Z', '2024-12-14T09:16:07.073Z', '2024-12-14T08:54:02.293Z', '2024-12-14T08:45:01.560Z', '2024-12-14T08:13:56.914Z', '2024-12-14T07:45:59.606Z', '2024-12-14T07:32:33.515Z', '2024-12-14T07:24:59.460Z', '2024-12-14T07:08:43.714Z', '2024-12-14T07:00:29.529Z']}"
2,DiceGang,4432,"{'challenge_name': ['H*', 'TSGDBinary', 'FL_Support_Center', 'CONPASS', 'serverless', 'Warmup SQLite', 'Cached File Viewer 2', 'Survey', 'prime shellcode', 'Who is the Outlier?', 'Easy? ECDLP', 'Feistel Barrier', 'Cipher Preset Button', 'Scattered in the fog', 'piercing_misty_mountain', 'Mystery of Scattered Key', 'vuln-img', 'I Have Been Pwned', 'Cached File Viewer', 'simple calc', 'Misbehave', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'pwn', 'crypto', 'reversing', 'reversing', 'misc', 'cooldown', 'misc', 'crypto', 'crypto', 'crypto', 'web', 'misc', 'pwn', 'crypto', 'pwn', 'web', 'misc', 'misc', 'reversing', 'pwn', 'web', 'Warmup'], 'challenge_points': ['393', '205', '305', '290', '221', '189', '206', '1', '210', '227', '197', '150', '210', '278', '179', '125', '166', '189', '113', '156', '114', '108', '100', '100'], 'solve_time': ['2024-12-15T02:17:23.321Z', '2024-12-15T00:54:02.141Z', '2024-12-15T00:27:40.716Z', '2024-12-14T18:28:02.876Z', '2024-12-14T18:19:20.486Z', '2024-12-14T17:17:47.514Z', '2024-12-14T17:03:03.658Z', '2024-12-14T15:46:14.593Z', '2024-12-14T15:45:09.667Z', '2024-12-14T15:18:22.277Z', '2024-12-14T13:50:35.400Z', '2024-12-14T13:39:44.418Z', '2024-12-14T13:16:10.928Z', '2024-12-14T12:24:30.511Z', '2024-12-14T12:01:44.818Z', '2024-12-14T11:13:05.545Z', '2024-12-14T10:22:48.339Z', '2024-12-14T10:19:54.504Z', '2024-12-14T10:10:21.351Z', '2024-12-14T08:49:30.588Z', '2024-12-14T08:26:54.819Z', '2024-12-14T07:18:25.758Z', '2024-12-14T07:01:53.161Z', '2024-12-14T07:01:35.096Z']}"
3,SUSH1st,4432,"{'challenge_name': ['H*', 'FL_Support_Center', 'Cipher Preset Button', 'prime shellcode', 'serverless', 'Cached File Viewer 2', 'vuln-img', 'TSGDBinary', 'I Have Been Pwned', 'Survey', 'piercing_misty_mountain', 'Who is the Outlier?', 'Scattered in the fog', 'CONPASS', 'Feistel Barrier', 'Easy? ECDLP', 'Cached File Viewer', 'simple calc', 'Mystery of Scattered Key', 'Misbehave', 'Password-Ate-Quiz', 'Warmup SQLite', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'pwn', 'web', 'misc', 'reversing', 'misc', 'pwn', 'reversing', 'web', 'cooldown', 'pwn', 'crypto', 'misc', 'crypto', 'crypto', 'crypto', 'misc', 'misc', 'crypto', 'reversing', 'pwn', 'reversing', 'web', 'Warmup'], 'challenge_points': ['393', '305', '210', '210', '221', '206', '166', '205', '189', '1', '179', '227', '278', '290', '150', '197', '113', '156', '125', '114', '108', '189', '100', '100'], 'solve_time': ['2024-12-15T06:57:43.067Z', '2024-12-15T05:16:33.196Z', '2024-12-15T01:42:10.796Z', '2024-12-14T21:30:01.881Z', '2024-12-14T18:14:25.737Z', '2024-12-14T17:49:39.362Z', '2024-12-14T17:30:06.912Z', '2024-12-14T16:43:39.842Z', '2024-12-14T14:45:45.460Z', '2024-12-14T14:19:05.762Z', '2024-12-14T13:51:46.733Z', '2024-12-14T13:24:55.378Z', '2024-12-14T12:02:04.033Z', '2024-12-14T11:38:38.286Z', '2024-12-14T11:11:51.093Z', '2024-12-14T09:12:05.049Z', '2024-12-14T09:07:00.663Z', '2024-12-14T09:00:49.931Z', '2024-12-14T08:30:25.132Z', '2024-12-14T08:16:27.686Z', '2024-12-14T07:58:53.061Z', '2024-12-14T07:50:08.177Z', '2024-12-14T07:06:03.099Z', '2024-12-14T07:01:19.545Z']}"
4,no,rev/pwn,"{'challenge_name': ['Cached File Viewer 2', 'Easy?? ECDLP', 'SQLite of Hand', 'serverless', 'Scattered in the fog', 'I Have Been Pwned', 'prime shellcode', 'CONPASS', 'TSGDBinary', 'Survey', 'Who is the Outlier?', 'piercing_misty_mountain', 'Feistel Barrier', 'vuln-img', 'Warmup SQLite', 'Cached File Viewer', 'simple calc', 'Misbehave', 'Toolong Tea', 'Easy? ECDLP', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['misc', 'crypto', 'pwn', 'reversing', 'misc', 'web', 'misc', 'crypto', 'reversing', 'cooldown', 'crypto', 'pwn', 'crypto', 'pwn', 'reversing', 'misc', 'misc', 'reversing', 'web', 'crypto', 'pwn', 'crypto', 'Warmup'], 'challenge_points': ['206', '393', '393', '221', '278', '189', '210', '290', '205', '1', '227', '179', '150', '166', '189', '113', '156', '114', '100', '197', '108', '125', '100'], 'solve_time': ['2024-12-15T06:14:56.784Z', '2024-12-15T01:49:59.670Z', '2024-12-14T20:49:57.075Z', '2024-12-14T20:35:35.893Z', '2024-12-14T18:40:45.408Z', '2024-12-14T17:26:10.659Z', '2024-12-14T16:28:29.251Z', '2024-12-14T15:14:35.233Z', '2024-12-14T14:48:51.298Z', '2024-12-14T14:12:18.862Z', '2024-12-14T13:44:13.169Z', '2024-12-14T12:15:18.195Z', '2024-12-14T11:25:12.628Z', '2024-12-14T10:22:32.275Z', '2024-12-14T10:15:09.894Z', '2024-12-14T09:46:55.497Z', '2024-12-14T09:18:35.412Z', '2024-12-14T09:04:17.882Z', '2024-12-14T08:42:58.285Z', '2024-12-14T08:09:49.757Z', '2024-12-14T07:55:07.261Z', '2024-12-14T07:47:38.318Z', '2024-12-14T07:02:27.120Z']}"
5,BunkyoWesterns,4036,"{'challenge_name': ['Easy?? ECDLP', 'TSGDBinary', 'prime shellcode', 'Cached File Viewer 2', 'FL_Support_Center', 'piercing_misty_mountain', 'SQLite of Hand', 'Survey', 'Who is the Outlier?', 'Cipher Preset Button', 'vuln-img', 'I Have Been Pwned', 'Feistel Barrier', 'Cached File Viewer', 'simple calc', 'Warmup SQLite', 'Easy? ECDLP', 'Password-Ate-Quiz', 'Misbehave', 'Sanity Check', 'Toolong Tea', 'Mystery of Scattered Key'], 'challenge_category': ['crypto', 'reversing', 'misc', 'misc', 'pwn', 'pwn', 'pwn', 'cooldown', 'crypto', 'web', 'pwn', 'web', 'crypto', 'misc', 'misc', 'reversing', 'crypto', 'pwn', 'reversing', 'Warmup', 'web', 'crypto'], 'challenge_points': ['393', '205', '210', '206', '305', '179', '393', '1', '227', '210', '166', '189', '150', '113', '156', '189', '197', '108', '114', '100', '100', '125'], 'solve_time': ['2024-12-15T05:39:19.942Z', '2024-12-15T03:40:04.182Z', '2024-12-15T00:07:54.627Z', '2024-12-14T22:30:31.323Z', '2024-12-14T21:40:36.873Z', '2024-12-14T20:11:01.022Z', '2024-12-14T19:07:56.736Z', '2024-12-14T18:39:28.024Z', '2024-12-14T15:29:35.439Z', '2024-12-14T14:57:11.159Z', '2024-12-14T13:40:20.449Z', '2024-12-14T12:42:31.344Z', '2024-12-14T11:22:29.959Z', '2024-12-14T10:02:18.287Z', '2024-12-14T09:55:34.204Z', '2024-12-14T08:01:50.585Z', '2024-12-14T07:50:14.923Z', '2024-12-14T07:45:44.828Z', '2024-12-14T07:45:26.590Z', '2024-12-14T07:45:12.485Z', '2024-12-14T07:30:26.778Z', '2024-12-14T07:13:26.177Z']}"
6,".;,;.",3930,"{'challenge_name': ['SQLite of Hand', 'piercing_misty_mountain', 'Cipher Preset Button', 'Who is the Outlier?', 'prime shellcode', 'Scattered in the fog', 'serverless', 'TSGDBinary', 'CONPASS', 'I Have Been Pwned', 'Survey', 'Cached File Viewer 2', 'Feistel Barrier', 'Warmup SQLite', 'Cached File Viewer', 'vuln-img', 'simple calc', 'Password-Ate-Quiz', 'Misbehave', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'pwn', 'web', 'crypto', 'misc', 'misc', 'reversing', 'reversing', 'crypto', 'web', 'cooldown', 'misc', 'crypto', 'reversing', 'misc', 'pwn', 'misc', 'pwn', 'reversing', 'crypto', 'web', 'Warmup'], 'challenge_points': ['393', '179', '210', '227', '210', '278', '221', '205', '290', '189', '1', '206', '150', '189', '113', '166', '156', '108', '114', '125', '100', '100'], 'solve_time': ['2024-12-15T06:11:27.105Z', '2024-12-15T05:27:37.429Z', '2024-12-15T04:30:01.818Z', '2024-12-15T03:36:38.153Z', '2024-12-15T03:20:20.984Z', '2024-12-15T03:20:16.560Z', '2024-12-15T01:51:11.034Z', '2024-12-14T22:29:53.074Z', '2024-12-14T22:13:17.313Z', '2024-12-14T21:36:59.326Z', '2024-12-14T21:06:36.708Z', '2024-12-14T20:57:52.485Z', '2024-12-14T20:24:47.999Z', '2024-12-14T19:40:54.288Z', '2024-12-14T19:10:30.353Z', '2024-12-14T13:07:18.271Z', '2024-12-14T08:44:00.030Z', '2024-12-14T07:38:32.746Z', '2024-12-14T07:38:06.066Z', '2024-12-14T07:26:39.018Z', '2024-12-14T07:10:04.784Z', '2024-12-14T07:00:19.032Z']}"
7,./Vespiary,3534,"{'challenge_name': ['serverless', 'TSGDBinary', 'Cached File Viewer 2', 'Warmup SQLite', 'Misbehave', 'FL_Support_Center', 'Cached File Viewer', 'piercing_misty_mountain', 'vuln-img', 'Password-Ate-Quiz', 'prime shellcode', 'Survey', 'Feistel Barrier', 'Cipher Preset Button', 'CONPASS', 'I Have Been Pwned', 'Easy? ECDLP', 'Toolong Tea', 'simple calc', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['reversing', 'reversing', 'misc', 'reversing', 'reversing', 'pwn', 'misc', 'pwn', 'pwn', 'pwn', 'misc', 'cooldown', 'crypto', 'web', 'crypto', 'web', 'crypto', 'web', 'misc', 'crypto', 'Warmup'], 'challenge_points': ['221', '205', '206', '189', '114', '305', '113', '179', '166', '108', '210', '1', '150', '210', '290', '189', '197', '100', '156', '125', '100'], 'solve_time': ['2024-12-15T06:47:21.126Z', '2024-12-15T06:16:21.822Z', '2024-12-15T05:17:24.891Z', '2024-12-15T03:33:01.590Z', '2024-12-15T02:05:44.196Z', '2024-12-14T23:42:58.787Z', '2024-12-14T21:05:13.355Z', '2024-12-14T19:40:35.951Z', '2024-12-14T19:05:28.286Z', '2024-12-14T18:00:55.223Z', '2024-12-14T17:35:33.221Z', '2024-12-14T14:30:11.133Z', '2024-12-14T14:28:52.478Z', '2024-12-14T14:19:19.730Z', '2024-12-14T12:57:27.172Z', '2024-12-14T10:23:50.472Z', '2024-12-14T09:29:51.860Z', '2024-12-14T08:28:14.102Z', '2024-12-14T08:14:47.208Z', '2024-12-14T08:10:50.234Z', '2024-12-14T07:01:24.955Z']}"
8,MNGA,3432,"{'challenge_name': ['I Have Been Pwned', 'Easy?? ECDLP', 'serverless', 'CONPASS', 'prime shellcode', 'Who is the Outlier?', 'TSGDBinary', 'Warmup SQLite', 'simple calc', 'piercing_misty_mountain', 'Feistel Barrier', 'Cached File Viewer', 'vuln-img', 'Misbehave', 'Easy? ECDLP', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['web', 'crypto', 'reversing', 'crypto', 'misc', 'crypto', 'reversing', 'reversing', 'misc', 'pwn', 'crypto', 'misc', 'pwn', 'reversing', 'crypto', 'pwn', 'crypto', 'web', 'Warmup'], 'challenge_points': ['189', '393', '221', '290', '210', '227', '205', '189', '156', '179', '150', '113', '166', '114', '197', '108', '125', '100', '100'], 'solve_time': ['2024-12-15T05:17:07.119Z', '2024-12-15T03:13:38.010Z', '2024-12-14T18:10:51.447Z', '2024-12-14T17:52:51.873Z', '2024-12-14T16:36:02.659Z', '2024-12-14T14:36:45.416Z', '2024-12-14T14:10:12.388Z', '2024-12-14T13:11:34.634Z', '2024-12-14T12:11:37.801Z', '2024-12-14T11:50:29.500Z', '2024-12-14T11:41:44.974Z', '2024-12-14T10:54:25.020Z', '2024-12-14T10:33:16.687Z', '2024-12-14T08:05:19.603Z', '2024-12-14T07:32:43.577Z', '2024-12-14T07:24:39.313Z', '2024-12-14T07:15:51.989Z', '2024-12-14T07:05:06.786Z', '2024-12-14T07:00:35.801Z']}"
9,Infobahn,3223,"{'challenge_name': ['Survey', 'TSGDBinary', 'Cached File Viewer 2', 'Warmup SQLite', 'simple calc', 'Feistel Barrier', 'Scattered in the fog', 'Easy? ECDLP', 'piercing_misty_mountain', 'Who is the Outlier?', 'prime shellcode', 'Cipher Preset Button', 'vuln-img', 'Misbehave', 'Cached File Viewer', 'Password-Ate-Quiz', 'I Have Been Pwned', 'Toolong Tea', 'Sanity Check', 'Mystery of Scattered Key'], 'challenge_category': ['cooldown', 'reversing', 'misc', 'reversing', 'misc', 'crypto', 'misc', 'crypto', 'pwn', 'crypto', 'misc', 'web', 'pwn', 'reversing', 'misc', 'pwn', 'web', 'web', 'Warmup', 'crypto'], 'challenge_points': ['1', '205', '206', '189', '156', '150', '278', '197', '179', '227', '210', '210', '166', '114', '113', '108', '189', '100', '100', '125'], 'solve_time': ['2024-12-15T05:47:51.098Z', '2024-12-15T05:41:30.314Z', '2024-12-14T22:36:10.179Z', '2024-12-14T19:01:22.406Z', '2024-12-14T18:21:17.915Z', '2024-12-14T18:10:17.590Z', '2024-12-14T17:40:19.711Z', '2024-12-14T17:36:49.288Z', '2024-12-14T17:08:45.634Z', '2024-12-14T17:03:09.868Z', '2024-12-14T16:56:50.967Z', '2024-12-14T15:31:11.346Z', '2024-12-14T13:57:58.294Z', '2024-12-14T13:18:12.891Z', '2024-12-14T09:59:16.576Z', '2024-12-14T09:54:23.676Z', '2024-12-14T09:45:29.384Z', '2024-12-14T07:19:05.871Z', '2024-12-14T07:17:35.190Z', '2024-12-14T07:16:08.223Z']}"
10,The,Flat,"{'challenge_name': ['TSGDBinary', 'serverless', 'Cached File Viewer 2', 'CONPASS', 'Who is the Outlier?', 'simple calc', 'piercing_misty_mountain', 'Cipher Preset Button', 'Warmup SQLite', 'Feistel Barrier', 'vuln-img', 'I Have Been Pwned', 'Cached File Viewer', 'Sanity Check', 'Misbehave', 'Mystery of Scattered Key', 'Toolong Tea', 'Password-Ate-Quiz'], 'challenge_category': ['reversing', 'reversing', 'misc', 'crypto', 'crypto', 'misc', 'pwn', 'web', 'reversing', 'crypto', 'pwn', 'web', 'misc', 'Warmup', 'reversing', 'crypto', 'web', 'pwn'], 'challenge_points': ['205', '221', '206', '290', '227', '156', '179', '210', '189', '150', '166', '189', '113', '100', '114', '125', '100', '108'], 'solve_time': ['2024-12-15T03:05:32.558Z', '2024-12-14T23:25:04.303Z', '2024-12-14T20:32:22.516Z', '2024-12-14T18:15:25.201Z', '2024-12-14T17:21:03.657Z', '2024-12-14T15:33:34.254Z', '2024-12-14T14:11:38.082Z', '2024-12-14T13:43:14.645Z', '2024-12-14T12:53:24.289Z', '2024-12-14T12:14:44.783Z', '2024-12-14T11:57:22.897Z', '2024-12-14T11:34:20.796Z', '2024-12-14T10:41:59.622Z', '2024-12-14T10:28:56.041Z', '2024-12-14T10:18:12.744Z', '2024-12-14T10:02:05.365Z', '2024-12-14T08:26:48.715Z', '2024-12-14T08:14:58.732Z']}"
