name,points,challenge
iwasaba,4531,"{'challenge_name': ['hidden_wpath', 'xortsukushift', 'flash', 'YAMLwaf', 'buildings', 'destroyed', 'rider', 'len_len', 'power', 'PQC1', 'schnee', 'curve', 'Casca', 'new_era', 'xcache', 'PQC0', 'a8tsukuctf', 'easy_kernel', 'welcome'], 'challenge_category': ['osint', 'crypto', 'web', 'web', 'osint', 'osint', 'osint', 'web', 'osint', 'crypto', 'osint', 'osint', 'osint', 'pwn', 'pwn', 'crypto', 'crypto', 'pwn', 'tsukushi'], 'challenge_points': ['496', '473', '100', '375', '100', '100', '100', '100', '100', '490', '100', '100', '100', '500', '500', '100', '100', '497', '100'], 'solve_time': ['2025-05-04T00:39:35.833783Z', '2025-05-03T13:58:44.611064Z', '2025-05-03T13:50:00.307111Z', '2025-05-03T13:36:37.721774Z', '2025-05-03T13:00:57.598993Z', '2025-05-03T12:43:43.757086Z', '2025-05-03T12:34:57.422298Z', '2025-05-03T09:32:27.456834Z', '2025-05-03T08:46:37.840831Z', '2025-05-03T08:22:35.543405Z', '2025-05-03T08:18:25.252664Z', '2025-05-03T08:09:43.584165Z', '2025-05-03T07:54:52.757863Z', '2025-05-03T07:45:22.050012Z', '2025-05-03T06:38:10.484999Z', '2025-05-03T06:05:48.752891Z', '2025-05-03T05:15:04.958254Z', '2025-05-03T04:26:41.629524Z', '2025-05-03T03:08:34.882394Z']}"
BunkyoWesterns,4035,"{'challenge_name': ['PQC1', 'YAMLwaf', 'PQC0', 'xortsukushift', 'flash', 'xcache', 'new_era', 'a8tsukuctf', 'rider', 'destroyed', 'power', 'buildings', 'easy_kernel', 'schnee', 'curve', 'Casca', 'len_len', 'welcome'], 'challenge_category': ['crypto', 'web', 'crypto', 'crypto', 'web', 'pwn', 'pwn', 'crypto', 'osint', 'osint', 'osint', 'osint', 'pwn', 'osint', 'osint', 'osint', 'web', 'tsukushi'], 'challenge_points': ['490', '375', '100', '473', '100', '500', '500', '100', '100', '100', '100', '100', '497', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T18:53:14.161767Z', '2025-05-03T16:59:32.813453Z', '2025-05-03T10:11:15.600171Z', '2025-05-03T08:58:38.313920Z', '2025-05-03T07:52:38.823944Z', '2025-05-03T06:05:59.690374Z', '2025-05-03T05:46:23.324211Z', '2025-05-03T05:39:55.374286Z', '2025-05-03T04:46:28.399318Z', '2025-05-03T04:29:09.180693Z', '2025-05-03T04:24:19.108416Z', '2025-05-03T03:39:33.427901Z', '2025-05-03T03:22:10.508931Z', '2025-05-03T03:20:08.059764Z', '2025-05-03T03:13:08.438698Z', '2025-05-03T03:11:28.267646Z', '2025-05-03T03:05:10.030971Z', '2025-05-03T03:00:30.417888Z']}"
sknb,3545,"{'challenge_name': ['PQC0', 'buildings', 'new_era', 'power', 'destroyed', 'schnee', 'rider', 'xortsukushift', 'a8tsukuctf', 'YAMLwaf', 'xcache', 'easy_kernel', 'flash', 'curve', 'Casca', 'len_len', 'welcome'], 'challenge_category': ['crypto', 'osint', 'pwn', 'osint', 'osint', 'osint', 'osint', 'crypto', 'crypto', 'web', 'pwn', 'pwn', 'web', 'osint', 'osint', 'web', 'tsukushi'], 'challenge_points': ['100', '100', '500', '100', '100', '100', '100', '473', '100', '375', '500', '497', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T22:11:09.675533Z', '2025-05-03T21:22:52.443755Z', '2025-05-03T21:02:59.401159Z', '2025-05-03T20:35:42.139197Z', '2025-05-03T18:15:00.504584Z', '2025-05-03T17:58:28.824784Z', '2025-05-03T17:38:38.805544Z', '2025-05-03T15:37:14.766522Z', '2025-05-03T15:08:57.410796Z', '2025-05-03T14:42:56.138567Z', '2025-05-03T13:36:38.238370Z', '2025-05-03T12:41:10.829193Z', '2025-05-03T10:33:38.342575Z', '2025-05-03T03:39:53.667922Z', '2025-05-03T03:37:47.410670Z', '2025-05-03T03:23:02.823134Z', '2025-05-03T03:18:19.373602Z']}"
Perperikon,3535,"{'challenge_name': ['YAMLwaf', 'PQC1', 'xcache', 'power', 'xortsukushift', 'easy_kernel', 'destroyed', 'rider', 'buildings', 'schnee', 'curve', 'flash', 'Casca', 'PQC0', 'a8tsukuctf', 'len_len', 'welcome'], 'challenge_category': ['web', 'crypto', 'pwn', 'osint', 'crypto', 'pwn', 'osint', 'osint', 'osint', 'osint', 'osint', 'web', 'osint', 'crypto', 'crypto', 'web', 'tsukushi'], 'challenge_points': ['375', '490', '500', '100', '473', '497', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T20:46:45.732406Z', '2025-05-03T20:41:26.506223Z', '2025-05-03T18:29:10.124829Z', '2025-05-03T16:42:56.362519Z', '2025-05-03T14:40:07.380163Z', '2025-05-03T13:49:19.659619Z', '2025-05-03T12:09:06.233392Z', '2025-05-03T10:33:31.672450Z', '2025-05-03T10:23:09.724285Z', '2025-05-03T09:45:33.142162Z', '2025-05-03T09:05:14.099388Z', '2025-05-03T08:52:35.405085Z', '2025-05-03T08:44:14.100543Z', '2025-05-03T08:20:15.828375Z', '2025-05-03T06:25:52.922117Z', '2025-05-03T06:23:06.735374Z', '2025-05-03T05:12:28.283020Z']}"
完全に理解した,3531,"{'challenge_name': ['easy_kernel', 'xortsukushift', 'hidden_wpath', 'PQC1', 'a8tsukuctf', 'YAMLwaf', 'flash', 'PQC0', 'rider', 'power', 'schnee', 'destroyed', 'buildings', 'Casca', 'curve', 'len_len', 'welcome'], 'challenge_category': ['pwn', 'crypto', 'osint', 'crypto', 'crypto', 'web', 'web', 'crypto', 'osint', 'osint', 'osint', 'osint', 'osint', 'osint', 'osint', 'web', 'tsukushi'], 'challenge_points': ['497', '473', '496', '490', '100', '375', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T15:40:50.180406Z', '2025-05-03T15:00:14.597122Z', '2025-05-03T13:18:01.524420Z', '2025-05-03T11:23:17.167513Z', '2025-05-03T09:18:23.316519Z', '2025-05-03T08:57:16.369844Z', '2025-05-03T08:37:11.658992Z', '2025-05-03T06:59:47.912010Z', '2025-05-03T05:47:07.994247Z', '2025-05-03T04:52:04.271114Z', '2025-05-03T03:56:21.220531Z', '2025-05-03T03:38:10.199922Z', '2025-05-03T03:34:10.574857Z', '2025-05-03T03:15:39.422998Z', '2025-05-03T03:11:42.026313Z', '2025-05-03T03:04:11.027930Z', '2025-05-03T03:00:37.194654Z']}"
RabbitHorse,3034,"{'challenge_name': ['PQC1', 'xortsukushift', 'hidden_wpath', 'YAMLwaf', 'flash', 'destroyed', 'rider', 'power', 'schnee', 'PQC0', 'buildings', 'a8tsukuctf', 'Casca', 'curve', 'len_len', 'welcome'], 'challenge_category': ['crypto', 'crypto', 'osint', 'web', 'web', 'osint', 'osint', 'osint', 'osint', 'crypto', 'osint', 'crypto', 'osint', 'osint', 'web', 'tsukushi'], 'challenge_points': ['490', '473', '496', '375', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T19:03:12.058054Z', '2025-05-03T18:33:24.405332Z', '2025-05-03T17:02:53.739207Z', '2025-05-03T14:09:32.754368Z', '2025-05-03T09:26:34.928331Z', '2025-05-03T07:41:05.935579Z', '2025-05-03T06:35:34.599395Z', '2025-05-03T05:51:08.346851Z', '2025-05-03T04:52:59.032452Z', '2025-05-03T04:50:07.054235Z', '2025-05-03T04:29:20.318877Z', '2025-05-03T04:25:47.541220Z', '2025-05-03T03:15:20.262774Z', '2025-05-03T03:07:59.410035Z', '2025-05-03T03:06:47.280183Z', '2025-05-03T03:00:40.424411Z']}"
cktf9,3034,"{'challenge_name': ['PQC1', 'YAMLwaf', 'flash', 'xortsukushift', 'hidden_wpath', 'PQC0', 'a8tsukuctf', 'power', 'len_len', 'rider', 'destroyed', 'buildings', 'curve', 'schnee', 'Casca', 'welcome'], 'challenge_category': ['crypto', 'web', 'web', 'crypto', 'osint', 'crypto', 'crypto', 'osint', 'web', 'osint', 'osint', 'osint', 'osint', 'osint', 'osint', 'tsukushi'], 'challenge_points': ['490', '375', '100', '473', '496', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-04T00:17:13.335219Z', '2025-05-03T09:03:30.176344Z', '2025-05-03T08:05:29.746915Z', '2025-05-03T06:39:19.718469Z', '2025-05-03T06:13:43.469495Z', '2025-05-03T06:01:53.085787Z', '2025-05-03T05:09:18.584299Z', '2025-05-03T04:23:13.394925Z', '2025-05-03T04:20:14.526678Z', '2025-05-03T04:14:41.753676Z', '2025-05-03T03:59:14.960479Z', '2025-05-03T03:44:14.152847Z', '2025-05-03T03:15:56.563610Z', '2025-05-03T03:11:33.093319Z', '2025-05-03T03:08:02.670176Z', '2025-05-03T03:01:57.566581Z']}"
zscq,3034,"{'challenge_name': ['PQC1', 'hidden_wpath', 'rider', 'schnee', 'PQC0', 'YAMLwaf', 'xortsukushift', 'flash', 'a8tsukuctf', 'destroyed', 'buildings', 'curve', 'len_len', 'Casca', 'power', 'welcome'], 'challenge_category': ['crypto', 'osint', 'osint', 'osint', 'crypto', 'web', 'crypto', 'web', 'crypto', 'osint', 'osint', 'osint', 'web', 'osint', 'osint', 'tsukushi'], 'challenge_points': ['490', '496', '100', '100', '100', '375', '473', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-04T02:26:52.784589Z', '2025-05-04T01:49:02.467681Z', '2025-05-04T01:06:57.747699Z', '2025-05-03T16:34:33.717154Z', '2025-05-03T16:13:16.341871Z', '2025-05-03T14:43:14.953770Z', '2025-05-03T14:04:55.251114Z', '2025-05-03T13:44:06.247890Z', '2025-05-03T07:38:51.043030Z', '2025-05-03T06:19:15.439091Z', '2025-05-03T04:26:11.637952Z', '2025-05-03T04:05:08.753049Z', '2025-05-03T04:04:22.729441Z', '2025-05-03T03:52:42.545651Z', '2025-05-03T03:26:42.447979Z', '2025-05-03T03:04:08.113651Z']}"
The power of Elijah,2735,"{'challenge_name': ['PQC1', 'xortsukushift', 'easy_kernel', 'PQC0', 'destroyed', 'a8tsukuctf', 'Casca', 'schnee', 'YAMLwaf', 'curve', 'flash', 'len_len', 'welcome'], 'challenge_category': ['crypto', 'crypto', 'pwn', 'crypto', 'osint', 'crypto', 'osint', 'osint', 'web', 'osint', 'web', 'web', 'tsukushi'], 'challenge_points': ['490', '473', '497', '100', '100', '100', '100', '100', '375', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T22:16:10.883147Z', '2025-05-03T20:09:29.651053Z', '2025-05-03T19:41:13.179762Z', '2025-05-03T18:56:08.475445Z', '2025-05-03T17:09:52.842824Z', '2025-05-03T16:40:17.304964Z', '2025-05-03T15:00:37.541645Z', '2025-05-03T14:57:04.424904Z', '2025-05-03T14:28:38.301558Z', '2025-05-03T14:10:12.178550Z', '2025-05-03T13:38:25.835225Z', '2025-05-03T12:53:16.283203Z', '2025-05-03T12:47:53.542030Z']}"
meaningful_morning,2544,"{'challenge_name': ['xortsukushift', 'hidden_wpath', 'YAMLwaf', 'flash', 'PQC0', 'a8tsukuctf', 'destroyed', 'rider', 'power', 'buildings', 'schnee', 'len_len', 'Casca', 'curve', 'welcome'], 'challenge_category': ['crypto', 'osint', 'web', 'web', 'crypto', 'crypto', 'osint', 'osint', 'osint', 'osint', 'osint', 'web', 'osint', 'osint', 'tsukushi'], 'challenge_points': ['473', '496', '375', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-05-03T12:24:37.970541Z', '2025-05-03T09:55:42.062383Z', '2025-05-03T09:23:57.890074Z', '2025-05-03T08:53:00.306188Z', '2025-05-03T06:14:44.660711Z', '2025-05-03T05:39:45.463943Z', '2025-05-03T05:27:28.039327Z', '2025-05-03T05:03:02.705666Z', '2025-05-03T04:43:56.785770Z', '2025-05-03T04:00:14.220132Z', '2025-05-03T03:44:23.712606Z', '2025-05-03T03:29:54.025470Z', '2025-05-03T03:13:02.520103Z', '2025-05-03T03:10:31.450402Z', '2025-05-03T03:00:46.449942Z']}"
