name,points,challenge
".;,;.",16666,"{'challenge_name': ['off-by-one-error', 'italian-ai-brainrot', 'literally-1985', 'survey', 'top-ten-craziest-x86-instructions', 'bron coin', 'prime-sponsorship', 'bedrock-block', 'aura', 'obsidian-block', 'literally-1984', 'one-write', 'prison-realm', 'cmsc433', 'the-blueprint', 'finished', 'spindle', 'cmsc351', 'A Minecraft Movie', 'square-up', 'ls', 'gambling2', 'unfinished', 'gerard-manley-hopkins', 'beauty', 'brainrot13', 'talk-tuah', 'evaldle', 'the-master', 'sunshine', 'the-mini', 'tiktok-ban-revenge', 'gambling', 'Steve Le Poisson', 'alien-transmission', 'sudoku', 'swag-like-ohio', 'brainrot-dictionary', 'find the seeds', 'suspicious-button', 'deobfuscation', 'tiktok-ban', 'sanity-check'], 'challenge_category': ['pwn', 'misc', 'pwn', 'misc', 'rev', 'crypto', 'crypto', 'crypto', 'pwn', 'crypto', 'pwn', 'pwn', 'pwn', 'rev', 'ohio', 'pwn', 'nyt', 'rev', 'web', 'crypto', 'rev', 'pwn', 'pwn', 'ohio', 'ohio', 'crypto', 'misc', 'nyt', 'ohio', 'ohio', 'nyt', 'misc', 'web', 'web', 'misc', 'nyt', 'ohio', 'web', 'misc', 'misc', 'rev', 'misc', 'misc'], 'challenge_points': ['497', '499', '493', '10', '492', '491', '486', '499', '438', '449', '475', '494', '486', '490', '438', '496', '486', '465', '455', '392', '460', '306', '420', '366', '299', '357', '488', '462', '245', '217', '429', '452', '487', '369', '445', '375', '150', '295', '205', '379', '111', '268', '50'], 'solve_time': ['20 hours ago', '20 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
Never Stop Exploiting,15678,"{'challenge_name': ['the-blueprint', 'finished', 'talk-tuah', 'bron coin', 'top-ten-craziest-x86-instructions', 'A Minecraft Movie', 'off-by-one-error', 'italian-ai-brainrot', 'tiktok-ban-revenge', 'cover-yourself-in-oil', 'survey', 'spindle', 'aura', 'one-write', 'literally-1984', 'gerard-manley-hopkins', 'evaldle', 'the-mini', 'prison-realm', 'prime-sponsorship', 'obsidian-block', 'beauty', 'ls', 'alien-transmission', 'cmsc433', 'cmsc351', 'Steve Le Poisson', 'the-master', 'sunshine', 'swag-like-ohio', 'sudoku', 'unfinished', 'gambling2', 'brainrot-dictionary', 'square-up', 'suspicious-button', 'find the seeds', 'tiktok-ban', 'brainrot13', 'deobfuscation', 'sanity-check'], 'challenge_category': ['ohio', 'pwn', 'misc', 'crypto', 'rev', 'web', 'pwn', 'misc', 'misc', 'crypto', 'misc', 'nyt', 'pwn', 'pwn', 'pwn', 'ohio', 'nyt', 'nyt', 'pwn', 'crypto', 'crypto', 'ohio', 'rev', 'misc', 'rev', 'rev', 'web', 'ohio', 'ohio', 'ohio', 'nyt', 'pwn', 'pwn', 'web', 'crypto', 'misc', 'misc', 'misc', 'crypto', 'rev', 'misc'], 'challenge_points': ['438', '496', '488', '491', '492', '455', '497', '499', '452', '491', '10', '486', '438', '494', '475', '366', '462', '429', '486', '486', '449', '299', '460', '445', '490', '465', '369', '245', '217', '150', '375', '420', '306', '295', '392', '379', '205', '268', '357', '111', '50'], 'solve_time': ['22 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
Infobahn,15662,"{'challenge_name': ['one-write', 'cmsc433', 'finished', 'bron coin', 'cover-yourself-in-oil', 'literally-1985', 'aura', 'survey', 'top-ten-craziest-x86-instructions', 'gambling', 'talk-tuah', 'prison-realm', 'unfinished', 'prime-sponsorship', 'gambling2', 'spindle', 'gerard-manley-hopkins', 'tiktok-ban-revenge', 'obsidian-block', 'alien-transmission', 'A Minecraft Movie', 'cmsc351', 'ls', 'the-blueprint', 'Steve Le Poisson', 'the-master', 'sunshine', 'literally-1984', 'beauty', 'swag-like-ohio', 'sudoku', 'the-mini', 'tiktok-ban', 'brainrot13', 'evaldle', 'square-up', 'find the seeds', 'suspicious-button', 'brainrot-dictionary', 'deobfuscation', 'sanity-check'], 'challenge_category': ['pwn', 'rev', 'pwn', 'crypto', 'crypto', 'pwn', 'pwn', 'misc', 'rev', 'web', 'misc', 'pwn', 'pwn', 'crypto', 'pwn', 'nyt', 'ohio', 'misc', 'crypto', 'misc', 'web', 'rev', 'rev', 'ohio', 'web', 'ohio', 'ohio', 'pwn', 'ohio', 'ohio', 'nyt', 'nyt', 'misc', 'crypto', 'nyt', 'crypto', 'misc', 'misc', 'web', 'rev', 'misc'], 'challenge_points': ['494', '490', '496', '491', '491', '493', '438', '10', '492', '487', '488', '486', '420', '486', '306', '486', '366', '452', '449', '445', '455', '465', '460', '438', '369', '245', '217', '475', '299', '150', '375', '429', '268', '357', '462', '392', '205', '379', '295', '111', '50'], 'solve_time': ['23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
SNI,15181,"{'challenge_name': ['top-ten-craziest-x86-instructions', 'literally-1985', 'spindle', 'bron coin', 'survey', 'prime-sponsorship', 'talk-tuah', 'aura', 'cmsc433', 'cmsc351', 'ls', 'literally-1984', 'off-by-one-error', 'finished', 'tiktok-ban-revenge', 'one-write', 'A Minecraft Movie', 'the-blueprint', 'prison-realm', 'evaldle', 'alien-transmission', 'gerard-manley-hopkins', 'suspicious-button', 'the-mini', 'obsidian-block', 'unfinished', 'Steve Le Poisson', 'gambling2', 'the-master', 'sudoku', 'beauty', 'sunshine', 'square-up', 'brainrot-dictionary', 'brainrot13', 'find the seeds', 'swag-like-ohio', 'sanity-check', 'tiktok-ban', 'deobfuscation'], 'challenge_category': ['rev', 'pwn', 'nyt', 'crypto', 'misc', 'crypto', 'misc', 'pwn', 'rev', 'rev', 'rev', 'pwn', 'pwn', 'pwn', 'misc', 'pwn', 'web', 'ohio', 'pwn', 'nyt', 'misc', 'ohio', 'misc', 'nyt', 'crypto', 'pwn', 'web', 'pwn', 'ohio', 'nyt', 'ohio', 'ohio', 'crypto', 'web', 'crypto', 'misc', 'ohio', 'misc', 'misc', 'rev'], 'challenge_points': ['492', '493', '486', '491', '10', '486', '488', '438', '490', '465', '460', '475', '497', '496', '452', '494', '455', '438', '486', '462', '445', '366', '379', '429', '449', '420', '369', '306', '245', '375', '299', '217', '392', '295', '357', '205', '150', '50', '268', '111'], 'solve_time': ['20 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
L3ak,14673,"{'challenge_name': ['bron coin', 'talk-tuah', 'cover-yourself-in-oil', 'spindle', 'survey', 'top-ten-craziest-x86-instructions', 'gambling', 'aura', 'evaldle', 'obsidian-block', 'A Minecraft Movie', 'prison-realm', 'prime-sponsorship', 'literally-1984', 'cmsc433', 'alien-transmission', 'unfinished', 'cmsc351', 'suspicious-button', 'one-write', 'Steve Le Poisson', 'sudoku', 'ls', 'tiktok-ban-revenge', 'find the seeds', 'the-master', 'sunshine', 'tiktok-ban', 'gerard-manley-hopkins', 'square-up', 'the-blueprint', 'brainrot-dictionary', 'beauty', 'brainrot13', 'gambling2', 'swag-like-ohio', 'the-mini', 'deobfuscation', 'sanity-check'], 'challenge_category': ['crypto', 'misc', 'crypto', 'nyt', 'misc', 'rev', 'web', 'pwn', 'nyt', 'crypto', 'web', 'pwn', 'crypto', 'pwn', 'rev', 'misc', 'pwn', 'rev', 'misc', 'pwn', 'web', 'nyt', 'rev', 'misc', 'misc', 'ohio', 'ohio', 'misc', 'ohio', 'crypto', 'ohio', 'web', 'ohio', 'crypto', 'pwn', 'ohio', 'nyt', 'rev', 'misc'], 'challenge_points': ['491', '488', '491', '486', '10', '492', '487', '438', '462', '449', '455', '486', '486', '475', '490', '445', '420', '465', '379', '494', '369', '375', '460', '452', '205', '245', '217', '268', '366', '392', '438', '295', '299', '357', '306', '150', '429', '111', '50'], 'solve_time': ['19 hours ago', '21 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
TRX,13689,"{'challenge_name': ['talk-tuah', 'the-blueprint', 'literally-1985', 'spindle', 'survey', 'alien-transmission', 'bron coin', 'aura', 'prison-realm', 'cmsc433', 'evaldle', 'the-mini', 'gerard-manley-hopkins', 'ls', 'sudoku', 'unfinished', 'tiktok-ban-revenge', 'prime-sponsorship', 'beauty', 'the-master', 'suspicious-button', 'literally-1984', 'gambling2', 'cmsc351', 'A Minecraft Movie', 'sunshine', 'swag-like-ohio', 'find the seeds', 'square-up', 'tiktok-ban', 'gambling', 'deobfuscation', 'obsidian-block', 'Steve Le Poisson', 'brainrot13', 'brainrot-dictionary', 'sanity-check'], 'challenge_category': ['misc', 'ohio', 'pwn', 'nyt', 'misc', 'misc', 'crypto', 'pwn', 'pwn', 'rev', 'nyt', 'nyt', 'ohio', 'rev', 'nyt', 'pwn', 'misc', 'crypto', 'ohio', 'ohio', 'misc', 'pwn', 'pwn', 'rev', 'web', 'ohio', 'ohio', 'misc', 'crypto', 'misc', 'web', 'rev', 'crypto', 'web', 'crypto', 'web', 'misc'], 'challenge_points': ['488', '438', '493', '486', '10', '445', '491', '438', '486', '490', '462', '429', '366', '460', '375', '420', '452', '486', '299', '245', '379', '475', '306', '465', '455', '217', '150', '205', '392', '268', '487', '111', '449', '369', '357', '295', '50'], 'solve_time': ['20 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
SNHT,13203,"{'challenge_name': ['bron coin', 'talk-tuah', 'survey', 'top-ten-craziest-x86-instructions', 'aura', 'cover-yourself-in-oil', 'literally-1984', 'alien-transmission', 'spindle', 'the-blueprint', 'tiktok-ban-revenge', 'cmsc351', 'evaldle', 'obsidian-block', 'the-mini', 'ls', 'gerard-manley-hopkins', 'suspicious-button', 'square-up', 'brainrot-dictionary', 'find the seeds', 'gambling', 'the-master', 'Steve Le Poisson', 'gambling2', 'unfinished', 'A Minecraft Movie', 'beauty', 'prime-sponsorship', 'sudoku', 'sunshine', 'brainrot13', 'swag-like-ohio', 'tiktok-ban', 'sanity-check', 'deobfuscation'], 'challenge_category': ['crypto', 'misc', 'misc', 'rev', 'pwn', 'crypto', 'pwn', 'misc', 'nyt', 'ohio', 'misc', 'rev', 'nyt', 'crypto', 'nyt', 'rev', 'ohio', 'misc', 'crypto', 'web', 'misc', 'web', 'ohio', 'web', 'pwn', 'pwn', 'web', 'ohio', 'crypto', 'nyt', 'ohio', 'crypto', 'ohio', 'misc', 'misc', 'rev'], 'challenge_points': ['491', '488', '10', '492', '438', '491', '475', '445', '486', '438', '452', '465', '462', '449', '429', '460', '366', '379', '392', '295', '205', '487', '245', '369', '306', '420', '455', '299', '486', '375', '217', '357', '150', '268', '50', '111'], 'solve_time': ['1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
gimel,12809,"{'challenge_name': ['bron coin', 'spindle', 'suspicious-button', 'gambling', 'tiktok-ban-revenge', 'alien-transmission', 'survey', 'evaldle', 'the-mini', 'literally-1985', 'tiktok-ban', 'literally-1984', 'aura', 'obsidian-block', 'off-by-one-error', 'Steve Le Poisson', 'ls', 'sudoku', 'A Minecraft Movie', 'prison-realm', 'finished', 'brainrot-dictionary', 'brainrot13', 'square-up', 'gerard-manley-hopkins', 'beauty', 'find the seeds', 'the-master', 'sunshine', 'swag-like-ohio', 'deobfuscation', 'one-write', 'gambling2', 'unfinished', 'sanity-check'], 'challenge_category': ['crypto', 'nyt', 'misc', 'web', 'misc', 'misc', 'misc', 'nyt', 'nyt', 'pwn', 'misc', 'pwn', 'pwn', 'crypto', 'pwn', 'web', 'rev', 'nyt', 'web', 'pwn', 'pwn', 'web', 'crypto', 'crypto', 'ohio', 'ohio', 'misc', 'ohio', 'ohio', 'ohio', 'rev', 'pwn', 'pwn', 'pwn', 'misc'], 'challenge_points': ['491', '486', '379', '487', '452', '445', '10', '462', '429', '493', '268', '475', '438', '449', '497', '369', '460', '375', '455', '486', '496', '295', '357', '392', '366', '299', '205', '245', '217', '150', '111', '494', '306', '420', '50'], 'solve_time': ['19 hours ago', '20 hours ago', '21 hours ago', '21 hours ago', '22 hours ago', '22 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
srdnlen,12739,"{'challenge_name': ['gambling', 'talk-tuah', 'the-blueprint', 'bedrock-block', 'aura', 'tiktok-ban-revenge', 'survey', 'bron coin', 'gerard-manley-hopkins', 'A Minecraft Movie', 'cmsc433', 'obsidian-block', 'ls', 'suspicious-button', 'find the seeds', 'tiktok-ban', 'Steve Le Poisson', 'the-master', 'prime-sponsorship', 'alien-transmission', 'cmsc351', 'unfinished', 'gambling2', 'evaldle', 'sunshine', 'cover-yourself-in-oil', 'brainrot-dictionary', 'square-up', 'swag-like-ohio', 'beauty', 'sudoku', 'the-mini', 'brainrot13', 'deobfuscation', 'sanity-check'], 'challenge_category': ['web', 'misc', 'ohio', 'crypto', 'pwn', 'misc', 'misc', 'crypto', 'ohio', 'web', 'rev', 'crypto', 'rev', 'misc', 'misc', 'misc', 'web', 'ohio', 'crypto', 'misc', 'rev', 'pwn', 'pwn', 'nyt', 'ohio', 'crypto', 'web', 'crypto', 'ohio', 'ohio', 'nyt', 'nyt', 'crypto', 'rev', 'misc'], 'challenge_points': ['487', '488', '438', '499', '438', '452', '10', '491', '366', '455', '490', '449', '460', '379', '205', '268', '369', '245', '486', '445', '465', '420', '306', '462', '217', '491', '295', '392', '150', '299', '375', '429', '357', '111', '50'], 'solve_time': ['18 hours ago', '22 hours ago', '22 hours ago', '23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
kompani klarz,12709,"{'challenge_name': ['literally-1984', 'the-blueprint', 'spindle', 'prison-realm', 'survey', 'bron coin', 'aura', 'cmsc351', 'gambling', 'cover-yourself-in-oil', 'unfinished', 'the-mini', 'A Minecraft Movie', 'tiktok-ban-revenge', 'alien-transmission', 'evaldle', 'prime-sponsorship', 'obsidian-block', 'sudoku', 'Steve Le Poisson', 'gambling2', 'brainrot-dictionary', 'ls', 'find the seeds', 'the-master', 'suspicious-button', 'gerard-manley-hopkins', 'tiktok-ban', 'square-up', 'sunshine', 'brainrot13', 'beauty', 'swag-like-ohio', 'sanity-check', 'deobfuscation'], 'challenge_category': ['pwn', 'ohio', 'nyt', 'pwn', 'misc', 'crypto', 'pwn', 'rev', 'web', 'crypto', 'pwn', 'nyt', 'web', 'misc', 'misc', 'nyt', 'crypto', 'crypto', 'nyt', 'web', 'pwn', 'web', 'rev', 'misc', 'ohio', 'misc', 'ohio', 'misc', 'crypto', 'ohio', 'crypto', 'ohio', 'ohio', 'misc', 'rev'], 'challenge_points': ['475', '438', '486', '486', '10', '491', '438', '465', '487', '491', '420', '429', '455', '452', '445', '462', '486', '449', '375', '369', '306', '295', '460', '205', '245', '379', '366', '268', '392', '217', '357', '299', '150', '50', '111'], 'solve_time': ['23 hours ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '1 day ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago', '2 days ago']}"
