name,points,challenge,elibigility
enzocut,10654,"{'challenge_name': ['soundcloud rapper', 'tictacBINGO', 'CORN', 'television', 'Survey', 'EEnemies', 'revachol', 'Authentic Stacker', 'Vault', ""D' Lo"", 'Buildings', 'tictactocket', 'Spooky Query Leaks', 'beer sales', 'Redwoods', 'unpopcorn', 'decipherium', ""Tommy's Artventures"", 'TommyCam', 'Computer Has Virus', 'pineapple', 'think_twice', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'basic rust rev', 'trynewthings', 'Reader', 'Portal', 'welcome'], 'challenge_category': ['misc', 'web', 'pwn', 'osint', 'feedback', 'misc', 'rev', 'rev', 'rev', 'crypto', 'osint', 'web', 'web', 'osint', 'misc', 'crypto', 'crypto', 'web', 'osint', 'forensics', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'rev', 'rev', 'pwn', 'pwn', 'welcome'], 'challenge_points': ['500', '470', '500', '300', '11', '493', '500', '500', '477', '465', '300', '300', '419', '300', '391', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '366', '316', '436', '300', '10'], 'solve_time': ['2024-11-03T21:31:35.313716Z', '2024-11-03T08:47:17.682175Z', '2024-11-03T06:14:02.097122Z', '2024-11-03T05:07:01.010137Z', '2024-11-03T03:34:31.339739Z', '2024-11-02T23:39:29.049582Z', '2024-11-02T19:25:01.809794Z', '2024-11-02T10:59:30.128209Z', '2024-11-02T09:41:58.049886Z', '2024-11-02T07:59:19.434243Z', '2024-11-02T07:08:17.108320Z', '2024-11-02T06:47:09.172987Z', '2024-11-02T06:10:21.483566Z', '2024-11-02T05:44:28.306713Z', '2024-11-02T05:41:44.462113Z', '2024-11-02T05:18:02.443314Z', '2024-11-02T05:11:44.443609Z', '2024-11-02T04:56:56.778052Z', '2024-11-02T04:44:16.850195Z', '2024-11-02T04:41:09.570818Z', '2024-11-02T04:35:00.573406Z', '2024-11-02T04:26:45.289917Z', '2024-11-02T04:25:13.359143Z', '2024-11-02T04:19:40.039568Z', '2024-11-02T04:15:23.276428Z', '2024-11-02T04:10:31.497359Z', '2024-11-02T03:41:39.982963Z', '2024-11-02T03:32:55.696274Z', '2024-11-02T03:26:17.265848Z', '2024-11-02T03:11:11.357589Z', '2024-11-02T03:08:49.215737Z']}","Competitive (Individual, for prizes)"
lydxn,10651,"{'challenge_name': ['Survey', 'tictacBINGO', 'television', 'Authentic Stacker', 'revachol', ""It's Not Called Data Loss Prevention"", 'soundcloud rapper', 'Vault', 'EEnemies', 'Redwoods', 'Reader', 'Portal', 'Buildings', 'beer sales', 'TommyCam', 'pineapple', 'Computer Has Virus', 'Spooky Query Leaks', 'think_twice', 'tictactocket', ""Tommy's Artventures"", 'basic rust rev', 'trynewthings', ""D' Lo"", 'decipherium', 'unpopcorn', 'concoction (rev)', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['feedback', 'web', 'osint', 'rev', 'rev', 'crypto', 'misc', 'rev', 'misc', 'misc', 'pwn', 'pwn', 'osint', 'osint', 'osint', 'forensics', 'forensics', 'web', 'forensics', 'web', 'web', 'rev', 'rev', 'crypto', 'crypto', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['11', '470', '300', '500', '500', '497', '500', '477', '493', '391', '436', '300', '300', '300', '300', '300', '300', '419', '300', '300', '300', '366', '316', '465', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T04:07:11.640049Z', '2024-11-03T03:44:24.868294Z', '2024-11-03T03:11:20.145077Z', '2024-11-03T00:10:26.374723Z', '2024-11-02T23:12:22.313304Z', '2024-11-02T10:11:41.891632Z', '2024-11-02T09:09:05.621273Z', '2024-11-02T08:44:22.798446Z', '2024-11-02T08:18:57.766499Z', '2024-11-02T07:43:16.946019Z', '2024-11-02T07:34:07.914147Z', '2024-11-02T07:16:39.082343Z', '2024-11-02T07:09:33.305980Z', '2024-11-02T06:47:17.316636Z', '2024-11-02T06:42:02.872733Z', '2024-11-02T06:38:53.993830Z', '2024-11-02T06:17:32.587259Z', '2024-11-02T06:14:18.498005Z', '2024-11-02T06:12:40.878413Z', '2024-11-02T05:34:50.216418Z', '2024-11-02T05:33:18.924225Z', '2024-11-02T05:21:46.239311Z', '2024-11-02T05:14:34.982123Z', '2024-11-02T04:11:27.172234Z', '2024-11-02T03:52:02.803951Z', '2024-11-02T03:36:54.323309Z', '2024-11-02T03:31:29.932074Z', '2024-11-02T03:27:09.376812Z', '2024-11-02T03:26:31.805202Z', '2024-11-02T03:25:35.061314Z', '2024-11-02T03:24:26.626771Z']}","Competitive (Individual, for prizes)"
flagbot,10651,"{'challenge_name': ['Survey', 'soundcloud rapper', 'tictacBINGO', 'television', 'Reader', 'Spooky Query Leaks', 'decipherium', ""D' Lo"", 'Buildings', ""It's Not Called Data Loss Prevention"", 'EEnemies', 'Vault', ""Tommy's Artventures"", 'unpopcorn', 'revachol', 'basic rust rev', 'beer sales', 'Authentic Stacker', 'Computer Has Virus', 'Portal', 'pineapple', 'tictactocket', 'iRobots (web)', 'Redwoods', 'TommyCam', 'think_twice', 'welcome', 'weirdtraffic (forensics)', 'colors (crypto)', 'trynewthings', 'concoction (rev)'], 'challenge_category': ['feedback', 'misc', 'web', 'osint', 'pwn', 'web', 'crypto', 'crypto', 'osint', 'crypto', 'misc', 'rev', 'web', 'crypto', 'rev', 'rev', 'osint', 'rev', 'forensics', 'pwn', 'forensics', 'web', 'beginner', 'misc', 'osint', 'forensics', 'welcome', 'beginner', 'beginner', 'rev', 'beginner'], 'challenge_points': ['11', '500', '470', '300', '436', '419', '300', '465', '300', '497', '493', '477', '300', '300', '500', '366', '300', '500', '300', '300', '300', '300', '300', '391', '300', '300', '10', '300', '300', '316', '300'], 'solve_time': ['2024-11-03T21:17:55.157002Z', '2024-11-03T14:09:22.973700Z', '2024-11-03T13:48:09.843335Z', '2024-11-03T04:54:00.629298Z', '2024-11-02T18:53:54.608998Z', '2024-11-02T15:04:06.079626Z', '2024-11-02T14:18:03.461270Z', '2024-11-02T13:35:25.371314Z', '2024-11-02T13:11:19.728976Z', '2024-11-02T13:06:23.460017Z', '2024-11-02T12:45:29.323328Z', '2024-11-02T12:22:40.625864Z', '2024-11-02T12:01:05.318614Z', '2024-11-02T11:53:53.708740Z', '2024-11-02T11:53:15.086905Z', '2024-11-02T11:12:08.633571Z', '2024-11-02T10:41:58.464120Z', '2024-11-02T10:24:30.937958Z', '2024-11-02T10:19:29.000953Z', '2024-11-02T09:59:03.218315Z', '2024-11-02T08:18:37.605731Z', '2024-11-02T07:41:50.136894Z', '2024-11-02T07:34:08.707611Z', '2024-11-02T07:23:24.788067Z', '2024-11-02T07:18:02.834234Z', '2024-11-02T07:09:02.393047Z', '2024-11-02T07:02:07.391638Z', '2024-11-02T06:55:04.959783Z', '2024-11-02T06:04:48.212834Z', '2024-11-02T03:32:59.989339Z', '2024-11-02T03:09:11.380526Z']}","Casual (No prizes, teams allowed)"
Brunnerne,9651,"{'challenge_name': ['CORN', 'EEnemies', 'Vault', 'television', 'tictacBINGO', 'Survey', 'concoction (rev)', ""It's Not Called Data Loss Prevention"", ""D' Lo"", 'trynewthings', 'basic rust rev', 'Spooky Query Leaks', 'unpopcorn', 'decipherium', 'Reader', 'pineapple', 'Redwoods', 'Computer Has Virus', 'Buildings', 'Portal', 'tictactocket', 'TommyCam', 'beer sales', ""Tommy's Artventures"", 'think_twice', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'welcome'], 'challenge_category': ['pwn', 'misc', 'rev', 'osint', 'web', 'feedback', 'beginner', 'crypto', 'crypto', 'rev', 'rev', 'web', 'crypto', 'crypto', 'pwn', 'forensics', 'misc', 'forensics', 'osint', 'pwn', 'web', 'osint', 'osint', 'web', 'forensics', 'beginner', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['500', '493', '477', '300', '470', '11', '300', '497', '465', '316', '366', '419', '300', '300', '436', '300', '391', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-04T00:25:54.809712Z', '2024-11-03T20:57:08.074586Z', '2024-11-03T16:31:21.734620Z', '2024-11-03T16:18:17.454197Z', '2024-11-03T16:03:44.019189Z', '2024-11-03T14:53:14.069880Z', '2024-11-03T14:22:30.399463Z', '2024-11-03T13:10:37.049571Z', '2024-11-03T10:52:48.212881Z', '2024-11-02T23:37:17.870293Z', '2024-11-02T22:59:34.506597Z', '2024-11-02T21:21:25.192967Z', '2024-11-02T19:47:23.018578Z', '2024-11-02T19:30:54.871880Z', '2024-11-02T19:13:58.870490Z', '2024-11-02T16:43:14.887174Z', '2024-11-02T16:18:03.381269Z', '2024-11-02T16:12:17.510388Z', '2024-11-02T16:02:30.442301Z', '2024-11-02T15:14:00.141286Z', '2024-11-02T14:12:03.053766Z', '2024-11-02T13:59:20.114571Z', '2024-11-02T13:54:53.297201Z', '2024-11-02T13:31:41.848745Z', '2024-11-02T13:16:43.753910Z', '2024-11-02T13:15:27.515892Z', '2024-11-02T13:12:58.235213Z', '2024-11-02T13:08:12.388933Z', '2024-11-02T12:55:46.354439Z']}","Casual (No prizes, teams allowed)"
PBR | UCLA,8684,"{'challenge_name': ['television', 'Survey', ""D' Lo"", 'Spooky Query Leaks', 'EEnemies', 'Computer Has Virus', 'Reader', 'soundcloud rapper', 'Vault', 'Redwoods', 'pineapple', 'Buildings', 'tictactocket', 'basic rust rev', 'concoction (rev)', 'unpopcorn', 'Portal', ""Tommy's Artventures"", 'trynewthings', 'decipherium', 'iRobots (web)', 'weirdtraffic (forensics)', 'think_twice', 'colors (crypto)', 'TommyCam', 'beer sales', 'welcome'], 'challenge_category': ['osint', 'feedback', 'crypto', 'web', 'misc', 'forensics', 'pwn', 'misc', 'rev', 'misc', 'forensics', 'osint', 'web', 'rev', 'beginner', 'crypto', 'pwn', 'web', 'rev', 'crypto', 'beginner', 'beginner', 'forensics', 'beginner', 'osint', 'osint', 'welcome'], 'challenge_points': ['300', '11', '465', '419', '493', '300', '436', '500', '477', '391', '300', '300', '300', '366', '300', '300', '300', '300', '316', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T03:38:39.357443Z', '2024-11-03T03:32:00.611979Z', '2024-11-03T00:35:09.662868Z', '2024-11-02T23:59:56.887792Z', '2024-11-02T23:44:05.203409Z', '2024-11-02T23:23:53.791465Z', '2024-11-02T23:21:24.032385Z', '2024-11-02T23:07:42.593736Z', '2024-11-02T23:05:50.302653Z', '2024-11-02T22:58:28.956029Z', '2024-11-02T22:11:32.767247Z', '2024-11-02T21:46:32.634675Z', '2024-11-02T21:41:18.493685Z', '2024-11-02T21:39:42.384187Z', '2024-11-02T21:05:42.236904Z', '2024-11-02T20:58:04.349299Z', '2024-11-02T20:56:59.192277Z', '2024-11-02T20:54:31.206806Z', '2024-11-02T20:45:31.775265Z', '2024-11-02T20:31:21.609080Z', '2024-11-02T20:28:48.587590Z', '2024-11-02T20:22:57.902143Z', '2024-11-02T20:11:45.502090Z', '2024-11-02T20:09:27.342195Z', '2024-11-02T19:48:25.419667Z', '2024-11-02T19:45:17.314276Z', '2024-11-02T19:38:00.303270Z']}","Casual (No prizes, teams allowed)"
ElLuke,8654,"{'challenge_name': ['tictacBINGO', 'television', 'Survey', 'Redwoods', 'EEnemies', 'Buildings', 'beer sales', 'Spooky Query Leaks', 'Reader', 'basic rust rev', 'trynewthings', 'Vault', 'tictactocket', 'Portal', 'Computer Has Virus', ""D' Lo"", 'pineapple', 'weirdtraffic (forensics)', 'concoction (rev)', 'TommyCam', 'decipherium', 'think_twice', 'unpopcorn', ""Tommy's Artventures"", 'welcome', 'colors (crypto)', 'iRobots (web)'], 'challenge_category': ['web', 'osint', 'feedback', 'misc', 'misc', 'osint', 'osint', 'web', 'pwn', 'rev', 'rev', 'rev', 'web', 'pwn', 'forensics', 'crypto', 'forensics', 'beginner', 'beginner', 'osint', 'crypto', 'forensics', 'crypto', 'web', 'welcome', 'beginner', 'beginner'], 'challenge_points': ['470', '300', '11', '391', '493', '300', '300', '419', '436', '366', '316', '477', '300', '300', '300', '465', '300', '300', '300', '300', '300', '300', '300', '300', '10', '300', '300'], 'solve_time': ['2024-11-03T19:29:41.951618Z', '2024-11-03T15:13:21.990536Z', '2024-11-03T09:58:40.542763Z', '2024-11-02T14:39:34.698849Z', '2024-11-02T14:34:37.820769Z', '2024-11-02T13:31:21.850336Z', '2024-11-02T11:56:56.811966Z', '2024-11-02T11:53:04.166029Z', '2024-11-02T08:18:21.228100Z', '2024-11-02T07:52:36.202524Z', '2024-11-02T07:20:57.385641Z', '2024-11-02T07:05:44.850886Z', '2024-11-02T06:07:58.824509Z', '2024-11-02T05:49:07.894659Z', '2024-11-02T05:28:41.017180Z', '2024-11-02T05:21:28.579028Z', '2024-11-02T04:49:23.594714Z', '2024-11-02T04:41:48.560731Z', '2024-11-02T04:38:44.557739Z', '2024-11-02T04:21:42.603673Z', '2024-11-02T04:16:45.543085Z', '2024-11-02T04:00:12.267935Z', '2024-11-02T03:59:25.066633Z', '2024-11-02T03:40:32.182951Z', '2024-11-02T03:39:28.527443Z', '2024-11-02T03:35:30.852834Z', '2024-11-02T03:35:06.400510Z']}","Competitive (Individual, for prizes)"
balbinka,8654,"{'challenge_name': ['television', 'tictacBINGO', 'Survey', 'EEnemies', 'Buildings', 'Redwoods', 'beer sales', 'Reader', 'basic rust rev', 'Portal', ""D' Lo"", 'trynewthings', 'Vault', 'Spooky Query Leaks', 'tictactocket', 'decipherium', 'weirdtraffic (forensics)', 'TommyCam', 'unpopcorn', 'Computer Has Virus', 'pineapple', 'think_twice', 'concoction (rev)', 'colors (crypto)', ""Tommy's Artventures"", 'iRobots (web)', 'welcome'], 'challenge_category': ['osint', 'web', 'feedback', 'misc', 'osint', 'misc', 'osint', 'pwn', 'rev', 'pwn', 'crypto', 'rev', 'rev', 'web', 'web', 'crypto', 'beginner', 'osint', 'crypto', 'forensics', 'forensics', 'forensics', 'beginner', 'beginner', 'web', 'beginner', 'welcome'], 'challenge_points': ['300', '470', '11', '493', '300', '391', '300', '436', '366', '300', '465', '316', '477', '419', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T19:34:33.241335Z', '2024-11-03T19:33:10.957633Z', '2024-11-03T04:07:04.205153Z', '2024-11-02T15:56:33.301300Z', '2024-11-02T10:13:19.382763Z', '2024-11-02T08:19:47.516495Z', '2024-11-02T08:00:18.825348Z', '2024-11-02T07:49:10.816162Z', '2024-11-02T07:29:00.925224Z', '2024-11-02T07:22:22.576781Z', '2024-11-02T07:03:34.622510Z', '2024-11-02T07:01:32.977033Z', '2024-11-02T06:05:35.192300Z', '2024-11-02T05:31:46.539612Z', '2024-11-02T05:00:41.514609Z', '2024-11-02T04:57:00.419591Z', '2024-11-02T04:24:23.782483Z', '2024-11-02T04:17:41.621945Z', '2024-11-02T04:14:29.854953Z', '2024-11-02T04:06:29.704003Z', '2024-11-02T03:54:53.271481Z', '2024-11-02T03:46:16.350569Z', '2024-11-02T03:44:36.274655Z', '2024-11-02T03:39:03.645435Z', '2024-11-02T03:04:43.938123Z', '2024-11-02T03:01:13.302549Z', '2024-11-02T03:00:31.634246Z']}","Competitive (Individual, for prizes)"
x,8654,"{'challenge_name': ['Redwoods', ""D' Lo"", 'EEnemies', 'Survey', 'pineapple', 'concoction (rev)', 'tictacBINGO', 'Spooky Query Leaks', 'Computer Has Virus', 'think_twice', 'Vault', 'weirdtraffic (forensics)', 'iRobots (web)', 'colors (crypto)', 'Buildings', 'beer sales', 'TommyCam', 'basic rust rev', 'television', 'unpopcorn', 'decipherium', 'trynewthings', 'tictactocket', ""Tommy's Artventures"", 'Reader', 'Portal', 'welcome'], 'challenge_category': ['misc', 'crypto', 'misc', 'feedback', 'forensics', 'beginner', 'web', 'web', 'forensics', 'forensics', 'rev', 'beginner', 'beginner', 'beginner', 'osint', 'osint', 'osint', 'rev', 'osint', 'crypto', 'crypto', 'rev', 'web', 'web', 'pwn', 'pwn', 'welcome'], 'challenge_points': ['391', '465', '493', '11', '300', '300', '470', '419', '300', '300', '477', '300', '300', '300', '300', '300', '300', '366', '300', '300', '300', '316', '300', '300', '436', '300', '10'], 'solve_time': ['2024-11-03T20:08:53.006193Z', '2024-11-03T19:32:04.992460Z', '2024-11-03T19:02:53.648602Z', '2024-11-03T07:48:04.480218Z', '2024-11-03T07:46:06.028078Z', '2024-11-03T07:30:47.727422Z', '2024-11-03T07:15:30.954256Z', '2024-11-03T06:56:50.499313Z', '2024-11-03T06:51:50.585105Z', '2024-11-03T06:44:39.613583Z', '2024-11-03T06:43:25.287738Z', '2024-11-03T06:02:07.790327Z', '2024-11-03T05:54:37.246294Z', '2024-11-03T05:40:14.831921Z', '2024-11-03T05:35:50.471438Z', '2024-11-03T04:51:52.252104Z', '2024-11-03T04:44:22.167536Z', '2024-11-03T04:35:11.694806Z', '2024-11-03T04:33:37.348039Z', '2024-11-03T00:22:51.608801Z', '2024-11-02T23:41:12.071217Z', '2024-11-02T23:33:08.561427Z', '2024-11-02T22:36:30.415524Z', '2024-11-02T22:23:34.325381Z', '2024-11-02T22:10:29.063387Z', '2024-11-02T20:46:31.205043Z', '2024-11-02T20:40:52.720124Z']}","Casual (No prizes, teams allowed)"
peter_clowncs,8205,"{'challenge_name': ['Buildings', 'TommyCam', 'beer sales', 'CORN', 'tictacBINGO', 'Spooky Query Leaks', 'television', 'tictactocket', ""Tommy's Artventures"", 'Authentic Stacker', 'revachol', 'Computer Has Virus', 'pineapple', 'think_twice', 'Vault', 'basic rust rev', 'trynewthings', 'Reader', 'concoction (rev)', 'Portal', 'iRobots (web)', 'weirdtraffic (forensics)', 'colors (crypto)', 'Survey', 'welcome'], 'challenge_category': ['osint', 'osint', 'osint', 'pwn', 'web', 'web', 'osint', 'web', 'web', 'rev', 'rev', 'forensics', 'forensics', 'forensics', 'rev', 'rev', 'rev', 'pwn', 'beginner', 'pwn', 'beginner', 'beginner', 'beginner', 'feedback', 'welcome'], 'challenge_points': ['300', '300', '300', '500', '470', '419', '300', '300', '300', '500', '500', '300', '300', '300', '477', '366', '316', '436', '300', '300', '300', '300', '300', '11', '10'], 'solve_time': ['2024-11-03T14:59:51.121999Z', '2024-11-03T14:39:47.405206Z', '2024-11-03T14:34:12.076774Z', '2024-11-03T12:01:06.925354Z', '2024-11-03T08:06:22.493609Z', '2024-11-03T08:03:38.468295Z', '2024-11-03T07:04:12.044221Z', '2024-11-03T06:44:17.282065Z', '2024-11-03T06:19:49.394413Z', '2024-11-03T06:10:37.621627Z', '2024-11-03T04:44:52.902840Z', '2024-11-03T03:49:24.999164Z', '2024-11-03T03:42:51.702946Z', '2024-11-03T03:28:13.231759Z', '2024-11-03T03:27:53.242715Z', '2024-11-03T03:23:36.665194Z', '2024-11-03T03:22:03.010356Z', '2024-11-03T03:17:55.870290Z', '2024-11-03T03:14:25.334422Z', '2024-11-03T03:09:43.714689Z', '2024-11-03T03:07:01.100939Z', '2024-11-03T03:06:45.325597Z', '2024-11-03T03:06:14.657888Z', '2024-11-03T03:05:34.733259Z', '2024-11-03T03:04:35.904003Z']}","Competitive (Individual, for prizes)"
meow,8189,"{'challenge_name': ['Survey', 'television', 'tictacBINGO', 'Buildings', 'EEnemies', 'Vault', 'Reader', 'basic rust rev', 'Spooky Query Leaks', 'Redwoods', 'unpopcorn', 'beer sales', 'trynewthings', 'Portal', 'tictactocket', 'TommyCam', 'decipherium', 'Computer Has Virus', 'pineapple', 'concoction (rev)', 'weirdtraffic (forensics)', ""Tommy's Artventures"", 'think_twice', 'iRobots (web)', 'colors (crypto)', 'welcome'], 'challenge_category': ['feedback', 'osint', 'web', 'osint', 'misc', 'rev', 'pwn', 'rev', 'web', 'misc', 'crypto', 'osint', 'rev', 'pwn', 'web', 'osint', 'crypto', 'forensics', 'forensics', 'beginner', 'beginner', 'web', 'forensics', 'beginner', 'beginner', 'welcome'], 'challenge_points': ['11', '300', '470', '300', '493', '477', '436', '366', '419', '391', '300', '300', '316', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '300', '10'], 'solve_time': ['2024-11-03T03:39:51.165338Z', '2024-11-03T03:39:37.506076Z', '2024-11-03T03:37:46.148487Z', '2024-11-02T21:13:17.896871Z', '2024-11-02T20:43:02.349607Z', '2024-11-02T19:42:20.692202Z', '2024-11-02T19:23:08.742172Z', '2024-11-02T08:13:32.685866Z', '2024-11-02T05:19:01.645358Z', '2024-11-02T05:08:43.680933Z', '2024-11-02T04:54:49.793732Z', '2024-11-02T04:50:14.091959Z', '2024-11-02T04:48:18.537366Z', '2024-11-02T04:36:09.879362Z', '2024-11-02T04:33:17.202189Z', '2024-11-02T04:17:02.305710Z', '2024-11-02T04:14:53.713507Z', '2024-11-02T03:52:40.678090Z', '2024-11-02T03:51:12.887674Z', '2024-11-02T03:44:41.085218Z', '2024-11-02T03:40:46.655625Z', '2024-11-02T03:38:50.325008Z', '2024-11-02T03:35:07.922611Z', '2024-11-02T03:33:26.329841Z', '2024-11-02T03:32:10.568048Z', '2024-11-02T03:31:46.493432Z']}","Competitive (Individual, for prizes)"
