name,points,challenge
DUCKERZ,3450,"{'challenge_name': ['Casts, apparently', 'Boxcat', 'Catbox', 'CraftCraft', 'forked', 'Grille', 'inside out', 'Is the limit', 'The Last Chance', 'Laundromat', '/locate', 'noteasy26', 'Pest Control', 'portable executable', 'PNG', 'Sifter', 'silence', 'Summer reading', 'Yankbox', 'Zoo'], 'challenge_category': ['forensics', 'crypto', 'misc', 'ppc', 'admin', 'crypto', 'forensics', 'osint', 'stegano', 'reverse', 'osint', 'crypto', 'web', 'reverse', 'forensics', 'reverse', 'ppc', 'web', 'ctb', 'web'], 'challenge_points': ['150', '250', '100', '300', '150', '100', '100', '100', '100', '400', '200', '100', '100', '100', '250', '400', '200', '100', '100', '150']}"
Liquid Team,3000,"{'challenge_name': ['Casts, apparently', 'Boxcat', 'Catbox', 'forked', 'Grille', 'hypertext', 'inside out', 'Is the limit', 'The Last Chance', '/locate', 'noteasy26', 'Pest Control', 'portable executable', 'PNG', 'silence', 'Summer reading', 'Yankbox', 'Zhuzhelitsa I', 'Zhuzhelitsa II', 'Zoo'], 'challenge_category': ['forensics', 'crypto', 'misc', 'admin', 'crypto', 'ctb', 'forensics', 'osint', 'stegano', 'osint', 'crypto', 'web', 'reverse', 'forensics', 'ppc', 'web', 'ctb', 'crypto', 'crypto', 'web'], 'challenge_points': ['150', '250', '100', '150', '100', '200', '100', '100', '100', '200', '100', '100', '100', '250', '200', '100', '100', '150', '300', '150']}"
"ООО ""Т-co city""",2550,"{'challenge_name': ['CraftCraft', 'forked', 'The Resolution', 'Grille', 'inside out', 'Is the limit', 'Laundromat', '/locate', 'portable executable', 'PNG', 'SecuSafe', 'silence', 'Summer reading', 'Yankbox'], 'challenge_category': ['ppc', 'admin', 'ppc', 'crypto', 'forensics', 'osint', 'reverse', 'osint', 'reverse', 'forensics', 'reverse', 'ppc', 'web', 'ctb'], 'challenge_points': ['300', '150', '150', '100', '100', '100', '400', '200', '100', '250', '300', '200', '100', '100']}"
teamE2,2550,"{'challenge_name': ['Boxcat', 'Catbox', 'CraftCraft', 'forked', 'The Resolution', 'hypertext', 'noteasy26', 'portable executable', 'Sifter', 'Summer reading', 'Yankbox', 'Zhuzhelitsa I', 'Zhuzhelitsa II', 'Zoo'], 'challenge_category': ['crypto', 'misc', 'ppc', 'admin', 'ppc', 'ctb', 'crypto', 'reverse', 'reverse', 'web', 'ctb', 'crypto', 'crypto', 'web'], 'challenge_points': ['250', '100', '300', '150', '150', '200', '100', '100', '400', '100', '100', '150', '300', '150']}"
Cryptonite,2350,"{'challenge_name': ['forked', 'The Resolution', 'Grille', 'inside out', 'Is the limit', '/locate', 'Pest Control', 'portable executable', 'PNG', 'SecuSafe', 'Sifter', 'silence', 'Summer reading', 'Yankbox'], 'challenge_category': ['admin', 'ppc', 'crypto', 'forensics', 'osint', 'osint', 'web', 'reverse', 'forensics', 'reverse', 'reverse', 'ppc', 'web', 'ctb'], 'challenge_points': ['150', '150', '100', '100', '100', '200', '100', '100', '250', '300', '400', '200', '100', '100']}"
0xdeadbeef,2250,"{'challenge_name': ['forked', 'The Resolution', 'hypertext', 'inside out', 'Is the limit', 'The Last Chance', '/locate', 'Medium rare', 'Pest Control', 'portable executable', 'Sifter', 'silence', 'Summer reading', 'Yankbox'], 'challenge_category': ['admin', 'ppc', 'ctb', 'forensics', 'osint', 'stegano', 'osint', 'web', 'web', 'reverse', 'reverse', 'ppc', 'web', 'ctb'], 'challenge_points': ['150', '150', '200', '100', '100', '100', '200', '250', '100', '100', '400', '200', '100', '100']}"
RSC,2250,"{'challenge_name': ['Catbox', 'CraftCraft', 'forked', 'Grille', 'inside out', 'Is the limit', 'The Last Chance', '/locate', 'noteasy26', 'Pest Control', 'portable executable', 'PNG', 'silence', 'Summer reading', 'Yankbox', 'Zoo'], 'challenge_category': ['misc', 'ppc', 'admin', 'crypto', 'forensics', 'osint', 'stegano', 'osint', 'crypto', 'web', 'reverse', 'forensics', 'ppc', 'web', 'ctb', 'web'], 'challenge_points': ['100', '300', '150', '100', '100', '100', '100', '200', '100', '100', '100', '250', '200', '100', '100', '150']}"
Berjer Koltuk,2200,"{'challenge_name': ['Casts, apparently', 'CraftCraft', 'forked', 'Grille', 'inside out', 'Is the limit', '/locate', 'Pest Control', 'portable executable', 'Sifter', 'Summer reading', 'Yankbox', 'Zhuzhelitsa I', 'Zoo'], 'challenge_category': ['forensics', 'ppc', 'admin', 'crypto', 'forensics', 'osint', 'osint', 'web', 'reverse', 'reverse', 'web', 'ctb', 'crypto', 'web'], 'challenge_points': ['150', '300', '150', '100', '100', '100', '200', '100', '100', '400', '100', '100', '150', '150']}"
The power of Elijah,2200,"{'challenge_name': ['Casts, apparently', 'CraftCraft', 'forked', 'The Resolution', 'Grille', 'inside out', 'Is the limit', 'The Last Chance', '/locate', 'noteasy26', 'Pest Control', 'portable executable', 'silence', 'Summer reading', 'Yankbox', 'Zoo'], 'challenge_category': ['forensics', 'ppc', 'admin', 'ppc', 'crypto', 'forensics', 'osint', 'stegano', 'osint', 'crypto', 'web', 'reverse', 'ppc', 'web', 'ctb', 'web'], 'challenge_points': ['150', '300', '150', '150', '100', '100', '100', '100', '200', '100', '100', '100', '200', '100', '100', '150']}"
kks,2050,"{'challenge_name': ['Casts, apparently', 'Catbox', 'forked', 'inside out', 'Is the limit', '/locate', 'Medium rare', 'Pest Control', 'portable executable', 'Summer reading', 'Yankbox', 'Zhuzhelitsa I', 'Zhuzhelitsa II', 'Zoo'], 'challenge_category': ['forensics', 'misc', 'admin', 'forensics', 'osint', 'osint', 'web', 'web', 'reverse', 'web', 'ctb', 'crypto', 'crypto', 'web'], 'challenge_points': ['150', '100', '150', '100', '100', '200', '250', '100', '100', '100', '100', '150', '300', '150']}"
