name,points,challenges
srdnlen,7600,"{'challenge_name': ['Feedback form', 'StackBank2', 'Xtens(a)ible Kite', 'Supercomputer required', 'DELIRIVM', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Eighth Secret of Bologna', 'Internet of Lighthouses', 'Password Checker', 'YetAnotherOracle', 'From Pet To Threat', 'StackBank1', 'Zig Zag Zoogle', 'Degarble', 'Ambiguous Collisions', 'Cheri cheri PWN', 'M1n3ctf', 'x864Oracle', 'Picasso', 'POV', 'Bologna Rider', 'Telemetry', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'web', 'rev', 'misc', 'rev', 'misc', 'misc', 'forensics', 'rev', 'crypto', 'rev', 'web', 'pwn', 'crypto', 'misc', 'pwn', 'misc', 'pwn', 'rev', 'misc', 'misc', 'web', 'forensics', 'misc'], 'challenge_points': ['10', '472', '499', '496', '490', '175', '310', '460', '482', '247', '445', '388', '472', '490', '94', '472', '175', '409', '490', '94', '50', '280', '50', '50'], 'solve_time': ['2025-04-06 20:08:36', '2025-04-06 20:03:11', '2025-04-06 19:57:30', '2025-04-06 19:17:36', '2025-04-06 18:12:12', '2025-04-06 15:53:25', '2025-04-06 15:38:11', '2025-04-06 15:15:10', '2025-04-06 14:49:58', '2025-04-06 14:05:28', '2025-04-06 14:02:16', '2025-04-06 13:39:10', '2025-04-06 05:12:53', '2025-04-06 04:42:26', '2025-04-06 03:17:14', '2025-04-06 03:14:20', '2025-04-06 02:54:42', '2025-04-06 02:08:58', '2025-04-06 01:54:56', '2025-04-06 01:29:54', '2025-04-06 00:14:22', '2025-04-05 23:53:20', '2025-04-05 23:09:40', '2025-04-05 22:35:27']}"
fibonhack,6800,"{'challenge_name': ['Degarble', 'Viby Notes', 'Feedback form', 'Picasso', 'Password Checker', 'Cheri cheri PWN', 'StackBank2', 'M1n3ctf', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Bridgeeer', 'From Pet To Threat', 'Telemetry', 'StackBank1', 'POV', 'Ambiguous Collisions', 'YetAnotherOracle', 'Zig Zag Zoogle', 'x864Oracle', 'Internet of Lighthouses', 'AWAWA', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['crypto', 'web', 'misc', 'rev', 'rev', 'pwn', 'web', 'misc', 'misc', 'crypto', 'rev', 'web', 'web', 'misc', 'misc', 'crypto', 'pwn', 'pwn', 'forensics', 'forensics', 'misc', 'misc'], 'challenge_points': ['490', '496', '10', '490', '482', '472', '472', '175', '175', '499', '445', '280', '388', '94', '94', '247', '472', '409', '460', '50', '50', '50'], 'solve_time': ['2025-04-06 22:08:14', '2025-04-06 21:34:15', '2025-04-06 20:15:35', '2025-04-06 20:12:03', '2025-04-06 19:13:17', '2025-04-06 19:06:57', '2025-04-06 17:08:59', '2025-04-06 15:27:36', '2025-04-06 14:02:11', '2025-04-06 07:26:13', '2025-04-06 05:54:16', '2025-04-06 04:27:22', '2025-04-06 03:56:47', '2025-04-06 02:58:39', '2025-04-06 02:10:23', '2025-04-06 01:58:42', '2025-04-06 01:17:32', '2025-04-06 00:59:03', '2025-04-05 23:23:22', '2025-04-05 22:46:06', '2025-04-05 22:40:47', '2025-04-05 22:30:27']}"
TRX,4279,"{'challenge_name': ['From Pet To Threat', 'Feedback form', 'M1n3ctf', 'YetAnotherOracle', 'Inter Pianura padana Forks and Spaghetti 🤌', 'StackBank2', 'StackBank1', 'DELIRIVM', 'Ambiguous Collisions', 'Bologna Rider', 'Cheri cheri PWN', 'AWAWA', 'Zig Zag Zoogle', 'x864Oracle', 'Telemetry', 'Tortellini Check'], 'challenge_category': ['rev', 'misc', 'misc', 'crypto', 'misc', 'web', 'web', 'rev', 'misc', 'misc', 'pwn', 'forensics', 'pwn', 'pwn', 'web', 'misc'], 'challenge_points': ['445', '10', '175', '247', '175', '472', '388', '490', '94', '50', '472', '50', '472', '409', '280', '50'], 'solve_time': ['2025-04-06 22:24:46', '2025-04-06 20:11:35', '2025-04-06 19:53:05', '2025-04-06 19:11:22', '2025-04-06 17:27:06', '2025-04-06 17:10:27', '2025-04-06 15:29:12', '2025-04-06 04:58:32', '2025-04-06 03:53:02', '2025-04-06 01:29:37', '2025-04-06 01:20:56', '2025-04-06 01:18:49', '2025-04-06 00:42:04', '2025-04-06 00:24:18', '2025-04-06 00:22:42', '2025-04-05 22:33:22']}"
bhackari,3834,"{'challenge_name': ['Inter Pianura padana Forks and Spaghetti 🤌', 'Feedback form', 'M1n3ctf', 'StackBank2', 'POV', 'Telemetry', 'StackBank1', 'Degarble', 'AWAWA', 'Cheri cheri PWN', 'Zig Zag Zoogle', 'x864Oracle', 'YetAnotherOracle', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'web', 'misc', 'web', 'web', 'crypto', 'forensics', 'pwn', 'pwn', 'pwn', 'crypto', 'misc', 'misc'], 'challenge_points': ['175', '10', '175', '472', '94', '280', '388', '490', '50', '472', '472', '409', '247', '50', '50'], 'solve_time': ['2025-04-06 22:00:32', '2025-04-06 21:40:45', '2025-04-06 19:15:53', '2025-04-06 19:15:38', '2025-04-06 19:03:07', '2025-04-06 18:19:25', '2025-04-06 17:00:43', '2025-04-06 16:35:37', '2025-04-06 16:23:42', '2025-04-06 14:29:23', '2025-04-06 03:53:52', '2025-04-06 02:59:07', '2025-04-05 23:47:57', '2025-04-05 23:10:22', '2025-04-05 22:42:48']}"
pwnlentoni,3010,"{'challenge_name': ['POV', 'Telemetry', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Feedback form', 'Password Checker', 'Ambiguous Collisions', 'YetAnotherOracle', 'M1n3ctf', 'Bologna Rider', 'Zig Zag Zoogle', 'Cheri cheri PWN', 'x864Oracle', 'Tortellini Check'], 'challenge_category': ['misc', 'web', 'misc', 'misc', 'rev', 'misc', 'crypto', 'misc', 'misc', 'pwn', 'pwn', 'pwn', 'misc'], 'challenge_points': ['94', '280', '175', '10', '482', '94', '247', '175', '50', '472', '472', '409', '50'], 'solve_time': ['2025-04-06 22:08:43', '2025-04-06 22:05:31', '2025-04-06 21:39:33', '2025-04-06 21:33:25', '2025-04-06 20:27:03', '2025-04-06 15:42:35', '2025-04-06 05:39:47', '2025-04-06 04:35:30', '2025-04-06 02:08:52', '2025-04-06 02:00:59', '2025-04-06 01:55:48', '2025-04-05 23:42:19', '2025-04-05 22:33:12']}"
pwnthem0le,2926,"{'challenge_name': ['Supercomputer required', 'From Pet To Threat', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Eighth Secret of Bologna', 'Ambiguous Collisions', 'POV', 'Telemetry', 'Internet of Lighthouses', 'M1n3ctf', 'Bologna Rider', 'YetAnotherOracle', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['misc', 'rev', 'misc', 'misc', 'misc', 'misc', 'web', 'forensics', 'misc', 'misc', 'crypto', 'forensics', 'misc'], 'challenge_points': ['496', '445', '175', '310', '94', '94', '280', '460', '175', '50', '247', '50', '50'], 'solve_time': ['2025-04-06 21:51:07', '2025-04-06 19:04:08', '2025-04-06 15:30:05', '2025-04-06 14:54:21', '2025-04-06 14:25:44', '2025-04-06 13:17:29', '2025-04-06 12:59:49', '2025-04-06 06:47:41', '2025-04-06 02:10:02', '2025-04-06 01:53:59', '2025-04-06 01:30:07', '2025-04-05 22:38:15', '2025-04-05 22:30:44']}"
napwnli,2792,"{'challenge_name': ['x864Oracle', 'Feedback form', 'Ambiguous Collisions', 'Inter Pianura padana Forks and Spaghetti 🤌', 'POV', 'Eighth Secret of Bologna', 'StackBank1', 'Bologna Rider', 'Internet of Lighthouses', 'YetAnotherOracle', 'AWAWA', 'M1n3ctf', 'Telemetry', 'Tortellini Check'], 'challenge_category': ['pwn', 'misc', 'misc', 'misc', 'misc', 'misc', 'web', 'misc', 'forensics', 'crypto', 'forensics', 'misc', 'web', 'misc'], 'challenge_points': ['409', '10', '94', '175', '94', '310', '388', '50', '460', '247', '50', '175', '280', '50'], 'solve_time': ['2025-04-06 21:42:15', '2025-04-06 21:10:10', '2025-04-06 19:42:43', '2025-04-06 15:32:25', '2025-04-06 06:12:33', '2025-04-06 05:43:24', '2025-04-06 05:20:58', '2025-04-06 04:50:52', '2025-04-06 04:29:30', '2025-04-06 02:04:42', '2025-04-06 01:44:54', '2025-04-06 01:34:26', '2025-04-06 01:00:40', '2025-04-05 22:30:21']}"
K!nd4SUS,2467,"{'challenge_name': ['POV', 'Feedback form', 'Ambiguous Collisions', 'AWAWA', 'From Pet To Threat', 'Inter Pianura padana Forks and Spaghetti 🤌', 'M1n3ctf', 'StackBank1', 'YetAnotherOracle', 'Telemetry', 'x864Oracle', 'Bologna Rider', 'Tortellini Check'], 'challenge_category': ['misc', 'misc', 'misc', 'forensics', 'rev', 'misc', 'misc', 'web', 'crypto', 'web', 'pwn', 'misc', 'misc'], 'challenge_points': ['94', '10', '94', '50', '445', '175', '175', '388', '247', '280', '409', '50', '50'], 'solve_time': ['2025-04-06 22:07:46', '2025-04-06 20:18:08', '2025-04-06 19:09:43', '2025-04-06 18:28:40', '2025-04-06 18:01:27', '2025-04-06 17:06:08', '2025-04-06 15:56:33', '2025-04-06 13:52:30', '2025-04-06 13:48:43', '2025-04-06 04:29:07', '2025-04-06 01:36:39', '2025-04-05 22:47:54', '2025-04-05 22:30:22']}"
SyntaxTerrons,2088,"{'challenge_name': ['StackBank1', 'Feedback form', 'Eighth Secret of Bologna', 'From Pet To Threat', 'Inter Pianura padana Forks and Spaghetti 🤌', 'Ambiguous Collisions', 'YetAnotherOracle', 'M1n3ctf', 'POV', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['web', 'misc', 'misc', 'rev', 'misc', 'misc', 'crypto', 'misc', 'misc', 'misc', 'forensics', 'misc'], 'challenge_points': ['388', '10', '310', '445', '175', '94', '247', '175', '94', '50', '50', '50'], 'solve_time': ['2025-04-06 22:20:14', '2025-04-06 20:34:12', '2025-04-06 18:56:34', '2025-04-06 18:32:35', '2025-04-06 16:39:56', '2025-04-06 14:33:30', '2025-04-06 14:11:01', '2025-04-06 02:20:25', '2025-04-06 02:13:53', '2025-04-06 00:01:06', '2025-04-05 23:17:51', '2025-04-05 22:37:16']}"
$cr1pt_K1dd13$,2048,"{'challenge_name': ['Self Quote', 'Feedback form', 'Eighth Secret of Bologna', 'Inter Pianura padana Forks and Spaghetti 🤌', 'StackBank1', 'M1n3ctf', 'YetAnotherOracle', 'POV', 'Bologna Rider', 'AWAWA', 'Tortellini Check'], 'challenge_category': ['forensics', 'misc', 'misc', 'misc', 'web', 'misc', 'crypto', 'misc', 'misc', 'forensics', 'misc'], 'challenge_points': ['499', '10', '310', '175', '388', '175', '247', '94', '50', '50', '50'], 'solve_time': ['2025-04-06 21:36:44', '2025-04-06 20:11:47', '2025-04-06 15:11:41', '2025-04-06 14:21:27', '2025-04-06 04:00:50', '2025-04-06 02:35:10', '2025-04-06 01:53:39', '2025-04-06 00:35:25', '2025-04-05 23:54:43', '2025-04-05 22:33:11', '2025-04-05 22:30:14']}"
