name,points,challenge
Maple Bacon,5501,"{'challenge_name': ['goose-intern-portal', 'precise-equality', 'alice-and-bob', '2e-3e-4e', 'hex-editor-xtended', 'those-who-rev', 'intro-pwn', 'a-shell-casino', 'works-modulo-security', 'server-side-rendering', 'welcome', 'finders-keepers'], 'challenge_category': ['web', 'pwn', 'crypto', 'crypto', 'pwn', 'rev', 'pwn', 'rev', 'web', 'web', 'misc', 'misc'], 'challenge_points': ['500', '500', '500', '500', '500', '500', '500', '500', '500', '500', '1', '500'], 'solve_time': ['2025-03-16T06:12:57.533502Z', '2025-03-15T22:40:47.435298Z', '2025-03-15T21:41:43.965868Z', '2025-03-15T21:41:30.899386Z', '2025-03-15T21:19:35.592731Z', '2025-03-15T21:00:45.851585Z', '2025-03-15T20:56:52.827722Z', '2025-03-15T20:45:50.093282Z', '2025-03-15T20:12:05.685179Z', '2025-03-15T19:27:26.799938Z', '2025-03-15T19:08:32.508483Z', '2025-03-15T19:08:18.827444Z']}"
ttc checking out,4501,"{'challenge_name': ['2e-3e-4e', 'goose-intern-portal', 'alice-and-bob', 'finders-keepers', 'works-modulo-security', 'intro-pwn', 'precise-equality', 'hex-editor-xtended', 'welcome', 'server-side-rendering'], 'challenge_category': ['crypto', 'web', 'crypto', 'misc', 'web', 'pwn', 'pwn', 'pwn', 'misc', 'web'], 'challenge_points': ['500', '500', '500', '500', '500', '500', '500', '500', '1', '500'], 'solve_time': ['2025-03-16T15:56:56.260812Z', '2025-03-16T15:53:46.228001Z', '2025-03-15T21:40:55.198441Z', '2025-03-15T21:26:36.426635Z', '2025-03-15T21:24:56.432565Z', '2025-03-15T20:56:11.192362Z', '2025-03-15T20:38:22.741194Z', '2025-03-15T20:17:44.383534Z', '2025-03-15T20:14:32.885903Z', '2025-03-15T20:13:23.714510Z']}"
nickels.items2y,3500,"{'challenge_name': ['finders-keepers', 'goose-intern-portal', 'works-modulo-security', 'server-side-rendering', 'precise-equality', 'intro-pwn', 'hex-editor-xtended'], 'challenge_category': ['misc', 'web', 'web', 'web', 'pwn', 'pwn', 'pwn'], 'challenge_points': ['500', '500', '500', '500', '500', '500', '500'], 'solve_time': ['2025-03-16T17:06:12.768452Z', '2025-03-16T16:52:38.424090Z', '2025-03-16T16:38:49.815559Z', '2025-03-16T16:11:55.228488Z', '2025-03-16T15:58:51.666882Z', '2025-03-16T15:01:09.398445Z', '2025-03-16T14:39:36.275389Z']}"
IAmATeapot,3001,"{'challenge_name': ['goose-intern-portal', 'hex-editor-xtended', 'precise-equality', 'welcome', 'finders-keepers', 'works-modulo-security', 'server-side-rendering'], 'challenge_category': ['web', 'pwn', 'pwn', 'misc', 'misc', 'web', 'web'], 'challenge_points': ['500', '500', '500', '1', '500', '500', '500'], 'solve_time': ['2025-03-16T06:13:38.934476Z', '2025-03-15T22:17:57.152239Z', '2025-03-15T22:06:24.495296Z', '2025-03-15T21:41:42.356333Z', '2025-03-15T20:30:54.454086Z', '2025-03-15T19:32:02.720352Z', '2025-03-15T19:07:43.877672Z']}"
BlitzHack,3001,"{'challenge_name': ['intro-pwn', 'alice-and-bob', 'works-modulo-security', 'server-side-rendering', 'goose-intern-portal', 'finders-keepers', 'welcome'], 'challenge_category': ['pwn', 'crypto', 'web', 'web', 'web', 'misc', 'misc'], 'challenge_points': ['500', '500', '500', '500', '500', '500', '1'], 'solve_time': ['2025-03-16T16:37:30.633698Z', '2025-03-16T16:16:37.376695Z', '2025-03-16T16:05:55.002795Z', '2025-03-16T12:28:00.625006Z', '2025-03-16T07:12:35.863299Z', '2025-03-16T02:38:39.524036Z', '2025-03-16T02:37:58.307575Z']}"
lolicon,3000,"{'challenge_name': ['goose-intern-portal', 'works-modulo-security', 'server-side-rendering', 'finders-keepers', 'alice-and-bob', '2e-3e-4e'], 'challenge_category': ['web', 'web', 'web', 'misc', 'crypto', 'crypto'], 'challenge_points': ['500', '500', '500', '500', '500', '500'], 'solve_time': ['2025-03-16T07:10:08.480406Z', '2025-03-16T07:03:48.786464Z', '2025-03-16T06:21:09.899678Z', '2025-03-16T06:10:25.302360Z', '2025-03-16T06:08:43.732732Z', '2025-03-16T05:31:56.945804Z']}"
sharpest_C_in_the_shed,2501,"{'challenge_name': ['works-modulo-security', 'goose-intern-portal', 'server-side-rendering', 'hex-editor-xtended', 'finders-keepers', 'welcome'], 'challenge_category': ['web', 'web', 'web', 'pwn', 'misc', 'misc'], 'challenge_points': ['500', '500', '500', '500', '500', '1'], 'solve_time': ['2025-03-16T07:17:38.169568Z', '2025-03-16T06:10:52.808887Z', '2025-03-16T06:02:08.635743Z', '2025-03-16T02:44:43.279275Z', '2025-03-15T19:07:30.116431Z', '2025-03-15T19:06:00.127360Z']}"
Aadi Kulshrestha,2501,"{'challenge_name': ['works-modulo-security', 'goose-intern-portal', 'hex-editor-xtended', 'server-side-rendering', 'finders-keepers', 'welcome'], 'challenge_category': ['web', 'web', 'pwn', 'web', 'misc', 'misc'], 'challenge_points': ['500', '500', '500', '500', '500', '1'], 'solve_time': ['2025-03-16T14:53:52.342131Z', '2025-03-16T11:18:38.410883Z', '2025-03-16T03:32:54.301627Z', '2025-03-15T23:21:42.332211Z', '2025-03-15T19:09:17.147385Z', '2025-03-15T19:05:51.981360Z']}"
e7cb7f1c51326589556c,2501,"{'challenge_name': ['hex-editor-xtended', 'goose-intern-portal', 'works-modulo-security', 'server-side-rendering', 'finders-keepers', 'welcome'], 'challenge_category': ['pwn', 'web', 'web', 'web', 'misc', 'misc'], 'challenge_points': ['500', '500', '500', '500', '500', '1'], 'solve_time': ['2025-03-16T15:41:20.211609Z', '2025-03-16T05:57:03.778100Z', '2025-03-16T05:42:54.912338Z', '2025-03-16T03:41:46.168826Z', '2025-03-16T02:58:51.030196Z', '2025-03-16T02:58:14.943495Z']}"
exec,2501,"{'challenge_name': ['2e-3e-4e', 'welcome', 'finders-keepers', 'goose-intern-portal', 'works-modulo-security', 'server-side-rendering'], 'challenge_category': ['crypto', 'misc', 'misc', 'web', 'web', 'web'], 'challenge_points': ['500', '1', '500', '500', '500', '500'], 'solve_time': ['2025-03-16T16:20:16.583870Z', '2025-03-16T08:24:55.007995Z', '2025-03-16T08:00:27.024557Z', '2025-03-16T07:33:01.353927Z', '2025-03-16T07:20:14.335925Z', '2025-03-16T06:38:59.580916Z']}"
