name,points,challenge
GOBBLES,700,"{'challenge_name': ['Festivals', 'TZe-611', 'Flyer', 'Ransomware attack', 'Planets'], 'challenge_category': ['Web', 'Misc', 'Web', 'Network', 'Web'], 'challenge_points': ['200', '200', '200', '50', '50'], 'solve_time': ['', '2025-03-21 23:52:26', '', '2025-03-21 21:55:18', '', '2025-03-21 20:48:06', '', '2025-03-21 19:14:36', '', '2025-03-21 19:05:30']}"
Morbion,700,"{'challenge_name': ['Flyer', 'TZe-611', 'Ransomware attack', 'Festivals', 'Planets'], 'challenge_category': ['Web', 'Misc', 'Network', 'Web', 'Web'], 'challenge_points': ['200', '200', '50', '200', '50'], 'solve_time': ['2025-03-22 13:20:26', '', '2025-03-22 02:04:24', '2025-03-22 00:19:48', '', '2025-03-22 00:16:18', '2025-03-21 22:38:53']}"
bah,700,"{'challenge_name': ['TZe-611', 'Flyer', 'Festivals', 'Ransomware attack', 'Planets'], 'challenge_category': ['Misc', 'Web', 'Web', 'Network', 'Web'], 'challenge_points': ['200', '200', '200', '50', '50'], 'solve_time': ['2025-03-22 13:47:13', '2025-03-22 03:58:01', '', '2025-03-22 02:11:16', '', '2025-03-21 19:18:46', '', '2025-03-21 19:08:10']}"
Dutch Picknick,700,"{'challenge_name': ['Festivals', 'TZe-611', 'Flyer', 'Planets', 'Ransomware attack'], 'challenge_category': ['Web', 'Misc', 'Web', 'Web', 'Network'], 'challenge_points': ['200', '200', '200', '50', '50'], 'solve_time': ['2025-03-23 14:40:29', '2025-03-22 15:14:36', '2025-03-22 12:05:06', '2025-03-22 08:26:36', '2025-03-22 08:10:00']}"
5p4c3b4llz,700,"{'challenge_name': ['TZe-611', 'Festivals', 'Flyer', 'Planets', 'Ransomware attack'], 'challenge_category': ['Misc', 'Web', 'Web', 'Web', 'Network'], 'challenge_points': ['200', '200', '200', '50', '50'], 'solve_time': ['2025-03-23 17:34:47', '2025-03-23 11:41:47', '2025-03-22 23:16:45', '2025-03-21 19:22:31', '', '2025-03-21 19:13:30']}"
ctdo,500,"{'challenge_name': ['TZe-611', 'Flyer', 'Ransomware attack', 'Planets'], 'challenge_category': ['Misc', 'Web', 'Network', 'Web'], 'challenge_points': ['200', '200', '50', '50'], 'solve_time': ['', '2025-03-22 02:10:57', '2025-03-22 00:14:44', '2025-03-21 22:48:19', '2025-03-21 22:26:36']}"
"""><plaintext>",500,"{'challenge_name': ['TZe-611', 'Ransomware attack', 'Festivals', 'Planets'], 'challenge_category': ['Misc', 'Network', 'Web', 'Web'], 'challenge_points': ['200', '50', '200', '50'], 'solve_time': ['2025-03-22 23:27:36', '2025-03-22 19:43:08', '2025-03-22 19:30:47', '2025-03-21 19:13:03']}"
Peetz0r,500,"{'challenge_name': ['Flyer', 'TZe-611', 'Planets', 'Ransomware attack'], 'challenge_category': ['Web', 'Misc', 'Web', 'Network'], 'challenge_points': ['200', '200', '50', '50'], 'solve_time': ['2025-03-23 18:52:50', '2025-03-23 14:51:23', '2025-03-23 11:27:59', '2025-03-23 11:19:16']}"
team_kek,300,"{'challenge_name': ['Flyer', 'Planets', 'Ransomware attack'], 'challenge_category': ['Web', 'Web', 'Network'], 'challenge_points': ['200', '50', '50'], 'solve_time': ['', '2025-03-21 21:06:50', '2025-03-21 20:22:17', '2025-03-21 19:39:08']}"
backspace,300,"{'challenge_name': ['Flyer', 'Ransomware attack', 'Planets'], 'challenge_category': ['Web', 'Network', 'Web'], 'challenge_points': ['200', '50', '50'], 'solve_time': ['', '2025-03-21 23:21:36', '2025-03-21 20:23:24', '2025-03-21 20:15:07']}"
PinkFluffyUnicorn,300,"{'challenge_name': ['Festivals', 'Ransomware attack', 'Planets'], 'challenge_category': ['Web', 'Network', 'Web'], 'challenge_points': ['200', '50', '50'], 'solve_time': ['2025-03-22 12:06:53', '2025-03-22 09:15:06', '2025-03-22 06:51:38']}"
133713pwnies,300,"{'challenge_name': ['Ransomware attack', 'TZe-611', 'Planets'], 'challenge_category': ['Network', 'Misc', 'Web'], 'challenge_points': ['50', '200', '50'], 'solve_time': ['2025-03-22 15:22:38', '2025-03-22 15:04:31', '2025-03-21 19:56:14']}"
Slipstream,300,"{'challenge_name': ['TZe-611', 'Planets', 'Ransomware attack'], 'challenge_category': ['Misc', 'Web', 'Network'], 'challenge_points': ['200', '50', '50'], 'solve_time': ['2025-03-23 03:09:40', '2025-03-23 00:32:16', '2025-03-23 00:19:59']}"
