name,score,challenges
Infobahn,8734,"{'challenge_name': ['Identity', 'Subathon', 'SAAS', 'World Wide Email Search', 'To the sky', 'Floats', 'Modnar', 'World Wide Flags', ""Remind's Funny Stories 3"", 'Bongcloud', 'Too Hidden', 'Mutual TLS', 'Guessy CTF Solver', 'Bulletproof', 'Twister', 'WhiteRabbit', 'Rust Containment', 'Flag Checker', 'Just Lattice', 'Ransom Waifu', 'Reverb', 'Secure Shell', 'epsilonDH', 'Black Meet Wukong', 'Buffer Brawl', 'Forgot Password', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['OSINT', 'Cryptography', 'Web Exploitation', 'Web Exploitation', 'OSINT', 'Reverse Engineering', 'Cryptography', 'Miscellaneous', 'Reverse Engineering', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Web Exploitation', 'OSINT', 'Cryptography', 'Beginners', 'Beginners', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Pwn', 'Beginners', 'Cryptography', 'Forensics', 'Pwn', 'Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['476', '480', '497', '480', '398', '487', '436', '150', '450', '153', '150', '464', '363', '207', '398', '95', '274', '404', '351', '450', '316', '50', '213', '436', '228', '163', '65', '50', '50'], 'solve_time': ['December 1st, 3:47:29 PM', 'December 1st, 1:40:27 PM', 'December 1st, 1:17:44 PM', 'December 1st, 10:33:39 AM', 'December 1st, 10:03:08 AM', 'December 1st, 9:42:08 AM', 'December 1st, 7:01:29 AM', 'December 1st, 5:25:28 AM', 'December 1st, 5:21:58 AM', 'December 1st, 4:50:32 AM', 'December 1st, 4:11:44 AM', 'December 1st, 3:49:12 AM', 'December 1st, 3:34:50 AM', 'December 1st, 3:03:08 AM', 'December 1st, 2:12:56 AM', 'December 1st, 12:52:31 AM', 'December 1st, 12:35:54 AM', 'December 1st, 12:14:41 AM', 'November 30th, 10:53:44 PM', 'November 30th, 10:16:58 PM', 'November 30th, 10:09:22 PM', 'November 30th, 9:59:14 PM', 'November 30th, 9:39:33 PM', 'November 30th, 8:38:07 PM', 'November 30th, 7:49:12 PM', 'November 30th, 7:33:14 PM', 'November 30th, 5:37:02 PM', 'November 30th, 5:35:41 PM', 'November 30th, 5:30:07 PM']}"
0xfun,8237,"{'challenge_name': ['Identity', 'Subathon', 'Floats', 'Twister', ""Remind's Funny Stories 3"", 'Reverb', 'Black Meet Wukong', 'World Wide Email Search', 'Modnar', 'Just Lattice', 'To the sky', 'Guessy CTF Solver', 'Buffer Brawl', 'Bulletproof', 'Flag Checker', 'Rust Containment', 'epsilonDH', 'Too Hidden', 'Ransom Waifu', 'Bongcloud', 'Mutual TLS', 'Secure Shell', 'Forgot Password', 'WhiteRabbit', 'All your base are belong to us', 'Simpler RSA', 'World Wide Flags', 'Sanity Check'], 'challenge_category': ['OSINT', 'Cryptography', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Pwn', 'Forensics', 'Web Exploitation', 'Cryptography', 'Cryptography', 'OSINT', 'Web Exploitation', 'Pwn', 'OSINT', 'Reverse Engineering', 'Beginners', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Forensics', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['476', '480', '487', '398', '450', '316', '436', '480', '436', '351', '398', '363', '228', '207', '404', '274', '213', '150', '450', '153', '464', '50', '163', '95', '65', '50', '150', '50'], 'solve_time': ['December 1st, 4:02:57 PM', 'December 1st, 3:36:23 PM', 'December 1st, 3:12:39 PM', 'December 1st, 2:54:06 PM', 'December 1st, 1:47:06 PM', 'December 1st, 1:18:36 PM', 'December 1st, 10:10:49 AM', 'December 1st, 8:14:46 AM', 'December 1st, 6:09:38 AM', 'December 1st, 2:48:58 AM', 'December 1st, 2:12:05 AM', 'December 1st, 1:31:40 AM', 'December 1st, 12:51:06 AM', 'December 1st, 12:34:18 AM', 'December 1st, 12:32:08 AM', 'December 1st, 12:29:30 AM', 'November 30th, 10:03:47 PM', 'November 30th, 9:47:42 PM', 'November 30th, 9:28:18 PM', 'November 30th, 8:57:36 PM', 'November 30th, 8:22:40 PM', 'November 30th, 8:11:54 PM', 'November 30th, 8:06:40 PM', 'November 30th, 7:49:30 PM', 'November 30th, 7:28:30 PM', 'November 30th, 7:26:09 PM', 'November 30th, 7:25:12 PM', 'November 30th, 7:21:32 PM']}"
L3ak,8237,"{'challenge_name': ['Twister', 'Modnar', 'Floats', 'Rust Containment', 'Subathon', 'WhiteRabbit', 'To the sky', 'Ransom Waifu', 'Free My Man Pascal', 'Just Lattice', 'Bulletproof', 'CTF Registration', 'Reverb', 'Too Hidden', 'Bongcloud', 'Flag Checker', 'epsilonDH', 'World Wide Flags', 'Guessy CTF Solver', 'Secure Shell', ""Remind's Funny Stories 3"", 'Buffer Brawl', 'Black Meet Wukong', 'World Wide Email Search', 'Forgot Password', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Cryptography', 'Cryptography', 'Reverse Engineering', 'Beginners', 'Cryptography', 'Beginners', 'OSINT', 'Reverse Engineering', 'Pwn', 'Cryptography', 'OSINT', 'Pwn', 'Pwn', 'Forensics', 'Miscellaneous', 'Reverse Engineering', 'Cryptography', 'Miscellaneous', 'Web Exploitation', 'Beginners', 'Reverse Engineering', 'Pwn', 'Forensics', 'Web Exploitation', 'Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['398', '436', '487', '274', '480', '95', '398', '450', '476', '351', '207', '464', '316', '150', '153', '404', '213', '150', '363', '50', '450', '228', '436', '480', '163', '65', '50', '50'], 'solve_time': ['December 1st, 4:32:27 PM', 'December 1st, 4:18:06 PM', 'December 1st, 4:01:35 PM', 'December 1st, 1:12:31 PM', 'December 1st, 12:33:23 PM', 'December 1st, 11:56:25 AM', 'December 1st, 10:30:51 AM', 'December 1st, 9:42:41 AM', 'December 1st, 9:12:40 AM', 'December 1st, 3:20:59 AM', 'December 1st, 2:29:54 AM', 'December 1st, 12:12:53 AM', 'November 30th, 9:39:14 PM', 'November 30th, 9:37:36 PM', 'November 30th, 9:11:30 PM', 'November 30th, 8:58:45 PM', 'November 30th, 8:54:36 PM', 'November 30th, 8:43:26 PM', 'November 30th, 8:41:22 PM', 'November 30th, 8:01:18 PM', 'November 30th, 7:59:12 PM', 'November 30th, 7:41:58 PM', 'November 30th, 7:17:26 PM', 'November 30th, 7:16:03 PM', 'November 30th, 6:02:04 PM', 'November 30th, 5:38:21 PM', 'November 30th, 5:34:23 PM', 'November 30th, 5:30:04 PM']}"
MindCrafters,7801,"{'challenge_name': ['Reverb', 'Identity', 'Twister', 'Floats', ""Remind's Funny Stories 3"", 'Buffer Brawl', 'World Wide Email Search', 'Modnar', 'Subathon', 'To the sky', 'Rust Containment', 'Bulletproof', 'Guessy CTF Solver', 'Flag Checker', 'Just Lattice', 'Too Hidden', 'epsilonDH', 'Ransom Waifu', 'Bongcloud', 'Secure Shell', 'Forgot Password', 'WhiteRabbit', 'World Wide Flags', 'Mutual TLS', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Pwn', 'OSINT', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Pwn', 'Web Exploitation', 'Cryptography', 'Cryptography', 'OSINT', 'Beginners', 'OSINT', 'Web Exploitation', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Miscellaneous', 'Beginners', 'Forensics', 'Beginners', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['316', '476', '398', '487', '450', '228', '480', '436', '480', '398', '274', '207', '363', '404', '351', '150', '213', '450', '153', '50', '163', '95', '150', '464', '65', '50', '50'], 'solve_time': ['December 1st, 4:20:56 PM', 'December 1st, 3:25:26 PM', 'December 1st, 2:08:37 PM', 'December 1st, 11:29:19 AM', 'December 1st, 9:47:10 AM', 'December 1st, 7:55:07 AM', 'December 1st, 7:13:00 AM', 'December 1st, 5:00:09 AM', 'December 1st, 4:23:47 AM', 'December 1st, 12:06:35 AM', 'November 30th, 11:39:45 PM', 'November 30th, 11:04:35 PM', 'November 30th, 10:28:40 PM', 'November 30th, 10:00:19 PM', 'November 30th, 10:00:06 PM', 'November 30th, 9:45:31 PM', 'November 30th, 9:19:15 PM', 'November 30th, 8:31:51 PM', 'November 30th, 8:30:32 PM', 'November 30th, 8:12:20 PM', 'November 30th, 8:08:59 PM', 'November 30th, 7:42:08 PM', 'November 30th, 7:08:14 PM', 'November 30th, 6:16:37 PM', 'November 30th, 5:37:29 PM', 'November 30th, 5:35:47 PM', 'November 30th, 5:31:02 PM']}"
valgrind,7760,"{'challenge_name': ['Flag Checker', 'Mutual TLS', 'Identity', 'Just Lattice', 'Black Meet Wukong', 'Free My Man Pascal', 'Rust Containment', 'Twister', 'Guessy CTF Solver', 'Modnar', 'To the sky', 'CTF Registration', 'Bulletproof', 'Bongcloud', 'Too Hidden', 'Forgot Password', 'Secure Shell', ""Remind's Funny Stories 3"", 'All your base are belong to us', 'epsilonDH', 'Sanity Check', 'World Wide Flags', 'World Wide Email Search', 'Buffer Brawl', 'Reverb', 'WhiteRabbit', 'Simpler RSA'], 'challenge_category': ['Reverse Engineering', 'Miscellaneous', 'OSINT', 'Cryptography', 'Forensics', 'Pwn', 'Beginners', 'Cryptography', 'Web Exploitation', 'Cryptography', 'OSINT', 'Pwn', 'OSINT', 'Miscellaneous', 'Forensics', 'Forensics', 'Beginners', 'Reverse Engineering', 'Beginners', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Web Exploitation', 'Pwn', 'Pwn', 'Beginners', 'Beginners'], 'challenge_points': ['404', '464', '476', '351', '436', '476', '274', '398', '363', '436', '398', '464', '207', '153', '150', '163', '50', '450', '65', '213', '50', '150', '480', '228', '316', '95', '50'], 'solve_time': ['December 1st, 3:43:20 PM', 'December 1st, 3:10:34 PM', 'December 1st, 10:40:04 AM', 'December 1st, 10:07:37 AM', 'December 1st, 6:06:20 AM', 'December 1st, 6:03:38 AM', 'December 1st, 5:52:47 AM', 'December 1st, 5:10:42 AM', 'December 1st, 4:41:38 AM', 'December 1st, 3:33:32 AM', 'December 1st, 1:00:42 AM', 'December 1st, 12:37:23 AM', 'December 1st, 12:25:58 AM', 'November 30th, 10:46:06 PM', 'November 30th, 9:42:11 PM', 'November 30th, 9:37:41 PM', 'November 30th, 8:53:53 PM', 'November 30th, 8:43:33 PM', 'November 30th, 8:42:59 PM', 'November 30th, 8:32:59 PM', 'November 30th, 7:50:14 PM', 'November 30th, 7:44:52 PM', 'November 30th, 7:43:33 PM', 'November 30th, 6:44:38 PM', 'November 30th, 6:30:49 PM', 'November 30th, 6:03:36 PM', 'November 30th, 5:45:41 PM']}"
RubiyaLab,6382,"{'challenge_name': ['Twister', 'Reverb', 'Identity', 'CTF Registration', 'Rust Containment', 'Just Lattice', 'Buffer Brawl', 'Flag Checker', ""Remind's Funny Stories 3"", 'Too Hidden', 'Guessy CTF Solver', 'To the sky', 'Bulletproof', 'All your base are belong to us', 'Ransom Waifu', 'epsilonDH', 'WhiteRabbit', 'Bongcloud', 'Secure Shell', 'World Wide Flags', 'Forgot Password', 'Mutual TLS', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Cryptography', 'Pwn', 'OSINT', 'Pwn', 'Beginners', 'Cryptography', 'Pwn', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Web Exploitation', 'OSINT', 'OSINT', 'Beginners', 'Reverse Engineering', 'Cryptography', 'Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['398', '316', '476', '464', '274', '351', '228', '404', '450', '150', '363', '398', '207', '65', '450', '213', '95', '153', '50', '150', '163', '464', '50', '50'], 'solve_time': ['December 1st, 3:49:14 PM', 'December 1st, 1:39:22 PM', 'December 1st, 1:22:42 PM', 'December 1st, 11:51:27 AM', 'December 1st, 10:38:54 AM', 'December 1st, 8:54:42 AM', 'December 1st, 3:23:41 AM', 'December 1st, 2:52:11 AM', 'December 1st, 1:35:09 AM', 'December 1st, 1:24:10 AM', 'December 1st, 1:16:21 AM', 'December 1st, 12:45:01 AM', 'November 30th, 11:37:18 PM', 'November 30th, 10:36:08 PM', 'November 30th, 10:05:16 PM', 'November 30th, 9:12:03 PM', 'November 30th, 8:42:32 PM', 'November 30th, 8:11:23 PM', 'November 30th, 8:04:00 PM', 'November 30th, 7:49:02 PM', 'November 30th, 7:16:44 PM', 'November 30th, 6:02:16 PM', 'November 30th, 5:41:54 PM', 'November 30th, 5:30:39 PM']}"
NUS Greyhats,5499,"{'challenge_name': ['Just Lattice', 'All your base are belong to us', ""Remind's Funny Stories 3"", 'epsilonDH', 'Bongcloud', 'Black Meet Wukong', 'Ransom Waifu', 'Reverb', 'Flag Checker', 'Too Hidden', 'Buffer Brawl', 'CTF Registration', 'Amineo', 'Twister', 'Guessy CTF Solver', 'Secure Shell', 'World Wide Flags', 'Forgot Password', 'WhiteRabbit', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Cryptography', 'Beginners', 'Reverse Engineering', 'Cryptography', 'Miscellaneous', 'Forensics', 'Reverse Engineering', 'Pwn', 'Reverse Engineering', 'Forensics', 'Pwn', 'Pwn', 'Cryptography', 'Cryptography', 'Web Exploitation', 'Beginners', 'Miscellaneous', 'Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['351', '65', '450', '213', '153', '436', '450', '316', '404', '150', '228', '464', '500', '398', '363', '50', '150', '163', '95', '50', '50'], 'solve_time': ['December 1st, 4:08:14 PM', 'December 1st, 4:03:30 PM', 'December 1st, 3:43:22 PM', 'December 1st, 1:55:40 PM', 'December 1st, 1:43:51 PM', 'December 1st, 1:24:52 PM', 'December 1st, 11:48:08 AM', 'December 1st, 12:48:47 AM', 'November 30th, 10:56:37 PM', 'November 30th, 9:38:48 PM', 'November 30th, 9:24:57 PM', 'November 30th, 9:23:34 PM', 'November 30th, 9:20:35 PM', 'November 30th, 8:55:16 PM', 'November 30th, 8:09:29 PM', 'November 30th, 7:49:50 PM', 'November 30th, 7:43:47 PM', 'November 30th, 7:36:00 PM', 'November 30th, 7:35:08 PM', 'November 30th, 6:52:08 PM', 'November 30th, 5:37:18 PM']}"
HCS,4165,"{'challenge_name': ['World Wide Flags', 'All your base are belong to us', 'Bongcloud', 'CTF Registration', 'Just Lattice', 'epsilonDH', 'Guessy CTF Solver', 'Reverb', ""Remind's Funny Stories 3"", 'Too Hidden', 'Flag Checker', 'WhiteRabbit', 'Forgot Password', 'Buffer Brawl', 'Secure Shell', 'Ransom Waifu', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Beginners', 'Miscellaneous', 'Pwn', 'Cryptography', 'Cryptography', 'Web Exploitation', 'Pwn', 'Reverse Engineering', 'Forensics', 'Reverse Engineering', 'Beginners', 'Forensics', 'Pwn', 'Beginners', 'Reverse Engineering', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '65', '153', '464', '351', '213', '363', '316', '450', '150', '404', '95', '163', '228', '50', '450', '50', '50'], 'solve_time': ['December 1st, 4:12:21 PM', 'December 1st, 3:44:00 PM', 'December 1st, 3:14:16 PM', 'December 1st, 1:59:51 PM', 'December 1st, 1:38:52 PM', 'December 1st, 1:07:33 PM', 'December 1st, 10:48:42 AM', 'December 1st, 6:42:42 AM', 'November 30th, 10:59:51 PM', 'November 30th, 10:42:54 PM', 'November 30th, 10:24:05 PM', 'November 30th, 9:56:25 PM', 'November 30th, 9:25:05 PM', 'November 30th, 8:57:36 PM', 'November 30th, 8:11:07 PM', 'November 30th, 7:44:55 PM', 'November 30th, 6:50:40 PM', 'November 30th, 5:44:12 PM']}"
ADMinions,4027,"{'challenge_name': ['Mutual TLS', 'Subathon', 'Modnar', 'Twister', 'Ransom Waifu', 'Just Lattice', 'Too Hidden', 'Bongcloud', 'Flag Checker', 'World Wide Flags', 'epsilonDH', 'Secure Shell', 'Forgot Password', 'All your base are belong to us', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Cryptography', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Miscellaneous', 'Reverse Engineering', 'Miscellaneous', 'Cryptography', 'Beginners', 'Forensics', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['464', '480', '436', '398', '450', '351', '150', '153', '404', '150', '213', '50', '163', '65', '50', '50'], 'solve_time': ['December 1st, 4:38:06 PM', 'December 1st, 11:56:28 AM', 'December 1st, 9:25:18 AM', 'December 1st, 8:29:02 AM', 'December 1st, 5:38:35 AM', 'November 30th, 10:20:01 PM', 'November 30th, 9:41:16 PM', 'November 30th, 9:17:44 PM', 'November 30th, 9:04:56 PM', 'November 30th, 8:30:42 PM', 'November 30th, 7:50:25 PM', 'November 30th, 7:46:59 PM', 'November 30th, 6:24:32 PM', 'November 30th, 5:55:49 PM', 'November 30th, 5:40:46 PM', 'November 30th, 5:39:09 PM']}"
vjl02174,3874,"{'challenge_name': ['Sanity Check', 'Twister', ""Remind's Funny Stories 3"", 'Bongcloud', 'Black Meet Wukong', 'epsilonDH', 'Guessy CTF Solver', 'Reverb', 'Ransom Waifu', 'Flag Checker', 'Too Hidden', 'Secure Shell', 'Buffer Brawl', 'Simpler RSA', 'Forgot Password'], 'challenge_category': ['Miscellaneous', 'Cryptography', 'Reverse Engineering', 'Miscellaneous', 'Forensics', 'Cryptography', 'Web Exploitation', 'Pwn', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Beginners', 'Pwn', 'Beginners', 'Forensics'], 'challenge_points': ['50', '398', '450', '153', '436', '213', '363', '316', '450', '404', '150', '50', '228', '50', '163'], 'solve_time': ['December 1st, 2:33:24 PM', 'December 1st, 1:55:13 PM', 'December 1st, 11:53:08 AM', 'December 1st, 11:48:39 AM', 'December 1st, 11:16:22 AM', 'December 1st, 11:01:24 AM', 'December 1st, 12:27:37 AM', 'November 30th, 11:28:35 PM', 'November 30th, 10:07:33 PM', 'November 30th, 10:07:20 PM', 'November 30th, 9:52:24 PM', 'November 30th, 9:32:51 PM', 'November 30th, 7:06:44 PM', 'November 30th, 6:11:41 PM', 'November 30th, 6:10:21 PM']}"
