name,points,challenge
PBR | UCLA,16194,"{'challenge_name': ['musicplayer', 'losecash', 'njaas', 'cver1', 'monochromatic', 'baby-rev', 'prismatic', 'link-shortener', 'What the Crypto?', 'pipe-dream', 'twitter-clone', 'labyrinth', 'runes', 'no-code', 'imagechecker', 'sporadic-elucidation', 'survey', 'defense-in-depth', 'segvroad', 'wiikileak', 'Atom Bomb', 'ASSS', 'when', 'trouble at the spa', '7-Note Kalimba', 'Trolley Problem', '>>=jail', 'guesswhosstack', 'block cipher', 'shakespearejail', 'scanfun', 'Gadget_Freak', 'where', 'leetprime', 'what', 'class-struggle', 'vibe-coding', 'emacs-jail', 'welcome'], 'challenge_category': ['web', 'pwn', 'web', 'crypto', 'jail', 'rev', 'jail', 'web', 'web', 'rev', 'rev', 'rev', 'misc', 'web', 'misc', 'crypto', 'misc', 'web', 'rev', 'misc', 'web', 'crypto', 'web', 'web', 'misc', 'pwn', 'jail', 'pwn', 'misc', 'jail', 'pwn', 'pwn', 'pwn', 'crypto', 'rev', 'rev', 'jail', 'jail', 'misc'], 'challenge_points': ['495', '492', '495', '492', '496', '488', '492', '481', '481', '489', '492', '488', '493', '489', '494', '465', '1', '463', '474', '482', '436', '292', '107', '266', '496', '409', '488', '478', '457', '478', '473', '462', '305', '482', '318', '157', '354', '493', '1'], 'solve_time': ['Apr 20, 2025, 9:11 PM', 'Apr 20, 2025, 2:42 PM', 'Apr 20, 2025, 10:41 AM', 'Apr 20, 2025, 8:28 AM', 'Apr 20, 2025, 8:20 AM', 'Apr 20, 2025, 7:40 AM', 'Apr 20, 2025, 6:37 AM', 'Apr 20, 2025, 6:12 AM', 'Apr 20, 2025, 2:50 AM', 'Apr 20, 2025, 2:26 AM', 'Apr 20, 2025, 1:54 AM', 'Apr 20, 2025, 1:14 AM', 'Apr 20, 2025, 12:35 AM', 'Apr 20, 2025, 12:21 AM', 'Apr 20, 2025, 12:18 AM', 'Apr 19, 2025, 11:43 PM', 'Apr 19, 2025, 11:32 PM', 'Apr 19, 2025, 10:03 PM', 'Apr 19, 2025, 9:56 PM', 'Apr 19, 2025, 9:42 PM', 'Apr 19, 2025, 9:14 PM', 'Apr 19, 2025, 9:03 PM', 'Apr 19, 2025, 7:44 PM', 'Apr 19, 2025, 7:36 PM', 'Apr 19, 2025, 1:47 PM', 'Apr 19, 2025, 8:33 AM', 'Apr 19, 2025, 8:22 AM', 'Apr 19, 2025, 7:59 AM', 'Apr 19, 2025, 7:40 AM', 'Apr 19, 2025, 5:27 AM', 'Apr 19, 2025, 3:45 AM', 'Apr 19, 2025, 2:43 AM', 'Apr 19, 2025, 1:55 AM', 'Apr 19, 2025, 1:33 AM', 'Apr 19, 2025, 1:24 AM', 'Apr 19, 2025, 1:10 AM', 'Apr 18, 2025, 11:35 PM', 'Apr 18, 2025, 11:31 PM', 'Apr 18, 2025, 11:00 PM']}"
infobahn,15696,"{'challenge_name': ['Provisioned Secret Sharing', 'What the Crypto?', 'emacs-jail', 'pipe-dream', 'cver1', '7-Note Kalimba', 'runes', 'wiikileak', 'leetprime', 'shakespearejail', 'scanfun', 'baby-rev', 'no-code', 'segvroad', 'guesswhosstack', 'survey', 'Pesky CBC', 'defense-in-depth', 'Trolley Problem', '>>=jail', 'link-shortener', 'labyrinth', 'sporadic-elucidation', 'Gadget_Freak', 'imagechecker', 'monochromatic', 'Atom Bomb', 'trouble at the spa', 'b03lers', 'when', 'vibe-coding', 'block cipher', 'prismatic', 'ASSS', 'where', 'what', 'class-struggle', 'welcome'], 'challenge_category': ['crypto', 'web', 'jail', 'rev', 'crypto', 'misc', 'misc', 'misc', 'crypto', 'jail', 'pwn', 'rev', 'web', 'rev', 'pwn', 'misc', 'crypto', 'web', 'pwn', 'jail', 'web', 'rev', 'crypto', 'pwn', 'misc', 'jail', 'web', 'web', 'misc', 'web', 'jail', 'misc', 'jail', 'crypto', 'pwn', 'rev', 'rev', 'misc'], 'challenge_points': ['498', '481', '493', '489', '492', '496', '493', '482', '482', '478', '473', '488', '489', '474', '478', '1', '492', '463', '409', '488', '481', '488', '465', '462', '494', '496', '436', '266', '486', '107', '354', '457', '492', '292', '305', '318', '157', '1'], 'solve_time': ['Apr 20, 2025, 7:48 PM', 'Apr 20, 2025, 6:42 PM', 'Apr 20, 2025, 6:12 PM', 'Apr 20, 2025, 5:40 PM', 'Apr 20, 2025, 4:13 PM', 'Apr 20, 2025, 3:59 PM', 'Apr 20, 2025, 3:44 PM', 'Apr 20, 2025, 1:44 PM', 'Apr 20, 2025, 9:07 AM', 'Apr 20, 2025, 5:22 AM', 'Apr 20, 2025, 4:58 AM', 'Apr 20, 2025, 3:02 AM', 'Apr 20, 2025, 2:17 AM', 'Apr 20, 2025, 12:51 AM', 'Apr 19, 2025, 11:49 PM', 'Apr 19, 2025, 11:47 PM', 'Apr 19, 2025, 8:35 PM', 'Apr 19, 2025, 5:45 PM', 'Apr 19, 2025, 3:44 PM', 'Apr 19, 2025, 3:09 PM', 'Apr 19, 2025, 2:34 PM', 'Apr 19, 2025, 8:10 AM', 'Apr 19, 2025, 7:54 AM', 'Apr 19, 2025, 7:53 AM', 'Apr 19, 2025, 7:44 AM', 'Apr 19, 2025, 5:26 AM', 'Apr 19, 2025, 4:30 AM', 'Apr 19, 2025, 4:08 AM', 'Apr 19, 2025, 3:15 AM', 'Apr 19, 2025, 2:52 AM', 'Apr 19, 2025, 2:37 AM', 'Apr 19, 2025, 2:03 AM', 'Apr 19, 2025, 12:43 AM', 'Apr 18, 2025, 11:57 PM', 'Apr 18, 2025, 11:48 PM', 'Apr 18, 2025, 11:37 PM', 'Apr 18, 2025, 11:27 PM', 'Apr 18, 2025, 11:06 PM']}"
".;,;.",15219,"{'challenge_name': ['njaas', 'guesswhosstack', 'What the Crypto?', 'prismatic', 'leetprime', '7-Note Kalimba', 'survey', 'Gadget_Freak', '>>=jail', 'labyrinth', 'defense-in-depth', 'Trolley Problem', 'emacs-jail', 'sporadic-elucidation', 'no-code', 'cver1', 'wiikileak', 'runes', 'b03lers', 'pipe-dream', 'block cipher', 'twitter-clone', 'segvroad', 'link-shortener', 'musicplayer', 'imagechecker', 'where', 'baby-rev', 'shakespearejail', 'what', 'Atom Bomb', 'trouble at the spa', 'ASSS', 'class-struggle', 'vibe-coding', 'when', 'welcome'], 'challenge_category': ['web', 'pwn', 'web', 'jail', 'crypto', 'misc', 'misc', 'pwn', 'jail', 'rev', 'web', 'pwn', 'jail', 'crypto', 'web', 'crypto', 'misc', 'misc', 'misc', 'rev', 'misc', 'rev', 'rev', 'web', 'web', 'misc', 'pwn', 'rev', 'jail', 'rev', 'web', 'web', 'crypto', 'rev', 'jail', 'web', 'misc'], 'challenge_points': ['495', '478', '481', '492', '482', '496', '1', '462', '488', '488', '463', '409', '493', '465', '489', '492', '482', '493', '486', '489', '457', '492', '474', '481', '495', '494', '305', '488', '478', '318', '436', '266', '292', '157', '354', '107', '1'], 'solve_time': ['Apr 20, 2025, 7:52 PM', 'Apr 20, 2025, 1:14 PM', 'Apr 20, 2025, 6:01 AM', 'Apr 20, 2025, 3:44 AM', 'Apr 20, 2025, 3:16 AM', 'Apr 20, 2025, 12:51 AM', 'Apr 19, 2025, 11:35 PM', 'Apr 19, 2025, 11:08 PM', 'Apr 19, 2025, 10:18 PM', 'Apr 19, 2025, 10:17 PM', 'Apr 19, 2025, 10:08 PM', 'Apr 19, 2025, 9:30 PM', 'Apr 19, 2025, 8:33 PM', 'Apr 19, 2025, 5:14 PM', 'Apr 19, 2025, 4:44 PM', 'Apr 19, 2025, 9:35 AM', 'Apr 19, 2025, 8:39 AM', 'Apr 19, 2025, 7:59 AM', 'Apr 19, 2025, 7:22 AM', 'Apr 19, 2025, 6:10 AM', 'Apr 19, 2025, 5:29 AM', 'Apr 19, 2025, 3:58 AM', 'Apr 19, 2025, 3:28 AM', 'Apr 19, 2025, 3:04 AM', 'Apr 19, 2025, 2:34 AM', 'Apr 19, 2025, 12:42 AM', 'Apr 19, 2025, 12:41 AM', 'Apr 19, 2025, 12:28 AM', 'Apr 19, 2025, 12:01 AM', 'Apr 18, 2025, 11:58 PM', 'Apr 18, 2025, 11:52 PM', 'Apr 18, 2025, 11:48 PM', 'Apr 18, 2025, 11:25 PM', 'Apr 18, 2025, 11:15 PM', 'Apr 18, 2025, 11:13 PM', 'Apr 18, 2025, 11:10 PM', 'Apr 18, 2025, 11:00 PM']}"
no rev/pwn no life,12740,"{'challenge_name': ['What the Crypto?', '>>=jail', 'Atom Bomb', 'prismatic', 'labyrinth', 'wiikileak', 'cver1', 'shakespearejail', 'pipe-dream', 'losecash', 'defense-in-depth', 'Pesky CBC', 'survey', 'b03lers', 'leetprime', 'block cipher', 'guesswhosstack', 'twitter-clone', 'Trolley Problem', 'Gadget_Freak', 'trouble at the spa', 'segvroad', 'sporadic-elucidation', 'baby-rev', 'vibe-coding', 'what', 'class-struggle', 'scanfun', 'ASSS', 'when', 'where', 'welcome'], 'challenge_category': ['web', 'jail', 'web', 'jail', 'rev', 'misc', 'crypto', 'jail', 'rev', 'pwn', 'web', 'crypto', 'misc', 'misc', 'crypto', 'misc', 'pwn', 'rev', 'pwn', 'pwn', 'web', 'rev', 'crypto', 'rev', 'jail', 'rev', 'rev', 'pwn', 'crypto', 'web', 'pwn', 'misc'], 'challenge_points': ['481', '488', '436', '492', '488', '482', '492', '478', '489', '492', '463', '492', '1', '486', '482', '457', '478', '492', '409', '462', '266', '474', '465', '488', '354', '318', '157', '473', '292', '107', '305', '1'], 'solve_time': ['Apr 20, 2025, 6:27 PM', 'Apr 20, 2025, 3:33 PM', 'Apr 20, 2025, 1:49 PM', 'Apr 20, 2025, 12:57 PM', 'Apr 20, 2025, 10:36 AM', 'Apr 20, 2025, 10:15 AM', 'Apr 20, 2025, 9:39 AM', 'Apr 20, 2025, 8:01 AM', 'Apr 20, 2025, 7:58 AM', 'Apr 20, 2025, 6:59 AM', 'Apr 20, 2025, 4:15 AM', 'Apr 20, 2025, 2:45 AM', 'Apr 20, 2025, 12:25 AM', 'Apr 19, 2025, 8:12 PM', 'Apr 19, 2025, 5:39 PM', 'Apr 19, 2025, 11:24 AM', 'Apr 19, 2025, 11:08 AM', 'Apr 19, 2025, 10:08 AM', 'Apr 19, 2025, 10:05 AM', 'Apr 19, 2025, 8:58 AM', 'Apr 19, 2025, 8:32 AM', 'Apr 19, 2025, 7:20 AM', 'Apr 19, 2025, 6:13 AM', 'Apr 19, 2025, 6:00 AM', 'Apr 19, 2025, 5:26 AM', 'Apr 19, 2025, 3:11 AM', 'Apr 19, 2025, 3:01 AM', 'Apr 19, 2025, 2:20 AM', 'Apr 19, 2025, 1:36 AM', 'Apr 19, 2025, 1:09 AM', 'Apr 18, 2025, 11:56 PM', 'Apr 18, 2025, 11:05 PM']}"
TRX,11278,"{'challenge_name': ['labyrinth', 'defense-in-depth', 'survey', 'What the Crypto?', '>>=jail', 'link-shortener', 'losecash', 'shakespearejail', 'musicplayer', 'segvroad', 'Atom Bomb', 'trouble at the spa', 'njaas', 'vibe-coding', 'sporadic-elucidation', 'leetprime', 'guesswhosstack', 'baby-rev', 'Trolley Problem', 'when', 'block cipher', 'cver1', 'Gadget_Freak', 'scanfun', 'class-struggle', 'ASSS', 'what', 'where', 'welcome'], 'challenge_category': ['rev', 'web', 'misc', 'web', 'jail', 'web', 'pwn', 'jail', 'web', 'rev', 'web', 'web', 'web', 'jail', 'crypto', 'crypto', 'pwn', 'rev', 'pwn', 'web', 'misc', 'crypto', 'pwn', 'pwn', 'rev', 'crypto', 'rev', 'pwn', 'misc'], 'challenge_points': ['488', '463', '1', '481', '488', '481', '492', '478', '495', '474', '436', '266', '495', '354', '465', '482', '478', '488', '409', '107', '457', '492', '462', '473', '157', '292', '318', '305', '1'], 'solve_time': ['Apr 20, 2025, 10:46 PM', 'Apr 20, 2025, 10:38 PM', 'Apr 20, 2025, 9:44 PM', 'Apr 20, 2025, 9:40 PM', 'Apr 20, 2025, 6:56 PM', 'Apr 20, 2025, 6:19 PM', 'Apr 20, 2025, 5:15 PM', 'Apr 20, 2025, 4:58 PM', 'Apr 20, 2025, 3:18 PM', 'Apr 20, 2025, 12:29 AM', 'Apr 19, 2025, 9:36 PM', 'Apr 19, 2025, 7:09 PM', 'Apr 19, 2025, 5:21 PM', 'Apr 19, 2025, 5:17 PM', 'Apr 19, 2025, 5:08 PM', 'Apr 19, 2025, 4:29 PM', 'Apr 19, 2025, 3:23 PM', 'Apr 19, 2025, 2:43 PM', 'Apr 19, 2025, 1:40 PM', 'Apr 19, 2025, 12:23 PM', 'Apr 19, 2025, 10:18 AM', 'Apr 19, 2025, 7:58 AM', 'Apr 19, 2025, 1:06 AM', 'Apr 19, 2025, 12:45 AM', 'Apr 19, 2025, 12:25 AM', 'Apr 18, 2025, 11:57 PM', 'Apr 18, 2025, 11:22 PM', 'Apr 18, 2025, 11:10 PM', 'Apr 18, 2025, 11:03 PM']}"
Maple Bacon,9838,"{'challenge_name': ['leetprime', 'wiikileak', 'What the Crypto?', 'baby-rev', 'njaas', 'survey', 'defense-in-depth', 'segvroad', 'Atom Bomb', 'Trolley Problem', 'runes', 'block cipher', '>>=jail', 'Pesky CBC', 'trouble at the spa', 'where', 'what', 'Gadget_Freak', 'sporadic-elucidation', 'ASSS', 'class-struggle', 'shakespearejail', 'vibe-coding', 'prismatic', 'when', 'welcome'], 'challenge_category': ['crypto', 'misc', 'web', 'rev', 'web', 'misc', 'web', 'rev', 'web', 'pwn', 'misc', 'misc', 'jail', 'crypto', 'web', 'pwn', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'jail', 'jail', 'jail', 'web', 'misc'], 'challenge_points': ['482', '482', '481', '488', '495', '1', '463', '474', '436', '409', '493', '457', '488', '492', '266', '305', '318', '462', '465', '292', '157', '478', '354', '492', '107', '1'], 'solve_time': ['Apr 20, 2025, 10:05 PM', 'Apr 20, 2025, 7:53 PM', 'Apr 20, 2025, 7:57 AM', 'Apr 20, 2025, 4:22 AM', 'Apr 20, 2025, 12:49 AM', 'Apr 19, 2025, 11:45 PM', 'Apr 19, 2025, 11:03 PM', 'Apr 19, 2025, 9:50 PM', 'Apr 19, 2025, 8:38 PM', 'Apr 19, 2025, 8:03 PM', 'Apr 19, 2025, 6:58 PM', 'Apr 19, 2025, 12:12 PM', 'Apr 19, 2025, 11:25 AM', 'Apr 19, 2025, 10:21 AM', 'Apr 19, 2025, 7:08 AM', 'Apr 19, 2025, 5:37 AM', 'Apr 19, 2025, 5:24 AM', 'Apr 19, 2025, 5:08 AM', 'Apr 19, 2025, 3:58 AM', 'Apr 19, 2025, 2:50 AM', 'Apr 19, 2025, 2:44 AM', 'Apr 19, 2025, 2:26 AM', 'Apr 19, 2025, 12:56 AM', 'Apr 19, 2025, 12:49 AM', 'Apr 19, 2025, 12:20 AM', 'Apr 18, 2025, 11:01 PM']}"
Thehackerscrew,9344,"{'challenge_name': ['What the Crypto?', 'defense-in-depth', 'baby-rev', 'b03lers', 'block cipher', 'survey', 'link-shortener', 'leetprime', 'Provisioned Secret Sharing', 'cver1', 'guesswhosstack', 'Trolley Problem', 'Pesky CBC', 'Gadget_Freak', 'scanfun', 'sporadic-elucidation', 'Atom Bomb', 'vibe-coding', 'where', 'what', 'class-struggle', 'welcome', 'ASSS', 'trouble at the spa', 'when'], 'challenge_category': ['web', 'web', 'rev', 'misc', 'misc', 'misc', 'web', 'crypto', 'crypto', 'crypto', 'pwn', 'pwn', 'crypto', 'pwn', 'pwn', 'crypto', 'web', 'jail', 'pwn', 'rev', 'rev', 'misc', 'crypto', 'web', 'web'], 'challenge_points': ['481', '463', '488', '486', '457', '1', '481', '482', '498', '492', '478', '409', '492', '462', '473', '465', '436', '354', '305', '318', '157', '1', '292', '266', '107'], 'solve_time': ['Apr 20, 2025, 7:12 PM', 'Apr 20, 2025, 9:48 AM', 'Apr 20, 2025, 7:15 AM', 'Apr 20, 2025, 1:15 AM', 'Apr 20, 2025, 1:11 AM', 'Apr 20, 2025, 12:32 AM', 'Apr 19, 2025, 11:18 PM', 'Apr 19, 2025, 10:36 PM', 'Apr 19, 2025, 8:19 PM', 'Apr 19, 2025, 3:32 PM', 'Apr 19, 2025, 2:38 PM', 'Apr 19, 2025, 12:19 PM', 'Apr 19, 2025, 11:50 AM', 'Apr 19, 2025, 11:30 AM', 'Apr 19, 2025, 10:19 AM', 'Apr 19, 2025, 9:42 AM', 'Apr 19, 2025, 7:19 AM', 'Apr 19, 2025, 3:53 AM', 'Apr 19, 2025, 3:46 AM', 'Apr 19, 2025, 2:16 AM', 'Apr 19, 2025, 1:14 AM', 'Apr 19, 2025, 1:13 AM', 'Apr 19, 2025, 1:09 AM', 'Apr 19, 2025, 12:07 AM', 'Apr 18, 2025, 11:25 PM']}"
SIGPwny,7914,"{'challenge_name': ['sporadic-elucidation', 'what', '>>=jail', 'Trolley Problem', 'survey', 'prismatic', 'Atom Bomb', 'labyrinth', 'wiikileak', 'b03lers', 'ASSS', 'defense-in-depth', 'link-shortener', 'class-struggle', 'baby-rev', 'when', 'where', 'block cipher', 'trouble at the spa', 'shakespearejail', 'vibe-coding', 'welcome'], 'challenge_category': ['crypto', 'rev', 'jail', 'pwn', 'misc', 'jail', 'web', 'rev', 'misc', 'misc', 'crypto', 'web', 'web', 'rev', 'rev', 'web', 'pwn', 'misc', 'web', 'jail', 'jail', 'misc'], 'challenge_points': ['465', '318', '488', '409', '1', '492', '436', '488', '482', '486', '292', '463', '481', '157', '488', '107', '305', '457', '266', '478', '354', '1'], 'solve_time': ['Apr 20, 2025, 9:27 PM', 'Apr 20, 2025, 9:27 PM', 'Apr 20, 2025, 8:12 PM', 'Apr 20, 2025, 4:36 AM', 'Apr 20, 2025, 3:10 AM', 'Apr 19, 2025, 8:55 PM', 'Apr 19, 2025, 8:46 PM', 'Apr 19, 2025, 8:31 PM', 'Apr 19, 2025, 2:21 PM', 'Apr 19, 2025, 12:02 PM', 'Apr 19, 2025, 10:34 AM', 'Apr 19, 2025, 9:45 AM', 'Apr 19, 2025, 8:02 AM', 'Apr 19, 2025, 6:10 AM', 'Apr 19, 2025, 5:44 AM', 'Apr 19, 2025, 4:51 AM', 'Apr 19, 2025, 4:22 AM', 'Apr 19, 2025, 3:37 AM', 'Apr 19, 2025, 1:14 AM', 'Apr 19, 2025, 12:59 AM', 'Apr 18, 2025, 11:24 PM', 'Apr 18, 2025, 11:07 PM']}"
Asuri,7865,"{'challenge_name': ['guesswhosstack', 'pipe-dream', 'segvroad', 'Atom Bomb', 'sporadic-elucidation', 'survey', 'scanfun', 'defense-in-depth', '>>=jail', 'shakespearejail', 'Trolley Problem', 'Gadget_Freak', 'cver1', 'block cipher', 'vibe-coding', 'what', 'where', 'trouble at the spa', 'when', 'welcome', 'ASSS', 'class-struggle'], 'challenge_category': ['pwn', 'rev', 'rev', 'web', 'crypto', 'misc', 'pwn', 'web', 'jail', 'jail', 'pwn', 'pwn', 'crypto', 'misc', 'jail', 'rev', 'pwn', 'web', 'web', 'misc', 'crypto', 'rev'], 'challenge_points': ['478', '489', '474', '436', '465', '1', '473', '463', '488', '478', '409', '462', '492', '457', '354', '318', '305', '266', '107', '1', '292', '157'], 'solve_time': ['Apr 20, 2025, 3:27 PM', 'Apr 20, 2025, 1:58 PM', 'Apr 20, 2025, 12:41 PM', 'Apr 20, 2025, 12:25 PM', 'Apr 20, 2025, 11:31 AM', 'Apr 20, 2025, 9:34 AM', 'Apr 20, 2025, 9:29 AM', 'Apr 20, 2025, 6:53 AM', 'Apr 20, 2025, 6:21 AM', 'Apr 20, 2025, 2:28 AM', 'Apr 19, 2025, 7:37 PM', 'Apr 19, 2025, 3:33 PM', 'Apr 19, 2025, 9:18 AM', 'Apr 19, 2025, 8:36 AM', 'Apr 19, 2025, 7:48 AM', 'Apr 19, 2025, 4:55 AM', 'Apr 19, 2025, 3:33 AM', 'Apr 19, 2025, 3:28 AM', 'Apr 19, 2025, 3:14 AM', 'Apr 19, 2025, 2:44 AM', 'Apr 19, 2025, 2:37 AM', 'Apr 19, 2025, 1:36 AM']}"
Mntcrl,7010,"{'challenge_name': ['shakespearejail', 'segvroad', 'What the Crypto?', 'survey', 'Atom Bomb', 'leetprime', 'defense-in-depth', 'wiikileak', 'vibe-coding', 'no-code', 'trouble at the spa', 'ASSS', 'block cipher', 'what', 'where', 'b03lers', 'link-shortener', 'when', 'class-struggle', 'welcome'], 'challenge_category': ['jail', 'rev', 'web', 'misc', 'web', 'crypto', 'web', 'misc', 'jail', 'web', 'web', 'crypto', 'misc', 'rev', 'pwn', 'misc', 'web', 'web', 'rev', 'misc'], 'challenge_points': ['478', '474', '481', '1', '436', '482', '463', '482', '354', '489', '266', '292', '457', '318', '305', '486', '481', '107', '157', '1'], 'solve_time': ['Apr 20, 2025, 6:09 PM', 'Apr 20, 2025, 4:44 PM', 'Apr 20, 2025, 4:02 PM', 'Apr 20, 2025, 12:41 AM', 'Apr 19, 2025, 10:29 PM', 'Apr 19, 2025, 8:14 PM', 'Apr 19, 2025, 7:52 PM', 'Apr 19, 2025, 3:59 PM', 'Apr 19, 2025, 3:01 PM', 'Apr 19, 2025, 2:44 PM', 'Apr 19, 2025, 2:41 PM', 'Apr 19, 2025, 2:21 PM', 'Apr 19, 2025, 10:50 AM', 'Apr 19, 2025, 7:41 AM', 'Apr 19, 2025, 7:06 AM', 'Apr 19, 2025, 3:38 AM', 'Apr 19, 2025, 1:03 AM', 'Apr 18, 2025, 11:29 PM', 'Apr 18, 2025, 11:10 PM', 'Apr 18, 2025, 11:01 PM']}"
