name,points,challenge
Srdnlen,7282,"{'challenge_name': ['waveformcipher', 'Feedback Form', 'ECRSA', 'Cornfest', 'Enterprise Notes', 'QECDSA', 'PHPisLovePHPisLife3', 'flags checker', 'Flag Detector', 'SZKP', 'Deep Fried', 'Poisoned Bank', 'Simple Chat', 'PolentaGPT', 'he protecc', 'My First Field', 'Floppy', 'aeronaut', 'Sanity Check'], 'challenge_category': ['misc', 'intro', 'crypto', 'misc', 'misc', 'crypto', 'web', 'rev', 'misc', 'crypto', 'rev', 'pwn', 'web', 'web', 'pwn', 'misc', 'misc', 'web', 'intro'], 'challenge_points': ['488', '10', '496', '496', '496', '500', '440', '500', '428', '500', '500', '488', '280', '440', '468', '50', '280', '372', '50'], 'solve_time': ['2025-06-22T10:41:31.837275Z', '2025-06-22T10:09:57.448361Z', '2025-06-22T09:52:44.442596Z', '2025-06-22T09:43:02.409433Z', '2025-06-22T09:18:12.289212Z', '2025-06-22T02:55:33.511241Z', '2025-06-21T20:41:40.715964Z', '2025-06-21T19:29:03.442580Z', '2025-06-21T17:31:38.874705Z', '2025-06-21T16:59:30.829790Z', '2025-06-21T16:00:10.856310Z', '2025-06-21T15:27:36.806386Z', '2025-06-21T14:48:46.493815Z', '2025-06-21T14:30:47.413949Z', '2025-06-21T13:22:27.048842Z', '2025-06-21T13:21:34.835473Z', '2025-06-21T13:13:46.041185Z', '2025-06-21T13:05:37.830669Z', '2025-06-21T12:02:17.082120Z']}"
ARESx,5862,"{'challenge_name': ['QECDSA', 'matrix_madness', 'Feedback Form', 'Enterprise Notes', 'CornHub', 'flags checker', 'Floppy', 'he protecc', 'ECRSA', 'aeronaut', 'My First Field', 'PolentaGPT', 'Poisoned Bank', 'Simple Chat', 'PHPisLovePHPisLife3', 'Sanity Check'], 'challenge_category': ['crypto', 'crypto', 'intro', 'misc', 'web', 'rev', 'misc', 'pwn', 'crypto', 'web', 'misc', 'web', 'pwn', 'web', 'web', 'intro'], 'challenge_points': ['500', '496', '10', '496', '496', '500', '280', '468', '496', '372', '50', '440', '488', '280', '440', '50'], 'solve_time': ['2025-06-22T11:50:27.562463Z', '2025-06-22T11:50:18.667190Z', '2025-06-22T10:08:33.313385Z', '2025-06-22T03:36:28.252521Z', '2025-06-22T02:52:55.304624Z', '2025-06-21T23:36:44.180784Z', '2025-06-21T23:25:18.505446Z', '2025-06-21T19:36:23.255379Z', '2025-06-21T19:19:14.864583Z', '2025-06-21T18:21:48.945970Z', '2025-06-21T18:09:23.106124Z', '2025-06-21T16:36:25.248415Z', '2025-06-21T15:05:22.126740Z', '2025-06-21T13:57:43.632829Z', '2025-06-21T13:22:34.855098Z', '2025-06-21T12:06:16.491938Z']}"
TRX,3590,"{'challenge_name': ['Feedback Form', 'ECRSA', 'Poisoned Bank', 'matrix_madness', 'PHPisLovePHPisLife3', 'aeronaut', 'My First Field', 'Simple Chat', 'PolentaGPT', 'he protecc', 'Sanity Check'], 'challenge_category': ['intro', 'crypto', 'pwn', 'crypto', 'web', 'web', 'misc', 'web', 'web', 'pwn', 'intro'], 'challenge_points': ['10', '496', '488', '496', '440', '372', '50', '280', '440', '468', '50'], 'solve_time': ['2025-06-22T11:59:17.908700Z', '2025-06-22T11:57:10.564768Z', '2025-06-22T11:26:45.005897Z', '2025-06-22T11:20:41.249830Z', '2025-06-21T22:18:45.024949Z', '2025-06-21T18:46:45.738331Z', '2025-06-21T17:13:15.175987Z', '2025-06-21T16:12:08.231362Z', '2025-06-21T15:20:35.816152Z', '2025-06-21T13:41:48.797917Z', '2025-06-21T12:34:54.632998Z']}"
RSC,3342,"{'challenge_name': ['Flag Detector', 'Feedback Form', 'Enterprise Notes', 'CornHub', 'Floppy', 'PHPisLovePHPisLife3', 'aeronaut', 'My First Field', 'PolentaGPT', 'Simple Chat', 'Sanity Check'], 'challenge_category': ['misc', 'intro', 'misc', 'web', 'misc', 'web', 'web', 'misc', 'web', 'web', 'intro'], 'challenge_points': ['428', '10', '496', '496', '280', '440', '372', '50', '440', '280', '50'], 'solve_time': ['2025-06-22T11:13:41.199007Z', '2025-06-22T10:08:01.802582Z', '2025-06-22T09:45:22.402531Z', '2025-06-22T08:23:02.841820Z', '2025-06-22T03:09:39.826494Z', '2025-06-21T21:14:47.075518Z', '2025-06-21T19:53:23.358777Z', '2025-06-21T18:34:27.409521Z', '2025-06-21T18:15:04.246947Z', '2025-06-21T16:44:05.970080Z', '2025-06-21T12:13:38.808995Z']}"
uncavohdmi,3342,"{'challenge_name': ['CornHub', 'Feedback Form', 'My First Field', 'Flag Detector', 'Floppy', 'Enterprise Notes', 'PHPisLovePHPisLife3', 'aeronaut', 'Simple Chat', 'PolentaGPT', 'Sanity Check'], 'challenge_category': ['web', 'intro', 'misc', 'misc', 'misc', 'misc', 'web', 'web', 'web', 'web', 'intro'], 'challenge_points': ['496', '10', '50', '428', '280', '496', '440', '372', '280', '440', '50'], 'solve_time': ['2025-06-22T11:33:44.066235Z', '2025-06-22T10:46:40.921967Z', '2025-06-22T10:01:34.362757Z', '2025-06-22T09:00:02.447710Z', '2025-06-22T07:09:22.993754Z', '2025-06-21T22:15:58.907828Z', '2025-06-21T16:49:05.907469Z', '2025-06-21T15:42:12.678158Z', '2025-06-21T14:16:49.016660Z', '2025-06-21T13:23:22.355920Z', '2025-06-21T12:01:56.069481Z']}"
K!nd4SUS,3334,"{'challenge_name': ['waveformcipher', 'Feedback Form', 'CornHub', 'PolentaGPT', 'My First Field', 'Simple Chat', 'Floppy', 'aeronaut', 'PHPisLovePHPisLife3', 'Flag Detector', 'Sanity Check'], 'challenge_category': ['misc', 'intro', 'web', 'web', 'misc', 'web', 'misc', 'web', 'web', 'misc', 'intro'], 'challenge_points': ['488', '10', '496', '440', '50', '280', '280', '372', '440', '428', '50'], 'solve_time': ['2025-06-22T11:17:25.478946Z', '2025-06-22T10:56:47.598141Z', '2025-06-22T09:30:48.537550Z', '2025-06-21T20:11:56.127612Z', '2025-06-21T15:47:52.261590Z', '2025-06-21T15:08:02.592210Z', '2025-06-21T14:41:00.034166Z', '2025-06-21T14:39:12.028419Z', '2025-06-21T13:55:54.965098Z', '2025-06-21T13:17:21.174238Z', '2025-06-21T12:01:56.162402Z']}"
napwnli,2846,"{'challenge_name': ['Feedback Form', 'Cornfest', 'PolentaGPT', 'Flag Detector', 'aeronaut', 'Floppy', 'My First Field', 'Simple Chat', 'PHPisLovePHPisLife3', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'web', 'misc', 'web', 'misc', 'misc', 'web', 'web', 'intro'], 'challenge_points': ['10', '496', '440', '428', '372', '280', '50', '280', '440', '50'], 'solve_time': ['2025-06-22T10:48:41.549855Z', '2025-06-22T10:37:50.985089Z', '2025-06-21T16:34:19.632364Z', '2025-06-21T15:56:25.740729Z', '2025-06-21T15:04:12.465747Z', '2025-06-21T14:57:53.412257Z', '2025-06-21T14:24:20.727387Z', '2025-06-21T13:01:48.767990Z', '2025-06-21T12:09:21.016795Z', '2025-06-21T12:02:06.122246Z']}"
MindCrafters,1976,"{'challenge_name': ['Feedback Form', 'waveformcipher', 'PolentaGPT', 'Floppy', 'Simple Chat', 'Flag Detector', 'Sanity Check'], 'challenge_category': ['intro', 'misc', 'web', 'misc', 'web', 'misc', 'intro'], 'challenge_points': ['10', '488', '440', '280', '280', '428', '50'], 'solve_time': ['2025-06-22T10:07:51.384248Z', '2025-06-22T08:46:45.513029Z', '2025-06-21T20:45:15.485632Z', '2025-06-21T20:44:21.701736Z', '2025-06-21T18:50:53.724427Z', '2025-06-21T15:24:36.091835Z', '2025-06-21T12:01:52.695742Z']}"
ByteTheCookies,1966,"{'challenge_name': ['Flag Detector', 'Feedback Form', 'aeronaut', 'Floppy', 'ECRSA', 'Simple Chat', 'My First Field', 'Sanity Check'], 'challenge_category': ['misc', 'intro', 'web', 'misc', 'crypto', 'web', 'misc', 'intro'], 'challenge_points': ['428', '10', '372', '280', '496', '280', '50', '50'], 'solve_time': ['2025-06-22T11:02:13.253955Z', '2025-06-22T10:21:23.175925Z', '2025-06-21T17:06:15.307175Z', '2025-06-21T16:38:58.070541Z', '2025-06-21T15:50:25.795466Z', '2025-06-21T14:57:37.411995Z', '2025-06-21T14:34:55.764580Z', '2025-06-21T12:03:02.041818Z']}"
0xE0F,1642,"{'challenge_name': ['Feedback Form', 'PHPisLovePHPisLife3', 'PolentaGPT', 'My First Field', 'Simple Chat', 'aeronaut', 'Sanity Check'], 'challenge_category': ['intro', 'web', 'web', 'misc', 'web', 'web', 'intro'], 'challenge_points': ['10', '440', '440', '50', '280', '372', '50'], 'solve_time': ['2025-06-22T11:14:24.759559Z', '2025-06-22T07:37:24.183397Z', '2025-06-21T19:00:40.039596Z', '2025-06-21T15:32:11.760926Z', '2025-06-21T15:24:38.081657Z', '2025-06-21T14:44:34.561102Z', '2025-06-21T12:02:29.912178Z']}"
