name,points,challenge
WROng_flag,6516,"{'challenge_name': ['Lost password', 'surfer', 'go-go-power-rangers', 'pong-student-club', 'breadcrumbs-256', 'breadcrumbs-1', 'talking-printer', 'ones-and-zeroes', 'minesweeper', 'cat detector', 'tick-tock', 'hard programming', 'baby-vm', 'echoes-of-the-past', 'keyboard-lovers', 'interview', 'easy rsa', 'uncertain', 'sprint-admin', 'calc', 'sprint-user', 'baby pwn', 'slow-down'], 'challenge_category': ['crypto', 'misc', 'rev', 'web', 'OSINT', 'OSINT', 'misc', 'misc', 'pwn', 'rev', 'pwn', 'misc', 'rev', 'web', 'web', 'misc', 'crypto', 'rev', 'web', 'web', 'web', 'pwn', 'web'], 'challenge_points': ['482', '498', '482', '466', '156', '376', '232', '419', '498', '472', '466', '247', '437', '376', '295', '50', '50', '264', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T13:32:10.740904Z', '2025-03-22T23:40:51.760154Z', '2025-03-22T22:16:58.951547Z', '2025-03-22T21:08:10.065029Z', '2025-03-22T18:12:19.774857Z', '2025-03-22T18:09:16.106496Z', '2025-03-22T16:43:13.326318Z', '2025-03-22T16:36:16.622155Z', '2025-03-22T14:49:12.138960Z', '2025-03-22T11:59:54.577487Z', '2025-03-22T02:09:34.362621Z', '2025-03-21T22:51:26.480575Z', '2025-03-21T22:41:02.204840Z', '2025-03-21T22:17:22.053313Z', '2025-03-21T21:18:37.404552Z', '2025-03-21T21:05:04.803118Z', '2025-03-21T20:57:09.970166Z', '2025-03-21T20:51:50.057766Z', '2025-03-21T20:12:25.528409Z', '2025-03-21T19:32:18.263804Z', '2025-03-21T19:22:30.455773Z', '2025-03-21T19:19:52.081050Z', '2025-03-21T19:10:13.705863Z']}"
Wojownicy z Piwnicy,6034,"{'challenge_name': ['surfer', 'pong-student-club', 'go-go-power-rangers', 'talking-printer', 'easy rsa', 'breadcrumbs-256', 'breadcrumbs-1', 'ones-and-zeroes', 'echoes-of-the-past', 'uncertain', 'minesweeper', 'baby-vm', 'keyboard-lovers', 'tick-tock', 'cat detector', 'sprint-admin', 'hard programming', 'interview', 'calc', 'baby pwn', 'sprint-user', 'slow-down'], 'challenge_category': ['misc', 'web', 'rev', 'misc', 'crypto', 'OSINT', 'OSINT', 'misc', 'web', 'rev', 'pwn', 'rev', 'web', 'pwn', 'rev', 'web', 'misc', 'misc', 'web', 'pwn', 'web', 'web'], 'challenge_points': ['498', '466', '482', '232', '50', '156', '376', '419', '376', '264', '498', '437', '295', '466', '472', '50', '247', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T00:22:32.337798Z', '2025-03-22T23:39:13.928007Z', '2025-03-22T23:23:10.327692Z', '2025-03-22T22:50:01.560005Z', '2025-03-22T21:05:24.316068Z', '2025-03-22T18:33:23.905291Z', '2025-03-22T18:17:14.029392Z', '2025-03-22T17:54:32.219982Z', '2025-03-22T09:24:56.609234Z', '2025-03-22T08:12:24.537461Z', '2025-03-22T05:54:32.814828Z', '2025-03-22T04:22:28.295224Z', '2025-03-22T02:38:42.960580Z', '2025-03-22T02:31:01.403545Z', '2025-03-22T01:17:22.629230Z', '2025-03-21T22:42:44.055762Z', '2025-03-21T22:15:48.765645Z', '2025-03-21T21:46:15.272280Z', '2025-03-21T20:50:31.076505Z', '2025-03-21T20:31:49.561764Z', '2025-03-21T19:44:11.798834Z', '2025-03-21T19:24:06.251316Z']}"
PWr Synt@x Err0r,6018,"{'challenge_name': ['Lost password', 'ones-and-zeroes', 'pong-student-club', 'go-go-power-rangers', 'breadcrumbs-256', 'breadcrumbs-1', 'tick-tock', 'minesweeper', 'cat detector', 'talking-printer', 'echoes-of-the-past', 'keyboard-lovers', 'hard programming', 'baby-vm', 'uncertain', 'easy rsa', 'calc', 'sprint-admin', 'sprint-user', 'slow-down', 'baby pwn', 'interview'], 'challenge_category': ['crypto', 'misc', 'web', 'rev', 'OSINT', 'OSINT', 'pwn', 'pwn', 'rev', 'misc', 'web', 'web', 'misc', 'rev', 'rev', 'crypto', 'web', 'web', 'web', 'web', 'pwn', 'misc'], 'challenge_points': ['482', '419', '466', '482', '156', '376', '466', '498', '472', '232', '376', '295', '247', '437', '264', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T15:13:12.870744Z', '2025-03-23T13:16:05.500752Z', '2025-03-22T23:57:18.937004Z', '2025-03-22T21:57:27.306874Z', '2025-03-22T20:52:56.551963Z', '2025-03-22T19:28:04.225813Z', '2025-03-22T17:53:28.541227Z', '2025-03-22T15:19:54.662989Z', '2025-03-22T13:08:21.618489Z', '2025-03-22T12:47:25.748205Z', '2025-03-22T11:33:05.227823Z', '2025-03-22T01:47:59.663099Z', '2025-03-22T00:11:56.372836Z', '2025-03-21T23:00:28.078812Z', '2025-03-21T22:48:18.729934Z', '2025-03-21T22:14:56.041055Z', '2025-03-21T21:18:47.990946Z', '2025-03-21T20:52:26.220059Z', '2025-03-21T20:36:38.671817Z', '2025-03-21T20:27:21.846676Z', '2025-03-21T19:34:21.167915Z', '2025-03-21T19:20:38.968991Z']}"
justCatTheFish,4940,"{'challenge_name': ['go-go-power-rangers', 'pong-student-club', 'uncertain', 'interview', 'abhor-re-nt', 'echoes-of-the-past', 'keyboard-lovers', 'ones-and-zeroes', 'sprint-admin', 'calc', 'hard programming', 'breadcrumbs-256', 'tick-tock', 'baby-vm', 'sprint-user', 'slow-down', 'Lost password', 'baby pwn', 'easy rsa'], 'challenge_category': ['rev', 'web', 'rev', 'misc', 'pwn', 'web', 'web', 'misc', 'web', 'web', 'misc', 'OSINT', 'pwn', 'rev', 'web', 'web', 'crypto', 'pwn', 'crypto'], 'challenge_points': ['482', '466', '264', '50', '500', '376', '295', '419', '50', '50', '247', '156', '466', '437', '50', '50', '482', '50', '50'], 'solve_time': ['2025-03-23T18:51:45.980993Z', '2025-03-23T15:47:37.202584Z', '2025-03-23T15:06:58.650656Z', '2025-03-23T14:52:51.495987Z', '2025-03-23T14:25:02.503483Z', '2025-03-23T12:58:09.414511Z', '2025-03-23T10:20:48.350370Z', '2025-03-23T02:26:28.530481Z', '2025-03-22T21:26:14.794762Z', '2025-03-22T21:00:20.705839Z', '2025-03-22T20:19:09.870358Z', '2025-03-22T19:14:12.573046Z', '2025-03-22T15:25:53.463729Z', '2025-03-22T09:40:51.295774Z', '2025-03-22T02:51:07.327998Z', '2025-03-22T02:50:52.140184Z', '2025-03-21T22:52:11.331002Z', '2025-03-21T21:59:56.785993Z', '2025-03-21T21:09:28.617277Z']}"
Liquid Team,4556,"{'challenge_name': ['easy rsa', 'cat detector', 'ones-and-zeroes', 'breadcrumbs-1', 'pong-student-club', 'baby-vm', 'uncertain', 'breadcrumbs-256', 'tick-tock', 'talking-printer', 'echoes-of-the-past', 'hard programming', 'keyboard-lovers', 'sprint-admin', 'interview', 'sprint-user', 'baby pwn', 'calc', 'slow-down'], 'challenge_category': ['crypto', 'rev', 'misc', 'OSINT', 'web', 'rev', 'rev', 'OSINT', 'pwn', 'misc', 'web', 'misc', 'web', 'web', 'misc', 'web', 'pwn', 'web', 'web'], 'challenge_points': ['50', '472', '419', '376', '466', '437', '264', '156', '466', '232', '376', '247', '295', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T18:17:34.727868Z', '2025-03-23T17:18:21.741848Z', '2025-03-23T16:37:47.881173Z', '2025-03-23T16:04:36.241790Z', '2025-03-23T15:07:09.568120Z', '2025-03-23T14:38:30.359861Z', '2025-03-23T11:32:47.881798Z', '2025-03-22T21:07:50.400007Z', '2025-03-22T19:17:58.621798Z', '2025-03-22T13:36:25.180862Z', '2025-03-22T13:13:52.151634Z', '2025-03-22T13:00:17.557396Z', '2025-03-22T11:02:40.753435Z', '2025-03-22T09:34:48.427301Z', '2025-03-22T09:13:39.758361Z', '2025-03-22T09:10:00.672896Z', '2025-03-22T09:02:07.542604Z', '2025-03-22T08:43:08.701785Z', '2025-03-22T07:42:52.712288Z']}"
Hakierspejs,4415,"{'challenge_name': ['easy rsa', 'uncertain', 'minesweeper', 'baby-vm', 'ones-and-zeroes', 'breadcrumbs-1', 'breadcrumbs-256', 'tick-tock', 'surfer', 'baby pwn', 'hard programming', 'interview', 'calc', 'sprint-admin', 'sprint-user', 'cat detector', 'slow-down', 'talking-printer'], 'challenge_category': ['crypto', 'rev', 'pwn', 'rev', 'misc', 'OSINT', 'OSINT', 'pwn', 'misc', 'pwn', 'misc', 'misc', 'web', 'web', 'web', 'rev', 'web', 'misc'], 'challenge_points': ['50', '264', '498', '437', '419', '376', '156', '466', '498', '50', '247', '50', '50', '50', '50', '472', '50', '232'], 'solve_time': ['2025-03-23T18:37:00.503253Z', '2025-03-23T10:19:59.133295Z', '2025-03-23T09:13:14.715569Z', '2025-03-23T05:08:49.984955Z', '2025-03-22T23:12:13.138973Z', '2025-03-22T21:48:42.178111Z', '2025-03-22T21:11:12.538781Z', '2025-03-22T12:02:31.290975Z', '2025-03-22T11:42:50.171466Z', '2025-03-22T07:58:39.124407Z', '2025-03-22T01:14:43.953515Z', '2025-03-22T00:35:35.643482Z', '2025-03-21T23:21:08.575394Z', '2025-03-21T22:11:05.944336Z', '2025-03-21T22:10:36.091397Z', '2025-03-21T21:59:17.376150Z', '2025-03-21T21:06:32.938671Z', '2025-03-21T20:07:53.790597Z']}"
nikost,4356,"{'challenge_name': ['baby pwn', 'ones-and-zeroes', 'Lost password', 'breadcrumbs-1', 'go-go-power-rangers', 'cat detector', 'breadcrumbs-256', 'echoes-of-the-past', 'interview', 'baby-vm', 'uncertain', 'sprint-admin', 'hard programming', 'keyboard-lovers', 'calc', 'sprint-user', 'slow-down', 'easy rsa'], 'challenge_category': ['pwn', 'misc', 'crypto', 'OSINT', 'rev', 'rev', 'OSINT', 'web', 'misc', 'rev', 'rev', 'web', 'misc', 'web', 'web', 'web', 'web', 'crypto'], 'challenge_points': ['50', '419', '482', '376', '482', '472', '156', '376', '50', '437', '264', '50', '247', '295', '50', '50', '50', '50'], 'solve_time': ['2025-03-23T12:56:51.939981Z', '2025-03-23T12:41:55.660952Z', '2025-03-23T10:54:33.210554Z', '2025-03-23T00:19:17.346324Z', '2025-03-23T00:00:28.459350Z', '2025-03-22T22:29:22.441379Z', '2025-03-22T20:06:15.517677Z', '2025-03-22T16:35:05.655889Z', '2025-03-22T15:32:52.214545Z', '2025-03-22T14:50:27.909326Z', '2025-03-22T12:35:49.067983Z', '2025-03-22T02:04:35.012041Z', '2025-03-22T01:39:41.769168Z', '2025-03-21T23:55:35.686294Z', '2025-03-21T23:00:10.833698Z', '2025-03-21T22:38:56.637544Z', '2025-03-21T22:36:13.981097Z', '2025-03-21T21:12:20.501163Z']}"
EPT,4324,"{'challenge_name': ['easy rsa', 'pong-student-club', 'breadcrumbs-256', 'breadcrumbs-1', 'ones-and-zeroes', 'echoes-of-the-past', 'tick-tock', 'baby-vm', 'uncertain', 'cat detector', 'hard programming', 'calc', 'keyboard-lovers', 'baby pwn', 'interview', 'sprint-admin', 'slow-down', 'sprint-user'], 'challenge_category': ['crypto', 'web', 'OSINT', 'OSINT', 'misc', 'web', 'pwn', 'rev', 'rev', 'rev', 'misc', 'web', 'web', 'pwn', 'misc', 'web', 'web', 'web'], 'challenge_points': ['50', '466', '156', '376', '419', '376', '466', '437', '264', '472', '247', '50', '295', '50', '50', '50', '50', '50'], 'solve_time': ['2025-03-22T21:54:57.365606Z', '2025-03-22T20:51:50.748451Z', '2025-03-22T19:31:41.508144Z', '2025-03-22T18:40:00.560219Z', '2025-03-22T18:05:13.734362Z', '2025-03-22T13:43:57.805877Z', '2025-03-22T11:52:23.031200Z', '2025-03-22T11:00:52.745039Z', '2025-03-22T03:49:23.910158Z', '2025-03-21T23:36:16.270581Z', '2025-03-21T22:13:03.354108Z', '2025-03-21T20:59:23.379165Z', '2025-03-21T20:55:17.444754Z', '2025-03-21T20:20:42.199486Z', '2025-03-21T19:58:28.019280Z', '2025-03-21T19:53:32.590671Z', '2025-03-21T19:31:51.688164Z', '2025-03-21T19:20:20.269769Z']}"
xSTF,3852,"{'challenge_name': ['ones-and-zeroes', 'baby-vm', 'pong-student-club', 'breadcrumbs-1', 'hard programming', 'breadcrumbs-256', 'uncertain', 'tick-tock', 'easy rsa', 'calc', 'sprint-admin', 'baby pwn', 'sprint-user', 'echoes-of-the-past', 'keyboard-lovers', 'interview', 'slow-down'], 'challenge_category': ['misc', 'rev', 'web', 'OSINT', 'misc', 'OSINT', 'rev', 'pwn', 'crypto', 'web', 'web', 'pwn', 'web', 'web', 'web', 'misc', 'web'], 'challenge_points': ['419', '437', '466', '376', '247', '156', '264', '466', '50', '50', '50', '50', '50', '376', '295', '50', '50'], 'solve_time': ['2025-03-23T18:19:09.019632Z', '2025-03-23T06:18:36.172156Z', '2025-03-23T02:52:27.539962Z', '2025-03-22T22:26:59.067379Z', '2025-03-22T22:19:12.512833Z', '2025-03-22T20:27:26.980565Z', '2025-03-22T12:24:24.412466Z', '2025-03-22T02:09:51.719254Z', '2025-03-22T02:04:17.620955Z', '2025-03-22T01:28:07.390135Z', '2025-03-22T00:59:21.795208Z', '2025-03-21T21:56:31.281899Z', '2025-03-21T21:53:06.710447Z', '2025-03-21T21:09:57.495627Z', '2025-03-21T20:45:36.246857Z', '2025-03-21T20:24:17.819618Z', '2025-03-21T20:14:43.387582Z']}"
Folletto giapponese ad alta tensione,3576,"{'challenge_name': ['pong-student-club', 'baby-vm', 'breadcrumbs-1', 'keyboard-lovers', 'go-go-power-rangers', 'breadcrumbs-256', 'hard programming', 'ones-and-zeroes', 'slow-down', 'surfer', 'interview', 'calc', 'baby pwn'], 'challenge_category': ['web', 'rev', 'OSINT', 'web', 'rev', 'OSINT', 'misc', 'misc', 'web', 'misc', 'misc', 'web', 'pwn'], 'challenge_points': ['466', '437', '376', '295', '482', '156', '247', '419', '50', '498', '50', '50', '50'], 'solve_time': ['2025-03-23T18:06:59.011259Z', '2025-03-23T16:30:04.687877Z', '2025-03-23T04:42:49.868813Z', '2025-03-23T03:48:51.828080Z', '2025-03-23T02:59:39.627056Z', '2025-03-22T22:59:28.174162Z', '2025-03-22T21:21:56.698598Z', '2025-03-22T17:39:19.016394Z', '2025-03-22T04:02:59.672029Z', '2025-03-22T03:51:04.978548Z', '2025-03-22T02:21:39.966963Z', '2025-03-22T00:35:43.218368Z', '2025-03-21T22:39:20.156279Z']}"
