name,points,challenge
r3kabahn,8288,"{'challenge_name': ['Sanity Check', 'sky', 'babyrop', 'saas', 'blargh', 'Easy Come Easy Go', 'never enough', 'debuggable-1', 'Success', 'Sculpture Revenge', 'Project Holoswap', 'DNA', 'Extension Mania', 'fORtran', 'liqUID glASS', 'a special place in reality', 'multisig-wallet', 'Extension Mania revenge', 'cowsay', 'TI-1983', 'debuggable-2', 'LCGs are SBGs', 'limit', 'rorecovery2', 'offset', 'debuggable-3', 'TI-1984', 'rorecovery1', 'Leaf', 'Fruit Ninja', 'sums', 'vs-math-ai', 'teemo-tuesday', 'dry-ice-n-co', ""Teemo's Secret"", 'rorecovery3', 'spontaneous'], 'challenge_category': ['misc', 'misc', 'pwn', 'crypto', 'pwn', 'rev', 'crypto', 'pwn', 'rev', 'web', 'misc', 'rev', 'web', 'rev', 'rev', 'crypto', 'misc', 'web', 'misc', 'misc', 'pwn', 'crypto', 'pwn', 'forensics', 'misc', 'pwn', 'misc', 'forensics', 'web', 'rev', 'crypto', 'misc', 'pwn', 'web', 'web', 'forensics', 'crypto'], 'challenge_points': ['10', '50', '114', '50', '216', '50', '109', '50', '50', '50', '262', '156', '50', '50', '238', '388', '165', '156', '76', '135', '102', '322', '234', '162', '352', '419', '469', '322', '469', '408', '430', '345', '469', '138', '378', '388', '456'], 'solve_time': ['2025-06-14T00:00:13.491201', '2025-06-14T05:09:43.052514', '2025-06-14T03:29:38.441511', '2025-06-14T03:03:22.558146', '2025-06-14T05:17:33.861228', '2025-06-14T00:25:59.820282', '2025-06-14T03:16:57.468070', '2025-06-14T05:23:31.897620', '2025-06-14T00:43:49.821242', '2025-06-14T03:59:33.434712', '2025-06-14T02:12:44.786515', '2025-06-14T05:59:59.802664', '2025-06-14T04:42:14.196810', '2025-06-14T01:16:00.678213', '2025-06-14T12:48:09.009946', '2025-06-14T20:27:18.086689', '2025-06-14T08:08:42.393786', '2025-06-14T08:15:57.837385', '2025-06-14T09:28:36.230848', '2025-06-14T09:57:35.089964', '2025-06-14T09:51:33.309605', '2025-06-14T18:39:05.158195', '2025-06-14T15:23:42.721793', '2025-06-14T15:49:57.685081', '2025-06-14T17:50:38.849393', '2025-06-14T16:16:45.291746', '2025-06-14T16:20:48.887202', '2025-06-14T16:28:45.864528', '2025-06-14T20:21:13.978592', '2025-06-15T17:46:20.908350', '2025-06-15T18:57:19.352260', '2025-06-15T00:53:18.176486', '2025-06-15T02:08:25.296167', '2025-06-15T03:41:53.432912', '2025-06-15T06:32:53.237263', '2025-06-15T21:13:52.444847', '2025-06-15T15:56:54.831535']}"
S4D Drovosec,6045,"{'challenge_name': ['rorecovery2', 'Extension Mania revenge', 'Sanity Check', 'Easy Come Easy Go', 'Sculpture Revenge', 'saas', 'Success', 'Extension Mania', 'DNA', 'fORtran', 'rorecovery1', 'cowsay', 'offset', 'TI-1983', 'multisig-wallet', 'sky', 'rorecovery3', 'never enough', 'Project Holoswap', 'vs-math-ai', 'a special place in reality', 'debuggable-1', 'babyrop', 'debuggable-2', 'liqUID glASS', 'limit', 'blargh', 'Leaf', 'dry-ice-n-co', 'Fruit Ninja', 'LCGs are SBGs', ""Teemo's Secret""], 'challenge_category': ['forensics', 'web', 'misc', 'rev', 'web', 'crypto', 'rev', 'web', 'rev', 'rev', 'forensics', 'misc', 'misc', 'misc', 'misc', 'misc', 'forensics', 'crypto', 'misc', 'misc', 'crypto', 'pwn', 'pwn', 'pwn', 'rev', 'pwn', 'pwn', 'web', 'web', 'rev', 'crypto', 'web'], 'challenge_points': ['162', '156', '10', '50', '50', '50', '50', '50', '156', '50', '322', '76', '352', '135', '165', '50', '388', '109', '262', '345', '388', '50', '114', '102', '238', '234', '216', '469', '138', '408', '322', '378'], 'solve_time': ['2025-06-14T01:19:02.915959', '2025-06-14T06:09:11.027358', '2025-06-14T00:12:44.839543', '2025-06-14T00:13:31.784038', '2025-06-14T03:03:33.504671', '2025-06-14T02:59:53.597559', '2025-06-14T00:28:02.386300', '2025-06-14T03:49:09.782914', '2025-06-14T02:15:53.681283', '2025-06-14T00:58:26.194718', '2025-06-14T12:44:33.440428', '2025-06-14T11:06:57.667475', '2025-06-14T14:16:32.667551', '2025-06-14T11:55:39.741110', '2025-06-14T08:59:18.017564', '2025-06-14T09:46:47.046471', '2025-06-14T14:55:19.239136', '2025-06-14T15:33:09.188863', '2025-06-14T17:44:11.395685', '2025-06-14T16:36:00.642996', '2025-06-14T20:23:34.900479', '2025-06-14T21:02:13.945975', '2025-06-15T17:27:45.603917', '2025-06-14T21:25:50.266253', '2025-06-14T22:28:18.314696', '2025-06-16T00:54:26.798708', '2025-06-16T01:45:42.588393', '2025-06-16T01:35:14.162175', '2025-06-15T07:37:59.728218', '2025-06-15T20:08:17.063823', '2025-06-15T21:07:33.177024', '2025-06-15T22:38:49.436048']}"
organizers,5953,"{'challenge_name': ['saas', 'Sanity Check', 'a special place in reality', 'fORtran', 'Success', 'Easy Come Easy Go', 'TI-1983', 'sky', 'Sculpture Revenge', 'Extension Mania', 'Extension Mania revenge', 'cowsay', 'never enough', 'DNA', 'limit', 'rorecovery2', 'debuggable-1', 'babyrop', 'Fruit Ninja', 'offset', 'accelerator', 'vs-math-ai', 'debuggable-2', 'blargh', 'spontaneous', 'liqUID glASS', ""Teemo's Secret"", 'dry-ice-n-co', 'multisig-wallet', 'teemo-tuesday', 'Project Holoswap'], 'challenge_category': ['crypto', 'misc', 'crypto', 'rev', 'rev', 'rev', 'misc', 'misc', 'web', 'web', 'web', 'misc', 'crypto', 'rev', 'pwn', 'forensics', 'pwn', 'pwn', 'rev', 'misc', 'pwn', 'misc', 'pwn', 'pwn', 'crypto', 'rev', 'web', 'web', 'misc', 'pwn', 'misc'], 'challenge_points': ['50', '10', '388', '50', '50', '50', '135', '50', '50', '50', '156', '76', '109', '156', '234', '162', '50', '114', '408', '352', '484', '345', '102', '216', '456', '238', '378', '138', '165', '469', '262'], 'solve_time': ['2025-06-14T05:12:59.691826', '2025-06-14T00:21:49.792640', '2025-06-14T06:43:57.945071', '2025-06-14T06:39:28.461123', '2025-06-14T02:12:17.517865', '2025-06-14T06:45:36.575380', '2025-06-14T10:42:51.522238', '2025-06-14T13:14:07.512433', '2025-06-14T08:01:10.941461', '2025-06-14T08:38:28.302377', '2025-06-14T08:58:50.839593', '2025-06-14T09:15:01.481938', '2025-06-14T13:45:39.949464', '2025-06-14T14:58:14.774675', '2025-06-14T15:52:54.868516', '2025-06-14T19:11:06.302135', '2025-06-14T18:16:00.096627', '2025-06-14T23:13:49.207620', '2025-06-16T01:12:54.939403', '2025-06-14T23:53:36.756958', '2025-06-15T18:23:23.863583', '2025-06-15T18:31:37.577199', '2025-06-15T01:06:17.044312', '2025-06-15T19:27:00.927255', '2025-06-15T10:09:35.909065', '2025-06-15T10:35:27.285014', '2025-06-15T11:54:42.622822', '2025-06-15T13:43:52.661371', '2025-06-15T15:41:39.733915', '2025-06-15T23:26:47.372417', '2025-06-15T16:29:15.731113']}"
FluxFingers,5068,"{'challenge_name': ['Extension Mania', 'Sanity Check', 'babyrop', 'debuggable-1', 'Easy Come Easy Go', 'Success', 'limit', 'cowsay', 'TI-1983', 'saas', 'offset', 'TI-1984', 'Sculpture Revenge', 'debuggable-2', 'a special place in reality', 'rorecovery1', 'rorecovery2', 'blargh', 'Extension Mania revenge', 'accelerator', 'sky', 'fORtran', 'vs-math-ai', 'never enough', 'DNA', 'LCGs are SBGs', ""Teemo's Secret"", 'dry-ice-n-co'], 'challenge_category': ['web', 'misc', 'pwn', 'pwn', 'rev', 'rev', 'pwn', 'misc', 'misc', 'crypto', 'misc', 'misc', 'web', 'pwn', 'crypto', 'forensics', 'forensics', 'pwn', 'web', 'pwn', 'misc', 'rev', 'misc', 'crypto', 'rev', 'crypto', 'web', 'web'], 'challenge_points': ['50', '10', '114', '50', '50', '50', '234', '76', '135', '50', '352', '469', '50', '102', '388', '322', '162', '216', '156', '484', '50', '50', '345', '109', '156', '322', '378', '138'], 'solve_time': ['2025-06-14T16:53:40.945676', '2025-06-14T07:34:58.583248', '2025-06-14T11:30:21.296302', '2025-06-14T13:22:03.483633', '2025-06-14T13:35:32.634031', '2025-06-14T12:07:40.060326', '2025-06-14T14:20:03.750895', '2025-06-14T09:52:38.300385', '2025-06-14T12:14:53.505221', '2025-06-14T14:49:47.851919', '2025-06-15T23:43:59.270901', '2025-06-14T19:55:05.520247', '2025-06-14T14:36:50.874475', '2025-06-14T18:39:37.978198', '2025-06-14T17:43:15.262885', '2025-06-14T17:49:39.312313', '2025-06-14T17:52:38.890187', '2025-06-14T18:58:52.817331', '2025-06-15T23:51:20.459585', '2025-06-15T17:04:30.510761', '2025-06-15T17:08:24.859420', '2025-06-14T22:14:05.844734', '2025-06-15T00:22:30.678748', '2025-06-15T08:06:35.243365', '2025-06-15T20:17:40.807914', '2025-06-15T12:36:05.602062', '2025-06-15T21:38:50.601263', '2025-06-15T15:15:56.277965']}"
TU Delft CTF Team,4093,"{'challenge_name': ['Success', 'Sanity Check', 'cowsay', 'never enough', 'Easy Come Easy Go', 'sky', 'fORtran', 'saas', 'liqUID glASS', 'blargh', 'limit', 'TI-1983', 'DNA', 'multisig-wallet', 'a special place in reality', 'Sculpture Revenge', 'rorecovery3', 'debuggable-1', 'LCGs are SBGs', 'rorecovery2', 'debuggable-2', 'rorecovery1', 'Extension Mania', 'Extension Mania revenge', 'dry-ice-n-co', 'Project Holoswap', 'babyrop'], 'challenge_category': ['rev', 'misc', 'misc', 'crypto', 'rev', 'misc', 'rev', 'crypto', 'rev', 'pwn', 'pwn', 'misc', 'rev', 'misc', 'crypto', 'web', 'forensics', 'pwn', 'crypto', 'forensics', 'pwn', 'forensics', 'web', 'web', 'web', 'misc', 'pwn'], 'challenge_points': ['50', '10', '76', '109', '50', '50', '50', '50', '238', '216', '234', '135', '156', '165', '388', '50', '388', '50', '322', '162', '102', '322', '50', '156', '138', '262', '114'], 'solve_time': ['2025-06-14T06:10:19.514708', '2025-06-14T05:52:52.758872', '2025-06-14T13:53:44.725457', '2025-06-14T06:53:20.554253', '2025-06-14T07:13:48.706124', '2025-06-14T13:07:14.140725', '2025-06-14T08:10:04.320919', '2025-06-14T08:29:07.465404', '2025-06-14T20:27:41.406327', '2025-06-14T10:26:26.271734', '2025-06-14T19:07:03.610451', '2025-06-14T20:33:14.573545', '2025-06-14T21:23:25.564175', '2025-06-14T22:02:33.115194', '2025-06-14T22:17:54.438932', '2025-06-14T22:37:06.686847', '2025-06-15T17:58:37.412297', '2025-06-15T10:30:21.125189', '2025-06-15T20:23:49.084272', '2025-06-15T11:23:51.016383', '2025-06-15T11:24:37.956500', '2025-06-15T11:29:15.996830', '2025-06-15T12:10:06.662411', '2025-06-15T22:19:29.618879', '2025-06-15T14:37:46.822834', '2025-06-15T22:47:41.000153', '2025-06-15T22:29:28.148812']}"
InfoSecIITR,3956,"{'challenge_name': ['Sanity Check', 'saas', 'Easy Come Easy Go', 'sky', 'Success', 'fORtran', 'rorecovery2', 'Extension Mania revenge', 'Sculpture Revenge', 'never enough', 'rorecovery3', 'Extension Mania', 'a special place in reality', 'TI-1983', 'cowsay', 'babyrop', 'multisig-wallet', 'debuggable-2', ""Teemo's Secret"", 'vs-math-ai', 'dry-ice-n-co', 'limit', 'debuggable-1', 'Project Holoswap', 'liqUID glASS', 'DNA'], 'challenge_category': ['misc', 'crypto', 'rev', 'misc', 'rev', 'rev', 'forensics', 'web', 'web', 'crypto', 'forensics', 'web', 'crypto', 'misc', 'misc', 'pwn', 'misc', 'pwn', 'web', 'misc', 'web', 'pwn', 'pwn', 'misc', 'rev', 'rev'], 'challenge_points': ['10', '50', '50', '50', '50', '50', '162', '156', '50', '109', '388', '50', '388', '135', '76', '114', '165', '102', '378', '345', '138', '234', '50', '262', '238', '156'], 'solve_time': ['2025-06-14T00:13:58.291716', '2025-06-14T03:29:12.410242', '2025-06-14T00:26:40.720068', '2025-06-14T03:15:53.299575', '2025-06-14T00:28:22.333760', '2025-06-14T00:36:20.455822', '2025-06-14T10:48:07.590005', '2025-06-14T12:55:40.833018', '2025-06-14T08:50:20.342994', '2025-06-14T09:08:41.012142', '2025-06-14T12:00:43.106308', '2025-06-14T10:18:24.985786', '2025-06-14T12:27:30.967989', '2025-06-14T15:27:39.599696', '2025-06-14T20:05:13.247262', '2025-06-14T20:42:45.805316', '2025-06-14T19:36:24.281460', '2025-06-15T17:24:54.169646', '2025-06-16T00:50:11.502206', '2025-06-15T02:23:23.483478', '2025-06-15T03:36:23.886314', '2025-06-15T05:51:55.407996', '2025-06-15T07:05:23.700499', '2025-06-15T08:32:10.415932', '2025-06-15T20:44:50.658939', '2025-06-15T11:50:07.044250']}"
Cosmic Bit Flip,3777,"{'challenge_name': ['Sanity Check', 'debuggable-1', 'Sculpture Revenge', 'Easy Come Easy Go', 'Success', 'saas', 'sky', 'fORtran', 'never enough', 'debuggable-2', 'Extension Mania', 'babyrop', 'DNA', 'offset', 'Extension Mania revenge', 'multisig-wallet', 'cowsay', 'liqUID glASS', 'blargh', 'rorecovery2', 'limit', 'LCGs are SBGs', 'Project Holoswap', 'TI-1983', 'sums', 'dry-ice-n-co'], 'challenge_category': ['misc', 'pwn', 'web', 'rev', 'rev', 'crypto', 'misc', 'rev', 'crypto', 'pwn', 'web', 'pwn', 'rev', 'misc', 'web', 'misc', 'misc', 'rev', 'pwn', 'forensics', 'pwn', 'crypto', 'misc', 'misc', 'crypto', 'web'], 'challenge_points': ['10', '50', '50', '50', '50', '50', '50', '50', '109', '102', '50', '114', '156', '352', '156', '165', '76', '238', '216', '162', '234', '322', '262', '135', '430', '138'], 'solve_time': ['2025-06-14T00:00:40.371717', '2025-06-14T06:35:04.113915', '2025-06-14T03:30:32.984855', '2025-06-14T01:46:16.666299', '2025-06-14T00:39:25.139199', '2025-06-14T02:25:02.248456', '2025-06-14T04:44:22.303944', '2025-06-14T02:43:44.572781', '2025-06-14T04:58:54.130012', '2025-06-14T11:21:46.119896', '2025-06-14T14:14:28.013957', '2025-06-14T09:00:00.506146', '2025-06-14T09:48:47.596375', '2025-06-14T10:20:10.124369', '2025-06-14T15:36:40.668690', '2025-06-14T17:34:33.816946', '2025-06-14T17:56:47.341458', '2025-06-14T16:05:04.275791', '2025-06-14T18:57:09.503796', '2025-06-14T20:12:11.702994', '2025-06-16T00:28:50.083480', '2025-06-14T21:26:05.825900', '2025-06-14T22:07:04.940338', '2025-06-14T22:13:41.406986', '2025-06-15T18:46:05.855491', '2025-06-15T02:59:56.558417']}"
valgrind,3613,"{'challenge_name': ['saas', 'debuggable-1', 'Sanity Check', 'Success', 'sky', 'babyrop', 'blargh', 'Project Holoswap', 'TI-1983', 'cowsay', 'limit', 'rorecovery3', 'rorecovery2', 'Easy Come Easy Go', 'rorecovery1', 'offset', 'DNA', 'liqUID glASS', 'fORtran', 'dry-ice-n-co', 'vs-math-ai', 'multisig-wallet'], 'challenge_category': ['crypto', 'pwn', 'misc', 'rev', 'misc', 'pwn', 'pwn', 'misc', 'misc', 'misc', 'pwn', 'forensics', 'forensics', 'rev', 'forensics', 'misc', 'rev', 'rev', 'rev', 'web', 'misc', 'misc'], 'challenge_points': ['50', '50', '10', '50', '50', '114', '216', '262', '135', '76', '234', '388', '162', '50', '322', '352', '156', '238', '50', '138', '345', '165'], 'solve_time': ['2025-06-14T03:36:01.844716', '2025-06-14T03:06:16.144110', '2025-06-14T01:40:21.752095', '2025-06-14T02:42:18.311400', '2025-06-14T07:47:39.029136', '2025-06-14T08:06:27.111677', '2025-06-14T13:38:08.953694', '2025-06-14T09:46:42.070963', '2025-06-14T15:06:02.696081', '2025-06-14T16:26:44.038215', '2025-06-14T21:27:42.875802', '2025-06-16T00:42:31.121748', '2025-06-15T17:24:36.597810', '2025-06-15T18:08:48.236321', '2025-06-15T18:49:07.057375', '2025-06-15T00:56:07.796979', '2025-06-15T12:02:07.326914', '2025-06-15T21:30:21.861437', '2025-06-15T13:38:52.160527', '2025-06-15T22:46:29.681809', '2025-06-15T15:06:38.701120', '2025-06-15T16:38:37.779616']}"
PETIRSec,3347,"{'challenge_name': ['Sculpture Revenge', 'Success', 'fORtran', 'sky', 'babyrop', 'saas', 'Sanity Check', 'Easy Come Easy Go', 'debuggable-1', 'rorecovery2', 'multisig-wallet', 'Extension Mania', 'limit', 'blargh', 'TI-1983', 'cowsay', 'Project Holoswap', 'debuggable-2', 'never enough', 'liqUID glASS', 'LCGs are SBGs', 'dry-ice-n-co', 'Extension Mania revenge', 'offset', 'DNA'], 'challenge_category': ['web', 'rev', 'rev', 'misc', 'pwn', 'crypto', 'misc', 'rev', 'pwn', 'forensics', 'misc', 'web', 'pwn', 'pwn', 'misc', 'misc', 'misc', 'pwn', 'crypto', 'rev', 'crypto', 'web', 'web', 'misc', 'rev'], 'challenge_points': ['50', '50', '50', '50', '114', '50', '10', '50', '50', '162', '165', '50', '234', '216', '135', '76', '262', '102', '109', '238', '322', '138', '156', '352', '156'], 'solve_time': ['2025-06-14T06:47:12.189708', '2025-06-14T04:38:09.684849', '2025-06-14T04:38:32.761444', '2025-06-14T04:38:47.994583', '2025-06-14T04:36:48.273724', '2025-06-14T04:38:18.110836', '2025-06-14T02:35:39.154001', '2025-06-14T05:10:36.315061', '2025-06-14T07:37:39.401602', '2025-06-14T07:42:47.892541', '2025-06-14T11:45:40.856798', '2025-06-14T08:47:25.961039', '2025-06-14T14:31:45.324398', '2025-06-14T12:12:17.701637', '2025-06-14T13:59:05.358123', '2025-06-14T10:22:13.683805', '2025-06-14T15:15:53.615572', '2025-06-14T17:05:40.092638', '2025-06-14T18:15:38.577149', '2025-06-15T05:00:41.684496', '2025-06-15T19:19:42.366700', '2025-06-15T06:55:18.799317', '2025-06-15T11:49:41.708300', '2025-06-15T14:49:06.070879', '2025-06-15T23:28:25.475791']}"
CSUI,3338,"{'challenge_name': ['DNA', 'sky', 'fORtran', 'Sanity Check', 'Success', 'saas', 'Easy Come Easy Go', 'never enough', 'rorecovery2', 'Sculpture Revenge', 'cowsay', 'liqUID glASS', 'babyrop', 'Extension Mania', 'blargh', 'debuggable-1', 'TI-1983', 'Project Holoswap', 'debuggable-2', 'multisig-wallet', 'dry-ice-n-co', 'rorecovery1', 'vs-math-ai', 'rorecovery3'], 'challenge_category': ['rev', 'misc', 'rev', 'misc', 'rev', 'crypto', 'rev', 'crypto', 'forensics', 'web', 'misc', 'rev', 'pwn', 'web', 'pwn', 'pwn', 'misc', 'misc', 'pwn', 'misc', 'web', 'forensics', 'misc', 'forensics'], 'challenge_points': ['156', '50', '50', '10', '50', '50', '50', '109', '162', '50', '76', '238', '114', '50', '216', '50', '135', '262', '102', '165', '138', '322', '345', '388'], 'solve_time': ['2025-06-14T06:11:42.417837', '2025-06-14T06:23:33.784032', '2025-06-14T03:57:56.916596', '2025-06-14T03:52:26.132939', '2025-06-14T03:55:30.655404', '2025-06-14T04:23:31.466630', '2025-06-14T04:24:13.482119', '2025-06-14T05:56:05.810864', '2025-06-14T07:02:42.933702', '2025-06-14T07:37:44.091170', '2025-06-14T11:17:29.988358', '2025-06-14T13:42:55.953862', '2025-06-14T11:59:48.203702', '2025-06-14T09:49:38.197794', '2025-06-14T18:37:10.286177', '2025-06-14T15:06:59.563497', '2025-06-14T15:15:27.668255', '2025-06-14T16:04:19.135131', '2025-06-14T16:29:28.703359', '2025-06-15T04:16:01.207755', '2025-06-15T04:41:13.960748', '2025-06-15T04:50:16.483360', '2025-06-15T09:58:05.522897', '2025-06-15T14:44:38.925147']}"
