name,points,challenge
NUS Greyhats,11479,"{'challenge_name': ['Minesweeeeper', 'Geoguesser', 'Russian Games', 'Survey', 'squ1rrel-logon', 'Catching The Bus', 'dopamine detox', 'Chicken Treasure Hunt', 'Intermediate Software Design', 'squ1rrel-casino', 'Flat Earth', 'escalate', 'ISBN Scavenger Hunt', 'camelcamelcamel', 'emojicrypt', 'Secure Vigenere', 'Easy RSA', 'Extremely Lame Filters 2', 'deja vu', 'sanity-check', 'droid', 'jail!', 'acorn clicker', 'metadata', 'Extremely Lame Filters 1', 'Pretty Please 🥺', 'portrait', 'funkytype', 'go getter', 'XOR 101', 'opensource'], 'challenge_category': ['misc', 'osint', 'rev', 'misc', 'pwn', 'osint', 'misc', 'misc', 'rev', 'pwn', 'crypto', 'cloud', 'osint', 'rev', 'web', 'crypto', 'crypto', 'pwn', 'pwn', 'misc', 'rev', 'pwn', 'web', 'cloud', 'pwn', 'misc', 'web', 'web', 'web', 'crypto', 'cloud'], 'challenge_points': ['499', '498', '493', '1', '491', '470', '488', '482', '456', '487', '484', '481', '471', '483', '284', '282', '121', '486', '170', '1', '216', '415', '107', '452', '446', '417', '461', '387', '369', '209', '372'], 'solve_time': ['Apr 6, 2025, 3:09 PM', 'Apr 6, 2025, 1:47 PM', 'Apr 6, 2025, 8:12 AM', 'Apr 6, 2025, 6:58 AM', 'Apr 6, 2025, 6:34 AM', 'Apr 6, 2025, 5:36 AM', 'Apr 6, 2025, 5:30 AM', 'Apr 6, 2025, 5:03 AM', 'Apr 5, 2025, 11:56 PM', 'Apr 5, 2025, 5:01 PM', 'Apr 5, 2025, 9:52 AM', 'Apr 5, 2025, 9:10 AM', 'Apr 5, 2025, 9:09 AM', 'Apr 5, 2025, 8:31 AM', 'Apr 5, 2025, 7:00 AM', 'Apr 5, 2025, 6:51 AM', 'Apr 5, 2025, 6:26 AM', 'Apr 5, 2025, 5:24 AM', 'Apr 5, 2025, 5:01 AM', 'Apr 5, 2025, 4:39 AM', 'Apr 5, 2025, 4:18 AM', 'Apr 5, 2025, 4:10 AM', 'Apr 5, 2025, 4:06 AM', 'Apr 5, 2025, 3:48 AM', 'Apr 5, 2025, 3:19 AM', 'Apr 5, 2025, 2:51 AM', 'Apr 5, 2025, 2:50 AM', 'Apr 5, 2025, 2:26 AM', 'Apr 5, 2025, 1:58 AM', 'Apr 5, 2025, 12:30 AM', 'Apr 4, 2025, 11:55 PM']}"
Ireland Without the RE,10497,"{'challenge_name': ['Russian Games', 'Chicken Treasure Hunt', 'squ1rrel-logon', 'squ1rrel-casino', 'dopamine detox', 'Extremely Lame Filters 2', 'Extremely Lame Filters 1', 'Survey', 'Geoguesser', 'Intermediate Software Design', 'jail!', 'Catching The Bus', 'Flat Earth', 'ISBN Scavenger Hunt', 'funkytype', 'escalate', 'Pretty Please 🥺', 'metadata', 'droid', 'portrait', 'opensource', 'go getter', 'acorn clicker', 'deja vu', 'emojicrypt', 'XOR 101', 'sanity-check', 'Secure Vigenere', 'Easy RSA'], 'challenge_category': ['rev', 'misc', 'pwn', 'pwn', 'misc', 'pwn', 'pwn', 'misc', 'osint', 'rev', 'pwn', 'osint', 'crypto', 'osint', 'web', 'cloud', 'misc', 'cloud', 'rev', 'web', 'cloud', 'web', 'web', 'pwn', 'web', 'crypto', 'misc', 'crypto', 'crypto'], 'challenge_points': ['493', '482', '491', '487', '488', '486', '446', '1', '498', '456', '415', '470', '484', '471', '387', '481', '417', '452', '216', '461', '372', '369', '107', '170', '284', '209', '1', '282', '121'], 'solve_time': ['Apr 6, 2025, 4:34 PM', 'Apr 6, 2025, 3:35 PM', 'Apr 6, 2025, 2:51 PM', 'Apr 6, 2025, 1:56 PM', 'Apr 6, 2025, 9:49 AM', 'Apr 6, 2025, 9:18 AM', 'Apr 6, 2025, 9:00 AM', 'Apr 6, 2025, 7:19 AM', 'Apr 6, 2025, 2:55 AM', 'Apr 6, 2025, 12:56 AM', 'Apr 5, 2025, 10:01 PM', 'Apr 5, 2025, 7:46 PM', 'Apr 5, 2025, 3:23 PM', 'Apr 5, 2025, 2:47 PM', 'Apr 5, 2025, 12:45 PM', 'Apr 5, 2025, 12:14 PM', 'Apr 5, 2025, 2:29 AM', 'Apr 5, 2025, 1:15 AM', 'Apr 5, 2025, 12:54 AM', 'Apr 5, 2025, 12:46 AM', 'Apr 5, 2025, 12:39 AM', 'Apr 5, 2025, 12:20 AM', 'Apr 5, 2025, 12:12 AM', 'Apr 5, 2025, 12:07 AM', 'Apr 5, 2025, 12:02 AM', 'Apr 4, 2025, 11:49 PM', 'Apr 4, 2025, 11:47 PM', 'Apr 4, 2025, 11:31 PM', 'Apr 4, 2025, 11:30 PM']}"
InfoSecIITR,10482,"{'challenge_name': ['squ1rrel-logon', 'Russian Games', 'Survey', 'Intermediate Software Design', 'dopamine detox', 'Extremely Lame Filters 2', 'camelcamelcamel', 'squ1rrel-casino', 'Catching The Bus', 'ISBN Scavenger Hunt', 'escalate', 'Chicken Treasure Hunt', 'funkytype', 'Extremely Lame Filters 1', 'portrait', 'metadata', 'Flat Earth', 'emojicrypt', 'jail!', 'opensource', 'go getter', 'Pretty Please 🥺', 'acorn clicker', 'droid', 'Secure Vigenere', 'XOR 101', 'deja vu', 'Easy RSA', 'sanity-check'], 'challenge_category': ['pwn', 'rev', 'misc', 'rev', 'misc', 'pwn', 'rev', 'pwn', 'osint', 'osint', 'cloud', 'misc', 'web', 'pwn', 'web', 'cloud', 'crypto', 'web', 'pwn', 'cloud', 'web', 'misc', 'web', 'rev', 'crypto', 'crypto', 'pwn', 'crypto', 'misc'], 'challenge_points': ['491', '493', '1', '456', '488', '486', '483', '487', '470', '471', '481', '482', '387', '446', '461', '452', '484', '284', '415', '372', '369', '417', '107', '216', '282', '209', '170', '121', '1'], 'solve_time': ['Apr 6, 2025, 8:34 AM', 'Apr 6, 2025, 7:26 AM', 'Apr 6, 2025, 7:06 AM', 'Apr 6, 2025, 1:17 AM', 'Apr 5, 2025, 11:27 PM', 'Apr 5, 2025, 11:01 PM', 'Apr 5, 2025, 8:54 PM', 'Apr 5, 2025, 7:28 PM', 'Apr 5, 2025, 6:38 PM', 'Apr 5, 2025, 12:27 PM', 'Apr 5, 2025, 11:11 AM', 'Apr 5, 2025, 6:57 AM', 'Apr 5, 2025, 6:47 AM', 'Apr 5, 2025, 5:46 AM', 'Apr 5, 2025, 5:46 AM', 'Apr 5, 2025, 4:46 AM', 'Apr 5, 2025, 4:04 AM', 'Apr 5, 2025, 2:56 AM', 'Apr 5, 2025, 2:13 AM', 'Apr 5, 2025, 1:42 AM', 'Apr 5, 2025, 1:39 AM', 'Apr 5, 2025, 1:11 AM', 'Apr 5, 2025, 1:07 AM', 'Apr 5, 2025, 12:41 AM', 'Apr 5, 2025, 12:22 AM', 'Apr 5, 2025, 12:21 AM', 'Apr 5, 2025, 12:02 AM', 'Apr 4, 2025, 11:19 PM', 'Apr 4, 2025, 11:13 PM']}"
twosheep,9510,"{'challenge_name': ['Catching The Bus', 'Survey', 'Chicken Treasure Hunt', 'metadata', 'Russian Games', 'Flat Earth', 'Intermediate Software Design', 'dopamine detox', 'squ1rrel-casino', 'camelcamelcamel', 'Extremely Lame Filters 2', 'portrait', 'Extremely Lame Filters 1', 'opensource', 'go getter', 'funkytype', 'Pretty Please 🥺', 'emojicrypt', 'acorn clicker', 'ISBN Scavenger Hunt', 'droid', 'XOR 101', 'Secure Vigenere', 'Easy RSA', 'deja vu', 'jail!', 'sanity-check'], 'challenge_category': ['osint', 'misc', 'misc', 'cloud', 'rev', 'crypto', 'rev', 'misc', 'pwn', 'rev', 'pwn', 'web', 'pwn', 'cloud', 'web', 'web', 'misc', 'web', 'web', 'osint', 'rev', 'crypto', 'crypto', 'crypto', 'pwn', 'pwn', 'misc'], 'challenge_points': ['470', '1', '482', '452', '493', '484', '456', '488', '487', '483', '486', '461', '446', '372', '369', '387', '417', '284', '107', '471', '216', '209', '282', '121', '170', '415', '1'], 'solve_time': ['Apr 6, 2025, 8:20 AM', 'Apr 6, 2025, 6:54 AM', 'Apr 6, 2025, 4:26 AM', 'Apr 6, 2025, 3:20 AM', 'Apr 6, 2025, 2:11 AM', 'Apr 6, 2025, 12:38 AM', 'Apr 5, 2025, 11:18 PM', 'Apr 5, 2025, 11:01 PM', 'Apr 5, 2025, 8:14 PM', 'Apr 5, 2025, 12:45 PM', 'Apr 5, 2025, 9:28 AM', 'Apr 5, 2025, 8:43 AM', 'Apr 5, 2025, 7:47 AM', 'Apr 5, 2025, 7:00 AM', 'Apr 5, 2025, 6:14 AM', 'Apr 5, 2025, 4:33 AM', 'Apr 5, 2025, 3:46 AM', 'Apr 5, 2025, 2:45 AM', 'Apr 5, 2025, 2:37 AM', 'Apr 5, 2025, 2:34 AM', 'Apr 5, 2025, 1:39 AM', 'Apr 5, 2025, 1:28 AM', 'Apr 5, 2025, 1:04 AM', 'Apr 5, 2025, 12:55 AM', 'Apr 5, 2025, 12:40 AM', 'Apr 5, 2025, 12:35 AM', 'Apr 4, 2025, 11:09 PM']}"
Cosmic Bit Flip,9503,"{'challenge_name': ['Chicken Treasure Hunt', 'squ1rrel-logon', 'Survey', 'dopamine detox', 'Catching The Bus', 'Intermediate Software Design', 'camelcamelcamel', 'escalate', 'portrait', 'squ1rrel-casino', 'ISBN Scavenger Hunt', 'Extremely Lame Filters 1', 'go getter', 'Pretty Please 🥺', 'metadata', 'funkytype', 'Flat Earth', 'emojicrypt', 'opensource', 'acorn clicker', 'Secure Vigenere', 'droid', 'XOR 101', 'deja vu', 'jail!', 'Easy RSA', 'sanity-check'], 'challenge_category': ['misc', 'pwn', 'misc', 'misc', 'osint', 'rev', 'rev', 'cloud', 'web', 'pwn', 'osint', 'pwn', 'web', 'misc', 'cloud', 'web', 'crypto', 'web', 'cloud', 'web', 'crypto', 'rev', 'crypto', 'pwn', 'pwn', 'crypto', 'misc'], 'challenge_points': ['482', '491', '1', '488', '470', '456', '483', '481', '461', '487', '471', '446', '369', '417', '452', '387', '484', '284', '372', '107', '282', '216', '209', '170', '415', '121', '1'], 'solve_time': ['Apr 6, 2025, 3:44 PM', 'Apr 6, 2025, 10:33 AM', 'Apr 6, 2025, 6:50 AM', 'Apr 6, 2025, 6:10 AM', 'Apr 6, 2025, 1:12 AM', 'Apr 6, 2025, 12:46 AM', 'Apr 5, 2025, 11:30 PM', 'Apr 5, 2025, 9:42 PM', 'Apr 5, 2025, 9:25 PM', 'Apr 5, 2025, 1:13 PM', 'Apr 5, 2025, 6:27 AM', 'Apr 5, 2025, 5:33 AM', 'Apr 5, 2025, 5:06 AM', 'Apr 5, 2025, 4:54 AM', 'Apr 5, 2025, 4:35 AM', 'Apr 5, 2025, 4:30 AM', 'Apr 5, 2025, 4:24 AM', 'Apr 5, 2025, 2:36 AM', 'Apr 5, 2025, 1:24 AM', 'Apr 5, 2025, 12:51 AM', 'Apr 5, 2025, 12:42 AM', 'Apr 5, 2025, 12:36 AM', 'Apr 5, 2025, 12:12 AM', 'Apr 4, 2025, 11:51 PM', 'Apr 4, 2025, 11:44 PM', 'Apr 4, 2025, 11:42 PM', 'Apr 4, 2025, 11:09 PM']}"
PBR | UCLA,9015,"{'challenge_name': ['Survey', 'Intermediate Software Design', 'squ1rrel-casino', 'Extremely Lame Filters 2', 'Chicken Treasure Hunt', 'escalate', 'Pretty Please 🥺', 'Flat Earth', 'dopamine detox', 'droid', 'ISBN Scavenger Hunt', 'portrait', 'Catching The Bus', 'funkytype', 'Extremely Lame Filters 1', 'metadata', 'go getter', 'emojicrypt', 'opensource', 'acorn clicker', 'jail!', 'deja vu', 'sanity-check', 'XOR 101', 'Secure Vigenere', 'Easy RSA'], 'challenge_category': ['misc', 'rev', 'pwn', 'pwn', 'misc', 'cloud', 'misc', 'crypto', 'misc', 'rev', 'osint', 'web', 'osint', 'web', 'pwn', 'cloud', 'web', 'web', 'cloud', 'web', 'pwn', 'pwn', 'misc', 'crypto', 'crypto', 'crypto'], 'challenge_points': ['1', '456', '487', '486', '482', '481', '417', '484', '488', '216', '471', '461', '470', '387', '446', '452', '369', '284', '372', '107', '415', '170', '1', '209', '282', '121'], 'solve_time': ['Apr 6, 2025, 7:25 AM', 'Apr 6, 2025, 7:16 AM', 'Apr 6, 2025, 6:26 AM', 'Apr 6, 2025, 5:56 AM', 'Apr 6, 2025, 3:56 AM', 'Apr 6, 2025, 1:36 AM', 'Apr 6, 2025, 1:34 AM', 'Apr 6, 2025, 12:54 AM', 'Apr 6, 2025, 12:42 AM', 'Apr 5, 2025, 11:59 PM', 'Apr 5, 2025, 11:50 PM', 'Apr 5, 2025, 11:18 PM', 'Apr 5, 2025, 10:50 PM', 'Apr 5, 2025, 10:32 PM', 'Apr 5, 2025, 9:17 PM', 'Apr 5, 2025, 8:58 PM', 'Apr 5, 2025, 8:48 PM', 'Apr 5, 2025, 8:41 PM', 'Apr 5, 2025, 8:02 PM', 'Apr 5, 2025, 7:46 PM', 'Apr 5, 2025, 9:41 AM', 'Apr 5, 2025, 9:00 AM', 'Apr 5, 2025, 7:46 AM', 'Apr 5, 2025, 7:39 AM', 'Apr 5, 2025, 7:10 AM', 'Apr 5, 2025, 6:56 AM']}"
UniverSea,8560,"{'challenge_name': ['escalate', 'Pretty Please 🥺', 'squ1rrel-casino', 'Survey', 'squ1rrel-logon', 'Intermediate Software Design', 'Chicken Treasure Hunt', 'Extremely Lame Filters 2', 'metadata', 'opensource', 'camelcamelcamel', 'Extremely Lame Filters 1', 'Flat Earth', 'portrait', 'go getter', 'jail!', 'acorn clicker', 'funkytype', 'droid', 'XOR 101', 'deja vu', 'Secure Vigenere', 'sanity-check', 'emojicrypt', 'Easy RSA'], 'challenge_category': ['cloud', 'misc', 'pwn', 'misc', 'pwn', 'rev', 'misc', 'pwn', 'cloud', 'cloud', 'rev', 'pwn', 'crypto', 'web', 'web', 'pwn', 'web', 'web', 'rev', 'crypto', 'pwn', 'crypto', 'misc', 'web', 'crypto'], 'challenge_points': ['481', '417', '487', '1', '491', '456', '482', '486', '452', '372', '483', '446', '484', '461', '369', '415', '107', '387', '216', '209', '170', '282', '1', '284', '121'], 'solve_time': ['Apr 6, 2025, 2:33 PM', 'Apr 6, 2025, 12:20 PM', 'Apr 6, 2025, 10:31 AM', 'Apr 6, 2025, 7:33 AM', 'Apr 6, 2025, 7:27 AM', 'Apr 6, 2025, 5:03 AM', 'Apr 6, 2025, 4:32 AM', 'Apr 6, 2025, 2:52 AM', 'Apr 5, 2025, 4:31 PM', 'Apr 5, 2025, 2:02 PM', 'Apr 5, 2025, 8:50 AM', 'Apr 5, 2025, 8:05 AM', 'Apr 5, 2025, 7:33 AM', 'Apr 5, 2025, 6:59 AM', 'Apr 5, 2025, 4:27 AM', 'Apr 5, 2025, 3:43 AM', 'Apr 5, 2025, 2:42 AM', 'Apr 5, 2025, 2:40 AM', 'Apr 5, 2025, 2:27 AM', 'Apr 5, 2025, 1:54 AM', 'Apr 5, 2025, 1:20 AM', 'Apr 5, 2025, 1:20 AM', 'Apr 5, 2025, 1:05 AM', 'Apr 5, 2025, 12:39 AM', 'Apr 4, 2025, 11:57 PM']}"
WWF,8543,"{'challenge_name': ['squ1rrel-logon', 'Survey', 'dopamine detox', 'Extremely Lame Filters 2', 'Intermediate Software Design', 'squ1rrel-casino', 'Extremely Lame Filters 1', 'ISBN Scavenger Hunt', 'metadata', 'jail!', 'Pretty Please 🥺', 'Catching The Bus', 'Flat Earth', 'portrait', 'go getter', 'emojicrypt', 'acorn clicker', 'opensource', 'XOR 101', 'funkytype', 'deja vu', 'Secure Vigenere', 'droid', 'sanity-check', 'Easy RSA'], 'challenge_category': ['pwn', 'misc', 'misc', 'pwn', 'rev', 'pwn', 'pwn', 'osint', 'cloud', 'pwn', 'misc', 'osint', 'crypto', 'web', 'web', 'web', 'web', 'cloud', 'crypto', 'web', 'pwn', 'crypto', 'rev', 'misc', 'crypto'], 'challenge_points': ['491', '1', '488', '486', '456', '487', '446', '471', '452', '415', '417', '470', '484', '461', '369', '284', '107', '372', '209', '387', '170', '282', '216', '1', '121'], 'solve_time': ['Apr 6, 2025, 12:56 PM', 'Apr 6, 2025, 6:52 AM', 'Apr 6, 2025, 3:35 AM', 'Apr 6, 2025, 2:04 AM', 'Apr 6, 2025, 2:00 AM', 'Apr 5, 2025, 9:31 PM', 'Apr 5, 2025, 6:52 PM', 'Apr 5, 2025, 6:34 PM', 'Apr 5, 2025, 5:54 PM', 'Apr 5, 2025, 3:42 PM', 'Apr 5, 2025, 2:58 PM', 'Apr 5, 2025, 2:47 PM', 'Apr 5, 2025, 11:19 AM', 'Apr 5, 2025, 9:47 AM', 'Apr 5, 2025, 4:51 AM', 'Apr 5, 2025, 2:23 AM', 'Apr 5, 2025, 1:45 AM', 'Apr 5, 2025, 1:07 AM', 'Apr 5, 2025, 1:05 AM', 'Apr 5, 2025, 12:52 AM', 'Apr 4, 2025, 11:38 PM', 'Apr 4, 2025, 11:34 PM', 'Apr 4, 2025, 11:13 PM', 'Apr 4, 2025, 11:07 PM', 'Apr 4, 2025, 11:07 PM']}"
ICEWALL,7598,"{'challenge_name': ['Catching The Bus', 'squ1rrel-logon', 'metadata', 'squ1rrel-casino', 'Intermediate Software Design', 'Survey', 'Extremely Lame Filters 2', 'dopamine detox', 'jail!', 'Pretty Please 🥺', 'funkytype', 'ISBN Scavenger Hunt', 'Extremely Lame Filters 1', 'Secure Vigenere', 'go getter', 'opensource', 'XOR 101', 'Easy RSA', 'acorn clicker', 'deja vu', 'droid', 'emojicrypt', 'sanity-check'], 'challenge_category': ['osint', 'pwn', 'cloud', 'pwn', 'rev', 'misc', 'pwn', 'misc', 'pwn', 'misc', 'web', 'osint', 'pwn', 'crypto', 'web', 'cloud', 'crypto', 'crypto', 'web', 'pwn', 'rev', 'web', 'misc'], 'challenge_points': ['470', '491', '452', '487', '456', '1', '486', '488', '415', '417', '387', '471', '446', '282', '369', '372', '209', '121', '107', '170', '216', '284', '1'], 'solve_time': ['Apr 6, 2025, 2:34 PM', 'Apr 6, 2025, 12:06 PM', 'Apr 6, 2025, 10:31 AM', 'Apr 6, 2025, 9:38 AM', 'Apr 6, 2025, 8:17 AM', 'Apr 6, 2025, 7:30 AM', 'Apr 6, 2025, 6:53 AM', 'Apr 6, 2025, 6:23 AM', 'Apr 6, 2025, 5:56 AM', 'Apr 6, 2025, 3:36 AM', 'Apr 6, 2025, 2:03 AM', 'Apr 5, 2025, 4:43 PM', 'Apr 5, 2025, 3:23 PM', 'Apr 5, 2025, 2:51 PM', 'Apr 5, 2025, 1:16 PM', 'Apr 5, 2025, 12:54 PM', 'Apr 5, 2025, 12:11 PM', 'Apr 5, 2025, 11:39 AM', 'Apr 5, 2025, 9:15 AM', 'Apr 5, 2025, 8:56 AM', 'Apr 5, 2025, 8:46 AM', 'Apr 5, 2025, 8:22 AM', 'Apr 5, 2025, 7:13 AM']}"
NYUSEC,7594,"{'challenge_name': ['Chicken Treasure Hunt', 'Catching The Bus', 'opensource', 'camelcamelcamel', 'Survey', 'escalate', 'metadata', 'Intermediate Software Design', 'portrait', 'droid', 'squ1rrel-casino', 'jail!', 'go getter', 'Pretty Please 🥺', 'ISBN Scavenger Hunt', 'funkytype', 'deja vu', 'emojicrypt', 'acorn clicker', 'Secure Vigenere', 'XOR 101', 'sanity-check', 'Easy RSA'], 'challenge_category': ['misc', 'osint', 'cloud', 'rev', 'misc', 'cloud', 'cloud', 'rev', 'web', 'rev', 'pwn', 'pwn', 'web', 'misc', 'osint', 'web', 'pwn', 'web', 'web', 'crypto', 'crypto', 'misc', 'crypto'], 'challenge_points': ['482', '470', '372', '483', '1', '481', '452', '456', '461', '216', '487', '415', '369', '417', '471', '387', '170', '284', '107', '282', '209', '1', '121'], 'solve_time': ['Apr 6, 2025, 3:43 PM', 'Apr 6, 2025, 2:54 PM', 'Apr 6, 2025, 10:06 AM', 'Apr 6, 2025, 9:06 AM', 'Apr 6, 2025, 6:54 AM', 'Apr 6, 2025, 5:22 AM', 'Apr 6, 2025, 4:44 AM', 'Apr 6, 2025, 3:28 AM', 'Apr 6, 2025, 2:27 AM', 'Apr 6, 2025, 12:48 AM', 'Apr 5, 2025, 11:51 PM', 'Apr 5, 2025, 5:20 PM', 'Apr 5, 2025, 4:55 PM', 'Apr 5, 2025, 3:13 PM', 'Apr 5, 2025, 3:05 PM', 'Apr 5, 2025, 2:00 PM', 'Apr 5, 2025, 12:03 PM', 'Apr 5, 2025, 11:45 AM', 'Apr 5, 2025, 8:28 AM', 'Apr 5, 2025, 7:43 AM', 'Apr 5, 2025, 6:58 AM', 'Apr 5, 2025, 6:21 AM', 'Apr 5, 2025, 5:38 AM']}"
