name,points,challenges
possed frnexh skateboarding bards,6296,"{'challenge_name': ['pwny-heap', 'secure-sandbox', 'much-vulnerable-machine-3', 'much-vulnerable-machine-2', 'keystore-rs', 'secure-snek', 'much-vulnerable-machine-1', 'rubiks-dsa', 'blogdog', 'storycreator', 'netmsg-2', 'netmsg-1', 'foundations', 'count-the-mvms', 'trophy-plus', 'trophy-plus64', 'devnull-as-a-service', 'fastcrypto', 'redacted', 'hydraulic-press', 'oh-my-gadt', 'sourceless-crypto', 'notcrypto', 'mvmcheckers-inc', 'babyrng', 'kittyconvert', 'omnibius', 'pickle-season', 'submission', 'mvm', 'man-vs-matrix', 'curved-mvm', 'p11n-trophy'], 'solve_time': ['Sun 13:44:58', 'Sun 08:33:22', 'Sun 07:18:20', 'Sun 06:37:54', 'Sun 05:43:36', 'Sun 04:52:25', 'Sun 03:53:11', 'Sun 01:48:25', 'Sat 20:18:04', 'Sat 16:39:09', 'Sat 16:35:39', 'Sat 16:01:20', 'Sat 14:32:27', 'Sat 14:26:21', 'Sat 13:18:26', 'Sat 13:00:01', 'Sat 12:23:01', 'Sat 12:13:17', 'Sat 12:12:00', 'Sat 12:02:57', 'Sat 11:26:42', 'Sat 11:21:01', 'Sat 10:40:24', 'Sat 10:11:39', 'Sat 09:11:02', 'Sat 08:21:53', 'Sat 07:23:28', 'Sat 07:17:30', 'Sat 06:22:51', 'Sat 06:21:12', 'Sat 06:08:55', 'Sat 05:47:40', 'Sat 05:25:15']}"
Carixo nr. 1,6006,"{'challenge_name': ['much-vulnerable-machine-3', 'much-vulnerable-machine-2', 'netmsg-1', 'keystore-rs', 'much-vulnerable-machine-1', 'omnibius', 'pwny-heap', 'secure-sandbox', 'secure-snek', 'kittyconvert', 'rubiks-dsa', 'hydraulic-press', 'fastcrypto', 'blogdog', 'netmsg-2', 'curved-mvm', 'sourceless-crypto', 'trophy-plus64', 'trophy-plus', 'redacted', 'mvmcheckers-inc', 'oh-my-gadt', 'storycreator', 'devnull-as-a-service', 'submission', 'pickle-season', 'babyrng', 'notcrypto', 'man-vs-matrix', 'foundations', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 23:26:49', 'Sun 20:51:37', 'Sun 19:44:47', 'Sun 07:56:46', 'Sun 05:10:50', 'Sun 04:22:39', 'Sun 03:45:46', 'Sun 03:13:49', 'Sun 02:53:01', 'Sun 02:23:21', 'Sun 01:09:58', 'Sat 23:50:32', 'Sat 22:01:17', 'Sat 21:19:14', 'Sat 19:56:00', 'Sat 16:10:48', 'Sat 15:38:43', 'Sat 06:33:41', 'Sat 06:20:41', 'Sat 05:48:56', 'Sat 05:27:01', 'Sat 04:00:10', 'Sat 03:36:53', 'Sat 03:35:27', 'Sat 02:16:41', 'Sat 02:15:49', 'Sat 02:09:17', 'Sat 00:58:13', 'Sat 00:54:02', 'Sat 00:13:22', 'Sat 00:09:41', 'Fri 23:54:29']}"
RedRocket,5904,"{'challenge_name': ['blogdog', 'kittyconvert', 'secure-snek', 'keystore-rs', 'much-vulnerable-machine-3', 'redacted', 'hydraulic-press', 'much-vulnerable-machine-2', 'secure-sandbox', 'pwny-heap', 'much-vulnerable-machine-1', 'rubiks-dsa', 'trophy-plus', 'trophy-plus64', 'mvmcheckers-inc', 'count-the-mvms', 'netmsg-2', 'netmsg-1', 'omnibius', 'submission', 'devnull-as-a-service', 'pickle-season', 'oh-my-gadt', 'notcrypto', 'babyrng', 'sourceless-crypto', 'curved-mvm', 'man-vs-matrix', 'mvm', 'foundations', 'p11n-trophy', 'fastcrypto'], 'solve_time': ['Sun 22:23:26', 'Sun 21:59:05', 'Sun 21:32:52', 'Sun 20:37:36', 'Sun 19:17:39', 'Sun 07:44:58', 'Sun 06:50:26', 'Sun 05:24:48', 'Sun 04:43:12', 'Sun 04:31:32', 'Sun 02:26:16', 'Sun 00:52:05', 'Sat 21:56:57', 'Sat 21:31:29', 'Sat 19:39:29', 'Sat 18:56:27', 'Sat 10:01:54', 'Sat 08:06:31', 'Sat 07:27:50', 'Sat 05:17:39', 'Sat 05:04:36', 'Sat 04:37:05', 'Sat 04:09:00', 'Sat 01:45:15', 'Sat 01:30:01', 'Sat 00:56:27', 'Sat 00:37:56', 'Sat 00:24:22', 'Sat 00:15:20', 'Sat 00:03:49', 'Sat 00:02:26', 'Sat 00:00:55']}"
thehackerscrew,5562,"{'challenge_name': ['much-vulnerable-machine-3', 'keystore-rs', 'redacted', 'secure-snek', 'rubiks-dsa', 'much-vulnerable-machine-2', 'secure-sandbox', 'much-vulnerable-machine-1', 'pwny-heap', 'count-the-mvms', 'mvmcheckers-inc', 'netmsg-2', 'trophy-plus64', 'hydraulic-press', 'kittyconvert', 'omnibius', 'submission', 'trophy-plus', 'netmsg-1', 'foundations', 'babyrng', 'mvm', 'fastcrypto', 'pickle-season', 'sourceless-crypto', 'p11n-trophy', 'devnull-as-a-service', 'oh-my-gadt', 'man-vs-matrix', 'curved-mvm', 'notcrypto'], 'solve_time': ['Sun 18:41:23', 'Sun 15:39:17', 'Sun 07:50:10', 'Sun 07:31:27', 'Sun 05:02:10', 'Sun 03:32:13', 'Sun 02:43:34', 'Sun 01:39:05', 'Sun 00:43:09', 'Sat 22:41:44', 'Sat 22:02:56', 'Sat 21:57:59', 'Sat 19:31:14', 'Sat 18:48:29', 'Sat 18:03:00', 'Sat 16:04:44', 'Sat 13:55:10', 'Sat 13:29:39', 'Sat 12:36:11', 'Sat 11:31:45', 'Sat 08:19:08', 'Sat 01:26:04', 'Sat 01:18:06', 'Sat 00:43:08', 'Sat 00:39:23', 'Sat 00:33:04', 'Sat 00:23:36', 'Sat 00:16:43', 'Sat 00:12:58', 'Sat 00:02:14', 'Fri 23:39:37']}"
Kalmarunionen,5471,"{'challenge_name': ['redacted', 'count-the-mvms', 'much-vulnerable-machine-2', 'secure-sandbox', 'pwny-heap', 'devnull-as-a-service', 'babyrng', 'foundations', 'rubiks-dsa', 'blogdog', 'much-vulnerable-machine-1', 'keystore-rs', 'secure-snek', 'mvmcheckers-inc', 'netmsg-2', 'netmsg-1', 'kittyconvert', 'pickle-season', 'trophy-plus', 'trophy-plus64', 'notcrypto', 'fastcrypto', 'man-vs-matrix', 'sourceless-crypto', 'hydraulic-press', 'submission', 'oh-my-gadt', 'curved-mvm', 'omnibius', 'mvm', 'p11n-trophy'], 'solve_time': ['Sun 23:25:40', 'Sun 22:56:25', 'Sun 22:05:11', 'Sun 21:35:56', 'Sun 20:46:16', 'Sun 19:07:47', 'Sun 09:14:02', 'Sun 08:48:16', 'Sun 08:43:46', 'Sun 07:51:47', 'Sun 06:59:37', 'Sun 06:37:17', 'Sun 05:36:16', 'Sun 03:28:42', 'Sun 02:12:20', 'Sun 02:00:02', 'Sat 23:34:39', 'Sat 21:17:37', 'Sat 19:14:19', 'Sat 18:45:53', 'Sat 17:25:24', 'Sat 16:49:14', 'Sat 15:59:16', 'Sat 07:16:43', 'Sat 06:35:33', 'Sat 06:30:48', 'Sat 06:17:40', 'Sat 05:35:42', 'Sat 02:50:26', 'Fri 23:56:42', 'Fri 23:41:22']}"
FluxFingers,5216,"{'challenge_name': ['rubiks-dsa', 'pwny-heap', 'netmsg-2', 'keystore-rs', 'much-vulnerable-machine-1', 'storycreator', 'netmsg-1', 'secure-sandbox', 'blogdog', 'secure-snek', 'redacted', 'babyrng', 'trophy-plus', 'curved-mvm', 'mvmcheckers-inc', 'submission', 'kittyconvert', 'fastcrypto', 'man-vs-matrix', 'notcrypto', 'omnibius', 'trophy-plus64', 'p11n-trophy', 'oh-my-gadt', 'sourceless-crypto', 'hydraulic-press', 'foundations', 'devnull-as-a-service', 'mvm', 'pickle-season'], 'solve_time': ['Sun 21:37:39', 'Sun 20:50:13', 'Sun 14:00:37', 'Sun 08:52:13', 'Sun 06:13:01', 'Sun 04:50:54', 'Sun 04:32:13', 'Sun 04:03:20', 'Sun 03:27:12', 'Sun 01:53:23', 'Sat 23:14:05', 'Sat 23:01:05', 'Sat 22:29:39', 'Sat 22:11:07', 'Sat 21:23:06', 'Sat 21:16:11', 'Sat 20:55:50', 'Sat 20:00:15', 'Sat 19:26:06', 'Sat 19:09:32', 'Sat 18:53:10', 'Sat 05:26:57', 'Sat 04:57:54', 'Sat 04:34:40', 'Sat 04:13:27', 'Sat 03:52:26', 'Sat 03:51:12', 'Sat 03:21:09', 'Sat 01:08:00', 'Sat 00:35:26']}"
chat are we cooked,4539,"{'challenge_name': ['rubiks-dsa', 'much-vulnerable-machine-2', 'much-vulnerable-machine-1', 'secure-snek', 'secure-sandbox', 'pwny-heap', 'mvmcheckers-inc', 'kittyconvert', 'omnibius', 'hydraulic-press', 'count-the-mvms', 'oh-my-gadt', 'netmsg-2', 'netmsg-1', 'trophy-plus', 'redacted', 'trophy-plus64', 'babyrng', 'submission', 'sourceless-crypto', 'man-vs-matrix', 'pickle-season', 'curved-mvm', 'devnull-as-a-service', 'notcrypto', 'foundations', 'mvm', 'p11n-trophy'], 'solve_time': ['Sun 10:07:03', 'Sun 08:42:27', 'Sun 06:46:21', 'Sun 02:59:33', 'Sun 02:45:56', 'Sun 00:37:23', 'Sat 19:25:14', 'Sat 16:09:53', 'Sat 14:03:42', 'Sat 12:05:21', 'Sat 11:55:40', 'Sat 11:22:28', 'Sat 10:50:30', 'Sat 10:20:27', 'Sat 07:46:55', 'Sat 07:13:07', 'Sat 03:45:31', 'Sat 02:35:04', 'Sat 01:37:58', 'Sat 01:31:27', 'Sat 01:18:07', 'Sat 01:05:23', 'Sat 00:48:08', 'Sat 00:36:10', 'Sat 00:02:20', 'Fri 23:53:44', 'Fri 23:46:06', 'Fri 23:34:29']}"
slight_smile,3968,"{'challenge_name': ['trophy-plus64', 'much-vulnerable-machine-1', 'oh-my-gadt', 'secure-sandbox', 'secure-snek', 'fastcrypto', 'babyrng', 'omnibius', 'blogdog', 'keystore-rs', 'pwny-heap', 'curved-mvm', 'netmsg-2', 'kittyconvert', 'man-vs-matrix', 'sourceless-crypto', 'mvmcheckers-inc', 'mvm', 'netmsg-1', 'notcrypto', 'p11n-trophy', 'pickle-season', 'submission', 'devnull-as-a-service', 'foundations'], 'solve_time': ['Sun 20:13:20', 'Sun 15:30:53', 'Sun 15:09:25', 'Sun 14:56:43', 'Sun 14:45:09', 'Sun 13:55:01', 'Sun 12:37:33', 'Sun 11:44:34', 'Sun 10:12:21', 'Sun 08:37:45', 'Sun 03:53:09', 'Sat 22:14:28', 'Sat 21:59:52', 'Sat 20:50:35', 'Sat 19:57:42', 'Sat 18:37:00', 'Sat 18:16:05', 'Sat 13:33:01', 'Sat 13:29:58', 'Sat 10:32:33', 'Sat 09:13:47', 'Sat 08:24:03', 'Sat 08:04:53', 'Sat 05:57:47', 'Sat 03:21:13']}"
QnQSec,3913,"{'challenge_name': ['redacted', 'keystore-rs', 'pwny-heap', 'much-vulnerable-machine-3', 'babyrng', 'secure-sandbox', 'much-vulnerable-machine-2', 'much-vulnerable-machine-1', 'netmsg-1', 'netmsg-2', 'hydraulic-press', 'fastcrypto', 'trophy-plus64', 'pickle-season', 'trophy-plus', 'submission', 'devnull-as-a-service', 'notcrypto', 'sourceless-crypto', 'p11n-trophy', 'curved-mvm', 'man-vs-matrix', 'foundations', 'mvm'], 'solve_time': ['Sun 23:12:56', 'Sun 17:50:03', 'Sun 16:41:08', 'Sun 15:21:12', 'Sun 13:05:27', 'Sun 06:47:11', 'Sun 02:35:09', 'Sun 00:09:53', 'Sat 20:31:38', 'Sat 20:01:42', 'Sat 13:38:06', 'Sat 07:39:21', 'Sat 05:22:05', 'Sat 02:46:52', 'Sat 02:14:10', 'Sat 01:15:42', 'Sat 01:12:26', 'Sat 01:05:20', 'Sat 00:41:43', 'Sat 00:09:10', 'Sat 00:01:43', 'Fri 23:57:23', 'Fri 23:41:37', 'Fri 23:35:18']}"
full_weak_engineer,3823,"{'challenge_name': ['fastcrypto', 'secure-sandbox', 'pwny-heap', 'secure-snek', 'netmsg-2', 'oh-my-gadt', 'netmsg-1', 'omnibius', 'man-vs-matrix', 'devnull-as-a-service', 'sourceless-crypto', 'curved-mvm', 'hydraulic-press', 'trophy-plus', 'trophy-plus64', 'storycreator', 'p11n-trophy', 'foundations', 'pickle-season', 'mvm', 'mvmcheckers-inc', 'notcrypto', 'blogdog', 'kittyconvert'], 'solve_time': ['Sun 19:02:49', 'Sun 18:02:03', 'Sun 16:45:27', 'Sun 16:09:43', 'Sun 12:45:25', 'Sun 08:53:56', 'Sun 04:08:05', 'Sat 17:43:08', 'Sat 15:39:26', 'Sat 14:37:00', 'Sat 11:19:56', 'Sat 10:29:58', 'Sat 09:30:20', 'Sat 08:20:58', 'Sat 07:54:40', 'Sat 07:21:06', 'Sat 06:01:08', 'Sat 05:47:59', 'Sat 05:40:37', 'Sat 05:12:52', 'Sat 04:56:51', 'Sat 04:17:16', 'Sat 03:38:13', 'Sat 00:49:06']}"
valgrind,3455,"{'challenge_name': ['rubiks-dsa', 'secure-snek', 'pwny-heap', 'secure-sandbox', 'storycreator', 'mvmcheckers-inc', 'trophy-plus', 'hydraulic-press', 'redacted', 'count-the-mvms', 'kittyconvert', 'foundations', 'trophy-plus64', 'fastcrypto', 'devnull-as-a-service', 'curved-mvm', 'sourceless-crypto', 'man-vs-matrix', 'pickle-season', 'submission', 'notcrypto', 'p11n-trophy', 'mvm'], 'solve_time': ['Sun 22:14:44', 'Sun 16:50:07', 'Sun 08:15:19', 'Sun 06:59:02', 'Sun 01:56:58', 'Sat 23:56:49', 'Sat 22:15:07', 'Sat 20:22:40', 'Sat 18:12:29', 'Sat 17:22:27', 'Sat 12:57:02', 'Sat 12:55:13', 'Sat 11:36:49', 'Sat 07:26:37', 'Sat 06:12:18', 'Sat 05:56:43', 'Sat 04:58:14', 'Sat 04:44:39', 'Sat 04:08:26', 'Sat 01:44:07', 'Sat 01:09:46', 'Fri 23:51:41', 'Fri 23:43:53']}"
r4kapig,2772,"{'challenge_name': ['secure-snek', 'fastcrypto', 'submission', 'keystore-rs', 'pwny-heap', 'secure-sandbox', 'netmsg-2', 'netmsg-1', 'oh-my-gadt', 'mvmcheckers-inc', 'pickle-season', 'curved-mvm', 'notcrypto', 'mvm', 'man-vs-matrix', 'foundations', 'trophy-plus64', 'sourceless-crypto', 'devnull-as-a-service', 'p11n-trophy'], 'solve_time': ['Sun 18:31:41', 'Sun 16:23:17', 'Sun 14:00:44', 'Sun 10:43:20', 'Sun 10:40:33', 'Sun 09:48:00', 'Sun 09:41:44', 'Sat 21:37:31', 'Sat 18:20:36', 'Sat 15:11:01', 'Sat 14:00:03', 'Sat 09:04:47', 'Sat 08:58:24', 'Sat 08:13:25', 'Sat 08:05:13', 'Sat 07:53:54', 'Sat 07:39:38', 'Sat 07:26:38', 'Sat 00:46:39', 'Fri 23:55:12']}"
