points,name,challenge
7388,retirees,"{'challenge_name': ['one time pin', 'Cyber League Season 2', 'Baby PCAP', 'Buffer Overflow 1', 'Secret', 'Await Flag', 'A Golden Chance', 'AsciiDoc Parser', 'Matryoshka', 'Matryoshka II', 'Pwn-Dis-File', 'Log Analysis', 'Encrypted Messaging System', 'More RAM Part 1', 'LMentary', 'pprotocol', 'Await Revenge', 'Uncover Me', 'Baby LCG', 'STANDCON 2025', 'catalog commits', 'Perfect Storage', 'Pool Party', 'More RAM Part 2'], 'challenge_category': ['Cryptography', 'Miscellaneous', 'Forensics', 'Binary Exploitation', 'Reverse Engineering', 'Web', 'Cryptography', 'Web', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Forensics', 'Cryptography', 'Binary Exploitation', 'Web', 'Forensics', 'Cryptography', 'Miscellaneous', 'Cloud', 'Cloud', 'OSINT', 'Forensics'], 'challenge_points': ['374', '50', '50', '409', '465', '405', '475', '486', '77', '241', '50', '234', '482', '212', '477', '500', '494', '0', '0', '50', '489', '432', '442', '494'], 'solve_time': ['2025-01-11T02:07:54Z', '2025-01-11T02:08:11Z', '2025-01-11T02:14:37Z', '2025-01-11T02:42:46Z', '2025-01-11T02:48:06Z', '2025-01-11T02:55:46Z', '2025-01-11T03:00:09Z', '2025-01-11T03:33:03Z', '2025-01-11T03:40:28Z', '2025-01-11T03:50:34Z', '2025-01-11T04:05:57Z', '2025-01-11T04:11:30Z', '2025-01-11T04:31:27Z', '2025-01-11T04:37:37Z', '2025-01-11T06:28:12Z', '2025-01-11T07:00:16Z', '2025-01-11T07:14:54Z', '2025-01-11T08:07:04Z', '2025-01-11T08:12:05Z', '2025-01-11T11:42:21Z', '2025-01-11T14:46:42Z', '2025-01-11T16:03:31Z', '2025-01-11T17:28:50Z', '2025-01-11T17:44:40Z']}"
6894,theGOUT,"{'challenge_name': ['Baby LCG', 'Uncover Me', 'one time pin', 'Buffer Overflow 1', 'Cyber League Season 2', 'More RAM Part 1', 'Matryoshka', 'Matryoshka II', 'Log Analysis', 'Pwn-Dis-File', 'A Golden Chance', 'Await Flag', 'Secret', 'Pool Party', 'AsciiDoc Parser', 'Baby PCAP', 'Encrypted Messaging System', 'More RAM Part 2', 'LMentary', 'STANDCON 2025', 'Perfect Storage', 'catalog commits', 'pprotocol'], 'challenge_category': ['Cryptography', 'Forensics', 'Cryptography', 'Binary Exploitation', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Web', 'Reverse Engineering', 'OSINT', 'Web', 'Forensics', 'Cryptography', 'Forensics', 'Cryptography', 'Miscellaneous', 'Cloud', 'Cloud', 'Binary Exploitation'], 'challenge_points': ['0', '0', '374', '409', '50', '212', '77', '241', '234', '50', '475', '405', '465', '442', '486', '50', '482', '494', '477', '50', '432', '489', '500'], 'solve_time': ['2025-01-10T13:17:42Z', '2025-01-10T13:21:01Z', '2025-01-11T02:09:10Z', '2025-01-11T02:26:44Z', '2025-01-11T02:36:48Z', '2025-01-11T02:39:16Z', '2025-01-11T02:58:37Z', '2025-01-11T03:08:18Z', '2025-01-11T03:32:43Z', '2025-01-11T03:37:57Z', '2025-01-11T03:52:09Z', '2025-01-11T04:09:20Z', '2025-01-11T04:11:41Z', '2025-01-11T05:21:58Z', '2025-01-11T05:44:50Z', '2025-01-11T05:49:55Z', '2025-01-11T06:39:45Z', '2025-01-11T09:27:14Z', '2025-01-11T10:58:57Z', '2025-01-11T11:35:03Z', '2025-01-11T14:37:53Z', '2025-01-11T15:21:29Z', '2025-01-11T19:58:27Z']}"
6888,plzhireus,"{'challenge_name': ['Pwn-Dis-File', 'Matryoshka', 'Matryoshka II', 'Cyber League Season 2', 'Await Flag', 'Log Analysis', 'one time pin', 'Baby PCAP', 'More RAM Part 1', 'Buffer Overflow 1', 'AsciiDoc Parser', 'More RAM Part 2', 'Secret', 'Uncover Me', 'Encrypted Messaging System', 'A Golden Chance', 'LMentary', 'STANDCON 2025', 'Await Revenge', 'Pool Party', 'Perfect Storage', 'catalog commits'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Web', 'Miscellaneous', 'Cryptography', 'Forensics', 'Forensics', 'Binary Exploitation', 'Web', 'Forensics', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Web', 'OSINT', 'Cloud', 'Cloud'], 'challenge_points': ['50', '77', '241', '50', '405', '234', '374', '50', '212', '409', '486', '494', '465', '0', '482', '475', '477', '50', '494', '442', '432', '489'], 'solve_time': ['2025-01-11T02:10:07Z', '2025-01-11T02:20:07Z', '2025-01-11T02:32:03Z', '2025-01-11T02:35:46Z', '2025-01-11T02:41:55Z', '2025-01-11T02:48:40Z', '2025-01-11T02:57:53Z', '2025-01-11T03:16:12Z', '2025-01-11T03:33:23Z', '2025-01-11T04:45:12Z', '2025-01-11T05:08:01Z', '2025-01-11T05:34:37Z', '2025-01-11T05:48:44Z', '2025-01-11T05:51:44Z', '2025-01-11T11:34:36Z', '2025-01-11T12:12:58Z', '2025-01-11T12:52:42Z', '2025-01-11T13:19:34Z', '2025-01-11T13:42:23Z', '2025-01-11T13:42:46Z', '2025-01-11T14:29:44Z', '2025-01-11T14:55:32Z']}"
6888,SLIGHTER_SMILE,"{'challenge_name': ['Uncover Me', 'Baby LCG', 'Buffer Overflow 1', 'one time pin', 'Cyber League Season 2', 'Secret', 'Baby PCAP', 'Pwn-Dis-File', 'A Golden Chance', 'Matryoshka', 'Await Flag', 'AsciiDoc Parser', 'Log Analysis', 'Matryoshka II', 'More RAM Part 1', 'Encrypted Messaging System', 'More RAM Part 2', 'LMentary', 'STANDCON 2025', 'Pool Party', 'catalog commits', 'Perfect Storage', 'Await Revenge'], 'challenge_category': ['Forensics', 'Cryptography', 'Binary Exploitation', 'Cryptography', 'Miscellaneous', 'Reverse Engineering', 'Forensics', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Web', 'Web', 'Miscellaneous', 'Miscellaneous', 'Forensics', 'Cryptography', 'Forensics', 'Cryptography', 'Miscellaneous', 'OSINT', 'Cloud', 'Cloud', 'Web'], 'challenge_points': ['0', '0', '409', '374', '50', '465', '50', '50', '475', '77', '405', '486', '234', '241', '212', '482', '494', '477', '50', '442', '489', '432', '494'], 'solve_time': ['2025-01-03T13:31:27Z', '2025-01-06T03:09:43Z', '2025-01-11T02:23:18Z', '2025-01-11T02:41:39Z', '2025-01-11T02:43:58Z', '2025-01-11T02:59:00Z', '2025-01-11T03:07:55Z', '2025-01-11T03:17:57Z', '2025-01-11T03:19:14Z', '2025-01-11T03:48:25Z', '2025-01-11T04:02:29Z', '2025-01-11T04:13:18Z', '2025-01-11T04:15:09Z', '2025-01-11T05:21:45Z', '2025-01-11T05:51:45Z', '2025-01-11T06:51:34Z', '2025-01-11T10:17:21Z', '2025-01-11T11:14:54Z', '2025-01-11T11:27:24Z', '2025-01-11T12:44:10Z', '2025-01-11T14:37:39Z', '2025-01-11T15:53:39Z', '2025-01-11T18:06:08Z']}"
6888,DATA DIDDLERS,"{'challenge_name': ['Uncover Me', 'Cyber League Season 2', 'Log Analysis', 'Buffer Overflow 1', 'Baby PCAP', 'one time pin', 'Matryoshka', 'Secret', 'Matryoshka II', 'Await Flag', 'Pwn-Dis-File', 'Pool Party', 'Await Revenge', 'More RAM Part 1', 'LMentary', 'AsciiDoc Parser', 'Perfect Storage', 'catalog commits', 'STANDCON 2025', 'Encrypted Messaging System', 'A Golden Chance', 'More RAM Part 2'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Miscellaneous', 'Binary Exploitation', 'Forensics', 'Cryptography', 'Miscellaneous', 'Reverse Engineering', 'Miscellaneous', 'Web', 'Miscellaneous', 'OSINT', 'Web', 'Forensics', 'Cryptography', 'Web', 'Cloud', 'Cloud', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Forensics'], 'challenge_points': ['0', '50', '234', '409', '50', '374', '77', '465', '241', '405', '50', '442', '494', '212', '477', '486', '432', '489', '50', '482', '475', '494'], 'solve_time': ['2025-01-11T01:25:43Z', '2025-01-11T02:06:54Z', '2025-01-11T02:12:56Z', '2025-01-11T02:31:46Z', '2025-01-11T02:50:26Z', '2025-01-11T03:26:25Z', '2025-01-11T04:59:09Z', '2025-01-11T05:08:47Z', '2025-01-11T06:02:31Z', '2025-01-11T06:13:12Z', '2025-01-11T07:28:49Z', '2025-01-11T09:07:27Z', '2025-01-11T09:34:06Z', '2025-01-11T09:46:29Z', '2025-01-11T12:30:57Z', '2025-01-11T13:44:21Z', '2025-01-11T14:55:08Z', '2025-01-11T15:46:02Z', '2025-01-11T16:15:42Z', '2025-01-11T17:02:20Z', '2025-01-11T18:51:09Z', '2025-01-12T00:27:21Z']}"
6888,Only Misc,"{'challenge_name': ['Pool Party', 'Secret', 'Baby PCAP', 'Pwn-Dis-File', 'Matryoshka', 'Matryoshka II', 'Cyber League Season 2', 'Log Analysis', 'Buffer Overflow 1', 'LMentary', 'Await Flag', 'More RAM Part 1', 'Perfect Storage', 'AsciiDoc Parser', 'STANDCON 2025', 'Await Revenge', 'one time pin', 'A Golden Chance', 'Baby LCG', 'Encrypted Messaging System', 'More RAM Part 2', 'catalog commits'], 'challenge_category': ['OSINT', 'Reverse Engineering', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Binary Exploitation', 'Cryptography', 'Web', 'Forensics', 'Cloud', 'Web', 'Miscellaneous', 'Web', 'Cryptography', 'Cryptography', 'Cryptography', 'Cryptography', 'Forensics', 'Cloud'], 'challenge_points': ['442', '465', '50', '50', '77', '241', '50', '234', '409', '477', '405', '212', '432', '486', '50', '494', '374', '475', '0', '482', '494', '489'], 'solve_time': ['2025-01-11T09:49:43Z', '2025-01-11T09:52:48Z', '2025-01-11T10:08:49Z', '2025-01-11T10:17:11Z', '2025-01-11T10:33:12Z', '2025-01-11T10:40:48Z', '2025-01-11T10:44:15Z', '2025-01-11T10:45:21Z', '2025-01-11T10:50:53Z', '2025-01-11T11:01:54Z', '2025-01-11T13:45:28Z', '2025-01-11T14:16:19Z', '2025-01-11T14:37:20Z', '2025-01-11T14:42:00Z', '2025-01-11T14:57:20Z', '2025-01-11T16:11:46Z', '2025-01-11T17:24:35Z', '2025-01-11T17:35:19Z', '2025-01-11T17:41:01Z', '2025-01-11T18:43:51Z', '2025-01-12T00:53:49Z', '2025-01-12T01:25:57Z']}"
6888,Hanni Fanclub,"{'challenge_name': ['one time pin', 'Baby PCAP', 'Secret', 'Await Flag', 'Pool Party', 'Cyber League Season 2', 'More RAM Part 1', 'Log Analysis', 'Matryoshka', 'Matryoshka II', 'Pwn-Dis-File', 'AsciiDoc Parser', 'Buffer Overflow 1', 'Encrypted Messaging System', 'A Golden Chance', 'LMentary', 'STANDCON 2025', 'Await Revenge', 'Perfect Storage', 'More RAM Part 2', 'catalog commits'], 'challenge_category': ['Cryptography', 'Forensics', 'Reverse Engineering', 'Web', 'OSINT', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Web', 'Binary Exploitation', 'Cryptography', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Web', 'Cloud', 'Forensics', 'Cloud'], 'challenge_points': ['374', '50', '465', '405', '442', '50', '212', '234', '77', '241', '50', '486', '409', '482', '475', '477', '50', '494', '432', '494', '489'], 'solve_time': ['2025-01-11T03:23:29Z', '2025-01-11T04:04:37Z', '2025-01-11T04:09:35Z', '2025-01-11T04:25:39Z', '2025-01-11T04:32:35Z', '2025-01-11T04:34:46Z', '2025-01-11T04:41:57Z', '2025-01-11T04:49:35Z', '2025-01-11T05:19:31Z', '2025-01-11T05:56:04Z', '2025-01-11T06:13:57Z', '2025-01-11T06:30:15Z', '2025-01-11T06:47:00Z', '2025-01-11T09:03:05Z', '2025-01-11T09:10:13Z', '2025-01-11T10:01:32Z', '2025-01-11T11:27:58Z', '2025-01-11T11:53:00Z', '2025-01-11T14:43:35Z', '2025-01-11T18:43:10Z', '2025-01-12T01:57:01Z']}"
6838,TFNS: The Good Parts,"{'challenge_name': ['Baby PCAP', 'More RAM Part 1', 'Buffer Overflow 1', 'one time pin', 'Pwn-Dis-File', 'Matryoshka', 'Log Analysis', 'More RAM Part 2', 'Await Flag', 'STANDCON 2025', 'Matryoshka II', 'Secret', 'AsciiDoc Parser', 'Encrypted Messaging System', 'Await Revenge', 'LMentary', 'Perfect Storage', 'catalog commits', 'A Golden Chance', 'Pool Party'], 'challenge_category': ['Forensics', 'Forensics', 'Binary Exploitation', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Forensics', 'Web', 'Miscellaneous', 'Miscellaneous', 'Reverse Engineering', 'Web', 'Cryptography', 'Web', 'Cryptography', 'Cloud', 'Cloud', 'Cryptography', 'OSINT'], 'challenge_points': ['50', '212', '409', '374', '50', '77', '234', '494', '405', '50', '241', '465', '486', '482', '494', '477', '432', '489', '475', '442'], 'solve_time': ['2025-01-11T02:22:08Z', '2025-01-11T02:31:09Z', '2025-01-11T02:35:29Z', '2025-01-11T02:49:15Z', '2025-01-11T02:55:28Z', '2025-01-11T03:03:22Z', '2025-01-11T03:18:29Z', '2025-01-11T12:23:43Z', '2025-01-11T12:33:18Z', '2025-01-11T13:36:58Z', '2025-01-11T13:37:48Z', '2025-01-11T14:17:41Z', '2025-01-11T14:32:39Z', '2025-01-11T15:13:42Z', '2025-01-11T15:38:51Z', '2025-01-11T16:04:11Z', '2025-01-11T16:16:49Z', '2025-01-11T16:47:22Z', '2025-01-11T20:34:02Z', '2025-01-12T01:52:57Z']}"
6406,hehe,"{'challenge_name': ['AsciiDoc Parser', 'Await Flag', 'Buffer Overflow 1', 'Cyber League Season 2', 'Pwn-Dis-File', 'Secret', 'Matryoshka', 'one time pin', 'Log Analysis', 'More RAM Part 1', 'Matryoshka II', 'Baby PCAP', 'LMentary', 'Await Revenge', 'STANDCON 2025', 'A Golden Chance', 'Perfect Storage', 'Pool Party', 'More RAM Part 2', 'catalog commits'], 'challenge_category': ['Web', 'Web', 'Binary Exploitation', 'Miscellaneous', 'Miscellaneous', 'Reverse Engineering', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Forensics', 'Cryptography', 'Web', 'Miscellaneous', 'Cryptography', 'Cloud', 'OSINT', 'Forensics', 'Cloud'], 'challenge_points': ['486', '405', '409', '50', '50', '465', '77', '374', '234', '212', '241', '50', '477', '494', '50', '475', '432', '442', '494', '489'], 'solve_time': ['2025-01-11T07:09:07Z', '2025-01-11T07:18:10Z', '2025-01-11T07:42:24Z', '2025-01-11T08:12:55Z', '2025-01-11T08:22:09Z', '2025-01-11T08:25:09Z', '2025-01-11T09:01:57Z', '2025-01-11T09:02:23Z', '2025-01-11T09:13:39Z', '2025-01-11T09:39:55Z', '2025-01-11T11:02:35Z', '2025-01-11T11:04:13Z', '2025-01-11T11:08:35Z', '2025-01-11T13:45:12Z', '2025-01-11T14:40:50Z', '2025-01-11T15:00:09Z', '2025-01-11T16:27:59Z', '2025-01-11T16:28:26Z', '2025-01-12T01:42:55Z', '2025-01-12T01:52:07Z']}"
6394,Big Beef Bois,"{'challenge_name': ['Baby PCAP', 'Cyber League Season 2', 'More RAM Part 1', 'Baby LCG', 'Pwn-Dis-File', 'Matryoshka', 'Secret', 'one time pin', 'Buffer Overflow 1', 'Log Analysis', 'A Golden Chance', 'Await Flag', 'Matryoshka II', 'Encrypted Messaging System', 'STANDCON 2025', 'Pool Party', 'Perfect Storage', 'catalog commits', 'LMentary', 'More RAM Part 2', 'AsciiDoc Parser'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Forensics', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Reverse Engineering', 'Cryptography', 'Binary Exploitation', 'Miscellaneous', 'Cryptography', 'Web', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'OSINT', 'Cloud', 'Cloud', 'Cryptography', 'Forensics', 'Web'], 'challenge_points': ['50', '50', '212', '0', '50', '77', '465', '374', '409', '234', '475', '405', '241', '482', '50', '442', '432', '489', '477', '494', '486'], 'solve_time': ['2025-01-11T02:04:28Z', '2025-01-11T02:21:16Z', '2025-01-11T02:34:40Z', '2025-01-11T03:55:36Z', '2025-01-11T03:59:03Z', '2025-01-11T04:15:14Z', '2025-01-11T05:13:12Z', '2025-01-11T05:34:33Z', '2025-01-11T06:51:59Z', '2025-01-11T07:54:36Z', '2025-01-11T08:17:13Z', '2025-01-11T08:24:09Z', '2025-01-11T10:14:48Z', '2025-01-11T12:16:36Z', '2025-01-11T13:06:12Z', '2025-01-11T13:20:33Z', '2025-01-11T15:36:17Z', '2025-01-11T15:52:44Z', '2025-01-11T15:53:18Z', '2025-01-11T17:52:46Z', '2025-01-11T20:01:59Z']}"
