points,name,challenge
9204,bi0s,"{'challenge_name': ['BuckSpeak', 'Charlie Hunt 2', 'Mine the Cap', 'PCI Config Mayhem', 'BasicAVR', 'Gate Escaping', 'Gate Keeping', 'Hook The World', 'Charlie Hunt 3', 'Charlie Hunt 1', 'Ooguth', 'freakada 3301', 'Patterned Secrets', 'Mic Mimic', 'Quadrillion Matrices', 'La Casa de Papel', 'Glitch, Please!', 'tet-riffic!', 'MacroExe', 'Cybernotes', 'Layered Secrets', 'Ancient Ahh Display', 'Flight Risk', 'U ARe T Detective', ""Tammy's Tantrums"", 'import rAnDoM', 'Seek Quence', 'und3rC0VEr', 'RSAabc', 'R Stands Alone', 'Beyond A Display', 'BackTrack', 'Mumbo Dumbo', 'Chaterine', 'Mixed Signal', 'Print The Gifts', 'Warmup'], 'challenge_category': ['Forensics', 'Web Exploitation', 'Forensics', 'Binary Exploitation', 'Hardware', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Web Exploitation', 'Web Exploitation', 'Web Exploitation', 'Miscellaneous', 'Forensics', 'Hardware', 'Cryptography', 'Cryptography', 'Artificial Intelligence', 'Forensics', 'Forensics', 'Web Exploitation', 'Cryptography', 'Hardware', 'Reverse Engineering', 'Hardware', 'Web Exploitation', 'Cryptography', 'Hardware', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Artificial Intelligence', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Miscellaneous'], 'challenge_points': ['401', '473', '480', '473', '431', '421', '411', '264', '322', '276', '480', '95', '449', '473', '334', '50', '311', '231', '421', '50', '431', '141', '100', '50', '121', '105', '421', '264', '50', '77', '71', '50', '50', '200', '164', '53', '10'], 'solve_time': ['2024-12-15T12:43:41.132876Z', '2024-12-15T11:24:09.964956Z', '2024-12-15T10:21:20.559904Z', '2024-12-15T09:01:10.283600Z', '2024-12-15T01:01:41.565235Z', '2024-12-14T23:55:01.343309Z', '2024-12-14T18:44:13.421339Z', '2024-12-14T18:33:22.393847Z', '2024-12-14T18:31:31.846804Z', '2024-12-14T17:37:15.508303Z', '2024-12-14T14:09:45.302120Z', '2024-12-14T14:02:34.886835Z', '2024-12-14T13:18:48.687920Z', '2024-12-14T13:00:09.477105Z', '2024-12-14T12:39:37.037052Z', '2024-12-14T11:53:56.387263Z', '2024-12-14T10:00:26.643455Z', '2024-12-14T03:09:18.513448Z', '2024-12-13T21:36:00.808761Z', '2024-12-13T20:59:39.817215Z', '2024-12-13T20:58:22.764388Z', '2024-12-13T19:27:56.899651Z', '2024-12-13T18:57:42.513529Z', '2024-12-13T18:25:29.854650Z', '2024-12-13T18:12:06.436546Z', '2024-12-13T17:54:18.866599Z', '2024-12-13T17:50:33.095703Z', '2024-12-13T17:43:51.531071Z', '2024-12-13T16:44:05.767850Z', '2024-12-13T15:28:28.238869Z', '2024-12-13T15:25:26.647545Z', '2024-12-13T14:42:14.718362Z', '2024-12-13T14:27:32.459153Z', '2024-12-13T14:17:13.835478Z', '2024-12-13T13:47:13.727682Z', '2024-12-13T13:18:49.533580Z', '2024-12-13T13:00:44.951025Z']}"
8639,EXE.1sior,"{'challenge_name': ['Troubled Classifier', 'Rusty Restraints', 'BuckSpeak', 'Hook The World', 'import rAnDoM', 'Layered Secrets', 'R Stands Alone', 'Beyond A Display', 'BasicAVR', 'Cybernotes', 'Charlie Hunt 3', 'Restricted Jumper', 'Chaterine', 'MacroExe', 'Ooguth', 'U ARe T Detective', 'freakada 3301', 'Ancient Ahh Display', 'Glitch, Please!', 'Patterned Secrets', 'Quadrillion Matrices', 'La Casa de Papel', 'Charlie Hunt 2', 'RSAabc', 'Charlie Hunt 1', ""Tammy's Tantrums"", 'Print The Gifts', 'tet-riffic!', 'Farewell Firewall', 'BackTrack', 'Flight Risk', 'Mine the Cap', 'Mumbo Dumbo', 'und3rC0VEr', 'Warmup'], 'challenge_category': ['Artificial Intelligence', 'Reverse Engineering', 'Forensics', 'Binary Exploitation', 'Cryptography', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Hardware', 'Web Exploitation', 'Web Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Forensics', 'Web Exploitation', 'Hardware', 'Miscellaneous', 'Hardware', 'Artificial Intelligence', 'Forensics', 'Cryptography', 'Cryptography', 'Web Exploitation', 'Cryptography', 'Web Exploitation', 'Web Exploitation', 'Binary Exploitation', 'Forensics', 'Artificial Intelligence', 'Miscellaneous', 'Reverse Engineering', 'Forensics', 'Artificial Intelligence', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['457', '421', '401', '264', '105', '431', '77', '71', '431', '50', '322', '440', '200', '421', '480', '50', '95', '141', '311', '449', '334', '50', '473', '50', '276', '121', '53', '231', '480', '50', '100', '480', '50', '264', '10'], 'solve_time': ['2024-12-15T12:23:05.949409Z', '2024-12-15T11:07:04.410480Z', '2024-12-15T07:15:06.147611Z', '2024-12-15T06:51:33.707235Z', '2024-12-15T06:12:22.527907Z', '2024-12-15T05:49:13.629720Z', '2024-12-15T05:23:24.933414Z', '2024-12-15T05:03:47.468723Z', '2024-12-15T00:22:35.686080Z', '2024-12-14T19:11:35.832324Z', '2024-12-14T18:05:51.071852Z', '2024-12-14T17:41:51.101617Z', '2024-12-14T17:35:58.260858Z', '2024-12-14T17:28:51.370538Z', '2024-12-14T16:59:03.536483Z', '2024-12-14T14:41:03.256652Z', '2024-12-14T13:52:47.708701Z', '2024-12-14T12:33:56.069641Z', '2024-12-14T12:12:35.662630Z', '2024-12-14T11:57:30.829098Z', '2024-12-14T08:48:52.309876Z', '2024-12-14T07:33:44.079278Z', '2024-12-14T06:36:19.969919Z', '2024-12-14T01:55:33.749815Z', '2024-12-13T23:54:05.131001Z', '2024-12-13T21:26:37.717525Z', '2024-12-13T18:38:38.116435Z', '2024-12-13T18:14:30.446927Z', '2024-12-13T17:46:54.302861Z', '2024-12-13T16:52:10.470863Z', '2024-12-13T16:35:26.648996Z', '2024-12-13T16:26:24.476522Z', '2024-12-13T14:24:56.868454Z', '2024-12-13T14:23:09.771459Z', '2024-12-13T13:35:21.598601Z']}"
8611,BITSkrieg,"{'challenge_name': ['Troubled Classifier', 'Farewell Firewall', 'Gate Keeping', 'Dogs Days Out', 'BuckSpeak', 'Patterned Secrets', 'Seek Quence', 'Hook The World', 'Mic Mimic', 'BasicAVR', 'Charlie Hunt 3', 'Restricted Jumper', 'Layered Secrets', 'Chaterine', 'Charlie Hunt 1', 'freakada 3301', 'Quadrillion Matrices', 'Flight Risk', 'MacroExe', 'La Casa de Papel', 'import rAnDoM', 'Glitch, Please!', ""Tammy's Tantrums"", 'Print The Gifts', 'Mixed Signal', 'R Stands Alone', 'Cybernotes', 'tet-riffic!', 'und3rC0VEr', 'Ancient Ahh Display', 'Beyond A Display', 'U ARe T Detective', 'Mumbo Dumbo', 'BackTrack', 'RSAabc', 'Warmup'], 'challenge_category': ['Artificial Intelligence', 'Artificial Intelligence', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Forensics', 'Hardware', 'Binary Exploitation', 'Hardware', 'Hardware', 'Web Exploitation', 'Reverse Engineering', 'Cryptography', 'Binary Exploitation', 'Web Exploitation', 'Miscellaneous', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Cryptography', 'Artificial Intelligence', 'Web Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Cryptography', 'Web Exploitation', 'Forensics', 'Miscellaneous', 'Hardware', 'Miscellaneous', 'Hardware', 'Artificial Intelligence', 'Miscellaneous', 'Cryptography', 'Miscellaneous'], 'challenge_points': ['457', '480', '411', '357', '401', '449', '421', '264', '473', '431', '322', '440', '431', '200', '276', '95', '334', '100', '421', '50', '105', '311', '121', '53', '164', '77', '50', '231', '264', '141', '71', '50', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T12:58:41.946570Z', '2024-12-15T10:36:43.312908Z', '2024-12-15T10:25:24.140705Z', '2024-12-15T09:50:28.630146Z', '2024-12-15T09:26:10.766065Z', '2024-12-15T06:51:53.247752Z', '2024-12-15T05:20:55.645911Z', '2024-12-15T05:11:31.122290Z', '2024-12-15T05:00:45.427295Z', '2024-12-15T03:27:28.470877Z', '2024-12-15T03:15:27.748132Z', '2024-12-15T00:12:31.465448Z', '2024-12-14T16:45:54.815935Z', '2024-12-14T14:58:20.875083Z', '2024-12-14T13:59:41.118875Z', '2024-12-14T13:35:52.799926Z', '2024-12-14T11:08:30.340854Z', '2024-12-14T10:34:00.208929Z', '2024-12-14T10:10:46.865962Z', '2024-12-14T09:17:02.504321Z', '2024-12-14T08:40:49.911888Z', '2024-12-14T08:14:47.152717Z', '2024-12-13T23:25:43.755242Z', '2024-12-13T22:57:41.701504Z', '2024-12-13T22:05:11.621460Z', '2024-12-13T21:58:22.296705Z', '2024-12-13T20:27:15.858702Z', '2024-12-13T19:35:57.639491Z', '2024-12-13T18:18:59.340461Z', '2024-12-13T17:48:58.411079Z', '2024-12-13T16:27:01.346775Z', '2024-12-13T15:05:53.833616Z', '2024-12-13T14:46:52.766713Z', '2024-12-13T14:27:41.971641Z', '2024-12-13T14:24:55.456654Z', '2024-12-13T13:02:53.987277Z']}"
8592,valgrind,"{'challenge_name': ['BasicAVR', 'Patterned Secrets', 'Seek Quence', 'Gate Escaping', 'Gate Keeping', 'MacroExe', 'BuckSpeak', 'Hook The World', 'Charlie Hunt 3', 'und3rC0VEr', 'Farewell Firewall', 'tet-riffic!', 'Ancient Ahh Display', 'Charlie Hunt 2', 'freakada 3301', ""Tammy's Tantrums"", 'Beyond A Display', 'Troubled Classifier', 'Dogs Days Out', 'Quadrillion Matrices', 'Glitch, Please!', 'Layered Secrets', 'La Casa de Papel', 'Flight Risk', 'Chaterine', 'Mixed Signal', 'Print The Gifts', 'import rAnDoM', 'U ARe T Detective', 'RSAabc', 'BackTrack', 'R Stands Alone', 'Charlie Hunt 1', 'Mumbo Dumbo', 'Cybernotes', 'Warmup'], 'challenge_category': ['Hardware', 'Forensics', 'Hardware', 'Binary Exploitation', 'Reverse Engineering', 'Forensics', 'Forensics', 'Binary Exploitation', 'Web Exploitation', 'Miscellaneous', 'Artificial Intelligence', 'Forensics', 'Hardware', 'Web Exploitation', 'Miscellaneous', 'Web Exploitation', 'Miscellaneous', 'Artificial Intelligence', 'Reverse Engineering', 'Cryptography', 'Artificial Intelligence', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Cryptography', 'Hardware', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Web Exploitation', 'Artificial Intelligence', 'Web Exploitation', 'Miscellaneous'], 'challenge_points': ['431', '449', '421', '421', '411', '421', '401', '264', '322', '264', '480', '231', '141', '473', '95', '121', '71', '457', '357', '334', '311', '431', '50', '100', '200', '164', '53', '105', '50', '50', '50', '77', '276', '50', '50', '10'], 'solve_time': ['2024-12-15T11:21:59.686619Z', '2024-12-15T10:54:59.025013Z', '2024-12-15T10:25:42.676057Z', '2024-12-15T07:06:05.955717Z', '2024-12-15T05:18:04.625346Z', '2024-12-15T04:45:15.365137Z', '2024-12-15T02:19:39.324347Z', '2024-12-14T23:42:21.208337Z', '2024-12-14T22:50:47.719062Z', '2024-12-14T22:39:49.587585Z', '2024-12-14T20:53:30.491873Z', '2024-12-14T20:41:35.495253Z', '2024-12-14T15:25:36.692712Z', '2024-12-14T14:52:07.696643Z', '2024-12-14T14:02:52.229963Z', '2024-12-14T13:15:24.083598Z', '2024-12-14T12:43:10.738557Z', '2024-12-14T12:16:05.960722Z', '2024-12-14T11:22:49.860086Z', '2024-12-14T09:59:26.371170Z', '2024-12-14T08:31:26.701091Z', '2024-12-14T07:42:44.109716Z', '2024-12-14T07:38:02.404127Z', '2024-12-14T04:16:25.128111Z', '2024-12-14T04:05:30.136706Z', '2024-12-14T02:19:35.063136Z', '2024-12-14T01:20:56.853254Z', '2024-12-13T19:39:17.855200Z', '2024-12-13T19:25:10.239035Z', '2024-12-13T18:40:54.710440Z', '2024-12-13T17:06:40.100946Z', '2024-12-13T17:03:00.246271Z', '2024-12-13T16:04:12.622427Z', '2024-12-13T14:00:29.822502Z', '2024-12-13T13:33:22.557068Z', '2024-12-13T13:01:02.093070Z']}"
8257,Squid Proxy Lovers,"{'challenge_name': ['R Stands Alone', 'Patterned Secrets', 'Gate Escaping', 'Layered Secrets', 'BuckSpeak', 'tet-riffic!', 'Charlie Hunt 3', 'Charlie Hunt 1', 'Farewell Firewall', 'Hook The World', 'freakada 3301', 'Gate Keeping', 'La Casa de Papel', 'Ancient Ahh Display', 'Mine the Cap', 'MacroExe', 'U ARe T Detective', 'Glitch, Please!', 'und3rC0VEr', 'Renderman', ""Tammy's Tantrums"", 'Rusty Restraints', 'Cybernotes', 'Flight Risk', 'Dogs Days Out', 'RSAabc', 'Chaterine', 'BackTrack', 'Mixed Signal', 'Print The Gifts', 'Troubled Classifier', 'import rAnDoM', 'Mumbo Dumbo', 'Warmup'], 'challenge_category': ['Cryptography', 'Forensics', 'Binary Exploitation', 'Cryptography', 'Forensics', 'Forensics', 'Web Exploitation', 'Web Exploitation', 'Artificial Intelligence', 'Binary Exploitation', 'Miscellaneous', 'Reverse Engineering', 'Cryptography', 'Hardware', 'Forensics', 'Forensics', 'Hardware', 'Artificial Intelligence', 'Miscellaneous', 'Reverse Engineering', 'Web Exploitation', 'Reverse Engineering', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Binary Exploitation', 'Miscellaneous', 'Binary Exploitation', 'Binary Exploitation', 'Artificial Intelligence', 'Cryptography', 'Artificial Intelligence', 'Miscellaneous'], 'challenge_points': ['77', '449', '421', '431', '401', '231', '322', '276', '480', '264', '95', '411', '50', '141', '480', '421', '50', '311', '264', '494', '121', '421', '50', '100', '357', '50', '200', '50', '164', '53', '457', '105', '50', '10'], 'solve_time': ['2024-12-15T12:26:14.644623Z', '2024-12-15T09:09:29.896096Z', '2024-12-15T08:32:34.491079Z', '2024-12-15T08:19:16.489519Z', '2024-12-15T05:27:36.149884Z', '2024-12-15T02:04:50.066832Z', '2024-12-14T23:38:26.770202Z', '2024-12-14T23:05:12.988270Z', '2024-12-14T22:28:17.190787Z', '2024-12-14T20:58:03.055472Z', '2024-12-14T20:10:40.378690Z', '2024-12-14T18:35:07.104776Z', '2024-12-14T12:15:07.625540Z', '2024-12-14T11:37:35.353318Z', '2024-12-14T10:58:17.007450Z', '2024-12-14T08:23:46.154010Z', '2024-12-14T08:08:18.446096Z', '2024-12-14T07:20:49.820513Z', '2024-12-14T07:07:40.625875Z', '2024-12-14T04:23:08.993201Z', '2024-12-14T01:17:03.714718Z', '2024-12-14T01:12:11.822252Z', '2024-12-13T23:48:38.554181Z', '2024-12-13T23:20:17.577732Z', '2024-12-13T22:30:20.340105Z', '2024-12-13T20:56:31.537460Z', '2024-12-13T17:38:02.684080Z', '2024-12-13T17:13:39.041155Z', '2024-12-13T16:52:30.544857Z', '2024-12-13T16:07:42.166248Z', '2024-12-13T14:57:28.633633Z', '2024-12-13T14:42:45.700845Z', '2024-12-13T13:21:45.392631Z', '2024-12-13T13:00:17.172191Z']}"
5916,World Wide Flags,"{'challenge_name': ['Layered Secrets', 'Restricted Jumper', 'Charlie Hunt 2', 'Mine the Cap', 'BuckSpeak', 'Dogs Days Out', 'Charlie Hunt 3', 'Mixed Signal', 'Ancient Ahh Display', 'Glitch, Please!', 'freakada 3301', 'Quadrillion Matrices', 'Flight Risk', 'Beyond A Display', 'Ooguth', 'La Casa de Papel', 'und3rC0VEr', 'tet-riffic!', 'RSAabc', 'U ARe T Detective', 'Charlie Hunt 1', 'Print The Gifts', 'BackTrack', 'R Stands Alone', 'import rAnDoM', 'Mumbo Dumbo', 'Cybernotes', 'Warmup'], 'challenge_category': ['Cryptography', 'Reverse Engineering', 'Web Exploitation', 'Forensics', 'Forensics', 'Reverse Engineering', 'Web Exploitation', 'Binary Exploitation', 'Hardware', 'Artificial Intelligence', 'Miscellaneous', 'Cryptography', 'Reverse Engineering', 'Miscellaneous', 'Web Exploitation', 'Cryptography', 'Miscellaneous', 'Forensics', 'Cryptography', 'Hardware', 'Web Exploitation', 'Binary Exploitation', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Artificial Intelligence', 'Web Exploitation', 'Miscellaneous'], 'challenge_points': ['431', '440', '473', '480', '401', '357', '322', '164', '141', '311', '95', '334', '100', '71', '480', '50', '264', '231', '50', '50', '276', '53', '50', '77', '105', '50', '50', '10'], 'solve_time': ['2024-12-15T12:16:57.718077Z', '2024-12-15T12:03:27.159469Z', '2024-12-15T11:23:41.376100Z', '2024-12-15T11:07:54.660565Z', '2024-12-15T10:54:38.229895Z', '2024-12-14T22:45:36.204010Z', '2024-12-14T18:41:23.541710Z', '2024-12-14T17:24:45.012096Z', '2024-12-14T15:22:41.495459Z', '2024-12-14T15:18:47.226348Z', '2024-12-14T14:01:32.466198Z', '2024-12-14T13:22:05.405332Z', '2024-12-14T13:11:51.043109Z', '2024-12-14T11:55:59.488375Z', '2024-12-14T11:07:03.834405Z', '2024-12-14T10:38:47.752291Z', '2024-12-14T10:24:22.221260Z', '2024-12-14T10:18:38.937370Z', '2024-12-13T22:25:22.032926Z', '2024-12-13T19:18:40.551868Z', '2024-12-13T18:08:20.763089Z', '2024-12-13T17:59:43.892218Z', '2024-12-13T16:58:40.419621Z', '2024-12-13T16:06:56.099818Z', '2024-12-13T15:47:23.992178Z', '2024-12-13T14:48:17.093492Z', '2024-12-13T13:32:36.140831Z', '2024-12-13T13:00:22.859982Z']}"
5643,Emu Exploit,"{'challenge_name': ['tet-riffic!', 'MacroExe', 'Layered Secrets', 'Charlie Hunt 3', 'Charlie Hunt 1', 'Flight Risk', 'Dogs Days Out', 'BasicAVR', 'Quadrillion Matrices', 'Hook The World', 'Seek Quence', 'Mic Mimic', 'La Casa de Papel', 'Gate Keeping', 'Ancient Ahh Display', 'BackTrack', ""Tammy's Tantrums"", 'import rAnDoM', 'Chaterine', 'Cybernotes', 'Mumbo Dumbo', 'R Stands Alone', 'RSAabc', 'Mixed Signal', 'Print The Gifts', 'U ARe T Detective', 'Warmup'], 'challenge_category': ['Forensics', 'Forensics', 'Cryptography', 'Web Exploitation', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Hardware', 'Cryptography', 'Binary Exploitation', 'Hardware', 'Hardware', 'Cryptography', 'Reverse Engineering', 'Hardware', 'Miscellaneous', 'Web Exploitation', 'Cryptography', 'Binary Exploitation', 'Web Exploitation', 'Artificial Intelligence', 'Cryptography', 'Cryptography', 'Binary Exploitation', 'Binary Exploitation', 'Hardware', 'Miscellaneous'], 'challenge_points': ['231', '421', '431', '322', '276', '100', '357', '431', '334', '264', '421', '473', '50', '411', '141', '50', '121', '105', '200', '50', '50', '77', '50', '164', '53', '50', '10'], 'solve_time': ['2024-12-15T11:55:34.942644Z', '2024-12-15T11:26:46.941601Z', '2024-12-15T07:14:01.222715Z', '2024-12-15T06:54:55.537777Z', '2024-12-15T06:36:01.617761Z', '2024-12-15T06:23:36.474001Z', '2024-12-15T05:33:26.037192Z', '2024-12-15T04:56:00.703747Z', '2024-12-15T03:31:32.863474Z', '2024-12-15T02:45:19.767437Z', '2024-12-14T08:39:07.107363Z', '2024-12-14T08:17:52.240120Z', '2024-12-14T07:43:45.946246Z', '2024-12-14T07:33:01.138402Z', '2024-12-14T06:32:31.494413Z', '2024-12-13T19:45:54.085782Z', '2024-12-13T17:00:56.725779Z', '2024-12-13T16:52:30.526630Z', '2024-12-13T15:25:36.027704Z', '2024-12-13T15:20:48.114389Z', '2024-12-13T15:06:09.280641Z', '2024-12-13T15:02:32.856332Z', '2024-12-13T14:35:28.134836Z', '2024-12-13T14:11:47.948521Z', '2024-12-13T13:50:38.612233Z', '2024-12-13T13:30:21.978109Z', '2024-12-13T13:05:25.993437Z']}"
4580,PlayingG0d,"{'challenge_name': ['und3rC0VEr', 'BasicAVR', 'Beyond A Display', 'BuckSpeak', 'MacroExe', 'Ancient Ahh Display', 'Layered Secrets', 'Glitch, Please!', 'freakada 3301', 'Restricted Jumper', 'Patterned Secrets', 'tet-riffic!', 'Flight Risk', 'La Casa de Papel', 'Troubled Classifier', 'U ARe T Detective', 'RSAabc', 'R Stands Alone', 'Mumbo Dumbo', 'BackTrack', 'Warmup'], 'challenge_category': ['Miscellaneous', 'Hardware', 'Miscellaneous', 'Forensics', 'Forensics', 'Hardware', 'Cryptography', 'Artificial Intelligence', 'Miscellaneous', 'Reverse Engineering', 'Forensics', 'Forensics', 'Reverse Engineering', 'Cryptography', 'Artificial Intelligence', 'Hardware', 'Cryptography', 'Cryptography', 'Artificial Intelligence', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['264', '431', '71', '401', '421', '141', '431', '311', '95', '440', '449', '231', '100', '50', '457', '50', '50', '77', '50', '50', '10'], 'solve_time': ['2024-12-15T12:11:11.319425Z', '2024-12-15T10:35:16.753805Z', '2024-12-15T09:52:36.489264Z', '2024-12-15T09:42:38.266855Z', '2024-12-15T07:36:19.841053Z', '2024-12-15T07:19:02.231295Z', '2024-12-15T06:32:43.498365Z', '2024-12-14T20:15:03.281816Z', '2024-12-14T17:10:43.745496Z', '2024-12-14T17:06:43.243639Z', '2024-12-14T14:03:16.941612Z', '2024-12-14T11:24:21.387218Z', '2024-12-14T10:37:17.154580Z', '2024-12-14T08:04:28.917336Z', '2024-12-13T21:41:43.458780Z', '2024-12-13T19:34:42.769179Z', '2024-12-13T17:57:38.134412Z', '2024-12-13T14:52:48.515474Z', '2024-12-13T14:18:32.912426Z', '2024-12-13T14:05:09.019408Z', '2024-12-13T13:01:23.193960Z']}"
3478,MindCrafters,"{'challenge_name': ['tet-riffic!', 'BuckSpeak', 'Restricted Jumper', 'Charlie Hunt 3', 'und3rC0VEr', 'La Casa de Papel', 'Rusty Restraints', 'Dogs Days Out', 'Flight Risk', 'Print The Gifts', 'R Stands Alone', 'import rAnDoM', 'U ARe T Detective', ""Tammy's Tantrums"", 'Mumbo Dumbo', 'Charlie Hunt 1', 'RSAabc', 'Cybernotes', 'BackTrack', 'Warmup'], 'challenge_category': ['Forensics', 'Forensics', 'Reverse Engineering', 'Web Exploitation', 'Miscellaneous', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Binary Exploitation', 'Cryptography', 'Cryptography', 'Hardware', 'Web Exploitation', 'Artificial Intelligence', 'Web Exploitation', 'Cryptography', 'Web Exploitation', 'Miscellaneous', 'Miscellaneous'], 'challenge_points': ['231', '401', '440', '322', '264', '50', '421', '357', '100', '53', '77', '105', '50', '121', '50', '276', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T10:07:20.166125Z', '2024-12-15T09:05:42.892524Z', '2024-12-14T23:20:58.025310Z', '2024-12-14T20:47:08.347413Z', '2024-12-14T20:21:39.780766Z', '2024-12-14T17:04:47.700134Z', '2024-12-14T16:44:23.660374Z', '2024-12-14T07:10:56.730922Z', '2024-12-14T03:42:27.184101Z', '2024-12-14T02:35:40.676178Z', '2024-12-14T01:44:08.430977Z', '2024-12-13T22:02:55.322235Z', '2024-12-13T20:21:33.211971Z', '2024-12-13T18:10:05.171994Z', '2024-12-13T18:02:06.831956Z', '2024-12-13T17:40:57.052003Z', '2024-12-13T15:50:39.074164Z', '2024-12-13T15:28:14.963822Z', '2024-12-13T14:33:02.718139Z', '2024-12-13T13:00:36.282614Z']}"
3429,15h,"{'challenge_name': ['Quadrillion Matrices', 'MacroExe', 'BackTrack', 'Rusty Restraints', 'und3rC0VEr', 'Mumbo Dumbo', 'RSAabc', 'BasicAVR', 'La Casa de Papel', 'Glitch, Please!', 'Ancient Ahh Display', 'tet-riffic!', 'Flight Risk', 'Print The Gifts', 'U ARe T Detective', 'Dogs Days Out', 'import rAnDoM', 'Warmup'], 'challenge_category': ['Cryptography', 'Forensics', 'Miscellaneous', 'Reverse Engineering', 'Miscellaneous', 'Artificial Intelligence', 'Cryptography', 'Hardware', 'Cryptography', 'Artificial Intelligence', 'Hardware', 'Forensics', 'Reverse Engineering', 'Binary Exploitation', 'Hardware', 'Reverse Engineering', 'Cryptography', 'Miscellaneous'], 'challenge_points': ['334', '421', '50', '421', '264', '50', '50', '431', '50', '311', '141', '231', '100', '53', '50', '357', '105', '10'], 'solve_time': ['2024-12-15T11:22:31.591426Z', '2024-12-15T08:19:29.792430Z', '2024-12-14T17:44:32.700375Z', '2024-12-14T17:19:47.730157Z', '2024-12-14T13:34:14.026763Z', '2024-12-14T12:35:26.179786Z', '2024-12-14T11:56:47.593926Z', '2024-12-14T11:54:03.060287Z', '2024-12-14T11:07:52.854126Z', '2024-12-14T10:42:17.176621Z', '2024-12-14T08:15:52.503012Z', '2024-12-14T07:25:23.659016Z', '2024-12-14T06:28:16.010080Z', '2024-12-14T04:09:37.479255Z', '2024-12-13T18:05:37.967691Z', '2024-12-13T15:48:47.758684Z', '2024-12-13T15:29:20.870684Z', '2024-12-13T13:00:50.431392Z']}"
