points,name,challenge
1308,blin00,"[{'name': 'pytecode', 'solves': 13, 'category': 'Rev'}, {'name': 'I2C Device', 'solves': 3, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 10, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}]"
915,harrier,"[{'name': 'I2C Device', 'solves': 3, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}]"
880,wane,"[{'name': 'pytecode', 'solves': 13, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 10, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}]"
574,sugi,"[{'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}, {'name': 'I2C Device', 'solves': 3, 'category': 'Rev'}]"
539,5unkn0wn,"[{'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 10, 'category': 'Rev'}]"
539,mikanami,"[{'name': 'Everything Silver', 'solves': 10, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}, {'name': 'imgchk', 'solves': 5, 'category': 'Rev'}, {'name': 'Cake Puzzle', 'solves': 15, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 32, 'category': 'Rev'}]"
487,maple3142,"[{'name': 'pytecode', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}]"
487,toomer,"[{'name': 'Everything Silver', 'solves': 10, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}, {'name': 'kiwi', 'solves': 6, 'category': 'Rev'}, {'name': 'Gaming VM', 'solves': 3, 'category': 'Rev'}, {'name': 'fvm', 'solves': 4, 'category': 'Rev'}, {'name': 'topology', 'solves': 1, 'category': 'Rev'}, {'name': 'imgchk', 'solves': 5, 'category': 'Rev'}, {'name': 'nande', 'solves': 10, 'category': 'Rev'}, {'name': 'mimikyu', 'solves': 8, 'category': 'Rev'}, {'name': 'luau', 'solves': 18, 'category': 'Rev'}, {'name': 'Cake Puzzle', 'solves': 15, 'category': 'Rev'}, {'name': 'decompile me', 'solves': 21, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 32, 'category': 'Rev'}]"
341,xyz,"[{'name': 'pytecode', 'solves': 13, 'category': 'Rev'}]"
146,st98,"[{'name': 'Simple Flag Checker', 'solves': 60, 'category': 'Rev'}]"
