points,name,challenge
8771,Lil L3ak,"{'challenge_name': ['Reinventing the Wheel', 'Brainstorming', 'Who is the radio star?', 'Time', 'AC/DC', 'String Symphony', 'Nondeterminism', 'Determinism', 'PotterMania pt.2', 'Cryptolinguistics', 'ez printf', 'Deleted Evidence', 'ez rev', 'Babies first ez Python4', 'tanpin', 'Security Questions 3', 'Security Questions 2', 'Venona', 'Security Questions 1', 'pottermania_part1', 'Scrambled Packets', 'Hidden beneath the wavs', 'key-reuse', 'Too Early 4 Me', 'who-made-this-anyway', 'Favorite Flower', 'Freaky Flower', 'xorer', 'My Awesome Python Homework Assignment', 'Deprecated Site', 'Welcome'], 'challenge_category': ['OSINT', 'Crypto', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'misc', 'misc', 'web', 'OSINT', 'pwn', 'Forensics', 'rev', 'rev', 'OSINT', 'OSINT', 'OSINT', 'Crypto', 'OSINT', 'OSINT', 'Forensics', 'Forensics', 'Crypto', 'rev', 'Crypto', 'Forensics', 'Forensics', 'rev', 'misc', 'web'], 'challenge_points': ['496', '468', '150', '150', '476', '488', '476', '476', '444', '452', '220', '448', '368', '448', '412', '292', '288', '324', '124', '276', '264', '296', '100', '100', '100', '100', '100', '100', '224', '100', '11'], 'solve_time': ['2025-04-13T18:53:06.320500Z', '2025-04-13T17:13:52.120899Z', '2025-04-13T16:06:29.683456Z', '2025-04-13T15:49:21.521618Z', '2025-04-13T03:20:55.668074Z', '2025-04-13T02:18:01.656256Z', '2025-04-12T22:18:43.335925Z', '2025-04-12T21:34:30.050192Z', '2025-04-12T18:06:03.104112Z', '2025-04-12T15:59:30.005170Z', '2025-04-12T08:30:27.498974Z', '2025-04-12T04:11:00.811928Z', '2025-04-12T01:57:16.369329Z', '2025-04-12T01:45:32.657734Z', '2025-04-12T01:29:59.380225Z', '2025-04-12T00:06:19.226912Z', '2025-04-12T00:04:52.845426Z', '2025-04-11T23:58:38.833008Z', '2025-04-11T23:30:14.843089Z', '2025-04-11T22:45:23.403027Z', '2025-04-11T22:28:37.923188Z', '2025-04-11T21:37:07.152207Z', '2025-04-11T21:28:07.678873Z', '2025-04-11T20:50:35.129629Z', '2025-04-11T20:48:01.101516Z', '2025-04-11T20:44:34.929130Z', '2025-04-11T20:23:17.487253Z', '2025-04-11T20:22:00.131328Z', '2025-04-11T20:15:29.073279Z', '2025-04-11T19:03:34.242032Z', '2025-04-11T19:00:59.513296Z']}"
8267,Cryptonite,"{'challenge_name': ['Nondeterminism', 'AC/DC', 'Brainstorming', 'String Symphony', 'Time', 'Who is the radio star?', 'Cryptolinguistics', 'Deleted Evidence', 'ez ROP', 'My Awesome Python Homework Assignment', 'PotterMania pt.2', 'nsa fr fr 😤', 'tanpin', 'pottermania_part1', 'Scrambled Packets', 'Venona', 'ez rev', 'Security Questions 3', 'Security Questions 2', 'ez printf', 'Hidden beneath the wavs', 'key-reuse', 'who-made-this-anyway', 'Security Questions 1', 'Freaky Flower', 'Favorite Flower', 'Too Early 4 Me', 'Deprecated Site', 'xorer', 'Welcome'], 'challenge_category': ['misc', 'OSINT', 'Crypto', 'Forensics', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'pwn', 'misc', 'web', 'Forensics', 'OSINT', 'OSINT', 'Forensics', 'Crypto', 'rev', 'OSINT', 'OSINT', 'pwn', 'Forensics', 'Crypto', 'Crypto', 'OSINT', 'Forensics', 'Forensics', 'rev', 'web', 'rev'], 'challenge_points': ['476', '476', '468', '488', '150', '150', '452', '448', '420', '224', '444', '496', '412', '276', '264', '324', '368', '292', '288', '220', '296', '100', '100', '124', '100', '100', '100', '100', '100', '11'], 'solve_time': ['2025-04-13T18:51:49.065277Z', '2025-04-13T18:34:46.287073Z', '2025-04-13T17:28:58.920673Z', '2025-04-13T17:11:21.122319Z', '2025-04-13T16:34:37.403728Z', '2025-04-13T16:24:33.010956Z', '2025-04-13T14:41:03.944229Z', '2025-04-13T10:16:43.850426Z', '2025-04-13T10:15:42.883762Z', '2025-04-13T07:24:34.945554Z', '2025-04-13T07:03:16.178991Z', '2025-04-13T05:54:00.900234Z', '2025-04-12T21:42:03.221009Z', '2025-04-12T13:28:28.026453Z', '2025-04-12T13:21:17.014792Z', '2025-04-12T12:03:06.976029Z', '2025-04-12T04:22:59.510649Z', '2025-04-11T22:34:26.931259Z', '2025-04-11T22:32:28.175922Z', '2025-04-11T20:33:46.570810Z', '2025-04-11T20:28:42.315899Z', '2025-04-11T20:25:42.919248Z', '2025-04-11T20:12:22.430338Z', '2025-04-11T20:03:51.165124Z', '2025-04-11T20:02:37.324981Z', '2025-04-11T20:01:03.789859Z', '2025-04-11T19:42:42.123654Z', '2025-04-11T19:28:00.831945Z', '2025-04-11T19:23:42.690521Z', '2025-04-11T19:01:46.017931Z']}"
7835,Bing Chilling Academies,"{'challenge_name': ['Deleted Evidence', 'ez rev', 'Time', 'Who is the radio star?', 'PotterMania pt.2', 'Venona', 'Brainstorming', 'AC/DC', 'Reinventing the Wheel', 'My Awesome Python Homework Assignment', 'Scrambled Packets', 'ez printf', 'key-reuse', 'Cryptolinguistics', 'tanpin', 'pottermania_part1', 'Determinism', 'Nondeterminism', 'Security Questions 3', 'Security Questions 2', 'Freaky Flower', 'Favorite Flower', 'Too Early 4 Me', 'Deprecated Site', 'xorer', 'Hidden beneath the wavs', 'Security Questions 1', 'who-made-this-anyway', 'Welcome'], 'challenge_category': ['Forensics', 'rev', 'OSINT', 'OSINT', 'web', 'Crypto', 'Crypto', 'OSINT', 'OSINT', 'misc', 'Forensics', 'pwn', 'Crypto', 'OSINT', 'OSINT', 'OSINT', 'misc', 'misc', 'OSINT', 'OSINT', 'Forensics', 'Forensics', 'rev', 'web', 'rev', 'Forensics', 'OSINT', 'Crypto'], 'challenge_points': ['448', '368', '150', '150', '444', '324', '468', '476', '496', '224', '264', '220', '100', '452', '412', '276', '476', '476', '292', '288', '100', '100', '100', '100', '100', '296', '124', '100', '11'], 'solve_time': ['2025-04-13T18:37:52.004335Z', '2025-04-13T18:18:16.501616Z', '2025-04-13T16:38:29.474199Z', '2025-04-13T16:28:10.678750Z', '2025-04-13T15:46:25.143348Z', '2025-04-13T14:16:37.367180Z', '2025-04-13T11:57:03.190135Z', '2025-04-13T01:31:38.358852Z', '2025-04-12T21:56:28.976045Z', '2025-04-12T21:53:11.340898Z', '2025-04-12T20:32:40.727095Z', '2025-04-12T20:10:45.164593Z', '2025-04-12T17:00:12.036762Z', '2025-04-12T15:45:48.504710Z', '2025-04-12T02:22:13.637147Z', '2025-04-11T23:56:54.683639Z', '2025-04-11T23:35:01.660055Z', '2025-04-11T22:38:45.448715Z', '2025-04-11T20:30:36.894084Z', '2025-04-11T20:29:49.008852Z', '2025-04-11T20:27:15.822271Z', '2025-04-11T20:24:02.819485Z', '2025-04-11T20:18:20.060612Z', '2025-04-11T20:15:01.634278Z', '2025-04-11T20:12:01.937647Z', '2025-04-11T19:43:00.743557Z', '2025-04-11T19:34:07.853658Z', '2025-04-11T19:11:44.061826Z', '2025-04-11T19:05:14.752587Z']}"
7759,NYUSEC,"{'challenge_name': ['Who is the radio star?', 'Time', 'Brainstorming', 'Cryptolinguistics', 'AC/DC', 'PotterMania pt.2', 'Determinism', 'ez ROP', 'tanpin', 'Nondeterminism', 'Scrambled Packets', 'Babies first ez Python4', 'Venona', 'Hidden beneath the wavs', 'My Awesome Python Homework Assignment', 'pottermania_part1', 'Favorite Flower', 'ez rev', 'Freaky Flower', 'Security Questions 3', 'Security Questions 2', 'who-made-this-anyway', 'Security Questions 1', 'Too Early 4 Me', 'xorer', 'Deprecated Site', 'key-reuse', 'ez printf', 'Welcome'], 'challenge_category': ['OSINT', 'OSINT', 'Crypto', 'OSINT', 'OSINT', 'web', 'misc', 'pwn', 'OSINT', 'misc', 'Forensics', 'rev', 'Crypto', 'Forensics', 'misc', 'OSINT', 'Forensics', 'rev', 'Forensics', 'OSINT', 'OSINT', 'Crypto', 'OSINT', 'rev', 'rev', 'web', 'Crypto', 'pwn'], 'challenge_points': ['150', '150', '468', '452', '476', '444', '476', '420', '412', '476', '264', '448', '324', '296', '224', '276', '100', '368', '100', '292', '288', '100', '124', '100', '100', '100', '100', '220', '11'], 'solve_time': ['2025-04-13T15:58:52.828724Z', '2025-04-13T15:54:50.109542Z', '2025-04-13T14:36:56.499718Z', '2025-04-13T12:40:07.545703Z', '2025-04-13T05:02:54.482321Z', '2025-04-13T03:51:02.118019Z', '2025-04-13T03:14:40.661488Z', '2025-04-12T22:30:35.662540Z', '2025-04-12T16:22:48.824256Z', '2025-04-12T15:31:12.863258Z', '2025-04-12T07:54:15.526328Z', '2025-04-12T07:19:01.520965Z', '2025-04-12T04:38:06.479453Z', '2025-04-12T04:08:59.142645Z', '2025-04-12T03:36:33.098849Z', '2025-04-11T23:07:58.427606Z', '2025-04-11T21:44:14.884463Z', '2025-04-11T21:40:48.193078Z', '2025-04-11T21:29:30.195334Z', '2025-04-11T21:28:26.244805Z', '2025-04-11T21:26:18.472632Z', '2025-04-11T21:24:07.768447Z', '2025-04-11T21:18:59.117975Z', '2025-04-11T21:12:16.315936Z', '2025-04-11T21:04:11.070940Z', '2025-04-11T20:44:43.958461Z', '2025-04-11T20:21:58.159596Z', '2025-04-11T20:06:05.316960Z', '2025-04-11T19:17:37.147925Z']}"
5743,st0p_cyb3rbu11ying,"{'challenge_name': ['String Symphony', 'ez rev', 'AC/DC', 'Cryptolinguistics', 'Who is the radio star?', 'Time', 'Venona', 'My Awesome Python Homework Assignment', 'Deleted Evidence', 'tanpin', 'Scrambled Packets', 'key-reuse', 'pottermania_part1', 'Hidden beneath the wavs', 'Security Questions 3', 'Security Questions 2', 'Security Questions 1', 'Too Early 4 Me', 'Freaky Flower', 'Favorite Flower', 'xorer', 'who-made-this-anyway', 'Deprecated Site', 'Welcome'], 'challenge_category': ['Forensics', 'rev', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Crypto', 'misc', 'Forensics', 'OSINT', 'Forensics', 'Crypto', 'OSINT', 'Forensics', 'OSINT', 'OSINT', 'OSINT', 'rev', 'Forensics', 'Forensics', 'rev', 'Crypto', 'web'], 'challenge_points': ['488', '368', '476', '452', '150', '150', '324', '224', '448', '412', '264', '100', '276', '296', '292', '288', '124', '100', '100', '100', '100', '100', '100', '11'], 'solve_time': ['2025-04-13T18:06:31.861647Z', '2025-04-13T17:00:01.473908Z', '2025-04-13T16:51:07.488749Z', '2025-04-13T16:28:53.318265Z', '2025-04-13T16:11:16.431112Z', '2025-04-13T16:06:07.910991Z', '2025-04-13T14:27:04.575656Z', '2025-04-12T23:26:29.760011Z', '2025-04-12T22:05:45.677491Z', '2025-04-12T21:12:33.960656Z', '2025-04-12T14:21:08.681825Z', '2025-04-12T14:15:24.905897Z', '2025-04-12T13:51:43.599277Z', '2025-04-12T13:29:34.123943Z', '2025-04-11T21:50:32.633952Z', '2025-04-11T21:48:23.281965Z', '2025-04-11T20:11:52.595086Z', '2025-04-11T19:48:56.945004Z', '2025-04-11T19:46:13.143365Z', '2025-04-11T19:43:29.062766Z', '2025-04-11T19:37:53.946727Z', '2025-04-11T19:26:30.433034Z', '2025-04-11T19:21:39.865116Z', '2025-04-11T19:05:21.793943Z']}"
5463,World Wide Flags,"{'challenge_name': ['Cryptolinguistics', 'Time', 'Who is the radio star?', 'Brainstorming', 'tanpin', 'PotterMania pt.2', 'pottermania_part1', 'Venona', 'Security Questions 3', 'Security Questions 2', 'ez rev', 'Scrambled Packets', 'ez printf', 'Freaky Flower', 'Favorite Flower', 'Hidden beneath the wavs', 'My Awesome Python Homework Assignment', 'Security Questions 1', 'key-reuse', 'Too Early 4 Me', 'who-made-this-anyway', 'xorer', 'Deprecated Site', 'Welcome'], 'challenge_category': ['OSINT', 'OSINT', 'OSINT', 'Crypto', 'OSINT', 'web', 'OSINT', 'Crypto', 'OSINT', 'OSINT', 'rev', 'Forensics', 'pwn', 'Forensics', 'Forensics', 'Forensics', 'misc', 'OSINT', 'Crypto', 'rev', 'Crypto', 'rev', 'web'], 'challenge_points': ['452', '150', '150', '468', '412', '444', '276', '324', '292', '288', '368', '264', '220', '100', '100', '296', '224', '124', '100', '100', '100', '100', '100', '11'], 'solve_time': ['2025-04-13T18:24:45.575048Z', '2025-04-13T16:58:02.647698Z', '2025-04-13T16:49:23.751865Z', '2025-04-13T16:33:34.230783Z', '2025-04-12T18:18:17.024952Z', '2025-04-12T17:27:44.567575Z', '2025-04-12T12:11:08.056929Z', '2025-04-12T06:10:07.477239Z', '2025-04-12T02:59:31.205059Z', '2025-04-12T02:59:08.284327Z', '2025-04-11T22:16:35.537797Z', '2025-04-11T21:38:20.435972Z', '2025-04-11T21:02:21.339647Z', '2025-04-11T20:02:49.417666Z', '2025-04-11T19:58:59.483655Z', '2025-04-11T19:52:27.963170Z', '2025-04-11T19:38:17.222094Z', '2025-04-11T19:26:58.568916Z', '2025-04-11T19:22:53.985372Z', '2025-04-11T19:15:00.945235Z', '2025-04-11T19:12:20.113608Z', '2025-04-11T19:10:37.981081Z', '2025-04-11T19:06:01.823618Z', '2025-04-11T19:03:49.837568Z']}"
5313,H7Tex,"{'challenge_name': ['Who is the radio star?', 'Brainstorming', 'Cryptolinguistics', 'ez rev', 'PotterMania pt.2', 'My Awesome Python Homework Assignment', 'tanpin', 'Security Questions 3', 'Security Questions 2', 'ez printf', 'pottermania_part1', 'Hidden beneath the wavs', 'Venona', 'Scrambled Packets', 'Favorite Flower', 'Security Questions 1', 'Too Early 4 Me', 'Freaky Flower', 'xorer', 'Deprecated Site', 'key-reuse', 'who-made-this-anyway', 'Welcome'], 'challenge_category': ['OSINT', 'Crypto', 'OSINT', 'rev', 'web', 'misc', 'OSINT', 'OSINT', 'OSINT', 'pwn', 'OSINT', 'Forensics', 'Crypto', 'Forensics', 'Forensics', 'OSINT', 'rev', 'Forensics', 'rev', 'web', 'Crypto', 'Crypto'], 'challenge_points': ['150', '468', '452', '368', '444', '224', '412', '292', '288', '220', '276', '296', '324', '264', '100', '124', '100', '100', '100', '100', '100', '100', '11'], 'solve_time': ['2025-04-13T16:08:38.152656Z', '2025-04-13T15:39:37.559360Z', '2025-04-13T11:19:07.247015Z', '2025-04-13T09:01:18.870982Z', '2025-04-13T07:15:28.569604Z', '2025-04-13T06:42:34.450115Z', '2025-04-13T03:49:15.226217Z', '2025-04-12T21:58:05.621619Z', '2025-04-12T21:43:49.860185Z', '2025-04-12T20:28:12.322365Z', '2025-04-12T20:13:50.554897Z', '2025-04-12T19:42:23.056894Z', '2025-04-12T13:25:26.532337Z', '2025-04-12T13:13:06.350328Z', '2025-04-12T13:10:37.486406Z', '2025-04-12T13:09:39.794237Z', '2025-04-12T08:27:22.098153Z', '2025-04-12T07:37:55.025264Z', '2025-04-12T06:18:55.609195Z', '2025-04-12T05:46:38.170309Z', '2025-04-12T04:54:28.145855Z', '2025-04-12T04:25:27.341174Z', '2025-04-12T04:16:54.490650Z']}"
4977,NOVA,"{'challenge_name': ['tanpin', 'Time', 'PotterMania pt.2', 'Nondeterminism', 'Security Questions 3', 'Determinism', 'Security Questions 2', 'pottermania_part1', 'Security Questions 1', 'Hidden beneath the wavs', 'ez printf', 'Scrambled Packets', 'Favorite Flower', 'Venona', 'key-reuse', 'Too Early 4 Me', 'xorer', 'who-made-this-anyway', 'My Awesome Python Homework Assignment', 'Freaky Flower', 'Deprecated Site', 'Welcome'], 'challenge_category': ['OSINT', 'OSINT', 'web', 'misc', 'OSINT', 'misc', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'pwn', 'Forensics', 'Forensics', 'Crypto', 'Crypto', 'rev', 'rev', 'Crypto', 'misc', 'Forensics', 'web'], 'challenge_points': ['412', '150', '444', '476', '292', '476', '288', '276', '124', '296', '220', '264', '100', '324', '100', '100', '100', '100', '224', '100', '100', '11'], 'solve_time': ['2025-04-13T18:58:45.936797Z', '2025-04-13T18:49:02.197014Z', '2025-04-13T18:39:50.107088Z', '2025-04-13T16:18:06.352316Z', '2025-04-13T16:10:46.256345Z', '2025-04-13T16:01:26.176345Z', '2025-04-13T15:56:16.507729Z', '2025-04-13T15:27:35.138258Z', '2025-04-12T19:29:18.514079Z', '2025-04-12T14:46:56.615479Z', '2025-04-12T14:23:12.909281Z', '2025-04-12T13:48:05.592962Z', '2025-04-12T12:57:24.768635Z', '2025-04-12T12:50:39.559571Z', '2025-04-12T12:32:16.942264Z', '2025-04-12T12:06:34.481077Z', '2025-04-12T11:59:42.241020Z', '2025-04-12T11:23:07.839851Z', '2025-04-12T11:08:06.732763Z', '2025-04-12T10:12:15.392836Z', '2025-04-12T10:09:14.803104Z', '2025-04-12T09:44:34.811527Z']}"
4619,Kheshig,"{'challenge_name': ['ez ROP', 'Time', 'Who is the radio star?', 'Brainstorming', 'key-reuse', 'My Awesome Python Homework Assignment', 'pottermania_part1', 'tanpin', 'Security Questions 3', 'Security Questions 2', 'Hidden beneath the wavs', 'Security Questions 1', 'Too Early 4 Me', 'Deprecated Site', 'Freaky Flower', 'Scrambled Packets', 'Venona', 'Favorite Flower', 'xorer', 'ez printf', 'who-made-this-anyway', 'Welcome'], 'challenge_category': ['pwn', 'OSINT', 'OSINT', 'Crypto', 'Crypto', 'misc', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'OSINT', 'rev', 'web', 'Forensics', 'Forensics', 'Crypto', 'Forensics', 'rev', 'pwn', 'Crypto'], 'challenge_points': ['420', '150', '150', '468', '100', '224', '276', '412', '292', '288', '296', '124', '100', '100', '100', '264', '324', '100', '100', '220', '100', '11'], 'solve_time': ['2025-04-13T18:49:33.111017Z', '2025-04-13T16:23:00.752207Z', '2025-04-13T16:17:26.759993Z', '2025-04-13T13:21:42.485358Z', '2025-04-13T11:10:30.243282Z', '2025-04-13T06:56:36.773746Z', '2025-04-12T17:20:28.368354Z', '2025-04-12T16:09:59.675686Z', '2025-04-12T15:52:31.246288Z', '2025-04-12T15:50:59.717567Z', '2025-04-12T13:51:22.156303Z', '2025-04-12T13:07:55.191859Z', '2025-04-12T11:20:16.300644Z', '2025-04-12T10:38:20.779337Z', '2025-04-12T09:22:40.669708Z', '2025-04-12T09:03:11.009908Z', '2025-04-12T08:25:25.104917Z', '2025-04-12T08:16:42.853107Z', '2025-04-12T08:14:32.175241Z', '2025-04-12T07:59:19.282081Z', '2025-04-12T07:57:04.906732Z', '2025-04-12T07:54:34.396834Z']}"
4583,UAC,"{'challenge_name': ['PotterMania pt.2', 'Who is the radio star?', 'Time', 'Cryptolinguistics', 'pottermania_part1', 'Scrambled Packets', 'ez rev', 'Venona', 'My Awesome Python Homework Assignment', 'ez printf', 'Security Questions 3', 'Security Questions 2', 'Security Questions 1', 'key-reuse', 'Too Early 4 Me', 'xorer', 'Hidden beneath the wavs', 'Favorite Flower', 'Freaky Flower', 'who-made-this-anyway', 'Deprecated Site', 'Welcome'], 'challenge_category': ['web', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Forensics', 'rev', 'Crypto', 'misc', 'pwn', 'OSINT', 'OSINT', 'OSINT', 'Crypto', 'rev', 'rev', 'Forensics', 'Forensics', 'Forensics', 'Crypto', 'web'], 'challenge_points': ['444', '150', '150', '452', '276', '264', '368', '324', '224', '220', '292', '288', '124', '100', '100', '100', '296', '100', '100', '100', '100', '11'], 'solve_time': ['2025-04-13T17:03:08.385538Z', '2025-04-13T16:30:00.721738Z', '2025-04-13T16:21:37.548131Z', '2025-04-13T00:15:02.097978Z', '2025-04-12T22:51:35.767037Z', '2025-04-12T18:37:44.345785Z', '2025-04-12T16:58:14.741223Z', '2025-04-12T13:41:58.479967Z', '2025-04-12T10:13:58.278836Z', '2025-04-12T01:51:24.733637Z', '2025-04-12T01:09:28.386088Z', '2025-04-12T01:07:11.628666Z', '2025-04-11T23:40:41.127971Z', '2025-04-11T22:55:22.837470Z', '2025-04-11T22:47:54.292181Z', '2025-04-11T22:40:18.142103Z', '2025-04-11T22:18:15.751828Z', '2025-04-11T20:43:07.786991Z', '2025-04-11T20:33:56.855051Z', '2025-04-11T19:56:03.719498Z', '2025-04-11T19:05:30.191617Z', '2025-04-11T19:01:01.649432Z']}"
