Position,points,name,challenge
1,9894,ttc enjoyers,"{'challenge_name': ['zzzzzz', 'White', 'fastcall', 'drec', 'Toadytop', 'T.E.G. 2: Waiting for a player', 'Binary Secrets Unlocked', 'Dude, where is my horse?', 'Not Confusion', 'XOR 4: Xormaster', 'Hamparte Artist', 'Poke 3: What the hell?', 'RSA Keys', 'Git 3: Forks', 'XOR 3: Bugbounty description', 'XOR 2: FibMODnacci', 'Flag shop', 'This will make you ANGRy', 'Poke 1: No again please', 'Baguette Cipher', 'The biggest', 'Warmup', 'Poke 2: Can you defeat Gary?', 'Git 2: Actions', 'TokyoBento', 'Open Googler', 'Siem logger', 'Baby rev', 'Discord 2', 'PGN Encryption', 'Trust in my calculator', 'Read the rules', 'Discord 1', 'Debu... what?', 'T.E.G. 1: Hide and Seek', 'Onion login', 'Packet Pursuit: The Forensic Odyssey', 'Echoes of Wisdom', 'Poke 0: Just Want a Totodile', 'HTTP specialist', 'Git 1: Baby', 'Designer'], 'challenge_category': ['Misc', 'Pwn', 'Beginner', 'Crypto', 'Crypto', 'Forensics', 'Misc', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Pwn', 'Beginner', 'Beginner', 'Crypto', 'Crypto', 'Pwn', 'Reversing', 'Misc', 'Web', 'Web', 'Web', 'Reversing', 'Misc', 'Misc', 'Misc', 'Misc', 'Misc', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner'], 'challenge_points': ['490', '500', '454', '500', '500', '464', '392', '460', '496', '423', '100', '500', '232', '257', '100', '375', '100', '257', '375', '499', '460', '205', '100', '162', '293', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T08:46:08.853460Z', '2024-11-09T02:20:16.932769Z', '2024-11-09T02:08:06.395842Z', '2024-11-08T22:48:25.111076Z', '2024-11-08T19:18:23.837154Z', '2024-11-08T18:17:49.135968Z', '2024-11-08T16:36:55.849054Z', '2024-11-08T16:26:02.681983Z', '2024-11-08T15:49:55.232738Z', '2024-11-08T15:43:22.890532Z', '2024-11-08T15:32:33.548347Z', '2024-11-08T15:22:28.141111Z', '2024-11-08T15:10:54.512460Z', '2024-11-08T14:57:42.339980Z', '2024-11-08T14:51:40.373637Z', '2024-11-08T14:47:11.364321Z', '2024-11-08T14:31:15.784866Z', '2024-11-08T14:27:14.584302Z', '2024-11-08T14:19:07.497467Z', '2024-11-08T13:39:52.494716Z', '2024-11-08T13:28:48.925683Z', '2024-11-08T13:21:20.607138Z', '2024-11-08T13:09:44.166993Z', '2024-11-08T13:04:56.715452Z', '2024-11-08T12:54:02.322839Z', '2024-11-08T12:39:02.697728Z', '2024-11-08T12:37:08.441513Z', '2024-11-08T12:33:10.555369Z', '2024-11-08T12:26:26.722297Z', '2024-11-08T12:21:56.150121Z', '2024-11-08T12:19:46.740347Z', '2024-11-08T12:16:52.082394Z', '2024-11-08T12:13:37.696385Z', '2024-11-08T12:11:02.729296Z', '2024-11-08T12:07:16.746077Z', '2024-11-08T12:05:47.680685Z', '2024-11-08T12:05:11.921656Z']}"
2,8391,UAC,"{'challenge_name': ['thefireskull', 'NeWbie', 'Seadyot', 'randN', 'jn007', 'iHeyHey', 'rackham', 'Git 3: Forks', 'Hamparte Artist', 'Dude, where is my horse?', 'T.E.G. 2: Waiting for a player', 'PGN Encryption', 'August memories', 'Git 2: Actions', 'Open Googler', 'Poke 3: What the hell?', 'Poke 1: No again please', 'Discord 2', 'Siem logger', 'Flag shop', 'Debu... what?', 'This will make you ANGRy', 'T.E.G. 1: Hide and Seek', 'Trust in my calculator', 'Onion login', 'Packet Pursuit: The Forensic Odyssey', 'Echoes of Wisdom', 'HTTP specialist', 'Poke 0: Just Want a Totodile', 'Warmup', 'XOR 2: FibMODnacci', 'The biggest', 'Poke 2: Can you defeat Gary?', 'XOR 3: Bugbounty description', 'Designer', 'Baguette Cipher', 'RSA Keys', 'Git 1: Baby', 'Read the rules', 'Baby rev', 'Discord 1'], 'challenge_category': ['Misc', 'Forensics', 'Beginner', 'Misc', 'Misc', 'Forensics', 'Misc', 'Web', 'Misc', 'Beginner', 'Misc', 'Web', 'Pwn', 'Beginner', 'Beginner', 'Beginner', 'Misc', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Pwn', 'Crypto', 'Crypto', 'Reversing', 'Crypto', 'Beginner', 'Crypto', 'Crypto', 'Beginner', 'Misc', 'Reversing', 'Misc'], 'challenge_points': ['496', '464', '454', '490', '293', '496', '375', '460', '392', '257', '162', '205', '500', '100', '232', '100', '100', '100', '100', '100', '100', '100', '100', '100', '375', '257', '423', '100', '100', '460', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T08:09:11.464725Z', '2024-11-09T02:47:25.085028Z', '2024-11-09T01:07:01.434797Z', '2024-11-08T21:30:41.840304Z', '2024-11-08T20:11:11.438235Z', '2024-11-08T17:20:23.906154Z', '2024-11-08T17:10:30.447307Z', '2024-11-08T16:51:01.145632Z', '2024-11-08T15:47:47.483334Z', '2024-11-08T15:28:04.302103Z', '2024-11-08T14:52:50.158998Z', '2024-11-08T14:46:54.488386Z', '2024-11-08T14:13:43.405604Z', '2024-11-08T13:42:29.084884Z', '2024-11-08T13:12:39.704825Z', '2024-11-08T12:47:09.557191Z', '2024-11-08T12:47:05.789494Z', '2024-11-08T12:22:55.595019Z', '2024-11-08T12:18:18.078244Z', '2024-11-08T12:09:09.352772Z', '2024-11-08T12:06:31.925664Z', '2024-11-08T12:03:24.849387Z', '2024-11-08T12:00:30.952689Z', '2024-11-08T12:00:12.056177Z', '2024-11-08T11:46:43.915206Z', '2024-11-08T11:43:44.992579Z', '2024-11-08T11:36:01.051984Z', '2024-11-08T11:30:34.681253Z', '2024-11-08T11:29:26.522142Z', '2024-11-08T11:26:18.633838Z', '2024-11-08T11:25:37.031744Z', '2024-11-08T11:12:06.848284Z', '2024-11-08T11:09:07.118601Z', '2024-11-08T11:02:38.326061Z']}"
3,7904,HCS,"{'challenge_name': ['daffainfo', 'Rev', 'hoshinorevy', 'hoshinotunas', 'my lungs hurt', 'Flan', 'winter', 'mimimimimirairairairai', 'BetterCallJ', 'Etern1ty', 'Hamparte Artist', 'XOR 3: Bugbounty description', 'Dude, where is my horse?', 'RSA Keys', 'Git 3: Forks', 'Discord 2', 'Siem logger', 'Poke 1: No again please', 'TokyoBento', 'PGN Encryption', 'Poke 0: Just Want a Totodile', 'This will make you ANGRy', 'Poke 3: What the hell?', 'Git 2: Actions', 'Open Googler', 'Debu... what?', 'Echoes of Wisdom', 'Poke 2: Can you defeat Gary?', 'Baguette Cipher', 'Baby rev', 'Flag shop', 'Read the rules', 'Trust in my calculator', 'HTTP specialist', 'Warmup', 'XOR 2: FibMODnacci', 'The biggest', 'Onion login', 'T.E.G. 1: Hide and Seek', 'Packet Pursuit: The Forensic Odyssey', 'Git 1: Baby', 'Discord 1', 'Designer'], 'challenge_category': ['Forensics', 'Crypto', 'Beginner', 'Crypto', 'Misc', 'Misc', 'Web', 'Beginner', 'Web', 'Misc', 'Beginner', 'Beginner', 'Misc', 'Misc', 'Web', 'Beginner', 'Beginner', 'Reversing', 'Crypto', 'Reversing', 'Pwn', 'Misc', 'Misc', 'Beginner', 'Pwn', 'Crypto', 'Crypto', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Misc', 'Beginner'], 'challenge_points': ['464', '423', '454', '460', '496', '162', '205', '257', '499', '293', '100', '232', '392', '375', '460', '100', '100', '257', '100', '100', '500', '100', '100', '100', '100', '100', '375', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T02:46:51.163602Z', '2024-11-09T01:56:39.464662Z', '2024-11-08T19:23:53.272655Z', '2024-11-08T18:19:04.254985Z', '2024-11-08T18:02:25.458196Z', '2024-11-08T17:55:49.836038Z', '2024-11-08T16:36:40.607110Z', '2024-11-08T16:27:56.079464Z', '2024-11-08T16:27:55.826238Z', '2024-11-08T16:27:55.452597Z', '2024-11-08T16:12:25.480133Z', '2024-11-08T16:11:15.265886Z', '2024-11-08T16:05:36.378022Z', '2024-11-08T16:02:20.099430Z', '2024-11-08T15:38:11.787809Z', '2024-11-08T15:35:29.546988Z', '2024-11-08T15:27:42.534122Z', '2024-11-08T15:21:24.967838Z', '2024-11-08T15:16:06.106283Z', '2024-11-08T15:05:56.051948Z', '2024-11-08T14:15:17.091143Z', '2024-11-08T14:03:00.074161Z', '2024-11-08T13:55:27.080638Z', '2024-11-08T13:47:18.700228Z', '2024-11-08T13:41:17.810702Z', '2024-11-08T13:25:55.291891Z', '2024-11-08T13:06:25.737500Z', '2024-11-08T12:44:14.196482Z', '2024-11-08T12:11:10.247003Z', '2024-11-08T11:56:24.066472Z', '2024-11-08T11:42:08.223203Z', '2024-11-08T11:10:09.702171Z', '2024-11-08T11:02:01.764506Z']}"
4,7447,L.A.R.P.,"{'challenge_name': ['zu3st', '24st', '3ster', 'August memories', 'RSA Keys', 'Git 2: Actions', 'The biggest', 'Git 3: Forks', 'Open Googler', 'Hamparte Artist', 'Flag shop', 'Poke 3: What the hell?', 'Trust in my calculator', 'Poke 2: Can you defeat Gary?', 'Read the rules', 'Discord 2', 'Discord 1', 'Siem logger', 'PGN Encryption', 'Warmup', 'HTTP specialist', 'This will make you ANGRy', 'Poke 1: No again please', 'Debu... what?', 'XOR 3: Bugbounty description', 'XOR 2: FibMODnacci', 'Baguette Cipher', 'Onion login', 'T.E.G. 1: Hide and Seek', 'Echoes of Wisdom', 'Packet Pursuit: The Forensic Odyssey', 'Designer', 'Git 1: Baby', 'Poke 0: Just Want a Totodile', 'Baby rev'], 'challenge_category': ['Forensics', 'Crypto', 'Misc', 'Crypto', 'Misc', 'Web', 'Forensics', 'Pwn', 'Misc', 'Misc', 'Reversing', 'Misc', 'Misc', 'Misc', 'Web', 'Misc', 'Pwn', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Crypto', 'Crypto', 'Crypto', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Reversing'], 'challenge_points': ['496', '460', '375', '375', '496', '460', '464', '500', '392', '100', '257', '100', '162', '100', '205', '293', '100', '100', '232', '257', '100', '423', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T09:34:34.255367Z', '2024-11-09T07:47:00.532637Z', '2024-11-09T07:40:57.893943Z', '2024-11-09T05:52:36.434023Z', '2024-11-09T02:17:58.308643Z', '2024-11-08T20:42:20.876561Z', '2024-11-08T20:30:39.540452Z', '2024-11-08T19:35:17.438029Z', '2024-11-08T19:23:56.123934Z', '2024-11-08T18:40:27.183806Z', '2024-11-08T18:22:44.539032Z', '2024-11-08T18:21:44.616378Z', '2024-11-08T18:13:11.153880Z', '2024-11-08T18:03:05.874151Z', '2024-11-08T17:58:32.618273Z', '2024-11-08T17:56:14.188273Z', '2024-11-08T17:32:52.726767Z', '2024-11-08T17:27:58.587221Z', '2024-11-08T16:47:38.399826Z', '2024-11-08T16:42:04.557760Z', '2024-11-08T16:32:05.831840Z', '2024-11-08T15:31:43.763042Z', '2024-11-08T15:26:19.078878Z', '2024-11-08T15:04:42.774188Z', '2024-11-08T14:33:22.236084Z', '2024-11-08T14:28:36.115049Z', '2024-11-08T14:27:11.879038Z', '2024-11-08T14:22:28.418846Z', '2024-11-08T14:17:09.496169Z', '2024-11-08T14:01:28.154819Z', '2024-11-08T14:00:05.638786Z', '2024-11-08T13:58:14.308985Z']}"
5,7435,st0p_cyb3rbu11ying,"{'challenge_name': ['CUDA', 'Rin', 'mr.padla', 'lecassette', 'XedRed', 'Lalkin', 'BlackForce', 'ksasha716', 'Git 2: Actions', 'Poke 0: Just Want a Totodile', 'Dude, where is my horse?', 'PGN Encryption', 'August memories', 'T.E.G. 2: Waiting for a player', 'Poke 3: What the hell?', 'Onion login', 'Poke 1: No again please', 'XOR 3: Bugbounty description', 'Siem logger', 'Echoes of Wisdom', 'T.E.G. 1: Hide and Seek', 'Hamparte Artist', 'Flag shop', 'Packet Pursuit: The Forensic Odyssey', 'HTTP specialist', 'RSA Keys', 'Trust in my calculator', 'This will make you ANGRy', 'Debu... what?', 'Read the rules', 'XOR 2: FibMODnacci', 'The biggest', 'Baguette Cipher', 'Warmup', 'Poke 2: Can you defeat Gary?', 'Designer', 'Baby rev', 'Git 1: Baby', 'Discord 2', 'Discord 1'], 'challenge_category': ['Misc', 'Beginner', 'Beginner', 'Misc', 'Forensics', 'Misc', 'Misc', 'Beginner', 'Beginner', 'Crypto', 'Web', 'Beginner', 'Beginner', 'Forensics', 'Pwn', 'Beginner', 'Beginner', 'Crypto', 'Misc', 'Beginner', 'Beginner', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Reversing', 'Beginner', 'Reversing', 'Beginner', 'Misc', 'Misc'], 'challenge_points': ['375', '100', '454', '293', '496', '490', '392', '100', '257', '423', '205', '100', '100', '464', '500', '100', '100', '460', '100', '232', '100', '100', '100', '375', '100', '100', '257', '100', '100', '100', '162', '100'], 'solve_time': ['2024-11-09T09:53:48.738830Z', '2024-11-09T00:06:33.661170Z', '2024-11-08T23:51:21.617790Z', '2024-11-08T23:37:32.596636Z', '2024-11-08T23:02:33.060367Z', '2024-11-08T22:24:25.026813Z', '2024-11-08T22:12:37.260513Z', '2024-11-08T21:01:58.320737Z', '2024-11-08T20:24:18.764150Z', '2024-11-08T18:44:51.140721Z', '2024-11-08T18:44:50.436110Z', '2024-11-08T18:40:27.200248Z', '2024-11-08T18:27:35.538481Z', '2024-11-08T18:05:22.242450Z', '2024-11-08T17:57:37.172291Z', '2024-11-08T17:46:12.957652Z', '2024-11-08T17:45:45.963170Z', '2024-11-08T17:15:00.534689Z', '2024-11-08T16:47:18.711672Z', '2024-11-08T16:41:31.441756Z', '2024-11-08T16:16:16.654248Z', '2024-11-08T15:07:49.025714Z', '2024-11-08T14:52:33.183305Z', '2024-11-08T14:20:39.263835Z', '2024-11-08T14:15:05.558788Z', '2024-11-08T14:11:43.661676Z', '2024-11-08T14:06:02.659606Z', '2024-11-08T13:49:48.521456Z', '2024-11-08T13:42:02.190952Z', '2024-11-08T13:34:56.163994Z', '2024-11-08T13:29:41.669249Z', '2024-11-08T13:15:18.309187Z']}"
6,6945,Uqbar - Universidad Nacional de Colombia,"{'challenge_name': ['Uqbar-UN', 'Alejosebasp', 'Alejandro Sánchez Poveda', 'KryptoCoder', 'S4Nツ', 'wax0n', 'davidch09', 'Svalencia', 'JohnF', '4LV4R0T', 'MadLies', '3ndg4m3', 'klndla', 'Raywar', 'pvelosa', 'erghjerbhgjgrej', 'Belzh3t', 'Nicolas', 'RSA Keys', 'Open Googler', 'Discord 2', 'Hamparte Artist', 'T.E.G. 2: Waiting for a player', 'XOR 3: Bugbounty description', 'Git 2: Actions', 'This will make you ANGRy', 'Poke 2: Can you defeat Gary?', 'Siem logger', 'Flag shop', 'The biggest', 'PGN Encryption', 'Trust in my calculator', 'Echoes of Wisdom', 'Poke 3: What the hell?', 'XOR 2: FibMODnacci', 'Read the rules', 'Baguette Cipher', 'Debu... what?', 'Poke 1: No again please', 'Poke 0: Just Want a Totodile', 'Packet Pursuit: The Forensic Odyssey', 'Onion login', 'Baby rev', 'Discord 1', 'Warmup', 'HTTP specialist', 'T.E.G. 1: Hide and Seek', 'Git 1: Baby', 'Designer'], 'challenge_category': ['Crypto', 'Web', 'Misc', 'Forensics', 'Misc', 'Crypto', 'Misc', 'Beginner', 'Reversing', 'Web', 'Pwn', 'Crypto', 'Misc', 'Misc', 'Beginner', 'Misc', 'Crypto', 'Misc', 'Crypto', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Reversing', 'Misc', 'Pwn', 'Beginner', 'Beginner', 'Beginner', 'Beginner'], 'challenge_points': ['460', '460', '162', '464', '490', '423', '375', '232', '257', '205', '500', '375', '293', '100', '100', '392', '100', '100', '100', '100', '257', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T06:38:46.581906Z', '2024-11-09T06:00:08.073743Z', '2024-11-09T05:37:18.692530Z', '2024-11-09T04:06:01.995811Z', '2024-11-09T03:43:53.553439Z', '2024-11-09T03:34:57.582985Z', '2024-11-09T00:45:42.946610Z', '2024-11-09T00:19:41.779198Z', '2024-11-08T23:25:05.810168Z', '2024-11-08T22:21:42.591707Z', '2024-11-08T21:59:04.108737Z', '2024-11-08T21:55:55.756925Z', '2024-11-08T21:30:22.285841Z', '2024-11-08T21:27:27.884063Z', '2024-11-08T20:59:15.001203Z', '2024-11-08T20:31:38.073989Z', '2024-11-08T20:09:44.282733Z', '2024-11-08T20:07:29.824628Z', '2024-11-08T20:03:45.199468Z', '2024-11-08T19:54:21.091566Z', '2024-11-08T18:10:23.965855Z', '2024-11-08T15:51:46.908486Z', '2024-11-08T15:42:35.969729Z', '2024-11-08T15:13:25.741687Z', '2024-11-08T14:17:34.483194Z', '2024-11-08T13:18:35.082422Z', '2024-11-08T13:02:52.745723Z', '2024-11-08T12:30:50.681631Z', '2024-11-08T12:26:49.182553Z', '2024-11-08T12:10:14.156383Z', '2024-11-08T12:06:58.607785Z']}"
7,6270,1c3Gh3tt0,"{'challenge_name': ['Juke', 'tsakman', 'DeiSpa', 'T.E.G. 2: Waiting for a player', 'Flag shop', 'PGN Encryption', 'Git 2: Actions', 'Poke 3: What the hell?', 'Dude, where is my horse?', 'XOR 3: Bugbounty description', 'RSA Keys', 'This will make you ANGRy', 'Poke 2: Can you defeat Gary?', 'Onion login', 'The biggest', 'Discord 2', 'XOR 2: FibMODnacci', 'Read the rules', 'Poke 1: No again please', 'Trust in my calculator', 'T.E.G. 1: Hide and Seek', 'Debu... what?', 'Poke 0: Just Want a Totodile', 'Packet Pursuit: The Forensic Odyssey', 'Warmup', 'Echoes of Wisdom', 'HTTP specialist', 'Baby rev', 'Baguette Cipher', 'Git 1: Baby', 'Designer', 'Discord 1'], 'challenge_category': ['Misc', 'Pwn', 'Misc', 'Misc', 'Misc', 'Beginner', 'Crypto', 'Crypto', 'Beginner', 'Reversing', 'Beginner', 'Crypto', 'Misc', 'Crypto', 'Misc', 'Beginner', 'Misc', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Pwn', 'Beginner', 'Beginner', 'Reversing', 'Crypto', 'Beginner', 'Beginner', 'Misc'], 'challenge_points': ['490', '500', '293', '375', '392', '454', '423', '460', '232', '257', '100', '375', '162', '100', '100', '257', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T04:05:07.532961Z', '2024-11-09T03:23:04.726100Z', '2024-11-09T03:04:58.347721Z', '2024-11-09T02:57:05.287513Z', '2024-11-09T00:38:56.474654Z', '2024-11-08T23:09:56.670754Z', '2024-11-08T20:49:30.409466Z', '2024-11-08T19:45:36.250757Z', '2024-11-08T19:23:39.905186Z', '2024-11-08T18:53:37.793727Z', '2024-11-08T18:13:21.668155Z', '2024-11-08T16:51:07.365019Z', '2024-11-08T16:09:48.888545Z', '2024-11-08T15:54:19.367482Z', '2024-11-08T15:40:15.700305Z', '2024-11-08T14:36:54.477909Z', '2024-11-08T14:31:21.179007Z', '2024-11-08T14:23:23.982823Z', '2024-11-08T14:08:09.531223Z', '2024-11-08T13:06:37.759122Z', '2024-11-08T12:59:07.605312Z', '2024-11-08T12:44:10.496672Z', '2024-11-08T12:39:51.642123Z', '2024-11-08T12:30:05.274766Z', '2024-11-08T12:20:37.692379Z', '2024-11-08T12:12:21.862087Z', '2024-11-08T11:23:18.357111Z', '2024-11-08T11:21:30.391219Z', '2024-11-08T11:09:35.819802Z']}"
8,5833,RumbleInTheJungle,"{'challenge_name': ['JungleDrums', 'Danzi', 'Git 2: Actions', 'XOR 3: Bugbounty description', 'The biggest', 'PGN Encryption', 'Poke 3: What the hell?', 'XOR 2: FibMODnacci', 'Poke 2: Can you defeat Gary?', 'Open Googler', 'This will make you ANGRy', 'T.E.G. 1: Hide and Seek', 'Debu... what?', 'Flag shop', 'Trust in my calculator', 'Baguette Cipher', 'Siem logger', 'Poke 0: Just Want a Totodile', 'Hamparte Artist', 'Read the rules', 'Poke 1: No again please', 'Packet Pursuit: The Forensic Odyssey', 'Onion login', 'HTTP specialist', 'Echoes of Wisdom', 'Warmup', 'Baby rev', 'Designer', 'Git 1: Baby', 'Discord 1'], 'challenge_category': ['Misc', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Crypto', 'Reversing', 'Web', 'Beginner', 'Beginner', 'Beginner', 'Pwn', 'Misc', 'Crypto', 'Web', 'Beginner', 'Forensics', 'Misc', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Pwn', 'Reversing', 'Beginner', 'Beginner', 'Misc'], 'challenge_points': ['375', '423', '375', '293', '392', '100', '257', '460', '232', '100', '100', '500', '100', '100', '205', '100', '464', '100', '257', '100', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T09:56:27.061359Z', '2024-11-08T20:17:55.078258Z', '2024-11-08T17:50:01.969347Z', '2024-11-08T17:44:33.227753Z', '2024-11-08T17:29:35.943422Z', '2024-11-08T16:00:43.338343Z', '2024-11-08T15:45:21.880960Z', '2024-11-08T15:23:18.746477Z', '2024-11-08T15:04:30.437718Z', '2024-11-08T14:57:29.140610Z', '2024-11-08T14:46:04.882895Z', '2024-11-08T14:33:47.746635Z', '2024-11-08T14:22:55.438363Z', '2024-11-08T14:11:21.134484Z', '2024-11-08T13:55:59.951696Z', '2024-11-08T13:29:00.546097Z', '2024-11-08T13:18:43.074388Z', '2024-11-08T13:18:31.470009Z', '2024-11-08T12:46:33.119481Z', '2024-11-08T12:45:35.491561Z', '2024-11-08T12:43:16.921180Z', '2024-11-08T12:39:50.165211Z', '2024-11-08T12:39:16.749463Z', '2024-11-08T12:32:40.714988Z', '2024-11-08T12:28:57.426027Z', '2024-11-08T12:26:03.371330Z', '2024-11-08T12:18:19.678881Z', '2024-11-08T11:57:52.125899Z']}"
9,5687,nub3cit4s,"{'challenge_name': ['fran-garay', 'botella', 'distrohopper', 'Hamparte Artist', 'Open Googler', 'Git 2: Actions', 'T.E.G. 2: Waiting for a player', 'Read the rules', 'Poke 0: Just Want a Totodile', 'Poke 3: What the hell?', 'PGN Encryption', 'XOR 2: FibMODnacci', 'Poke 2: Can you defeat Gary?', 'Flag shop', 'Siem logger', 'Trust in my calculator', 'Baguette Cipher', 'This will make you ANGRy', 'Onion login', 'Discord 2', 'Debu... what?', 'Warmup', 'Poke 1: No again please', 'T.E.G. 1: Hide and Seek', 'Packet Pursuit: The Forensic Odyssey', 'Echoes of Wisdom', 'Git 1: Baby', 'Baby rev', 'HTTP specialist', 'Discord 1', 'Designer'], 'challenge_category': ['Forensics', 'Web', 'Misc', 'Misc', 'Misc', 'Beginner', 'Misc', 'Misc', 'Crypto', 'Reversing', 'Pwn', 'Web', 'Misc', 'Crypto', 'Beginner', 'Beginner', 'Misc', 'Beginner', 'Pwn', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Beginner', 'Reversing', 'Beginner', 'Misc', 'Beginner'], 'challenge_points': ['464', '460', '375', '490', '100', '100', '392', '293', '100', '257', '500', '205', '100', '100', '232', '100', '162', '100', '100', '257', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-08T22:20:24.898135Z', '2024-11-08T22:04:12.979373Z', '2024-11-08T21:12:42.639568Z', '2024-11-08T20:11:03.696429Z', '2024-11-08T20:08:58.887896Z', '2024-11-08T19:21:00.690006Z', '2024-11-08T17:48:00.713081Z', '2024-11-08T16:49:06.062990Z', '2024-11-08T16:35:07.085118Z', '2024-11-08T16:31:24.568964Z', '2024-11-08T14:54:57.968650Z', '2024-11-08T14:45:24.057905Z', '2024-11-08T14:35:54.072109Z', '2024-11-08T14:35:39.631815Z', '2024-11-08T14:22:09.320901Z', '2024-11-08T13:29:26.509880Z', '2024-11-08T13:14:44.949954Z', '2024-11-08T13:00:51.442392Z', '2024-11-08T12:54:20.619945Z', '2024-11-08T12:29:09.275163Z', '2024-11-08T12:15:16.145716Z', '2024-11-08T11:50:16.435923Z', '2024-11-08T11:44:40.882275Z', '2024-11-08T11:31:23.551976Z', '2024-11-08T11:22:20.895256Z', '2024-11-08T11:19:14.877594Z', '2024-11-08T11:07:08.585766Z', '2024-11-08T11:05:57.181496Z']}"
10,5503,UExploitNards,"{'challenge_name': ['myst', 'Pr1m0', 'ThrillByte', 'b1itzkri3g', 'Flag shop', 'Hamparte Artist', 'Poke 1: No again please', 'Git 2: Actions', 'PGN Encryption', 'Poke 2: Can you defeat Gary?', 'This will make you ANGRy', 'Open Googler', 'Read the rules', 'XOR 3: Bugbounty description', 'Siem logger', 'Debu... what?', 'Echoes of Wisdom', 'Warmup', 'Poke 0: Just Want a Totodile', 'Discord 2', 'Onion login', 'Baby rev', 'The biggest', 'XOR 2: FibMODnacci', 'Trust in my calculator', 'T.E.G. 1: Hide and Seek', 'Packet Pursuit: The Forensic Odyssey', 'Discord 1', 'Git 1: Baby', 'HTTP specialist', 'Designer'], 'challenge_category': ['Pwn', 'Forensics', 'Beginner', 'Misc', 'Misc', 'Reversing', 'Beginner', 'Web', 'Misc', 'Crypto', 'Web', 'Beginner', 'Beginner', 'Pwn', 'Beginner', 'Misc', 'Beginner', 'Reversing', 'Crypto', 'Crypto', 'Misc', 'Beginner', 'Beginner', 'Misc', 'Beginner', 'Beginner', 'Beginner'], 'challenge_points': ['500', '464', '257', '375', '293', '257', '232', '460', '100', '423', '205', '100', '100', '100', '100', '162', '100', '100', '375', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-11-09T10:40:04.883550Z', '2024-11-09T09:40:32.344933Z', '2024-11-09T09:37:59.986756Z', '2024-11-09T09:02:56.217170Z', '2024-11-09T08:51:11.833517Z', '2024-11-09T08:11:04.729277Z', '2024-11-09T07:22:41.162899Z', '2024-11-09T07:04:04.032685Z', '2024-11-09T05:58:19.381495Z', '2024-11-09T04:00:14.093068Z', '2024-11-08T20:20:03.174131Z', '2024-11-08T18:40:43.089999Z', '2024-11-08T17:52:28.337104Z', '2024-11-08T16:56:12.986528Z', '2024-11-08T16:46:06.908063Z', '2024-11-08T15:49:54.431649Z', '2024-11-08T15:43:42.648410Z', '2024-11-08T15:25:30.242710Z', '2024-11-08T15:19:27.634822Z', '2024-11-08T15:03:57.853119Z', '2024-11-08T14:46:11.751518Z', '2024-11-08T14:41:09.189688Z', '2024-11-08T14:31:31.752121Z', '2024-11-08T14:31:09.617046Z', '2024-11-08T14:02:29.953947Z', '2024-11-08T14:00:43.568400Z', '2024-11-08T13:58:07.963071Z']}"
