points,name,challenge
1519,icesfont,"[{'name': 'disconnection-revenge', 'solves': 3, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'Simple Login', 'solves': 256, 'category': 'Web'}, {'name': 'CaaS', 'solves': 52, 'category': 'Web'}, {'name': 'Pico Note 2', 'solves': 7, 'category': 'Web'}, {'name': 'Pico Note 1', 'solves': 51, 'category': 'Web'}]"
1019,maple3142,"[{'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}]"
1019,parrot409,"[{'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}]"
1019,dimas,"[{'name': 'disconnection-revenge', 'solves': 3, 'category': 'Web'}, {'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'Simple Login', 'solves': 256, 'category': 'Web'}, {'name': 'CaaS', 'solves': 52, 'category': 'Web'}, {'name': 'Pico Note 2', 'solves': 7, 'category': 'Web'}, {'name': 'Pico Note 1', 'solves': 51, 'category': 'Web'}]"
626,ngk,"[{'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}]"
262,icchy,"[{'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}]"
262,m77,"[{'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'OpenBio 2', 'solves': 5, 'category': 'Web'}, {'name': 'AdBlog', 'solves': 6, 'category': 'Web'}, {'name': 'Neko Note', 'solves': 6, 'category': 'Web'}, {'name': 'jqi', 'solves': 8, 'category': 'Web'}, {'name': 'Warmuprofile', 'solves': 13, 'category': 'Web'}, {'name': 'OpenBio', 'solves': 13, 'category': 'Web'}, {'name': 'GitFile Explorer', 'solves': 17, 'category': 'Web'}, {'name': 'CakeGEAR', 'solves': 45, 'category': 'Web'}, {'name': 'TOWFL', 'solves': 25, 'category': 'Web'}, {'name': 'Pico Note 2', 'solves': 7, 'category': 'Web'}, {'name': 'CaaS', 'solves': 52, 'category': 'Web'}, {'name': 'Pico Note 1', 'solves': 51, 'category': 'Web'}, {'name': 'Country DB', 'solves': 104, 'category': 'Web'}, {'name': 'Simple Login', 'solves': 256, 'category': 'Web'}]"
262,rsk0315,"[{'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'Country DB', 'solves': 104, 'category': 'Web'}, {'name': 'GitFile Explorer', 'solves': 17, 'category': 'Web'}, {'name': 'Simple Login', 'solves': 256, 'category': 'Web'}]"
262,cp20,"[{'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}]"
262,frevadiscor,"[{'name': 'disconnection-revenge', 'solves': 3, 'category': 'Web'}, {'name': 'disconnection', 'solves': 7, 'category': 'Web'}, {'name': 'minimal-waf', 'solves': 12, 'category': 'Web'}, {'name': 'Alpaca Poll', 'solves': 58, 'category': 'Web'}, {'name': 'Treasure Hunt', 'solves': 100, 'category': 'Web'}]"
