points,name,challenge
5133,".;,;.","{'challenge_name': ['silent-lake', 'Nerfed', 'At your Service', 'Lake halfway house', 'o1', 'recovery', 'LakeCDN', 'order 66', 'Hopfield sends his regards...', 'a-smol-rev', 'bash plus plus', 'cert', 'VerySusOrganization', 'hsb 2.2', 'yascc', 'circuits', 'An Android Applaketion', 'wild-signatures', 'welcome'], 'challenge_category': ['rev', 'rev', 'mobile', 'pwn', 'web', 'web3', 'web', 'misc', 'misc', 'rev', 'pwn', 'crypto', 'misc', 'crypto', 'web', 'crypto', 'rev', 'crypto', 'welcome'], 'challenge_points': ['402', '490', '364', '418', '364', '290', '394', '280', '325', '410', '170', '234', '102', '251', '191', '119', '170', '109', '50'], 'solve_time': ['2024-12-08T17:15:38.574460Z', '2024-12-08T14:28:09.856936Z', '2024-12-08T14:14:12.324562Z', '2024-12-08T13:45:59.582662Z', '2024-12-08T07:19:51.013842Z', '2024-12-08T05:49:09.641951Z', '2024-12-08T05:47:18.832655Z', '2024-12-08T05:37:38.662432Z', '2024-12-08T01:30:29.362819Z', '2024-12-07T23:18:32.862474Z', '2024-12-07T22:52:24.652139Z', '2024-12-07T22:37:26.659507Z', '2024-12-07T22:37:13.453877Z', '2024-12-07T22:16:30.493993Z', '2024-12-07T21:58:52.589853Z', '2024-12-07T19:36:35.030287Z', '2024-12-07T19:31:33.779169Z', '2024-12-07T19:02:51.987812Z', '2024-12-07T18:00:07.523270Z']}"
5101,Zer0RocketWrecks,"{'challenge_name': ['At your Service', 'recovery', 'Hopfield sends his regards...', 'order 66', 'silent-lake', 'Lake halfway house', 'Silly Project #1', 'LakeCDN', 'thirtytwo', 'VerySusOrganization', 'yascc', 'o1', 'An Android Applaketion', 'bash plus plus', 'hsb 2.2', 'wild-signatures', 'circuits', 'cert', 'welcome'], 'challenge_category': ['mobile', 'web3', 'misc', 'misc', 'rev', 'pwn', 'web3', 'web', 'crypto', 'misc', 'web', 'web', 'rev', 'pwn', 'crypto', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['364', '290', '325', '280', '402', '418', '434', '394', '434', '102', '191', '364', '170', '170', '251', '109', '119', '234', '50'], 'solve_time': ['2024-12-08T14:02:48.221449Z', '2024-12-08T13:23:07.257645Z', '2024-12-08T12:41:13.110889Z', '2024-12-08T05:49:50.819646Z', '2024-12-08T05:11:11.571985Z', '2024-12-08T04:24:24.959413Z', '2024-12-08T01:05:25.222528Z', '2024-12-07T23:54:37.530983Z', '2024-12-07T22:58:47.958699Z', '2024-12-07T22:14:32.818735Z', '2024-12-07T21:34:38.325257Z', '2024-12-07T21:19:08.351742Z', '2024-12-07T21:06:58.160612Z', '2024-12-07T20:19:44.221181Z', '2024-12-07T19:35:19.440638Z', '2024-12-07T18:52:55.099466Z', '2024-12-07T18:48:15.577728Z', '2024-12-07T18:33:44.323111Z', '2024-12-07T18:00:07.647920Z']}"
4918,DiceGang,"{'challenge_name': ['At your Service', 'order 66', 'fsophammer', 'Silly Project #1', 'cert', 'bash plus plus', 'Lake halfway house', 'thirtytwo', 'Hopfield sends his regards...', 'recovery', 'VerySusOrganization', 'An Android Applaketion', 'LakeCDN', 'circuits', 'wild-signatures', 'yascc', 'o1', 'welcome'], 'challenge_category': ['mobile', 'misc', 'pwn', 'web3', 'crypto', 'pwn', 'pwn', 'crypto', 'misc', 'web3', 'misc', 'rev', 'web', 'crypto', 'crypto', 'web', 'web', 'welcome'], 'challenge_points': ['364', '280', '470', '434', '234', '170', '418', '434', '325', '290', '102', '170', '394', '119', '109', '191', '364', '50'], 'solve_time': ['2024-12-08T09:50:51.316280Z', '2024-12-08T09:29:21.025571Z', '2024-12-08T08:07:51.553980Z', '2024-12-08T04:27:04.287263Z', '2024-12-08T03:23:58.796840Z', '2024-12-08T01:57:14.999985Z', '2024-12-08T01:26:26.491460Z', '2024-12-07T22:49:21.827343Z', '2024-12-07T22:18:10.557044Z', '2024-12-07T22:07:42.422551Z', '2024-12-07T21:49:21.571897Z', '2024-12-07T21:45:36.009389Z', '2024-12-07T21:00:26.904389Z', '2024-12-07T20:27:43.219896Z', '2024-12-07T19:41:53.724587Z', '2024-12-07T19:32:46.038347Z', '2024-12-07T18:53:28.500283Z', '2024-12-07T18:26:44.846937Z']}"
4334,The Flat Network Society,"{'challenge_name': ['silent-lake', 'Silly Project #1', 'LakeCDN', 'recovery', 'a-smol-rev', 'bash plus plus', 'hsb 2.2', 'o1', 'order 66', 'circuits', 'An Android Applaketion', 'At your Service', 'VerySusOrganization', 'cert', 'yascc', 'wild-signatures', 'welcome'], 'challenge_category': ['rev', 'web3', 'web', 'web3', 'rev', 'pwn', 'crypto', 'web', 'misc', 'crypto', 'rev', 'mobile', 'misc', 'crypto', 'web', 'crypto', 'welcome'], 'challenge_points': ['402', '434', '394', '290', '410', '170', '251', '364', '280', '119', '170', '364', '102', '234', '191', '109', '50'], 'solve_time': ['2024-12-08T13:51:25.969377Z', '2024-12-08T13:07:40.684818Z', '2024-12-08T02:18:00.170089Z', '2024-12-08T02:05:39.958125Z', '2024-12-07T22:35:54.763354Z', '2024-12-07T22:16:14.925223Z', '2024-12-07T22:05:50.752206Z', '2024-12-07T21:39:11.711822Z', '2024-12-07T21:20:06.064787Z', '2024-12-07T20:05:26.873979Z', '2024-12-07T19:40:19.530574Z', '2024-12-07T19:36:11.392221Z', '2024-12-07T19:29:49.908084Z', '2024-12-07T19:12:45.767427Z', '2024-12-07T19:00:48.132239Z', '2024-12-07T18:34:17.612772Z', '2024-12-07T18:03:19.029612Z']}"
4279,FluxFingers,"{'challenge_name': ['recovery', 'Hopfield sends his regards...', 'bash plus plus', 'wild-signatures', 'hsb 2.2', 'o1', 'Lake halfway house', 'silent-lake', 'cert', 'order 66', 'LakeCDN', 'a-smol-rev', 'yascc', 'circuits', 'VerySusOrganization', 'An Android Applaketion', 'welcome'], 'challenge_category': ['web3', 'misc', 'pwn', 'crypto', 'crypto', 'web', 'pwn', 'rev', 'crypto', 'misc', 'web', 'rev', 'web', 'crypto', 'misc', 'rev', 'welcome'], 'challenge_points': ['290', '325', '170', '109', '251', '364', '418', '402', '234', '280', '394', '410', '191', '119', '102', '170', '50'], 'solve_time': ['2024-12-08T17:23:57.296497Z', '2024-12-08T13:29:50.794936Z', '2024-12-08T13:00:59.490092Z', '2024-12-08T09:50:45.240856Z', '2024-12-08T06:43:35.363759Z', '2024-12-08T04:31:35.557385Z', '2024-12-08T01:44:45.486030Z', '2024-12-07T23:53:28.365332Z', '2024-12-07T23:45:05.079198Z', '2024-12-07T23:13:44.397256Z', '2024-12-07T22:41:20.193611Z', '2024-12-07T21:55:54.176853Z', '2024-12-07T19:57:34.265573Z', '2024-12-07T19:20:30.701327Z', '2024-12-07T19:07:05.127278Z', '2024-12-07T18:23:35.595070Z', '2024-12-07T18:00:57.507932Z']}"
4155,flagbot,"{'challenge_name': ['bash plus plus', 'thirtytwo', 'yascc', 'order 66', 'Nerfed', 'Hopfield sends his regards...', 'An Android Applaketion', 'silent-lake', 'Lake halfway house', 'wild-signatures', 'hsb 2.2', 'a-smol-rev', 'cert', 'VerySusOrganization', 'circuits', 'welcome'], 'challenge_category': ['pwn', 'crypto', 'web', 'misc', 'rev', 'misc', 'rev', 'rev', 'pwn', 'crypto', 'crypto', 'rev', 'crypto', 'misc', 'crypto', 'welcome'], 'challenge_points': ['170', '434', '191', '280', '490', '325', '170', '402', '418', '109', '251', '410', '234', '102', '119', '50'], 'solve_time': ['2024-12-08T15:44:50.102354Z', '2024-12-08T14:59:14.761942Z', '2024-12-08T14:09:24.852432Z', '2024-12-08T13:38:08.402550Z', '2024-12-08T13:09:42.695144Z', '2024-12-08T12:21:29.905173Z', '2024-12-08T05:56:41.555943Z', '2024-12-08T05:56:04.863647Z', '2024-12-08T03:48:38.386603Z', '2024-12-07T21:07:30.140444Z', '2024-12-07T20:13:00.025688Z', '2024-12-07T19:59:28.879047Z', '2024-12-07T19:52:04.692385Z', '2024-12-07T19:07:52.442899Z', '2024-12-07T18:26:56.954386Z', '2024-12-07T18:00:27.721413Z']}"
3847,PokemonCollection,"{'challenge_name': ['hsb 2.2', 'Silly Project #1', 'Hopfield sends his regards...', 'cert', 'recovery', 'circuits', 'order 66', 'LakeCDN', 'bash plus plus', 'At your Service', 'wild-signatures', 'yascc', 'VerySusOrganization', 'An Android Applaketion', 'o1', 'welcome'], 'challenge_category': ['crypto', 'web3', 'misc', 'crypto', 'web3', 'crypto', 'misc', 'web', 'pwn', 'mobile', 'crypto', 'web', 'misc', 'rev', 'web', 'welcome'], 'challenge_points': ['251', '434', '325', '234', '290', '119', '280', '394', '170', '364', '109', '191', '102', '170', '364', '50'], 'solve_time': ['2024-12-08T15:25:37.209220Z', '2024-12-08T14:26:24.439197Z', '2024-12-08T12:27:58.306378Z', '2024-12-08T12:17:42.859715Z', '2024-12-08T11:56:32.497951Z', '2024-12-08T11:35:24.042650Z', '2024-12-08T09:24:08.292902Z', '2024-12-08T03:27:34.814017Z', '2024-12-08T00:16:52.574597Z', '2024-12-08T00:04:36.827888Z', '2024-12-07T22:46:23.961645Z', '2024-12-07T21:42:41.818879Z', '2024-12-07T21:33:24.614239Z', '2024-12-07T20:54:18.051549Z', '2024-12-07T20:38:44.678279Z', '2024-12-07T18:00:21.265077Z']}"
3716,SPRUSH,"{'challenge_name': ['At your Service', 'Holy pwn', 'LakeCDN', 'silent-lake', 'hsb 2.2', 'cert', 'order 66', 'a-smol-rev', 'circuits', 'wild-signatures', 'yascc', 'bash plus plus', 'An Android Applaketion', 'VerySusOrganization', 'welcome'], 'challenge_category': ['mobile', 'pwn', 'web', 'rev', 'crypto', 'crypto', 'misc', 'rev', 'crypto', 'crypto', 'web', 'pwn', 'rev', 'misc', 'welcome'], 'challenge_points': ['364', '470', '394', '402', '251', '234', '280', '410', '119', '109', '191', '170', '170', '102', '50'], 'solve_time': ['2024-12-08T17:54:05.490767Z', '2024-12-08T14:57:04.110019Z', '2024-12-08T13:52:54.490352Z', '2024-12-08T02:46:27.728798Z', '2024-12-08T00:59:56.063580Z', '2024-12-07T23:14:51.093681Z', '2024-12-07T23:08:11.135324Z', '2024-12-07T23:04:02.575998Z', '2024-12-07T22:54:30.358876Z', '2024-12-07T21:48:47.601108Z', '2024-12-07T21:23:05.727541Z', '2024-12-07T21:09:13.962509Z', '2024-12-07T20:15:57.296055Z', '2024-12-07T20:10:14.716000Z', '2024-12-07T18:00:37.186938Z']}"
3687,about:blankets,"{'challenge_name': ['Hopfield sends his regards...', 'Holy pwn', 'order 66', 'yascc', 'hsb 2.2', 'thirtytwo', 'At your Service', 'An Android Applaketion', 'Lake halfway house', 'VerySusOrganization', 'bash plus plus', 'wild-signatures', 'circuits', 'cert', 'welcome'], 'challenge_category': ['misc', 'pwn', 'misc', 'web', 'crypto', 'crypto', 'mobile', 'rev', 'pwn', 'misc', 'pwn', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['325', '470', '280', '191', '251', '434', '364', '170', '418', '102', '170', '109', '119', '234', '50'], 'solve_time': ['2024-12-08T16:36:40.185726Z', '2024-12-08T16:27:00.198407Z', '2024-12-08T15:21:34.534943Z', '2024-12-08T13:11:52.559400Z', '2024-12-08T12:15:43.051680Z', '2024-12-08T11:55:47.289696Z', '2024-12-08T09:33:43.082640Z', '2024-12-08T01:19:59.606567Z', '2024-12-08T01:03:26.567070Z', '2024-12-07T21:11:07.479177Z', '2024-12-07T21:00:14.334495Z', '2024-12-07T19:18:08.092948Z', '2024-12-07T19:00:57.388455Z', '2024-12-07T18:32:21.205653Z', '2024-12-07T18:00:13.756291Z']}"
3683,CyKor,"{'challenge_name': ['a-smol-rev', 'Hopfield sends his regards...', 'yascc', 'At your Service', 'order 66', 'Lake halfway house', 'VerySusOrganization', 'An Android Applaketion', 'Silly Project #1', 'bash plus plus', 'hsb 2.2', 'wild-signatures', 'recovery', 'circuits', 'welcome'], 'challenge_category': ['rev', 'misc', 'web', 'mobile', 'misc', 'pwn', 'misc', 'rev', 'web3', 'pwn', 'crypto', 'crypto', 'web3', 'crypto', 'welcome'], 'challenge_points': ['410', '325', '191', '364', '280', '418', '102', '170', '434', '170', '251', '109', '290', '119', '50'], 'solve_time': ['2024-12-08T13:09:34.687597Z', '2024-12-08T12:14:23.698575Z', '2024-12-08T05:47:04.982970Z', '2024-12-08T05:27:12.342355Z', '2024-12-08T04:07:07.034883Z', '2024-12-08T03:06:05.824669Z', '2024-12-07T23:15:17.435131Z', '2024-12-07T23:06:20.560176Z', '2024-12-07T21:04:20.898801Z', '2024-12-07T20:51:15.082147Z', '2024-12-07T20:38:39.162552Z', '2024-12-07T19:59:35.980691Z', '2024-12-07T19:16:49.242154Z', '2024-12-07T19:16:30.525432Z', '2024-12-07T18:49:14.758424Z']}"
3672,NUS Greyhats,"{'challenge_name': ['At your Service', 'Hopfield sends his regards...', 'order 66', 'o1', 'a-smol-rev', 'VerySusOrganization', 'recovery', 'bash plus plus', 'An Android Applaketion', 'cert', 'thirtytwo', 'hsb 2.2', 'circuits', 'wild-signatures', 'welcome'], 'challenge_category': ['mobile', 'misc', 'misc', 'web', 'rev', 'misc', 'web3', 'pwn', 'rev', 'crypto', 'crypto', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['364', '325', '280', '364', '410', '102', '290', '170', '170', '234', '434', '251', '119', '109', '50'], 'solve_time': ['2024-12-08T13:49:39.404375Z', '2024-12-08T11:38:22.982103Z', '2024-12-08T09:56:03.069038Z', '2024-12-08T08:54:09.765665Z', '2024-12-08T08:46:59.902388Z', '2024-12-08T05:56:22.848885Z', '2024-12-08T05:43:41.852666Z', '2024-12-08T05:30:53.241074Z', '2024-12-08T03:59:16.725489Z', '2024-12-08T01:41:41.458171Z', '2024-12-08T00:32:21.150231Z', '2024-12-07T21:05:47.052016Z', '2024-12-07T21:05:02.086560Z', '2024-12-07T19:25:13.402869Z', '2024-12-07T18:25:21.246828Z']}"
3557,bingus,"{'challenge_name': ['Hopfield sends his regards...', 'At your Service', 'o1', 'order 66', 'VerySusOrganization', 'thirtytwo', 'An Android Applaketion', 'LakeCDN', 'bash plus plus', 'hsb 2.2', 'yascc', 'circuits', 'wild-signatures', 'cert', 'welcome'], 'challenge_category': ['misc', 'mobile', 'web', 'misc', 'misc', 'crypto', 'rev', 'web', 'pwn', 'crypto', 'web', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['325', '364', '364', '280', '102', '434', '170', '394', '170', '251', '191', '119', '109', '234', '50'], 'solve_time': ['2024-12-08T03:28:58.882259Z', '2024-12-08T01:00:47.451878Z', '2024-12-07T23:46:12.668681Z', '2024-12-07T23:42:30.188525Z', '2024-12-07T22:24:35.716586Z', '2024-12-07T22:01:15.699649Z', '2024-12-07T21:51:53.482937Z', '2024-12-07T21:27:40.328946Z', '2024-12-07T20:11:06.750445Z', '2024-12-07T18:57:07.178771Z', '2024-12-07T18:49:28.365786Z', '2024-12-07T18:48:08.231280Z', '2024-12-07T18:23:13.926370Z', '2024-12-07T18:18:43.440385Z', '2024-12-07T18:00:14.273578Z']}"
3521,KebabEngineers,"{'challenge_name': ['silent-lake', 'thirtytwo', 'recovery', 'LakeCDN', 'Hopfield sends his regards...', 'hsb 2.2', 'bash plus plus', 'order 66', 'yascc', 'VerySusOrganization', 'circuits', 'cert', 'An Android Applaketion', 'wild-signatures', 'welcome'], 'challenge_category': ['rev', 'crypto', 'web3', 'web', 'misc', 'crypto', 'pwn', 'misc', 'web', 'misc', 'crypto', 'crypto', 'rev', 'crypto', 'welcome'], 'challenge_points': ['402', '434', '290', '394', '325', '251', '170', '280', '191', '102', '119', '234', '170', '109', '50'], 'solve_time': ['2024-12-08T17:49:15.890177Z', '2024-12-08T15:35:16.317594Z', '2024-12-08T03:53:33.815280Z', '2024-12-08T02:08:53.860647Z', '2024-12-08T01:49:03.148558Z', '2024-12-08T01:21:12.849622Z', '2024-12-08T00:45:52.336827Z', '2024-12-08T00:07:37.056551Z', '2024-12-07T23:47:33.566319Z', '2024-12-07T21:46:17.405168Z', '2024-12-07T20:53:41.148779Z', '2024-12-07T20:20:18.407562Z', '2024-12-07T19:36:10.446840Z', '2024-12-07T19:33:54.520978Z', '2024-12-07T18:00:07.852692Z']}"
3467,our team name was stolen,"{'challenge_name': ['At your Service', 'order 66', 'silent-lake', 'Hopfield sends his regards...', 'recovery', 'a-smol-rev', 'bash plus plus', 'yascc', 'VerySusOrganization', 'hsb 2.2', 'An Android Applaketion', 'circuits', 'wild-signatures', 'cert', 'welcome'], 'challenge_category': ['mobile', 'misc', 'rev', 'misc', 'web3', 'rev', 'pwn', 'web', 'misc', 'crypto', 'rev', 'crypto', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['364', '280', '402', '325', '290', '410', '170', '191', '102', '251', '170', '119', '109', '234', '50'], 'solve_time': ['2024-12-08T15:51:45.646744Z', '2024-12-08T15:34:24.592917Z', '2024-12-08T13:41:45.364303Z', '2024-12-08T10:42:47.740327Z', '2024-12-08T08:48:46.012897Z', '2024-12-08T06:48:50.841168Z', '2024-12-08T05:48:36.935593Z', '2024-12-08T05:41:00.817873Z', '2024-12-08T03:04:35.554028Z', '2024-12-08T02:29:09.452394Z', '2024-12-08T01:58:17.008511Z', '2024-12-07T20:50:46.785336Z', '2024-12-07T20:09:24.148854Z', '2024-12-07T19:40:25.052005Z', '2024-12-07T18:00:09.434965Z']}"
3234,r3kapig,"{'challenge_name': ['yascc', 'fsophammer', 'order 66', 'recovery', 'Silly Project #1', 'At your Service', 'VerySusOrganization', 'cert', 'hsb 2.2', 'circuits', 'wild-signatures', 'An Android Applaketion', 'bash plus plus', 'welcome'], 'challenge_category': ['web', 'pwn', 'misc', 'web3', 'web3', 'mobile', 'misc', 'crypto', 'crypto', 'crypto', 'crypto', 'rev', 'pwn', 'welcome'], 'challenge_points': ['191', '470', '280', '290', '434', '364', '102', '234', '251', '119', '109', '170', '170', '50'], 'solve_time': ['2024-12-08T17:57:57.632479Z', '2024-12-08T09:42:29.465821Z', '2024-12-08T09:04:33.055981Z', '2024-12-08T09:02:34.561836Z', '2024-12-08T08:49:57.445198Z', '2024-12-08T06:30:58.657198Z', '2024-12-08T04:51:43.756102Z', '2024-12-08T03:52:09.311551Z', '2024-12-08T03:32:39.838902Z', '2024-12-08T03:28:30.210722Z', '2024-12-08T02:59:28.511994Z', '2024-12-08T02:49:57.597436Z', '2024-12-08T02:09:21.908879Z', '2024-12-07T18:01:53.319819Z']}"
3179,justCatTheFish,"{'challenge_name': ['Hopfield sends his regards...', 'hsb 2.2', 'a-smol-rev', 'cert', 'LakeCDN', 'An Android Applaketion', 'bash plus plus', 'circuits', 'recovery', 'VerySusOrganization', 'o1', 'yascc', 'wild-signatures', 'welcome'], 'challenge_category': ['misc', 'crypto', 'rev', 'crypto', 'web', 'rev', 'pwn', 'crypto', 'web3', 'misc', 'web', 'web', 'crypto', 'welcome'], 'challenge_points': ['325', '251', '410', '234', '394', '170', '170', '119', '290', '102', '364', '191', '109', '50'], 'solve_time': ['2024-12-08T17:44:22.124935Z', '2024-12-08T16:33:05.855552Z', '2024-12-08T13:23:40.997320Z', '2024-12-08T12:38:52.535275Z', '2024-12-08T04:21:24.360843Z', '2024-12-07T22:57:14.357771Z', '2024-12-07T22:29:50.505791Z', '2024-12-07T22:16:11.617755Z', '2024-12-07T21:40:45.555684Z', '2024-12-07T21:13:02.420511Z', '2024-12-07T20:44:05.101865Z', '2024-12-07T20:18:35.809241Z', '2024-12-07T18:41:32.252288Z', '2024-12-07T18:00:51.505099Z']}"
3127,jinmo123,"{'challenge_name': ['Holy pwn', 'LakeCDN', 'Lake halfway house', 'circuits', 'wild-signatures', 'recovery', 'At your Service', 'bash plus plus', 'order 66', 'yascc', 'VerySusOrganization', 'An Android Applaketion', 'welcome'], 'challenge_category': ['pwn', 'web', 'pwn', 'crypto', 'crypto', 'web3', 'mobile', 'pwn', 'misc', 'web', 'misc', 'rev', 'welcome'], 'challenge_points': ['470', '394', '418', '119', '109', '290', '364', '170', '280', '191', '102', '170', '50'], 'solve_time': ['2024-12-08T17:02:44.990253Z', '2024-12-08T13:43:44.558995Z', '2024-12-08T11:28:51.705949Z', '2024-12-08T06:38:03.491009Z', '2024-12-08T06:14:34.358355Z', '2024-12-08T03:17:21.590763Z', '2024-12-08T03:08:53.132422Z', '2024-12-08T02:08:46.821816Z', '2024-12-08T01:47:49.220794Z', '2024-12-08T00:23:40.495365Z', '2024-12-08T00:01:17.964301Z', '2024-12-07T23:44:27.671460Z', '2024-12-07T23:29:01.789726Z']}"
3093,More Smoked Leet Chicken,"{'challenge_name': ['silent-lake', 'welcome', 'order 66', 'a-smol-rev', 'yascc', 'thirtytwo', 'LakeCDN', 'o1', 'bash plus plus', 'An Android Applaketion', 'wild-signatures', 'circuits'], 'challenge_category': ['rev', 'welcome', 'misc', 'rev', 'web', 'crypto', 'web', 'web', 'pwn', 'rev', 'crypto', 'crypto'], 'challenge_points': ['402', '50', '280', '410', '191', '434', '394', '364', '170', '170', '109', '119'], 'solve_time': ['2024-12-08T15:09:29.058679Z', '2024-12-08T15:08:07.564318Z', '2024-12-08T14:14:28.245234Z', '2024-12-08T14:10:03.589090Z', '2024-12-08T14:07:15.565124Z', '2024-12-08T10:56:36.705012Z', '2024-12-08T03:41:18.089665Z', '2024-12-07T22:29:41.141255Z', '2024-12-07T21:54:58.331168Z', '2024-12-07T21:16:47.293305Z', '2024-12-07T21:01:56.797582Z', '2024-12-07T19:46:46.564094Z']}"
2919,49-3,"{'challenge_name': ['An Android Applaketion', 'o1', 'At your Service', 'bash plus plus', 'yascc', 'Hopfield sends his regards...', 'hsb 2.2', 'VerySusOrganization', 'cert', 'fsophammer', 'circuits', 'wild-signatures', 'welcome'], 'challenge_category': ['rev', 'web', 'mobile', 'pwn', 'web', 'misc', 'crypto', 'misc', 'crypto', 'pwn', 'crypto', 'crypto', 'welcome'], 'challenge_points': ['170', '364', '364', '170', '191', '325', '251', '102', '234', '470', '119', '109', '50'], 'solve_time': ['2024-12-08T01:42:15.008182Z', '2024-12-08T01:30:50.504406Z', '2024-12-08T00:01:31.772691Z', '2024-12-07T23:48:41.452140Z', '2024-12-07T23:19:49.745416Z', '2024-12-07T23:17:17.978113Z', '2024-12-07T23:09:02.719786Z', '2024-12-07T22:14:02.011967Z', '2024-12-07T21:21:54.502054Z', '2024-12-07T19:38:38.453317Z', '2024-12-07T19:37:08.494666Z', '2024-12-07T19:17:06.215661Z', '2024-12-07T18:00:12.528202Z']}"
2701,Squid Proxy Lovers,"{'challenge_name': ['yascc', 'cert', 'a-smol-rev', 'recovery', 'Hopfield sends his regards...', 'bash plus plus', 'hsb 2.2', 'An Android Applaketion', 'VerySusOrganization', 'circuits', 'order 66', 'wild-signatures', 'welcome'], 'challenge_category': ['web', 'crypto', 'rev', 'web3', 'misc', 'pwn', 'crypto', 'rev', 'misc', 'crypto', 'misc', 'crypto', 'welcome'], 'challenge_points': ['191', '234', '410', '290', '325', '170', '251', '170', '102', '119', '280', '109', '50'], 'solve_time': ['2024-12-08T17:03:48.459052Z', '2024-12-08T14:44:22.572055Z', '2024-12-08T13:24:55.956594Z', '2024-12-08T11:11:12.046360Z', '2024-12-08T08:42:27.202311Z', '2024-12-08T02:02:05.368071Z', '2024-12-08T00:45:16.918017Z', '2024-12-07T20:23:16.167666Z', '2024-12-07T19:55:11.483354Z', '2024-12-07T19:45:41.614629Z', '2024-12-07T19:37:31.479789Z', '2024-12-07T19:04:52.224341Z', '2024-12-07T18:03:35.438550Z']}"
