points,name,challenge
11598,Cryptonite,"{'challenge_name': ['leap_of_faith', 'Do Not Redeem #5', 'Do Not Redeem #4', 'Broken?', 'Do Not Redeem #3', 'Stego Gambit', 'Do Not Redeem #2', 'Key Exchange', 'You Should Rev This', 'Do Not Redeem #1', 'FinalGame?', 'Random-Inator', 'Painfully Slow', 'Game 3 - CatSeabank', 'The Troll Zone', 'SuperFastAPI', 'SNOWy Evening', 'Corruption', 'Absolutely Encrypted Shenanigans', 'Game 2 - Wait', 'Self Destruct', 'Game 1 - Untitled Game', 'Corporate Life 2', 'Corporate Life 1', 'Easy Jail 2', 'Easy Jail', 'Kings', 'Old Diner', 'Playing with numbers', 'Restaurant', 'Memories Bring Back You', 'Look at Me', 'Who am I ??', 'MMDLX', 'Lost Frequencies'], 'challenge_category': ['pwn', 'rev', 'forensics', 'misc', 'forensics', 'forensics', 'forensics', 'crypto', 'rev', 'forensics', 'misc', 'crypto', 'rev', 'rev', 'pwn', 'web', 'misc', 'forensics', 'crypto', 'misc', 'misc', 'rev', 'web', 'web', 'misc', 'misc', 'osint', 'osint', 'misc', 'forensics', 'forensics', 'forensics', 'osint', 'crypto', 'crypto'], 'challenge_points': ['463', '500', '500', '490', '499', '480', '434', '384', '499', '319', '432', '476', '499', '479', '452', '100', '205', '100', '477', '195', '347', '100', '261', '137', '100', '100', '458', '411', '491', '152', '100', '304', '100', '454', '100'], 'solve_time': ['2025-02-23T12:50:22.163508Z', '2025-02-23T12:04:27.842934Z', '2025-02-23T11:05:24.713459Z', '2025-02-23T10:50:56.235865Z', '2025-02-23T10:50:07.862419Z', '2025-02-23T09:03:39.745309Z', '2025-02-23T07:43:56.133480Z', '2025-02-23T07:42:45.880539Z', '2025-02-23T07:39:49.784595Z', '2025-02-23T07:25:30.074357Z', '2025-02-23T06:46:21.335503Z', '2025-02-23T05:50:55.149496Z', '2025-02-23T05:47:45.933693Z', '2025-02-23T05:37:03.854361Z', '2025-02-23T05:28:13.217515Z', '2025-02-23T04:49:33.279041Z', '2025-02-23T04:46:59.306374Z', '2025-02-23T04:43:51.315344Z', '2025-02-22T21:35:11.318155Z', '2025-02-22T18:26:52.488147Z', '2025-02-22T18:10:10.415622Z', '2025-02-22T17:57:58.239382Z', '2025-02-22T17:53:30.842233Z', '2025-02-22T17:29:58.959963Z', '2025-02-22T17:25:49.427354Z', '2025-02-22T16:33:35.540267Z', '2025-02-22T15:02:16.026874Z', '2025-02-22T14:02:23.140351Z', '2025-02-22T13:50:13.663607Z', '2025-02-22T13:01:06.185729Z', '2025-02-22T12:55:48.898024Z', '2025-02-22T12:40:03.745640Z', '2025-02-22T12:23:21.393705Z', '2025-02-22T12:16:02.375207Z', '2025-02-22T12:07:03.589561Z']}"
10640,misc,"{'challenge_name': ['Broken?', 'Absolutely Encrypted Shenanigans', 'Old Diner', 'Corporate Life 2', 'Do Not Redeem #4', 'FinalGame?', 'Do Not Redeem #3', 'SNOWy Evening', 'The Troll Zone', 'Do Not Redeem #2', 'You Should Rev This', 'Do Not Redeem #1', 'Game 3 - CatSeabank', 'Random-Inator', 'Key Exchange', 'leap_of_faith', 'SuperFastAPI', 'Corruption', 'Painfully Slow', 'Self Destruct', 'Corporate Life 1', 'Game 1 - Untitled Game', 'Game 2 - Wait', 'Easy Jail 2', 'Easy Jail', 'MMDLX', 'Stego Gambit', 'Who am I ??', 'Memories Bring Back You', 'Look at Me', 'Playing with numbers', 'Restaurant', 'Lost Frequencies'], 'challenge_category': ['misc', 'crypto', 'osint', 'web', 'forensics', 'misc', 'forensics', 'misc', 'pwn', 'forensics', 'rev', 'forensics', 'rev', 'crypto', 'crypto', 'pwn', 'web', 'forensics', 'rev', 'misc', 'web', 'rev', 'misc', 'misc', 'misc', 'crypto', 'forensics', 'osint', 'forensics', 'forensics', 'misc', 'forensics', 'crypto'], 'challenge_points': ['490', '477', '411', '261', '500', '432', '499', '205', '452', '434', '499', '319', '479', '476', '384', '463', '100', '100', '499', '347', '137', '100', '195', '100', '100', '454', '480', '100', '100', '304', '491', '152', '100'], 'solve_time': ['2025-02-23T13:28:14.164970Z', '2025-02-23T13:16:24.590881Z', '2025-02-23T12:53:21.286193Z', '2025-02-23T09:56:20.150219Z', '2025-02-23T09:30:11.099179Z', '2025-02-23T09:22:35.614147Z', '2025-02-23T09:14:58.802026Z', '2025-02-23T08:52:55.505473Z', '2025-02-23T08:47:03.015378Z', '2025-02-23T08:39:19.778926Z', '2025-02-23T07:40:05.749474Z', '2025-02-23T06:36:56.592677Z', '2025-02-23T06:02:44.253373Z', '2025-02-23T05:45:10.324137Z', '2025-02-23T05:27:43.041357Z', '2025-02-23T05:04:39.897765Z', '2025-02-23T05:02:34.477010Z', '2025-02-23T04:25:20.291892Z', '2025-02-23T02:52:55.103310Z', '2025-02-23T00:45:37.320175Z', '2025-02-22T23:43:53.517463Z', '2025-02-22T23:29:59.565533Z', '2025-02-22T23:25:16.655426Z', '2025-02-22T22:17:31.253236Z', '2025-02-22T22:03:56.349588Z', '2025-02-22T14:23:34.951784Z', '2025-02-22T13:17:55.337142Z', '2025-02-22T13:06:59.365405Z', '2025-02-22T12:57:54.217508Z', '2025-02-22T12:49:39.891594Z', '2025-02-22T12:48:03.155061Z', '2025-02-22T12:38:36.451587Z', '2025-02-22T12:10:38.412732Z']}"
10099,KCSC,"{'challenge_name': ['Stego Gambit', 'Old Diner', 'Do Not Redeem #3', 'Kings', 'You Should Rev This', 'Do Not Redeem #2', 'Do Not Redeem #1', 'Broken?', 'SNOWy Evening', 'FinalGame?', 'The Troll Zone', 'Game 3 - CatSeabank', 'Random-Inator', 'Key Exchange', 'Corruption', 'SuperFastAPI', 'MMDLX', 'Playing with numbers', 'Self Destruct', 'Absolutely Encrypted Shenanigans', 'leap_of_faith', 'Easy Jail 2', 'Easy Jail', 'Game 2 - Wait', 'Look at Me', 'Corporate Life 2', 'Corporate Life 1', 'Game 1 - Untitled Game', 'Restaurant', 'Who am I ??', 'Memories Bring Back You', 'Lost Frequencies'], 'challenge_category': ['forensics', 'osint', 'forensics', 'osint', 'rev', 'forensics', 'forensics', 'misc', 'misc', 'misc', 'pwn', 'rev', 'crypto', 'crypto', 'forensics', 'web', 'crypto', 'misc', 'misc', 'crypto', 'pwn', 'misc', 'misc', 'misc', 'forensics', 'web', 'web', 'rev', 'forensics', 'osint', 'forensics', 'crypto'], 'challenge_points': ['480', '411', '499', '458', '499', '434', '319', '490', '205', '432', '452', '479', '476', '384', '100', '100', '454', '491', '347', '477', '463', '100', '100', '195', '304', '261', '137', '100', '152', '100', '100', '100'], 'solve_time': ['2025-02-23T11:54:59.695480Z', '2025-02-23T11:41:31.833708Z', '2025-02-23T11:35:31.095105Z', '2025-02-23T10:37:53.814989Z', '2025-02-23T08:44:42.301046Z', '2025-02-23T07:45:56.768412Z', '2025-02-23T07:43:31.020598Z', '2025-02-23T07:33:04.012834Z', '2025-02-23T07:31:05.684207Z', '2025-02-23T07:14:47.385204Z', '2025-02-23T05:16:19.785173Z', '2025-02-23T05:10:57.650346Z', '2025-02-23T04:47:10.059051Z', '2025-02-23T04:35:04.233961Z', '2025-02-23T04:24:31.794670Z', '2025-02-23T04:24:28.600783Z', '2025-02-23T03:29:50.328417Z', '2025-02-22T22:26:59.645858Z', '2025-02-22T17:46:26.506589Z', '2025-02-22T17:38:21.696718Z', '2025-02-22T17:15:11.131428Z', '2025-02-22T17:07:45.454723Z', '2025-02-22T16:56:51.360629Z', '2025-02-22T16:53:09.814889Z', '2025-02-22T16:52:38.253688Z', '2025-02-22T16:35:36.726324Z', '2025-02-22T16:26:44.570954Z', '2025-02-22T16:22:52.524281Z', '2025-02-22T13:38:25.507812Z', '2025-02-22T12:30:59.656448Z', '2025-02-22T12:28:39.654568Z', '2025-02-22T12:08:04.887628Z']}"
9609,Cosmic Bit Flip,"{'challenge_name': ['Broken?', 'leap_of_faith', 'Do Not Redeem #4', 'Do Not Redeem #3', 'Kings', 'Do Not Redeem #2', 'Do Not Redeem #1', 'FinalGame?', 'Old Diner', 'Game 3 - CatSeabank', 'The Troll Zone', 'SNOWy Evening', 'Random-Inator', 'Key Exchange', 'Corruption', 'SuperFastAPI', 'Stego Gambit', 'MMDLX', 'Corporate Life 2', 'Corporate Life 1', 'Self Destruct', 'Game 2 - Wait', 'Memories Bring Back You', 'Absolutely Encrypted Shenanigans', 'Look at Me', 'Game 1 - Untitled Game', 'Easy Jail', 'Easy Jail 2', 'Who am I ??', 'Restaurant', 'Lost Frequencies'], 'challenge_category': ['misc', 'pwn', 'forensics', 'forensics', 'osint', 'forensics', 'forensics', 'misc', 'osint', 'rev', 'pwn', 'misc', 'crypto', 'crypto', 'forensics', 'web', 'forensics', 'crypto', 'web', 'web', 'misc', 'misc', 'forensics', 'crypto', 'forensics', 'rev', 'misc', 'misc', 'osint', 'forensics', 'crypto'], 'challenge_points': ['490', '463', '500', '499', '458', '434', '319', '432', '411', '479', '452', '205', '476', '384', '100', '100', '480', '454', '261', '137', '347', '195', '100', '477', '304', '100', '100', '100', '100', '152', '100'], 'solve_time': ['2025-02-23T12:04:19.566278Z', '2025-02-23T10:23:44.953698Z', '2025-02-23T09:31:24.966769Z', '2025-02-23T07:41:16.252955Z', '2025-02-23T07:14:29.800220Z', '2025-02-23T06:47:42.088310Z', '2025-02-23T06:18:48.819624Z', '2025-02-23T06:03:50.739535Z', '2025-02-23T05:54:03.443696Z', '2025-02-23T05:31:16.163037Z', '2025-02-23T05:21:30.827827Z', '2025-02-23T05:10:49.592237Z', '2025-02-23T04:41:51.426769Z', '2025-02-23T04:32:31.383182Z', '2025-02-23T04:23:25.946868Z', '2025-02-23T04:22:16.796930Z', '2025-02-22T20:44:00.782578Z', '2025-02-22T20:40:04.192044Z', '2025-02-22T20:01:16.227909Z', '2025-02-22T19:55:24.652277Z', '2025-02-22T19:15:22.718172Z', '2025-02-22T18:52:59.174195Z', '2025-02-22T18:48:04.570290Z', '2025-02-22T18:30:32.551054Z', '2025-02-22T18:30:07.910544Z', '2025-02-22T18:29:16.615790Z', '2025-02-22T17:09:28.259473Z', '2025-02-22T17:09:07.379599Z', '2025-02-22T15:25:45.209107Z', '2025-02-22T14:42:42.656515Z', '2025-02-22T13:43:33.972821Z']}"
9109,bi0s,"{'challenge_name': ['Broken?', 'Corporate Life 2', 'Corporate Life 1', 'MMDLX', 'Do Not Redeem #3', 'Key Exchange', 'Do Not Redeem #2', 'Do Not Redeem #1', 'FinalGame?', 'leap_of_faith', 'The Troll Zone', 'Random-Inator', 'SuperFastAPI', 'Corruption', 'SNOWy Evening', 'Game 3 - CatSeabank', 'Absolutely Encrypted Shenanigans', 'Stego Gambit', 'Self Destruct', 'Game 1 - Untitled Game', 'Game 2 - Wait', 'Easy Jail 2', 'Easy Jail', 'Old Diner', 'Kings', 'Look at Me', 'Memories Bring Back You', 'Who am I ??', 'Restaurant', 'Lost Frequencies'], 'challenge_category': ['misc', 'web', 'web', 'crypto', 'forensics', 'crypto', 'forensics', 'forensics', 'misc', 'pwn', 'pwn', 'crypto', 'web', 'forensics', 'misc', 'rev', 'crypto', 'forensics', 'misc', 'rev', 'misc', 'misc', 'misc', 'osint', 'osint', 'forensics', 'forensics', 'osint', 'forensics', 'crypto'], 'challenge_points': ['490', '261', '137', '454', '499', '384', '434', '319', '432', '463', '452', '476', '100', '100', '205', '479', '477', '480', '347', '100', '195', '100', '100', '411', '458', '304', '100', '100', '152', '100'], 'solve_time': ['2025-02-23T11:42:05.650787Z', '2025-02-23T11:07:48.345101Z', '2025-02-23T11:03:43.407950Z', '2025-02-23T10:51:27.856375Z', '2025-02-23T10:00:24.094075Z', '2025-02-23T09:58:59.991519Z', '2025-02-23T09:17:34.610663Z', '2025-02-23T08:33:14.340167Z', '2025-02-23T07:33:55.876173Z', '2025-02-23T06:46:51.936911Z', '2025-02-23T06:38:12.024921Z', '2025-02-23T06:21:44.355040Z', '2025-02-23T06:18:47.408689Z', '2025-02-23T05:44:02.076712Z', '2025-02-23T05:41:59.532355Z', '2025-02-23T05:41:29.749061Z', '2025-02-22T23:35:56.813773Z', '2025-02-22T18:08:18.070394Z', '2025-02-22T16:56:25.475727Z', '2025-02-22T16:55:43.503224Z', '2025-02-22T16:40:04.160786Z', '2025-02-22T15:54:12.132147Z', '2025-02-22T15:53:43.012011Z', '2025-02-22T15:47:53.262359Z', '2025-02-22T15:35:56.952024Z', '2025-02-22T13:01:07.017290Z', '2025-02-22T12:49:21.838768Z', '2025-02-22T12:15:23.263704Z', '2025-02-22T12:15:05.313528Z', '2025-02-22T12:07:45.936876Z']}"
8647,BITSkrieg,"{'challenge_name': ['Do Not Redeem #3', 'FinalGame?', 'Do Not Redeem #2', 'Do Not Redeem #1', 'Random-Inator', 'Game 3 - CatSeabank', 'The Troll Zone', 'Key Exchange', 'SuperFastAPI', 'Corruption', 'SNOWy Evening', 'Absolutely Encrypted Shenanigans', 'Self Destruct', 'Corporate Life 2', 'Corporate Life 1', 'Easy Jail 2', 'Easy Jail', 'Game 1 - Untitled Game', 'Game 2 - Wait', 'Stego Gambit', 'Kings', 'Restaurant', 'Old Diner', 'Playing with numbers', 'Memories Bring Back You', 'Who am I ??', 'Look at Me', 'MMDLX', 'Lost Frequencies'], 'challenge_category': ['forensics', 'misc', 'forensics', 'forensics', 'crypto', 'rev', 'pwn', 'crypto', 'web', 'forensics', 'misc', 'crypto', 'misc', 'web', 'web', 'misc', 'misc', 'rev', 'misc', 'forensics', 'osint', 'forensics', 'osint', 'misc', 'forensics', 'osint', 'forensics', 'crypto', 'crypto'], 'challenge_points': ['499', '432', '434', '319', '476', '479', '452', '384', '100', '100', '205', '477', '347', '261', '137', '100', '100', '100', '195', '480', '458', '152', '411', '491', '100', '100', '304', '454', '100'], 'solve_time': ['2025-02-23T11:28:22.712140Z', '2025-02-23T10:21:24.189970Z', '2025-02-23T08:03:46.430326Z', '2025-02-23T06:39:16.419464Z', '2025-02-23T06:06:29.023393Z', '2025-02-23T05:50:10.790420Z', '2025-02-23T05:41:19.314697Z', '2025-02-23T04:43:06.659129Z', '2025-02-23T04:29:44.928435Z', '2025-02-23T04:23:16.799006Z', '2025-02-23T04:20:07.807143Z', '2025-02-22T20:37:16.320547Z', '2025-02-22T18:36:53.837306Z', '2025-02-22T18:19:46.471305Z', '2025-02-22T17:58:40.752140Z', '2025-02-22T16:33:31.579378Z', '2025-02-22T16:33:02.268058Z', '2025-02-22T16:28:26.309174Z', '2025-02-22T15:56:02.390298Z', '2025-02-22T14:35:30.348105Z', '2025-02-22T13:29:35.123608Z', '2025-02-22T13:21:41.769449Z', '2025-02-22T13:19:48.731692Z', '2025-02-22T12:54:59.650787Z', '2025-02-22T12:52:14.880302Z', '2025-02-22T12:23:23.913276Z', '2025-02-22T12:21:24.351522Z', '2025-02-22T12:17:01.663350Z', '2025-02-22T12:09:57.511754Z']}"
8148,f4n_n3r0,"{'challenge_name': ['Playing with numbers', 'Broken?', 'FinalGame?', 'Key Exchange', 'MMDLX', 'Corporate Life 2', 'Stego Gambit', 'The Troll Zone', 'Game 3 - CatSeabank', 'Do Not Redeem #2', 'Corporate Life 1', 'Do Not Redeem #1', 'Old Diner', 'SuperFastAPI', 'SNOWy Evening', 'Corruption', 'leap_of_faith', 'Kings', 'Game 2 - Wait', 'Self Destruct', 'Easy Jail 2', 'Easy Jail', 'Game 1 - Untitled Game', 'Look at Me', 'Who am I ??', 'Memories Bring Back You', 'Restaurant', 'Lost Frequencies'], 'challenge_category': ['misc', 'misc', 'misc', 'crypto', 'crypto', 'web', 'forensics', 'pwn', 'rev', 'forensics', 'web', 'forensics', 'osint', 'web', 'misc', 'forensics', 'pwn', 'osint', 'misc', 'misc', 'misc', 'misc', 'rev', 'forensics', 'osint', 'forensics', 'forensics', 'crypto'], 'challenge_points': ['491', '490', '432', '384', '454', '261', '480', '452', '479', '434', '137', '319', '411', '100', '205', '100', '463', '458', '195', '347', '100', '100', '100', '304', '100', '100', '152', '100'], 'solve_time': ['2025-02-23T13:52:07.526489Z', '2025-02-23T11:25:12.426743Z', '2025-02-23T10:56:57.978808Z', '2025-02-23T09:58:09.629912Z', '2025-02-23T08:39:54.171464Z', '2025-02-23T08:22:03.147395Z', '2025-02-23T08:12:56.152736Z', '2025-02-23T08:11:05.032971Z', '2025-02-23T07:52:53.154734Z', '2025-02-23T07:49:36.247811Z', '2025-02-23T07:46:16.175959Z', '2025-02-23T07:38:11.320491Z', '2025-02-23T05:26:42.573044Z', '2025-02-23T04:33:52.246662Z', '2025-02-23T04:21:43.180994Z', '2025-02-23T04:15:16.546057Z', '2025-02-22T18:45:08.953676Z', '2025-02-22T18:17:00.157981Z', '2025-02-22T17:57:18.108889Z', '2025-02-22T17:45:15.879376Z', '2025-02-22T17:25:06.766595Z', '2025-02-22T16:12:43.115916Z', '2025-02-22T16:08:11.606079Z', '2025-02-22T16:04:32.907570Z', '2025-02-22T15:19:04.665943Z', '2025-02-22T15:05:22.004325Z', '2025-02-22T14:50:44.401778Z', '2025-02-22T12:06:30.560077Z']}"
8133,0bug,"{'challenge_name': ['Random-Inator', 'Game 3 - CatSeabank', 'Do Not Redeem #2', 'Stego Gambit', 'Do Not Redeem #1', 'Broken?', 'FinalGame?', 'Corruption', 'Self Destruct', 'Look at Me', 'Memories Bring Back You', 'Key Exchange', 'SNOWy Evening', 'leap_of_faith', 'Restaurant', 'Kings', 'Old Diner', 'Corporate Life 2', 'Corporate Life 1', 'MMDLX', 'The Troll Zone', 'SuperFastAPI', 'Easy Jail 2', 'Game 1 - Untitled Game', 'Game 2 - Wait', 'Easy Jail', 'Who am I ??', 'Lost Frequencies'], 'challenge_category': ['crypto', 'rev', 'forensics', 'forensics', 'forensics', 'misc', 'misc', 'forensics', 'misc', 'forensics', 'forensics', 'crypto', 'misc', 'pwn', 'forensics', 'osint', 'osint', 'web', 'web', 'crypto', 'pwn', 'web', 'misc', 'rev', 'misc', 'misc', 'osint', 'crypto'], 'challenge_points': ['476', '479', '434', '480', '319', '490', '432', '100', '347', '304', '100', '384', '205', '463', '152', '458', '411', '261', '137', '454', '452', '100', '100', '100', '195', '100', '100', '100'], 'solve_time': ['2025-02-23T12:48:16.988710Z', '2025-02-23T11:26:32.953935Z', '2025-02-23T10:52:04.252594Z', '2025-02-23T10:43:50.819527Z', '2025-02-23T10:40:56.999166Z', '2025-02-23T10:29:52.503464Z', '2025-02-23T10:19:50.333881Z', '2025-02-23T09:54:39.929169Z', '2025-02-23T09:38:51.761380Z', '2025-02-23T09:21:13.710258Z', '2025-02-23T09:11:59.204287Z', '2025-02-23T08:38:48.497487Z', '2025-02-23T07:56:52.097978Z', '2025-02-23T07:39:02.116923Z', '2025-02-23T07:30:11.825503Z', '2025-02-23T06:13:54.233702Z', '2025-02-23T06:13:09.620958Z', '2025-02-23T06:08:23.708478Z', '2025-02-23T06:02:35.131059Z', '2025-02-23T05:31:08.013889Z', '2025-02-23T05:24:40.783566Z', '2025-02-23T04:27:52.690657Z', '2025-02-23T00:57:07.039315Z', '2025-02-22T19:20:50.711505Z', '2025-02-22T19:10:06.818868Z', '2025-02-22T18:48:20.988883Z', '2025-02-22T13:34:47.603266Z', '2025-02-22T13:27:58.505666Z']}"
7210,0xfun,"{'challenge_name': ['Absolutely Encrypted Shenanigans', 'FinalGame?', 'Old Diner', 'The Troll Zone', 'SNOWy Evening', 'Do Not Redeem #1', 'SuperFastAPI', 'Corruption', 'Game 3 - CatSeabank', 'Key Exchange', 'Stego Gambit', 'MMDLX', 'Game 2 - Wait', 'Kings', 'leap_of_faith', 'Restaurant', 'Corporate Life 2', 'Memories Bring Back You', 'Corporate Life 1', 'Look at Me', 'Who am I ??', 'Lost Frequencies', 'Self Destruct', 'Game 1 - Untitled Game', 'Easy Jail 2', 'Easy Jail'], 'challenge_category': ['crypto', 'misc', 'osint', 'pwn', 'misc', 'forensics', 'web', 'forensics', 'rev', 'crypto', 'forensics', 'crypto', 'misc', 'osint', 'pwn', 'forensics', 'web', 'forensics', 'web', 'forensics', 'osint', 'crypto', 'misc', 'rev', 'misc', 'misc'], 'challenge_points': ['477', '432', '411', '452', '205', '319', '100', '100', '479', '384', '480', '454', '195', '458', '463', '152', '261', '100', '137', '304', '100', '100', '347', '100', '100', '100'], 'solve_time': ['2025-02-23T13:45:00.898875Z', '2025-02-23T12:21:23.285900Z', '2025-02-23T12:18:30.673462Z', '2025-02-23T11:47:58.192861Z', '2025-02-23T11:45:30.221236Z', '2025-02-23T11:31:33.311183Z', '2025-02-23T11:25:14.404486Z', '2025-02-23T11:23:36.367159Z', '2025-02-23T11:14:39.387852Z', '2025-02-23T10:23:55.476407Z', '2025-02-23T09:28:54.812677Z', '2025-02-22T23:05:35.844813Z', '2025-02-22T21:54:33.929993Z', '2025-02-22T21:31:51.155804Z', '2025-02-22T21:29:19.305797Z', '2025-02-22T21:23:44.479860Z', '2025-02-22T21:22:05.499173Z', '2025-02-22T21:21:27.844539Z', '2025-02-22T21:20:58.540170Z', '2025-02-22T21:20:32.398392Z', '2025-02-22T21:19:45.001595Z', '2025-02-22T21:18:13.611211Z', '2025-02-22T21:13:01.179962Z', '2025-02-22T21:12:58.645651Z', '2025-02-22T21:12:40.141052Z', '2025-02-22T21:11:08.022998Z']}"
7183,skateboard_xchg,"{'challenge_name': ['Do Not Redeem #4', 'Do Not Redeem #3', 'SNOWy Evening', 'SuperFastAPI', 'Do Not Redeem #2', 'Game 3 - CatSeabank', 'Do Not Redeem #1', 'Random-Inator', 'Key Exchange', 'The Troll Zone', 'Look at Me', 'Restaurant', 'Corporate Life 2', 'Corporate Life 1', 'Self Destruct', 'Game 2 - Wait', 'leap_of_faith', 'Easy Jail 2', 'Absolutely Encrypted Shenanigans', 'Easy Jail', 'Game 1 - Untitled Game', 'Painfully Slow', 'Who am I ??', 'Lost Frequencies'], 'challenge_category': ['forensics', 'forensics', 'misc', 'web', 'forensics', 'rev', 'forensics', 'crypto', 'crypto', 'pwn', 'forensics', 'forensics', 'web', 'web', 'misc', 'misc', 'pwn', 'misc', 'crypto', 'misc', 'rev', 'rev', 'osint', 'crypto'], 'challenge_points': ['500', '499', '205', '100', '434', '479', '319', '476', '384', '452', '304', '152', '261', '137', '347', '195', '463', '100', '477', '100', '100', '499', '100', '100'], 'solve_time': ['2025-02-23T13:58:49.425333Z', '2025-02-23T13:02:33.565842Z', '2025-02-23T11:50:25.212577Z', '2025-02-23T10:02:11.641120Z', '2025-02-23T10:02:01.665775Z', '2025-02-23T09:56:23.500390Z', '2025-02-23T09:51:55.916284Z', '2025-02-23T09:40:42.855150Z', '2025-02-23T09:39:09.747538Z', '2025-02-23T09:19:53.407451Z', '2025-02-23T02:12:14.592397Z', '2025-02-23T00:57:07.035441Z', '2025-02-22T22:50:35.667238Z', '2025-02-22T22:38:30.236656Z', '2025-02-22T19:54:53.597065Z', '2025-02-22T19:28:16.807166Z', '2025-02-22T19:01:56.549288Z', '2025-02-22T18:03:01.860865Z', '2025-02-22T17:38:26.054545Z', '2025-02-22T17:21:50.529103Z', '2025-02-22T15:54:48.284711Z', '2025-02-22T15:45:13.705615Z', '2025-02-22T12:33:27.616855Z', '2025-02-22T12:30:55.339273Z']}"
