points,name,challenge
5420,noreply,"{'challenge_name': ['Alien Interference', 'Shopping Time', 'XOR-Dinary', 'Blog Hunting', 'Liber-Tea Hero', 'Never Ending Crypto: Arcane', 'Haunted Game', 'So Many States', 'Kraken', 'Silly Cloud', 'Simpler Cipher', 'Transmission', 'My First Secret', 'Custom Image Generator', 'Simple Login', 'Mystery Box', 'Security Rocks', 'Files In The Web', 'Bunker', 'Techno Oracle', 'Packet Detective', 'My First Encryption', 'Med Graph', 'Mystery Presentation'], 'challenge_category': ['Miscellaneous', 'Web', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Web', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Forensics', 'Miscellaneous', 'Forensics', 'Cryptography', 'Web', 'Forensics'], 'challenge_points': ['495', '50', '50', '498', '481', '490', '397', '493', '470', '465', '392', '328', '50', '50', '50', '50', '50', '50', '261', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T02:31:21.971622Z', '2025-01-25T19:08:27.354642Z', '2025-01-25T19:02:48.193962Z', '2025-01-25T16:25:24.501375Z', '2025-01-25T16:13:27.907214Z', '2025-01-25T04:05:39.894632Z', '2025-01-25T03:18:15.907147Z', '2025-01-24T22:33:07.611619Z', '2025-01-24T22:27:02.868330Z', '2025-01-24T22:13:13.386105Z', '2025-01-24T21:23:23.313468Z', '2025-01-24T21:09:37.734110Z', '2025-01-24T21:08:30.683092Z', '2025-01-24T21:04:46.915142Z', '2025-01-24T20:40:04.229119Z', '2025-01-24T20:18:18.852858Z', '2025-01-24T20:09:10.888978Z', '2025-01-24T19:54:43.912353Z', '2025-01-24T19:46:44.606583Z', '2025-01-24T19:41:47.424215Z', '2025-01-24T19:27:30.716058Z', '2025-01-24T19:20:08.500131Z', '2025-01-24T19:07:13.324060Z', '2025-01-24T19:03:47.779773Z']}"
5420,The Flat Network Society,"{'challenge_name': ['Blog Hunting', 'Shopping Time', 'Alien Interference', 'XOR-Dinary', 'Liber-Tea Hero', 'Transmission', 'So Many States', 'Files In The Web', 'Bunker', 'Custom Image Generator', 'Security Rocks', 'Haunted Game', 'Techno Oracle', 'Kraken', 'Never Ending Crypto: Arcane', 'Silly Cloud', 'Med Graph', 'My First Secret', 'Simpler Cipher', 'Mystery Presentation', 'Packet Detective', 'Mystery Box', 'Simple Login', 'My First Encryption'], 'challenge_category': ['Miscellaneous', 'Web', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Web', 'Web', 'Cryptography', 'Forensics', 'Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography'], 'challenge_points': ['498', '50', '495', '50', '481', '328', '493', '50', '261', '50', '50', '397', '50', '470', '490', '465', '50', '50', '392', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T12:56:23.212565Z', '2025-01-25T23:25:55.138134Z', '2025-01-25T23:20:48.971885Z', '2025-01-25T20:49:15.835048Z', '2025-01-25T17:47:06.071831Z', '2025-01-25T14:58:29.045558Z', '2025-01-25T14:28:28.366321Z', '2025-01-25T14:12:11.510153Z', '2025-01-25T10:18:24.190119Z', '2025-01-25T06:04:11.050690Z', '2025-01-25T05:04:57.616871Z', '2025-01-25T03:33:09.840023Z', '2025-01-25T02:51:39.165263Z', '2025-01-25T02:28:08.587095Z', '2025-01-25T01:46:33.905522Z', '2025-01-24T22:51:33.315499Z', '2025-01-24T21:35:01.237969Z', '2025-01-24T21:27:23.770362Z', '2025-01-24T20:42:58.797752Z', '2025-01-24T20:01:38.099712Z', '2025-01-24T19:59:33.319548Z', '2025-01-24T19:53:15.080942Z', '2025-01-24T19:51:07.640579Z', '2025-01-24T19:03:04.919811Z']}"
5420,RPISEC,"{'challenge_name': ['Silly Cloud', 'Alien Interference', 'Kraken', 'Never Ending Crypto: Arcane', 'Med Graph', 'Liber-Tea Hero', 'So Many States', 'Bunker', 'Security Rocks', 'Blog Hunting', 'XOR-Dinary', 'Files In The Web', 'Shopping Time', 'Transmission', 'Simpler Cipher', 'Techno Oracle', 'Haunted Game', 'Custom Image Generator', 'Simple Login', 'Mystery Presentation', 'My First Encryption', 'My First Secret', 'Mystery Box', 'Packet Detective'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Web', 'Miscellaneous', 'Miscellaneous', 'Forensics', 'Forensics', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Web', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Web', 'Reverse Engineering', 'Forensics'], 'challenge_points': ['465', '495', '470', '490', '50', '481', '493', '261', '50', '498', '50', '50', '50', '328', '392', '50', '397', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T16:09:51.940243Z', '2025-01-26T05:45:42.251905Z', '2025-01-26T03:35:45.001206Z', '2025-01-26T02:43:41.304824Z', '2025-01-26T01:18:41.056795Z', '2025-01-25T23:32:44.294916Z', '2025-01-25T22:07:17.709866Z', '2025-01-25T21:06:00.792124Z', '2025-01-25T20:50:07.245493Z', '2025-01-25T19:45:37.995572Z', '2025-01-25T19:37:38.213394Z', '2025-01-25T19:33:54.343421Z', '2025-01-25T19:15:50.089311Z', '2025-01-25T14:24:05.164791Z', '2025-01-25T05:36:10.222019Z', '2025-01-25T03:54:22.146533Z', '2025-01-25T03:41:52.877313Z', '2025-01-25T00:21:06.897574Z', '2025-01-25T00:17:32.856337Z', '2025-01-25T00:16:03.760604Z', '2025-01-24T23:40:51.009394Z', '2025-01-24T23:01:34.469173Z', '2025-01-24T22:11:26.322944Z', '2025-01-24T21:35:06.213653Z']}"
4939,SSM,"{'challenge_name': ['So Many States', 'Silly Cloud', 'Blog Hunting', 'Alien Interference', 'Shopping Time', 'XOR-Dinary', 'Haunted Game', 'Transmission', 'Simpler Cipher', 'Never Ending Crypto: Arcane', 'Custom Image Generator', 'Simple Login', 'Kraken', 'Files In The Web', 'Mystery Box', 'Security Rocks', 'Bunker', 'My First Secret', 'My First Encryption', 'Techno Oracle', 'Med Graph', 'Mystery Presentation', 'Packet Detective'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Web', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Forensics', 'Web', 'Cryptography', 'Miscellaneous', 'Web', 'Forensics', 'Forensics'], 'challenge_points': ['493', '465', '498', '495', '50', '50', '397', '328', '392', '490', '50', '50', '470', '50', '50', '50', '261', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T10:45:35.638645Z', '2025-01-26T04:10:52.408635Z', '2025-01-26T02:54:58.145197Z', '2025-01-26T01:13:07.010532Z', '2025-01-25T19:34:51.270335Z', '2025-01-25T19:27:06.957609Z', '2025-01-25T12:54:28.570919Z', '2025-01-25T12:03:09.966870Z', '2025-01-25T10:08:50.367056Z', '2025-01-25T09:04:30.241067Z', '2025-01-25T07:43:27.180789Z', '2025-01-25T05:23:52.560289Z', '2025-01-25T05:05:02.749032Z', '2025-01-25T02:54:59.160514Z', '2025-01-25T02:02:36.482666Z', '2025-01-24T20:10:50.052924Z', '2025-01-24T19:53:02.972815Z', '2025-01-24T19:40:11.654241Z', '2025-01-24T19:39:16.796590Z', '2025-01-24T19:28:14.198324Z', '2025-01-24T19:27:09.117699Z', '2025-01-24T19:05:37.731085Z', '2025-01-24T19:04:19.472136Z']}"
4925,bi0s,"{'challenge_name': ['Blog Hunting', 'Liber-Tea Hero', 'Shopping Time', 'XOR-Dinary', 'Never Ending Crypto: Arcane', 'Simpler Cipher', 'So Many States', 'Silly Cloud', 'Kraken', 'Med Graph', 'Haunted Game', 'Custom Image Generator', 'Files In The Web', 'My First Secret', 'Simple Login', 'Transmission', 'Bunker', 'Security Rocks', 'Techno Oracle', 'Mystery Box', 'My First Encryption', 'Packet Detective', 'Mystery Presentation'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Web', 'Cryptography', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Web', 'Miscellaneous', 'Reverse Engineering', 'Cryptography', 'Web', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Forensics', 'Miscellaneous', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Forensics'], 'challenge_points': ['498', '481', '50', '50', '490', '392', '493', '465', '470', '50', '397', '50', '50', '50', '50', '328', '261', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-25T23:45:35.424644Z', '2025-01-25T22:03:24.175976Z', '2025-01-25T19:53:08.122138Z', '2025-01-25T19:02:28.475138Z', '2025-01-25T16:14:14.207185Z', '2025-01-25T09:26:45.779816Z', '2025-01-25T08:48:42.030528Z', '2025-01-25T00:14:28.039249Z', '2025-01-24T23:17:53.072642Z', '2025-01-24T22:25:12.099088Z', '2025-01-24T21:47:25.261307Z', '2025-01-24T21:00:03.075217Z', '2025-01-24T20:55:38.037076Z', '2025-01-24T20:48:29.742570Z', '2025-01-24T20:16:10.107479Z', '2025-01-24T19:54:17.919381Z', '2025-01-24T19:52:30.214691Z', '2025-01-24T19:29:12.693211Z', '2025-01-24T19:17:59.672895Z', '2025-01-24T19:16:59.500036Z', '2025-01-24T19:06:34.013969Z', '2025-01-24T19:03:44.832495Z', '2025-01-24T19:03:27.783708Z']}"
4922,pancakes,"{'challenge_name': ['Never Ending Crypto: Arcane', 'Liber-Tea Hero', 'Alien Interference', 'Kraken', 'So Many States', 'Shopping Time', 'XOR-Dinary', 'Simpler Cipher', 'Custom Image Generator', 'Simple Login', 'Mystery Box', 'Haunted Game', 'Transmission', 'Files In The Web', 'Security Rocks', 'Bunker', 'Silly Cloud', 'Mystery Presentation', 'Techno Oracle', 'Packet Detective', 'My First Secret', 'My First Encryption', 'Med Graph'], 'challenge_category': ['Cryptography', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Web', 'Cryptography', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Forensics', 'Forensics', 'Miscellaneous', 'Forensics', 'Miscellaneous', 'Forensics', 'Web', 'Cryptography', 'Web'], 'challenge_points': ['490', '481', '495', '470', '493', '50', '50', '392', '50', '50', '50', '397', '328', '50', '50', '261', '465', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T07:08:39.534416Z', '2025-01-26T04:52:41.600546Z', '2025-01-25T23:13:11.267321Z', '2025-01-25T22:50:34.151923Z', '2025-01-25T19:48:11.798701Z', '2025-01-25T19:13:24.367153Z', '2025-01-25T19:04:23.219236Z', '2025-01-25T18:02:45.120875Z', '2025-01-25T03:48:36.373396Z', '2025-01-25T03:07:22.538389Z', '2025-01-25T02:16:17.667520Z', '2025-01-25T01:42:47.077831Z', '2025-01-24T23:36:56.697225Z', '2025-01-24T22:56:42.694673Z', '2025-01-24T22:52:19.557903Z', '2025-01-24T21:18:04.447855Z', '2025-01-24T21:00:35.861929Z', '2025-01-24T20:30:18.884352Z', '2025-01-24T20:05:05.028361Z', '2025-01-24T19:56:02.965337Z', '2025-01-24T19:51:42.428504Z', '2025-01-24T19:21:39.068987Z', '2025-01-24T19:16:08.892361Z']}"
4457,InfoSecIITR,"{'challenge_name': ['Alien Interference', 'Liber-Tea Hero', 'Shopping Time', 'XOR-Dinary', 'Haunted Game', 'So Many States', 'Kraken', 'Never Ending Crypto: Arcane', 'Transmission', 'Techno Oracle', 'Simpler Cipher', 'Bunker', 'Simple Login', 'Security Rocks', 'Files In The Web', 'Custom Image Generator', 'Mystery Box', 'My First Secret', 'Med Graph', 'My First Encryption', 'Packet Detective', 'Mystery Presentation'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Web', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Cryptography', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Web', 'Web', 'Cryptography', 'Forensics', 'Forensics'], 'challenge_points': ['495', '481', '50', '50', '397', '493', '470', '490', '328', '50', '392', '261', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T16:10:32.633617Z', '2025-01-26T12:10:55.415522Z', '2025-01-25T19:18:51.134001Z', '2025-01-25T19:05:10.957679Z', '2025-01-25T18:00:17.941087Z', '2025-01-25T10:50:42.290516Z', '2025-01-25T08:33:43.705016Z', '2025-01-25T08:27:10.049619Z', '2025-01-25T07:48:49.724302Z', '2025-01-25T05:25:23.702081Z', '2025-01-25T05:04:13.118550Z', '2025-01-25T00:41:45.445840Z', '2025-01-24T23:55:13.781680Z', '2025-01-24T22:56:05.843961Z', '2025-01-24T21:32:33.127499Z', '2025-01-24T21:00:10.350551Z', '2025-01-24T20:29:24.629623Z', '2025-01-24T19:55:39.979729Z', '2025-01-24T19:20:08.171004Z', '2025-01-24T19:13:08.823284Z', '2025-01-24T19:06:45.209683Z', '2025-01-24T19:05:11.957029Z']}"
4455,BITSkrieg,"{'challenge_name': ['Blog Hunting', 'Liber-Tea Hero', 'Shopping Time', 'XOR-Dinary', 'Never Ending Crypto: Arcane', 'Bunker', 'Haunted Game', 'So Many States', 'Transmission', 'Silly Cloud', 'Simpler Cipher', 'Security Rocks', 'Simple Login', 'Mystery Box', 'Techno Oracle', 'Files In The Web', 'Med Graph', 'My First Secret', 'Custom Image Generator', 'Mystery Presentation', 'My First Encryption', 'Packet Detective'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Web', 'Cryptography', 'Cryptography', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Miscellaneous', 'Cryptography', 'Web', 'Web', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Forensics'], 'challenge_points': ['498', '481', '50', '50', '490', '261', '397', '493', '328', '465', '392', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T14:44:52.628460Z', '2025-01-26T12:17:59.710638Z', '2025-01-25T20:42:42.332728Z', '2025-01-25T19:14:39.599716Z', '2025-01-25T19:13:35.662253Z', '2025-01-25T12:48:28.785450Z', '2025-01-25T11:12:41.763236Z', '2025-01-25T08:20:11.683718Z', '2025-01-25T05:00:10.903300Z', '2025-01-25T04:51:54.620929Z', '2025-01-25T01:27:44.996957Z', '2025-01-24T23:55:41.726386Z', '2025-01-24T23:04:34.716607Z', '2025-01-24T22:21:10.892443Z', '2025-01-24T20:59:49.311568Z', '2025-01-24T20:49:18.236880Z', '2025-01-24T20:42:10.323493Z', '2025-01-24T20:19:18.254360Z', '2025-01-24T20:02:06.779870Z', '2025-01-24T19:40:36.795421Z', '2025-01-24T19:35:29.170126Z', '2025-01-24T19:27:26.965383Z']}"
3458,Hack@Sec,"{'challenge_name': ['Alien Interference', 'Haunted Game', 'Transmission', 'Shopping Time', 'XOR-Dinary', 'Bunker', 'Techno Oracle', 'Silly Cloud', 'Kraken', 'My First Secret', 'Med Graph', 'Security Rocks', 'Custom Image Generator', 'Mystery Presentation', 'Packet Detective', 'Simpler Cipher', 'Mystery Box', 'Simple Login', 'Files In The Web', 'My First Encryption'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Cryptography', 'Web', 'Cryptography', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Web', 'Web', 'Forensics', 'Reverse Engineering', 'Forensics', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Cryptography'], 'challenge_points': ['495', '397', '328', '50', '50', '261', '50', '465', '470', '50', '50', '50', '50', '50', '50', '392', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T17:49:54.104008Z', '2025-01-25T23:51:46.561022Z', '2025-01-25T21:11:48.644308Z', '2025-01-25T19:38:26.972957Z', '2025-01-25T19:11:24.208005Z', '2025-01-25T13:49:50.263325Z', '2025-01-25T03:12:19.700955Z', '2025-01-25T03:09:49.811178Z', '2025-01-25T01:31:33.198220Z', '2025-01-25T00:25:14.705917Z', '2025-01-24T23:51:12.033771Z', '2025-01-24T22:22:04.123222Z', '2025-01-24T21:21:37.832592Z', '2025-01-24T21:13:38.072188Z', '2025-01-24T21:11:34.437344Z', '2025-01-24T21:02:08.255599Z', '2025-01-24T20:55:29.119538Z', '2025-01-24T20:49:56.215386Z', '2025-01-24T19:40:53.199784Z', '2025-01-24T19:14:06.744575Z']}"
3444,Brunnerne,"{'challenge_name': ['Kraken', 'Simpler Cipher', 'Files In The Web', 'Shopping Time', 'XOR-Dinary', 'Liber-Tea Hero', 'Haunted Game', 'Silly Cloud', 'Transmission', 'Simple Login', 'Bunker', 'Security Rocks', 'Mystery Box', 'Techno Oracle', 'My First Secret', 'Custom Image Generator', 'Med Graph', 'Packet Detective', 'Mystery Presentation', 'My First Encryption'], 'challenge_category': ['Cryptography', 'Cryptography', 'Cryptography', 'Web', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Forensics', 'Reverse Engineering', 'Miscellaneous', 'Web', 'Reverse Engineering', 'Web', 'Forensics', 'Forensics', 'Cryptography'], 'challenge_points': ['470', '392', '50', '50', '50', '481', '397', '465', '328', '50', '261', '50', '50', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-26T17:57:19.002361Z', '2025-01-26T13:54:51.199920Z', '2025-01-25T22:04:43.674866Z', '2025-01-25T21:58:08.696258Z', '2025-01-25T19:02:57.511056Z', '2025-01-25T18:37:05.592124Z', '2025-01-25T13:17:28.940757Z', '2025-01-25T00:08:28.986058Z', '2025-01-24T23:03:15.246368Z', '2025-01-24T21:43:34.225941Z', '2025-01-24T21:34:49.766341Z', '2025-01-24T20:48:53.860341Z', '2025-01-24T20:06:50.865976Z', '2025-01-24T19:57:32.546613Z', '2025-01-24T19:50:45.075791Z', '2025-01-24T19:40:41.330967Z', '2025-01-24T19:29:31.472650Z', '2025-01-24T19:18:03.665154Z', '2025-01-24T19:16:41.108489Z', '2025-01-24T19:03:30.462250Z']}"
