Position,points,name,challenge
1,6409,lydxn,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
2,4824,/mnt/ain,"{'challenge_name': ['Competition feedback form', 'This carries a slight touch of malice', 'Ande Yo Caliente', '""A Gift from the Leader Organizer""', 'Duplicated', 'SLIME MACHINE REVENGE', 'miday_revenge', 'Login Revenge', 'Miday', 'Blog 2', 'Challenge under construction', 'Where is this', 'Beep beep beep!', 'Blog 3', 'BotNet2', 'BotNet1', ""Fishbaby's Library"", 'Filtered', 'Guess the num', 'Blog 1', 'NHNC, but C0LoRfUl', 'Yet Another password checker', 'Kid game', 'Democracy', 'Suspicious GIF', 'Secret ROT13', 'MagicButton', 'AES?', '1 line php', 'Kohiro', ""Here's the sauce"", 'DOF', 'Grading system', '哥布林保衞部公告', 'easyyyyyyyyyy', 'Login', 'I need to get the C00kies', 'EASY METHOD'], 'challenge_category': ['feedback form', 'Forensics', 'Crypto', 'Misc', 'Crypto', 'PWN', 'Web', 'Web', 'Web', 'Misc', 'Forensics', 'Misc', 'Misc', 'Misc', 'Forensics', 'Forensics', 'PWN', 'PWN', 'Reverse', 'Misc', 'Misc', 'Reverse', 'Reverse', 'Web', 'Forensics', 'Crypto', 'Forensics', 'Crypto', 'Web', 'Forensics', 'Reverse', 'PWN', 'PWN', 'Web', 'Reverse', 'Web', 'Web', 'Web'], 'challenge_points': ['30', '110', '60', '1', '255', '400', '350', '300', '200', '20', '40', '20', '40', '50', '80', '60', '300', '200', '200', '30', '39', '300', '300', '350', '20', '40', '10', '20', '300', '20', '100', '100', '100', '30', '50', '100', '100', '100'], 'solve_time': ['2024-11-17T14:11:18.647945Z', '2024-11-17T13:13:35.820575Z', '2024-11-17T12:42:43.056536Z', '2024-11-17T12:29:51.708279Z', '2024-11-17T12:26:32.008903Z', '2024-11-17T10:34:08.971949Z', '2024-11-16T23:18:50.518091Z', '2024-11-16T23:03:58.426857Z', '2024-11-16T17:46:36.499163Z', '2024-11-16T17:02:47.006833Z', '2024-11-16T16:20:19.474478Z', '2024-11-16T15:28:49.635196Z', '2024-11-16T15:16:19.293745Z', '2024-11-16T15:07:14.485965Z', '2024-11-16T15:03:49.530213Z', '2024-11-16T15:01:57.001807Z', '2024-11-16T14:47:03.134405Z', '2024-11-16T14:46:05.814699Z', '2024-11-16T14:44:56.907511Z', '2024-11-16T14:44:43.522782Z', '2024-11-16T14:44:26.656846Z', '2024-11-16T14:44:25.697836Z', '2024-11-16T14:44:17.513389Z', '2024-11-16T13:53:21.880686Z', '2024-11-16T13:45:21.534692Z', '2024-11-16T13:24:48.761108Z', '2024-11-16T13:22:54.501449Z', '2024-11-16T13:22:29.694983Z', '2024-11-16T13:19:37.378888Z', '2024-11-16T13:14:31.716246Z', '2024-11-16T13:14:08.596217Z', '2024-11-16T13:09:27.731368Z', '2024-11-16T13:02:08.300196Z', '2024-11-16T13:00:00.357462Z', '2024-11-16T12:58:22.678185Z', '2024-11-16T12:57:46.768713Z', '2024-11-16T12:57:12.519118Z', '2024-11-16T12:56:40.605636Z']}"
3,4520,catlover,"{'challenge_name': ['Competition feedback form', 'Miday', 'Ande Yo Caliente', '""A Gift from the Leader Organizer""', 'Baby RSA', 'SLIME MACHINE REVENGE REVENGE', 'M0unta1n', 'Beep beep beep!', 'Blog 3', 'Duplicated', 'Guess the num', 'BotNet1', 'Blog 2', ""Here's the sauce"", 'EASY METHOD', 'Suspicious GIF', 'NHNC, but C0LoRfUl', 'SLIME MACHINE REVENGE', '我的腳架在哪裡??', '1 line php', 'Filtered', 'Yet Another password checker', 'Kohiro', 'Democracy', ""Fishbaby's Library"", 'Challenge under construction', 'Blog 1', 'DOF', 'Secret ROT13', 'Where is this', 'Grading system', 'AES?', 'easyyyyyyyyyy', 'I need to get the C00kies', '哥布林保衞部公告', 'Login', 'MagicButton'], 'challenge_category': ['feedback form', 'Web', 'Crypto', 'Misc', 'Crypto', 'PWN', 'Misc', 'Misc', 'Misc', 'Crypto', 'Reverse', 'Forensics', 'Misc', 'Reverse', 'Web', 'Forensics', 'Misc', 'PWN', 'Misc', 'Web', 'PWN', 'Reverse', 'Forensics', 'Web', 'PWN', 'Forensics', 'Misc', 'PWN', 'Crypto', 'Misc', 'PWN', 'Crypto', 'Reverse', 'Web', 'Web', 'Web', 'Forensics'], 'challenge_points': ['30', '200', '60', '1', '40', '425', '350', '40', '50', '255', '200', '60', '20', '100', '100', '20', '39', '400', '20', '300', '200', '300', '20', '350', '300', '40', '30', '100', '40', '20', '100', '20', '50', '100', '30', '100', '10'], 'solve_time': ['2024-11-17T14:15:48.484543Z', '2024-11-17T14:09:33.220250Z', '2024-11-17T13:20:27.658111Z', '2024-11-17T12:35:33.078445Z', '2024-11-17T12:29:05.460760Z', '2024-11-17T12:22:52.949173Z', '2024-11-17T11:47:32.765273Z', '2024-11-17T02:16:42.280671Z', '2024-11-16T10:16:23.813268Z', '2024-11-16T08:38:22.994300Z', '2024-11-16T07:16:01.510900Z', '2024-11-16T07:01:50.867699Z', '2024-11-16T07:00:45.389689Z', '2024-11-16T06:56:57.727340Z', '2024-11-16T06:52:28.118938Z', '2024-11-16T06:43:42.309667Z', '2024-11-16T06:30:35.529459Z', '2024-11-16T06:13:23.936417Z', '2024-11-16T05:19:27.472051Z', '2024-11-16T05:09:28.992700Z', '2024-11-16T04:43:31.599326Z', '2024-11-16T04:06:54.425177Z', '2024-11-16T03:31:47.379685Z', '2024-11-16T03:16:30.229339Z', '2024-11-16T03:07:52.162690Z', '2024-11-16T02:51:14.821886Z', '2024-11-16T02:34:15.512406Z', '2024-11-16T02:33:22.025607Z', '2024-11-16T02:27:32.416948Z', '2024-11-16T02:07:28.770528Z', '2024-11-16T02:01:01.928506Z', '2024-11-16T01:52:55.309214Z', '2024-11-16T01:48:17.088012Z', '2024-11-16T01:40:05.478336Z', '2024-11-16T01:39:40.719845Z', '2024-11-16T01:39:33.956984Z', '2024-11-16T01:39:13.480722Z']}"
4,4395,albert5888,"{'challenge_name': ['Competition feedback form', 'This carries a slight touch of malice', 'Ande Yo Caliente', '""A Gift from the Leader Organizer""', ""Here's the sauce"", 'Blog 3', 'Filtered', 'Guess the num', ""Fishbaby's Library"", 'Yet Another password checker', 'Duplicated', 'Login Revenge', 'miday_revenge_revenge', 'Blog 2', 'Grading system', '我的腳架在哪裡??', 'Secret ROT13', 'BotNet2', 'BotNet1', 'EASY METHOD', 'miday_revenge', 'easyyyyyyyyyy', '1 line php', 'AES?', 'Suspicious GIF', 'Kohiro', 'MagicButton', 'Blog 1', 'NHNC, but C0LoRfUl', 'Where is this', 'Democracy', 'Miday', 'Login', 'I need to get the C00kies', '哥布林保衞部公告', 'Challenge under construction'], 'challenge_category': ['feedback form', 'Forensics', 'Crypto', 'Misc', 'Reverse', 'Misc', 'PWN', 'Reverse', 'PWN', 'Reverse', 'Crypto', 'Web', 'Web', 'Misc', 'PWN', 'Misc', 'Crypto', 'Forensics', 'Forensics', 'Web', 'Web', 'Reverse', 'Web', 'Crypto', 'Forensics', 'Forensics', 'Forensics', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web', 'Forensics'], 'challenge_points': ['30', '110', '60', '1', '100', '50', '200', '200', '300', '300', '255', '300', '400', '20', '100', '20', '40', '80', '60', '100', '350', '50', '300', '20', '20', '20', '10', '30', '39', '20', '350', '200', '100', '100', '30', '40'], 'solve_time': ['2024-11-17T14:12:31.285306Z', '2024-11-17T13:33:05.515033Z', '2024-11-17T13:03:27.373755Z', '2024-11-17T12:58:11.604859Z', '2024-11-17T09:16:26.839364Z', '2024-11-17T07:17:12.214722Z', '2024-11-17T07:01:07.112211Z', '2024-11-17T04:56:13.146243Z', '2024-11-17T03:28:24.596035Z', '2024-11-17T03:24:30.334730Z', '2024-11-17T03:19:37.369074Z', '2024-11-16T18:54:37.778095Z', '2024-11-16T16:58:37.504430Z', '2024-11-16T14:50:41.429048Z', '2024-11-16T12:08:34.363442Z', '2024-11-16T09:04:37.547518Z', '2024-11-16T07:30:23.662023Z', '2024-11-16T07:27:20.684502Z', '2024-11-16T07:08:33.323243Z', '2024-11-16T06:58:27.735919Z', '2024-11-16T06:55:16.385262Z', '2024-11-16T06:36:16.744119Z', '2024-11-16T06:32:37.950193Z', '2024-11-16T06:17:07.337650Z', '2024-11-16T06:14:37.920136Z', '2024-11-16T06:12:27.176080Z', '2024-11-16T06:05:20.756636Z', '2024-11-16T05:55:19.733978Z', '2024-11-16T05:49:30.085790Z', '2024-11-16T05:49:19.825174Z', '2024-11-16T05:48:56.941989Z', '2024-11-16T05:48:48.954272Z', '2024-11-16T05:48:42.323832Z', '2024-11-16T05:48:36.748822Z', '2024-11-16T05:48:31.403302Z', '2024-11-16T05:48:24.778500Z']}"
5,4030,ヾ(•ω•`)o,"{'challenge_name': ['Lion RSA', 'Blog 3', 'Baby RSA', 'SLIME MACHINE REVENGE', 'BotNet2', 'BotNet1', 'Blog 2', 'Miday', 'EASY METHOD', '1 line php', 'Yet Another password checker', 'Challenge under construction', 'Democracy', 'Login Revenge', ""Fishbaby's Library"", 'Kohiro', 'Where is this', 'Filtered', 'Blog 1', 'Suspicious GIF', 'MagicButton', 'Secret ROT13', 'Grading system', 'Guess the num', ""Here's the sauce"", 'easyyyyyyyyyy', 'AES?', 'DOF', 'Login', 'I need to get the C00kies', '哥布林保衞部公告'], 'challenge_category': ['Crypto', 'Misc', 'Crypto', 'PWN', 'Forensics', 'Forensics', 'Misc', 'Web', 'Web', 'Web', 'Reverse', 'Forensics', 'Web', 'Web', 'PWN', 'Forensics', 'Misc', 'PWN', 'Misc', 'Forensics', 'Forensics', 'Crypto', 'PWN', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'PWN', 'Web', 'Web', 'Web'], 'challenge_points': ['350', '50', '40', '400', '80', '60', '20', '200', '100', '300', '300', '40', '350', '300', '300', '20', '20', '200', '30', '20', '10', '40', '100', '200', '100', '50', '20', '100', '100', '100', '30'], 'solve_time': ['2024-11-16T10:05:59.156961Z', '2024-11-16T09:25:13.820488Z', '2024-11-16T09:08:46.392148Z', '2024-11-16T07:50:26.731015Z', '2024-11-16T07:42:18.727374Z', '2024-11-16T07:37:03.797339Z', '2024-11-16T07:30:08.746156Z', '2024-11-16T07:25:51.928594Z', '2024-11-16T07:17:49.419704Z', '2024-11-16T04:56:11.504826Z', '2024-11-16T04:10:46.516741Z', '2024-11-16T03:38:14.001248Z', '2024-11-16T03:36:24.081583Z', '2024-11-16T03:08:58.768210Z', '2024-11-16T02:54:06.982857Z', '2024-11-16T02:50:23.701672Z', '2024-11-16T02:47:45.632663Z', '2024-11-16T02:43:40.448162Z', '2024-11-16T02:42:59.910141Z', '2024-11-16T02:20:23.033458Z', '2024-11-16T02:04:55.158986Z', '2024-11-16T01:58:24.490601Z', '2024-11-16T01:55:03.032958Z', '2024-11-16T01:52:59.357342Z', '2024-11-16T01:50:09.934404Z', '2024-11-16T01:48:33.614227Z', '2024-11-16T01:43:22.446738Z', '2024-11-16T01:39:38.646147Z', '2024-11-16T01:34:44.314057Z', '2024-11-16T01:34:21.170857Z', '2024-11-16T01:33:01.767201Z']}"
6,2915,zero,"{'challenge_name': ['Competition feedback form', 'Kid game', 'Wut iz thizzzzzzz?????', 'Grading system', 'DOF', 'Where is this', '1 line php', 'Democracy', 'Login', 'I need to get the C00kies', 'EASY METHOD', '哥布林保衞部公告', 'Suspicious GIF', 'Kohiro', 'MagicButton', 'Baby RSA', 'Blog 1', 'Duplicated', 'AES?', 'Secret ROT13', 'Yet Another password checker', 'Guess the num', 'easyyyyyyyyyy'], 'challenge_category': ['feedback form', 'Reverse', 'Reverse', 'PWN', 'PWN', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Forensics', 'Forensics', 'Forensics', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Reverse', 'Reverse'], 'challenge_points': ['30', '300', '400', '100', '100', '20', '300', '350', '100', '100', '100', '30', '20', '20', '10', '40', '30', '255', '20', '40', '300', '200', '50'], 'solve_time': ['2024-11-17T14:19:30.940599Z', '2024-11-17T13:53:02.987832Z', '2024-11-17T13:32:53.103046Z', '2024-11-17T06:31:25.450663Z', '2024-11-17T04:30:56.437204Z', '2024-11-17T02:34:16.601750Z', '2024-11-17T02:24:09.856367Z', '2024-11-16T13:29:47.447975Z', '2024-11-16T13:19:03.280774Z', '2024-11-16T11:29:00.893541Z', '2024-11-16T11:17:44.730057Z', '2024-11-16T11:13:02.427758Z', '2024-11-16T10:56:44.199973Z', '2024-11-16T10:49:46.891915Z', '2024-11-16T10:36:48.133898Z', '2024-11-16T09:31:15.821574Z', '2024-11-16T09:10:36.916747Z', '2024-11-16T09:07:01.848340Z', '2024-11-16T08:49:32.971168Z', '2024-11-16T08:48:43.014382Z', '2024-11-16T07:49:04.346789Z', '2024-11-16T07:36:04.192071Z', '2024-11-16T07:12:49.121700Z']}"
7,2895,Robin,"{'challenge_name': ['Competition feedback form', ""Fishbaby's Library"", '""A Gift from the Leader Organizer""', 'POPcorn', 'Duplicated', 'Ande Yo Caliente', 'Baby RSA', 'Guess the num', 'BotNet2', 'BotNet1', 'NHNC, but C0LoRfUl', 'Blog 3', 'Blog 2', 'DOF', 'Grading system', 'EASY METHOD', 'Democracy', '1 line php', 'easyyyyyyyyyy', 'Secret ROT13', 'AES?', 'Where is this', 'Login', 'I need to get the C00kies', '哥布林保衞部公告'], 'challenge_category': ['feedback form', 'PWN', 'Misc', 'Web', 'Crypto', 'Crypto', 'Crypto', 'Reverse', 'Forensics', 'Forensics', 'Misc', 'Misc', 'Misc', 'PWN', 'PWN', 'Web', 'Web', 'Web', 'Reverse', 'Crypto', 'Crypto', 'Misc', 'Web', 'Web', 'Web'], 'challenge_points': ['30', '300', '1', '460', '255', '60', '40', '200', '80', '60', '39', '50', '20', '100', '100', '100', '350', '300', '50', '40', '20', '20', '100', '100', '30'], 'solve_time': ['2024-11-17T14:12:23.740260Z', '2024-11-17T13:37:04.957178Z', '2024-11-17T12:33:17.277965Z', '2024-11-17T12:27:49.003235Z', '2024-11-17T12:01:54.834087Z', '2024-11-17T11:43:16.824102Z', '2024-11-17T03:44:33.743602Z', '2024-11-16T23:30:39.057708Z', '2024-11-16T13:15:46.361889Z', '2024-11-16T13:03:11.743578Z', '2024-11-16T12:47:40.470509Z', '2024-11-16T10:22:49.134338Z', '2024-11-16T10:19:12.877695Z', '2024-11-16T10:04:27.886400Z', '2024-11-16T09:40:12.962337Z', '2024-11-16T06:52:59.588839Z', '2024-11-16T06:06:44.185498Z', '2024-11-16T05:42:20.223170Z', '2024-11-16T03:35:57.399186Z', '2024-11-16T03:05:25.842571Z', '2024-11-16T02:58:43.486578Z', '2024-11-16T02:10:24.430243Z', '2024-11-16T01:33:05.549409Z', '2024-11-16T01:32:34.232847Z', '2024-11-16T01:31:53.975972Z']}"
8,2705,Wade,"{'challenge_name': ['Login', 'I need to get the C00kies', 'EASY METHOD', '哥布林保衞部公告', 'Yet Another password checker', 'welcome', 'Guess the num', ""Here's the sauce"", 'easyyyyyyyyyy', 'SLIME MACHINE REVENGE', 'SLIME MACHINE REVENGE REVENGE', 'DOF', ""Fishbaby's Library"", 'Grading system', 'Filtered'], 'challenge_category': ['Web', 'Web', 'Web', 'Web', 'Reverse', 'PWN', 'Reverse', 'Reverse', 'Reverse', 'PWN', 'PWN', 'PWN', 'PWN', 'PWN', 'PWN'], 'challenge_points': ['100', '100', '100', '30', '300', '200', '200', '100', '50', '400', '425', '100', '300', '100', '200'], 'solve_time': ['2024-11-17T13:35:12.926637Z', '2024-11-17T13:31:36.577299Z', '2024-11-17T13:29:34.595373Z', '2024-11-17T13:28:46.444578Z', '2024-11-17T13:17:52.142621Z', '2024-11-17T12:51:48.244812Z', '2024-11-17T10:39:11.941777Z', '2024-11-17T10:35:26.241885Z', '2024-11-17T10:26:01.418389Z', '2024-11-17T10:23:30.901965Z', '2024-11-17T10:21:55.258538Z', '2024-11-17T01:27:23.891723Z', '2024-11-17T01:02:22.904763Z', '2024-11-17T00:56:31.420039Z', '2024-11-17T00:53:15.287295Z']}"
9,2669,cat_flag,"{'challenge_name': ['Grading system', 'easyyyyyyyyyy', 'Challenge under construction', 'Kohiro', 'MagicButton', 'miday_revenge_revenge', 'miday_revenge', 'Miday', 'Suspicious GIF', 'Baby RSA', 'Secret ROT13', 'AES?', 'Where is this', 'Blog 1', 'NHNC, but C0LoRfUl', 'Blog 2', 'Login Revenge', 'Democracy', '1 line php', 'Login', 'I need to get the C00kies', 'EASY METHOD', '哥布林保衞部公告'], 'challenge_category': ['PWN', 'Reverse', 'Forensics', 'Forensics', 'Forensics', 'Web', 'Web', 'Web', 'Forensics', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web'], 'challenge_points': ['100', '50', '40', '20', '10', '400', '350', '200', '20', '40', '40', '20', '20', '30', '39', '20', '300', '350', '300', '100', '100', '100', '30'], 'solve_time': ['2024-11-17T12:41:59.526591Z', '2024-11-17T12:15:13.358575Z', '2024-11-17T11:52:25.726097Z', '2024-11-17T11:10:04.544102Z', '2024-11-17T11:05:24.234870Z', '2024-11-17T05:46:48.241223Z', '2024-11-17T04:03:33.628973Z', '2024-11-17T03:48:44.916967Z', '2024-11-16T17:32:11.260040Z', '2024-11-16T16:58:36.837496Z', '2024-11-16T16:39:21.323330Z', '2024-11-16T16:32:31.527834Z', '2024-11-16T16:16:46.730849Z', '2024-11-16T15:34:11.003715Z', '2024-11-16T15:23:04.708248Z', '2024-11-16T14:57:31.754943Z', '2024-11-16T11:42:38.303533Z', '2024-11-16T11:00:28.327040Z', '2024-11-16T10:44:22.458348Z', '2024-11-16T10:10:17.942261Z', '2024-11-16T10:07:45.752527Z', '2024-11-16T10:06:29.417381Z', '2024-11-16T10:00:02.913956Z']}"
10,2630,Hazy,"{'challenge_name': ['DOF', 'miday_revenge_revenge', 'miday_revenge', 'Miday', 'Democracy', '1 line php', 'Login', 'I need to get the C00kies', 'EASY METHOD', '哥布林保衞部公告', ""Fishbaby's Library"", 'Filtered', 'Grading system'], 'challenge_category': ['PWN', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'Web', 'PWN', 'PWN', 'PWN'], 'challenge_points': ['100', '400', '350', '200', '350', '300', '100', '100', '100', '30', '300', '200', '100'], 'solve_time': ['2024-11-17T10:59:58.244296Z', '2024-11-17T10:05:38.177896Z', '2024-11-17T08:59:23.655321Z', '2024-11-17T08:54:31.400410Z', '2024-11-17T08:48:38.572356Z', '2024-11-17T08:44:35.059856Z', '2024-11-17T08:40:11.981202Z', '2024-11-17T08:39:53.295672Z', '2024-11-17T08:39:08.388264Z', '2024-11-17T08:38:32.029957Z', '2024-11-17T05:51:36.695477Z', '2024-11-17T05:46:31.303337Z', '2024-11-17T05:45:17.850519Z']}"
