points,name,challenge
9701,slitherman,"{'challenge_name': ['Be_IDol', 'Please Join Our Discord!!!', 'Link Start', 'Gif Tempo', 'Feedback Form', 'Real Chrome', 'Proxy Revenge', '我從來都不覺得算密碼學開心過', 'Fakebook Ultra', 'Fakebook Pro', 'Subdomain Hijacking', 'A Minecraft SOC Mission', 'A_BIG_BUG', 'AES Encryption Oracle', 'Meoware', '2DES', 'BabyStack', 'E4sy SQLi', 'Beautiful World', 'book', 'Globalstack', 'Gateway to the Reverse', 'Chill Checker', 'What_Happened', 'Ave Mujica', 'Classic', 'Very Simple Login', 'calc', 'Give you a free flag', 'Localstack', 'gamble_bad_bad', 'Babyrust', 'BabyJail', 'BabyJail - Revenge', 'babyheap', 'noview'], 'challenge_category': ['Web', 'Welcome', 'Reverse', 'Misc', 'Welcome', 'Reverse', 'Web', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Crypto', 'Reverse', 'Crypto', 'Pwn', 'Web', 'Web', 'Web', 'Pwn', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Crypto', 'Crypto', 'Misc', 'Welcome', 'Pwn', 'Pwn', 'Pwn', 'Misc', 'Misc', 'Pwn', 'Pwn'], 'challenge_points': ['50', '50', '156', '496', '50', '490', '499', '364', '499', '494', '50', '388', '437', '444', '50', '264', '487', '451', '409', '388', '478', '50', '50', '50', '50', '50', '50', '136', '50', '310', '50', '490', '50', '499', '466', '496'], 'solve_time': ['2025-01-16T01:49:08.937792Z', '2025-01-16T01:08:43.519635Z', '2025-01-16T00:43:10.655014Z', '2025-01-16T00:23:25.992038Z', '2025-01-15T23:42:58.082972Z', '2025-01-15T23:30:11.844294Z', '2025-01-15T22:12:04.711025Z', '2025-01-15T10:22:20.311896Z', '2025-01-15T08:51:01.260118Z', '2025-01-15T07:00:50.005827Z', '2025-01-14T18:56:24.098005Z', '2025-01-14T18:51:18.987231Z', '2025-01-14T18:37:06.766937Z', '2025-01-14T17:08:26.648588Z', '2025-01-14T16:51:34.979902Z', '2025-01-14T16:34:22.128890Z', '2025-01-14T08:11:10.712790Z', '2025-01-14T07:15:44.278876Z', '2025-01-14T07:15:40.804313Z', '2025-01-14T06:20:24.204827Z', '2025-01-14T06:05:56.219972Z', '2025-01-14T05:32:15.741812Z', '2025-01-14T05:24:00.257127Z', '2025-01-14T05:09:56.241606Z', '2025-01-14T04:42:50.042366Z', '2025-01-14T04:31:11.805835Z', '2025-01-14T04:23:45.027830Z', '2025-01-14T04:20:22.870623Z', '2025-01-14T04:05:45.484597Z', '2025-01-14T03:27:01.760431Z', '2025-01-14T02:55:43.948658Z', '2025-01-14T02:54:11.336856Z', '2025-01-14T02:10:48.554233Z', '2025-01-14T01:19:51.428204Z', '2025-01-14T00:09:40.251308Z', '2025-01-14T00:03:08.504827Z']}"
9629,aespaw,"{'challenge_name': ['Feedback Form', 'Random Shuffle', 'Random Strangeeeeee Algorithm', 'Random Strange Algorithm', 'AES Encryption Oracle', '我從來都不覺得算密碼學開心過', 'A_BIG_BUG', 'A Minecraft SOC Mission', 'Be_IDol', 'E4sy SQLi', 'Beautiful World', 'book', 'Subdomain Hijacking', 'calc', 'Real Chrome', 'BabyJail', '2DES', 'Very Simple Login', 'Ave Mujica', 'Babyrust', 'Globalstack', 'BabyStack', 'noview', 'Localstack', 'babyheap', 'Local Connect', '窗戶麵包', 'gamble_bad_bad', 'Classic', 'Meoware', 'Gateway to the Reverse', 'Chill Checker', 'Link Start', 'What_Happened', 'Please Join Our Discord!!!', 'Give you a free flag'], 'challenge_category': ['Welcome', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Reverse', 'Misc', 'Crypto', 'Crypto', 'Web', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Reverse', 'Pwn', 'Pwn', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Welcome', 'Welcome'], 'challenge_points': ['50', '487', '487', '482', '444', '364', '437', '388', '50', '451', '409', '388', '50', '136', '490', '50', '264', '50', '50', '490', '478', '487', '496', '310', '466', '493', '466', '50', '50', '50', '50', '50', '156', '50', '50', '50'], 'solve_time': ['2025-01-16T01:05:09.186021Z', '2025-01-15T07:15:58.117268Z', '2025-01-15T06:20:56.506312Z', '2025-01-15T05:38:30.149735Z', '2025-01-15T05:12:19.620271Z', '2025-01-15T02:50:55.209810Z', '2025-01-15T02:08:34.912445Z', '2025-01-14T15:45:44.531791Z', '2025-01-14T15:13:17.379179Z', '2025-01-14T14:51:28.928841Z', '2025-01-14T13:44:25.579942Z', '2025-01-14T13:24:45.377204Z', '2025-01-14T09:15:05.068288Z', '2025-01-14T08:31:09.766881Z', '2025-01-14T08:23:32.688589Z', '2025-01-14T07:21:25.487852Z', '2025-01-14T06:36:57.535739Z', '2025-01-14T05:15:12.072592Z', '2025-01-13T17:10:30.790684Z', '2025-01-13T16:58:12.626066Z', '2025-01-13T16:24:12.466873Z', '2025-01-13T09:36:32.054757Z', '2025-01-13T09:07:11.206219Z', '2025-01-13T08:23:48.616955Z', '2025-01-13T08:09:10.142835Z', '2025-01-13T07:52:54.698590Z', '2025-01-13T06:15:40.879194Z', '2025-01-13T06:04:17.953338Z', '2025-01-13T05:46:37.451747Z', '2025-01-13T05:29:56.612079Z', '2025-01-13T05:26:43.594562Z', '2025-01-13T05:24:46.487246Z', '2025-01-13T05:20:35.513387Z', '2025-01-13T04:39:22.689758Z', '2025-01-13T04:37:26.418741Z', '2025-01-13T04:13:06.769687Z']}"
6089,maple,"{'challenge_name': ['Feedback Form', 'Fakebook Ultra', 'A_BIG_BUG', 'Please Join Our Discord!!!', 'Give you a free flag', 'AES Encryption Oracle', 'book', 'Beautiful World', 'calc', 'BabyJail', 'BabyJail - Revenge', 'Fakebook Pro', 'Proxy Revenge', '2DES', '我從來都不覺得算密碼學開心過', 'Random Strangeeeeee Algorithm', 'Random Strange Algorithm', 'Random Shuffle'], 'challenge_category': ['Welcome', 'Web', 'Misc', 'Welcome', 'Welcome', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto'], 'challenge_points': ['50', '499', '437', '50', '50', '444', '388', '409', '136', '50', '499', '494', '499', '264', '364', '487', '482', '487'], 'solve_time': ['2025-01-15T14:15:59.363792Z', '2025-01-15T08:06:45.668481Z', '2025-01-14T15:41:49.176694Z', '2025-01-14T15:24:05.132489Z', '2025-01-14T15:22:12.172609Z', '2025-01-14T13:37:27.633902Z', '2025-01-14T03:57:49.751399Z', '2025-01-14T03:44:15.474687Z', '2025-01-13T18:52:09.404708Z', '2025-01-13T18:34:02.605664Z', '2025-01-13T18:27:17.013801Z', '2025-01-13T17:25:33.155839Z', '2025-01-13T16:00:25.106889Z', '2025-01-13T11:04:55.150568Z', '2025-01-13T11:00:05.188948Z', '2025-01-13T09:54:33.278140Z', '2025-01-13T09:29:06.948095Z', '2025-01-13T09:14:23.996058Z']}"
5808,rota1001,"{'challenge_name': ['BabyStack', 'Very Simple Login', 'Give you a free flag', 'AES Encryption Oracle', 'Localstack', 'Globalstack', 'Gateway to the Reverse', 'Feedback Form', 'Chill Checker', 'What_Happened', 'Real Chrome', 'Random Strangeeeeee Algorithm', 'Local Connect', 'Link Start', 'Meoware', '窗戶麵包', 'Classic', '2DES', 'Random Strange Algorithm', 'Random Shuffle', '我從來都不覺得算密碼學開心過'], 'challenge_category': ['Pwn', 'Crypto', 'Welcome', 'Crypto', 'Pwn', 'Pwn', 'Reverse', 'Welcome', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Pwn', 'Crypto', 'Crypto', 'Crypto', 'Crypto', 'Crypto'], 'challenge_points': ['487', '50', '50', '444', '310', '478', '50', '50', '50', '50', '490', '487', '493', '156', '50', '466', '50', '264', '482', '487', '364'], 'solve_time': ['2025-01-15T21:38:07.068333Z', '2025-01-15T20:40:24.664531Z', '2025-01-15T20:30:50.583034Z', '2025-01-15T20:19:58.265147Z', '2025-01-15T13:46:16.722062Z', '2025-01-15T12:54:40.164872Z', '2025-01-15T11:30:22.980600Z', '2025-01-15T11:24:31.848389Z', '2025-01-15T11:20:18.584950Z', '2025-01-15T11:04:09.397973Z', '2025-01-15T10:30:37.593370Z', '2025-01-15T08:44:29.737388Z', '2025-01-14T16:17:29.781881Z', '2025-01-14T01:14:02.518448Z', '2025-01-13T23:06:17.173870Z', '2025-01-13T22:13:12.631272Z', '2025-01-13T11:47:43.411878Z', '2025-01-13T11:30:51.805885Z', '2025-01-13T08:48:33.848039Z', '2025-01-13T06:55:58.211782Z', '2025-01-13T05:06:26.332892Z']}"
5182,MyGo!!!!!_Tomorin(Naup),"{'challenge_name': ['Feedback Form', 'Babyrust', 'AES Encryption Oracle', 'Meoware', '我從來都不覺得算密碼學開心過', 'E4sy SQLi', 'Be_IDol', 'calc', '2DES', 'Link Start', 'BabyJail', 'Subdomain Hijacking', 'Gateway to the Reverse', 'BabyStack', 'Chill Checker', 'Classic', 'Very Simple Login', 'Globalstack', 'Localstack', 'What_Happened', '窗戶麵包', 'babyheap', 'Ave Mujica', 'BabyJail(archived)', 'gamble_bad_bad', 'Give you a free flag', 'Please Join Our Discord!!!'], 'challenge_category': ['Welcome', 'Pwn', 'Crypto', 'Reverse', 'Crypto', 'Web', 'Web', 'Misc', 'Crypto', 'Reverse', 'Misc', 'Misc', 'Reverse', 'Pwn', 'Reverse', 'Crypto', 'Crypto', 'Pwn', 'Pwn', 'Reverse', 'Pwn', 'Pwn', 'Web', 'Misc', 'Pwn', 'Welcome', 'Welcome'], 'challenge_points': ['50', '490', '444', '50', '364', '451', '50', '136', '264', '156', '50', '50', '50', '487', '50', '50', '50', '478', '310', '50', '466', '466', '50', '0', '50', '50', '50'], 'solve_time': ['2025-01-15T13:18:01.013604Z', '2025-01-15T12:33:11.833644Z', '2025-01-15T03:49:56.013347Z', '2025-01-14T21:05:01.389056Z', '2025-01-14T16:28:33.876745Z', '2025-01-14T14:29:20.143664Z', '2025-01-14T12:27:32.953857Z', '2025-01-14T02:40:58.559335Z', '2025-01-14T02:11:18.268991Z', '2025-01-14T00:07:30.976410Z', '2025-01-13T21:11:18.066999Z', '2025-01-13T12:42:21.332691Z', '2025-01-13T11:55:10.754431Z', '2025-01-13T11:50:34.057070Z', '2025-01-13T10:08:39.414237Z', '2025-01-13T08:42:39.292292Z', '2025-01-13T08:32:42.412357Z', '2025-01-13T08:19:15.342417Z', '2025-01-13T08:04:36.786643Z', '2025-01-13T05:25:09.903153Z', '2025-01-13T04:52:38.616131Z', '2025-01-13T04:49:29.079682Z', '2025-01-13T02:31:00.406487Z', '2025-01-13T02:16:00.182872Z', '2025-01-13T02:11:53.190116Z', '2025-01-13T02:10:21.639086Z', '2025-01-13T02:00:38.329570Z']}"
4136,yoyonanachi,"{'challenge_name': ['Feedback Form', 'Random Shuffle', 'Gif Tempo', 'Random Strangeeeeee Algorithm', 'AES Encryption Oracle', 'Random Strange Algorithm', 'Localstack', 'Subdomain Hijacking', 'calc', 'BabyJail', 'gamble_bad_bad', '2DES', '我從來都不覺得算密碼學開心過', 'Link Start', 'Meoware', 'Gateway to the Reverse', 'Chill Checker', 'What_Happened', 'Ave Mujica', 'Please Join Our Discord!!!', 'Give you a free flag', 'Classic', 'Very Simple Login'], 'challenge_category': ['Welcome', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Crypto', 'Pwn', 'Misc', 'Misc', 'Misc', 'Pwn', 'Crypto', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Web', 'Welcome', 'Welcome', 'Crypto', 'Crypto'], 'challenge_points': ['50', '487', '496', '487', '444', '482', '310', '50', '136', '50', '50', '264', '364', '156', '50', '50', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-15T21:49:33.541224Z', '2025-01-15T21:38:08.869792Z', '2025-01-15T17:43:46.478940Z', '2025-01-15T17:31:44.068024Z', '2025-01-15T16:11:30.016711Z', '2025-01-15T15:14:57.450603Z', '2025-01-14T19:29:32.089975Z', '2025-01-14T16:57:08.465251Z', '2025-01-14T16:46:05.725218Z', '2025-01-14T12:55:31.388380Z', '2025-01-13T19:39:19.476371Z', '2025-01-13T17:51:39.083584Z', '2025-01-13T17:43:46.781953Z', '2025-01-13T15:42:29.853124Z', '2025-01-13T10:46:58.020368Z', '2025-01-13T10:34:24.176539Z', '2025-01-13T10:14:07.563345Z', '2025-01-13T09:35:24.047340Z', '2025-01-13T09:27:11.848981Z', '2025-01-13T09:12:49.421866Z', '2025-01-13T09:12:12.563228Z', '2025-01-13T09:06:00.317143Z', '2025-01-13T08:42:19.554027Z']}"
4040,FBK so cute!!! (p23),"{'challenge_name': ['Feedback Form', 'Babyrust', 'E4sy SQLi', 'Be_IDol', 'calc', 'BabyJail', '窗戶麵包', 'Link Start', 'Ave Mujica', 'Very Simple Login', 'Meoware', 'BabyStack', 'Chill Checker', 'Gateway to the Reverse', 'Globalstack', 'Localstack', 'Please Join Our Discord!!!', 'What_Happened', 'babyheap', 'gamble_bad_bad', 'Give you a free flag'], 'challenge_category': ['Welcome', 'Pwn', 'Web', 'Web', 'Misc', 'Misc', 'Pwn', 'Reverse', 'Web', 'Crypto', 'Reverse', 'Pwn', 'Reverse', 'Reverse', 'Pwn', 'Pwn', 'Welcome', 'Reverse', 'Pwn', 'Pwn', 'Welcome'], 'challenge_points': ['50', '490', '451', '50', '136', '50', '466', '156', '50', '50', '50', '487', '50', '50', '478', '310', '50', '50', '466', '50', '50'], 'solve_time': ['2025-01-15T12:37:05.700997Z', '2025-01-15T12:08:08.356809Z', '2025-01-14T14:20:32.273600Z', '2025-01-14T12:11:07.293973Z', '2025-01-14T05:02:55.491777Z', '2025-01-13T16:50:59.935554Z', '2025-01-13T15:52:47.056140Z', '2025-01-13T13:10:53.655593Z', '2025-01-13T12:41:07.304051Z', '2025-01-13T11:35:16.513851Z', '2025-01-13T11:24:02.467412Z', '2025-01-13T10:51:47.413244Z', '2025-01-13T09:31:16.423610Z', '2025-01-13T07:49:43.167715Z', '2025-01-13T06:51:22.073491Z', '2025-01-13T06:04:20.543077Z', '2025-01-13T05:35:29.986033Z', '2025-01-13T05:27:54.423518Z', '2025-01-13T04:55:55.983915Z', '2025-01-13T02:06:30.543703Z', '2025-01-13T02:02:46.061422Z']}"
3752,Yuu,"{'challenge_name': ['Very Simple Login', 'Feedback Form', 'Chill Checker', 'What_Happened', 'A Minecraft SOC Mission', 'gamble_bad_bad', 'A_BIG_BUG', 'Subdomain Hijacking', 'calc', 'BabyJail', 'E4sy SQLi', 'Beautiful World', 'book', 'Be_IDol', 'Fakebook Ultra', 'Please Join Our Discord!!!', 'Give you a free flag', 'Fakebook Pro', 'Ave Mujica'], 'challenge_category': ['Crypto', 'Welcome', 'Reverse', 'Reverse', 'Misc', 'Pwn', 'Misc', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web', 'Welcome', 'Welcome', 'Web', 'Web'], 'challenge_points': ['50', '50', '50', '50', '388', '50', '437', '50', '136', '50', '451', '409', '388', '50', '499', '50', '50', '494', '50'], 'solve_time': ['2025-01-15T12:59:35.806766Z', '2025-01-15T12:58:48.438250Z', '2025-01-14T15:44:38.749022Z', '2025-01-14T15:23:20.985096Z', '2025-01-14T09:48:00.235902Z', '2025-01-14T09:35:29.572384Z', '2025-01-14T06:26:34.269492Z', '2025-01-14T06:09:44.127990Z', '2025-01-13T22:30:41.547672Z', '2025-01-13T21:24:48.293858Z', '2025-01-13T20:24:09.689387Z', '2025-01-13T20:10:27.177577Z', '2025-01-13T19:53:33.363794Z', '2025-01-13T19:45:59.835182Z', '2025-01-13T19:19:01.917375Z', '2025-01-13T18:42:39.040494Z', '2025-01-13T18:42:10.062672Z', '2025-01-13T18:40:35.011260Z', '2025-01-13T05:13:13.512137Z']}"
3691,TCFSH69,"{'challenge_name': ['Random Strange Algorithm', 'E4sy SQLi', 'Feedback Form', 'Gif Tempo', 'AES Encryption Oracle', 'Ave Mujica', 'Be_IDol', 'A Minecraft SOC Mission', 'calc', '2DES', '我從來都不覺得算密碼學開心過', 'BabyJail', 'Link Start', 'Gateway to the Reverse', 'Chill Checker', 'What_Happened', 'Meoware', 'Classic', 'Very Simple Login', 'gamble_bad_bad', 'Please Join Our Discord!!!', 'Give you a free flag'], 'challenge_category': ['Crypto', 'Web', 'Welcome', 'Misc', 'Crypto', 'Web', 'Web', 'Misc', 'Misc', 'Crypto', 'Crypto', 'Misc', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Crypto', 'Crypto', 'Pwn', 'Welcome', 'Welcome'], 'challenge_points': ['482', '451', '50', '496', '444', '50', '50', '388', '136', '264', '364', '50', '156', '50', '50', '50', '50', '50', '50', '50', '50', '50'], 'solve_time': ['2025-01-15T21:10:44.212730Z', '2025-01-15T16:33:42.619407Z', '2025-01-15T09:29:17.624558Z', '2025-01-15T07:42:32.339949Z', '2025-01-14T22:30:54.895214Z', '2025-01-14T21:13:14.687039Z', '2025-01-14T21:01:00.545894Z', '2025-01-14T19:41:39.147068Z', '2025-01-14T16:40:52.368918Z', '2025-01-14T16:08:04.389480Z', '2025-01-14T15:42:33.983966Z', '2025-01-13T16:35:58.993365Z', '2025-01-13T15:55:57.060669Z', '2025-01-13T14:51:49.022953Z', '2025-01-13T14:29:50.052165Z', '2025-01-13T14:17:30.187356Z', '2025-01-13T14:03:08.198686Z', '2025-01-13T09:30:39.262054Z', '2025-01-13T09:22:58.798322Z', '2025-01-13T09:14:11.984447Z', '2025-01-13T09:09:43.810927Z', '2025-01-13T07:58:21.668847Z']}"
3520,tchen,"{'challenge_name': ['A_BIG_BUG', 'Classic', 'Feedback Form', 'Very Simple Login', 'Link Start', 'Meoware', 'Gateway to the Reverse', 'Chill Checker', 'What_Happened', 'BabyJail - Revenge', 'calc', 'BabyJail', 'Fakebook Pro', 'E4sy SQLi', 'Beautiful World', 'book', 'Ave Mujica', 'Give you a free flag', 'Please Join Our Discord!!!'], 'challenge_category': ['Misc', 'Crypto', 'Welcome', 'Crypto', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Reverse', 'Misc', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Web', 'Web', 'Welcome', 'Welcome'], 'challenge_points': ['437', '50', '50', '50', '156', '50', '50', '50', '50', '499', '136', '50', '494', '451', '409', '388', '50', '50', '50'], 'solve_time': ['2025-01-15T22:15:01.753943Z', '2025-01-15T21:19:09.314936Z', '2025-01-15T21:07:16.289113Z', '2025-01-15T21:05:18.402508Z', '2025-01-15T20:53:14.893063Z', '2025-01-15T20:33:58.543877Z', '2025-01-15T20:06:10.394109Z', '2025-01-15T19:51:48.013778Z', '2025-01-15T19:38:41.556526Z', '2025-01-15T19:13:28.305879Z', '2025-01-15T18:55:30.270642Z', '2025-01-15T18:30:51.595965Z', '2025-01-15T16:55:10.609301Z', '2025-01-15T13:13:33.957206Z', '2025-01-15T12:48:43.077484Z', '2025-01-15T11:14:56.681749Z', '2025-01-15T10:59:27.052471Z', '2025-01-15T10:51:10.768522Z', '2025-01-15T10:50:42.657197Z']}"
