points,name,challenge
9597,TCP1P x SNI x MAGER,"{'challenge_name': ['Javascript is Easy', 'Tot Musica', 'The Brothers Exchange', 'Nusantara Fortune Pool', 'backdoored_kernel', 'CJNE', 'Java Box', 'P2PWannabe', 'Python is Hard', 'CJFC', 'PDF Box', 'Mipsssh', 'exchange-1', 'Intro to ETH', 'prepare the tools', 'Sleeper', 'Tempus', 'Example Box', 'AESaaS', 'Persona', 'Stone Game', 'Welcome'], 'challenge_category': ['Rev', 'Web', 'Blockchain', 'Blockchain', 'Pwn', 'Rev', 'Web', 'Forensic', 'Rev', 'Rev', 'Web', 'Pwn', 'Crypto', 'Blockchain', 'Forensic', 'Forensic', 'Crypto', 'Web', 'Crypto', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['500', '500', '500', '500', '500', '500', '499', '500', '499', '500', '500', '500', '500', '244', '176', '500', '500', '495', '500', '484', '100', '100'], 'solve_time': ['2024-10-28T01:11:02.788161Z', '2024-10-27T16:46:58.309492Z', '2024-10-27T15:12:32.455583Z', '2024-10-27T12:41:08.911461Z', '2024-10-27T11:46:43.896346Z', '2024-10-27T10:45:48.895208Z', '2024-10-27T09:27:00.717544Z', '2024-10-27T09:11:08.824915Z', '2024-10-27T08:53:30.883358Z', '2024-10-27T08:35:14.811098Z', '2024-10-27T07:52:19.474514Z', '2024-10-27T07:51:31.911286Z', '2024-10-27T07:33:22.023254Z', '2024-10-27T06:34:47.037361Z', '2024-10-27T06:05:56.012801Z', '2024-10-27T04:40:09.271608Z', '2024-10-27T04:21:58.122790Z', '2024-10-27T03:51:28.708132Z', '2024-10-27T03:14:03.037483Z', '2024-10-27T02:48:20.822676Z', '2024-10-27T02:14:47.175235Z', '2024-10-27T02:00:34.643700Z']}"
5597,swusjask fans club,"{'challenge_name': ['Java Box', 'The Brothers Exchange', 'Nusantara Fortune Pool', 'P2PWannabe', 'backdoored_kernel', 'Python is Hard', 'Mipsssh', 'Sleeper', 'prepare the tools', 'Intro to ETH', 'Example Box', 'Persona', 'Stone Game', 'Welcome'], 'challenge_category': ['Web', 'Blockchain', 'Blockchain', 'Forensic', 'Pwn', 'Rev', 'Pwn', 'Forensic', 'Forensic', 'Blockchain', 'Web', 'Misc', 'Misc', 'Misc'], 'challenge_points': ['499', '500', '500', '500', '500', '499', '500', '500', '176', '244', '495', '484', '100', '100'], 'solve_time': ['2024-10-28T01:13:24.458486Z', '2024-10-27T19:31:29.257739Z', '2024-10-27T18:00:11.662595Z', '2024-10-27T13:05:19.361344Z', '2024-10-27T10:50:02.303581Z', '2024-10-27T10:44:27.710792Z', '2024-10-27T08:49:24.045846Z', '2024-10-27T08:41:03.394473Z', '2024-10-27T06:15:06.132331Z', '2024-10-27T06:12:49.949813Z', '2024-10-27T04:59:46.799321Z', '2024-10-27T03:29:37.671795Z', '2024-10-27T02:25:10.673164Z', '2024-10-27T02:00:58.742643Z']}"
2119,lydxn,"{'challenge_name': ['Chemistry Lab', 'Restricted', 'prepare the tools', 'Intro to ETH', 'Python is Hard', 'Stone Game', 'Welcome'], 'challenge_category': ['Crypto', 'Misc', 'Forensic', 'Blockchain', 'Rev', 'Misc', 'Misc'], 'challenge_points': ['500', '500', '176', '244', '499', '100', '100'], 'solve_time': ['2024-10-28T00:39:09.059426Z', '2024-10-27T13:03:34.169844Z', '2024-10-27T09:20:23.529213Z', '2024-10-27T08:42:03.152466Z', '2024-10-27T08:03:58.947388Z', '2024-10-27T05:40:41.429397Z', '2024-10-27T05:13:21.763153Z']}"
1603,cunguk,"{'challenge_name': ['Persona', 'Python is Hard', 'prepare the tools', 'Intro to ETH', 'Stone Game', 'Welcome'], 'challenge_category': ['Misc', 'Rev', 'Forensic', 'Blockchain', 'Misc', 'Misc'], 'challenge_points': ['484', '499', '176', '244', '100', '100'], 'solve_time': ['2024-10-27T17:40:14.296459Z', '2024-10-27T16:09:47.213502Z', '2024-10-27T10:34:12.743941Z', '2024-10-27T09:45:09.863367Z', '2024-10-27T05:52:40.550566Z', '2024-10-27T03:33:36.449706Z']}"
1599,אלוף,"{'challenge_name': ['Intro to ETH', 'prepare the tools', 'Persona', 'Example Box', 'Stone Game', 'Welcome'], 'challenge_category': ['Blockchain', 'Forensic', 'Misc', 'Web', 'Misc', 'Misc'], 'challenge_points': ['244', '176', '484', '495', '100', '100'], 'solve_time': ['2024-10-27T08:25:32.032288Z', '2024-10-27T07:34:57.665557Z', '2024-10-27T06:08:28.053477Z', '2024-10-27T05:37:11.376778Z', '2024-10-27T03:54:21.866022Z', '2024-10-27T02:05:41.809718Z']}"
1120,Pengen Solved Soal PWN,"{'challenge_name': ['CJFC', 'Intro to ETH', 'prepare the tools', 'Welcome', 'Stone Game'], 'challenge_category': ['Rev', 'Blockchain', 'Forensic', 'Misc', 'Misc'], 'challenge_points': ['500', '244', '176', '100', '100'], 'solve_time': ['2024-10-27T12:01:01.188092Z', '2024-10-27T09:42:26.014740Z', '2024-10-27T07:36:14.170363Z', '2024-10-27T03:23:06.602039Z', '2024-10-27T02:59:01.486884Z']}"
1119,PETIR - Hihihiha,"{'challenge_name': ['prepare the tools', 'Stone Game', 'Intro to ETH', 'Java Box', 'Welcome'], 'challenge_category': ['Forensic', 'Misc', 'Blockchain', 'Web', 'Misc'], 'challenge_points': ['176', '100', '244', '499', '100'], 'solve_time': ['2024-10-27T19:04:19.860994Z', '2024-10-27T18:02:57.652723Z', '2024-10-27T17:50:06.897290Z', '2024-10-27T17:44:32.381109Z', '2024-10-27T17:43:19.919757Z']}"
1104,kentanggoreng,"{'challenge_name': ['Intro to ETH', 'Persona', 'prepare the tools', 'Stone Game', 'Welcome'], 'challenge_category': ['Blockchain', 'Misc', 'Forensic', 'Misc', 'Misc'], 'challenge_points': ['244', '484', '176', '100', '100'], 'solve_time': ['2024-10-27T09:22:34.465837Z', '2024-10-27T08:14:30.971434Z', '2024-10-27T07:38:10.573895Z', '2024-10-27T02:42:39.085807Z', '2024-10-27T02:01:48.500765Z']}"
1104,Ekstrak Daun Mengkudu sebagai Solusi Naiknya Tingkat Depresi pada Mahasiswa Komputer,"{'challenge_name': ['Persona', 'Intro to ETH', 'prepare the tools', 'Stone Game', 'Welcome'], 'challenge_category': ['Misc', 'Blockchain', 'Forensic', 'Misc', 'Misc'], 'challenge_points': ['484', '244', '176', '100', '100'], 'solve_time': ['2024-10-27T10:05:12.802797Z', '2024-10-27T08:51:35.840293Z', '2024-10-27T06:44:48.090150Z', '2024-10-27T02:16:39.799688Z', '2024-10-27T02:03:49.999896Z']}"
1104,Panitia,"{'challenge_name': ['Persona', 'Intro to ETH', 'prepare the tools', 'Stone Game', 'Welcome'], 'challenge_category': ['Misc', 'Blockchain', 'Forensic', 'Misc', 'Misc'], 'challenge_points': ['484', '244', '176', '100', '100'], 'solve_time': ['2024-10-27T13:07:09.895083Z', '2024-10-27T12:03:24.337427Z', '2024-10-27T10:00:35.218965Z', '2024-10-27T02:36:05.299762Z', '2024-10-27T02:05:18.334496Z']}"
