points,name,challenge
9808,noreply,"{'challenge_name': ['the most wanted lagomorph', 'Insanity Check', 'BrokenCode', 'Alice n Bob in Wonderland', 'AutoBots Unite!', 'RSA Bummer', 'The Sonnets Secret', 'Noob RSA Returns', 'Reversing Mishap', 'Seed Fund 💰', 'Get into my Cute Small Planner', 'Praise Our RNG Gods', 'ViruS Camp 2', 'ViruS Camp 1', 'Loginator', 'Baby Rev', 'Baby DFIR', 'The Ghosting Protocol', 'Orchids in Orchards', 'Minesweeper 2', 'Symphonies', 'Baby Web', 'Finders Keepers', 'HotPause', 'Old Skool', 'Sanity Check', '%ulation', 'Baby Crypto', 'Biscuits', 'Baby PWN'], 'challenge_category': ['Crypto', 'Welcome', 'Web', 'Crypto', 'Forensics', 'Crypto', 'OSINT', 'Crypto', 'Reverse Engineering', 'Misc', 'Web', 'Reverse Engineering', 'DFIR', 'DFIR', 'Reverse Engineering', 'Reverse Engineering', 'DFIR', 'Misc', 'Misc', 'Crypto', 'Forensics', 'Web', 'Forensics', 'OSINT', 'Hardware', 'Welcome', 'Hardware', 'Crypto', 'PWN', 'PWN'], 'challenge_points': ['500', '500', '499', '500', '495', '499', '431', '498', '500', '494', '497', '436', '198', '97', '50', '50', '50', '486', '500', '480', '498', '304', '108', '50', '431', '50', '366', '50', '50', '141'], 'solve_time': ['2025-02-09T11:08:53.720371Z', '2025-02-09T09:54:47.806676Z', '2025-02-09T09:10:33.386929Z', '2025-02-09T05:31:31.639744Z', '2025-02-09T05:30:51.052882Z', '2025-02-09T01:43:09.937347Z', '2025-02-09T00:39:29.786209Z', '2025-02-08T21:35:19.730356Z', '2025-02-08T17:54:39.972132Z', '2025-02-08T17:38:07.368217Z', '2025-02-08T15:01:23.376847Z', '2025-02-08T12:57:12.812350Z', '2025-02-08T12:42:19.821251Z', '2025-02-08T12:41:48.127580Z', '2025-02-08T12:18:12.969806Z', '2025-02-08T12:09:33.968250Z', '2025-02-08T12:03:40.584022Z', '2025-02-07T21:46:42.038162Z', '2025-02-07T21:19:03.295849Z', '2025-02-07T21:11:30.420939Z', '2025-02-07T20:06:03.749324Z', '2025-02-07T20:02:16.336798Z', '2025-02-07T18:42:26.447337Z', '2025-02-07T17:34:20.727848Z', '2025-02-07T17:29:32.106736Z', '2025-02-07T13:44:10.917789Z', '2025-02-07T13:42:14.406366Z', '2025-02-07T13:05:12.609630Z', '2025-02-07T12:52:40.427436Z', '2025-02-07T12:46:12.146650Z']}"
9308,Cryptonite,"{'challenge_name': ['Symphonies', 'Reversing Mishap', 'Insanity Check', 'Mail me, pick me, choose me!!!!', 'RSA Bummer', 'AutoBots Unite!', 'Noob RSA Returns', 'Seed Fund 💰', 'the most wanted lagomorph', 'Minesweeper 2', 'Baby Web', 'The Ghosting Protocol', 'The Sonnets Secret', 'ViruS Camp 2', 'ViruS Camp 1', 'Appreciation of Art', 'Praise Our RNG Gods', 'To The Moon', 'Loginator', 'Baby Rev', 'Baby DFIR', 'Old Skool', 'Finders Keepers', 'HotPause', '%ulation', 'Biscuits', 'Baby PWN', 'Baby Crypto', 'Sanity Check'], 'challenge_category': ['Forensics', 'Reverse Engineering', 'Welcome', 'OSINT', 'Crypto', 'Forensics', 'Crypto', 'Misc', 'Crypto', 'Crypto', 'Web', 'Misc', 'OSINT', 'DFIR', 'DFIR', 'Reverse Engineering', 'Reverse Engineering', 'Hardware', 'Reverse Engineering', 'Reverse Engineering', 'DFIR', 'Hardware', 'Forensics', 'OSINT', 'Hardware', 'PWN', 'PWN', 'Crypto', 'Welcome'], 'challenge_points': ['498', '500', '500', '497', '499', '495', '498', '494', '500', '480', '304', '486', '431', '198', '97', '500', '436', '499', '50', '50', '50', '431', '108', '50', '366', '50', '141', '50', '50'], 'solve_time': ['2025-02-09T11:33:38.895118Z', '2025-02-09T10:09:52.024492Z', '2025-02-09T10:02:40.375305Z', '2025-02-09T09:35:31.281059Z', '2025-02-09T07:12:19.609711Z', '2025-02-09T05:43:28.836873Z', '2025-02-09T04:35:16.652491Z', '2025-02-08T20:46:45.179708Z', '2025-02-08T19:13:33.302054Z', '2025-02-08T18:51:10.222470Z', '2025-02-08T17:33:59.866521Z', '2025-02-08T14:50:23.835697Z', '2025-02-08T14:28:19.386062Z', '2025-02-08T14:10:35.782140Z', '2025-02-08T14:10:00.152468Z', '2025-02-08T13:36:43.082473Z', '2025-02-08T13:21:49.038380Z', '2025-02-08T12:59:43.899647Z', '2025-02-08T12:55:29.452606Z', '2025-02-08T12:28:41.024399Z', '2025-02-08T12:28:01.598119Z', '2025-02-07T17:19:04.427370Z', '2025-02-07T13:50:11.934554Z', '2025-02-07T12:55:52.879929Z', '2025-02-07T12:54:37.532107Z', '2025-02-07T12:49:07.813606Z', '2025-02-07T12:30:39.366402Z', '2025-02-07T12:17:58.345763Z', '2025-02-07T12:02:05.527292Z']}"
8310,World Wide Flags,"{'challenge_name': ['To The Moon', 'Alice n Bob in Wonderland', 'Mail me, pick me, choose me!!!!', 'Praise Our RNG Gods', 'the most wanted lagomorph', 'Orchids in Orchards', 'The Sonnets Secret', 'Seed Fund 💰', 'RSA Bummer', 'Noob RSA Returns', 'Loginator', 'ViruS Camp 2', 'ViruS Camp 1', 'Baby Rev', 'Baby DFIR', 'Minesweeper 2', 'Old Skool', '%ulation', 'HotPause', 'AutoBots Unite!', 'The Ghosting Protocol', 'Baby Web', 'Biscuits', 'Baby PWN', 'Finders Keepers', 'Sanity Check', 'Baby Crypto'], 'challenge_category': ['Hardware', 'Crypto', 'OSINT', 'Reverse Engineering', 'Crypto', 'Misc', 'OSINT', 'Misc', 'Crypto', 'Crypto', 'Reverse Engineering', 'DFIR', 'DFIR', 'Reverse Engineering', 'DFIR', 'Crypto', 'Hardware', 'Hardware', 'OSINT', 'Forensics', 'Misc', 'Web', 'PWN', 'PWN', 'Forensics', 'Welcome', 'Crypto'], 'challenge_points': ['499', '500', '497', '436', '500', '500', '431', '494', '499', '498', '50', '198', '97', '50', '50', '480', '431', '366', '50', '495', '486', '304', '50', '141', '108', '50', '50'], 'solve_time': ['2025-02-09T11:01:48.761503Z', '2025-02-09T10:23:45.520328Z', '2025-02-09T10:14:32.714608Z', '2025-02-08T23:40:52.003799Z', '2025-02-08T20:55:16.221918Z', '2025-02-08T19:49:47.547372Z', '2025-02-08T15:42:25.847108Z', '2025-02-08T15:15:03.465058Z', '2025-02-08T15:04:56.167959Z', '2025-02-08T14:26:25.046196Z', '2025-02-08T12:36:56.851736Z', '2025-02-08T12:35:08.755488Z', '2025-02-08T12:31:51.690183Z', '2025-02-08T12:22:29.502185Z', '2025-02-08T12:07:02.860991Z', '2025-02-08T11:56:17.700573Z', '2025-02-08T10:08:15.087164Z', '2025-02-08T09:15:43.532507Z', '2025-02-08T04:18:22.379646Z', '2025-02-07T19:46:39.285232Z', '2025-02-07T15:57:32.791559Z', '2025-02-07T14:34:59.486832Z', '2025-02-07T13:55:01.860972Z', '2025-02-07T13:54:24.595319Z', '2025-02-07T13:40:49.223091Z', '2025-02-07T12:44:47.659689Z', '2025-02-07T12:05:57.830454Z']}"
7808,QnQSec,"{'challenge_name': ['Mail me, pick me, choose me!!!!', 'BrokenCode', 'Seed Fund 💰', 'Reversing Mishap', 'The Sonnets Secret', 'Old Skool', 'Minesweeper 2', 'Noob RSA Returns', 'ViruS Camp 2', 'ViruS Camp 1', 'Praise Our RNG Gods', 'RSA Bummer', 'Loginator', 'Baby Rev', 'Baby DFIR', 'AutoBots Unite!', '%ulation', 'Symphonies', 'The Ghosting Protocol', 'HotPause', 'Finders Keepers', 'Baby PWN', 'Biscuits', 'Baby Web', 'Baby Crypto', 'Sanity Check'], 'challenge_category': ['OSINT', 'Web', 'Misc', 'Reverse Engineering', 'OSINT', 'Hardware', 'Crypto', 'Crypto', 'DFIR', 'DFIR', 'Reverse Engineering', 'Crypto', 'Reverse Engineering', 'Reverse Engineering', 'DFIR', 'Forensics', 'Hardware', 'Forensics', 'Misc', 'OSINT', 'Forensics', 'PWN', 'PWN', 'Web', 'Crypto', 'Welcome'], 'challenge_points': ['497', '499', '494', '500', '431', '431', '480', '498', '198', '97', '436', '499', '50', '50', '50', '495', '366', '498', '486', '50', '108', '141', '50', '304', '50', '50'], 'solve_time': ['2025-02-09T07:36:39.406733Z', '2025-02-09T07:16:07.722250Z', '2025-02-09T02:30:27.791970Z', '2025-02-09T01:11:49.740775Z', '2025-02-09T00:00:24.626704Z', '2025-02-08T22:32:02.402954Z', '2025-02-08T20:23:32.329136Z', '2025-02-08T15:42:20.845388Z', '2025-02-08T15:40:15.592009Z', '2025-02-08T15:34:38.984820Z', '2025-02-08T14:44:42.191666Z', '2025-02-08T14:37:16.166828Z', '2025-02-08T14:00:03.628410Z', '2025-02-08T13:31:37.219871Z', '2025-02-08T12:27:21.231826Z', '2025-02-08T10:16:04.665687Z', '2025-02-08T02:49:25.002861Z', '2025-02-07T23:08:02.718511Z', '2025-02-07T22:47:44.958178Z', '2025-02-07T16:04:34.423205Z', '2025-02-07T15:00:44.043743Z', '2025-02-07T12:35:02.090233Z', '2025-02-07T12:25:24.132393Z', '2025-02-07T12:17:53.677117Z', '2025-02-07T12:16:59.079651Z', '2025-02-07T12:02:09.284080Z']}"
5652,S1uM4i,"{'challenge_name': ['Insanity Check', 'Praise Our RNG Gods', 'ViruS Camp 2', 'Alice n Bob in Wonderland', 'ViruS Camp 1', 'Baby DFIR', 'Loginator', 'Baby Rev', 'Noob RSA Returns', 'RSA Bummer', 'Symphonies', 'The Ghosting Protocol', 'Finders Keepers', 'HotPause', 'Baby PWN', '%ulation', 'Minesweeper 2', 'AutoBots Unite!', 'Biscuits', 'Baby Crypto', 'Sanity Check'], 'challenge_category': ['Welcome', 'Reverse Engineering', 'DFIR', 'Crypto', 'DFIR', 'DFIR', 'Reverse Engineering', 'Reverse Engineering', 'Crypto', 'Crypto', 'Forensics', 'Misc', 'Forensics', 'OSINT', 'PWN', 'Hardware', 'Crypto', 'Forensics', 'PWN', 'Crypto', 'Welcome'], 'challenge_points': ['500', '436', '198', '500', '97', '50', '50', '50', '498', '499', '498', '486', '108', '50', '141', '366', '480', '495', '50', '50', '50'], 'solve_time': ['2025-02-09T11:46:05.249005Z', '2025-02-09T11:10:51.646304Z', '2025-02-09T09:50:40.500003Z', '2025-02-09T09:49:25.181784Z', '2025-02-09T09:39:01.419101Z', '2025-02-09T01:54:52.271631Z', '2025-02-08T17:57:55.227154Z', '2025-02-08T17:40:04.931341Z', '2025-02-08T15:06:51.360340Z', '2025-02-08T14:58:35.119272Z', '2025-02-08T03:36:28.551180Z', '2025-02-08T02:59:59.876345Z', '2025-02-07T14:37:43.747827Z', '2025-02-07T14:32:50.228393Z', '2025-02-07T14:30:22.045946Z', '2025-02-07T14:06:53.052725Z', '2025-02-07T13:45:02.108176Z', '2025-02-07T13:31:26.175266Z', '2025-02-07T13:30:32.440904Z', '2025-02-07T12:23:09.644691Z', '2025-02-07T12:19:17.106874Z']}"
5529,bi0s,"{'challenge_name': ['The Ghosting Protocol', 'AutoBots Unite!', 'BrokenCode', 'Mail me, pick me, choose me!!!!', 'Insanity Check', '%ulation', 'Seed Fund 💰', 'The Sonnets Secret', 'Praise Our RNG Gods', 'Loginator', 'Baby Rev', 'ViruS Camp 2', 'ViruS Camp 1', 'Baby DFIR', 'Old Skool', 'HotPause', 'Baby PWN', 'Finders Keepers', 'Biscuits', 'Baby Crypto', 'Sanity Check'], 'challenge_category': ['Misc', 'Forensics', 'Web', 'OSINT', 'Welcome', 'Hardware', 'Misc', 'OSINT', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'DFIR', 'DFIR', 'DFIR', 'Hardware', 'OSINT', 'PWN', 'Forensics', 'PWN', 'Crypto', 'Welcome'], 'challenge_points': ['486', '495', '499', '497', '500', '366', '494', '431', '436', '50', '50', '198', '97', '50', '431', '50', '141', '108', '50', '50', '50'], 'solve_time': ['2025-02-09T11:49:25.378015Z', '2025-02-09T11:41:38.704584Z', '2025-02-09T10:53:34.394558Z', '2025-02-09T09:51:51.754965Z', '2025-02-08T21:04:29.900283Z', '2025-02-08T19:44:42.310458Z', '2025-02-08T14:28:05.508979Z', '2025-02-08T14:15:45.756307Z', '2025-02-08T13:53:07.171556Z', '2025-02-08T13:38:03.286392Z', '2025-02-08T12:44:03.017094Z', '2025-02-08T12:42:33.475704Z', '2025-02-08T12:41:46.967578Z', '2025-02-08T12:02:11.487072Z', '2025-02-08T04:22:19.160056Z', '2025-02-07T13:42:40.415453Z', '2025-02-07T12:56:26.336157Z', '2025-02-07T12:20:07.355758Z', '2025-02-07T12:13:32.692439Z', '2025-02-07T12:08:00.579578Z', '2025-02-07T12:02:25.763636Z']}"
5404,g1P03n,"{'challenge_name': ['Reversing Mishap', 'ViruS Camp 2', 'ViruS Camp 1', 'Baby DFIR', 'Praise Our RNG Gods', 'Appreciation of Art', 'Loginator', 'Baby Rev', 'Baby Web', 'the most wanted lagomorph', 'Minesweeper 2', 'AutoBots Unite!', 'HotPause', 'Old Skool', '%ulation', 'Symphonies', 'Finders Keepers', 'Biscuits', 'Baby Crypto', 'Baby PWN', 'Sanity Check'], 'challenge_category': ['Reverse Engineering', 'DFIR', 'DFIR', 'DFIR', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Reverse Engineering', 'Web', 'Crypto', 'Crypto', 'Forensics', 'OSINT', 'Hardware', 'Hardware', 'Forensics', 'Forensics', 'PWN', 'Crypto', 'PWN', 'Welcome'], 'challenge_points': ['500', '198', '97', '50', '436', '500', '50', '50', '304', '500', '480', '495', '50', '431', '366', '498', '108', '50', '50', '141', '50'], 'solve_time': ['2025-02-08T17:21:54.438662Z', '2025-02-08T16:04:17.460128Z', '2025-02-08T16:03:16.548346Z', '2025-02-08T13:50:22.551200Z', '2025-02-08T13:45:34.924970Z', '2025-02-08T13:08:02.480611Z', '2025-02-08T12:51:06.762183Z', '2025-02-08T12:19:24.968588Z', '2025-02-08T04:06:09.923263Z', '2025-02-08T03:11:09.238802Z', '2025-02-07T18:26:04.509376Z', '2025-02-07T16:35:44.360128Z', '2025-02-07T16:01:46.488235Z', '2025-02-07T14:52:56.309052Z', '2025-02-07T14:39:43.262438Z', '2025-02-07T14:03:23.898836Z', '2025-02-07T13:02:28.164321Z', '2025-02-07T12:20:29.385808Z', '2025-02-07T12:14:23.320679Z', '2025-02-07T12:13:15.387456Z', '2025-02-07T12:02:30.350504Z']}"
5351,MindCrafters,"{'challenge_name': ['Noob RSA Returns', 'The Sonnets Secret', 'Get into my Cute Small Planner', 'Seed Fund 💰', 'Praise Our RNG Gods', 'ViruS Camp 2', 'ViruS Camp 1', 'Appreciation of Art', 'Loginator', 'Baby DFIR', 'Baby Rev', 'the most wanted lagomorph', '%ulation', 'Baby Web', 'Biscuits', 'Old Skool', 'HotPause', 'Finders Keepers', 'Baby PWN', 'Baby Crypto', 'Sanity Check'], 'challenge_category': ['Crypto', 'OSINT', 'Web', 'Misc', 'Reverse Engineering', 'DFIR', 'DFIR', 'Reverse Engineering', 'Reverse Engineering', 'DFIR', 'Reverse Engineering', 'Crypto', 'Hardware', 'Web', 'PWN', 'Hardware', 'OSINT', 'Forensics', 'PWN', 'Crypto', 'Welcome'], 'challenge_points': ['498', '431', '497', '494', '436', '198', '97', '500', '50', '50', '50', '500', '366', '304', '50', '431', '50', '108', '141', '50', '50'], 'solve_time': ['2025-02-09T11:08:25.662268Z', '2025-02-09T08:28:26.886233Z', '2025-02-09T01:06:34.074948Z', '2025-02-08T21:48:12.386280Z', '2025-02-08T14:29:52.775532Z', '2025-02-08T13:51:14.655887Z', '2025-02-08T13:51:03.505102Z', '2025-02-08T12:37:28.182074Z', '2025-02-08T12:34:03.188217Z', '2025-02-08T12:17:59.411377Z', '2025-02-08T12:13:07.492528Z', '2025-02-08T02:49:48.006703Z', '2025-02-07T21:37:59.098708Z', '2025-02-07T17:33:04.066686Z', '2025-02-07T14:38:34.143904Z', '2025-02-07T14:32:26.259875Z', '2025-02-07T14:14:07.295729Z', '2025-02-07T12:42:41.738659Z', '2025-02-07T12:29:00.644633Z', '2025-02-07T12:23:09.270516Z', '2025-02-07T12:01:59.235836Z']}"
5174,placeholders,"{'challenge_name': ['AutoBots Unite!', 'Seed Fund 💰', 'Minesweeper 2', 'Loginator', 'ViruS Camp 2', 'Praise Our RNG Gods', 'ViruS Camp 1', 'Baby Rev', 'Baby DFIR', 'Symphonies', 'The Sonnets Secret', 'The Ghosting Protocol', 'Finders Keepers', 'Biscuits', 'Baby Web', '%ulation', 'Baby Crypto', 'HotPause', 'Old Skool', 'Sanity Check'], 'challenge_category': ['Forensics', 'Misc', 'Crypto', 'Reverse Engineering', 'DFIR', 'Reverse Engineering', 'DFIR', 'Reverse Engineering', 'DFIR', 'Forensics', 'OSINT', 'Misc', 'Forensics', 'PWN', 'Web', 'Hardware', 'Crypto', 'OSINT', 'Hardware', 'Welcome'], 'challenge_points': ['495', '494', '480', '50', '198', '436', '97', '50', '50', '498', '431', '486', '108', '50', '304', '366', '50', '50', '431', '50'], 'solve_time': ['2025-02-09T10:49:20.787500Z', '2025-02-08T21:54:24.069730Z', '2025-02-08T16:27:37.790585Z', '2025-02-08T15:14:13.237257Z', '2025-02-08T15:05:26.505118Z', '2025-02-08T14:53:18.262209Z', '2025-02-08T14:52:15.076002Z', '2025-02-08T13:32:12.056816Z', '2025-02-08T12:49:26.372248Z', '2025-02-08T12:47:34.211531Z', '2025-02-08T12:24:23.738223Z', '2025-02-08T06:26:49.640637Z', '2025-02-08T05:31:51.344830Z', '2025-02-07T22:11:52.587267Z', '2025-02-07T18:45:17.153888Z', '2025-02-07T16:38:45.550746Z', '2025-02-07T16:05:19.569280Z', '2025-02-07T14:47:08.555132Z', '2025-02-07T13:19:51.828244Z', '2025-02-07T12:01:56.095159Z']}"
5106,RumbleInTheJungle,"{'challenge_name': ['Praise Our RNG Gods', 'Insanity Check', 'Appreciation of Art', 'The Ghosting Protocol', 'Reversing Mishap', '%ulation', 'Loginator', 'ViruS Camp 2', 'ViruS Camp 1', 'The Sonnets Secret', 'Baby Rev', 'Baby DFIR', 'HotPause', 'Baby Crypto', 'Biscuits', 'Baby PWN', 'AutoBots Unite!', 'Finders Keepers', 'Symphonies', 'Sanity Check'], 'challenge_category': ['Reverse Engineering', 'Welcome', 'Reverse Engineering', 'Misc', 'Reverse Engineering', 'Hardware', 'Reverse Engineering', 'DFIR', 'DFIR', 'OSINT', 'Reverse Engineering', 'DFIR', 'OSINT', 'Crypto', 'PWN', 'PWN', 'Forensics', 'Forensics', 'Forensics', 'Welcome'], 'challenge_points': ['436', '500', '500', '486', '500', '366', '50', '198', '97', '431', '50', '50', '50', '50', '50', '141', '495', '108', '498', '50'], 'solve_time': ['2025-02-09T10:59:04.954259Z', '2025-02-09T10:09:11.821451Z', '2025-02-08T21:15:33.200219Z', '2025-02-08T14:43:31.256984Z', '2025-02-08T14:32:41.535323Z', '2025-02-08T13:42:58.968417Z', '2025-02-08T13:08:43.498163Z', '2025-02-08T12:53:13.473688Z', '2025-02-08T12:22:19.101003Z', '2025-02-08T12:20:54.399789Z', '2025-02-08T12:12:32.386460Z', '2025-02-08T12:11:45.148268Z', '2025-02-08T10:31:10.232524Z', '2025-02-07T21:54:10.840936Z', '2025-02-07T21:44:13.992969Z', '2025-02-07T21:13:06.806307Z', '2025-02-07T21:05:46.760559Z', '2025-02-07T20:24:40.418895Z', '2025-02-07T20:23:30.741341Z', '2025-02-07T12:01:52.818839Z']}"
