Position,points,name,challenge
1,5740,5h1kh4r,"{'challenge_name': ['Clocking In?', 'Local', 'Log-ical - Part 4', 'UrchinPirates 4', 'UrchinPirates 3', 'UrchinPirates 2', 'UrchinPirates 1', ""Let's Vibe"", 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Panel', 'Notee', 'Pyrison', 'Tr3ppl3 Stuffs', 'Shifty Business', 'Log-ical - Part 3', 'ABC Phonics', 'Drift', 'bonD', 'Box', 'Log-ical - Part 2', 'Ugomvi', 'Syringe', 'RedHand', '10 Round', 'Open Letter', 'Follow Us', 'Log-ical - Part 1', 'Heart', 'Welcome to UrchinSec', 'WarmUp', 'Destination'], 'challenge_category': ['OSINT', 'Web Security', 'Forensics', 'OSINT', 'OSINT', 'OSINT', 'OSINT', 'Reverse Engineering', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Reverse Engineering', 'Web Security', 'Web Security', 'Cryptography', 'Cryptography', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Cryptography', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Forensics', 'Forensics', 'OSINT', 'Forensics', 'Secure Code Reviewing', 'Miscellaneous ', 'Cryptography', 'Cryptography'], 'challenge_points': ['300', '100', '100', '100', '100', '100', '300', '100', '100', '100', '100', '100', '300', '300', '500', '300', '100', '300', '100', '300', '100', '100', '300', '100', '100', '100', '100', '300', '100', '100', '100', '100', '300', '100'], 'solve_time': ['2024-10-27T14:19:05.869517Z', '2024-10-27T10:12:11.968492Z', '2024-10-27T09:55:32.020883Z', '2024-10-27T09:10:15.530200Z', '2024-10-27T09:08:47.275937Z', '2024-10-27T09:06:41.061217Z', '2024-10-27T09:00:45.598591Z', '2024-10-27T08:44:01.338830Z', '2024-10-27T08:20:51.482430Z', '2024-10-27T08:20:05.774504Z', '2024-10-27T08:19:45.543341Z', '2024-10-27T08:15:27.020632Z', '2024-10-27T07:39:18.337200Z', '2024-10-27T05:27:09.005944Z', '2024-10-27T04:57:55.569179Z', '2024-10-27T04:36:47.586972Z', '2024-10-27T04:21:36.938118Z', '2024-10-26T16:36:42.196511Z', '2024-10-26T14:57:15.431897Z', '2024-10-26T12:27:30.455124Z', '2024-10-26T12:16:42.366198Z', '2024-10-26T11:49:50.764124Z', '2024-10-26T11:47:13.823366Z', '2024-10-26T09:01:35.644147Z', '2024-10-26T08:41:11.099248Z', '2024-10-26T08:38:50.011491Z', '2024-10-26T08:11:04.234375Z', '2024-10-26T07:51:26.642018Z', '2024-10-26T07:42:17.353596Z', '2024-10-26T07:24:03.244669Z', '2024-10-26T07:16:50.033144Z', '2024-10-26T07:14:20.027408Z', '2024-10-26T07:11:20.951248Z', '2024-10-26T07:06:03.728669Z']}"
2,5200,0x1337,"{'challenge_name': ['Local', 'bonD', 'ABC Phonics', 'Log-ical - Part 4', 'Panel', 'Tr3ppl3 Stuffs', 'Shifty Business', 'Pytholator', 'Log-ical - Part 3', 'Notee', ""Let's Vibe"", 'Box', 'Drift', 'Follow Us', '10 Round', 'Log-ical - Part 2', 'RedHand', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Ugomvi', 'WarmUp', 'Pyrison', 'Log-ical - Part 1', 'Open Letter', 'Destination', 'Syringe', 'Heart', 'Welcome to UrchinSec'], 'challenge_category': ['Web Security', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Web Security', 'Forensics', 'Web Security', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'OSINT', 'Forensics', 'Forensics', 'Secure Code Reviewing', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Cryptography', 'Cryptography', 'Web Security', 'Forensics', 'Forensics', 'Cryptography', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Miscellaneous '], 'challenge_points': ['100', '100', '100', '100', '300', '300', '100', '300', '300', '300', '100', '100', '300', '100', '100', '300', '100', '100', '100', '100', '100', '100', '300', '500', '100', '300', '100', '100', '100', '100'], 'solve_time': ['2024-10-27T17:02:51.196457Z', '2024-10-27T08:50:25.322629Z', '2024-10-27T05:02:45.438646Z', '2024-10-27T04:16:58.213562Z', '2024-10-26T21:15:23.601285Z', '2024-10-26T19:47:48.075038Z', '2024-10-26T19:35:42.846095Z', '2024-10-26T15:28:51.437758Z', '2024-10-26T14:57:47.910503Z', '2024-10-26T14:09:59.713013Z', '2024-10-26T12:29:17.050428Z', '2024-10-26T12:14:58.970790Z', '2024-10-26T11:52:52.376255Z', '2024-10-26T11:18:15.026833Z', '2024-10-26T11:06:15.157741Z', '2024-10-26T10:34:20.206741Z', '2024-10-26T10:14:13.645335Z', '2024-10-26T10:12:35.468174Z', '2024-10-26T10:08:30.401691Z', '2024-10-26T10:06:51.434941Z', '2024-10-26T09:56:16.098867Z', '2024-10-26T09:30:54.627705Z', '2024-10-26T09:13:05.372219Z', '2024-10-26T09:07:56.792094Z', '2024-10-26T08:34:09.996290Z', '2024-10-26T08:29:15.631815Z', '2024-10-26T06:49:07.459659Z', '2024-10-26T06:46:52.207117Z', '2024-10-26T06:44:13.176643Z', '2024-10-26T06:40:11.114774Z']}"
3,4690,##,"{'challenge_name': ['Tr3ppl3 Stuffs', 'bonD', 'Log-ical - Part 4', 'Panel', 'Notee', 'Shifty Business', 'Log-ical - Part 3', 'Log-ical - Part 2', ""Let's Vibe"", 'Drift', 'Box', '10 Round', 'Follow Us', 'Pyrison', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Welcome to UrchinSec', 'Syringe', 'Evil Park 1', 'RedHand', 'Heart', 'Ugomvi', 'Open Letter', 'Log-ical - Part 1', 'WarmUp', 'Destination'], 'challenge_category': ['Cryptography', 'Reverse Engineering', 'Forensics', 'Reverse Engineering', 'Web Security', 'Cryptography', 'Forensics', 'Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Forensics', 'OSINT', 'Web Security', 'Forensics', 'Forensics', 'Forensics', 'Miscellaneous ', 'Secure Code Reviewing', 'Forensics', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Cryptography', 'Forensics', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['300', '100', '100', '300', '300', '100', '300', '300', '100', '300', '100', '100', '100', '500', '100', '100', '100', '100', '100', '100', '100', '100', '100', '300', '100', '300', '100'], 'solve_time': ['2024-10-27T13:47:58.384005Z', '2024-10-27T10:09:43.694142Z', '2024-10-27T09:25:27.546591Z', '2024-10-26T21:16:06.169601Z', '2024-10-26T20:23:12.198204Z', '2024-10-26T18:45:26.096418Z', '2024-10-26T14:56:33.610888Z', '2024-10-26T14:33:16.853673Z', '2024-10-26T13:04:18.248802Z', '2024-10-26T13:00:44.077782Z', '2024-10-26T12:36:13.363819Z', '2024-10-26T12:07:56.191047Z', '2024-10-26T11:32:25.625499Z', '2024-10-26T10:38:28.631900Z', '2024-10-26T10:33:02.113495Z', '2024-10-26T10:32:42.410856Z', '2024-10-26T10:30:46.466261Z', '2024-10-26T10:05:59.291496Z', '2024-10-26T10:03:32.386451Z', '2024-10-26T10:01:49.815211Z', '2024-10-26T09:59:19.847868Z', '2024-10-26T09:55:29.638943Z', '2024-10-26T09:46:27.082999Z', '2024-10-26T09:44:57.044843Z', '2024-10-26T09:41:11.204749Z', '2024-10-26T09:11:12.746637Z', '2024-10-26T08:57:44.225050Z']}"
4,3750,proflamyt,"{'challenge_name': ['Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', '10 Round', 'Log-ical - Part 1', 'Ugomvi', 'bonD', 'Destination', 'Box', 'RedHand', 'Panel', 'Shifty Business', 'Heart', 'Tr3ppl3 Stuffs', 'Open Letter', 'Drift', 'Notee', ""Let's Vibe"", 'WarmUp', 'Syringe', 'Pyrison'], 'challenge_category': ['Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Secure Code Reviewing', 'Reverse Engineering', 'Cryptography', 'Secure Code Reviewing', 'Cryptography', 'Forensics', 'Reverse Engineering', 'Web Security', 'Reverse Engineering', 'Cryptography', 'Secure Code Reviewing', 'Web Security'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '100', '300', '100', '100', '300', '300', '300', '300', '100', '300', '100', '500'], 'solve_time': ['2024-10-27T00:53:12.151853Z', '2024-10-27T00:52:14.228965Z', '2024-10-27T00:45:43.090658Z', '2024-10-27T00:41:09.833016Z', '2024-10-27T00:25:59.496234Z', '2024-10-26T23:59:09.525560Z', '2024-10-26T23:18:13.027312Z', '2024-10-26T22:47:05.259771Z', '2024-10-26T22:42:32.725171Z', '2024-10-26T22:41:26.341537Z', '2024-10-26T22:13:11.119805Z', '2024-10-26T21:14:12.588507Z', '2024-10-26T20:59:37.866195Z', '2024-10-26T20:25:46.213404Z', '2024-10-26T20:24:23.035160Z', '2024-10-26T16:54:30.566532Z', '2024-10-26T16:46:15.218956Z', '2024-10-26T16:02:21.463103Z', '2024-10-26T12:49:57.629430Z', '2024-10-26T12:38:26.679635Z', '2024-10-26T10:40:50.906605Z', '2024-10-26T10:38:15.127872Z']}"
5,3300,Tinonymous,"{'challenge_name': ['Log-ical - Part 3', 'Panel', 'Tr3ppl3 Stuffs', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Shifty Business', 'Log-ical - Part 2', 'Ugomvi', 'Box', 'Follow Us', 'Welcome to UrchinSec', 'Open Letter', 'Heart', 'Syringe', 'RedHand', 'Log-ical - Part 1', 'WarmUp', '10 Round', 'Destination'], 'challenge_category': ['Forensics', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Cryptography', 'Forensics', 'Cryptography', 'Cryptography', 'OSINT', 'Miscellaneous ', 'Forensics', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Forensics', 'Cryptography', 'Forensics', 'Cryptography'], 'challenge_points': ['300', '300', '300', '100', '100', '100', '100', '100', '300', '100', '100', '100', '100', '300', '100', '100', '100', '100', '300', '100', '100'], 'solve_time': ['2024-10-27T18:52:59.809904Z', '2024-10-27T16:03:28.475316Z', '2024-10-27T07:24:31.673053Z', '2024-10-27T05:49:35.395025Z', '2024-10-27T05:46:19.520782Z', '2024-10-27T05:39:12.422037Z', '2024-10-27T05:20:23.557644Z', '2024-10-26T18:41:55.608305Z', '2024-10-26T16:18:41.574761Z', '2024-10-26T11:57:57.479693Z', '2024-10-26T11:51:01.605061Z', '2024-10-26T09:41:45.406855Z', '2024-10-26T09:04:28.031427Z', '2024-10-26T08:40:06.288238Z', '2024-10-26T08:30:29.842869Z', '2024-10-26T08:27:40.314500Z', '2024-10-26T08:19:18.657010Z', '2024-10-26T07:29:57.284643Z', '2024-10-26T06:57:04.237865Z', '2024-10-26T06:31:38.981638Z', '2024-10-26T06:12:36.212217Z']}"
6,3200,0xRar,"{'challenge_name': ['Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Drift', 'bonD', 'Open Letter', 'Ugomvi', '10 Round', 'Box', 'ABC Phonics', 'Notee', 'Log-ical - Part 4', 'Log-ical - Part 3', 'Log-ical - Part 2', 'Log-ical - Part 1', 'Local', 'Destination', 'Syringe', 'RedHand', 'Heart', 'Follow Us', 'Welcome to UrchinSec'], 'challenge_category': ['Forensics', 'Forensics', 'Forensics', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Forensics', 'Cryptography', 'Cryptography', 'Web Security', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Web Security', 'Cryptography', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Secure Code Reviewing', 'OSINT', 'Miscellaneous '], 'challenge_points': ['100', '100', '100', '300', '100', '300', '100', '100', '100', '100', '300', '100', '300', '300', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-10-27T12:01:39.611923Z', '2024-10-27T12:00:02.497601Z', '2024-10-27T11:33:46.668932Z', '2024-10-27T00:14:45.186264Z', '2024-10-26T21:32:22.593284Z', '2024-10-26T20:33:59.028181Z', '2024-10-26T18:48:20.101110Z', '2024-10-26T16:49:29.874523Z', '2024-10-26T15:12:52.455487Z', '2024-10-26T15:05:28.689203Z', '2024-10-26T14:42:15.346185Z', '2024-10-26T13:36:24.071695Z', '2024-10-26T12:42:32.654576Z', '2024-10-26T11:36:54.987362Z', '2024-10-26T10:39:09.785101Z', '2024-10-26T09:36:36.744965Z', '2024-10-26T08:34:10.768871Z', '2024-10-26T08:20:33.566700Z', '2024-10-26T08:15:15.711766Z', '2024-10-26T08:03:28.945054Z', '2024-10-26T07:45:44.567310Z', '2024-10-26T07:43:30.309179Z']}"
7,3100,Mmmh...,"{'challenge_name': ['Box', 'Tr3ppl3 Stuffs', 'Shifty Business', 'Notee', 'Local', 'WarmUp', 'Log-ical - Part 4', 'Log-ical - Part 3', 'Open Letter', 'RedHand', 'Log-ical - Part 2', 'Log-ical - Part 1', '10 Round', 'Follow Us', 'Welcome to UrchinSec', 'Syringe', 'Heart', 'Ugomvi', 'Destination'], 'challenge_category': ['Cryptography', 'Cryptography', 'Cryptography', 'Web Security', 'Web Security', 'Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Secure Code Reviewing', 'Forensics', 'Forensics', 'Forensics', 'OSINT', 'Miscellaneous ', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Cryptography', 'Cryptography'], 'challenge_points': ['100', '300', '100', '300', '100', '300', '100', '300', '300', '100', '300', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-10-27T07:11:25.890562Z', '2024-10-27T06:49:25.957051Z', '2024-10-26T22:40:09.253437Z', '2024-10-26T22:24:59.021835Z', '2024-10-26T17:14:40.345458Z', '2024-10-26T13:08:30.636490Z', '2024-10-26T12:52:57.123147Z', '2024-10-26T11:56:09.747782Z', '2024-10-26T11:32:41.527909Z', '2024-10-26T11:28:03.168979Z', '2024-10-26T10:53:39.872348Z', '2024-10-26T08:56:58.083961Z', '2024-10-26T08:47:04.102447Z', '2024-10-26T08:08:59.208288Z', '2024-10-26T08:06:24.298520Z', '2024-10-26T07:38:44.208125Z', '2024-10-26T07:34:41.008151Z', '2024-10-26T07:10:30.896717Z', '2024-10-26T06:11:08.572417Z']}"
8,3100,Prowler  🎭,"{'challenge_name': [""Let's Vibe"", '10 Round', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Panel', 'Shifty Business', 'Tr3ppl3 Stuffs', 'Open Letter', 'Heart', 'Syringe', 'RedHand', 'Log-ical - Part 2', 'Box', 'Log-ical - Part 1', 'Follow Us', 'Welcome to UrchinSec', 'WarmUp', 'Destination', 'Ugomvi'], 'challenge_category': ['Reverse Engineering', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Forensics', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Forensics', 'Cryptography', 'Forensics', 'OSINT', 'Miscellaneous ', 'Cryptography', 'Cryptography', 'Cryptography'], 'challenge_points': ['100', '100', '100', '100', '100', '100', '300', '100', '300', '300', '100', '100', '100', '300', '100', '100', '100', '100', '300', '100', '100'], 'solve_time': ['2024-10-27T18:58:05.876555Z', '2024-10-27T10:21:15.986571Z', '2024-10-27T10:00:46.889402Z', '2024-10-27T09:59:34.251090Z', '2024-10-27T09:57:51.613256Z', '2024-10-27T09:56:30.968655Z', '2024-10-27T00:10:54.680950Z', '2024-10-26T20:39:11.552355Z', '2024-10-26T20:31:57.300443Z', '2024-10-26T16:24:35.230388Z', '2024-10-26T14:53:26.359399Z', '2024-10-26T14:50:29.314837Z', '2024-10-26T14:46:23.382465Z', '2024-10-26T12:49:27.544252Z', '2024-10-26T12:20:53.921095Z', '2024-10-26T12:02:47.661608Z', '2024-10-26T11:46:49.276137Z', '2024-10-26T11:39:48.818403Z', '2024-10-26T06:21:56.745407Z', '2024-10-26T06:16:42.905128Z', '2024-10-26T06:15:19.044783Z']}"
9,3090,D4rkS3c,"{'challenge_name': ['Tr3ppl3 Stuffs', '10 Round', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Log-ical - Part 2', 'Panel', 'Open Letter', 'Shifty Business', ""Let's Vibe"", 'Log-ical - Part 1', 'Follow Us', 'Welcome to UrchinSec', 'WarmUp', 'Ugomvi', 'Box', 'Destination', 'Syringe', 'RedHand', 'Heart'], 'challenge_category': ['Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Reverse Engineering', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Forensics', 'OSINT', 'Miscellaneous ', 'Cryptography', 'Cryptography', 'Cryptography', 'Cryptography', 'Secure Code Reviewing', 'Secure Code Reviewing', 'Secure Code Reviewing'], 'challenge_points': ['300', '100', '100', '100', '100', '100', '300', '300', '300', '100', '100', '100', '100', '100', '300', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-10-27T13:48:15.769323Z', '2024-10-27T11:13:38.415491Z', '2024-10-27T11:02:44.123615Z', '2024-10-27T11:00:44.642180Z', '2024-10-27T10:59:48.703225Z', '2024-10-27T10:57:59.765276Z', '2024-10-27T10:38:33.699843Z', '2024-10-26T22:42:09.895817Z', '2024-10-26T22:24:34.912080Z', '2024-10-26T22:15:37.348897Z', '2024-10-26T16:04:27.715853Z', '2024-10-26T14:23:32.871239Z', '2024-10-26T14:15:25.844550Z', '2024-10-26T14:12:00.823343Z', '2024-10-26T14:10:28.250596Z', '2024-10-26T14:06:19.464669Z', '2024-10-26T14:01:44.551824Z', '2024-10-26T14:00:35.455989Z', '2024-10-26T13:58:44.021081Z', '2024-10-26T13:57:47.604560Z', '2024-10-26T13:54:45.939109Z']}"
10,3000,Bangis,"{'challenge_name': ['Shifty Business', 'Log-ical - Part 3', 'bonD', 'Pyrison', '10 Round', 'Log-ical - Part 2', 'Box', 'Evil Park 4', 'Evil Park 3', 'Evil Park 2', 'Evil Park 1', 'Open Letter', 'Ugomvi', 'RedHand', 'Destination', 'Log-ical - Part 1', 'Follow Us', 'Welcome to UrchinSec', 'Syringe', 'Heart'], 'challenge_category': ['Cryptography', 'Forensics', 'Reverse Engineering', 'Web Security', 'Forensics', 'Forensics', 'Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Cryptography', 'Secure Code Reviewing', 'Cryptography', 'Forensics', 'OSINT', 'Miscellaneous ', 'Secure Code Reviewing', 'Secure Code Reviewing'], 'challenge_points': ['100', '300', '100', '500', '100', '300', '100', '100', '100', '100', '100', '300', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2024-10-27T17:26:25.486183Z', '2024-10-27T17:10:37.631525Z', '2024-10-27T11:48:28.689543Z', '2024-10-27T10:51:57.163095Z', '2024-10-26T23:06:15.146125Z', '2024-10-26T19:57:08.845726Z', '2024-10-26T17:12:23.719235Z', '2024-10-26T15:59:31.759558Z', '2024-10-26T15:57:42.914750Z', '2024-10-26T15:55:11.502613Z', '2024-10-26T15:48:14.587886Z', '2024-10-26T11:58:24.060510Z', '2024-10-26T10:03:52.569565Z', '2024-10-26T09:45:22.471988Z', '2024-10-26T09:12:41.357332Z', '2024-10-26T08:26:16.585073Z', '2024-10-26T07:25:24.417167Z', '2024-10-26T07:14:36.610826Z', '2024-10-26T06:44:18.207526Z', '2024-10-26T06:39:01.648495Z']}"
