points,name,challenge
12792,infobahn,"{'challenge_name': ['Bloatware', 'Minecraft Safe', 'Feedback', 'Hash Table As a Service', '1337 v4ul7', 'Prepared: Flag 2', 'Smol JS', 'Encrypted Flag', 'Counting Sort', 'My Second App', 'Py_FlagChecker', 'Shuffler', 'Out of the Container', 'Racing 2', 'Simple Signing', 'Timeless', 'Enchanted Oracle', 'Walk in the Forest', 'Highly Optimized', ""Don't Sandbox Python 3: barebones"", ""Don't Sandbox Python 2: simple"", 'Decrypt Me', 'Racing', 'Surgery', 'Prepared: Flag 1', 'CodeDB', 'Prismatic Blogs', ""Don't Sandbox Python 1: n-day?"", 'Funny Cipher', 'Echo', 'Book Editor', 'POOF', 'Scavenger Hunt', 'Model Assembly Line', 'Math Test', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Rev', 'Forensics', 'Misc', 'Pwn', 'Web', 'Web', 'Jail', 'Rev', 'Pwn', 'Web', 'Rev', 'Crypto', 'Misc', 'Misc', 'Misc', 'Web', 'Crypto', 'Misc', 'Rev', 'Jail', 'Jail', 'Forensics', 'Misc', 'Misc', 'Web', 'Web', 'Web', 'Jail', 'Crypto', 'Pwn', 'Pwn', 'Forensics', 'Web', 'Misc', 'Misc', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['494', '500', '0', '493', '495', '499', '499', '496', '477', '500', '471', '484', '326', '155', '493', '499', '263', '483', '244', '500', '500', '218', '100', '100', '460', '388', '100', '496', '100', '388', '471', '100', '100', '500', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T19:25:29.646356Z', '2025-01-12T17:12:56.958300Z', '2025-01-12T16:40:32.212955Z', '2025-01-12T12:14:13.689675Z', '2025-01-12T09:42:01.405673Z', '2025-01-12T04:08:03.886401Z', '2025-01-12T00:17:33.304070Z', '2025-01-11T23:30:07.190434Z', '2025-01-11T23:12:29.743187Z', '2025-01-11T22:25:47.045193Z', '2025-01-11T21:55:16.346389Z', '2025-01-11T21:34:59.143797Z', '2025-01-11T18:06:25.530816Z', '2025-01-11T17:35:41.337330Z', '2025-01-11T17:15:21.349949Z', '2025-01-11T17:07:49.686545Z', '2025-01-11T15:31:55.707594Z', '2025-01-11T15:28:41.405764Z', '2025-01-11T14:56:41.128444Z', '2025-01-11T14:20:04.055281Z', '2025-01-11T13:12:23.502383Z', '2025-01-11T10:23:11.893301Z', '2025-01-11T10:08:31.727244Z', '2025-01-11T09:19:23.064784Z', '2025-01-11T07:55:55.319669Z', '2025-01-11T07:38:32.429646Z', '2025-01-11T06:57:58.042612Z', '2025-01-11T04:56:22.003474Z', '2025-01-11T04:24:50.510174Z', '2025-01-11T01:52:59.379600Z', '2025-01-11T01:48:02.615280Z', '2025-01-11T01:17:57.642795Z', '2025-01-11T01:11:33.728330Z', '2025-01-11T00:41:58.615468Z', '2025-01-11T00:29:36.370035Z', '2025-01-11T00:20:41.145357Z', '2025-01-11T00:07:47.924652Z', '2025-01-11T00:04:30.848206Z']}"
10846,Emu Exploit,"{'challenge_name': ['Causation', '1337 v4ul7', 'Timeless', 'Simple File Storage', 'Smol JS', 'Counting Sort', 'Encrypted Flag', 'Py_FlagChecker', 'Walk in the Forest', ""Don't Sandbox Python 3: barebones"", ""Don't Sandbox Python 2: simple"", 'Highly Optimized', ""Don't Sandbox Python 1: n-day?"", 'Minecraft Safe', 'Prepared: Flag 2', 'Prepared: Flag 1', 'CodeDB', 'Simple Signing', 'Enchanted Oracle', 'Prismatic Blogs', 'Surgery', 'Racing 2', 'Out of the Container', 'POOF', 'Racing', 'Funny Cipher', 'Echo', 'Decrypt Me', 'Math Test', 'Scavenger Hunt', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Crypto', 'Web', 'Web', 'Misc', 'Jail', 'Pwn', 'Rev', 'Rev', 'Misc', 'Jail', 'Jail', 'Rev', 'Jail', 'Forensics', 'Web', 'Web', 'Web', 'Misc', 'Crypto', 'Web', 'Misc', 'Misc', 'Misc', 'Forensics', 'Misc', 'Crypto', 'Pwn', 'Forensics', 'Misc', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['496', '495', '499', '500', '499', '477', '496', '471', '483', '500', '500', '244', '496', '500', '499', '460', '388', '493', '263', '100', '100', '155', '326', '100', '100', '100', '388', '218', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T15:13:29.277142Z', '2025-01-12T11:52:23.989552Z', '2025-01-12T08:36:21.598885Z', '2025-01-12T05:26:07.821828Z', '2025-01-12T05:24:35.061863Z', '2025-01-12T02:41:20.913334Z', '2025-01-11T22:16:33.828811Z', '2025-01-11T20:40:49.730891Z', '2025-01-11T19:01:16.860063Z', '2025-01-11T16:47:50.534001Z', '2025-01-11T16:00:31.254516Z', '2025-01-11T14:58:18.316311Z', '2025-01-11T13:34:30.087781Z', '2025-01-11T12:26:09.667426Z', '2025-01-11T11:56:50.107575Z', '2025-01-11T10:22:22.156244Z', '2025-01-11T09:16:09.521129Z', '2025-01-11T07:20:37.763292Z', '2025-01-11T07:16:46.316884Z', '2025-01-11T06:03:13.527016Z', '2025-01-11T05:53:07.634732Z', '2025-01-11T05:34:46.697499Z', '2025-01-11T05:33:09.823677Z', '2025-01-11T05:25:52.129386Z', '2025-01-11T05:22:25.109203Z', '2025-01-11T05:01:18.686891Z', '2025-01-11T04:55:19.273868Z', '2025-01-11T04:00:00.392109Z', '2025-01-11T03:25:08.475460Z', '2025-01-11T03:11:22.134018Z', '2025-01-11T02:33:40.382239Z', '2025-01-11T02:30:15.466819Z', '2025-01-11T02:24:30.627576Z']}"
9793,DeadSec,"{'challenge_name': [""Don't Sandbox Python 1: n-day?"", 'Prepared: Flag 2', '1337 v4ul7', 'Timeless', 'Simple Signing', 'Walk in the Forest', 'Shuffler', 'Prepared: Flag 1', 'CodeDB', 'Hash Table As a Service', 'Racing 2', 'Encrypted Flag', 'Book Editor', 'Py_FlagChecker', 'Racing', 'Decrypt Me', 'Counting Sort', 'Enchanted Oracle', 'POOF', 'Out of the Container', 'Bloatware', 'Prismatic Blogs', 'Echo', 'Surgery', 'Math Test', 'Highly Optimized', 'Funny Cipher', 'Baby Pwn', 'Scavenger Hunt', 'Baby Pwn 2', 'Sanity Check'], 'challenge_category': ['Jail', 'Web', 'Web', 'Web', 'Misc', 'Misc', 'Crypto', 'Web', 'Web', 'Pwn', 'Misc', 'Rev', 'Pwn', 'Rev', 'Misc', 'Forensics', 'Pwn', 'Crypto', 'Forensics', 'Misc', 'Rev', 'Web', 'Pwn', 'Misc', 'Misc', 'Rev', 'Crypto', 'Pwn', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['496', '499', '495', '499', '493', '483', '484', '460', '388', '493', '155', '496', '471', '471', '100', '218', '477', '263', '100', '326', '494', '100', '388', '100', '100', '244', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T22:44:43.692067Z', '2025-01-12T14:42:08.540606Z', '2025-01-12T13:13:11.115975Z', '2025-01-12T10:43:42.267805Z', '2025-01-12T00:22:00.786768Z', '2025-01-11T22:31:22.916250Z', '2025-01-11T15:17:58.788696Z', '2025-01-11T15:16:02.414744Z', '2025-01-11T13:28:07.382609Z', '2025-01-11T11:05:45.629850Z', '2025-01-11T09:55:35.100395Z', '2025-01-11T08:27:44.210910Z', '2025-01-11T07:15:19.516633Z', '2025-01-11T07:14:08.843562Z', '2025-01-11T06:22:22.656967Z', '2025-01-11T04:57:06.553890Z', '2025-01-11T04:49:55.434191Z', '2025-01-11T04:17:37.361723Z', '2025-01-11T04:05:59.874106Z', '2025-01-11T04:05:58.094533Z', '2025-01-11T03:08:12.522773Z', '2025-01-11T02:32:44.605924Z', '2025-01-11T01:53:03.638069Z', '2025-01-11T01:44:48.763033Z', '2025-01-11T01:31:07.603757Z', '2025-01-11T01:16:30.045313Z', '2025-01-11T00:59:57.679125Z', '2025-01-11T00:59:48.715017Z', '2025-01-11T00:47:36.383131Z', '2025-01-11T00:40:03.424068Z', '2025-01-11T00:04:29.831844Z']}"
9300,r4kapig,"{'challenge_name': ['My Second App', 'Timed AES', 'Bloatware', 'Simple Signing', 'Walk in the Forest', 'Hash Table As a Service', 'Shuffler', 'Prepared: Flag 1', 'Prismatic Blogs', 'Py_FlagChecker', 'CodeDB', 'Causation', 'Counting Sort', 'Echo', 'Encrypted Flag', 'Out of the Container', 'Racing 2', 'Racing', 'Decrypt Me', 'Book Editor', 'Enchanted Oracle', 'Funny Cipher', 'Math Test', 'Surgery', 'POOF', 'Scavenger Hunt', 'Highly Optimized', 'Baby Pwn 2', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Web', 'Crypto', 'Rev', 'Misc', 'Misc', 'Pwn', 'Crypto', 'Web', 'Web', 'Rev', 'Web', 'Crypto', 'Pwn', 'Pwn', 'Rev', 'Misc', 'Misc', 'Misc', 'Forensics', 'Pwn', 'Crypto', 'Crypto', 'Misc', 'Misc', 'Forensics', 'Web', 'Rev', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['500', '500', '494', '493', '483', '493', '484', '460', '100', '471', '388', '496', '477', '388', '496', '326', '155', '100', '218', '471', '263', '100', '100', '100', '100', '100', '244', '100', '100', '100'], 'solve_time': ['2025-01-12T17:34:40.749900Z', '2025-01-12T16:01:16.889204Z', '2025-01-12T11:34:24.560304Z', '2025-01-12T07:41:15.313375Z', '2025-01-12T06:24:56.560190Z', '2025-01-11T16:45:34.206684Z', '2025-01-11T16:32:47.492775Z', '2025-01-11T16:02:00.885768Z', '2025-01-11T15:23:14.356575Z', '2025-01-11T13:16:40.984144Z', '2025-01-11T11:31:31.917145Z', '2025-01-11T09:40:44.480706Z', '2025-01-11T09:31:53.258619Z', '2025-01-11T09:14:37.874524Z', '2025-01-11T09:12:53.517516Z', '2025-01-11T08:40:42.126791Z', '2025-01-11T08:15:28.264004Z', '2025-01-11T07:52:23.898697Z', '2025-01-11T04:04:41.897930Z', '2025-01-11T03:31:42.398723Z', '2025-01-11T03:26:08.258068Z', '2025-01-11T03:00:11.938512Z', '2025-01-11T02:46:53.965032Z', '2025-01-11T02:38:31.738770Z', '2025-01-11T02:36:22.303877Z', '2025-01-11T01:29:00.858932Z', '2025-01-11T00:56:55.777676Z', '2025-01-11T00:27:30.633308Z', '2025-01-11T00:23:46.337450Z', '2025-01-11T00:15:48.985601Z']}"
8477,Kalmarunionen,"{'challenge_name': ['Shuffler', 'Simple File Storage', 'Py_FlagChecker', ""Don't Sandbox Python 3: barebones"", ""Don't Sandbox Python 2: simple"", 'Bloatware', 'Smol JS', ""Don't Sandbox Python 1: n-day?"", 'Prepared: Flag 1', 'Out of the Container', 'Walk in the Forest', 'CodeDB', 'Minecraft Safe', 'Encrypted Flag', 'Surgery', 'Highly Optimized', 'Prismatic Blogs', 'Math Test', 'Enchanted Oracle', 'Decrypt Me', 'Sanity Check', 'Racing 2', 'Funny Cipher', 'Baby Pwn 2', 'Racing', 'Scavenger Hunt', 'Baby Pwn', 'POOF'], 'challenge_category': ['Crypto', 'Misc', 'Rev', 'Jail', 'Jail', 'Rev', 'Jail', 'Jail', 'Web', 'Misc', 'Misc', 'Web', 'Forensics', 'Rev', 'Misc', 'Rev', 'Web', 'Misc', 'Crypto', 'Forensics', 'Misc', 'Misc', 'Crypto', 'Pwn', 'Misc', 'Web', 'Pwn', 'Forensics'], 'challenge_points': ['484', '500', '471', '500', '500', '494', '499', '496', '460', '326', '483', '388', '500', '496', '100', '244', '100', '100', '263', '218', '100', '155', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T23:02:20.216475Z', '2025-01-12T19:17:17.018415Z', '2025-01-12T19:17:07.855229Z', '2025-01-12T19:16:55.747678Z', '2025-01-12T19:16:44.966702Z', '2025-01-12T18:31:39.556056Z', '2025-01-12T10:54:42.419780Z', '2025-01-12T02:01:22.593475Z', '2025-01-12T00:37:51.950904Z', '2025-01-11T22:36:49.788792Z', '2025-01-11T22:34:44.994438Z', '2025-01-11T22:12:39.200677Z', '2025-01-11T21:13:58.340305Z', '2025-01-11T20:04:09.449601Z', '2025-01-11T18:25:51.093488Z', '2025-01-11T17:48:47.537900Z', '2025-01-11T16:08:05.774244Z', '2025-01-11T15:29:17.486789Z', '2025-01-11T15:19:27.353545Z', '2025-01-11T13:28:45.276944Z', '2025-01-11T12:35:50.234315Z', '2025-01-11T12:25:35.674351Z', '2025-01-11T11:53:44.263654Z', '2025-01-11T11:38:08.530382Z', '2025-01-11T11:35:43.889497Z', '2025-01-11T11:16:23.710880Z', '2025-01-11T10:53:29.921455Z', '2025-01-11T02:45:16.604088Z']}"
8321,Maple Bacon,"{'challenge_name': ['Prepared: Flag 1', 'Timeless', 'Py_FlagChecker', 'Simple Signing', 'Shuffler', 'Enchanted Oracle', 'Decrypt Me', 'CodeDB', 'Book Editor', 'Prismatic Blogs', 'Highly Optimized', 'Causation', 'Smol JS', 'Racing 2', 'Counting Sort', 'Racing', 'Hash Table As a Service', 'Surgery', 'Echo', 'POOF', 'Baby Pwn 2', 'Math Test', 'Out of the Container', 'Funny Cipher', ""Don't Sandbox Python 1: n-day?"", 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Web', 'Web', 'Rev', 'Misc', 'Crypto', 'Crypto', 'Forensics', 'Web', 'Pwn', 'Web', 'Rev', 'Crypto', 'Jail', 'Misc', 'Pwn', 'Misc', 'Pwn', 'Misc', 'Pwn', 'Forensics', 'Pwn', 'Misc', 'Misc', 'Crypto', 'Jail', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['460', '499', '471', '493', '484', '263', '218', '388', '471', '100', '244', '496', '499', '155', '477', '100', '493', '100', '388', '100', '100', '100', '326', '100', '496', '100', '100', '100'], 'solve_time': ['2025-01-12T23:03:49.270781Z', '2025-01-12T22:50:04.560011Z', '2025-01-12T10:11:16.549066Z', '2025-01-12T08:46:46.403569Z', '2025-01-12T07:42:34.347716Z', '2025-01-12T07:11:45.491195Z', '2025-01-12T03:30:56.746804Z', '2025-01-12T01:44:43.797199Z', '2025-01-12T01:01:54.605084Z', '2025-01-11T19:08:28.090215Z', '2025-01-11T14:02:40.869740Z', '2025-01-11T13:38:23.668770Z', '2025-01-11T11:15:18.739442Z', '2025-01-11T10:10:05.575844Z', '2025-01-11T08:56:29.132069Z', '2025-01-11T07:58:41.312592Z', '2025-01-11T07:31:17.373951Z', '2025-01-11T07:24:38.533795Z', '2025-01-11T07:15:02.670661Z', '2025-01-11T05:48:33.097874Z', '2025-01-11T04:39:14.626226Z', '2025-01-11T03:15:49.822066Z', '2025-01-11T03:06:59.789228Z', '2025-01-11T02:26:37.316524Z', '2025-01-11T02:14:35.100100Z', '2025-01-11T01:45:48.772592Z', '2025-01-11T01:35:37.088054Z', '2025-01-11T00:05:54.765634Z']}"
7847,Thehackerscrew,"{'challenge_name': [""Don't Sandbox Python 1: n-day?"", 'Prepared: Flag 2', 'Hash Table As a Service', 'Out of the Container', 'Prepared: Flag 1', 'Encrypted Flag', 'Causation', 'Simple Signing', 'Highly Optimized', 'Counting Sort', 'Prismatic Blogs', 'Echo', 'Decrypt Me', 'Funny Cipher', 'POOF', 'Shuffler', 'Racing 2', 'Book Editor', 'Racing', 'Enchanted Oracle', 'Surgery', 'Math Test', 'Baby Pwn 2', 'Scavenger Hunt', 'CodeDB', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Jail', 'Web', 'Pwn', 'Misc', 'Web', 'Rev', 'Crypto', 'Misc', 'Rev', 'Pwn', 'Web', 'Pwn', 'Forensics', 'Crypto', 'Forensics', 'Crypto', 'Misc', 'Pwn', 'Misc', 'Crypto', 'Misc', 'Misc', 'Pwn', 'Web', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['496', '499', '493', '326', '460', '496', '496', '493', '244', '477', '100', '388', '218', '100', '100', '484', '155', '471', '100', '263', '100', '100', '100', '100', '388', '100', '100'], 'solve_time': ['2025-01-12T17:47:54.935737Z', '2025-01-12T08:29:55.853622Z', '2025-01-11T22:25:55.933524Z', '2025-01-11T13:20:52.055255Z', '2025-01-11T12:59:22.084457Z', '2025-01-11T12:01:28.565822Z', '2025-01-11T11:03:21.323021Z', '2025-01-11T09:44:07.861534Z', '2025-01-11T09:27:22.513673Z', '2025-01-11T08:15:18.673182Z', '2025-01-11T08:13:56.000826Z', '2025-01-11T07:19:48.005492Z', '2025-01-11T07:08:31.659623Z', '2025-01-11T06:38:59.402864Z', '2025-01-11T06:25:42.814090Z', '2025-01-11T06:13:25.229602Z', '2025-01-11T04:51:35.547918Z', '2025-01-11T04:50:52.975622Z', '2025-01-11T04:29:14.196363Z', '2025-01-11T03:59:00.286350Z', '2025-01-11T03:21:39.417621Z', '2025-01-11T01:41:23.454699Z', '2025-01-11T01:15:53.635706Z', '2025-01-11T01:14:23.172634Z', '2025-01-11T00:55:48.135615Z', '2025-01-11T00:31:20.115023Z', '2025-01-11T00:04:38.979903Z']}"
7808,WWF,"{'challenge_name': ['Simple Signing', 'Timed AES', 'Hash Table As a Service', 'CodeDB', 'Book Editor', 'Py_FlagChecker', 'Walk in the Forest', 'Prismatic Blogs', 'Bloatware', 'Shuffler', 'Counting Sort', 'Decrypt Me', 'Racing 2', 'Highly Optimized', 'POOF', 'Funny Cipher', 'Racing', 'Surgery', 'Math Test', 'Prepared: Flag 1', 'Enchanted Oracle', 'Out of the Container', 'Baby Pwn 2', 'Echo', 'Scavenger Hunt', 'Baby Pwn', 'Sanity Check'], 'challenge_category': ['Misc', 'Crypto', 'Pwn', 'Web', 'Pwn', 'Rev', 'Misc', 'Web', 'Rev', 'Crypto', 'Pwn', 'Forensics', 'Misc', 'Rev', 'Forensics', 'Crypto', 'Misc', 'Misc', 'Misc', 'Web', 'Crypto', 'Misc', 'Pwn', 'Pwn', 'Web', 'Pwn', 'Misc'], 'challenge_points': ['493', '500', '493', '388', '471', '471', '483', '100', '494', '484', '477', '218', '155', '244', '100', '100', '100', '100', '100', '460', '263', '326', '100', '388', '100', '100', '100'], 'solve_time': ['2025-01-12T21:20:34.520637Z', '2025-01-12T10:51:25.940992Z', '2025-01-12T09:28:27.191318Z', '2025-01-11T23:20:03.786807Z', '2025-01-11T19:39:17.813016Z', '2025-01-11T17:56:29.678602Z', '2025-01-11T16:34:52.845678Z', '2025-01-11T15:30:32.966710Z', '2025-01-11T13:24:03.673117Z', '2025-01-11T12:28:00.458185Z', '2025-01-11T11:58:41.342175Z', '2025-01-11T11:08:34.357196Z', '2025-01-11T10:42:26.083412Z', '2025-01-11T08:41:59.134089Z', '2025-01-11T06:07:27.074209Z', '2025-01-11T05:36:01.721616Z', '2025-01-11T04:39:08.905858Z', '2025-01-11T02:51:30.787900Z', '2025-01-11T02:26:37.885638Z', '2025-01-11T02:19:46.362722Z', '2025-01-11T01:45:00.500387Z', '2025-01-11T01:43:05.352958Z', '2025-01-11T01:31:58.130901Z', '2025-01-11T01:22:43.601672Z', '2025-01-11T00:38:53.709406Z', '2025-01-11T00:25:12.554944Z', '2025-01-11T00:21:50.666330Z']}"
7806,L3ak,"{'challenge_name': ['1337 v4ul7', 'Shuffler', 'Feedback', 'Book Editor', 'Bloatware', 'Simple Signing', ""Don't Sandbox Python 1: n-day?"", 'Walk in the Forest', 'Prepared: Flag 1', 'CodeDB', 'Highly Optimized', 'Prismatic Blogs', 'Counting Sort', 'Py_FlagChecker', 'Out of the Container', 'Racing 2', 'Enchanted Oracle', 'Racing', 'Echo', 'Decrypt Me', 'Baby Pwn 2', 'POOF', 'Surgery', 'Baby Pwn', 'Scavenger Hunt', 'Funny Cipher', 'Math Test', 'Sanity Check'], 'challenge_category': ['Web', 'Crypto', 'Misc', 'Pwn', 'Rev', 'Misc', 'Jail', 'Misc', 'Web', 'Web', 'Rev', 'Web', 'Pwn', 'Rev', 'Misc', 'Misc', 'Crypto', 'Misc', 'Pwn', 'Forensics', 'Pwn', 'Forensics', 'Misc', 'Pwn', 'Web', 'Crypto', 'Misc', 'Misc'], 'challenge_points': ['495', '484', '0', '471', '494', '493', '496', '483', '460', '388', '244', '100', '477', '471', '326', '155', '263', '100', '388', '218', '100', '100', '100', '100', '100', '100', '100', '100'], 'solve_time': ['2025-01-12T20:15:58.834835Z', '2025-01-12T19:00:42.905484Z', '2025-01-12T16:57:29.326848Z', '2025-01-12T12:49:51.166857Z', '2025-01-12T11:15:00.214477Z', '2025-01-12T04:10:54.570206Z', '2025-01-12T03:33:30.190393Z', '2025-01-11T18:11:11.066944Z', '2025-01-11T15:01:11.938854Z', '2025-01-11T13:06:17.428693Z', '2025-01-11T08:30:51.804055Z', '2025-01-11T07:11:05.199127Z', '2025-01-11T06:48:58.012583Z', '2025-01-11T06:24:05.897762Z', '2025-01-11T06:18:54.610554Z', '2025-01-11T06:07:11.158417Z', '2025-01-11T04:42:32.588423Z', '2025-01-11T04:15:58.592483Z', '2025-01-11T02:30:43.712772Z', '2025-01-11T02:25:11.276663Z', '2025-01-11T01:40:32.261063Z', '2025-01-11T01:21:04.147045Z', '2025-01-11T01:01:45.608972Z', '2025-01-11T00:37:44.307357Z', '2025-01-11T00:32:34.266297Z', '2025-01-11T00:25:09.736627Z', '2025-01-11T00:08:42.456145Z', '2025-01-11T00:03:10.554618Z']}"
