points,name,challenge
897,!,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 13, 'category': 'Rev'}]"
897,blin00,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 16, 'category': 'Rev'}, {'name': 'I2C Device', 'solves': 4, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}]"
897,eba13005b88dce03165e,"[{'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'subway', 'solves': 8, 'category': 'Rev'}]"
897,wane,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 16, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}]"
897,yu212,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 13, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 16, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}, {'name': 'luau', 'solves': 21, 'category': 'Rev'}, {'name': 'Cake Puzzle', 'solves': 15, 'category': 'Rev'}, {'name': 'mimikyu', 'solves': 8, 'category': 'Rev'}, {'name': 'decompile me', 'solves': 25, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 38, 'category': 'Rev'}]"
897,akiym,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
620,ptr-yudai,"[{'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'subway', 'solves': 8, 'category': 'Rev'}]"
620,tan90909090,"[{'name': 'subway', 'solves': 8, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'service', 'solves': 1, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}, {'name': 'fvm', 'solves': 4, 'category': 'Rev'}, {'name': 'mimikyu', 'solves': 8, 'category': 'Rev'}, {'name': 'decompile me', 'solves': 25, 'category': 'Rev'}, {'name': 'kiwi', 'solves': 6, 'category': 'Rev'}, {'name': 'luau', 'solves': 21, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 38, 'category': 'Rev'}]"
593,flocto,"[{'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
593,clowncs,"[{'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Gaming VM', 'solves': 3, 'category': 'Rev'}, {'name': 'luau', 'solves': 21, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 38, 'category': 'Rev'}, {'name': 'decompile me', 'solves': 25, 'category': 'Rev'}]"
593,lunashci,"[{'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
593,rsk0315,"[{'name': 'vcipher', 'solves': 10, 'category': 'Rev'}, {'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}]"
316,elvis,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Gaming VM', 'solves': 3, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}]"
316,ske,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
316,tchen,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 16, 'category': 'Rev'}]"
316,zatsu,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}, {'name': 'luau', 'solves': 21, 'category': 'Rev'}, {'name': 'nimrev', 'solves': 38, 'category': 'Rev'}, {'name': 'pytecode', 'solves': 16, 'category': 'Rev'}, {'name': 'Everything Silver', 'solves': 13, 'category': 'Rev'}, {'name': 'Simple Flag Checker', 'solves': 74, 'category': 'Rev'}, {'name': 'imgchk', 'solves': 5, 'category': 'Rev'}, {'name': 'Cake Puzzle', 'solves': 15, 'category': 'Rev'}, {'name': 'nande', 'solves': 11, 'category': 'Rev'}]"
316,jaslayer,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
316,komugi,"[{'name': 'hidden', 'solves': 29, 'category': 'Rev'}, {'name': 'masking tape', 'solves': 64, 'category': 'Rev'}]"
