points,name,challenge
9545,Srdnlen,"{'challenge_name': ['En(d)less behaviour', 'UnderConstruction', 'Let Me Go To SATurn', ""What's in a nimi?"", 'Manual Interaction', 'Ich möchte bitte zwei 0xC0FFEE', 'Vector Madness', 'gravity well', 'SUS Archive', 'talking to the void', 'Mentally Training', ""Gotta Dump 'Em All"", 'The kindling of the first Flag', 'Hop on, hop off #3', 'key in the big haystack', 'key in the haystack', 'Hop on, hop off #2', 'Feistel <3', 'Conspiracy to commit bankrupt', ""Granny's gift"", 'Lightning Fast Scrambling', 'Cloud Recipe', 'Otamatone my beloved', 'Matrices Matrices Matrices', 'Insanity Check', 'Hop on, hop off #1'], 'challenge_category': ['PWN-REV', 'WEB', 'PWN-REV', 'MISC', 'WEB', 'OSINT', 'PWN-REV', 'MISC', 'WEB', 'MISC', 'OSINT', 'MISC', 'PWN-REV', 'OSINT', 'CRYPTO', 'CRYPTO', 'OSINT', 'CRYPTO', 'MISC', 'PWN-REV', 'CRYPTO', 'WEB', 'MISC', 'CRYPTO', 'PWN-REV', 'OSINT'], 'challenge_points': ['376', '460', '493', '487', '482', '500', '460', '487', '493', '496', '460', '493', '399', '352', '466', '428', '94', '478', '472', '50', '445', '136', '50', '388', '50', '50'], 'solve_time': ['2025-03-16T12:37:26.951673Z', '2025-03-16T12:32:11.105599Z', '2025-03-16T12:25:55.595298Z', '2025-03-16T10:22:34.694103Z', '2025-03-16T10:04:42.559163Z', '2025-03-16T02:54:27.612116Z', '2025-03-16T01:12:52.463845Z', '2025-03-15T23:03:44.743711Z', '2025-03-15T23:00:11.632878Z', '2025-03-15T22:09:44.284265Z', '2025-03-15T21:15:46.786655Z', '2025-03-15T20:17:20.757300Z', '2025-03-15T18:48:29.537347Z', '2025-03-15T17:41:28.378596Z', '2025-03-15T17:07:30.066564Z', '2025-03-15T16:54:54.031283Z', '2025-03-15T16:28:34.113440Z', '2025-03-15T16:22:12.257855Z', '2025-03-15T15:56:27.341416Z', '2025-03-15T15:28:54.350432Z', '2025-03-15T14:43:33.057649Z', '2025-03-15T13:58:52.118268Z', '2025-03-15T13:58:40.696242Z', '2025-03-15T13:48:06.785533Z', '2025-03-15T13:21:19.788868Z', '2025-03-15T13:15:26.975459Z']}"
9072,TRX,"{'challenge_name': ['CyberSecurity, Gamified', 'talking to the void', ""What's in a nimi?"", 'SUS Archive', 'Hop on, hop off #3', 'Let Me Go To SATurn', 'Hop on, hop off #2', 'gravity well', 'Manual Interaction', 'Feistel <3', 'Animal Flat', 'Lightning Fast Scrambling', 'key in the big haystack', 'key in the haystack', 'Vector Madness', 'Matrices Matrices Matrices', 'En(d)less behaviour', 'The kindling of the first Flag', 'Otamatone my beloved', 'Conspiracy to commit bankrupt', 'Hop on, hop off #1', 'UnderConstruction', 'Insanity Check', ""Granny's gift"", 'Cloud Recipe'], 'challenge_category': ['MISC', 'MISC', 'MISC', 'WEB', 'OSINT', 'PWN-REV', 'OSINT', 'MISC', 'WEB', 'CRYPTO', 'PWN-REV', 'CRYPTO', 'CRYPTO', 'CRYPTO', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'MISC', 'MISC', 'OSINT', 'WEB', 'PWN-REV', 'PWN-REV', 'WEB'], 'challenge_points': ['498', '496', '487', '493', '352', '493', '94', '487', '482', '478', '482', '445', '466', '428', '460', '388', '376', '399', '50', '472', '50', '460', '50', '50', '136'], 'solve_time': ['2025-03-16T11:42:03.140143Z', '2025-03-16T01:35:56.525652Z', '2025-03-15T23:52:20.265185Z', '2025-03-15T23:26:34.351782Z', '2025-03-15T20:19:27.792336Z', '2025-03-15T19:25:42.880573Z', '2025-03-15T18:24:55.130764Z', '2025-03-15T18:11:37.683897Z', '2025-03-15T17:14:54.422217Z', '2025-03-15T17:06:12.209705Z', '2025-03-15T16:48:55.216669Z', '2025-03-15T16:44:58.218580Z', '2025-03-15T16:23:47.986329Z', '2025-03-15T16:14:01.553528Z', '2025-03-15T15:47:08.814956Z', '2025-03-15T15:40:01.789332Z', '2025-03-15T14:53:48.620110Z', '2025-03-15T14:45:31.461155Z', '2025-03-15T14:15:32.094468Z', '2025-03-15T14:11:20.259086Z', '2025-03-15T14:05:12.372595Z', '2025-03-15T13:49:11.160727Z', '2025-03-15T13:39:29.801521Z', '2025-03-15T13:35:05.622304Z', '2025-03-15T13:18:14.606008Z']}"
9052,infobahn,"{'challenge_name': ['Vector Madness', 'Mentally Training', 'Let Me Go To SATurn', 'K!nd4ASSISTANT', ""What's in a nimi?"", 'SUS Archive', 'Manual Interaction', 'En(d)less behaviour', 'talking to the void', 'The kindling of the first Flag', 'Conspiracy to commit bankrupt', 'UnderConstruction', 'gravity well', 'Feistel <3', 'Lightning Fast Scrambling', 'Hop on, hop off #3', 'key in the big haystack', 'Hop on, hop off #2', 'Cloud Recipe', 'key in the haystack', 'Matrices Matrices Matrices', 'Otamatone my beloved', ""Granny's gift"", 'Hop on, hop off #1', 'Insanity Check'], 'challenge_category': ['PWN-REV', 'OSINT', 'PWN-REV', 'WEB', 'MISC', 'WEB', 'WEB', 'PWN-REV', 'MISC', 'PWN-REV', 'MISC', 'WEB', 'MISC', 'CRYPTO', 'CRYPTO', 'OSINT', 'CRYPTO', 'OSINT', 'WEB', 'CRYPTO', 'CRYPTO', 'MISC', 'PWN-REV', 'OSINT', 'PWN-REV'], 'challenge_points': ['460', '460', '493', '500', '487', '493', '482', '376', '496', '399', '472', '460', '487', '478', '445', '352', '466', '94', '136', '428', '388', '50', '50', '50', '50'], 'solve_time': ['2025-03-16T12:55:31.857097Z', '2025-03-16T10:30:43.713319Z', '2025-03-16T01:11:09.837537Z', '2025-03-15T23:30:44.495196Z', '2025-03-15T23:22:05.446574Z', '2025-03-15T21:32:02.327656Z', '2025-03-15T21:00:40.414398Z', '2025-03-15T20:46:58.467172Z', '2025-03-15T18:44:43.694659Z', '2025-03-15T17:55:17.037666Z', '2025-03-15T17:20:25.606911Z', '2025-03-15T17:08:00.667314Z', '2025-03-15T14:54:52.155416Z', '2025-03-15T14:48:32.613986Z', '2025-03-15T14:45:08.052700Z', '2025-03-15T14:34:54.044965Z', '2025-03-15T13:58:38.759828Z', '2025-03-15T13:48:13.135588Z', '2025-03-15T13:35:58.102902Z', '2025-03-15T13:18:57.593514Z', '2025-03-15T13:15:16.520227Z', '2025-03-15T13:14:59.436192Z', '2025-03-15T13:05:16.759346Z', '2025-03-15T13:04:23.608461Z', '2025-03-15T13:01:38.174749Z']}"
7189,fibonhack,"{'challenge_name': [""Gotta Dump 'Em All"", 'key in the big haystack', 'Lightning Fast Scrambling', 'Manual Interaction', 'Vector Madness', 'key in the haystack', 'The kindling of the first Flag', 'Hop on, hop off #2', ""What's in a nimi?"", 'Matrices Matrices Matrices', 'Feistel <3', 'Animal Flat', 'Let Me Go To SATurn', 'UnderConstruction', 'Conspiracy to commit bankrupt', 'Otamatone my beloved', 'En(d)less behaviour', 'Hop on, hop off #1', 'Cloud Recipe', ""Granny's gift""], 'challenge_category': ['MISC', 'CRYPTO', 'CRYPTO', 'WEB', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'OSINT', 'MISC', 'CRYPTO', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'WEB', 'MISC', 'MISC', 'PWN-REV', 'OSINT', 'WEB', 'PWN-REV'], 'challenge_points': ['493', '466', '445', '482', '460', '428', '399', '94', '487', '388', '478', '482', '493', '460', '472', '50', '376', '50', '136', '50'], 'solve_time': ['2025-03-16T11:02:29.400020Z', '2025-03-16T06:28:28.400539Z', '2025-03-15T22:24:15.809101Z', '2025-03-15T22:12:18.950461Z', '2025-03-15T20:05:53.369207Z', '2025-03-15T19:31:04.630030Z', '2025-03-15T18:30:08.496603Z', '2025-03-15T18:13:29.098233Z', '2025-03-15T17:48:26.765156Z', '2025-03-15T17:36:32.796053Z', '2025-03-15T17:32:29.836533Z', '2025-03-15T17:13:24.312440Z', '2025-03-15T16:32:17.646260Z', '2025-03-15T16:26:32.846829Z', '2025-03-15T15:15:14.129166Z', '2025-03-15T14:17:28.778203Z', '2025-03-15T13:41:32.345153Z', '2025-03-15T13:38:05.331614Z', '2025-03-15T13:26:00.789619Z', '2025-03-15T13:23:36.999147Z']}"
7181,napwnli,"{'challenge_name': ['Matrices Matrices Matrices', 'Lightning Fast Scrambling', 'Mentally Training', 'CyberSecurity, Gamified', 'Ich möchte bitte zwei 0xC0FFEE', 'key in the haystack', 'En(d)less behaviour', 'The kindling of the first Flag', 'talking to the void', ""Gotta Dump 'Em All"", 'gravity well', 'UnderConstruction', ""What's in a nimi?"", ""Granny's gift"", 'Manual Interaction', 'Insanity Check', 'Hop on, hop off #3', 'Hop on, hop off #2', 'Cloud Recipe', 'Hop on, hop off #1', 'Otamatone my beloved'], 'challenge_category': ['CRYPTO', 'CRYPTO', 'OSINT', 'MISC', 'OSINT', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'MISC', 'MISC', 'MISC', 'WEB', 'MISC', 'PWN-REV', 'WEB', 'PWN-REV', 'OSINT', 'OSINT', 'WEB', 'OSINT', 'MISC'], 'challenge_points': ['388', '445', '460', '498', '500', '428', '376', '399', '496', '493', '487', '460', '487', '50', '482', '50', '352', '94', '136', '50', '50'], 'solve_time': ['2025-03-16T12:41:49.021411Z', '2025-03-16T11:49:09.775319Z', '2025-03-16T11:19:28.947052Z', '2025-03-16T10:17:29.324459Z', '2025-03-16T08:47:47.990056Z', '2025-03-16T06:54:21.013882Z', '2025-03-16T04:01:45.123155Z', '2025-03-16T02:09:15.366557Z', '2025-03-16T02:00:36.088913Z', '2025-03-15T23:29:47.294430Z', '2025-03-15T20:53:52.968645Z', '2025-03-15T18:05:52.456662Z', '2025-03-15T17:12:23.609190Z', '2025-03-15T16:41:53.003896Z', '2025-03-15T16:34:27.267972Z', '2025-03-15T14:40:57.894029Z', '2025-03-15T14:36:41.738267Z', '2025-03-15T14:08:32.594916Z', '2025-03-15T13:30:34.204096Z', '2025-03-15T13:30:31.256699Z', '2025-03-15T13:18:21.235431Z']}"
6181,MadrHacks,"{'challenge_name': ['Mentally Training', 'Insanity Check', 'Feistel <3', 'Cloud Recipe', 'key in the big haystack', 'key in the haystack', 'Lightning Fast Scrambling', 'Matrices Matrices Matrices', 'Conspiracy to commit bankrupt', 'Let Me Go To SATurn', 'Hop on, hop off #3', 'talking to the void', 'En(d)less behaviour', 'Hop on, hop off #2', 'Otamatone my beloved', 'The kindling of the first Flag', ""Granny's gift"", 'CyberSecurity, Gamified', 'Hop on, hop off #1'], 'challenge_category': ['OSINT', 'PWN-REV', 'CRYPTO', 'WEB', 'CRYPTO', 'CRYPTO', 'CRYPTO', 'CRYPTO', 'MISC', 'PWN-REV', 'OSINT', 'MISC', 'PWN-REV', 'OSINT', 'MISC', 'PWN-REV', 'PWN-REV', 'MISC', 'OSINT'], 'challenge_points': ['460', '50', '478', '136', '466', '428', '445', '388', '472', '493', '352', '496', '376', '94', '50', '399', '50', '498', '50'], 'solve_time': ['2025-03-16T11:04:45.606788Z', '2025-03-16T08:54:14.321733Z', '2025-03-16T08:19:04.590136Z', '2025-03-15T23:33:48.145175Z', '2025-03-15T22:16:39.563401Z', '2025-03-15T20:43:21.578131Z', '2025-03-15T19:43:07.505189Z', '2025-03-15T19:09:24.893465Z', '2025-03-15T16:52:00.555776Z', '2025-03-15T16:34:43.228129Z', '2025-03-15T15:34:08.783760Z', '2025-03-15T15:22:04.313904Z', '2025-03-15T15:19:45.462673Z', '2025-03-15T15:07:11.455606Z', '2025-03-15T14:47:22.775462Z', '2025-03-15T14:29:49.972206Z', '2025-03-15T13:48:28.721920Z', '2025-03-15T13:39:15.107619Z', '2025-03-15T13:19:05.590141Z']}"
5686,Tower of Hanoi,"{'challenge_name': ['Lightning Fast Scrambling', 'UnderConstruction', 'Animal Flat', 'Feistel <3', 'Turing-Approved', 'Vector Madness', 'Otamatone my beloved', 'Mentally Training', 'Hop on, hop off #3', 'Cloud Recipe', 'Hop on, hop off #2', 'The kindling of the first Flag', 'key in the big haystack', 'key in the haystack', 'En(d)less behaviour', ""Granny's gift"", 'Hop on, hop off #1'], 'challenge_category': ['CRYPTO', 'WEB', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'MISC', 'OSINT', 'OSINT', 'WEB', 'OSINT', 'PWN-REV', 'CRYPTO', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'OSINT'], 'challenge_points': ['445', '460', '482', '478', '500', '460', '50', '460', '352', '136', '94', '399', '466', '428', '376', '50', '50'], 'solve_time': ['2025-03-16T09:27:53.832451Z', '2025-03-15T23:55:16.787391Z', '2025-03-15T23:47:15.851503Z', '2025-03-15T23:21:55.267904Z', '2025-03-15T21:31:49.491479Z', '2025-03-15T21:01:34.841702Z', '2025-03-15T20:13:46.360487Z', '2025-03-15T19:36:34.067984Z', '2025-03-15T18:45:10.778482Z', '2025-03-15T17:31:30.192739Z', '2025-03-15T17:23:07.681517Z', '2025-03-15T16:42:07.573160Z', '2025-03-15T16:07:41.041432Z', '2025-03-15T15:46:20.002911Z', '2025-03-15T14:42:05.133027Z', '2025-03-15T13:08:47.510891Z', '2025-03-15T13:02:13.355630Z']}"
5646,pwnlentoni,"{'challenge_name': ['Hop on, hop off #3', 'Manual Interaction', 'Cloud Recipe', 'Otamatone my beloved', 'En(d)less behaviour', 'Animal Flat', 'Feistel <3', 'Mentally Training', 'The kindling of the first Flag', 'key in the big haystack', 'Lightning Fast Scrambling', 'Hop on, hop off #2', 'key in the haystack', 'Vector Madness', 'Insanity Check', 'Matrices Matrices Matrices', ""Granny's gift"", 'Hop on, hop off #1'], 'challenge_category': ['OSINT', 'WEB', 'WEB', 'MISC', 'PWN-REV', 'PWN-REV', 'CRYPTO', 'OSINT', 'PWN-REV', 'CRYPTO', 'CRYPTO', 'OSINT', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'OSINT'], 'challenge_points': ['352', '482', '136', '50', '376', '482', '478', '460', '399', '466', '445', '94', '428', '460', '50', '388', '50', '50'], 'solve_time': ['2025-03-16T01:57:44.066141Z', '2025-03-16T01:08:25.222618Z', '2025-03-15T22:20:48.843101Z', '2025-03-15T21:49:02.521081Z', '2025-03-15T20:36:19.522238Z', '2025-03-15T17:37:44.654386Z', '2025-03-15T17:34:35.502680Z', '2025-03-15T17:26:31.114703Z', '2025-03-15T16:37:34.516206Z', '2025-03-15T16:36:18.651026Z', '2025-03-15T15:40:07.371736Z', '2025-03-15T15:22:23.723217Z', '2025-03-15T15:17:03.461698Z', '2025-03-15T15:12:09.762167Z', '2025-03-15T15:02:22.192976Z', '2025-03-15T13:16:29.776943Z', '2025-03-15T13:15:35.185649Z', '2025-03-15T13:12:23.961296Z']}"
5451,aetruria,"{'challenge_name': ['Animal Flat', 'Vector Madness', 'The kindling of the first Flag', 'Mentally Training', ""What's in a nimi?"", ""Gotta Dump 'Em All"", 'UnderConstruction', 'Hop on, hop off #2', 'gravity well', 'En(d)less behaviour', 'Lightning Fast Scrambling', ""Granny's gift"", 'Otamatone my beloved', 'Cloud Recipe', 'Conspiracy to commit bankrupt', 'Hop on, hop off #1', 'Insanity Check'], 'challenge_category': ['PWN-REV', 'PWN-REV', 'PWN-REV', 'OSINT', 'MISC', 'MISC', 'WEB', 'OSINT', 'MISC', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'MISC', 'WEB', 'MISC', 'OSINT', 'PWN-REV'], 'challenge_points': ['482', '460', '399', '460', '487', '493', '460', '94', '487', '376', '445', '50', '50', '136', '472', '50', '50'], 'solve_time': ['2025-03-16T11:48:29.797179Z', '2025-03-16T10:45:13.984497Z', '2025-03-16T09:56:26.296407Z', '2025-03-16T03:32:23.690775Z', '2025-03-16T01:00:34.786395Z', '2025-03-16T00:16:16.376035Z', '2025-03-15T19:19:53.529793Z', '2025-03-15T18:19:24.609088Z', '2025-03-15T17:11:16.232875Z', '2025-03-15T17:02:06.068965Z', '2025-03-15T15:40:48.324619Z', '2025-03-15T15:19:06.476746Z', '2025-03-15T15:11:25.081547Z', '2025-03-15T14:31:07.068051Z', '2025-03-15T14:27:01.300223Z', '2025-03-15T14:07:08.132545Z', '2025-03-15T13:27:46.055218Z']}"
5267,QnQSec,"{'challenge_name': ['Turing-Approved', 'Cloud Recipe', 'key in the haystack', 'gravity well', 'Let Me Go To SATurn', 'Conspiracy to commit bankrupt', 'Hop on, hop off #3', 'Hop on, hop off #2', 'Hop on, hop off #1', 'The kindling of the first Flag', 'Vector Madness', 'Animal Flat', 'Matrices Matrices Matrices', 'En(d)less behaviour', 'Insanity Check', 'Otamatone my beloved', ""Granny's gift""], 'challenge_category': ['PWN-REV', 'WEB', 'CRYPTO', 'MISC', 'PWN-REV', 'MISC', 'OSINT', 'OSINT', 'OSINT', 'PWN-REV', 'PWN-REV', 'PWN-REV', 'CRYPTO', 'PWN-REV', 'PWN-REV', 'MISC', 'PWN-REV'], 'challenge_points': ['500', '136', '428', '487', '493', '472', '352', '94', '50', '399', '460', '482', '388', '376', '50', '50', '50'], 'solve_time': ['2025-03-16T10:53:21.538524Z', '2025-03-16T07:37:53.576748Z', '2025-03-16T07:36:18.503694Z', '2025-03-16T06:34:27.244490Z', '2025-03-16T03:35:20.970390Z', '2025-03-16T02:49:13.098820Z', '2025-03-16T01:53:08.914621Z', '2025-03-16T01:28:01.620045Z', '2025-03-15T18:57:13.891708Z', '2025-03-15T18:53:16.041290Z', '2025-03-15T18:23:29.904803Z', '2025-03-15T16:58:27.406192Z', '2025-03-15T14:21:10.230384Z', '2025-03-15T14:09:59.935244Z', '2025-03-15T13:26:50.379746Z', '2025-03-15T13:14:55.171252Z', '2025-03-15T13:10:45.198983Z']}"
