points,name,challenge
753,rqda,"[{'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'Modern Rome', 'solves': 7, 'category': 'Pwn'}, {'name': 'deck', 'solves': 20, 'category': 'Pwn'}, {'name': 'bofwow', 'solves': 6, 'category': 'Pwn'}, {'name': 'bofww', 'solves': 21, 'category': 'Pwn'}, {'name': 'vtable4b', 'solves': 25, 'category': 'Pwn'}]"
753,wlswotmd,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}]"
753,kam1tsur3,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}, {'name': 'accountant', 'solves': 1, 'category': 'Pwn'}, {'name': 'MemSafeD', 'solves': 1, 'category': 'Pwn'}, {'name': 'Modern Rome', 'solves': 7, 'category': 'Pwn'}, {'name': 'BrainJIT', 'solves': 2, 'category': 'Pwn'}, {'name': 'bofwow', 'solves': 6, 'category': 'Pwn'}, {'name': 'smal arey', 'solves': 7, 'category': 'Pwn'}, {'name': 'welkerme', 'solves': 10, 'category': 'Pwn'}, {'name': 'str.vs.cstr', 'solves': 12, 'category': 'Pwn'}, {'name': 'todo', 'solves': 13, 'category': 'Pwn'}, {'name': 'deck', 'solves': 20, 'category': 'Pwn'}, {'name': 'hexecho', 'solves': 53, 'category': 'Pwn'}, {'name': 'echo', 'solves': 159, 'category': 'Pwn'}, {'name': 'only-read', 'solves': 10, 'category': 'Pwn'}, {'name': 'read-write', 'solves': 17, 'category': 'Pwn'}, {'name': 'write', 'solves': 35, 'category': 'Pwn'}, {'name': 'before-write', 'solves': 70, 'category': 'Pwn'}, {'name': 'aush', 'solves': 9, 'category': 'Pwn'}, {'name': 'Memorial Cabbage', 'solves': 9, 'category': 'Pwn'}, {'name': 'vtable4b', 'solves': 25, 'category': 'Pwn'}, {'name': 'bofww', 'solves': 21, 'category': 'Pwn'}]"
753,jt5,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}, {'name': 'todo', 'solves': 13, 'category': 'Pwn'}, {'name': 'deck', 'solves': 20, 'category': 'Pwn'}, {'name': 'hexecho', 'solves': 53, 'category': 'Pwn'}, {'name': 'echo', 'solves': 159, 'category': 'Pwn'}, {'name': 'qjail', 'solves': 1, 'category': 'Pwn'}, {'name': 'BrainJIT', 'solves': 2, 'category': 'Pwn'}, {'name': 'Himitsu Note', 'solves': 1, 'category': 'Pwn'}, {'name': 'only-read', 'solves': 10, 'category': 'Pwn'}, {'name': 'read-write', 'solves': 17, 'category': 'Pwn'}, {'name': 'write', 'solves': 35, 'category': 'Pwn'}, {'name': 'before-write', 'solves': 70, 'category': 'Pwn'}]"
753,r0r1,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}]"
753,linz,"[{'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}]"
753,mora,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}, {'name': 'deck', 'solves': 20, 'category': 'Pwn'}, {'name': 'todo', 'solves': 13, 'category': 'Pwn'}, {'name': 'hexecho', 'solves': 53, 'category': 'Pwn'}, {'name': 'echo', 'solves': 159, 'category': 'Pwn'}, {'name': 'write', 'solves': 35, 'category': 'Pwn'}, {'name': 'before-write', 'solves': 70, 'category': 'Pwn'}]"
753,ren,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}]"
753,zafirr,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'wall', 'solves': 29, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}]"
553,zatsu,"[{'name': 'ideabook', 'solves': 15, 'category': 'Pwn'}, {'name': 'catcpy', 'solves': 58, 'category': 'Pwn'}, {'name': 'inbound', 'solves': 74, 'category': 'Pwn'}, {'name': 'smal arey', 'solves': 7, 'category': 'Pwn'}, {'name': 'welkerme', 'solves': 10, 'category': 'Pwn'}, {'name': 'str.vs.cstr', 'solves': 12, 'category': 'Pwn'}, {'name': 'deck', 'solves': 20, 'category': 'Pwn'}, {'name': 'todo', 'solves': 13, 'category': 'Pwn'}, {'name': 'hexecho', 'solves': 53, 'category': 'Pwn'}, {'name': 'echo', 'solves': 159, 'category': 'Pwn'}, {'name': 'bofwow', 'solves': 6, 'category': 'Pwn'}, {'name': 'only-read', 'solves': 10, 'category': 'Pwn'}, {'name': 'read-write', 'solves': 17, 'category': 'Pwn'}, {'name': 'write', 'solves': 35, 'category': 'Pwn'}, {'name': 'before-write', 'solves': 70, 'category': 'Pwn'}, {'name': 'Memorial Cabbage', 'solves': 9, 'category': 'Pwn'}, {'name': 'bofww', 'solves': 21, 'category': 'Pwn'}, {'name': 'vtable4b', 'solves': 25, 'category': 'Pwn'}]"
