points,name,challenge
1452,soon-haari,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'Equivalent Privacy Wired', 'solves': 4, 'category': 'Crypto'}, {'name': 'ffmac', 'solves': 5, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'SchnorrLCG', 'solves': 18, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
983,obe-one,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'ffmac', 'solves': 5, 'category': 'Crypto'}]"
717,babafaba,"[{'name': 'Equivalent Privacy Wired', 'solves': 4, 'category': 'Crypto'}, {'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'Rock Door', 'solves': 6, 'category': 'Crypto'}, {'name': 'CurveCrypto', 'solves': 3, 'category': 'Crypto'}, {'name': 'Anti-Fermat', 'solves': 11, 'category': 'Crypto'}, {'name': '1R-AES', 'solves': 10, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'Collision-DES', 'solves': 27, 'category': 'Crypto'}, {'name': 'Reused-AES', 'solves': 24, 'category': 'Crypto'}, {'name': 'SquareRNG', 'solves': 11, 'category': 'Crypto'}, {'name': 'brand new crypto', 'solves': 16, 'category': 'Crypto'}, {'name': 'easy_factoring', 'solves': 17, 'category': 'Crypto'}, {'name': 'simple signature', 'solves': 19, 'category': 'Crypto'}, {'name': 'frozen cake', 'solves': 43, 'category': 'Crypto'}, {'name': 'XOR-CBC', 'solves': 51, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
514,ske,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
514,zmj4396,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}]"
514,edwowmath,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
266,tko919,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
266,riantkb,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
266,hiromi-ayase,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}]"
266,tan90909090,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'Anti-Fermat', 'solves': 11, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}, {'name': 'frozen cake', 'solves': 43, 'category': 'Crypto'}]"
266,kusano,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
266,n4o847,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}]"
248,lydxn,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
248,nanakura-rin,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}]"
248,parabola0149,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}, {'name': 'Broadcasting NTRU', 'solves': 7, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'SchnorrLCG', 'solves': 18, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}, {'name': 'Collision-DES', 'solves': 27, 'category': 'Crypto'}, {'name': '1R-AES', 'solves': 10, 'category': 'Crypto'}, {'name': 'Reused-AES', 'solves': 24, 'category': 'Crypto'}, {'name': 'XOR-CBC', 'solves': 51, 'category': 'Crypto'}]"
248,con,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}]"
248,whale120,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}, {'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}]"
248,orac1e,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}]"
248,ctfguy,"[{'name': 'addprimes', 'solves': 17, 'category': 'Crypto'}]"
0,wanzkey,[]
0,gons6329,[]
0,n0name,"[{'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
0,malosdaf,"[{'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}, {'name': 'SquareRNG', 'solves': 11, 'category': 'Crypto'}, {'name': 'brand new crypto', 'solves': 16, 'category': 'Crypto'}, {'name': 'Reused-AES', 'solves': 24, 'category': 'Crypto'}, {'name': 'frozen cake', 'solves': 43, 'category': 'Crypto'}, {'name': 'XOR-CBC', 'solves': 51, 'category': 'Crypto'}, {'name': 'easy_factoring', 'solves': 17, 'category': 'Crypto'}, {'name': 'ding-dong-ting-ping', 'solves': 7, 'category': 'Crypto'}, {'name': 'janken vs yoshiking 2', 'solves': 11, 'category': 'Crypto'}, {'name': 'simple signature', 'solves': 19, 'category': 'Crypto'}]"
0,macaroon,"[{'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
0,syachicastle,[]
0,b1nd1fftr1y,[]
0,onirique,"[{'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
0,40414,[]
0,manki,"[{'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
0,zatsu,"[{'name': 'Anti-Fermat', 'solves': 11, 'category': 'Crypto'}, {'name': 'brand new crypto', 'solves': 16, 'category': 'Crypto'}, {'name': 'frozen cake', 'solves': 43, 'category': 'Crypto'}, {'name': 'SchnorrLCG', 'solves': 18, 'category': 'Crypto'}, {'name': 'NNNN', 'solves': 32, 'category': 'Crypto'}, {'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}, {'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'Hat Trick', 'solves': 47, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}, {'name': '1R-AES', 'solves': 10, 'category': 'Crypto'}, {'name': 'Collision-DES', 'solves': 27, 'category': 'Crypto'}, {'name': 'Reused-AES', 'solves': 24, 'category': 'Crypto'}, {'name': 'XOR-CBC', 'solves': 51, 'category': 'Crypto'}, {'name': 'janken vs yoshiking 2', 'solves': 11, 'category': 'Crypto'}, {'name': 'simple signature', 'solves': 19, 'category': 'Crypto'}]"
0,san,[]
0,hm3623851,[]
0,zange,[]
0,qwe854896,[]
0,akira,[]
0,1vankov,[]
0,koufu193,"[{'name': 'XOR-CBC', 'solves': 51, 'category': 'Crypto'}]"
0,v3cn4,[]
0,fzhshzh,[]
0,zencipher,[]
0,persiancats,[]
0,mjay-xandria,[]
0,wenject,[]
0,naby,"[{'name': 'A Dance of Add and Mul', 'solves': 53, 'category': 'Crypto'}, {'name': 'Rainbow Sweet Alchemist', 'solves': 79, 'category': 'Crypto'}, {'name': 'qrime', 'solves': 162, 'category': 'Crypto'}]"
0,pratik5256,[]
0,mikan,[]
0,ynatwest,[]
0,zarfix,[]
0,gigachad,[]
0,warsom77,"[{'name': 'RSAMPC', 'solves': 19, 'category': 'Crypto'}]"
0,pavan-potluri,[]
0,lakshya483,[]
0,suan,[]
0,crownprince,[]
0,skadrock,[]
0,inferiorak,[]
0,stalkernet,[]
0,swusjask,[]
0,hellobrother,[]
0,zafiro,[]
0,mengxinlin,[]
0,wrth,"[{'name': 'XorshiftStream', 'solves': 44, 'category': 'Crypto'}]"
0,lukksy,[]
