points,name,challenge
3260,HCS,"{'challenge_name': ['arduinopassword3', 'pwnc3', 'arduinopassword2', 'web2', 'pwnc2', 'arduinopassword1', 'crypto2', 'pwnc1', 'crypto3', 'crypto1', 'web1', 'sanitycheck'], 'challenge_category': ['arduino', 'pwn', 'arduino', 'web', 'pwn', 'arduino', 'crypto', 'pwn', 'crypto', 'crypto', 'web', 'check'], 'challenge_points': ['500', '250', '450', '250', '250', '300', '250', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T11:05:51.895964Z', '2024-11-23T10:48:59.878821Z', '2024-11-23T10:28:26.794810Z', '2024-11-23T10:27:13.083564Z', '2024-11-23T10:18:10.626543Z', '2024-11-23T10:00:47.302863Z', '2024-11-23T09:59:40.518777Z', '2024-11-23T09:48:50.887639Z', '2024-11-23T09:48:21.156096Z', '2024-11-23T09:46:08.775019Z', '2024-11-23T09:40:41.120096Z', '2024-11-23T09:32:14.670211Z']}"
2510,The dangers of my heart,"{'challenge_name': ['web2', 'crypto1', 'crypto2', 'arduinopassword2', 'arduinopassword1', 'pwnc3', 'pwnc2', 'pwnc1', 'web1', 'sanitycheck'], 'challenge_category': ['web', 'crypto', 'crypto', 'arduino', 'arduino', 'pwn', 'pwn', 'pwn', 'web', 'check'], 'challenge_points': ['250', '250', '250', '450', '300', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T12:27:09.794219Z', '2024-11-23T11:48:23.815659Z', '2024-11-23T11:09:38.870565Z', '2024-11-23T10:24:13.022943Z', '2024-11-23T10:20:34.741357Z', '2024-11-23T09:49:20.185363Z', '2024-11-23T09:40:51.112981Z', '2024-11-23T09:36:05.360825Z', '2024-11-23T09:33:17.018276Z', '2024-11-23T09:30:15.360232Z']}"
2260,JPIJ,"{'challenge_name': ['arduinopassword1', 'web1', 'crypto2', 'sanitycheck', 'web3', 'pwnc3', 'pwnc2', 'pwnc1', 'web2'], 'challenge_category': ['arduino', 'web', 'crypto', 'check', 'web', 'pwn', 'pwn', 'pwn', 'web'], 'challenge_points': ['300', '250', '250', '10', '450', '250', '250', '250', '250'], 'solve_time': ['2024-11-23T11:48:23.846131Z', '2024-11-23T10:39:00.313904Z', '2024-11-23T10:38:01.022646Z', '2024-11-23T10:36:39.485917Z', '2024-11-23T10:34:26.521907Z', '2024-11-23T10:18:10.314165Z', '2024-11-23T09:52:30.320319Z', '2024-11-23T09:42:19.619683Z', '2024-11-23T09:35:44.704423Z']}"
2010,Minus Zero Knowledge,"{'challenge_name': ['web2', 'pwnc3', 'pwnc2', 'pwnc1', 'crypto3', 'crypto2', 'crypto1', 'web1', 'sanitycheck'], 'challenge_category': ['web', 'pwn', 'pwn', 'pwn', 'crypto', 'crypto', 'crypto', 'web', 'check'], 'challenge_points': ['250', '250', '250', '250', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T12:01:01.492973Z', '2024-11-23T10:48:51.844900Z', '2024-11-23T10:35:16.300319Z', '2024-11-23T10:14:11.226895Z', '2024-11-23T10:09:27.549209Z', '2024-11-23T10:00:39.254062Z', '2024-11-23T09:57:28.525276Z', '2024-11-23T09:43:29.053494Z', '2024-11-23T09:37:44.596914Z']}"
1810,MindCrafters,"{'challenge_name': ['crypto3', 'crypto2', 'crypto1', 'arduinopassword1', 'web2', 'pwnc1', 'web1', 'sanitycheck'], 'challenge_category': ['crypto', 'crypto', 'crypto', 'arduino', 'web', 'pwn', 'web', 'check'], 'challenge_points': ['250', '250', '250', '300', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T10:56:59.113900Z', '2024-11-23T10:33:51.671674Z', '2024-11-23T10:29:19.619803Z', '2024-11-23T10:24:30.645461Z', '2024-11-23T10:19:47.651255Z', '2024-11-23T09:52:23.990085Z', '2024-11-23T09:36:45.623933Z', '2024-11-23T09:29:52.357143Z']}"
1760,0M3G4_SQU4D,"{'challenge_name': ['pwnc3', 'crypto1', 'web1', 'pwnc2', 'crypto3', 'crypto2', 'pwnc1', 'sanitycheck'], 'challenge_category': ['pwn', 'crypto', 'web', 'pwn', 'crypto', 'crypto', 'pwn', 'check'], 'challenge_points': ['250', '250', '250', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T12:27:20.506059Z', '2024-11-23T11:43:22.514580Z', '2024-11-23T11:18:45.958861Z', '2024-11-23T11:05:43.823425Z', '2024-11-23T10:55:35.840445Z', '2024-11-23T10:16:19.086195Z', '2024-11-23T10:11:59.352348Z', '2024-11-23T09:46:20.137556Z']}"
1510,Pekora Geng,"{'challenge_name': ['pwnc2', 'pwnc1', 'crypto1', 'crypto3', 'web1', 'crypto2', 'sanitycheck'], 'challenge_category': ['pwn', 'pwn', 'crypto', 'crypto', 'web', 'crypto', 'check'], 'challenge_points': ['250', '250', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T12:06:39.277194Z', '2024-11-23T10:21:29.014158Z', '2024-11-23T10:19:03.902943Z', '2024-11-23T10:11:26.625327Z', '2024-11-23T09:43:43.506121Z', '2024-11-23T09:33:16.552106Z', '2024-11-23T09:30:17.985423Z']}"
1310,Sqli Enjoyer,"{'challenge_name': ['arduinopassword1', 'pwnc2', 'web1', 'web2', 'pwnc1', 'sanitycheck'], 'challenge_category': ['arduino', 'pwn', 'web', 'web', 'pwn', 'check'], 'challenge_points': ['300', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T11:57:21.918655Z', '2024-11-23T11:06:43.150692Z', '2024-11-23T10:01:59.549859Z', '2024-11-23T09:52:40.023743Z', '2024-11-23T09:46:25.756633Z', '2024-11-23T09:31:01.820930Z']}"
1260,ASIS,"{'challenge_name': ['web1', 'pwnc1', 'crypto2', 'crypto1', 'crypto3', 'sanitycheck'], 'challenge_category': ['web', 'pwn', 'crypto', 'crypto', 'crypto', 'check'], 'challenge_points': ['250', '250', '250', '250', '250', '10'], 'solve_time': ['2024-11-23T10:55:52.910195Z', '2024-11-23T10:42:59.293555Z', '2024-11-23T10:17:06.560811Z', '2024-11-23T10:07:55.783268Z', '2024-11-23T10:05:22.507203Z', '2024-11-23T09:31:46.962321Z']}"
1260,chp0ck3r$,"{'challenge_name': ['crypto1', 'crypto2', 'web2', 'pwnc1', 'sanitycheck', 'web1'], 'challenge_category': ['crypto', 'crypto', 'web', 'pwn', 'check', 'web'], 'challenge_points': ['250', '250', '250', '250', '10', '250'], 'solve_time': ['2024-11-23T12:11:05.451288Z', '2024-11-23T12:07:59.121446Z', '2024-11-23T11:49:54.926578Z', '2024-11-23T10:42:24.931293Z', '2024-11-23T10:41:05.181278Z', '2024-11-23T10:07:31.939476Z']}"
