points,name,challenge
12435,L3an,"{'challenge_name': ['FCSIGN', 'Flash Game Studio', 'Lazy Streamer', 'RF Fan', 'Real Forensics', 'Hot and Heavy', 'Clue', 'Bonk4Cash', 'riscy', 'vecwhymm', 'Fact', 'pandora', 'Attack of the Pentium 4', 'xorsa', 'Falling Blocks', 'Rush Hour v2', 'Multiplayer', 'Hidden in Flash', 'Macrotrace', 'Bullet Dodge', 'Rush Hour', 'the void', 'Tower Signal', 'Conundrum', 'calculator', 'Ghost in the Leg', 'Disordered Tree', 'BuRGerCode', 'Welcome Challenge!', 'Odd One Out', 'No Updates'], 'challenge_category': ['hardware', 'web', 'crypto', 'hardware', 'forensics', 'crypto', 'pwn', 'web', 'pwn', 'rev', 'pwn', 'misc', 'osint', 'crypto', 'web', 'web', 'osint', 'hardware', 'forensics', 'rev', 'web', 'rev', 'misc', 'rev', 'pwn', 'misc', 'crypto', 'crypto', 'welcome', 'misc', 'forensics'], 'challenge_points': ['500', '496', '500', '497', '499', '499', '496', '493', '477', '500', '433', '498', '469', '488', '423', '426', '100', '499', '100', '310', '388', '486', '477', '446', '481', '499', '326', '100', '50', '379', '100'], 'solve_time': ['2025-04-20T10:01:21.689242Z', '2025-04-20T07:42:42.627352Z', '2025-04-20T04:46:53.893557Z', '2025-04-20T04:39:19.324991Z', '2025-04-20T04:04:22.202525Z', '2025-04-20T03:07:28.655589Z', '2025-04-20T00:44:09.752572Z', '2025-04-19T18:28:43.993559Z', '2025-04-19T18:26:03.901796Z', '2025-04-19T17:57:00.644193Z', '2025-04-19T15:57:44.476917Z', '2025-04-19T12:00:53.752907Z', '2025-04-19T11:02:46.938428Z', '2025-04-19T07:08:31.521856Z', '2025-04-19T06:10:06.015688Z', '2025-04-19T05:00:19.091431Z', '2025-04-19T04:40:44.792472Z', '2025-04-19T02:37:29.961454Z', '2025-04-19T02:21:32.700485Z', '2025-04-19T02:07:27.389569Z', '2025-04-19T01:06:08.509341Z', '2025-04-19T00:33:34.132462Z', '2025-04-18T23:36:34.610670Z', '2025-04-18T22:58:06.288499Z', '2025-04-18T22:28:40.789726Z', '2025-04-18T21:17:02.353910Z', '2025-04-18T20:14:59.774475Z', '2025-04-18T19:50:20.867635Z', '2025-04-18T18:26:32.356148Z', '2025-04-18T18:25:32.425291Z', '2025-04-18T18:07:22.022324Z']}"
10936,World Wide Flags,"{'challenge_name': ['RF Fan', 'Real Forensics', 'FCSIGN', 'Flash Game Studio', 'Bonk4Cash', 'riscy', 'Fact', 'Ghost in the Leg', 'Clue', 'Conundrum', 'Falling Blocks', 'xorsa', 'Rush Hour v2', 'Rush Hour', 'Bullet Dodge', 'Macrotrace', 'Multiplayer', 'Hidden in Flash', 'Attack of the Pentium 4', 'calculator', 'pandora', 'the void', 'Tower Signal', 'Disordered Tree', 'BuRGerCode', 'Welcome Challenge!', 'Odd One Out', 'No Updates'], 'challenge_category': ['hardware', 'forensics', 'hardware', 'web', 'web', 'pwn', 'pwn', 'misc', 'pwn', 'rev', 'web', 'crypto', 'web', 'web', 'rev', 'forensics', 'osint', 'hardware', 'osint', 'pwn', 'misc', 'rev', 'misc', 'crypto', 'crypto', 'welcome', 'misc', 'forensics'], 'challenge_points': ['497', '499', '500', '496', '493', '477', '433', '499', '496', '446', '423', '488', '426', '388', '310', '100', '100', '499', '469', '481', '498', '486', '477', '326', '100', '50', '379', '100'], 'solve_time': ['2025-04-20T17:17:33.899173Z', '2025-04-20T16:18:42.028460Z', '2025-04-20T02:06:51.641689Z', '2025-04-20T00:15:20.347615Z', '2025-04-19T18:09:38.364407Z', '2025-04-19T17:30:40.114080Z', '2025-04-19T15:13:01.277473Z', '2025-04-19T13:49:23.232002Z', '2025-04-19T12:57:15.959911Z', '2025-04-19T09:15:34.791477Z', '2025-04-19T08:32:42.495651Z', '2025-04-19T08:03:17.536751Z', '2025-04-19T07:46:07.758130Z', '2025-04-19T06:57:08.874629Z', '2025-04-19T04:42:37.697009Z', '2025-04-19T03:52:03.981843Z', '2025-04-19T03:25:40.102799Z', '2025-04-19T03:20:59.944446Z', '2025-04-19T01:51:04.283223Z', '2025-04-19T00:00:51.942236Z', '2025-04-18T23:06:31.940119Z', '2025-04-18T22:25:04.539617Z', '2025-04-18T22:14:26.303704Z', '2025-04-18T20:46:08.297128Z', '2025-04-18T19:32:08.020010Z', '2025-04-18T18:25:22.878242Z', '2025-04-18T18:20:44.591161Z', '2025-04-18T18:07:40.495408Z']}"
9940,SNI,"{'challenge_name': ['Ghost in the Leg', 'pandora', 'vecwhymm', 'Real Forensics', 'Tower Signal', 'Flash Game Studio', 'Bonk4Cash', 'riscy', 'Fact', 'xorsa', 'Attack of the Pentium 4', 'Rush Hour v2', 'Multiplayer', 'Falling Blocks', 'Bullet Dodge', 'Macrotrace', 'calculator', 'Clue', 'Rush Hour', 'Conundrum', 'the void', 'Disordered Tree', 'BuRGerCode', 'Odd One Out', 'Welcome Challenge!', 'No Updates'], 'challenge_category': ['misc', 'misc', 'rev', 'forensics', 'misc', 'web', 'web', 'pwn', 'pwn', 'crypto', 'osint', 'web', 'osint', 'web', 'rev', 'forensics', 'pwn', 'pwn', 'web', 'rev', 'rev', 'crypto', 'crypto', 'misc', 'welcome', 'forensics'], 'challenge_points': ['499', '498', '500', '499', '477', '496', '493', '477', '433', '488', '469', '426', '100', '423', '310', '100', '481', '496', '388', '446', '486', '326', '100', '379', '50', '100'], 'solve_time': ['2025-04-20T17:10:32.306366Z', '2025-04-20T16:20:27.401068Z', '2025-04-20T10:16:25.500008Z', '2025-04-20T08:06:22.488884Z', '2025-04-20T07:59:06.394634Z', '2025-04-20T04:04:48.039581Z', '2025-04-19T18:08:14.127481Z', '2025-04-19T17:41:37.875615Z', '2025-04-19T15:54:54.064722Z', '2025-04-19T14:34:15.773360Z', '2025-04-19T08:58:07.227523Z', '2025-04-19T04:58:02.274627Z', '2025-04-19T04:23:54.445807Z', '2025-04-19T03:19:50.348936Z', '2025-04-19T03:06:58.095459Z', '2025-04-19T02:15:42.882741Z', '2025-04-18T22:48:24.484592Z', '2025-04-18T21:44:10.275929Z', '2025-04-18T21:18:22.664712Z', '2025-04-18T21:10:03.776904Z', '2025-04-18T20:31:15.589196Z', '2025-04-18T19:36:22.735043Z', '2025-04-18T19:29:30.534784Z', '2025-04-18T18:52:17.361090Z', '2025-04-18T18:26:18.429880Z', '2025-04-18T18:10:08.410244Z']}"
9483,Kalmarunionen,"{'challenge_name': ['calculator', 'Tower Signal', 'Odd One Out', 'Ghost in the Leg', 'riscy', 'Real Forensics', 'Multiplayer', 'Fact', 'Disordered Tree', 'Macrotrace', 'Flash Game Studio', 'FCSIGN', 'Bonk4Cash', 'Falling Blocks', 'pandora', 'Bullet Dodge', 'Rush Hour v2', 'Welcome Challenge!', 'RF Fan', 'BuRGerCode', 'Conundrum', 'the void', 'Rush Hour', 'Hidden in Flash', 'No Updates'], 'challenge_category': ['pwn', 'misc', 'misc', 'misc', 'pwn', 'forensics', 'osint', 'pwn', 'crypto', 'forensics', 'web', 'hardware', 'web', 'web', 'misc', 'rev', 'web', 'welcome', 'hardware', 'crypto', 'rev', 'rev', 'web', 'hardware', 'forensics'], 'challenge_points': ['481', '477', '379', '499', '477', '499', '100', '433', '326', '100', '496', '500', '493', '423', '498', '310', '426', '50', '497', '100', '446', '486', '388', '499', '100'], 'solve_time': ['2025-04-20T22:53:57.547070Z', '2025-04-20T20:26:03.724364Z', '2025-04-20T19:57:25.000062Z', '2025-04-20T18:46:04.382827Z', '2025-04-20T18:21:32.698825Z', '2025-04-20T16:34:36.551175Z', '2025-04-20T12:53:14.921498Z', '2025-04-20T02:52:12.365346Z', '2025-04-20T01:27:35.069973Z', '2025-04-20T00:29:12.959145Z', '2025-04-19T21:55:30.243733Z', '2025-04-19T21:54:41.200701Z', '2025-04-19T18:10:26.054367Z', '2025-04-19T17:47:19.963147Z', '2025-04-19T14:50:34.283811Z', '2025-04-19T09:37:56.081542Z', '2025-04-19T09:06:28.256095Z', '2025-04-19T02:16:29.388200Z', '2025-04-19T01:46:02.736010Z', '2025-04-19T00:38:20.132834Z', '2025-04-18T23:53:32.580995Z', '2025-04-18T23:28:04.702694Z', '2025-04-18T21:49:43.073953Z', '2025-04-18T21:41:39.096624Z', '2025-04-18T18:17:47.946557Z']}"
8948,BKISC,"{'challenge_name': ['Bonk4Cash', 'Hot and Heavy', 'riscy', 'pandora', 'Fact', 'Tower Signal', 'Odd One Out', 'vecwhymm', 'Real Forensics', 'Falling Blocks', 'Attack of the Pentium 4', 'Multiplayer', 'xorsa', 'calculator', 'the void', 'Disordered Tree', 'Rush Hour v2', 'Rush Hour', 'Conundrum', 'Macrotrace', 'No Updates', 'Bullet Dodge', 'BuRGerCode', 'Welcome Challenge!'], 'challenge_category': ['web', 'crypto', 'pwn', 'misc', 'pwn', 'misc', 'misc', 'rev', 'forensics', 'web', 'osint', 'osint', 'crypto', 'pwn', 'rev', 'crypto', 'web', 'web', 'rev', 'forensics', 'forensics', 'rev', 'crypto', 'welcome'], 'challenge_points': ['493', '499', '477', '498', '433', '477', '379', '500', '499', '423', '469', '100', '488', '481', '486', '326', '426', '388', '446', '100', '100', '310', '100', '50'], 'solve_time': ['2025-04-20T17:18:43.096892Z', '2025-04-20T16:13:05.121769Z', '2025-04-20T16:06:23.896928Z', '2025-04-20T15:55:57.575329Z', '2025-04-20T15:11:40.509950Z', '2025-04-20T14:34:32.624413Z', '2025-04-20T12:45:18.016805Z', '2025-04-20T12:16:18.246114Z', '2025-04-20T10:06:37.801067Z', '2025-04-20T09:42:14.976066Z', '2025-04-20T08:40:57.149644Z', '2025-04-20T08:27:58.186808Z', '2025-04-20T08:25:52.974220Z', '2025-04-19T18:11:38.186828Z', '2025-04-19T08:32:03.021269Z', '2025-04-19T07:03:24.198997Z', '2025-04-19T05:39:29.066941Z', '2025-04-19T05:00:11.462686Z', '2025-04-19T03:06:51.273134Z', '2025-04-19T02:20:01.583271Z', '2025-04-19T01:32:10.567654Z', '2025-04-19T00:54:12.119742Z', '2025-04-18T20:01:15.640172Z', '2025-04-18T19:55:54.265875Z']}"
7481,Flag Fortress 2,"{'challenge_name': ['Conundrum', 'pandora', 'the void', 'Falling Blocks', 'Disordered Tree', 'riscy', 'Rush Hour v2', 'Rush Hour', 'Tower Signal', 'Clue', 'RF Fan', 'Fact', 'Bullet Dodge', 'Multiplayer', 'calculator', 'Macrotrace', 'xorsa', 'BuRGerCode', 'Odd One Out', 'Welcome Challenge!', 'No Updates'], 'challenge_category': ['rev', 'misc', 'rev', 'web', 'crypto', 'pwn', 'web', 'web', 'misc', 'pwn', 'hardware', 'pwn', 'rev', 'osint', 'pwn', 'forensics', 'crypto', 'crypto', 'misc', 'welcome', 'forensics'], 'challenge_points': ['446', '498', '486', '423', '326', '477', '426', '388', '477', '496', '497', '433', '310', '100', '481', '100', '488', '100', '379', '50', '100'], 'solve_time': ['2025-04-20T16:03:45.691612Z', '2025-04-20T05:14:56.394298Z', '2025-04-19T20:57:24.548432Z', '2025-04-19T19:09:31.554039Z', '2025-04-19T18:04:23.542489Z', '2025-04-19T17:45:56.749316Z', '2025-04-19T17:40:26.457897Z', '2025-04-19T16:36:05.567757Z', '2025-04-19T16:26:48.420328Z', '2025-04-19T16:18:49.752112Z', '2025-04-19T16:04:46.686224Z', '2025-04-19T15:20:55.640737Z', '2025-04-19T13:52:33.524859Z', '2025-04-19T12:45:52.168600Z', '2025-04-19T12:14:47.672666Z', '2025-04-19T10:17:42.597929Z', '2025-04-19T02:15:34.922786Z', '2025-04-18T20:52:56.152098Z', '2025-04-18T18:49:43.774322Z', '2025-04-18T18:26:36.401474Z', '2025-04-18T18:09:39.550287Z']}"
7456,PwnSec,"{'challenge_name': ['riscy', 'Fact', 'the void', 'Hot and Heavy', 'pandora', 'xorsa', 'Falling Blocks', 'calculator', 'Tower Signal', 'Odd One Out', 'Bullet Dodge', 'Disordered Tree', 'Rush Hour v2', 'Macrotrace', 'Rush Hour', 'Multiplayer', 'Attack of the Pentium 4', 'Conundrum', 'BuRGerCode', 'Welcome Challenge!', 'No Updates'], 'challenge_category': ['pwn', 'pwn', 'rev', 'crypto', 'misc', 'crypto', 'web', 'pwn', 'misc', 'misc', 'rev', 'crypto', 'web', 'forensics', 'web', 'osint', 'osint', 'rev', 'crypto', 'welcome', 'forensics'], 'challenge_points': ['477', '433', '486', '499', '498', '488', '423', '481', '477', '379', '310', '326', '426', '100', '388', '100', '469', '446', '100', '50', '100'], 'solve_time': ['2025-04-20T20:30:45.780187Z', '2025-04-20T19:47:00.954433Z', '2025-04-20T12:25:45.251621Z', '2025-04-20T11:14:43.667342Z', '2025-04-19T23:13:14.214631Z', '2025-04-19T22:01:13.724202Z', '2025-04-19T21:48:47.815763Z', '2025-04-19T20:54:43.925475Z', '2025-04-19T14:57:59.842463Z', '2025-04-19T13:34:11.059278Z', '2025-04-19T12:11:22.443488Z', '2025-04-19T10:45:37.965305Z', '2025-04-19T10:07:15.447497Z', '2025-04-19T08:56:59.268779Z', '2025-04-19T08:26:28.661669Z', '2025-04-19T04:02:26.809909Z', '2025-04-19T03:11:58.958907Z', '2025-04-18T19:47:01.152019Z', '2025-04-18T19:40:16.516366Z', '2025-04-18T18:26:39.003686Z', '2025-04-18T18:13:22.680957Z']}"
6972,xSTF,"{'challenge_name': ['Attack of the Pentium 4', 'Lazy Streamer', 'Conundrum', 'Hot and Heavy', 'xorsa', 'Disordered Tree', 'Bullet Dodge', 'Rush Hour v2', 'Fact', 'Falling Blocks', 'riscy', 'calculator', 'Rush Hour', 'Tower Signal', 'BuRGerCode', 'Multiplayer', 'Macrotrace', 'Odd One Out', 'Welcome Challenge!', 'No Updates'], 'challenge_category': ['osint', 'crypto', 'rev', 'crypto', 'crypto', 'crypto', 'rev', 'web', 'pwn', 'web', 'pwn', 'pwn', 'web', 'misc', 'crypto', 'osint', 'forensics', 'misc', 'welcome', 'forensics'], 'challenge_points': ['469', '500', '446', '499', '488', '326', '310', '426', '433', '423', '477', '481', '388', '477', '100', '100', '100', '379', '50', '100'], 'solve_time': ['2025-04-20T22:08:40.457207Z', '2025-04-20T21:53:17.824796Z', '2025-04-20T21:03:30.100258Z', '2025-04-20T20:44:47.013372Z', '2025-04-20T18:43:40.101503Z', '2025-04-20T18:43:30.545614Z', '2025-04-20T16:38:32.313664Z', '2025-04-20T14:35:41.885169Z', '2025-04-20T00:55:51.602571Z', '2025-04-20T00:49:06.647766Z', '2025-04-19T23:34:19.182495Z', '2025-04-19T22:13:13.551083Z', '2025-04-19T19:51:01.690209Z', '2025-04-19T16:47:31.819668Z', '2025-04-19T15:34:54.041377Z', '2025-04-19T13:01:29.536309Z', '2025-04-19T11:47:31.302581Z', '2025-04-18T20:51:26.705803Z', '2025-04-18T18:25:36.024626Z', '2025-04-18T18:09:20.408677Z']}"
6970,bi0s,"{'challenge_name': ['Flash Game Studio', 'Fact', 'Bonk4Cash', 'riscy', 'Rush Hour v2', 'Rush Hour', 'Attack of the Pentium 4', 'Falling Blocks', 'Conundrum', 'Clue', 'Bullet Dodge', 'Disordered Tree', 'Multiplayer', 'Tower Signal', 'BuRGerCode', 'Macrotrace', 'calculator', 'Odd One Out', 'Welcome Challenge!', 'No Updates'], 'challenge_category': ['web', 'pwn', 'web', 'pwn', 'web', 'web', 'osint', 'web', 'rev', 'pwn', 'rev', 'crypto', 'osint', 'misc', 'crypto', 'forensics', 'pwn', 'misc', 'welcome', 'forensics'], 'challenge_points': ['496', '433', '493', '477', '426', '388', '469', '423', '446', '496', '310', '326', '100', '477', '100', '100', '481', '379', '50', '100'], 'solve_time': ['2025-04-19T19:22:39.518220Z', '2025-04-19T18:46:56.893093Z', '2025-04-19T18:08:37.003597Z', '2025-04-19T17:30:23.990417Z', '2025-04-19T15:04:20.368226Z', '2025-04-19T13:50:58.192422Z', '2025-04-19T12:33:19.447283Z', '2025-04-19T11:50:23.638082Z', '2025-04-19T09:40:48.830099Z', '2025-04-19T09:31:42.157667Z', '2025-04-19T08:36:47.019420Z', '2025-04-19T06:15:01.540723Z', '2025-04-19T05:42:17.880451Z', '2025-04-19T03:26:09.883985Z', '2025-04-19T03:20:06.021931Z', '2025-04-19T02:12:51.839680Z', '2025-04-18T20:18:48.585808Z', '2025-04-18T18:49:22.212222Z', '2025-04-18T18:25:36.413435Z', '2025-04-18T18:08:12.684998Z']}"
6409,USTC-NEBULA,"{'challenge_name': ['vecwhymm', 'Rush Hour v2', 'the void', 'Bullet Dodge', 'Clue', 'Rush Hour', 'riscy', 'calculator', 'Fact', 'Conundrum', 'Falling Blocks', 'Odd One Out', 'Macrotrace', 'xorsa', 'Disordered Tree', 'BuRGerCode', 'No Updates', 'Welcome Challenge!'], 'challenge_category': ['rev', 'web', 'rev', 'rev', 'pwn', 'web', 'pwn', 'pwn', 'pwn', 'rev', 'web', 'misc', 'forensics', 'crypto', 'crypto', 'crypto', 'forensics', 'welcome'], 'challenge_points': ['500', '426', '486', '310', '496', '388', '477', '481', '433', '446', '423', '379', '100', '488', '326', '100', '100', '50'], 'solve_time': ['2025-04-20T14:46:49.716342Z', '2025-04-20T14:33:00.188058Z', '2025-04-20T12:18:21.422675Z', '2025-04-20T11:23:31.900130Z', '2025-04-20T10:13:18.068484Z', '2025-04-20T09:00:38.747414Z', '2025-04-20T07:48:13.445829Z', '2025-04-20T06:25:49.000257Z', '2025-04-20T05:20:30.442517Z', '2025-04-20T01:58:19.352472Z', '2025-04-19T14:43:53.833774Z', '2025-04-19T12:07:11.614637Z', '2025-04-19T09:44:29.236505Z', '2025-04-19T09:23:20.282204Z', '2025-04-19T08:50:20.343271Z', '2025-04-19T05:03:12.266176Z', '2025-04-18T18:54:14.720137Z', '2025-04-18T18:50:13.811442Z']}"
