points,name,challenge
7776,P0rtal,"{'challenge_name': ['signmeup', 'wasmwbw', 'voteme', 'SkiData', 'Ramo', 'qamu', 'Arctic Vault', 'Frozymarket', 'FindMe', 'ksmaze', 'drainme', 'GlacierChat', 'typstastic', 'AES Overdrive', 'Fuzzybytes', 'FROST', 'Korra', 'WeirdRedundancy', 'Schrödinger Compiler', 'static-notes', 'LetterBox', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['crypto', 'pwn', 'blockchain', 'web', 'rev', 'rev', 'blockchain', 'blockchain', 'misc', 'rev', 'blockchain', 'web', 'misc', 'crypto', 'web', 'misc', 'misc', 'rev', 'misc', 'pwn', 'pwn', 'crypto', 'welcome'], 'challenge_points': ['496', '499', '489', '183', '454', '498', '454', '405', '50', '500', '304', '227', '50', '454', '50', '470', '436', '482', '421', '500', '254', '50', '50'], 'solve_time': ['2024-11-23T16:24:38.750876Z', '2024-11-23T15:13:26.583195Z', '2024-11-23T10:46:52.629873Z', '2024-11-23T10:02:02.696282Z', '2024-11-23T07:21:13.329269Z', '2024-11-23T06:29:32.431173Z', '2024-11-23T04:46:34.971664Z', '2024-11-23T02:49:53.337124Z', '2024-11-23T02:22:58.698345Z', '2024-11-23T02:05:42.234329Z', '2024-11-22T23:55:01.879543Z', '2024-11-22T23:17:24.455158Z', '2024-11-22T23:10:08.280249Z', '2024-11-22T21:47:41.626560Z', '2024-11-22T21:29:56.377514Z', '2024-11-22T21:19:39.622390Z', '2024-11-22T21:05:30.310186Z', '2024-11-22T20:52:29.105630Z', '2024-11-22T20:41:07.739801Z', '2024-11-22T20:38:38.800549Z', '2024-11-22T19:05:01.888415Z', '2024-11-22T18:59:40.954477Z', '2024-11-22T18:01:29.044671Z']}"
6773,TU Delft CTF Team,"{'challenge_name': ['qamu', 'Genie in an ELF', 'AES Overdrive', 'FROST', 'voteme', 'LetterBox', 'Schrödinger Compiler', 'WeirdRedundancy', 'Ramo', 'Fuzzybytes', 'typstastic', 'FindMe', 'Arctic Vault', 'GlacierChat', 'Frozymarket', 'signmeup', 'Korra', 'drainme', 'SkiData', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['rev', 'pwn', 'crypto', 'misc', 'blockchain', 'pwn', 'misc', 'rev', 'rev', 'web', 'misc', 'misc', 'blockchain', 'web', 'blockchain', 'crypto', 'misc', 'blockchain', 'web', 'crypto', 'welcome'], 'challenge_points': ['498', '496', '454', '470', '489', '254', '421', '482', '454', '50', '50', '50', '454', '227', '405', '496', '436', '304', '183', '50', '50'], 'solve_time': ['2024-11-23T17:32:07.289485Z', '2024-11-23T14:10:33.229176Z', '2024-11-23T12:51:07.226207Z', '2024-11-23T09:25:03.077515Z', '2024-11-23T09:21:20.561735Z', '2024-11-23T08:10:52.106371Z', '2024-11-23T03:22:21.133196Z', '2024-11-23T01:32:29.224105Z', '2024-11-22T23:30:17.029368Z', '2024-11-22T22:09:20.950103Z', '2024-11-22T21:51:34.475177Z', '2024-11-22T21:11:06.640911Z', '2024-11-22T21:04:33.875146Z', '2024-11-22T20:41:31.968790Z', '2024-11-22T20:36:21.497210Z', '2024-11-22T20:19:54.949949Z', '2024-11-22T20:19:09.051210Z', '2024-11-22T20:05:11.891948Z', '2024-11-22T19:02:03.473337Z', '2024-11-22T18:11:24.038961Z', '2024-11-22T18:00:13.568782Z']}"
5335,KITCTF,"{'challenge_name': ['drainme', 'Frozymarket', 'wasmwbw', 'Genie in an ELF', 'FROST', 'AES Overdrive', 'LetterBox', 'SkiData', 'GlacierChat', 'Ramo', 'WeirdRedundancy', 'Fuzzybytes', 'Korra', 'Schrödinger Compiler', 'FindMe', 'Rivest–Shamir–Adleman-Germain', 'typstastic', 'Welcome'], 'challenge_category': ['blockchain', 'blockchain', 'pwn', 'pwn', 'misc', 'crypto', 'pwn', 'web', 'web', 'rev', 'rev', 'web', 'misc', 'misc', 'misc', 'crypto', 'misc', 'welcome'], 'challenge_points': ['304', '405', '499', '496', '470', '454', '254', '183', '227', '454', '482', '50', '436', '421', '50', '50', '50', '50'], 'solve_time': ['2024-11-23T16:22:40.811317Z', '2024-11-23T15:38:04.743124Z', '2024-11-23T13:01:32.351079Z', '2024-11-23T10:23:25.230410Z', '2024-11-23T08:08:26.080506Z', '2024-11-23T07:55:20.301072Z', '2024-11-23T06:36:01.337163Z', '2024-11-23T02:48:39.701342Z', '2024-11-23T01:46:23.809492Z', '2024-11-22T23:56:35.554525Z', '2024-11-22T23:31:40.328681Z', '2024-11-22T23:01:35.715705Z', '2024-11-22T22:18:40.551552Z', '2024-11-22T21:13:42.196823Z', '2024-11-22T19:59:36.617289Z', '2024-11-22T19:00:51.066512Z', '2024-11-22T18:32:48.614636Z', '2024-11-22T18:02:29.995339Z']}"
5117,".;,;.","{'challenge_name': ['voteme', 'Schrödinger Compiler', 'SkiData', 'Genie in an ELF', 'qamu', 'AES Overdrive', 'Frozymarket', 'Arctic Vault', 'typstastic', 'WeirdRedundancy', 'Ramo', 'Fuzzybytes', 'FindMe', 'drainme', 'GlacierChat', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['blockchain', 'misc', 'web', 'pwn', 'rev', 'crypto', 'blockchain', 'blockchain', 'misc', 'rev', 'rev', 'web', 'misc', 'blockchain', 'web', 'crypto', 'welcome'], 'challenge_points': ['489', '421', '183', '496', '498', '454', '405', '454', '50', '482', '454', '50', '50', '304', '227', '50', '50'], 'solve_time': ['2024-11-23T13:47:10.681863Z', '2024-11-23T10:09:46.417161Z', '2024-11-23T06:26:47.931553Z', '2024-11-23T05:52:12.338485Z', '2024-11-23T05:00:28.998176Z', '2024-11-23T02:58:21.778953Z', '2024-11-23T02:56:35.184575Z', '2024-11-23T02:40:45.769753Z', '2024-11-23T02:11:34.656379Z', '2024-11-23T00:28:50.901269Z', '2024-11-22T23:59:58.173128Z', '2024-11-22T23:14:27.251733Z', '2024-11-22T22:45:03.010811Z', '2024-11-22T20:54:42.958074Z', '2024-11-22T19:56:29.473000Z', '2024-11-22T18:16:38.728306Z', '2024-11-22T18:01:20.335755Z']}"
4630,noreply,"{'challenge_name': ['Korra', 'qamu', 'voteme', 'Schrödinger Compiler', 'WeirdRedundancy', 'SkiData', 'Fuzzybytes', 'LetterBox', 'Frozymarket', 'Ramo', 'Arctic Vault', 'typstastic', 'drainme', 'FindMe', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['misc', 'rev', 'blockchain', 'misc', 'rev', 'web', 'web', 'pwn', 'blockchain', 'rev', 'blockchain', 'misc', 'blockchain', 'misc', 'crypto', 'welcome'], 'challenge_points': ['436', '498', '489', '421', '482', '183', '50', '254', '405', '454', '454', '50', '304', '50', '50', '50'], 'solve_time': ['2024-11-23T17:40:11.838359Z', '2024-11-23T14:29:45.358565Z', '2024-11-23T13:08:08.356575Z', '2024-11-23T12:02:16.830437Z', '2024-11-23T11:49:24.327550Z', '2024-11-23T03:17:31.603061Z', '2024-11-22T23:58:30.239655Z', '2024-11-22T23:47:09.961516Z', '2024-11-22T22:37:09.444544Z', '2024-11-22T22:09:14.956091Z', '2024-11-22T21:07:49.487177Z', '2024-11-22T20:39:10.337448Z', '2024-11-22T19:44:02.472654Z', '2024-11-22T18:31:49.006440Z', '2024-11-22T18:08:12.014918Z', '2024-11-22T18:02:56.973893Z']}"
4099,PBR | UCLA,"{'challenge_name': ['GlacierChat', 'static-notes', 'SkiData', 'Fuzzybytes', 'LetterBox', 'Frozymarket', 'Arctic Vault', 'wasmwbw', 'FindMe', 'typstastic', 'FROST', 'Schrödinger Compiler', 'Korra', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['web', 'pwn', 'web', 'web', 'pwn', 'blockchain', 'blockchain', 'pwn', 'misc', 'misc', 'misc', 'misc', 'misc', 'crypto', 'welcome'], 'challenge_points': ['227', '500', '183', '50', '254', '405', '454', '499', '50', '50', '470', '421', '436', '50', '50'], 'solve_time': ['2024-11-23T12:09:26.477418Z', '2024-11-23T11:34:43.955984Z', '2024-11-23T09:38:26.618485Z', '2024-11-23T04:40:04.048140Z', '2024-11-23T04:29:42.210546Z', '2024-11-23T04:16:30.306212Z', '2024-11-23T03:56:15.704200Z', '2024-11-23T03:27:07.185130Z', '2024-11-23T01:19:46.828663Z', '2024-11-23T01:10:20.825525Z', '2024-11-23T00:35:47.830301Z', '2024-11-22T23:53:28.080258Z', '2024-11-22T21:36:06.396682Z', '2024-11-22T19:15:25.248777Z', '2024-11-22T19:02:39.710701Z']}"
3653,Squid Proxy Lovers,"{'challenge_name': ['WeirdRedundancy', 'GlacierChat', 'Fuzzybytes', 'FROST', 'Ramo', 'Frozymarket', 'LetterBox', 'FindMe', 'Schrödinger Compiler', 'drainme', 'Korra', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['rev', 'web', 'web', 'misc', 'rev', 'blockchain', 'pwn', 'misc', 'misc', 'blockchain', 'misc', 'crypto', 'welcome'], 'challenge_points': ['482', '227', '50', '470', '454', '405', '254', '50', '421', '304', '436', '50', '50'], 'solve_time': ['2024-11-23T04:11:47.954474Z', '2024-11-23T03:24:57.047495Z', '2024-11-23T03:20:35.201032Z', '2024-11-23T01:22:04.091279Z', '2024-11-23T00:27:41.957955Z', '2024-11-22T22:33:16.302217Z', '2024-11-22T20:36:45.759969Z', '2024-11-22T20:18:47.689048Z', '2024-11-22T20:18:42.571223Z', '2024-11-22T19:24:16.995318Z', '2024-11-22T18:42:09.895347Z', '2024-11-22T18:19:03.441715Z', '2024-11-22T18:03:07.309544Z']}"
3639,The Few Chosen,"{'challenge_name': ['voteme', 'Schrödinger Compiler', 'GlacierChat', 'Arctic Vault', 'Frozymarket', 'Korra', 'FROST', 'Fuzzybytes', 'SkiData', 'FindMe', 'drainme', 'typstastic', 'Rivest–Shamir–Adleman-Germain', 'Welcome'], 'challenge_category': ['blockchain', 'misc', 'web', 'blockchain', 'blockchain', 'misc', 'misc', 'web', 'web', 'misc', 'blockchain', 'misc', 'crypto', 'welcome'], 'challenge_points': ['489', '421', '227', '454', '405', '436', '470', '50', '183', '50', '304', '50', '50', '50'], 'solve_time': ['2024-11-23T09:40:00.439997Z', '2024-11-23T04:33:18.367047Z', '2024-11-23T01:42:58.400875Z', '2024-11-22T23:35:40.811210Z', '2024-11-22T23:18:38.309605Z', '2024-11-22T22:53:22.402524Z', '2024-11-22T22:26:50.274755Z', '2024-11-22T22:01:09.174116Z', '2024-11-22T21:22:28.337673Z', '2024-11-22T21:01:29.857825Z', '2024-11-22T20:25:22.355649Z', '2024-11-22T20:03:21.820805Z', '2024-11-22T18:12:58.985421Z', '2024-11-22T18:00:20.025305Z']}"
3589,Gimel,"{'challenge_name': ['FROST', 'Korra', 'Frozymarket', 'GlacierChat', 'Schrödinger Compiler', 'Rivest–Shamir–Adleman-Germain', 'typstastic', 'Arctic Vault', 'Fuzzybytes', 'voteme', 'SkiData', 'drainme', 'Welcome'], 'challenge_category': ['misc', 'misc', 'blockchain', 'web', 'misc', 'crypto', 'misc', 'blockchain', 'web', 'blockchain', 'web', 'blockchain', 'welcome'], 'challenge_points': ['470', '436', '405', '227', '421', '50', '50', '454', '50', '489', '183', '304', '50'], 'solve_time': ['2024-11-23T17:14:27.074793Z', '2024-11-23T16:35:08.407727Z', '2024-11-23T11:18:32.978598Z', '2024-11-23T01:14:47.967365Z', '2024-11-23T00:38:07.146877Z', '2024-11-22T23:16:08.373203Z', '2024-11-22T22:32:50.876720Z', '2024-11-22T22:30:31.244373Z', '2024-11-22T22:13:36.517053Z', '2024-11-22T22:08:34.112915Z', '2024-11-22T20:54:58.308801Z', '2024-11-22T18:58:51.660511Z', '2024-11-22T18:00:38.812168Z']}"
3404,valgrind,"{'challenge_name': ['FROST', 'Schrödinger Compiler', 'Frozymarket', 'LetterBox', 'Korra', 'typstastic', 'SkiData', 'FindMe', 'Fuzzybytes', 'GlacierChat', 'Arctic Vault', 'Rivest–Shamir–Adleman-Germain', 'drainme', 'Welcome'], 'challenge_category': ['misc', 'misc', 'blockchain', 'pwn', 'misc', 'misc', 'web', 'misc', 'web', 'web', 'blockchain', 'crypto', 'blockchain', 'welcome'], 'challenge_points': ['470', '421', '405', '254', '436', '50', '183', '50', '50', '227', '454', '50', '304', '50'], 'solve_time': ['2024-11-23T17:30:17.017365Z', '2024-11-23T16:51:28.075516Z', '2024-11-23T10:20:40.070935Z', '2024-11-23T10:18:10.899735Z', '2024-11-23T03:07:10.755348Z', '2024-11-23T00:47:17.356113Z', '2024-11-22T23:03:43.144736Z', '2024-11-22T21:53:01.084705Z', '2024-11-22T21:02:22.347325Z', '2024-11-22T20:33:57.693729Z', '2024-11-22T20:30:49.560398Z', '2024-11-22T20:28:06.637742Z', '2024-11-22T19:55:14.241024Z', '2024-11-22T18:12:42.820920Z']}"
