points,name,challenge
5230,Cryptonite,"{'challenge_name': ['Beautiful Forts', ""Cache 'Em All"", 'Happy Euler', 'SOS', 'Bin', 'Fool Me Not!', 'Steal the Battle Ship', 'Light-Speed-Escape', 'Photography Contest', 'Admin User', 'Rogue MIKE', 'Sweet Milk', 'The Force Awakens', 'No Beef', 'Expose', 'Got Root', 'Cheat Engine', 'Invisible Ink', 'W31C0M3', 'DC', 'Save your secrets', 'Who am I?', 'Breaking Out of Yankin', 'Cookies', 'Enigma Xplore'], 'challenge_category': ['Cryptography', 'Web Exploitation', 'Cryptography', 'Forensics', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Web Exploitation', 'Web Exploitation', 'Forensics', 'Binary Exploitation', 'Reverse Engineering', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Forensics', 'Cryptography', 'Cryptography', 'Forensics', 'Forensics', 'Reverse Engineering', 'Web Exploitation', 'Misc'], 'challenge_points': ['250', '120', '250', '400', '300', '400', '250', '250', '300', '400', '250', '400', '120', '300', '200', '130', '100', '150', '100', '120', '120', '100', '100', '100', '20'], 'solve_time': ['2024-10-27T12:48:19.415338Z', '2024-10-25T10:46:57.439288Z', '2024-10-25T09:54:12.229144Z', '2024-10-25T07:37:54.310605Z', '2024-10-25T04:45:28.691116Z', '2024-10-25T04:31:25.588890Z', '2024-10-24T22:07:03.198037Z', '2024-10-24T21:33:27.424270Z', '2024-10-24T21:08:00.491745Z', '2024-10-24T20:34:08.937103Z', '2024-10-24T19:39:15.091577Z', '2024-10-24T18:12:07.004268Z', '2024-10-24T17:10:34.991288Z', '2024-10-24T16:01:55.819388Z', '2024-10-24T15:26:49.427741Z', '2024-10-24T15:17:31.514809Z', '2024-10-24T14:19:13.422660Z', '2024-10-24T13:48:27.935842Z', '2024-10-24T13:44:34.825914Z', '2024-10-24T13:39:36.913635Z', '2024-10-24T13:17:48.726323Z', '2024-10-24T13:16:45.358844Z', '2024-10-24T12:56:02.472195Z', '2024-10-24T12:41:15.117138Z', '2024-10-24T12:39:19.034643Z']}"
4940,youtiaos,"{'challenge_name': ['Happy Euler', 'Sweet Milk', 'No Beef', 'Expose', 'Fool Me Not!', 'Got Root', 'SOS', 'Admin User', 'Steal the Battle Ship', 'Photography Contest', ""Cache 'Em All"", 'Cookies', 'Bin', 'Cheat Engine', 'Light-Speed-Escape', 'Rogue MIKE', 'Invisible Ink', 'The Force Awakens', 'DC', 'Save your secrets', 'Who am I?', 'W31C0M3', 'Enigma Xplore', 'Breaking Out of Yankin'], 'challenge_category': ['Cryptography', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Cryptography', 'Binary Exploitation', 'Forensics', 'Web Exploitation', 'Reverse Engineering', 'Web Exploitation', 'Web Exploitation', 'Web Exploitation', 'Forensics', 'Binary Exploitation', 'Reverse Engineering', 'Forensics', 'Forensics', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Forensics', 'Cryptography', 'Misc', 'Reverse Engineering'], 'challenge_points': ['250', '400', '300', '200', '400', '130', '400', '400', '250', '300', '120', '100', '300', '100', '250', '250', '150', '120', '120', '120', '100', '100', '20', '100'], 'solve_time': ['2024-10-25T09:14:36.734853Z', '2024-10-25T09:05:32.676339Z', '2024-10-25T09:00:36.339370Z', '2024-10-25T08:47:54.640244Z', '2024-10-25T08:47:02.564313Z', '2024-10-25T08:44:06.356913Z', '2024-10-25T08:34:43.957299Z', '2024-10-25T08:29:34.414457Z', '2024-10-25T07:35:42.332174Z', '2024-10-25T07:21:23.247751Z', '2024-10-25T07:02:29.246484Z', '2024-10-25T06:56:31.166830Z', '2024-10-25T06:56:26.339198Z', '2024-10-25T06:50:00.656355Z', '2024-10-25T06:33:27.167950Z', '2024-10-25T06:26:40.290187Z', '2024-10-25T05:55:25.427459Z', '2024-10-25T05:44:22.023692Z', '2024-10-25T05:40:38.797585Z', '2024-10-25T05:40:26.257766Z', '2024-10-25T05:39:13.360632Z', '2024-10-25T05:36:33.319627Z', '2024-10-25T05:31:50.570646Z', '2024-10-25T05:30:51.187521Z']}"
4580,WWF,"{'challenge_name': [""Cache 'Em All"", 'Enigma Xplore', 'Bin', 'Happy Euler', 'Light-Speed-Escape', 'Steal the Battle Ship', 'Fool Me Not!', 'Rogue MIKE', 'Invisible Ink', 'Photography Contest', 'Sweet Milk', 'Save your secrets', 'DC', 'Admin User', 'W31C0M3', 'No Beef', 'Expose', 'Got Root', 'Cheat Engine', 'Who am I?', 'Cookies', 'The Force Awakens', 'Breaking Out of Yankin'], 'challenge_category': ['Web Exploitation', 'Misc', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Forensics', 'Forensics', 'Web Exploitation', 'Binary Exploitation', 'Forensics', 'Cryptography', 'Web Exploitation', 'Cryptography', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Forensics', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering'], 'challenge_points': ['120', '20', '300', '250', '250', '250', '400', '250', '150', '300', '400', '120', '120', '400', '100', '300', '200', '130', '100', '100', '100', '120', '100'], 'solve_time': ['2024-10-25T10:38:27.475163Z', '2024-10-25T10:34:02.757377Z', '2024-10-25T10:21:25.624732Z', '2024-10-25T09:28:41.600440Z', '2024-10-25T08:42:22.205196Z', '2024-10-25T06:46:17.603357Z', '2024-10-25T04:47:59.001620Z', '2024-10-24T21:13:36.516509Z', '2024-10-24T20:15:09.707502Z', '2024-10-24T19:48:21.361537Z', '2024-10-24T17:46:50.194221Z', '2024-10-24T17:02:49.108053Z', '2024-10-24T15:30:16.726570Z', '2024-10-24T15:23:37.859660Z', '2024-10-24T14:45:00.945838Z', '2024-10-24T14:21:10.652518Z', '2024-10-24T13:37:12.121691Z', '2024-10-24T13:32:43.129627Z', '2024-10-24T13:29:39.508731Z', '2024-10-24T13:15:07.900893Z', '2024-10-24T13:11:45.452274Z', '2024-10-24T12:55:34.334709Z', '2024-10-24T12:40:35.495500Z']}"
4580,BITSkrieg,"{'challenge_name': ['Expose', 'SOS', 'Happy Euler', 'Photography Contest', 'Bin', 'No Beef', 'Cookies', 'Fool Me Not!', 'Invisible Ink', 'W31C0M3', 'Cheat Engine', 'Got Root', 'Steal the Battle Ship', 'DC', 'Light-Speed-Escape', 'Rogue MIKE', ""Cache 'Em All"", 'Admin User', 'Breaking Out of Yankin', 'The Force Awakens', 'Save your secrets', 'Enigma Xplore', 'Who am I?'], 'challenge_category': ['Binary Exploitation', 'Forensics', 'Cryptography', 'Web Exploitation', 'Forensics', 'Binary Exploitation', 'Web Exploitation', 'Cryptography', 'Forensics', 'Cryptography', 'Binary Exploitation', 'Binary Exploitation', 'Reverse Engineering', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Web Exploitation', 'Web Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Misc', 'Forensics'], 'challenge_points': ['200', '400', '250', '300', '300', '300', '100', '400', '150', '100', '100', '130', '250', '120', '250', '250', '120', '400', '100', '120', '120', '20', '100'], 'solve_time': ['2024-10-25T11:29:51.755270Z', '2024-10-25T09:56:19.128409Z', '2024-10-25T09:34:54.592839Z', '2024-10-25T07:34:41.043599Z', '2024-10-24T21:29:18.348078Z', '2024-10-24T21:05:10.208342Z', '2024-10-24T20:26:28.568760Z', '2024-10-24T20:16:10.071537Z', '2024-10-24T20:06:49.982500Z', '2024-10-24T19:56:54.906716Z', '2024-10-24T19:55:51.502771Z', '2024-10-24T19:54:55.693611Z', '2024-10-24T19:50:31.956473Z', '2024-10-24T19:39:05.176525Z', '2024-10-24T19:17:22.335450Z', '2024-10-24T18:51:20.678304Z', '2024-10-24T18:47:00.464478Z', '2024-10-24T18:46:42.669327Z', '2024-10-24T12:53:53.233297Z', '2024-10-24T12:51:37.791603Z', '2024-10-24T12:32:13.464562Z', '2024-10-24T12:31:37.025538Z', '2024-10-24T12:31:22.981955Z']}"
4330,Random,"{'challenge_name': ['Light-Speed-Escape', 'SOS', ""Cache 'Em All"", 'Sweet Milk', 'No Beef', 'Rogue MIKE', 'Happy Euler', 'Bin', 'Expose', 'Invisible Ink', 'Photography Contest', 'Admin User', 'Enigma Xplore', 'Got Root', 'Cookies', 'DC', 'W31C0M3', 'Save your secrets', 'Who am I?', 'Cheat Engine', 'The Force Awakens', 'Breaking Out of Yankin'], 'challenge_category': ['Reverse Engineering', 'Forensics', 'Web Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Forensics', 'Cryptography', 'Forensics', 'Binary Exploitation', 'Forensics', 'Web Exploitation', 'Web Exploitation', 'Misc', 'Binary Exploitation', 'Web Exploitation', 'Cryptography', 'Cryptography', 'Forensics', 'Forensics', 'Binary Exploitation', 'Reverse Engineering', 'Reverse Engineering'], 'challenge_points': ['250', '400', '120', '400', '300', '250', '250', '300', '200', '150', '300', '400', '20', '130', '100', '120', '100', '120', '100', '100', '120', '100'], 'solve_time': ['2024-10-25T12:27:44.988618Z', '2024-10-25T11:23:54.643794Z', '2024-10-25T11:23:27.708280Z', '2024-10-25T10:31:12.722118Z', '2024-10-25T10:16:57.979776Z', '2024-10-25T09:55:18.083555Z', '2024-10-25T09:02:28.657019Z', '2024-10-24T23:40:35.287465Z', '2024-10-24T21:27:22.610762Z', '2024-10-24T21:01:20.826585Z', '2024-10-24T20:09:32.232346Z', '2024-10-24T16:21:33.535007Z', '2024-10-24T14:40:03.330419Z', '2024-10-24T14:33:52.075230Z', '2024-10-24T14:24:29.528397Z', '2024-10-24T14:16:04.854080Z', '2024-10-24T14:15:48.815454Z', '2024-10-24T14:15:30.217930Z', '2024-10-24T14:15:17.931608Z', '2024-10-24T14:14:38.126066Z', '2024-10-24T13:50:32.111239Z', '2024-10-24T13:29:15.905592Z']}"
4110,random_guys,"{'challenge_name': ['Fool Me Not!', 'Happy Euler', 'Admin User', 'Rogue MIKE', 'Bin', 'Steal the Battle Ship', 'Cookies', 'Invisible Ink', 'Light-Speed-Escape', 'Cheat Engine', 'Sweet Milk', 'Got Root', 'Expose', 'No Beef', 'The Force Awakens', 'Breaking Out of Yankin', 'Save your secrets', 'Who am I?', 'DC', 'W31C0M3', 'Enigma Xplore'], 'challenge_category': ['Cryptography', 'Cryptography', 'Web Exploitation', 'Forensics', 'Forensics', 'Reverse Engineering', 'Web Exploitation', 'Forensics', 'Reverse Engineering', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Reverse Engineering', 'Reverse Engineering', 'Forensics', 'Forensics', 'Cryptography', 'Cryptography', 'Misc'], 'challenge_points': ['400', '250', '400', '250', '300', '250', '100', '150', '250', '100', '400', '130', '200', '300', '120', '100', '120', '100', '120', '100', '20'], 'solve_time': ['2024-10-25T10:17:57.602182Z', '2024-10-25T09:47:20.063475Z', '2024-10-25T06:46:12.866232Z', '2024-10-24T21:03:16.980699Z', '2024-10-24T20:53:27.519825Z', '2024-10-24T20:34:50.291486Z', '2024-10-24T20:12:27.280625Z', '2024-10-24T19:36:34.460466Z', '2024-10-24T19:11:08.808281Z', '2024-10-24T19:11:05.033676Z', '2024-10-24T16:32:49.202932Z', '2024-10-24T16:00:42.050303Z', '2024-10-24T15:57:22.773399Z', '2024-10-24T15:52:26.773869Z', '2024-10-24T13:38:55.462572Z', '2024-10-24T13:16:02.269839Z', '2024-10-24T13:01:53.069500Z', '2024-10-24T12:50:58.934859Z', '2024-10-24T12:35:29.900560Z', '2024-10-24T12:33:45.781360Z', '2024-10-24T12:32:33.391476Z']}"
3840,5kI11_I55u3,"{'challenge_name': ['No Beef', 'Sweet Milk', ""Cache 'Em All"", 'Rogue MIKE', 'Happy Euler', 'SOS', 'Bin', 'Expose', 'Invisible Ink', 'Admin User', 'Photography Contest', 'Cookies', 'Enigma Xplore', 'Breaking Out of Yankin', 'The Force Awakens', 'DC', 'W31C0M3', 'Save your secrets', 'Who am I?'], 'challenge_category': ['Binary Exploitation', 'Binary Exploitation', 'Web Exploitation', 'Forensics', 'Cryptography', 'Forensics', 'Forensics', 'Binary Exploitation', 'Forensics', 'Web Exploitation', 'Web Exploitation', 'Web Exploitation', 'Misc', 'Reverse Engineering', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Forensics', 'Forensics'], 'challenge_points': ['300', '400', '120', '250', '250', '400', '300', '200', '150', '400', '300', '100', '20', '100', '120', '120', '100', '120', '100'], 'solve_time': ['2024-10-25T11:56:27.038283Z', '2024-10-25T11:56:13.122867Z', '2024-10-25T11:33:05.903449Z', '2024-10-25T11:30:15.247288Z', '2024-10-25T11:29:59.116050Z', '2024-10-25T11:09:13.007447Z', '2024-10-25T07:42:55.011296Z', '2024-10-25T07:42:42.636422Z', '2024-10-24T22:01:57.886632Z', '2024-10-24T20:48:33.131730Z', '2024-10-24T20:48:09.373334Z', '2024-10-24T15:54:15.006291Z', '2024-10-24T13:55:09.617503Z', '2024-10-24T13:50:39.701114Z', '2024-10-24T13:49:41.512133Z', '2024-10-24T13:25:24.072374Z', '2024-10-24T13:23:34.158477Z', '2024-10-24T13:16:02.308379Z', '2024-10-24T13:15:06.002033Z']}"
3380,:(){:|:&};:,"{'challenge_name': ['Admin User', 'Happy Euler', ""Cache 'Em All"", 'Bin', 'Fool Me Not!', 'The Force Awakens', 'Rogue MIKE', 'Invisible Ink', 'Save your secrets', 'Who am I?', 'Photography Contest', 'Cookies', 'Expose', 'Got Root', 'Cheat Engine', 'Breaking Out of Yankin', 'DC', 'W31C0M3', 'Enigma Xplore'], 'challenge_category': ['Web Exploitation', 'Cryptography', 'Web Exploitation', 'Forensics', 'Cryptography', 'Reverse Engineering', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Web Exploitation', 'Web Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Reverse Engineering', 'Cryptography', 'Cryptography', 'Misc'], 'challenge_points': ['400', '250', '120', '300', '400', '120', '250', '150', '120', '100', '300', '100', '200', '130', '100', '100', '120', '100', '20'], 'solve_time': ['2024-10-25T09:24:43.002098Z', '2024-10-25T09:01:38.396884Z', '2024-10-25T06:49:36.704590Z', '2024-10-25T06:42:31.518886Z', '2024-10-25T05:53:32.631880Z', '2024-10-25T05:42:19.310028Z', '2024-10-25T05:18:33.524755Z', '2024-10-25T05:09:53.934655Z', '2024-10-25T05:05:54.982972Z', '2024-10-25T05:05:31.338997Z', '2024-10-25T04:50:16.763412Z', '2024-10-24T19:29:38.965997Z', '2024-10-24T19:25:34.907675Z', '2024-10-24T15:45:25.336849Z', '2024-10-24T14:44:13.087838Z', '2024-10-24T14:18:57.982763Z', '2024-10-24T12:44:44.617058Z', '2024-10-24T12:41:55.458319Z', '2024-10-24T12:30:47.018174Z']}"
3380,Hecker,"{'challenge_name': ['Fool Me Not!', 'Happy Euler', 'Admin User', ""Cache 'Em All"", 'The Force Awakens', 'Bin', 'Photography Contest', 'Expose', 'Got Root', 'DC', 'Cookies', 'W31C0M3', 'Breaking Out of Yankin', 'Cheat Engine', 'Rogue MIKE', 'Enigma Xplore', 'Invisible Ink', 'Save your secrets', 'Who am I?'], 'challenge_category': ['Cryptography', 'Cryptography', 'Web Exploitation', 'Web Exploitation', 'Reverse Engineering', 'Forensics', 'Web Exploitation', 'Binary Exploitation', 'Binary Exploitation', 'Cryptography', 'Web Exploitation', 'Cryptography', 'Reverse Engineering', 'Binary Exploitation', 'Forensics', 'Misc', 'Forensics', 'Forensics', 'Forensics'], 'challenge_points': ['400', '250', '400', '120', '120', '300', '300', '200', '130', '120', '100', '100', '100', '100', '250', '20', '150', '120', '100'], 'solve_time': ['2024-10-25T10:06:03.708294Z', '2024-10-25T09:48:20.930768Z', '2024-10-25T07:28:23.079232Z', '2024-10-25T07:05:58.157307Z', '2024-10-25T05:17:49.146949Z', '2024-10-25T04:46:28.666828Z', '2024-10-25T04:26:19.954928Z', '2024-10-24T20:32:29.924041Z', '2024-10-24T20:21:44.640783Z', '2024-10-24T17:05:15.515866Z', '2024-10-24T16:22:17.184794Z', '2024-10-24T15:59:39.545010Z', '2024-10-24T15:57:55.935393Z', '2024-10-24T15:52:14.421370Z', '2024-10-24T14:20:26.317506Z', '2024-10-24T13:46:24.077099Z', '2024-10-24T13:44:28.600631Z', '2024-10-24T12:45:05.610833Z', '2024-10-24T12:43:59.412696Z']}"
3380,pwn_strs,"{'challenge_name': ['Fool Me Not!', 'Bin', 'Photography Contest', 'Expose', 'Happy Euler', 'Cheat Engine', 'Admin User', 'Got Root', 'The Force Awakens', ""Cache 'Em All"", 'Breaking Out of Yankin', 'Cookies', 'DC', 'W31C0M3', 'Rogue MIKE', 'Invisible Ink', 'Save your secrets', 'Who am I?', 'Enigma Xplore'], 'challenge_category': ['Cryptography', 'Forensics', 'Web Exploitation', 'Binary Exploitation', 'Cryptography', 'Binary Exploitation', 'Web Exploitation', 'Binary Exploitation', 'Reverse Engineering', 'Web Exploitation', 'Reverse Engineering', 'Web Exploitation', 'Cryptography', 'Cryptography', 'Forensics', 'Forensics', 'Forensics', 'Forensics', 'Misc'], 'challenge_points': ['400', '300', '300', '200', '250', '100', '400', '130', '120', '120', '100', '100', '120', '100', '250', '150', '120', '100', '20'], 'solve_time': ['2024-10-25T11:00:19.951366Z', '2024-10-25T10:28:29.172949Z', '2024-10-25T10:27:04.869833Z', '2024-10-25T10:26:33.499660Z', '2024-10-25T10:25:41.112640Z', '2024-10-25T10:23:41.658516Z', '2024-10-25T10:23:21.058036Z', '2024-10-25T10:22:47.258477Z', '2024-10-25T10:21:54.250730Z', '2024-10-25T10:21:16.705932Z', '2024-10-25T10:12:29.812562Z', '2024-10-25T10:11:12.762562Z', '2024-10-25T10:07:45.655436Z', '2024-10-25T10:07:22.871759Z', '2024-10-25T10:05:15.201904Z', '2024-10-25T10:04:54.740995Z', '2024-10-25T10:04:26.716513Z', '2024-10-25T10:03:29.207429Z', '2024-10-25T10:01:12.382673Z']}"
