points,name,challenge
8685,les 3 mousequesters,"{'challenge_name': [""La foire n'est pas sur le pont"", 'pwntopiashl', 'CrypTopiaShell', 'Key Exchange', 'Selfie Memory', 'Whoooo’s whoooo (4/4)', 'What Three Names (2/4)', 'Where’s The Bear ? (3/4)', 'Game Boy', 'Casin0ps', 'The Cardmaster', 'Blog', 'A Kidnappanda (1/4)', 'Invaders', 'Plotwist', '3v3ntl0g', 'I hear some music...', 'XSS Lab', 'Under Attack', 'Maze Cup', 'pwnfield', 'Musical Encounter', 'G-Bee-S', 'Tak Tak', 'Read the Bytes!', 'Unknown File', 'Break My Stream', 'Press Me If U Can', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['OsinTopia', 'PwnTopia', 'CrypTopia', 'CrypTopia', 'N0PStopia', 'OsinTopia', 'OsinTopia', 'OsinTopia', 'WebTopia', 'WebTopia', 'N0PStopia', 'WebTopia', 'OsinTopia', 'PwnTopia', 'WebTopia', 'WebTopia', 'OsinTopia', 'WebTopia', 'PwnTopia', 'N0PStopia', 'PwnTopia', 'N0PStopia', 'N0PStopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['489', '337', '388', '100', '479', '499', '499', '499', '493', '484', '430', '342', '486', '408', '500', '100', '331', '100', '488', '100', '473', '100', '100', '50', '50', '50', '100', '100', '50', '50'], 'solve_time': ['2025-06-01T19:01:58.978539Z', '2025-06-01T14:44:55.261669Z', '2025-06-01T14:17:25.999474Z', '2025-06-01T13:56:16.872681Z', '2025-06-01T13:15:02.984335Z', '2025-06-01T12:52:26.700209Z', '2025-06-01T12:50:24.004815Z', '2025-06-01T11:55:05.192452Z', '2025-06-01T10:15:39.121279Z', '2025-06-01T02:02:11.143776Z', '2025-06-01T00:19:22.147787Z', '2025-05-31T21:46:30.626332Z', '2025-05-31T21:29:21.212265Z', '2025-05-31T20:27:28.136870Z', '2025-05-31T17:49:32.496279Z', '2025-05-31T17:35:36.450209Z', '2025-05-31T16:06:49.815938Z', '2025-05-31T14:39:22.725557Z', '2025-05-31T13:14:49.295966Z', '2025-05-31T10:39:33.416595Z', '2025-05-31T10:29:27.009043Z', '2025-05-31T10:10:30.781458Z', '2025-05-31T09:54:29.718705Z', '2025-05-31T09:38:22.451858Z', '2025-05-31T08:39:39.032651Z', '2025-05-31T08:37:06.158338Z', '2025-05-31T08:34:17.826715Z', '2025-05-31T08:11:22.445499Z', '2025-05-31T08:11:16.368981Z', '2025-05-31T08:01:29.656546Z']}"
8491,bi0s,"{'challenge_name': ['LooneyDroid', 'The Cardmaster', 'pwntopiashl', 'Selfie Memory', 'Under Attack', 'Whoooo’s whoooo (4/4)', 'n0psichu', 'What Three Names (2/4)', 'Meago', 'Where’s The Bear ? (3/4)', 'XSS Lab', 'A Kidnappanda (1/4)', 'pwnfield', 'CrypTopiaShell', ""La foire n'est pas sur le pont"", 'I hear some music...', 'Invaders', 'Key Exchange', 'Maze Cup', '3v3ntl0g', 'Tak Tak', 'Musical Encounter', 'Blog', 'G-Bee-S', 'Press Me If U Can', 'The Emperor', 'Read the Bytes!', 'Break My Stream', 'Unknown File', 'Welcome to N0PStopia !'], 'challenge_category': ['PwnTopia', 'N0PStopia', 'PwnTopia', 'N0PStopia', 'PwnTopia', 'OsinTopia', 'CrypTopia', 'OsinTopia', 'CrypTopia', 'OsinTopia', 'WebTopia', 'OsinTopia', 'PwnTopia', 'CrypTopia', 'OsinTopia', 'OsinTopia', 'PwnTopia', 'CrypTopia', 'N0PStopia', 'WebTopia', 'BabyTopia', 'N0PStopia', 'WebTopia', 'N0PStopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'CrypTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['499', '430', '337', '479', '488', '499', '497', '499', '497', '499', '100', '486', '473', '388', '489', '331', '408', '100', '100', '100', '50', '100', '342', '100', '100', '50', '50', '100', '50', '50'], 'solve_time': ['2025-06-01T19:02:49.798939Z', '2025-06-01T17:54:20.455090Z', '2025-06-01T17:44:41.809293Z', '2025-06-01T17:42:05.021555Z', '2025-06-01T17:32:12.367384Z', '2025-06-01T17:29:40.483663Z', '2025-06-01T17:05:17.005120Z', '2025-06-01T17:01:01.671776Z', '2025-06-01T16:51:12.557053Z', '2025-06-01T16:26:36.117275Z', '2025-06-01T13:22:55.375844Z', '2025-06-01T13:07:41.020909Z', '2025-06-01T10:46:11.893818Z', '2025-06-01T08:41:59.918455Z', '2025-05-31T16:56:16.448338Z', '2025-05-31T15:42:51.635046Z', '2025-05-31T13:34:22.972971Z', '2025-05-31T12:40:51.961352Z', '2025-05-31T12:31:47.109797Z', '2025-05-31T12:02:49.751179Z', '2025-05-31T11:08:16.322057Z', '2025-05-31T10:13:32.341280Z', '2025-05-31T09:48:22.601231Z', '2025-05-31T09:41:29.710337Z', '2025-05-31T09:11:09.671883Z', '2025-05-31T09:10:56.131221Z', '2025-05-31T09:10:39.059279Z', '2025-05-31T09:09:21.891024Z', '2025-05-31T09:08:02.756661Z', '2025-05-31T08:43:35.130557Z']}"
7686,> r0/dev/null,"{'challenge_name': ['Meago', 'Under Attack', 'Game Boy Advance', 'Selfie Memory', 'n0psichu', 'Game Boy', 'Casin0ps', 'The Cardmaster', 'Blog', ""La foire n'est pas sur le pont"", 'XSS Lab', 'Invaders', 'CrypTopiaShell', 'Maze Cup', 'pwnfield', 'Key Exchange', 'I hear some music...', 'pwntopiashl', 'Musical Encounter', 'Tak Tak', 'Press Me If U Can', '3v3ntl0g', 'G-Bee-S', 'Break My Stream', 'Read the Bytes!', 'Unknown File', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['CrypTopia', 'PwnTopia', 'WebTopia', 'N0PStopia', 'CrypTopia', 'WebTopia', 'WebTopia', 'N0PStopia', 'WebTopia', 'OsinTopia', 'WebTopia', 'PwnTopia', 'CrypTopia', 'N0PStopia', 'PwnTopia', 'CrypTopia', 'OsinTopia', 'PwnTopia', 'N0PStopia', 'BabyTopia', 'WebTopia', 'WebTopia', 'N0PStopia', 'CrypTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['497', '488', '500', '479', '497', '493', '484', '430', '342', '489', '100', '408', '388', '100', '473', '100', '331', '337', '100', '50', '100', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T19:02:29.002719Z', '2025-06-01T18:29:11.080745Z', '2025-06-01T16:57:29.352468Z', '2025-06-01T16:29:43.120777Z', '2025-06-01T16:02:27.650256Z', '2025-06-01T14:39:14.535735Z', '2025-05-31T20:41:41.508762Z', '2025-05-31T19:12:06.339469Z', '2025-05-31T18:06:36.312555Z', '2025-05-31T17:42:10.948918Z', '2025-05-31T16:03:50.451287Z', '2025-05-31T13:28:10.161373Z', '2025-05-31T12:33:07.764996Z', '2025-05-31T11:32:59.561957Z', '2025-05-31T11:19:00.453940Z', '2025-05-31T11:03:49.592365Z', '2025-05-31T10:54:20.578014Z', '2025-05-31T10:39:07.696891Z', '2025-05-31T10:20:17.908967Z', '2025-05-31T09:22:37.107157Z', '2025-05-31T09:16:00.846359Z', '2025-05-31T09:15:35.885530Z', '2025-05-31T09:13:57.650014Z', '2025-05-31T09:01:58.424775Z', '2025-05-31T08:51:02.462205Z', '2025-05-31T08:50:24.997149Z', '2025-05-31T08:49:21.479265Z', '2025-05-31T08:30:43.129451Z']}"
6331,Thread in the Needle,"{'challenge_name': ['A515', 'VALidTOR', 'I hear some music...', 'XSS Lab', 'The Cardmaster', 'Maze Cup', 'Tak Tak', 'Musical Encounter', 'pwnfield', 'G-Bee-S', 'CrypTopiaShell', 'Key Exchange', 'LooneyDroid', 'Meago', 'Missing Piece', 'Press Me If U Can', 'n0psichu', 'Invaders', 'pwntopiashl', 'Break My Stream', 'Unknown File', 'Read the Bytes!', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['PwnTopia', 'PwnTopia', 'OsinTopia', 'WebTopia', 'N0PStopia', 'N0PStopia', 'BabyTopia', 'N0PStopia', 'PwnTopia', 'N0PStopia', 'CrypTopia', 'CrypTopia', 'PwnTopia', 'CrypTopia', 'PwnTopia', 'WebTopia', 'CrypTopia', 'PwnTopia', 'PwnTopia', 'CrypTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['500', '500', '331', '100', '430', '100', '50', '100', '473', '100', '388', '100', '499', '497', '491', '100', '497', '408', '337', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T12:23:49.871530Z', '2025-06-01T11:48:41.677730Z', '2025-06-01T01:13:36.138076Z', '2025-06-01T00:15:28.091624Z', '2025-05-31T21:08:50.213940Z', '2025-05-31T17:06:10.792906Z', '2025-05-31T16:35:25.100069Z', '2025-05-31T16:21:08.901747Z', '2025-05-31T16:13:40.014092Z', '2025-05-31T16:11:29.106306Z', '2025-05-31T16:06:19.545026Z', '2025-05-31T13:03:39.679984Z', '2025-05-31T12:47:45.727992Z', '2025-05-31T12:33:35.002129Z', '2025-05-31T12:14:51.370599Z', '2025-05-31T11:41:13.040931Z', '2025-05-31T11:32:59.858395Z', '2025-05-31T10:50:07.725206Z', '2025-05-31T09:36:37.607124Z', '2025-05-31T09:16:43.461186Z', '2025-05-31T09:03:51.396694Z', '2025-05-31T08:40:31.756661Z', '2025-05-31T08:38:53.954876Z', '2025-05-31T08:33:14.506616Z']}"
6329,PwnSec,"{'challenge_name': ['Game Boy', 'I hear some music...', 'Selfie Memory', 'Under Attack', 'LooneyDroid', 'n0psichu', 'Casin0ps', 'Missing Piece', 'XSS Lab', 'Invaders', 'Maze Cup', 'The Cardmaster', 'pwntopiashl', 'Key Exchange', 'Tak Tak', '3v3ntl0g', 'Musical Encounter', 'Blog', 'G-Bee-S', 'Break My Stream', 'Press Me If U Can', 'Read the Bytes!', 'Unknown File', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['WebTopia', 'OsinTopia', 'N0PStopia', 'PwnTopia', 'PwnTopia', 'CrypTopia', 'WebTopia', 'PwnTopia', 'WebTopia', 'PwnTopia', 'N0PStopia', 'N0PStopia', 'PwnTopia', 'CrypTopia', 'BabyTopia', 'WebTopia', 'N0PStopia', 'WebTopia', 'N0PStopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['493', '331', '479', '488', '499', '497', '484', '491', '100', '408', '100', '430', '337', '100', '50', '100', '100', '342', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T16:24:06.371738Z', '2025-06-01T14:35:01.191106Z', '2025-06-01T13:25:15.472904Z', '2025-06-01T07:56:01.942137Z', '2025-05-31T23:46:07.833089Z', '2025-05-31T21:20:05.999769Z', '2025-05-31T19:32:24.197893Z', '2025-05-31T19:06:13.954419Z', '2025-05-31T18:13:48.979763Z', '2025-05-31T18:13:14.719646Z', '2025-05-31T14:34:44.047883Z', '2025-05-31T14:19:56.822755Z', '2025-05-31T13:35:25.298471Z', '2025-05-31T13:07:10.808742Z', '2025-05-31T11:03:20.438250Z', '2025-05-31T09:52:57.308351Z', '2025-05-31T08:59:11.434385Z', '2025-05-31T08:56:17.803926Z', '2025-05-31T08:22:28.048175Z', '2025-05-31T08:08:43.942409Z', '2025-05-31T08:06:32.348605Z', '2025-05-31T08:02:46.044514Z', '2025-05-31T08:02:27.392042Z', '2025-05-31T08:02:02.453547Z', '2025-05-31T08:01:05.397230Z']}"
6216,L.A.R.P.,"{'challenge_name': ['Game Boy', 'pwnfield', 'Selfie Memory', 'Missing Piece', 'The Cardmaster', 'Casin0ps', 'Blog', 'VALidTOR', 'XSS Lab', 'Invaders', 'Key Exchange', 'Tak Tak', 'Maze Cup', 'Musical Encounter', 'pwntopiashl', 'I hear some music...', 'CrypTopiaShell', 'G-Bee-S', '3v3ntl0g', 'Break My Stream', 'Press Me If U Can', 'Read the Bytes!', 'Unknown File', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['WebTopia', 'PwnTopia', 'N0PStopia', 'PwnTopia', 'N0PStopia', 'WebTopia', 'WebTopia', 'PwnTopia', 'WebTopia', 'PwnTopia', 'CrypTopia', 'BabyTopia', 'N0PStopia', 'N0PStopia', 'PwnTopia', 'OsinTopia', 'CrypTopia', 'N0PStopia', 'WebTopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['493', '473', '479', '491', '430', '484', '342', '500', '100', '408', '100', '50', '100', '100', '337', '331', '388', '100', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T16:09:07.635140Z', '2025-06-01T13:25:00.422338Z', '2025-06-01T10:48:08.179322Z', '2025-06-01T04:21:18.305602Z', '2025-06-01T03:09:02.920810Z', '2025-06-01T01:17:12.088708Z', '2025-05-31T23:10:49.580776Z', '2025-05-31T19:58:00.947978Z', '2025-05-31T17:02:03.584077Z', '2025-05-31T15:08:46.487430Z', '2025-05-31T13:54:58.553229Z', '2025-05-31T13:46:53.406988Z', '2025-05-31T13:33:16.329514Z', '2025-05-31T12:15:23.566601Z', '2025-05-31T11:59:43.623760Z', '2025-05-31T11:29:06.613096Z', '2025-05-31T10:08:14.593178Z', '2025-05-31T08:40:22.145143Z', '2025-05-31T08:33:49.877790Z', '2025-05-31T08:31:34.446489Z', '2025-05-31T08:25:24.884879Z', '2025-05-31T08:07:25.332623Z', '2025-05-31T08:05:54.852559Z', '2025-05-31T08:05:03.568897Z', '2025-05-31T08:03:04.130677Z']}"
5931,ICEDTEA,"{'challenge_name': ['Under Attack', 'Game Boy Advance', 'Missing Piece', 'The Cardmaster', 'n0psichu', 'Meago', 'Game Boy', 'G-Bee-S', 'Maze Cup', 'Musical Encounter', 'Tak Tak', 'Blog', 'pwntopiashl', 'Invaders', 'CrypTopiaShell', '3v3ntl0g', 'XSS Lab', 'Key Exchange', 'Break My Stream', 'Press Me If U Can', 'Read the Bytes!', 'Unknown File', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['PwnTopia', 'WebTopia', 'PwnTopia', 'N0PStopia', 'CrypTopia', 'CrypTopia', 'WebTopia', 'N0PStopia', 'N0PStopia', 'N0PStopia', 'BabyTopia', 'WebTopia', 'PwnTopia', 'PwnTopia', 'CrypTopia', 'WebTopia', 'WebTopia', 'CrypTopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['488', '500', '491', '430', '497', '497', '493', '100', '100', '100', '50', '342', '337', '408', '388', '100', '100', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T17:45:04.136268Z', '2025-06-01T15:51:18.145822Z', '2025-06-01T13:27:25.208566Z', '2025-06-01T07:04:27.634577Z', '2025-06-01T06:10:31.437688Z', '2025-06-01T04:17:44.167079Z', '2025-06-01T00:47:33.110816Z', '2025-05-31T17:38:05.716016Z', '2025-05-31T17:24:29.601762Z', '2025-05-31T17:20:26.204778Z', '2025-05-31T16:09:59.135622Z', '2025-05-31T14:56:53.802152Z', '2025-05-31T14:40:15.096647Z', '2025-05-31T14:27:12.209704Z', '2025-05-31T13:28:17.308772Z', '2025-05-31T11:07:36.211706Z', '2025-05-31T09:44:32.494428Z', '2025-05-31T09:30:48.411727Z', '2025-05-31T08:37:05.455645Z', '2025-05-31T08:11:04.441358Z', '2025-05-31T08:06:45.208371Z', '2025-05-31T08:05:18.756068Z', '2025-05-31T08:04:34.969068Z', '2025-05-31T08:02:37.381280Z']}"
5727,0bscuri7y,"{'challenge_name': ['A Kidnappanda (1/4)', 'Selfie Memory', 'Game Boy', 'CrypTopiaShell', 'LooneyDroid', 'The Cardmaster', 'Invaders', 'pwntopiashl', 'Maze Cup', 'I hear some music...', 'Casin0ps', 'XSS Lab', 'Key Exchange', 'Blog', 'Tak Tak', '3v3ntl0g', 'Musical Encounter', 'G-Bee-S', 'Break My Stream', 'Press Me If U Can', 'Read the Bytes!', 'Unknown File', 'The Emperor', 'Welcome to N0PStopia !'], 'challenge_category': ['OsinTopia', 'N0PStopia', 'WebTopia', 'CrypTopia', 'PwnTopia', 'N0PStopia', 'PwnTopia', 'PwnTopia', 'N0PStopia', 'OsinTopia', 'WebTopia', 'WebTopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'WebTopia', 'N0PStopia', 'N0PStopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['486', '479', '493', '388', '499', '430', '408', '337', '100', '331', '484', '100', '100', '342', '50', '100', '100', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T19:20:11.748189Z', '2025-06-01T18:31:57.656867Z', '2025-06-01T17:04:40.318256Z', '2025-06-01T05:41:08.726018Z', '2025-06-01T01:18:02.684973Z', '2025-05-31T21:51:18.829005Z', '2025-05-31T21:06:12.256384Z', '2025-05-31T19:12:22.689758Z', '2025-05-31T18:19:45.326427Z', '2025-05-31T17:06:14.474701Z', '2025-05-31T16:00:08.008962Z', '2025-05-31T15:04:00.168245Z', '2025-05-31T14:02:56.580343Z', '2025-05-31T13:11:03.049873Z', '2025-05-31T09:20:35.901705Z', '2025-05-31T09:10:06.739370Z', '2025-05-31T09:00:47.221367Z', '2025-05-31T08:28:39.820832Z', '2025-05-31T08:16:48.919766Z', '2025-05-31T08:07:17.011692Z', '2025-05-31T08:05:40.939512Z', '2025-05-31T08:05:11.369625Z', '2025-05-31T08:04:39.667100Z', '2025-05-31T08:03:12.641483Z']}"
5518,Team Serbia,"{'challenge_name': ['Meago', 'n0psichu', 'The Cardmaster', 'CrypTopiaShell', 'XSS Lab', 'Invaders', 'Maze Cup', 'Musical Encounter', 'G-Bee-S', 'Press Me If U Can', 'Read the Bytes!', 'The Emperor', 'Key Exchange', 'pwntopiashl', 'Under Attack', 'Break My Stream', 'LooneyDroid', 'Missing Piece', 'pwnfield', '3v3ntl0g', 'Unknown File', 'Welcome to N0PStopia !'], 'challenge_category': ['CrypTopia', 'CrypTopia', 'N0PStopia', 'CrypTopia', 'WebTopia', 'PwnTopia', 'N0PStopia', 'N0PStopia', 'N0PStopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'CrypTopia', 'PwnTopia', 'PwnTopia', 'CrypTopia', 'PwnTopia', 'PwnTopia', 'PwnTopia', 'WebTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['497', '497', '430', '388', '100', '408', '100', '100', '100', '100', '50', '50', '100', '337', '488', '100', '499', '491', '473', '100', '50', '50'], 'solve_time': ['2025-06-01T12:01:01.003386Z', '2025-06-01T10:35:25.472524Z', '2025-05-31T20:04:01.169819Z', '2025-05-31T17:50:07.752183Z', '2025-05-31T16:25:29.688850Z', '2025-05-31T14:19:31.421832Z', '2025-05-31T13:57:44.079049Z', '2025-05-31T13:18:30.847061Z', '2025-05-31T13:13:29.407324Z', '2025-05-31T12:58:12.516928Z', '2025-05-31T12:37:21.433643Z', '2025-05-31T12:15:01.536722Z', '2025-05-31T11:21:52.125654Z', '2025-05-31T10:57:48.580629Z', '2025-05-31T10:26:11.642585Z', '2025-05-31T10:07:01.023591Z', '2025-05-31T10:01:25.900703Z', '2025-05-31T09:32:42.379662Z', '2025-05-31T09:15:09.312281Z', '2025-05-31T08:52:10.444968Z', '2025-05-31T08:42:23.634411Z', '2025-05-31T08:02:24.409366Z']}"
5315,Cryptonite,"{'challenge_name': ['Blog', 'VALidTOR', 'Meago', 'Missing Piece', 'n0psichu', 'pwnfield', ""La foire n'est pas sur le pont"", 'Invaders', 'Tak Tak', 'Maze Cup', 'Musical Encounter', 'I hear some music...', 'pwntopiashl', '3v3ntl0g', 'G-Bee-S', 'Key Exchange', 'Break My Stream', 'Press Me If U Can', 'The Emperor', 'Read the Bytes!', 'Unknown File', 'Welcome to N0PStopia !'], 'challenge_category': ['WebTopia', 'PwnTopia', 'CrypTopia', 'PwnTopia', 'CrypTopia', 'PwnTopia', 'OsinTopia', 'PwnTopia', 'BabyTopia', 'N0PStopia', 'N0PStopia', 'OsinTopia', 'PwnTopia', 'WebTopia', 'N0PStopia', 'CrypTopia', 'CrypTopia', 'WebTopia', 'BabyTopia', 'BabyTopia', 'BabyTopia', 'N0PStopia'], 'challenge_points': ['342', '500', '497', '491', '497', '473', '489', '408', '50', '100', '100', '331', '337', '100', '100', '100', '100', '100', '50', '50', '50', '50'], 'solve_time': ['2025-06-01T18:00:13.358979Z', '2025-06-01T15:08:40.999851Z', '2025-06-01T09:55:11.161512Z', '2025-06-01T09:54:03.949546Z', '2025-06-01T07:28:07.711925Z', '2025-06-01T06:09:29.340496Z', '2025-05-31T19:10:29.065005Z', '2025-05-31T15:45:54.902337Z', '2025-05-31T14:27:01.542618Z', '2025-05-31T14:07:32.046455Z', '2025-05-31T13:44:02.148457Z', '2025-05-31T13:19:00.768379Z', '2025-05-31T13:12:45.880260Z', '2025-05-31T11:10:45.454601Z', '2025-05-31T09:36:26.657047Z', '2025-05-31T09:19:16.111554Z', '2025-05-31T08:17:14.653828Z', '2025-05-31T08:14:47.734812Z', '2025-05-31T08:13:33.925311Z', '2025-05-31T08:10:31.745996Z', '2025-05-31T08:09:48.448373Z', '2025-05-31T08:00:15.126553Z']}"
