points,name,challenge
3676,".;,;.","{'challenge_name': ['Custom Keyboard', 'Protect your API Key', 'go-moth', 'Flower App', '2048 ai', 'WannaLaugh', 'An Elf on a Shelf', 'Juggl3r', 'Red Flags', 'I Have No Syscalls And I Must Scream', 'Nothin But Stringz', '2048 hacker 1', '2048 hacker 0', 'Sizer Cipher', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', 'echo2', ""Where's My Key?"", 'Only Ws', 'echo', 'Welcome!'], 'challenge_category': ['Reversing', 'Reversing', 'Web', 'Reversing', 'Misc', 'Reversing', 'Reversing', 'Web', 'Reversing', 'Pwn', 'Reversing', 'Pwn', 'Pwn', 'Cryptography', 'Cryptography', 'Pwn', 'Cryptography', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['400', '400', '250', '200', '150', '200', '250', '200', '150', '300', '25', '350', '150', '100', '200', '125', '150', '50', '25', '1'], 'solve_time': ['2024-11-14T05:38:22.494765Z', '2024-11-14T02:56:27.449376Z', '2024-11-14T01:03:01.168403Z', '2024-11-14T01:00:58.060708Z', '2024-11-14T01:00:45.173315Z', '2024-11-14T00:54:19.182431Z', '2024-11-14T00:18:56.657156Z', '2024-11-14T00:03:56.235055Z', '2024-11-13T23:58:30.067469Z', '2024-11-13T23:20:31.426811Z', '2024-11-13T23:20:10.708740Z', '2024-11-13T23:15:45.804116Z', '2024-11-13T22:57:07.150407Z', '2024-11-13T22:42:37.523605Z', '2024-11-13T22:37:24.265551Z', '2024-11-13T22:35:13.045138Z', '2024-11-13T22:26:48.253150Z', '2024-11-13T22:10:40.626874Z', '2024-11-13T22:05:34.821579Z', '2024-11-13T22:00:10.630290Z']}"
3676,UofTCTF,"{'challenge_name': ['An Elf on a Shelf', 'Custom Keyboard', 'Flower App', 'Protect your API Key', 'I Have No Syscalls And I Must Scream', 'Red Flags', '2048 hacker 1', '2048 ai', 'WannaLaugh', '2048 hacker 0', 'go-moth', 'Sizer Cipher', 'echo2', 'Only Ws', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', ""Where's My Key?"", 'echo', 'Nothin But Stringz', 'Juggl3r', 'Welcome!'], 'challenge_category': ['Reversing', 'Reversing', 'Reversing', 'Reversing', 'Pwn', 'Reversing', 'Pwn', 'Misc', 'Reversing', 'Pwn', 'Web', 'Cryptography', 'Pwn', 'Pwn', 'Cryptography', 'Cryptography', 'Pwn', 'Reversing', 'Web', 'Misc'], 'challenge_points': ['250', '400', '200', '400', '300', '150', '350', '150', '200', '150', '250', '100', '125', '50', '200', '150', '25', '25', '200', '1'], 'solve_time': ['2024-11-14T07:56:26.226505Z', '2024-11-14T07:28:08.156014Z', '2024-11-14T05:20:11.820980Z', '2024-11-14T05:15:04.506465Z', '2024-11-14T04:56:35.147136Z', '2024-11-14T04:06:40.012628Z', '2024-11-14T03:20:01.874009Z', '2024-11-14T03:15:25.786327Z', '2024-11-14T02:51:59.139420Z', '2024-11-14T02:05:33.541305Z', '2024-11-14T02:04:32.991437Z', '2024-11-14T00:25:06.579807Z', '2024-11-13T23:26:03.680261Z', '2024-11-13T22:59:39.442063Z', '2024-11-13T22:51:38.113361Z', '2024-11-13T22:42:54.217630Z', '2024-11-13T22:26:34.496734Z', '2024-11-13T22:11:30.675501Z', '2024-11-13T22:09:45.076510Z', '2024-11-13T22:00:16.139866Z']}"
3676,SKSD,"{'challenge_name': ['Custom Keyboard', 'WannaLaugh', 'Protect your API Key', 'Flower App', 'An Elf on a Shelf', 'Red Flags', 'go-moth', 'Sizer Cipher', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', ""Where's My Key?"", '2048 ai', 'I Have No Syscalls And I Must Scream', 'Juggl3r', '2048 hacker 0', '2048 hacker 1', 'Nothin But Stringz', 'Welcome!', 'echo2', 'Only Ws', 'echo'], 'challenge_category': ['Reversing', 'Reversing', 'Reversing', 'Reversing', 'Reversing', 'Reversing', 'Web', 'Cryptography', 'Cryptography', 'Cryptography', 'Misc', 'Pwn', 'Web', 'Pwn', 'Pwn', 'Reversing', 'Misc', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['400', '200', '400', '200', '250', '150', '250', '100', '200', '150', '150', '300', '200', '150', '350', '25', '1', '125', '50', '25'], 'solve_time': ['2024-11-14T12:45:52.530268Z', '2024-11-14T08:07:03.469195Z', '2024-11-14T07:45:57.942224Z', '2024-11-14T06:57:17.673730Z', '2024-11-14T05:46:29.432886Z', '2024-11-14T04:58:35.300161Z', '2024-11-14T04:19:03.987887Z', '2024-11-14T03:08:42.071107Z', '2024-11-14T00:22:42.882086Z', '2024-11-14T00:05:02.580377Z', '2024-11-13T23:53:05.520604Z', '2024-11-13T23:35:23.816152Z', '2024-11-13T23:13:28.219407Z', '2024-11-13T23:06:00.450263Z', '2024-11-13T23:04:23.936750Z', '2024-11-13T23:00:19.586830Z', '2024-11-13T22:50:35.336313Z', '2024-11-13T22:13:55.769336Z', '2024-11-13T22:07:10.172224Z', '2024-11-13T22:03:51.512348Z']}"
3676,ENOFLAG,"{'challenge_name': ['Flower App', 'Protect your API Key', 'WannaLaugh', 'Custom Keyboard', 'go-moth', '2048 ai', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', 'Red Flags', '2048 hacker 1', ""Where's My Key?"", '2048 hacker 0', 'Sizer Cipher', 'I Have No Syscalls And I Must Scream', 'An Elf on a Shelf', 'echo2', 'Nothin But Stringz', 'Juggl3r', 'Only Ws', 'echo', 'Welcome!'], 'challenge_category': ['Reversing', 'Reversing', 'Reversing', 'Reversing', 'Web', 'Misc', 'Cryptography', 'Reversing', 'Pwn', 'Cryptography', 'Pwn', 'Cryptography', 'Pwn', 'Reversing', 'Pwn', 'Reversing', 'Web', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['200', '400', '200', '400', '250', '150', '200', '150', '350', '150', '150', '100', '300', '250', '125', '25', '200', '50', '25', '1'], 'solve_time': ['2024-11-14T21:55:40.038492Z', '2024-11-14T21:19:27.944713Z', '2024-11-14T19:44:28.231502Z', '2024-11-14T17:58:22.967865Z', '2024-11-14T05:36:31.396017Z', '2024-11-14T05:14:59.326364Z', '2024-11-14T04:12:58.288862Z', '2024-11-14T03:30:16.109104Z', '2024-11-14T02:46:18.970100Z', '2024-11-14T02:30:52.590356Z', '2024-11-14T01:44:12.647868Z', '2024-11-14T01:15:54.925091Z', '2024-11-14T01:10:50.512444Z', '2024-11-14T01:00:35.382803Z', '2024-11-14T00:34:02.750497Z', '2024-11-14T00:28:41.634493Z', '2024-11-14T00:17:34.678196Z', '2024-11-13T23:33:15.830181Z', '2024-11-13T23:17:38.012943Z', '2024-11-13T23:05:06.970207Z']}"
3276,PBR | UCLA,"{'challenge_name': ['Protect your API Key', 'Flower App', 'An Elf on a Shelf', 'go-moth', 'Juggl3r', 'WannaLaugh', '2048 ai', ""Where's My Key?"", '2048 hacker 1', 'Sizer Cipher', 'Red Flags', '2048 hacker 0', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', 'Only Ws', 'I Have No Syscalls And I Must Scream', 'echo2', 'echo', 'Nothin But Stringz', 'Welcome!'], 'challenge_category': ['Reversing', 'Reversing', 'Reversing', 'Web', 'Web', 'Reversing', 'Misc', 'Cryptography', 'Pwn', 'Cryptography', 'Reversing', 'Pwn', 'Cryptography', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Reversing', 'Misc'], 'challenge_points': ['400', '200', '250', '250', '200', '200', '150', '150', '350', '100', '150', '150', '200', '50', '300', '125', '25', '25', '1'], 'solve_time': ['2024-11-14T12:40:54.643189Z', '2024-11-14T10:05:49.006999Z', '2024-11-14T08:11:01.854562Z', '2024-11-14T07:51:49.292162Z', '2024-11-14T06:09:11.779639Z', '2024-11-14T04:05:30.120590Z', '2024-11-14T03:08:12.494359Z', '2024-11-14T02:15:02.240792Z', '2024-11-14T01:28:49.783735Z', '2024-11-14T00:50:11.967767Z', '2024-11-14T00:45:37.321118Z', '2024-11-13T23:50:33.882296Z', '2024-11-13T23:48:54.424422Z', '2024-11-13T23:29:28.289646Z', '2024-11-13T23:25:01.240273Z', '2024-11-13T22:48:04.449846Z', '2024-11-13T22:10:23.686088Z', '2024-11-13T22:06:37.410390Z', '2024-11-13T22:02:58.534811Z']}"
3276,not the real L3ak,"{'challenge_name': ['go-moth', 'Flower App', 'WannaLaugh', 'Red Flags', 'Protect your API Key', '2048 hacker 1', 'I Have No Syscalls And I Must Scream', '2048 hacker 0', '2048 ai', 'An Elf on a Shelf', 'Sizer Cipher', 'echo2', 'Nothin But Stringz', 'Juggl3r', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', ""Where's My Key?"", 'Only Ws', 'echo', 'Welcome!'], 'challenge_category': ['Web', 'Reversing', 'Reversing', 'Reversing', 'Reversing', 'Pwn', 'Pwn', 'Pwn', 'Misc', 'Reversing', 'Cryptography', 'Pwn', 'Reversing', 'Web', 'Cryptography', 'Cryptography', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['250', '200', '200', '150', '400', '350', '300', '150', '150', '250', '100', '125', '25', '200', '200', '150', '50', '25', '1'], 'solve_time': ['2024-11-14T14:50:25.913812Z', '2024-11-14T11:43:14.582038Z', '2024-11-14T11:27:15.384660Z', '2024-11-14T09:41:19.599135Z', '2024-11-14T07:18:31.509255Z', '2024-11-14T05:02:14.518075Z', '2024-11-14T03:37:46.406082Z', '2024-11-14T02:14:43.871826Z', '2024-11-14T01:35:04.697168Z', '2024-11-14T01:28:54.068378Z', '2024-11-13T23:26:21.623126Z', '2024-11-13T23:16:30.987231Z', '2024-11-13T23:11:30.496054Z', '2024-11-13T23:03:11.521865Z', '2024-11-13T22:59:07.234265Z', '2024-11-13T22:54:41.273387Z', '2024-11-13T22:20:39.443989Z', '2024-11-13T22:14:35.315825Z', '2024-11-13T22:00:18.114380Z']}"
3276,no rev/pwn no life,"{'challenge_name': ['Protect your API Key', 'go-moth', 'Red Flags', ""Where's My Key?"", 'WannaLaugh', '2048 ai', 'Sizer Cipher', 'An Elf on a Shelf', 'I Have No Syscalls And I Must Scream', 'Nothin But Stringz', '2048 hacker 1', 'Juggl3r', 'Flower App', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', '2048 hacker 0', 'Only Ws', 'echo2', 'echo', 'Welcome!'], 'challenge_category': ['Reversing', 'Web', 'Reversing', 'Cryptography', 'Reversing', 'Misc', 'Cryptography', 'Reversing', 'Pwn', 'Reversing', 'Pwn', 'Web', 'Reversing', 'Cryptography', 'Pwn', 'Pwn', 'Pwn', 'Pwn', 'Misc'], 'challenge_points': ['400', '250', '150', '150', '200', '150', '100', '250', '300', '25', '350', '200', '200', '200', '150', '50', '125', '25', '1'], 'solve_time': ['2024-11-14T18:13:37.417740Z', '2024-11-14T14:53:34.417882Z', '2024-11-14T13:30:14.959066Z', '2024-11-14T12:51:10.832066Z', '2024-11-14T09:29:33.655241Z', '2024-11-14T07:51:24.306465Z', '2024-11-14T06:49:51.844988Z', '2024-11-14T06:20:28.886267Z', '2024-11-14T04:14:13.010287Z', '2024-11-14T04:08:06.888635Z', '2024-11-14T03:19:47.674136Z', '2024-11-14T03:13:57.713601Z', '2024-11-14T02:52:36.537610Z', '2024-11-14T02:44:21.597502Z', '2024-11-14T02:12:09.659998Z', '2024-11-14T01:20:34.225020Z', '2024-11-14T01:16:51.210788Z', '2024-11-14T01:10:02.545308Z', '2024-11-14T00:55:45.480053Z']}"
3276,valgrind,"{'challenge_name': ['I Have No Syscalls And I Must Scream', 'Protect your API Key', '2048 hacker 1', 'Flower App', '2048 hacker 0', 'WannaLaugh', 'Red Flags', 'echo2', 'go-moth', 'An Elf on a Shelf', '2048 ai', 'Sizer Cipher', 'Only Ws', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', ""Where's My Key?"", 'Juggl3r', 'echo', 'Nothin But Stringz', 'Welcome!'], 'challenge_category': ['Pwn', 'Reversing', 'Pwn', 'Reversing', 'Pwn', 'Reversing', 'Reversing', 'Pwn', 'Web', 'Reversing', 'Misc', 'Cryptography', 'Pwn', 'Cryptography', 'Cryptography', 'Web', 'Pwn', 'Reversing', 'Misc'], 'challenge_points': ['300', '400', '350', '200', '150', '200', '150', '125', '250', '250', '150', '100', '50', '200', '150', '200', '25', '25', '1'], 'solve_time': ['2024-11-14T21:35:06.110365Z', '2024-11-14T21:22:50.776588Z', '2024-11-14T21:13:58.888811Z', '2024-11-14T20:53:21.829842Z', '2024-11-14T20:39:57.858073Z', '2024-11-14T19:46:23.596339Z', '2024-11-14T19:39:39.094324Z', '2024-11-14T19:12:38.684769Z', '2024-11-14T18:11:00.262635Z', '2024-11-14T06:33:48.889706Z', '2024-11-14T01:34:14.769724Z', '2024-11-13T23:33:25.249770Z', '2024-11-13T23:32:43.554504Z', '2024-11-13T23:17:12.489807Z', '2024-11-13T22:59:44.820101Z', '2024-11-13T22:59:17.459273Z', '2024-11-13T22:52:07.800152Z', '2024-11-13T22:27:20.714410Z', '2024-11-13T22:00:13.320932Z']}"
3126,bi0s,"{'challenge_name': ['An Elf on a Shelf', 'Protect your API Key', 'go-moth', 'Sizer Cipher', 'Flower App', 'WannaLaugh', '2048 hacker 1', '2048 hacker 0', 'I Have No Syscalls And I Must Scream', 'Juggl3r', 'echo2', 'Only Ws', 'echo', '2048 ai', 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', ""Where's My Key?"", 'Nothin But Stringz', 'Welcome!'], 'challenge_category': ['Reversing', 'Reversing', 'Web', 'Cryptography', 'Reversing', 'Reversing', 'Pwn', 'Pwn', 'Pwn', 'Web', 'Pwn', 'Pwn', 'Pwn', 'Misc', 'Cryptography', 'Cryptography', 'Reversing', 'Misc'], 'challenge_points': ['250', '400', '250', '100', '200', '200', '350', '150', '300', '200', '125', '50', '25', '150', '200', '150', '25', '1'], 'solve_time': ['2024-11-14T16:36:00.833151Z', '2024-11-14T09:48:42.169742Z', '2024-11-14T09:20:38.532985Z', '2024-11-14T06:28:38.568171Z', '2024-11-14T06:09:30.065487Z', '2024-11-14T06:08:27.276070Z', '2024-11-14T04:15:15.404411Z', '2024-11-14T03:24:35.856666Z', '2024-11-14T02:58:47.137594Z', '2024-11-14T02:49:53.498439Z', '2024-11-14T02:06:05.582046Z', '2024-11-14T01:25:16.869850Z', '2024-11-14T01:20:50.106521Z', '2024-11-13T23:31:38.826731Z', '2024-11-13T22:57:31.168369Z', '2024-11-13T22:35:54.195349Z', '2024-11-13T22:21:03.592112Z', '2024-11-13T22:01:30.809324Z']}"
3026,CYberMouflons,"{'challenge_name': ['2048 ai', 'Protect your API Key', 'I Have No Syscalls And I Must Scream', 'Flower App', 'An Elf on a Shelf', 'WannaLaugh', 'Red Flags', '2048 hacker 1', '2048 hacker 0', 'echo2', ""Where's My Key?"", 'Glitch in the Crypt: Exploiting Faulty RSA Decryption', 'Only Ws', 'Sizer Cipher', 'echo', 'Juggl3r', 'Nothin But Stringz', 'Welcome!'], 'challenge_category': ['Misc', 'Reversing', 'Pwn', 'Reversing', 'Reversing', 'Reversing', 'Reversing', 'Pwn', 'Pwn', 'Pwn', 'Cryptography', 'Cryptography', 'Pwn', 'Cryptography', 'Pwn', 'Web', 'Reversing', 'Misc'], 'challenge_points': ['150', '400', '300', '200', '250', '200', '150', '350', '150', '125', '150', '200', '50', '100', '25', '200', '25', '1'], 'solve_time': ['2024-11-14T21:44:20.583924Z', '2024-11-14T21:14:22.538506Z', '2024-11-14T19:52:09.752300Z', '2024-11-14T18:35:49.870273Z', '2024-11-14T15:45:55.814761Z', '2024-11-14T07:28:18.572555Z', '2024-11-14T01:31:13.959568Z', '2024-11-14T01:19:42.863780Z', '2024-11-14T00:54:45.488197Z', '2024-11-13T23:54:27.172629Z', '2024-11-13T23:51:44.730514Z', '2024-11-13T23:42:22.453563Z', '2024-11-13T23:35:31.683144Z', '2024-11-13T22:34:25.216682Z', '2024-11-13T22:12:22.260299Z', '2024-11-13T22:11:50.931206Z', '2024-11-13T22:05:41.215880Z', '2024-11-13T22:00:46.062189Z']}"
