Position,points,name,challenge
1,9059,TRX,"{'challenge_name': ['Browser Passwords', 'Feedback', 'Backdoored Calculator', 'Careful Admin', ""Santa's Lists"", 'Wish Cards', 'Lazy Admin', 'Gift Wrapping', 'Christmas Confession', 'Stackman', 'na kopso glyko?', 'onelinerev', 'wiSh card', 'tangled', 'Letter from Santa', 'Challenge Ideas', 'Lazy Dev', 'ICMP Party', 'Pinger', 'Candy Shop', 'meow', 'Learn', 'Defender Encrypted', 'Armor', 'Snekbox', 'Baby Prison', 'Welcome', 'RSA se olous RSei', 'Factoring Expert', 'New Laptop', 'wishcAErdS', 'Secure Encryption Service', 'hashmash', 'warmup rsa'], 'challenge_category': ['forensics', 'beginner', 'misc', 'web', 'beginner', 'web', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'reverse', 'pwn', 'beginner', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'pwn', 'beginner', 'beginner', 'forensics', 'misc', 'misc', 'beginner', 'beginner', 'crypto', 'crypto', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['460', '10', '460', '490', '72', '356', '50', '469', '50', '146', '196', '490', '449', '191', '500', '159', '50', '50', '50', '500', '50', '50', '436', '498', '469', '173', '10', '500', '498', '498', '198', '194', '155', '132'], 'solve_time': ['2024-12-15T20:41:12.741001Z', '2024-12-15T20:32:42.443116Z', '2024-12-15T19:56:38.399993Z', '2024-12-15T19:28:16.464801Z', '2024-12-15T19:24:17.532373Z', '2024-12-15T19:18:13.838837Z', '2024-12-15T19:16:18.619469Z', '2024-12-15T19:08:51.295969Z', '2024-12-15T19:02:45.337421Z', '2024-12-15T19:01:30.513977Z', '2024-12-15T18:59:11.164536Z', '2024-12-15T18:56:07.607244Z', '2024-12-15T18:30:59.635128Z', '2024-12-15T18:29:05.946595Z', '2024-12-15T18:12:04.304717Z', '2024-12-15T18:04:30.377336Z', '2024-12-15T18:00:46.459833Z', '2024-12-15T18:00:11.024127Z', '2024-12-15T17:57:00.298729Z', '2024-12-15T17:47:03.527483Z', '2024-12-15T17:38:49.608209Z', '2024-12-15T17:23:48.893778Z', '2024-12-15T17:21:11.121819Z', '2024-12-15T16:54:17.793719Z', '2024-12-15T16:46:52.329777Z', '2024-12-15T16:39:52.596491Z', '2024-12-15T16:37:25.453830Z', '2024-12-15T16:29:31.696694Z', '2024-12-15T15:37:26.567413Z', '2024-12-15T15:06:24.316329Z', '2024-12-15T14:12:09.177511Z', '2024-12-15T14:05:52.433402Z', '2024-12-15T14:03:01.442712Z', '2024-12-15T13:56:49.418310Z']}"
2,7338,sebastianpc,"{'challenge_name': ['Feedback', 'meow', 'Backdoored Calculator', 'Gift Wrapping', 'hashmash', 'Baby Prison', 'Christmas Confession', 'Challenge Ideas', 'warmup rsa', 'Secure Encryption Service', 'Wish Cards', 'Careful Admin Revenge', 'Armor', 'Snekbox', 'wiSh card', 'Learn', 'Saving Christmas 3', 'Saving Christmas 2', 'Saving Christmas 1', 'Careful Admin', ""Santa's Lists"", 'Defender Encrypted', 'Browser Passwords', 'Lazy Admin', 'ICMP Party', 'Pinger', 'Lazy Dev', 'Welcome'], 'challenge_category': ['beginner', 'beginner', 'misc', 'misc', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'web', 'web', 'misc', 'misc', 'pwn', 'beginner', 'forensics', 'forensics', 'forensics', 'web', 'beginner', 'forensics', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['10', '50', '460', '469', '155', '173', '50', '159', '132', '194', '356', '498', '498', '469', '449', '50', '500', '500', '498', '490', '72', '436', '460', '50', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T20:41:15.642895Z', '2024-12-15T20:39:33.193163Z', '2024-12-15T20:33:17.943444Z', '2024-12-15T20:27:20.107291Z', '2024-12-15T20:21:53.515128Z', '2024-12-15T20:04:37.205365Z', '2024-12-15T19:29:17.766103Z', '2024-12-15T19:28:26.710157Z', '2024-12-15T19:10:02.416712Z', '2024-12-15T18:55:25.767953Z', '2024-12-15T18:44:35.594898Z', '2024-12-15T18:30:08.066667Z', '2024-12-15T18:19:55.428403Z', '2024-12-15T17:46:53.879085Z', '2024-12-15T17:25:18.100750Z', '2024-12-15T16:07:22.390379Z', '2024-12-15T15:47:51.701563Z', '2024-12-15T15:26:19.912525Z', '2024-12-15T15:23:29.506327Z', '2024-12-15T14:34:08.652988Z', '2024-12-15T14:31:47.373497Z', '2024-12-15T13:39:51.623933Z', '2024-12-15T13:24:04.869121Z', '2024-12-15T12:14:56.812004Z', '2024-12-15T12:11:19.289630Z', '2024-12-15T12:01:14.145692Z', '2024-12-15T12:00:44.780250Z', '2024-12-15T11:56:53.636793Z']}"
3,6124,CYberMouflons,"{'challenge_name': ['Feedback', 'Secure Encryption Service', 'na kopso glyko?', 'Backdoored Calculator', 'wishcAErdS', 'Baby Prison', 'tangled', 'Snekbox', 'hashmash', 'warmup rsa', 'Challenge Ideas', 'Christmas Confession', 'Browser Passwords', 'Learn', 'Defender Encrypted', 'Gift Wrapping', 'meow', 'Careful Admin Revenge', 'Stackman', 'Careful Admin', 'Lazy Admin', ""Santa's Lists"", 'Wish Cards', 'Notes', 'ICMP Party', 'Pinger', 'Lazy Dev', 'Welcome'], 'challenge_category': ['beginner', 'beginner', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'beginner', 'forensics', 'beginner', 'forensics', 'misc', 'beginner', 'web', 'beginner', 'web', 'beginner', 'beginner', 'web', 'web', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['10', '194', '196', '460', '198', '173', '191', '469', '155', '132', '159', '50', '460', '50', '436', '469', '50', '498', '146', '490', '50', '72', '356', '500', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T20:56:04.382943Z', '2024-12-15T20:28:57.457668Z', '2024-12-15T20:01:27.748978Z', '2024-12-15T19:38:45.853967Z', '2024-12-15T19:17:59.694887Z', '2024-12-15T18:50:33.593995Z', '2024-12-15T18:46:34.109639Z', '2024-12-15T18:37:56.488625Z', '2024-12-15T16:56:19.432498Z', '2024-12-15T16:41:41.923637Z', '2024-12-15T16:30:03.911992Z', '2024-12-15T16:10:45.391351Z', '2024-12-15T15:57:44.585968Z', '2024-12-15T15:54:06.353684Z', '2024-12-15T15:42:55.662008Z', '2024-12-15T15:28:28.241559Z', '2024-12-15T15:02:32.994490Z', '2024-12-15T14:50:29.867966Z', '2024-12-15T14:20:43.326838Z', '2024-12-15T13:43:17.300548Z', '2024-12-15T13:23:44.658908Z', '2024-12-15T13:17:53.846074Z', '2024-12-15T13:08:07.218149Z', '2024-12-15T12:31:32.784405Z', '2024-12-15T11:22:29.649276Z', '2024-12-15T11:16:09.731592Z', '2024-12-15T11:12:31.421295Z', '2024-12-15T11:11:43.942661Z']}"
4,4796,peepo,"{'challenge_name': [""Santa's Lists"", 'Feedback', 'Backdoored Calculator', 'Gift Wrapping', 'wiSh card', 'Defender Encrypted', 'New Laptop', 'Lazy Admin', 'Baby Prison', 'na kopso glyko?', 'Challenge Ideas', 'Factoring Expert', 'Christmas Confession', 'Stackman', 'Secure Encryption Service', 'Learn', 'warmup rsa', 'hashmash', 'wishcAErdS', 'tangled', 'meow', 'ICMP Party', 'Pinger', 'Lazy Dev', 'Welcome'], 'challenge_category': ['beginner', 'beginner', 'misc', 'misc', 'pwn', 'forensics', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'crypto', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['72', '10', '460', '469', '449', '436', '498', '50', '173', '196', '159', '498', '50', '146', '194', '50', '132', '155', '198', '191', '50', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T20:53:43.536031Z', '2024-12-15T20:53:01.538509Z', '2024-12-15T20:51:01.581066Z', '2024-12-15T20:07:17.455743Z', '2024-12-15T19:13:22.479684Z', '2024-12-15T18:44:09.386071Z', '2024-12-15T18:07:20.857588Z', '2024-12-15T15:18:13.530752Z', '2024-12-15T15:05:12.253807Z', '2024-12-15T14:59:55.861620Z', '2024-12-15T14:26:10.108657Z', '2024-12-15T14:20:33.930909Z', '2024-12-15T12:37:48.564073Z', '2024-12-15T12:33:02.226287Z', '2024-12-15T12:27:14.688866Z', '2024-12-15T12:15:56.495898Z', '2024-12-15T12:01:46.699086Z', '2024-12-15T11:55:18.162355Z', '2024-12-15T11:45:29.310256Z', '2024-12-15T11:34:24.645420Z', '2024-12-15T11:15:55.876880Z', '2024-12-15T11:05:52.243623Z', '2024-12-15T10:59:54.724164Z', '2024-12-15T10:57:20.389730Z', '2024-12-15T10:56:19.503292Z']}"
5,4433,NtuaLipa,"{'challenge_name': ['Armor', 'onelinerev', 'Challenge Ideas', 'meow', ""Santa's Lists"", 'Letter from Santa', 'Lazy Admin', 'na kopso glyko?', 'New Laptop', 'wiSh card', 'Learn', 'Pinger', 'Lazy Dev', 'Defender Encrypted', 'warmup rsa', 'wishcAErdS', 'Stackman', 'hashmash', 'Secure Encryption Service', 'ICMP Party', 'Welcome'], 'challenge_category': ['misc', 'reverse', 'beginner', 'beginner', 'beginner', 'crypto', 'beginner', 'beginner', 'crypto', 'pwn', 'beginner', 'beginner', 'beginner', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['498', '490', '159', '50', '72', '500', '50', '196', '498', '449', '50', '50', '50', '436', '132', '198', '146', '155', '194', '50', '10'], 'solve_time': ['2024-12-15T20:23:25.075345Z', '2024-12-15T16:13:42.737182Z', '2024-12-15T15:21:17.433323Z', '2024-12-15T15:05:15.094616Z', '2024-12-15T14:28:08.432356Z', '2024-12-15T14:17:55.960185Z', '2024-12-15T13:04:54.009678Z', '2024-12-15T12:19:04.713534Z', '2024-12-15T12:13:22.987792Z', '2024-12-15T11:59:45.136627Z', '2024-12-15T11:31:12.752165Z', '2024-12-15T10:53:28.285917Z', '2024-12-15T10:46:26.220920Z', '2024-12-15T10:24:52.382344Z', '2024-12-15T09:58:06.594292Z', '2024-12-15T09:57:08.036546Z', '2024-12-15T09:34:46.763230Z', '2024-12-15T09:28:48.829095Z', '2024-12-15T09:24:38.695309Z', '2024-12-15T09:15:28.674145Z', '2024-12-15T09:00:12.635826Z']}"
6,3037,Latvia,"{'challenge_name': ['Challenge Ideas', 'Christmas Confession', 'Browser Passwords', 'na kopso glyko?', 'Snekbox', 'hashmash', 'Secure Encryption Service', 'wishcAErdS', 'Lazy Admin', ""Santa's Lists"", 'warmup rsa', 'Baby Prison', 'ICMP Party', 'meow', 'Gift Wrapping', 'Learn', 'Pinger', 'Lazy Dev', 'Welcome'], 'challenge_category': ['beginner', 'beginner', 'forensics', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['159', '50', '460', '196', '469', '155', '194', '198', '50', '72', '132', '173', '50', '50', '469', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T20:27:59.517734Z', '2024-12-15T20:23:53.475649Z', '2024-12-15T18:26:09.355703Z', '2024-12-15T18:23:52.191598Z', '2024-12-15T16:29:52.215468Z', '2024-12-15T16:25:28.622245Z', '2024-12-15T16:14:01.467312Z', '2024-12-15T15:56:09.423538Z', '2024-12-15T15:03:57.245117Z', '2024-12-15T14:59:26.608870Z', '2024-12-15T14:52:36.067547Z', '2024-12-15T14:47:35.228109Z', '2024-12-15T14:45:19.272628Z', '2024-12-15T14:35:07.298064Z', '2024-12-15T14:05:53.168518Z', '2024-12-15T10:10:23.466418Z', '2024-12-15T09:58:54.329680Z', '2024-12-15T09:40:41.464469Z', '2024-12-15T09:00:30.014279Z']}"
7,2964,tchen,"{'challenge_name': ['Feedback', 'na kopso glyko?', 'tangled', 'Baby Prison', 'Backdoored Calculator', 'hashmash', 'warmup rsa', ""Santa's Lists"", 'Lazy Dev', 'Pinger', 'ICMP Party', 'meow', 'Learn', 'Welcome', 'onelinerev', 'Snekbox', 'Wish Cards'], 'challenge_category': ['beginner', 'beginner', 'beginner', 'beginner', 'misc', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'reverse', 'misc', 'web'], 'challenge_points': ['10', '196', '191', '173', '460', '155', '132', '72', '50', '50', '50', '50', '50', '10', '490', '469', '356'], 'solve_time': ['2024-12-15T20:55:02.078225Z', '2024-12-15T20:52:58.959844Z', '2024-12-15T20:21:18.889772Z', '2024-12-15T19:33:22.242087Z', '2024-12-15T19:25:22.029708Z', '2024-12-15T18:32:56.175227Z', '2024-12-15T18:23:35.621895Z', '2024-12-15T17:52:51.203418Z', '2024-12-15T17:43:16.826556Z', '2024-12-15T17:42:13.454691Z', '2024-12-15T17:38:59.230377Z', '2024-12-15T17:25:23.890932Z', '2024-12-15T17:20:23.665738Z', '2024-12-15T17:13:45.110072Z', '2024-12-15T17:05:21.807371Z', '2024-12-15T15:33:44.092637Z', '2024-12-15T15:19:42.709134Z']}"
8,2900,0xE0F,"{'challenge_name': ['Snekbox', 'Christmas Confession', 'ICMP Party', 'Stackman', 'wiSh card', 'wishcAErdS', ""Santa's Lists"", 'warmup rsa', 'Wish Cards', 'Baby Prison', 'Learn', 'Secure Encryption Service', 'na kopso glyko?', 'hashmash', 'Lazy Admin', 'meow', 'Pinger', 'Lazy Dev', 'Welcome'], 'challenge_category': ['misc', 'beginner', 'beginner', 'beginner', 'pwn', 'beginner', 'beginner', 'beginner', 'web', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['469', '50', '50', '146', '449', '198', '72', '132', '356', '173', '50', '194', '196', '155', '50', '50', '50', '50', '10'], 'solve_time': ['2024-12-15T18:02:10.915063Z', '2024-12-15T16:19:48.426673Z', '2024-12-15T15:56:59.570113Z', '2024-12-15T15:40:35.978558Z', '2024-12-15T15:35:42.852086Z', '2024-12-15T15:16:05.465468Z', '2024-12-15T14:23:47.080158Z', '2024-12-15T12:55:55.617186Z', '2024-12-15T12:21:49.887791Z', '2024-12-15T11:26:23.210644Z', '2024-12-15T10:51:58.373580Z', '2024-12-15T10:47:41.897568Z', '2024-12-15T10:32:31.759199Z', '2024-12-15T10:23:26.314742Z', '2024-12-15T10:03:05.919495Z', '2024-12-15T09:55:37.893689Z', '2024-12-15T09:12:29.344292Z', '2024-12-15T09:09:03.535216Z', '2024-12-15T09:01:06.044755Z']}"
9,2457,kal1nyxta,"{'challenge_name': ['Secure Encryption Service', 'Saving Christmas 1', 'Gift Wrapping', 'meow', 'Defender Encrypted', 'Pinger', 'tangled', 'hashmash', 'warmup rsa', 'Christmas Confession', 'Lazy Admin', 'Welcome', 'ICMP Party', ""Santa's Lists"", 'Lazy Dev'], 'challenge_category': ['beginner', 'forensics', 'misc', 'beginner', 'forensics', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner'], 'challenge_points': ['194', '498', '469', '50', '436', '50', '191', '155', '132', '50', '50', '10', '50', '72', '50'], 'solve_time': ['2024-12-15T19:19:44.519673Z', '2024-12-15T16:34:50.147197Z', '2024-12-15T16:25:18.573107Z', '2024-12-15T15:23:00.636341Z', '2024-12-15T14:47:22.642758Z', '2024-12-15T14:37:33.679923Z', '2024-12-15T14:29:36.191248Z', '2024-12-15T12:01:21.564555Z', '2024-12-15T11:49:10.833670Z', '2024-12-15T10:50:49.354813Z', '2024-12-15T10:26:15.537080Z', '2024-12-15T10:06:35.793514Z', '2024-12-15T10:01:24.569782Z', '2024-12-15T10:00:40.445052Z', '2024-12-15T09:41:00.720461Z']}"
10,2332,Nopium,"{'challenge_name': ['onelinerev', 'wiSh card', 'hashmash', 'Lazy Admin', 'Notes', 'Christmas Confession', ""Santa's Lists"", 'Learn', 'ICMP Party', 'Pinger', 'Lazy Dev', 'Welcome', 'Wish Cards'], 'challenge_category': ['reverse', 'pwn', 'beginner', 'beginner', 'web', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'beginner', 'web'], 'challenge_points': ['490', '449', '155', '50', '500', '50', '72', '50', '50', '50', '50', '10', '356'], 'solve_time': ['2024-12-15T20:42:19.600577Z', '2024-12-15T19:22:45.020981Z', '2024-12-15T15:14:59.539987Z', '2024-12-15T14:30:44.445324Z', '2024-12-15T13:45:23.920745Z', '2024-12-15T13:22:02.478727Z', '2024-12-15T13:06:58.839322Z', '2024-12-15T11:05:40.919815Z', '2024-12-15T10:59:17.261057Z', '2024-12-15T10:48:10.774895Z', '2024-12-15T10:30:02.642604Z', '2024-12-15T10:24:50.833674Z', '2024-12-15T10:02:08.341506Z']}"
